sep=,
Seed,Name,Perfection,Suit_Energy,Suit_Energy_Regen
64,Solar Harvester,0.02,+50%,+26%
65,Vacuum Tanks,0.919,+93%,+49%
66,Liquid Gas Pump,0.643,+66%,+49%
67,Vacuum Drain,0.42,+52%,+45%
68,Vacuum Purifier,0.251,+57%,+34%
69,Liquid Gas Drain,0.28,+50%,+39%
70,Liquid Gas Harvester,0.4,+50%,+45%
71,Kinetic Recycler,0.316,+79%,+26%
72,Liquid Gas Stabiliser,0.102,+58%,+26%
73,Liquid Gas Generator Unit,0.618,+87%,+37%
74,Vacuum Tanks,0.09,+51%,+29%
75,Liquid Gas Filter,0.495,+75%,+37%
76,Vacuum Tanks,0.519,+93%,+29%
77,Kinetic Drain,0.36,+50%,+43%
78,Liquid Gas Tanks,0.405,+76%,+32%
79,T-Gel Generator Unit,0.02,+50%,+26%
80,T-Gel Pump,0.473,+63%,+42%
81,Liquid Gas Drain,0.281,+54%,+37%
82,Vacuum Sieve,0.151,+53%,+31%
83,Vacuum Pump,0.362,+58%,+39%
84,T-Gel Pump,0.776,+81%,+48%
85,Solar Stabiliser,0.291,+55%,+37%
86,Kinetic Sieve,0.31,+51%,+40%
87,Liquid Gas Filter,0.577,+85%,+36%
88,Solar Sieve,0.456,+77%,+34%
89,Liquid Gas Drain,0.02,+50%,+26%
90,Solar Harvester,0.202,+58%,+31%
91,Vacuum Purifier,0.285,+74%,+27%
92,T-Gel Harvester,0.554,+71%,+42%
93,T-Gel Recycler,0.254,+71%,+27%
94,Kinetic Drain,0.211,+55%,+33%
95,T-Gel Purifier,0.847,+84%,+50%
96,T-Gel Filter,0.522,+62%,+45%
97,Liquid Gas Purifier,0.16,+50%,+33%
98,Kinetic Harvester,0.326,+80%,+26%
99,Solar Pump,0.08,+50%,+29%
100,Solar Tanks,0.74,+97%,+38%
101,T-Gel Generator Unit,0.06,+50%,+28%
102,Liquid Gas Purifier,0.684,+72%,+48%
103,Kinetic Stabiliser,0.241,+56%,+34%
104,Kinetic Tanks,0.44,+50%,+47%
105,Kinetic Purifier,0.111,+55%,+28%
106,Kinetic Purifier,0.417,+85%,+28%
107,Kinetic Sieve,0.667,+84%,+41%
108,T-Gel Sieve,0.111,+53%,+29%
109,Kinetic Stabiliser,0.03,+51%,+26%
110,Liquid Gas Tanks,0.351,+57%,+39%
111,Vacuum Recycler,0.431,+53%,+45%
112,T-Gel Purifier,0.658,+87%,+39%
113,Solar Drain,0.241,+56%,+34%
114,Vacuum Tanks,0.201,+54%,+33%
115,T-Gel Tanks,0.54,+99%,+27%
116,T-Gel Harvester,0.173,+65%,+26%
117,Solar Tanks,0.05,+51%,+27%
118,T-Gel Harvester,0.431,+53%,+45%
119,Kinetic Drain,0.659,+93%,+36%
120,T-Gel Filter,0.051,+53%,+26%
121,T-Gel Harvester,0.232,+59%,+32%
122,T-Gel Drain,0.26,+50%,+38%
123,Kinetic Harvester,0.446,+80%,+32%
124,Vacuum Drain,0.12,+50%,+31%
125,Liquid Gas Pump,0.232,+61%,+31%
126,Vacuum Recycler,0.748,+88%,+43%
127,T-Gel Stabiliser,0.11,+51%,+30%
128,Kinetic Pump,0.273,+65%,+31%
129,Solar Pump,0.262,+62%,+32%
130,Solar Harvester,0.61,+98%,+31%
131,Kinetic Purifier,0.19,+51%,+34%
132,Kinetic Harvester,0.051,+53%,+26%
133,Vacuum Harvester,0.181,+56%,+31%
134,T-Gel Generator Unit,0.498,+91%,+29%
135,Liquid Gas Pump,0.468,+88%,+29%
136,T-Gel Tanks,0.499,+93%,+28%
137,Kinetic Pump,0.469,+94%,+26%
138,T-Gel Filter,0.468,+90%,+28%
139,Kinetic Generator Unit,0.542,+58%,+48%
140,T-Gel Recycler,0.387,+86%,+26%
141,Vacuum Sieve,0.64,+97%,+33%
142,T-Gel Recycler,0.08,+52%,+28%
143,Solar Tanks,0.434,+69%,+37%
144,Kinetic Pump,0.347,+82%,+26%
145,Solar Stabiliser,0.547,+84%,+35%
146,Liquid Gas Filter,0.438,+87%,+28%
147,Kinetic Drain,0.405,+74%,+33%
148,Solar Purifier,0.264,+72%,+27%
149,Vacuum Generator Unit,0.649,+92%,+36%
150,Solar Filter,0.343,+64%,+35%
151,Vacuum Generator Unit,0.04,+52%,+26%
152,Vacuum Purifier,0.372,+59%,+39%
153,Solar Sieve,0.214,+69%,+26%
154,Solar Harvester,0.2,+50%,+35%
155,Liquid Gas Harvester,0.283,+64%,+32%
156,Vacuum Drain,0.231,+53%,+35%
157,Kinetic Filter,0.241,+54%,+35%
158,Vacuum Sieve,0.42,+52%,+45%
159,Kinetic Purifier,0.04,+52%,+26%
160,Vacuum Purifier,0.387,+86%,+26%
161,Vacuum Drain,0.121,+56%,+28%
162,Vacuum Tanks,0.193,+67%,+26%
163,T-Gel Filter,0.452,+59%,+43%
164,Solar Purifier,0.285,+76%,+26%
165,Kinetic Drain,0.675,+73%,+47%
166,Kinetic Tanks,0.295,+73%,+28%
167,T-Gel Sieve,0.392,+61%,+39%
168,T-Gel Recycler,0.38,+52%,+43%
169,Solar Pump,0.316,+77%,+27%
170,Liquid Gas Stabiliser,0.658,+87%,+39%
171,Liquid Gas Recycler,0.3,+52%,+39%
172,Vacuum Stabiliser,0.06,+50%,+28%
173,T-Gel Pump,0.489,+94%,+27%
174,Vacuum Harvester,0.14,+50%,+32%
175,Kinetic Tanks,0.132,+61%,+26%
176,Solar Recycler,0.857,+85%,+50%
177,T-Gel Harvester,0.578,+87%,+35%
178,Liquid Gas Recycler,0.101,+56%,+27%
179,Kinetic Pump,0.02,+50%,+26%
180,Solar Stabiliser,0.347,+82%,+26%
181,Liquid Gas Pump,0.524,+68%,+42%
182,Liquid Gas Drain,0.051,+53%,+26%
183,Kinetic Generator Unit,0.234,+69%,+27%
184,Solar Drain,0.335,+73%,+30%
185,Solar Harvester,0.355,+75%,+30%
186,Vacuum Generator Unit,0.58,+99%,+29%
187,Solar Recycler,0.202,+62%,+29%
188,Liquid Gas Drain,0.471,+53%,+47%
189,T-Gel Stabiliser,0.271,+55%,+36%
190,Liquid Gas Stabiliser,0.141,+54%,+30%
191,Liquid Gas Filter,0.1,+52%,+29%
192,Liquid Gas Sieve,0.402,+58%,+41%
193,Vacuum Drain,0.48,+50%,+49%
194,Solar Sieve,0.426,+80%,+31%
195,T-Gel Recycler,0.726,+80%,+46%
196,Kinetic Recycler,0.061,+54%,+26%
197,Liquid Gas Harvester,0.261,+54%,+36%
198,Liquid Gas Purifier,0.151,+55%,+30%
199,Solar Stabiliser,0.173,+65%,+26%
200,Liquid Gas Filter,0.02,+50%,+26%
201,Liquid Gas Harvester,0.527,+86%,+33%
202,Kinetic Harvester,0.17,+51%,+33%
203,Liquid Gas Stabiliser,0.475,+73%,+37%
204,Liquid Gas Drain,0.685,+74%,+47%
205,T-Gel Pump,0.646,+78%,+43%
206,Kinetic Stabiliser,0.345,+74%,+30%
207,Vacuum Purifier,0.18,+50%,+34%
208,Liquid Gas Harvester,0.469,+94%,+26%
209,Kinetic Pump,0.19,+51%,+34%
210,Kinetic Filter,0.36,+50%,+43%
211,Kinetic Drain,0.24,+50%,+37%
212,T-Gel Purifier,0.291,+55%,+37%
213,Solar Stabiliser,0.051,+53%,+26%
214,Liquid Gas Filter,0.02,+50%,+26%
215,Solar Pump,0.374,+69%,+34%
216,Vacuum Sieve,0.296,+77%,+26%
217,Liquid Gas Recycler,0.091,+53%,+28%
218,T-Gel Drain,0.091,+57%,+26%
219,Liquid Gas Stabiliser,0.377,+85%,+26%
220,Kinetic Generator Unit,0.94,+97%,+48%
221,Solar Generator Unit,0.296,+77%,+26%
222,Kinetic Recycler,0.081,+54%,+27%
223,Vacuum Recycler,0.061,+54%,+26%
224,Solar Tanks,0.464,+68%,+39%
225,T-Gel Stabiliser,0.04,+52%,+26%
226,Liquid Gas Tanks,0.412,+61%,+40%
227,T-Gel Generator Unit,0.551,+57%,+49%
228,T-Gel Sieve,0.183,+66%,+26%
229,Liquid Gas Harvester,0.291,+55%,+37%
230,Kinetic Generator Unit,0.162,+62%,+27%
231,Kinetic Filter,0.353,+67%,+34%
232,T-Gel Purifier,0.564,+68%,+44%
233,Solar Generator Unit,0.292,+61%,+34%
234,Vacuum Tanks,0.612,+61%,+50%
235,T-Gel Purifier,0.202,+62%,+29%
236,Vacuum Recycler,0.52,+52%,+50%
237,Kinetic Stabiliser,0.485,+74%,+37%
238,Kinetic Drain,0.163,+64%,+26%
239,Vacuum Sieve,0.573,+67%,+45%
240,Kinetic Sieve,0.598,+91%,+34%
241,Liquid Gas Purifier,0.05,+51%,+27%
242,Kinetic Harvester,0.03,+51%,+26%
243,Vacuum Harvester,0.748,+88%,+43%
244,Solar Sieve,0.111,+57%,+27%
245,Vacuum Harvester,0.645,+76%,+44%
246,Solar Recycler,0.48,+50%,+49%
247,Liquid Gas Sieve,0.2,+50%,+35%
248,T-Gel Purifier,0.614,+69%,+46%
249,Kinetic Tanks,0.73,+98%,+37%
250,T-Gel Tanks,0.336,+81%,+26%
251,Liquid Gas Purifier,0.121,+54%,+29%
252,Vacuum Generator Unit,0.462,+62%,+42%
253,Solar Stabiliser,0.336,+79%,+27%
254,Kinetic Recycler,0.244,+68%,+28%
255,Vacuum Sieve,0.376,+81%,+28%
256,T-Gel Stabiliser,0.163,+64%,+26%
257,T-Gel Sieve,0.102,+58%,+26%
258,Liquid Gas Tanks,0.457,+85%,+30%
259,Kinetic Tanks,0.02,+50%,+26%
260,Kinetic Tanks,0.191,+55%,+32%
261,T-Gel Filter,0.469,+92%,+27%
262,T-Gel Purifier,0.08,+50%,+29%
263,Kinetic Generator Unit,0.414,+71%,+35%
264,T-Gel Purifier,0.469,+92%,+27%
265,Vacuum Pump,0.313,+63%,+34%
266,T-Gel Tanks,0.16,+50%,+33%
267,Solar Filter,0.08,+52%,+28%
268,T-Gel Pump,0.454,+71%,+37%
269,Vacuum Generator Unit,0.316,+77%,+27%
270,Kinetic Recycler,0.08,+50%,+29%
271,T-Gel Drain,0.071,+53%,+27%
272,Kinetic Pump,0.466,+78%,+34%
273,Kinetic Filter,0.203,+64%,+28%
274,Kinetic Harvester,0.306,+78%,+26%
275,Vacuum Harvester,0.303,+66%,+32%
276,Vacuum Stabiliser,0.38,+52%,+43%
277,Solar Pump,0.101,+56%,+27%
278,Vacuum Filter,0.081,+54%,+27%
279,Liquid Gas Recycler,0.464,+70%,+38%
280,Solar Purifier,0.071,+53%,+27%
281,Vacuum Drain,0.668,+90%,+38%
282,T-Gel Drain,0.501,+54%,+48%
283,T-Gel Stabiliser,0.736,+77%,+48%
284,T-Gel Drain,0.377,+85%,+26%
285,Kinetic Recycler,0.291,+55%,+37%
286,T-Gel Tanks,0.262,+62%,+32%
287,T-Gel Harvester,0.397,+85%,+27%
288,T-Gel Sieve,0.224,+68%,+27%
289,Kinetic Sieve,0.644,+70%,+47%
290,Solar Generator Unit,0.05,+51%,+27%
291,Vacuum Generator Unit,0.323,+66%,+33%
292,Solar Sieve,0.472,+61%,+43%
293,Vacuum Tanks,0.251,+53%,+36%
294,Solar Generator Unit,0.527,+82%,+35%
295,Solar Generator Unit,0.745,+74%,+50%
296,T-Gel Pump,0.04,+50%,+27%
297,Vacuum Purifier,0.06,+50%,+28%
298,Solar Sieve,0.233,+63%,+30%
299,Vacuum Recycler,0.111,+57%,+27%
300,Liquid Gas Recycler,0.51,+51%,+50%
301,Kinetic Tanks,0.502,+62%,+44%
302,Liquid Gas Stabiliser,0.1,+50%,+30%
303,Liquid Gas Filter,0.102,+58%,+26%
304,Kinetic Recycler,0.53,+98%,+27%
305,Vacuum Pump,0.271,+53%,+37%
306,Vacuum Stabiliser,0.717,+85%,+43%
307,Vacuum Pump,0.54,+99%,+27%
308,Kinetic Sieve,0.193,+65%,+27%
309,Liquid Gas Sieve,0.1,+50%,+30%
310,Solar Purifier,0.151,+55%,+30%
311,Solar Drain,0.336,+81%,+26%
312,Liquid Gas Drain,0.453,+65%,+40%
313,T-Gel Tanks,0.478,+87%,+30%
314,Liquid Gas Purifier,0.524,+68%,+42%
315,Vacuum Drain,0.25,+51%,+37%
316,Liquid Gas Stabiliser,0.798,+91%,+44%
317,T-Gel Stabiliser,0.458,+91%,+27%
318,Solar Purifier,0.496,+77%,+36%
319,T-Gel Harvester,0.221,+54%,+34%
320,Solar Generator Unit,0.311,+55%,+38%
321,T-Gel Purifier,0.111,+53%,+29%
322,Solar Sieve,0.152,+61%,+27%
323,Vacuum Drain,0.509,+96%,+27%
324,Solar Generator Unit,0.889,+96%,+46%
325,Liquid Gas Generator Unit,0.493,+65%,+42%
326,Liquid Gas Pump,0.16,+52%,+32%
327,Vacuum Filter,0.547,+86%,+34%
328,Kinetic Tanks,0.18,+52%,+33%
329,Kinetic Pump,0.2,+52%,+34%
330,Liquid Gas Pump,0.09,+51%,+29%
331,Vacuum Recycler,0.353,+67%,+34%
332,Kinetic Generator Unit,0.18,+50%,+34%
333,Kinetic Recycler,0.45,+51%,+47%
334,T-Gel Purifier,0.233,+67%,+28%
335,Liquid Gas Harvester,0.16,+50%,+33%
336,Vacuum Purifier,0.607,+82%,+39%
337,Liquid Gas Sieve,0.361,+54%,+41%
338,Solar Sieve,0.162,+62%,+27%
339,T-Gel Generator Unit,0.4,+50%,+45%
340,Vacuum Tanks,0.061,+54%,+26%
341,Solar Sieve,0.461,+56%,+45%
342,Vacuum Drain,0.331,+53%,+40%
343,Kinetic Tanks,0.121,+54%,+29%
344,Kinetic Filter,0.091,+55%,+27%
345,Vacuum Drain,0.52,+97%,+27%
346,Vacuum Pump,0.04,+50%,+27%
347,Kinetic Tanks,0.18,+50%,+34%
348,Kinetic Sieve,0.202,+60%,+30%
349,T-Gel Harvester,0.658,+91%,+37%
350,Liquid Gas Filter,0.52,+52%,+50%
351,Liquid Gas Generator Unit,0.273,+65%,+31%
352,Kinetic Pump,0.03,+51%,+26%
353,Kinetic Tanks,0.171,+53%,+32%
354,Kinetic Drain,0.542,+58%,+48%
355,Vacuum Filter,0.224,+70%,+26%
356,Vacuum Recycler,0.445,+76%,+34%
357,Solar Drain,0.375,+75%,+31%
358,T-Gel Generator Unit,0.02,+50%,+26%
359,T-Gel Recycler,0.22,+50%,+36%
360,Kinetic Stabiliser,0.161,+56%,+30%
361,T-Gel Generator Unit,0.346,+80%,+27%
362,Vacuum Drain,0.314,+71%,+30%
363,T-Gel Filter,0.501,+54%,+48%
364,Kinetic Tanks,0.808,+88%,+46%
365,Vacuum Stabiliser,0.473,+67%,+40%
366,T-Gel Harvester,0.511,+53%,+49%
367,Solar Recycler,0.03,+51%,+26%
368,Kinetic Tanks,0.521,+54%,+49%
369,Solar Generator Unit,0.06,+50%,+28%
370,Liquid Gas Purifier,0.07,+51%,+28%
371,Solar Filter,0.674,+69%,+49%
372,Liquid Gas Purifier,0.604,+68%,+46%
373,Vacuum Stabiliser,0.101,+56%,+27%
374,Solar Purifier,0.071,+55%,+26%
375,Liquid Gas Harvester,0.373,+63%,+37%
376,Vacuum Filter,0.24,+52%,+36%
377,Solar Filter,0.11,+51%,+30%
378,T-Gel Purifier,0.37,+51%,+43%
379,T-Gel Generator Unit,0.599,+93%,+33%
380,Vacuum Harvester,0.07,+51%,+28%
381,Solar Purifier,0.293,+63%,+33%
382,Solar Pump,0.402,+60%,+40%
383,T-Gel Purifier,0.261,+54%,+36%
384,T-Gel Harvester,0.12,+50%,+31%
385,T-Gel Stabiliser,0.34,+50%,+42%
386,Vacuum Harvester,0.36,+50%,+43%
387,Kinetic Sieve,0.819,+93%,+44%
388,Kinetic Generator Unit,0.33,+51%,+41%
389,Liquid Gas Tanks,0.456,+79%,+33%
390,T-Gel Tanks,0.04,+52%,+26%
391,Kinetic Purifier,0.173,+65%,+26%
392,Solar Purifier,0.667,+84%,+41%
393,Kinetic Generator Unit,0.416,+81%,+30%
394,T-Gel Purifier,0.05,+51%,+27%
395,Kinetic Recycler,0.377,+83%,+27%
396,T-Gel Drain,0.05,+51%,+27%
397,Kinetic Filter,0.336,+79%,+27%
398,T-Gel Sieve,0.142,+62%,+26%
399,Vacuum Drain,0.828,+90%,+46%
400,Vacuum Recycler,0.112,+59%,+26%
401,Vacuum Recycler,0.3,+50%,+40%
402,Kinetic Purifier,0.26,+50%,+38%
403,T-Gel Stabiliser,0.444,+72%,+36%
404,T-Gel Stabiliser,0.06,+50%,+28%
405,Vacuum Stabiliser,0.518,+89%,+31%
406,Vacuum Harvester,0.211,+55%,+33%
407,Vacuum Purifier,0.737,+83%,+45%
408,Solar Pump,0.47,+51%,+48%
409,Kinetic Tanks,0.94,+99%,+47%
410,Liquid Gas Recycler,0.36,+50%,+43%
411,Vacuum Generator Unit,0.377,+85%,+26%
412,Solar Drain,0.537,+83%,+35%
413,Kinetic Tanks,0.315,+73%,+29%
414,Liquid Gas Drain,0.969,+96%,+50%
415,T-Gel Stabiliser,0.3,+50%,+40%
416,Kinetic Drain,0.495,+75%,+37%
417,Kinetic Pump,0.482,+62%,+43%
418,Solar Stabiliser,0.647,+82%,+41%
419,Kinetic Sieve,0.25,+51%,+37%
420,Vacuum Harvester,0.755,+75%,+50%
421,T-Gel Generator Unit,0.204,+68%,+26%
422,T-Gel Tanks,0.459,+93%,+26%
423,Solar Pump,0.02,+50%,+26%
424,T-Gel Filter,0.412,+61%,+40%
425,Vacuum Harvester,0.071,+55%,+26%
426,Vacuum Tanks,0.507,+82%,+34%
427,Liquid Gas Generator Unit,0.605,+74%,+43%
428,T-Gel Purifier,0.132,+61%,+26%
429,Kinetic Stabiliser,0.234,+71%,+26%
430,T-Gel Purifier,0.453,+63%,+41%
431,Solar Stabiliser,0.396,+79%,+30%
432,Vacuum Sieve,0.462,+60%,+43%
433,Vacuum Drain,0.282,+58%,+35%
434,Solar Filter,0.706,+78%,+46%
435,Kinetic Harvester,0.827,+86%,+48%
436,Kinetic Tanks,0.233,+65%,+29%
437,Kinetic Drain,0.727,+82%,+45%
438,T-Gel Harvester,0.759,+95%,+40%
439,Liquid Gas Sieve,0.14,+52%,+31%
440,Solar Harvester,0.321,+56%,+38%
441,Vacuum Purifier,0.231,+57%,+33%
442,Vacuum Generator Unit,0.02,+50%,+26%
443,Solar Tanks,0.153,+63%,+26%
444,Liquid Gas Generator Unit,0.357,+83%,+26%
445,Liquid Gas Purifier,0.142,+62%,+26%
446,Vacuum Purifier,0.18,+50%,+34%
447,Vacuum Recycler,0.102,+58%,+26%
448,T-Gel Purifier,0.418,+89%,+26%
449,Solar Harvester,0.271,+55%,+36%
450,Vacuum Stabiliser,0.1,+50%,+30%
451,Liquid Gas Tanks,0.747,+84%,+45%
452,Solar Drain,0.112,+59%,+26%
453,Liquid Gas Drain,0.293,+65%,+32%
454,Solar Stabiliser,0.418,+89%,+26%
455,T-Gel Recycler,0.758,+87%,+44%
456,Vacuum Filter,0.837,+85%,+49%
457,Vacuum Harvester,0.296,+77%,+26%
458,Kinetic Harvester,0.081,+56%,+26%
459,Liquid Gas Purifier,0.324,+72%,+30%
460,Solar Sieve,0.816,+81%,+50%
461,T-Gel Sieve,0.444,+72%,+36%
462,Solar Generator Unit,0.27,+51%,+38%
463,Liquid Gas Drain,0.203,+64%,+28%
464,T-Gel Generator Unit,0.263,+66%,+30%
465,Liquid Gas Tanks,0.53,+98%,+27%
466,Solar Sieve,0.395,+75%,+32%
467,Liquid Gas Filter,0.529,+94%,+29%
468,T-Gel Generator Unit,0.367,+84%,+26%
469,Kinetic Filter,0.275,+75%,+26%
470,Liquid Gas Sieve,0.42,+50%,+46%
471,Kinetic Harvester,0.296,+77%,+26%
472,T-Gel Pump,0.635,+73%,+45%
473,T-Gel Pump,0.03,+51%,+26%
474,Kinetic Recycler,0.12,+50%,+31%
475,Kinetic Purifier,0.427,+86%,+28%
476,T-Gel Harvester,0.02,+50%,+26%
477,Liquid Gas Drain,0.06,+50%,+28%
478,Liquid Gas Sieve,0.101,+54%,+28%
479,Vacuum Purifier,0.302,+58%,+36%
480,Solar Drain,0.254,+71%,+27%
481,Kinetic Filter,0.357,+83%,+26%
482,Kinetic Tanks,0.488,+90%,+29%
483,Vacuum Generator Unit,0.244,+72%,+26%
484,T-Gel Generator Unit,0.081,+54%,+27%
485,Kinetic Harvester,0.548,+88%,+33%
486,Kinetic Filter,0.418,+89%,+26%
487,Solar Filter,0.441,+54%,+45%
488,T-Gel Drain,0.462,+60%,+43%
489,Liquid Gas Pump,0.04,+50%,+27%
490,Kinetic Sieve,0.603,+66%,+47%
491,Liquid Gas Recycler,0.06,+50%,+28%
492,Solar Recycler,0.431,+55%,+44%
493,T-Gel Harvester,0.387,+86%,+26%
494,Kinetic Purifier,0.2,+50%,+35%
495,Kinetic Drain,0.507,+84%,+33%
496,T-Gel Recycler,0.071,+53%,+27%
497,Liquid Gas Pump,0.499,+95%,+27%
498,Liquid Gas Purifier,0.02,+50%,+26%
499,Liquid Gas Sieve,0.061,+54%,+26%
500,T-Gel Stabiliser,0.555,+73%,+41%
501,T-Gel Generator Unit,0.542,+60%,+47%
502,T-Gel Stabiliser,0.568,+90%,+33%
503,Kinetic Recycler,0.16,+52%,+32%
504,Kinetic Filter,0.05,+51%,+27%
505,Vacuum Tanks,0.407,+86%,+27%
506,Liquid Gas Harvester,0.384,+72%,+33%
507,Vacuum Purifier,0.413,+63%,+39%
508,Solar Tanks,0.21,+51%,+35%
509,T-Gel Filter,0.296,+77%,+26%
510,Liquid Gas Filter,0.273,+67%,+30%
511,Liquid Gas Harvester,0.153,+63%,+26%
512,Kinetic Generator Unit,0.26,+50%,+38%
513,T-Gel Stabiliser,0.628,+88%,+37%
514,Solar Harvester,0.82,+99%,+41%
515,Liquid Gas Pump,0.539,+93%,+30%
516,T-Gel Recycler,0.173,+63%,+27%
517,Vacuum Harvester,0.5,+50%,+50%
518,Solar Sieve,0.131,+55%,+29%
519,Kinetic Purifier,0.335,+73%,+30%
520,Kinetic Generator Unit,0.849,+94%,+45%
521,Vacuum Sieve,0.539,+93%,+30%
522,Kinetic Filter,0.387,+86%,+26%
523,Vacuum Sieve,0.02,+50%,+26%
524,Vacuum Generator Unit,0.16,+50%,+33%
525,Solar Drain,0.605,+74%,+43%
526,Liquid Gas Stabiliser,0.234,+71%,+26%
527,Liquid Gas Recycler,0.72,+97%,+37%
528,Solar Harvester,0.255,+73%,+26%
529,Kinetic Generator Unit,0.495,+75%,+37%
530,T-Gel Sieve,0.543,+66%,+44%
531,Vacuum Purifier,0.31,+51%,+40%
532,Vacuum Tanks,0.214,+69%,+26%
533,Liquid Gas Sieve,0.122,+60%,+26%
534,Liquid Gas Drain,0.24,+50%,+37%
535,T-Gel Recycler,0.353,+67%,+34%
536,Liquid Gas Stabiliser,0.578,+91%,+33%
537,Solar Drain,0.1,+50%,+30%
538,Kinetic Pump,0.5,+97%,+26%
539,Vacuum Stabiliser,0.352,+61%,+37%
540,Solar Tanks,0.04,+50%,+27%
541,Vacuum Filter,0.26,+50%,+38%
542,Solar Purifier,0.407,+86%,+27%
543,Vacuum Sieve,0.281,+56%,+36%
544,Solar Drain,0.676,+79%,+44%
545,T-Gel Stabiliser,0.27,+51%,+38%
546,T-Gel Generator Unit,0.04,+50%,+27%
547,Vacuum Sieve,0.649,+94%,+35%
548,Solar Sieve,0.528,+90%,+31%
549,T-Gel Recycler,0.36,+52%,+42%
550,Solar Purifier,0.12,+52%,+30%
551,Vacuum Drain,0.408,+88%,+26%
552,Kinetic Stabiliser,0.604,+70%,+45%
553,T-Gel Stabiliser,0.46,+50%,+48%
554,Kinetic Harvester,0.192,+59%,+30%
555,Vacuum Generator Unit,0.3,+50%,+40%
556,Liquid Gas Generator Unit,0.233,+63%,+30%
557,Liquid Gas Drain,0.38,+50%,+44%
558,Kinetic Filter,0.344,+72%,+31%
559,Vacuum Filter,0.656,+79%,+43%
560,T-Gel Generator Unit,0.502,+58%,+46%
561,T-Gel Drain,0.111,+55%,+28%
562,T-Gel Recycler,0.1,+52%,+29%
563,Vacuum Filter,0.18,+50%,+34%
564,Solar Harvester,0.373,+63%,+37%
565,Liquid Gas Purifier,0.344,+72%,+31%
566,Liquid Gas Pump,0.231,+57%,+33%
567,Solar Generator Unit,0.152,+61%,+27%
568,T-Gel Pump,0.244,+70%,+27%
569,Kinetic Pump,0.282,+60%,+34%
570,Kinetic Stabiliser,0.565,+74%,+41%
571,T-Gel Stabiliser,0.416,+77%,+32%
572,Vacuum Stabiliser,0.504,+68%,+41%
573,Liquid Gas Purifier,0.26,+50%,+38%
574,T-Gel Generator Unit,0.473,+63%,+42%
575,Kinetic Purifier,0.061,+54%,+26%
