sep=,
Seed,Name,Perfection,Suit_Armour_Shield_Strength,Suit_Armour_Health
123,Uranium Resonator,0.792,+18%,+33%
124,Vector Padding,0.0,+15%,
125,Bionic Polariser,0.5,,+33%
126,Vector Armour,0.375,+18%,
127,Lightning Bulwark,0.5,,+33%
128,Uranium Polariser,0.125,+16%,
129,Sonic Polariser,0.375,+16%,+33%
130,Sonic Resonator,0.5,,+33%
131,Uranium Grafts,0.167,+15%,+33%
132,Uranium Resonator,0.5,,+33%
133,Vector Resonator,0.0,+15%,
134,Lightning Shield,0.5,+19%,
135,Bionic Polariser,0.5,,+33%
136,Lightning Battery,1.0,+19%,+33%
137,Uranium Polariser,0.5,+19%,
138,Lightning Lattice,0.5,,+33%
139,Uranium Shield,0.0,+15%,
140,Lightning Armour,0.375,+18%,
141,Vector Buffer,0.5,+19%,
142,Lightning Armour,0.5,,+33%
143,Sonic Battery,0.125,+16%,
144,Uranium Polariser,0.5,,+33%
145,Sonic Bulwark,0.5,,+33%
146,Bionic Lattice,0.5,,+33%
147,Uranium Padding,0.25,+17%,
148,Sonic Grafts,0.5,,+33%
149,Vector Shield,0.5,,+33%
150,Sonic Lattice,0.125,+16%,
151,Vector Shield,0.0,+15%,
152,Vector Grafts,0.5,,+33%
153,Sonic Buffer,0.5,,+33%
154,Sonic Resonator,0.5,,+33%
155,Bionic Resonator,0.125,+16%,
156,Vector Padding,0.0,+15%,
157,Uranium Lattice,0.167,+15%,+33%
158,Vector Buffer,0.0,+15%,
159,Uranium Grafts,0.5,,+33%
160,Vector Grafts,0.375,+18%,
161,Vector Padding,0.167,+15%,+33%
162,Vector Battery,0.5,,+33%
163,Lightning Lattice,0.5,,+33%
164,Sonic Grafts,0.583,+17%,+33%
165,Uranium Padding,0.5,,+33%
166,Uranium Battery,0.583,+17%,+33%
167,Lightning Buffer,0.5,,+33%
168,Lightning Armour,0.0,+15%,
169,Sonic Polariser,0.5,,+33%
170,Bionic Bulwark,0.792,+18%,+33%
171,Bionic Armour,0.0,+15%,
172,Vector Bulwark,0.0,+15%,
173,Lightning Polariser,0.5,+19%,
174,Vector Resonator,0.167,+15%,+33%
175,Uranium Battery,0.125,+16%,
176,Sonic Armour,0.5,,+33%
177,Lightning Resonator,0.375,+18%,
178,Bionic Armour,0.167,+15%,+33%
179,Uranium Polariser,0.5,,+33%
180,Sonic Bulwark,0.375,+18%,
181,Bionic Polariser,0.375,+16%,+33%
182,Bionic Padding,0.167,+15%,+33%
183,Uranium Shield,0.375,+16%,+33%
184,Sonic Padding,0.25,+17%,
185,Sonic Resonator,0.25,+17%,
186,Vector Shield,0.5,,+33%
187,Sonic Armour,0.375,+16%,+33%
188,Bionic Padding,0.167,+15%,+33%
189,Lightning Bulwark,0.167,+15%,+33%
190,Bionic Bulwark,0.167,+15%,+33%
191,Bionic Lattice,0.5,,+33%
192,Bionic Buffer,0.167,+15%,+33%
193,Vector Padding,0.167,+15%,+33%
194,Sonic Buffer,0.5,,+33%
195,Lightning Armour,0.5,,+33%
196,Uranium Armour,0.5,,+33%
197,Bionic Resonator,0.5,,+33%
198,Bionic Grafts,0.0,+15%,
199,Sonic Bulwark,0.375,+16%,+33%
200,Bionic Lattice,0.0,+15%,
201,Bionic Resonator,0.375,+18%,
202,Uranium Resonator,0.0,+15%,
203,Bionic Bulwark,0.25,+17%,
204,Bionic Padding,0.5,,+33%
205,Lightning Polariser,0.5,,+33%
206,Uranium Bulwark,0.5,,+33%
207,Vector Grafts,0.5,,+33%
208,Bionic Resonator,1.0,+19%,+33%
209,Uranium Polariser,0.167,+15%,+33%
210,Uranium Lattice,0.0,+15%,
211,Uranium Padding,0.5,,+33%
212,Lightning Grafts,0.5,,+33%
213,Sonic Bulwark,0.0,+15%,
214,Bionic Lattice,0.0,+15%,
215,Sonic Polariser,0.125,+16%,
216,Vector Buffer,0.5,,+33%
217,Bionic Armour,0.0,+15%,
218,Lightning Padding,0.5,,+33%
219,Bionic Bulwark,0.792,+18%,+33%
220,Uranium Shield,0.5,,+33%
221,Sonic Shield,0.5,,+33%
222,Uranium Armour,0.167,+15%,+33%
223,Vector Armour,0.5,,+33%
224,Sonic Battery,0.5,,+33%
225,Lightning Bulwark,0.0,+15%,
226,Bionic Battery,0.375,+16%,+33%
227,Lightning Shield,0.167,+15%,+33%
228,Lightning Buffer,0.375,+16%,+33%
229,Bionic Resonator,0.5,,+33%
230,Uranium Shield,0.5,,+33%
231,Uranium Lattice,0.5,,+33%
232,Lightning Grafts,0.125,+16%,
233,Sonic Shield,0.125,+16%,
234,Vector Battery,0.375,+16%,+33%
235,Lightning Grafts,0.125,+16%,
236,Vector Armour,0.5,,+33%
237,Uranium Bulwark,0.5,,+33%
238,Uranium Padding,0.375,+16%,+33%
239,Vector Buffer,0.5,,+33%
240,Uranium Buffer,0.5,,+33%
241,Bionic Grafts,0.0,+15%,
242,Uranium Resonator,0.5,,+33%
243,Vector Resonator,0.5,,+33%
244,Sonic Buffer,0.5,,+33%
245,Vector Resonator,0.5,,+33%
246,Sonic Armour,0.0,+15%,
247,Bionic Buffer,0.167,+15%,+33%
248,Lightning Grafts,0.375,+16%,+33%
249,Uranium Battery,0.5,,+33%
250,Lightning Battery,0.792,+18%,+33%
251,Bionic Grafts,0.0,+15%,
252,Vector Shield,0.5,,+33%
253,Sonic Bulwark,0.583,+17%,+33%
254,Uranium Armour,0.125,+16%,
255,Vector Buffer,0.792,+18%,+33%
256,Lightning Bulwark,0.375,+16%,+33%
257,Lightning Buffer,0.5,,+33%
258,Bionic Battery,0.5,,+33%
259,Uranium Battery,0.167,+15%,+33%
260,Uranium Battery,0.5,,+33%
261,Lightning Lattice,0.5,,+33%
262,Lightning Grafts,0.5,,+33%
263,Uranium Shield,0.583,+17%,+33%
264,Lightning Grafts,0.5,,+33%
265,Vector Polariser,0.375,+16%,+33%
266,Lightning Battery,0.167,+15%,+33%
267,Sonic Lattice,0.5,,+33%
268,Lightning Polariser,0.25,+17%,
269,Vector Shield,0.583,+17%,+33%
270,Uranium Armour,0.0,+15%,
271,Lightning Padding,0.0,+15%,
272,Uranium Polariser,0.5,,+33%
273,Uranium Lattice,0.375,+16%,+33%
274,Uranium Resonator,0.5,,+33%
275,Vector Resonator,0.125,+16%,
276,Vector Bulwark,0.167,+15%,+33%
277,Sonic Polariser,0.5,,+33%
278,Vector Lattice,0.167,+15%,+33%
279,Bionic Armour,0.25,+17%,
280,Sonic Grafts,0.167,+15%,+33%
281,Vector Padding,1.0,+19%,+33%
282,Lightning Padding,0.167,+15%,+33%
283,Lightning Bulwark,0.25,+17%,
284,Lightning Padding,0.375,+18%,
285,Uranium Armour,0.5,,+33%
286,Lightning Battery,0.5,,+33%
287,Lightning Resonator,0.5,,+33%
288,Lightning Buffer,0.125,+16%,
289,Uranium Buffer,0.5,,+33%
290,Sonic Shield,0.0,+15%,
291,Vector Shield,0.125,+16%,
292,Sonic Buffer,0.375,+16%,+33%
293,Vector Battery,0.167,+15%,+33%
294,Sonic Shield,0.792,+18%,+33%
295,Sonic Shield,0.583,+17%,+33%
296,Lightning Polariser,0.167,+15%,+33%
297,Vector Grafts,0.167,+15%,+33%
298,Sonic Buffer,0.5,,+33%
299,Vector Armour,0.0,+15%,
300,Bionic Armour,0.167,+15%,+33%
301,Uranium Battery,0.375,+16%,+33%
302,Bionic Bulwark,0.167,+15%,+33%
303,Bionic Lattice,0.0,+15%,
304,Uranium Armour,0.5,,+33%
305,Vector Polariser,0.5,,+33%
306,Vector Bulwark,0.375,+18%,
307,Vector Polariser,1.0,+19%,+33%
308,Uranium Buffer,0.5,,+33%
309,Bionic Buffer,0.5,,+33%
310,Sonic Grafts,0.0,+15%,
311,Sonic Padding,0.375,+18%,
312,Bionic Padding,0.5,,+33%
313,Lightning Battery,0.375,+18%,
314,Bionic Grafts,0.125,+16%,
315,Vector Padding,0.5,,+33%
316,Bionic Bulwark,1.0,+19%,+33%
317,Lightning Bulwark,1.0,+19%,+33%
318,Sonic Grafts,0.25,+17%,
319,Lightning Resonator,0.167,+15%,+33%
320,Sonic Shield,0.5,,+33%
321,Lightning Grafts,0.167,+15%,+33%
322,Sonic Buffer,0.5,,+33%
323,Vector Padding,1.0,+19%,+33%
324,Sonic Shield,0.5,+19%,
325,Bionic Shield,0.375,+16%,+33%
326,Bionic Polariser,0.0,+15%,
327,Vector Lattice,0.792,+18%,+33%
328,Uranium Battery,0.0,+15%,
329,Uranium Polariser,0.5,,+33%
330,Bionic Polariser,0.5,,+33%
331,Vector Armour,0.5,,+33%
332,Uranium Shield,0.0,+15%,
333,Uranium Armour,0.0,+15%,
334,Lightning Grafts,0.5,,+33%
335,Bionic Resonator,0.167,+15%,+33%
336,Vector Grafts,0.375,+18%,
337,Bionic Buffer,0.0,+15%,
338,Sonic Buffer,0.5,,+33%
339,Lightning Shield,0.0,+15%,
340,Vector Battery,0.167,+15%,+33%
341,Sonic Buffer,0.5,,+33%
342,Vector Padding,0.167,+15%,+33%
343,Uranium Battery,0.0,+15%,
344,Uranium Lattice,0.167,+15%,+33%
345,Vector Padding,0.5,+19%,
346,Vector Polariser,0.167,+15%,+33%
347,Uranium Battery,0.5,,+33%
348,Uranium Buffer,0.375,+16%,+33%
349,Lightning Resonator,1.0,+19%,+33%
350,Bionic Lattice,0.167,+15%,+33%
351,Bionic Shield,0.5,,+33%
352,Uranium Polariser,0.0,+15%,
353,Uranium Battery,0.0,+15%,
354,Uranium Padding,0.5,,+33%
355,Vector Lattice,0.583,+17%,+33%
356,Vector Armour,0.5,,+33%
357,Sonic Padding,0.25,+17%,
358,Lightning Shield,0.5,,+33%
359,Lightning Armour,0.0,+15%,
360,Uranium Bulwark,0.0,+15%,
361,Lightning Shield,0.792,+18%,+33%
362,Vector Padding,0.5,,+33%
363,Lightning Lattice,0.167,+15%,+33%
364,Uranium Battery,0.792,+18%,+33%
365,Vector Bulwark,0.125,+16%,
366,Lightning Resonator,0.167,+15%,+33%
367,Sonic Armour,0.0,+15%,
368,Uranium Battery,0.0,+15%,
369,Sonic Shield,0.0,+15%,
370,Bionic Grafts,0.167,+15%,+33%
371,Sonic Lattice,0.125,+16%,
372,Bionic Grafts,0.125,+16%,
373,Vector Bulwark,0.167,+15%,+33%
374,Sonic Grafts,0.5,,+33%
375,Bionic Resonator,0.5,,+33%
376,Vector Lattice,0.0,+15%,
377,Sonic Lattice,0.167,+15%,+33%
378,Lightning Grafts,0.5,,+33%
379,Lightning Shield,0.5,,+33%
380,Vector Resonator,0.5,,+33%
381,Sonic Grafts,0.5,,+33%
382,Sonic Polariser,0.5,,+33%
383,Lightning Grafts,0.0,+15%,
384,Lightning Resonator,0.0,+15%,
385,Lightning Bulwark,0.0,+15%,
386,Vector Resonator,0.167,+15%,+33%
387,Uranium Buffer,0.5,,+33%
388,Uranium Shield,0.5,,+33%
389,Bionic Battery,0.5,,+33%
390,Lightning Battery,0.0,+15%,
391,Uranium Grafts,0.5,,+33%
392,Sonic Grafts,0.5,,+33%
393,Uranium Shield,0.5,,+33%
394,Lightning Grafts,0.167,+15%,+33%
395,Uranium Armour,0.5,,+33%
396,Lightning Padding,0.5,,+33%
397,Uranium Lattice,0.583,+17%,+33%
398,Lightning Buffer,0.5,,+33%
399,Vector Padding,1.0,+19%,+33%
400,Vector Armour,0.167,+15%,+33%
401,Vector Armour,0.167,+15%,+33%
402,Uranium Grafts,0.5,,+33%
403,Lightning Bulwark,0.5,,+33%
404,Lightning Bulwark,0.5,,+33%
405,Vector Bulwark,0.375,+18%,
406,Vector Resonator,0.0,+15%,
407,Vector Grafts,0.375,+18%,
408,Sonic Polariser,0.0,+15%,
409,Uranium Battery,1.0,+19%,+33%
410,Bionic Armour,0.167,+15%,+33%
411,Vector Shield,0.5,,+33%
412,Sonic Padding,0.5,,+33%
413,Uranium Battery,0.5,,+33%
414,Bionic Padding,1.0,+19%,+33%
415,Lightning Bulwark,0.0,+15%,
416,Uranium Padding,0.583,+17%,+33%
417,Uranium Polariser,0.375,+16%,+33%
418,Sonic Bulwark,0.5,,+33%
419,Uranium Buffer,0.0,+15%,
420,Vector Resonator,0.583,+17%,+33%
421,Lightning Shield,0.5,,+33%
422,Lightning Battery,1.0,+19%,+33%
423,Sonic Polariser,0.167,+15%,+33%
424,Lightning Lattice,0.5,,+33%
425,Vector Resonator,0.167,+15%,+33%
426,Vector Battery,0.5,,+33%
427,Bionic Shield,0.583,+17%,+33%
428,Lightning Grafts,0.375,+16%,+33%
429,Uranium Bulwark,0.25,+17%,
430,Lightning Grafts,0.125,+16%,
431,Sonic Bulwark,0.5,,+33%
432,Vector Buffer,0.5,,+33%
433,Vector Padding,0.0,+15%,
434,Sonic Lattice,0.583,+17%,+33%
435,Uranium Resonator,0.375,+18%,
436,Uranium Battery,0.125,+16%,
437,Uranium Padding,0.375,+18%,
438,Lightning Resonator,1.0,+19%,+33%
439,Bionic Buffer,0.5,,+33%
440,Sonic Resonator,0.5,,+33%
441,Vector Grafts,0.167,+15%,+33%
442,Vector Shield,0.167,+15%,+33%
443,Sonic Battery,0.125,+16%,
444,Bionic Shield,0.5,,+33%
445,Bionic Grafts,0.125,+16%,
446,Vector Grafts,0.0,+15%,
447,Vector Armour,0.0,+15%,
448,Lightning Grafts,0.5,,+33%
449,Sonic Resonator,0.0,+15%,
450,Vector Bulwark,0.5,,+33%
451,Bionic Battery,0.5,,+33%
452,Sonic Padding,0.167,+15%,+33%
453,Bionic Padding,0.5,,+33%
454,Sonic Bulwark,0.5,,+33%
455,Lightning Armour,0.5,,+33%
456,Vector Lattice,0.792,+18%,+33%
457,Vector Resonator,0.5,,+33%
458,Uranium Resonator,0.167,+15%,+33%
459,Bionic Grafts,0.5,,+33%
460,Sonic Buffer,0.5,,+33%
461,Lightning Buffer,0.25,+17%,
462,Sonic Shield,0.0,+15%,
463,Bionic Padding,0.125,+16%,
464,Lightning Shield,0.125,+16%,
465,Bionic Battery,0.5,+19%,
466,Sonic Buffer,0.583,+17%,+33%
467,Bionic Lattice,0.5,,+33%
468,Lightning Shield,0.375,+18%,
469,Uranium Lattice,0.25,+17%,
470,Bionic Buffer,0.167,+15%,+33%
471,Uranium Resonator,0.583,+17%,+33%
472,Lightning Polariser,0.25,+17%,
473,Lightning Polariser,0.0,+15%,
474,Uranium Armour,0.5,,+33%
475,Uranium Grafts,0.792,+18%,+33%
476,Lightning Resonator,0.0,+15%,
477,Bionic Padding,0.167,+15%,+33%
478,Bionic Buffer,0.0,+15%,
479,Vector Grafts,0.0,+15%,
480,Sonic Padding,0.25,+17%,
481,Uranium Lattice,0.375,+18%,
482,Uranium Battery,0.5,,+33%
483,Vector Shield,0.5,,+33%
484,Lightning Shield,0.5,,+33%
485,Uranium Resonator,0.792,+18%,+33%
486,Uranium Lattice,0.5,,+33%
487,Sonic Lattice,0.5,,+33%
488,Lightning Padding,0.125,+16%,
489,Bionic Polariser,0.167,+15%,+33%
490,Uranium Buffer,0.125,+16%,
491,Bionic Armour,0.167,+15%,+33%
492,Sonic Armour,0.167,+15%,+33%
493,Lightning Resonator,0.792,+18%,+33%
494,Uranium Grafts,0.0,+15%,
495,Uranium Padding,0.375,+18%,
496,Lightning Armour,0.0,+15%,
497,Bionic Polariser,0.5,,+33%
498,Bionic Grafts,0.167,+15%,+33%
499,Bionic Buffer,0.167,+15%,+33%
500,Lightning Bulwark,0.25,+17%,
501,Lightning Shield,0.125,+16%,
502,Lightning Bulwark,0.5,+19%,
503,Uranium Armour,0.0,+15%,
504,Uranium Lattice,0.0,+15%,
505,Vector Battery,0.375,+18%,
506,Bionic Resonator,0.25,+17%,
507,Vector Grafts,0.375,+16%,+33%
508,Sonic Battery,0.0,+15%,
509,Lightning Lattice,0.5,,+33%
510,Bionic Lattice,0.375,+16%,+33%
511,Bionic Resonator,0.125,+16%,
512,Uranium Shield,0.5,,+33%
513,Lightning Bulwark,0.792,+18%,+33%
514,Sonic Resonator,0.5,,+33%
515,Bionic Polariser,0.5,+19%,
516,Lightning Armour,0.375,+16%,+33%
517,Vector Resonator,0.5,,+33%
518,Sonic Buffer,0.167,+15%,+33%
519,Uranium Grafts,0.25,+17%,
520,Uranium Shield,0.5,,+33%
521,Vector Buffer,0.5,,+33%
522,Uranium Lattice,0.375,+18%,
523,Vector Buffer,0.167,+15%,+33%
524,Vector Shield,0.0,+15%,
525,Sonic Padding,0.5,,+33%
526,Bionic Bulwark,0.25,+17%,
527,Bionic Armour,0.5,,+33%
528,Sonic Resonator,0.5,,+33%
529,Uranium Shield,0.5,,+33%
530,Lightning Buffer,0.125,+16%,
531,Vector Grafts,0.167,+15%,+33%
532,Vector Battery,0.5,,+33%
533,Bionic Buffer,0.125,+16%,
534,Bionic Padding,0.5,,+33%
535,Lightning Armour,0.125,+16%,
536,Bionic Bulwark,0.5,+19%,
537,Sonic Padding,0.5,,+33%
538,Uranium Polariser,1.0,+19%,+33%
539,Vector Bulwark,0.375,+16%,+33%
540,Sonic Battery,0.5,,+33%
541,Vector Lattice,0.167,+15%,+33%
542,Sonic Grafts,0.792,+18%,+33%
543,Vector Buffer,0.167,+15%,+33%
544,Sonic Padding,0.5,,+33%
545,Lightning Bulwark,0.5,,+33%
546,Lightning Shield,0.167,+15%,+33%
547,Vector Buffer,1.0,+19%,+33%
548,Sonic Buffer,0.5,,+33%
549,Lightning Armour,0.0,+15%,
550,Sonic Grafts,0.5,,+33%
551,Vector Padding,0.5,,+33%
552,Uranium Bulwark,0.5,,+33%
553,Lightning Bulwark,0.167,+15%,+33%
554,Uranium Resonator,0.0,+15%,
555,Vector Shield,0.0,+15%,
556,Bionic Shield,0.125,+16%,
557,Bionic Padding,0.5,,+33%
558,Uranium Lattice,0.25,+17%,
559,Vector Lattice,0.583,+17%,+33%
560,Lightning Shield,0.167,+15%,+33%
561,Lightning Padding,0.167,+15%,+33%
562,Lightning Armour,0.0,+15%,
563,Vector Lattice,0.167,+15%,+33%
564,Sonic Resonator,0.5,,+33%
565,Bionic Grafts,0.5,,+33%
566,Bionic Polariser,0.0,+15%,
567,Sonic Shield,0.375,+16%,+33%
568,Lightning Polariser,0.583,+17%,+33%
569,Uranium Polariser,0.375,+16%,+33%
570,Uranium Bulwark,0.5,,+33%
571,Lightning Bulwark,0.5,,+33%
572,Vector Bulwark,0.125,+16%,
573,Bionic Grafts,0.0,+15%,
574,Lightning Shield,0.375,+16%,+33%
575,Uranium Grafts,0.5,,+33%
576,Uranium Bulwark,0.167,+15%,+33%
577,Lightning Bulwark,0.5,,+33%
578,Uranium Armour,0.0,+15%,
579,Sonic Armour,0.375,+16%,+33%
580,Bionic Shield,0.5,,+33%
581,Lightning Grafts,0.375,+16%,+33%
582,Uranium Resonator,0.0,+15%,
583,Bionic Resonator,0.792,+18%,+33%
584,Bionic Armour,0.5,,+33%
585,Bionic Armour,0.0,+15%,
586,Sonic Resonator,0.375,+16%,+33%
587,Bionic Resonator,0.583,+17%,+33%
588,Bionic Polariser,0.125,+16%,
589,Bionic Lattice,0.0,+15%,
590,Lightning Polariser,0.375,+18%,
591,Sonic Bulwark,0.25,+17%,
592,Sonic Buffer,0.5,,+33%
593,Lightning Padding,0.5,,+33%
594,Sonic Lattice,0.125,+16%,
595,Bionic Buffer,0.167,+15%,+33%
596,Lightning Bulwark,1.0,+19%,+33%
597,Sonic Bulwark,1.0,+19%,+33%
598,Lightning Padding,0.167,+15%,+33%
599,Lightning Padding,0.125,+16%,
600,Bionic Bulwark,0.167,+15%,+33%
601,Bionic Padding,0.0,+15%,
602,Uranium Battery,0.167,+15%,+33%
603,Lightning Shield,0.5,,+33%
604,Uranium Lattice,0.5,,+33%
605,Sonic Battery,0.167,+15%,+33%
606,Lightning Battery,0.5,,+33%
607,Lightning Padding,0.167,+15%,+33%
608,Uranium Resonator,1.0,+19%,+33%
609,Bionic Polariser,0.5,+19%,
610,Sonic Resonator,0.5,,+33%
611,Bionic Armour,0.5,,+33%
612,Lightning Padding,0.25,+17%,
613,Bionic Padding,0.5,,+33%
614,Uranium Bulwark,0.5,,+33%
615,Bionic Bulwark,0.125,+16%,
616,Sonic Bulwark,0.375,+16%,+33%
617,Lightning Armour,0.167,+15%,+33%
618,Bionic Polariser,0.5,,+33%
619,Vector Padding,0.167,+15%,+33%
620,Sonic Grafts,1.0,+19%,+33%
621,Uranium Buffer,0.167,+15%,+33%
622,Sonic Grafts,0.5,,+33%
623,Uranium Armour,0.167,+15%,+33%
624,Sonic Lattice,0.5,,+33%
625,Uranium Grafts,0.375,+16%,+33%
626,Bionic Buffer,0.167,+15%,+33%
627,Uranium Grafts,0.125,+16%,
628,Vector Grafts,0.5,,+33%
629,Lightning Bulwark,0.5,,+33%
630,Lightning Resonator,0.5,,+33%
631,Lightning Padding,0.25,+17%,
632,Bionic Grafts,0.167,+15%,+33%
633,Vector Padding,0.5,,+33%
634,Bionic Padding,0.5,,+33%
635,Vector Grafts,0.167,+15%,+33%
636,Bionic Polariser,0.167,+15%,+33%
637,Vector Battery,0.5,,+33%
638,Vector Padding,0.5,,+33%
639,Lightning Battery,0.5,,+33%
640,Uranium Armour,0.5,,+33%
641,Lightning Padding,0.5,,+33%
642,Sonic Padding,0.5,,+33%
643,Sonic Buffer,0.0,+15%,
644,Bionic Resonator,0.5,,+33%
645,Sonic Resonator,0.792,+18%,+33%
646,Sonic Shield,0.125,+16%,
647,Lightning Buffer,0.5,,+33%
648,Uranium Grafts,0.5,,+33%
649,Bionic Grafts,0.167,+15%,+33%
650,Uranium Battery,0.5,,+33%
651,Lightning Padding,0.0,+15%,
652,Lightning Battery,0.5,,+33%
653,Uranium Resonator,0.792,+18%,+33%
654,Lightning Lattice,0.25,+17%,
655,Lightning Bulwark,0.5,,+33%
656,Sonic Buffer,0.5,,+33%
657,Sonic Shield,0.0,+15%,
658,Bionic Battery,0.5,,+33%
659,Vector Padding,0.167,+15%,+33%
660,Vector Polariser,0.0,+15%,
661,Lightning Grafts,0.125,+16%,
662,Bionic Grafts,0.167,+15%,+33%
663,Uranium Shield,0.5,,+33%
664,Lightning Resonator,0.5,,+33%
665,Sonic Buffer,0.167,+15%,+33%
666,Vector Padding,0.5,,+33%
667,Lightning Shield,0.5,,+33%
668,Sonic Buffer,0.792,+18%,+33%
669,Lightning Lattice,0.0,+15%,
670,Sonic Lattice,0.5,,+33%
671,Vector Shield,0.5,,+33%
672,Uranium Buffer,0.5,,+33%
673,Uranium Battery,0.0,+15%,
674,Lightning Shield,0.5,,+33%
675,Vector Grafts,0.5,,+33%
676,Sonic Padding,0.125,+16%,
677,Bionic Bulwark,0.5,,+33%
678,Lightning Buffer,0.5,,+33%
679,Vector Buffer,0.5,,+33%
680,Bionic Resonator,0.0,+15%,
681,Vector Lattice,0.0,+15%,
