sep=,
Seed,Name,Perfection,Suit_Energy,Suit_Energy_Regen
345,Carbon Drain,0.5,+19%,
346,Carbon Pump,0.0,+5%,
347,Oxygen Tanks,0.056,,+2%
348,Oxygen Sieve,0.056,,+2%
349,Gas Harvester,0.111,,+3%
350,Nitrogen Filter,0.5,,+10%
351,Nitrogen Generator Unit,0.056,,+2%
352,Oxygen Pump,0.0,+5%,
353,Oxygen Tanks,0.036,+6%,
354,Oxygen Drain,0.389,,+8%
355,Carbon Filter,0.302,+11%,+2%
356,Carbon Recycler,0.111,,+3%
357,Ammonium Drain,0.25,+12%,
358,Gas Generator Unit,0.056,,+2%
359,Gas Recycler,0.0,+5%,
360,Oxygen Stabiliser,0.036,+6%,
361,Gas Generator Unit,0.321,+14%,
362,Carbon Drain,0.056,,+2%
363,Gas Filter,0.354,+6%,+8%
364,Oxygen Tanks,0.389,,+8%
365,Carbon Stabiliser,0.179,+10%,
366,Gas Harvester,0.4,+5%,+10%
367,Ammonium Recycler,0.0,+5%,
368,Oxygen Tanks,0.036,+6%,
369,Ammonium Generator Unit,0.0,+5%,
370,Nitrogen Purifier,0.0,+5%,
371,Ammonium Filter,0.179,+10%,
372,Nitrogen Purifier,0.179,+10%,
373,Carbon Stabiliser,0.13,+7%,+2%
374,Ammonium Purifier,0.056,,+2%
375,Nitrogen Harvester,0.111,,+3%
376,Carbon Filter,0.0,+5%,
377,Ammonium Filter,0.044,+5%,+2%
378,Gas Purifier,0.278,,+6%
379,Gas Generator Unit,0.056,,+2%
380,Carbon Harvester,0.056,,+2%
381,Ammonium Purifier,0.056,,+2%
382,Ammonium Pump,0.222,,+5%
383,Gas Purifier,0.036,+6%,
384,Gas Harvester,0.0,+5%,
385,Gas Stabiliser,0.0,+5%,
386,Carbon Harvester,0.222,+5%,+6%
387,Oxygen Sieve,0.278,,+6%
388,Oxygen Generator Unit,0.222,,+5%
389,Nitrogen Tanks,0.056,,+2%
390,Gas Tanks,0.0,+5%,
391,Oxygen Purifier,0.056,,+2%
392,Ammonium Purifier,0.222,,+5%
393,Oxygen Generator Unit,0.056,,+2%
394,Gas Purifier,0.044,+5%,+2%
395,Oxygen Recycler,0.056,,+2%
396,Gas Drain,0.056,,+2%
397,Oxygen Filter,0.387,+13%,+2%
398,Gas Sieve,0.056,,+2%
399,Carbon Drain,0.781,+17%,+7%
400,Carbon Recycler,0.13,+7%,+2%
401,Carbon Recycler,0.0,+5%,
402,Oxygen Purifier,0.167,,+4%
403,Gas Stabiliser,0.111,,+3%
404,Gas Stabiliser,0.056,,+2%
405,Carbon Stabiliser,0.393,+16%,
406,Carbon Harvester,0.036,+6%,
407,Carbon Purifier,0.321,+14%,
408,Ammonium Pump,0.0,+5%,
409,Oxygen Tanks,0.911,+19%,+8%
410,Nitrogen Recycler,0.222,+5%,+6%
411,Carbon Generator Unit,0.056,,+2%
412,Ammonium Drain,0.111,,+3%
413,Oxygen Tanks,0.056,,+2%
414,Nitrogen Drain,0.464,+18%,
415,Gas Stabiliser,0.0,+5%,
416,Oxygen Drain,0.389,+12%,+3%
417,Oxygen Pump,0.278,,+6%
418,Ammonium Stabiliser,0.222,,+5%
419,Oxygen Sieve,0.0,+5%,
420,Carbon Harvester,0.7,+12%,+10%
421,Gas Generator Unit,0.0,,+1%
422,Gas Tanks,0.557,+18%,+1%
423,Ammonium Pump,0.044,+5%,+2%
424,Gas Filter,0.222,,+5%
425,Carbon Harvester,0.036,+6%,
426,Carbon Tanks,0.056,,+2%
427,Nitrogen Generator Unit,0.522,+12%,+6%
428,Gas Purifier,0.173,+8%,+2%
429,Oxygen Stabiliser,0.214,+11%,
430,Gas Purifier,0.143,+9%,
431,Ammonium Stabiliser,0.056,,+2%
432,Carbon Sieve,0.278,,+6%
433,Carbon Drain,0.071,+7%,
434,Ammonium Filter,0.333,,+7%
435,Oxygen Harvester,0.357,+15%,
436,Oxygen Tanks,0.143,+9%,
437,Oxygen Drain,0.321,+14%,
438,Gas Harvester,0.464,+18%,
439,Nitrogen Sieve,0.056,,+2%
440,Ammonium Harvester,0.167,,+4%
441,Carbon Purifier,0.071,+7%,
442,Carbon Generator Unit,0.0,+5%,+1%
443,Ammonium Tanks,0.107,+8%,
444,Nitrogen Generator Unit,0.056,,+2%
445,Nitrogen Purifier,0.107,+8%,
446,Carbon Purifier,0.0,+5%,
447,Carbon Recycler,0.071,+7%,
448,Gas Purifier,0.056,,+2%
449,Ammonium Harvester,0.036,+6%,
450,Carbon Stabiliser,0.056,,+2%
451,Nitrogen Tanks,0.333,,+7%
452,Ammonium Drain,0.13,+7%,+2%
453,Nitrogen Drain,0.056,,+2%
454,Ammonium Stabiliser,0.056,,+2%
455,Gas Recycler,0.278,,+6%
456,Carbon Filter,0.357,+15%,
457,Carbon Harvester,0.0,,+1%
458,Oxygen Harvester,0.13,+7%,+2%
459,Nitrogen Purifier,0.056,,+2%
460,Ammonium Sieve,0.5,,+10%
461,Gas Sieve,0.214,+11%,
462,Ammonium Generator Unit,0.0,+5%,
463,Nitrogen Drain,0.143,+9%,
464,Gas Generator Unit,0.179,+10%,
465,Nitrogen Tanks,0.5,+19%,
466,Ammonium Sieve,0.344,+12%,+2%
467,Nitrogen Filter,0.056,,+2%
468,Gas Generator Unit,0.357,+15%,
469,Oxygen Filter,0.25,+12%,
470,Nitrogen Sieve,0.311,+5%,+8%
471,Oxygen Harvester,0.387,+13%,+2%
472,Gas Pump,0.25,+12%,
473,Gas Pump,0.0,+5%,
474,Oxygen Recycler,0.056,,+2%
475,Oxygen Purifier,0.056,,+2%
476,Gas Harvester,0.0,+5%,
477,Nitrogen Drain,0.044,+5%,+2%
478,Nitrogen Sieve,0.036,+6%,
479,Carbon Purifier,0.071,+7%,
480,Ammonium Drain,0.214,+11%,
481,Oxygen Filter,0.357,+15%,
482,Oxygen Tanks,0.056,,+2%
483,Carbon Generator Unit,0.056,,+2%
484,Gas Generator Unit,0.056,,+2%
485,Oxygen Harvester,0.056,,+2%
486,Oxygen Filter,0.056,,+2%
487,Ammonium Filter,0.333,,+7%
488,Gas Drain,0.107,+8%,
489,Nitrogen Pump,0.044,+5%,+2%
490,Oxygen Sieve,0.143,+9%,
491,Nitrogen Recycler,0.056,,+2%
492,Ammonium Recycler,0.31,+6%,+7%
493,Gas Harvester,0.0,,+1%
494,Oxygen Purifier,0.0,+5%,
495,Oxygen Drain,0.357,+15%,
496,Gas Recycler,0.0,+5%,
497,Nitrogen Pump,0.056,,+2%
498,Nitrogen Purifier,0.0,+5%,
499,Nitrogen Sieve,0.056,,+2%
500,Gas Stabiliser,0.214,+11%,
501,Gas Generator Unit,0.107,+8%,
502,Gas Stabiliser,0.429,+17%,
503,Oxygen Recycler,0.0,+5%,
504,Oxygen Filter,0.0,+5%,
505,Carbon Tanks,0.357,+15%,
506,Nitrogen Harvester,0.214,+11%,
507,Carbon Purifier,0.262,+8%,+4%
508,Ammonium Tanks,0.0,+5%,
509,Gas Filter,0.056,,+2%
510,Nitrogen Filter,0.259,+10%,+2%
511,Nitrogen Harvester,0.143,+9%,
512,Oxygen Generator Unit,0.167,,+4%
513,Gas Stabiliser,0.393,+16%,
514,Ammonium Harvester,0.222,,+5%
515,Nitrogen Pump,0.429,+17%,
516,Gas Recycler,0.143,+9%,
517,Carbon Harvester,0.5,,+10%
518,Ammonium Sieve,0.036,+6%,
519,Oxygen Purifier,0.25,+12%,
520,Oxygen Generator Unit,0.333,,+7%
521,Carbon Sieve,0.056,,+2%
522,Oxygen Filter,0.393,+16%,
523,Carbon Sieve,0.044,+5%,+2%
524,Carbon Generator Unit,0.0,+5%,
525,Ammonium Drain,0.278,,+6%
526,Nitrogen Stabiliser,0.214,+11%,
527,Nitrogen Recycler,0.111,,+3%
528,Ammonium Harvester,0.056,,+2%
529,Oxygen Generator Unit,0.167,,+4%
530,Gas Sieve,0.143,+9%,
531,Carbon Purifier,0.133,+5%,+4%
532,Carbon Tanks,0.056,,+2%
533,Nitrogen Sieve,0.107,+8%,
534,Nitrogen Drain,0.111,,+3%
535,Gas Recycler,0.179,+10%,
536,Nitrogen Stabiliser,0.429,+17%,
537,Ammonium Drain,0.056,,+2%
538,Oxygen Pump,0.644,+19%,+2%
539,Carbon Stabiliser,0.107,+8%,
540,Ammonium Tanks,0.056,,+2%
541,Carbon Filter,0.0,+5%,
542,Ammonium Purifier,0.056,,+2%
543,Carbon Sieve,0.132,+6%,+3%
544,Ammonium Drain,0.278,,+6%
545,Gas Stabiliser,0.167,,+4%
546,Gas Generator Unit,0.056,,+2%
547,Carbon Sieve,0.111,,+3%
548,Ammonium Sieve,0.056,,+2%
549,Gas Recycler,0.0,+5%,
550,Ammonium Purifier,0.056,,+2%
551,Carbon Drain,0.0,,+1%
552,Oxygen Stabiliser,0.333,,+7%
553,Gas Stabiliser,0.356,+5%,+9%
554,Oxygen Harvester,0.071,+7%,
555,Carbon Generator Unit,0.0,+5%,
556,Nitrogen Generator Unit,0.143,+9%,
557,Nitrogen Drain,0.333,,+7%
558,Oxygen Filter,0.214,+11%,
559,Carbon Filter,0.565,+13%,+6%
560,Gas Generator Unit,0.397,+7%,+8%
561,Gas Drain,0.087,+6%,+2%
562,Gas Recycler,0.0,+5%,
563,Carbon Filter,0.089,+5%,+3%
564,Ammonium Harvester,0.111,,+3%
565,Nitrogen Purifier,0.056,,+2%
566,Nitrogen Pump,0.071,+7%,
567,Ammonium Generator Unit,0.173,+8%,+2%
568,Gas Pump,0.056,,+2%
569,Oxygen Pump,0.217,+8%,+3%
570,Oxygen Stabiliser,0.222,,+5%
571,Gas Stabiliser,0.056,,+2%
572,Carbon Stabiliser,0.179,+10%,
573,Nitrogen Purifier,0.0,+5%,
574,Gas Generator Unit,0.222,,+5%
575,Oxygen Purifier,0.0,,+1%
576,Oxygen Stabiliser,0.044,+5%,+2%
577,Gas Stabiliser,0.056,,+2%
578,Oxygen Recycler,0.0,+5%,
579,Ammonium Recycler,0.179,+10%,
580,Nitrogen Generator Unit,0.056,,+2%
581,Gas Purifier,0.179,+10%,
582,Oxygen Harvester,0.071,+7%,
583,Nitrogen Harvester,0.321,+14%,
584,Nitrogen Recycler,0.444,,+9%
585,Nitrogen Recycler,0.036,+6%,
586,Ammonium Harvester,0.5,,+10%
587,Nitrogen Harvester,0.25,+12%,
588,Nitrogen Pump,0.179,+10%,
589,Nitrogen Filter,0.036,+6%,
590,Gas Pump,0.321,+14%,
591,Ammonium Stabiliser,0.214,+11%,
592,Ammonium Sieve,0.111,,+3%
593,Gas Drain,0.056,,+2%
594,Ammonium Filter,0.179,+10%,
595,Nitrogen Sieve,0.0,+5%,
596,Gas Stabiliser,0.5,+19%,
597,Ammonium Stabiliser,0.464,+18%,
598,Gas Drain,0.0,+5%,
599,Gas Drain,0.107,+8%,
600,Nitrogen Stabiliser,0.056,,+2%
601,Nitrogen Drain,0.0,+5%,
602,Oxygen Tanks,0.087,+6%,+2%
603,Gas Generator Unit,0.056,,+2%
604,Oxygen Filter,0.167,,+4%
605,Ammonium Tanks,0.389,,+8%
606,Gas Tanks,0.056,,+2%
607,Gas Drain,0.089,+5%,+3%
608,Oxygen Harvester,0.056,,+2%
609,Nitrogen Pump,0.5,+19%,
610,Ammonium Harvester,0.056,,+2%
611,Nitrogen Recycler,0.222,,+5%
612,Gas Drain,0.214,+11%,
613,Nitrogen Drain,0.056,,+2%
614,Oxygen Stabiliser,0.056,,+2%
615,Nitrogen Stabiliser,0.179,+10%,
616,Ammonium Stabiliser,0.129,+8%,+1%
617,Gas Recycler,0.167,,+4%
618,Nitrogen Pump,0.278,,+6%
619,Carbon Drain,0.044,+5%,+2%
620,Ammonium Purifier,0.602,+18%,+2%
621,Oxygen Sieve,0.397,+7%,+8%
622,Ammonium Purifier,0.056,,+2%
623,Oxygen Recycler,0.071,+7%,
624,Ammonium Filter,0.167,,+4%
625,Oxygen Purifier,0.44,+8%,+8%
626,Nitrogen Sieve,0.441,+7%,+9%
627,Oxygen Purifier,0.107,+8%,
628,Carbon Purifier,0.056,,+2%
629,Gas Stabiliser,0.222,,+5%
630,Gas Harvester,0.333,,+7%
631,Gas Drain,0.25,+12%,
632,Nitrogen Purifier,0.167,,+4%
633,Carbon Drain,0.056,,+2%
634,Nitrogen Drain,0.056,,+2%
635,Carbon Purifier,0.13,+7%,+2%
636,Nitrogen Pump,0.089,+5%,+3%
637,Carbon Tanks,0.278,,+6%
638,Carbon Drain,0.167,,+4%
639,Gas Tanks,0.056,,+2%
640,Oxygen Recycler,0.333,,+7%
641,Gas Drain,0.111,,+3%
642,Ammonium Drain,0.056,,+2%
643,Ammonium Sieve,0.036,+6%,
644,Nitrogen Harvester,0.056,,+2%
645,Ammonium Harvester,0.357,+15%,
646,Ammonium Generator Unit,0.107,+8%,
647,Gas Sieve,0.056,,+2%
648,Oxygen Purifier,0.056,,+2%
649,Nitrogen Purifier,0.056,,+2%
650,Oxygen Tanks,0.278,,+6%
651,Gas Drain,0.071,+7%,
652,Gas Tanks,0.056,,+2%
653,Oxygen Harvester,0.393,+16%,
654,Gas Filter,0.286,+13%,
655,Gas Stabiliser,0.222,,+5%
656,Ammonium Sieve,0.167,,+4%
657,Ammonium Generator Unit,0.036,+6%,
658,Nitrogen Tanks,0.056,,+2%
