Seed	Name	Perfection	Suit_Energy	Suit_Energy_Regen
84	High-Volume Pump	0.723	+39%	+20%
85	Biofuel Stabiliser	0.156	+23%	+6%
86	Organic Sieve	0.184	+21%	+9%
87	Alkaloid Filter	0.445	+41%	+5%
88	Biofuel Sieve	0.318	+36%	+3%
89	Alkaloid Drain	0.0	+20%	+1%
90	Biofuel Harvester	0.107	+25%	+2%
91	Microbe Purifier	0.241	+34%	+1%
92	High-Volume Harvester	0.436	+32%	+12%
93	High-Volume Recycler	0.224	+33%	+1%
94	Organic Drain	0.093	+23%	+3%
95	High-Volume Purifier	0.845	+40%	+25%
96	High-Volume Filter	0.433	+27%	+16%
97	Alkaloid Purifier	0.042	+20%	+3%
98	Organic Harvester	0.31	+38%	+1%
99	Biofuel Pump	0.0	+20%	+1%
100	Biofuel Tanks	0.587	+48%	+6%
101	High-Volume Generator Unit	0.0	+20%	+1%
102	Alkaloid Purifier	0.641	+33%	+21%
103	Organic Stabiliser	0.131	+24%	+4%
104	Organic Tanks	0.354	+20%	+18%
105	Organic Purifier	0.052	+23%	+1%
106	Organic Purifier	0.362	+41%	+1%
107	Organic Sieve	0.532	+40%	+10%
108	High-Volume Sieve	0.034	+22%	+1%
109	Organic Stabiliser	0.0	+20%	+1%
110	Alkaloid Tanks	0.194	+24%	+7%
111	Microbe Recycler	0.309	+21%	+15%
112	High-Volume Purifier	0.525	+42%	+8%
113	Biofuel Drain	0.093	+23%	+3%
114	Microbe Tanks	0.076	+22%	+3%
115	High-Volume Tanks	0.5	+49%	+1%
116	High-Volume Harvester	0.155	+29%	+1%
117	Biofuel Tanks	0.0	+20%	+1%
118	High-Volume Harvester	0.347	+22%	+16%
119	Organic Drain	0.514	+45%	+5%
120	High-Volume Filter	0.017	+21%	
121	High-Volume Harvester	0.107	+25%	+2%
122	High-Volume Drain	0.125	+20%	+7%
123	Organic Harvester	0.331	+38%	+2%
124	Microbe Drain	0.021	+20%	+2%
125	Alkaloid Pump	0.142	+27%	+2%
126	Microbe Recycler	0.626	+43%	+12%
127	High-Volume Stabiliser	0.0	+20%	+1%
128	Organic Pump	0.176	+29%	+2%
129	Biofuel Pump	0.142	+27%	+2%
130	Biofuel Harvester	0.521	+49%	+2%
131	Organic Purifier	0.059	+21%	+3%
132	Organic Harvester	0.034	+22%	
133	Microbe Harvester	0.09	+24%	+2%
134	High-Volume Generator Unit	0.431	+45%	+1%
135	Alkaloid Pump	0.397	+43%	+1%
136	High-Volume Tanks	0.448	+46%	+1%
137	Organic Pump	0.448	+46%	+1%
138	High-Volume Filter	0.414	+44%	+1%
139	Organic Generator Unit	0.482	+25%	+20%
140	High-Volume Recycler	0.379	+42%	
141	Microbe Sieve	0.524	+48%	+3%
142	High-Volume Recycler	0.017	+21%	+1%
143	Biofuel Tanks	0.294	+31%	+6%
144	Organic Pump	0.328	+39%	+1%
145	Biofuel Stabiliser	0.407	+40%	+4%
146	Alkaloid Filter	0.379	+42%	+1%
147	Organic Drain	0.283	+34%	+3%
148	Biofuel Purifier	0.224	+33%	+1%
149	Microbe Generator Unit	0.514	+45%	+5%
150	Biofuel Filter	0.2	+28%	+4%
151	Microbe Generator Unit	0.017	+21%	+1%
152	Microbe Purifier	0.232	+25%	+8%
153	Biofuel Sieve	0.19	+31%	+1%
154	Biofuel Harvester	0.062	+20%	+4%
155	Alkaloid Harvester	0.159	+28%	+2%
156	Microbe Drain	0.097	+22%	+4%
157	Organic Filter	0.097	+22%	+4%
158	Microbe Sieve	0.33	+21%	+16%
159	Organic Purifier	0.017	+21%	+1%
160	Microbe Purifier	0.379	+42%	+1%
161	Microbe Drain	0.052	+23%	+1%
162	Microbe Tanks	0.172	+30%	+1%
163	High-Volume Filter	0.315	+25%	+12%
164	Biofuel Purifier	0.259	+35%	+1%
165	Organic Drain	0.578	+33%	+18%
166	Organic Tanks	0.224	+33%	+1%
167	High-Volume Sieve	0.249	+26%	+8%
168	High-Volume Recycler	0.267	+21%	+13%
169	Biofuel Pump	0.276	+36%	+1%
170	Alkaloid Stabiliser	0.525	+42%	+8%
171	Alkaloid Recycler	0.163	+21%	+8%
172	Microbe Stabiliser	0.0	+20%	+1%
173	High-Volume Pump	0.448	+46%	+1%
174	Microbe Harvester	0.021	+20%	+2%
175	Organic Tanks	0.103	+26%	
176	Biofuel Recycler	0.862	+41%	+25%
177	High-Volume Harvester	0.442	+42%	+4%
178	Alkaloid Recycler	0.052	+23%	+1%
179	Organic Pump	0.0	+20%	
180	Biofuel Stabiliser	0.328	+39%	+1%
181	Alkaloid Pump	0.419	+31%	+12%
182	Alkaloid Drain	0.017	+21%	
183	Organic Generator Unit	0.19	+31%	+1%
184	Biofuel Drain	0.224	+33%	+1%
185	Biofuel Harvester	0.259	+35%	+1%
186	Microbe Generator Unit	0.5	+49%	+1%
187	Biofuel Recycler	0.121	+27%	+1%
188	Alkaloid Drain	0.389	+22%	+18%
189	High-Volume Stabiliser	0.135	+23%	+5%
190	Alkaloid Stabiliser	0.034	+22%	+1%
191	Alkaloid Filter	0.017	+21%	+1%
192	Alkaloid Sieve	0.274	+25%	+10%
193	Microbe Drain	0.458	+20%	+23%
194	Biofuel Sieve	0.331	+38%	+2%
195	High-Volume Recycler	0.644	+38%	+17%
196	Organic Recycler	0.034	+22%	+1%
197	Alkaloid Harvester	0.118	+22%	+5%
198	Alkaloid Purifier	0.052	+23%	+1%
199	Biofuel Stabiliser	0.155	+29%	
200	Alkaloid Filter	0.0	+20%	
201	Alkaloid Harvester	0.404	+41%	+3%
202	Organic Harvester	0.042	+20%	+3%
203	Alkaloid Stabiliser	0.346	+34%	+6%
204	Alkaloid Drain	0.616	+34%	+19%
205	High-Volume Pump	0.505	+36%	+12%
206	Organic Stabiliser	0.241	+34%	+1%
207	Microbe Purifier	0.042	+20%	+3%
208	Alkaloid Harvester	0.448	+46%	
209	Organic Pump	0.042	+20%	+3%
210	Organic Filter	0.25	+20%	+13%
211	Organic Drain	0.104	+20%	+6%
212	High-Volume Purifier	0.156	+23%	+6%
213	Biofuel Stabiliser	0.034	+22%	
214	Alkaloid Filter	0.0	+20%	
215	Biofuel Pump	0.252	+31%	+4%
216	Microbe Sieve	0.276	+36%	+1%
217	Alkaloid Recycler	0.034	+22%	+1%
218	High-Volume Drain	0.069	+24%	+1%
219	Alkaloid Stabiliser	0.362	+41%	+1%
220	Organic Generator Unit	0.879	+48%	+20%
221	Biofuel Generator Unit	0.276	+36%	
222	Organic Recycler	0.034	+22%	+1%
223	Microbe Recycler	0.034	+22%	+1%
224	Biofuel Tanks	0.315	+31%	+7%
225	High-Volume Stabiliser	0.017	+21%	+1%
226	Alkaloid Tanks	0.287	+27%	+9%
227	High-Volume Generator Unit	0.527	+24%	+23%
228	High-Volume Sieve	0.172	+30%	
229	Alkaloid Harvester	0.156	+23%	+6%
230	Organic Generator Unit	0.121	+27%	+1%
231	Organic Filter	0.235	+30%	+4%
232	High-Volume Purifier	0.46	+31%	+14%
233	Biofuel Generator Unit	0.166	+26%	+4%
234	Microbe Tanks	0.583	+26%	+24%
235	High-Volume Purifier	0.121	+27%	+1%
236	Microbe Recycler	0.517	+21%	+25%
237	Organic Stabiliser	0.346	+34%	+6%
238	Organic Drain	0.138	+28%	
239	Microbe Sieve	0.485	+30%	+16%
240	Organic Sieve	0.473	+45%	+3%
241	Alkaloid Purifier	0.017	+21%	+1%
242	Organic Harvester	0.017	+21%	+1%
243	Microbe Harvester	0.626	+43%	+12%
244	Biofuel Sieve	0.069	+24%	+1%
245	Microbe Harvester	0.529	+35%	+14%
246	Biofuel Recycler	0.438	+20%	+22%
247	Alkaloid Sieve	0.062	+20%	+4%
248	High-Volume Purifier	0.523	+31%	+17%
249	Organic Tanks	0.583	+49%	+5%
250	High-Volume Tanks	0.31	+38%	
251	Alkaloid Purifier	0.034	+22%	+1%
252	Microbe Generator Unit	0.329	+27%	+11%
253	Biofuel Stabiliser	0.293	+37%	+1%
254	Organic Recycler	0.172	+30%	+1%
255	Microbe Sieve	0.328	+39%	+1%
256	High-Volume Stabiliser	0.138	+28%	
257	High-Volume Sieve	0.086	+25%	
258	Alkaloid Tanks	0.362	+41%	+1%
259	Organic Tanks	0.0	+20%	
260	Organic Tanks	0.073	+23%	+2%
261	High-Volume Filter	0.431	+45%	+1%
262	High-Volume Purifier	0.0	+20%	+1%
263	Organic Generator Unit	0.269	+32%	+4%
264	High-Volume Purifier	0.431	+45%	+1%
265	Microbe Pump	0.162	+27%	+3%
266	High-Volume Tanks	0.021	+20%	+2%
267	Biofuel Filter	0.017	+21%	+1%
268	High-Volume Pump	0.311	+32%	+6%
269	Microbe Generator Unit	0.276	+36%	+1%
270	Organic Recycler	0.0	+20%	+1%
271	High-Volume Drain	0.017	+21%	+1%
272	Organic Pump	0.335	+37%	+3%
273	Organic Filter	0.138	+28%	+1%
274	Organic Harvester	0.293	+37%	+1%
275	Microbe Harvester	0.176	+29%	+2%
276	Microbe Stabiliser	0.246	+21%	+12%
277	Biofuel Pump	0.052	+23%	+1%
278	Microbe Filter	0.034	+22%	+1%
279	Alkaloid Recycler	0.311	+32%	+6%
280	Biofuel Purifier	0.017	+21%	+1%
281	Microbe Drain	0.539	+44%	+7%
282	High-Volume Drain	0.451	+22%	+21%
283	High-Volume Stabiliser	0.693	+36%	+21%
284	High-Volume Drain	0.362	+41%	+1%
285	Organic Recycler	0.156	+23%	+6%
286	High-Volume Tanks	0.142	+27%	+2%
287	High-Volume Harvester	0.362	+41%	+1%
288	High-Volume Sieve	0.19	+31%	+1%
289	Organic Sieve	0.582	+32%	+19%
290	Biofuel Generator Unit	0.0	+20%	+1%
291	Microbe Generator Unit	0.214	+30%	+3%
292	Biofuel Sieve	0.371	+27%	+13%
293	Microbe Tanks	0.118	+22%	+5%
294	Biofuel Generator Unit	0.39	+39%	+4%
295	Biofuel Generator Unit	0.741	+34%	+25%
296	High-Volume Pump	0.0	+20%	+1%
297	Microbe Purifier	0.0	+20%	+1%
298	Biofuel Sieve	0.138	+28%	+1%
299	Microbe Recycler	0.069	+24%	+1%
300	Alkaloid Recycler	0.496	+21%	+24%
301	Organic Tanks	0.412	+27%	+15%
302	Alkaloid Stabiliser	0.0	+20%	+1%
303	Alkaloid Filter	0.086	+25%	+1%
304	Organic Recycler	0.5	+49%	+1%
305	Microbe Pump	0.118	+22%	+5%
306	Microbe Stabiliser	0.612	+41%	+13%
307	Microbe Pump	0.5	+49%	+1%
308	Organic Sieve	0.155	+29%	+1%
309	Alkaloid Sieve	0.0	+20%	+1%
310	Biofuel Purifier	0.052	+23%	+1%
311	Biofuel Drain	0.328	+39%	+1%
312	Alkaloid Drain	0.322	+29%	+9%
313	High-Volume Tanks	0.379	+42%	+1%
314	Alkaloid Purifier	0.398	+31%	+11%
315	Microbe Drain	0.104	+20%	+6%
316	Alkaloid Stabiliser	0.702	+45%	+14%
317	High-Volume Stabiliser	0.414	+44%	+1%
318	Biofuel Purifier	0.359	+36%	+5%
319	High-Volume Harvester	0.097	+22%	+4%
320	Biofuel Generator Unit	0.177	+23%	+7%
321	High-Volume Purifier	0.034	+22%	+1%
322	Biofuel Sieve	0.103	+26%	+1%
323	Microbe Drain	0.466	+47%	+1%
324	Biofuel Generator Unit	0.837	+48%	+18%
325	Alkaloid Generator Unit	0.364	+29%	+11%
326	Alkaloid Pump	0.038	+21%	+2%
327	Microbe Filter	0.421	+42%	+3%
328	Organic Tanks	0.059	+21%	+3%
329	Organic Pump	0.059	+21%	+3%
330	Alkaloid Pump	0.0	+20%	+1%
331	Microbe Recycler	0.214	+30%	+3%
332	Organic Generator Unit	0.042	+20%	+3%
333	Organic Recycler	0.375	+20%	+19%
334	High-Volume Purifier	0.172	+30%	+1%
335	Alkaloid Harvester	0.042	+20%	+3%
336	Microbe Purifier	0.453	+39%	+7%
337	Alkaloid Sieve	0.222	+22%	+10%
338	Biofuel Sieve	0.121	+27%	+1%
339	High-Volume Generator Unit	0.312	+20%	+16%
340	Microbe Tanks	0.034	+22%	
341	Biofuel Sieve	0.381	+24%	+16%
342	Microbe Drain	0.201	+22%	+9%
343	Organic Tanks	0.034	+22%	+1%
344	Organic Filter	0.052	+23%	+1%
345	Microbe Drain	0.483	+48%	+1%
346	Microbe Pump	0.0	+20%	+1%
347	Organic Tanks	0.042	+20%	+3%
348	Organic Sieve	0.103	+26%	+1%
349	High-Volume Harvester	0.518	+44%	+6%
350	Alkaloid Filter	0.517	+21%	+25%
351	Alkaloid Generator Unit	0.176	+29%	+2%
352	Organic Pump	0.0	+20%	
353	Organic Tanks	0.055	+22%	+2%
354	Organic Drain	0.482	+25%	+20%
355	Microbe Filter	0.207	+32%	+1%
356	Microbe Recycler	0.318	+36%	+3%
357	Biofuel Drain	0.279	+35%	+2%
358	High-Volume Generator Unit	0.0	+20%	+1%
359	High-Volume Recycler	0.083	+20%	+5%
360	Organic Stabiliser	0.052	+23%	+1%
361	High-Volume Generator Unit	0.31	+38%	+1%
362	Microbe Drain	0.207	+32%	+1%
363	High-Volume Filter	0.43	+22%	+20%
364	Organic Tanks	0.733	+42%	+18%
365	Microbe Stabiliser	0.318	+30%	+8%
366	High-Volume Harvester	0.476	+21%	+23%
367	Biofuel Recycler	0.0	+20%	+1%
368	Organic Tanks	0.472	+22%	+22%
369	Biofuel Generator Unit	0.0	+20%	+1%
370	Alkaloid Purifier	0.017	+21%	+1%
371	Biofuel Filter	0.648	+31%	+23%
372	Alkaloid Purifier	0.523	+31%	+17%
373	Microbe Stabiliser	0.069	+24%	+1%
374	Biofuel Purifier	0.052	+23%	+1%
375	Alkaloid Harvester	0.242	+28%	+6%
376	Microbe Filter	0.101	+21%	+5%
377	Biofuel Filter	0.0	+20%	+1%
378	High-Volume Purifier	0.246	+21%	+12%
379	High-Volume Generator Unit	0.473	+45%	+3%
380	Microbe Harvester	0.0	+20%	+1%
381	Biofuel Purifier	0.162	+27%	+3%
382	Biofuel Pump	0.27	+26%	+9%
383	High-Volume Purifier	0.118	+22%	+5%
384	High-Volume Harvester	0.021	+20%	+2%
385	High-Volume Stabiliser	0.229	+20%	+12%
386	Microbe Harvester	0.25	+20%	+13%
387	Organic Sieve	0.702	+45%	+14%
388	Organic Generator Unit	0.205	+21%	+10%
389	Alkaloid Tanks	0.335	+37%	+3%
390	High-Volume Tanks	0.017	+21%	+1%
391	Organic Purifier	0.155	+29%	+1%
392	Biofuel Purifier	0.532	+40%	+10%
393	Organic Generator Unit	0.328	+39%	+1%
394	High-Volume Purifier	0.0	+20%	+1%
395	Organic Recycler	0.345	+40%	+1%
396	High-Volume Drain	0.0	+20%	+1%
397	Organic Filter	0.293	+37%	+1%
398	High-Volume Sieve	0.121	+27%	+1%
399	Microbe Drain	0.747	+44%	+17%
400	Microbe Recycler	0.086	+25%	+1%
401	Microbe Recycler	0.167	+20%	+9%
402	Organic Purifier	0.104	+20%	+6%
403	High-Volume Stabiliser	0.307	+33%	+5%
404	High-Volume Stabiliser	0.0	+20%	+1%
405	Microbe Stabiliser	0.417	+43%	+2%
406	Microbe Harvester	0.093	+23%	+3%
407	Microbe Purifier	0.64	+39%	+16%
408	Biofuel Pump	0.396	+20%	+20%
409	Organic Tanks	0.875	+49%	+19%
410	Alkaloid Recycler	0.229	+20%	+12%
411	Microbe Generator Unit	0.362	+41%	+1%
412	Biofuel Drain	0.39	+39%	+4%
413	Organic Tanks	0.224	+33%	+1%
414	Alkaloid Drain	0.966	+47%	+25%
415	High-Volume Stabiliser	0.167	+20%	+9%
416	Organic Drain	0.363	+35%	+6%
417	Organic Pump	0.35	+27%	+12%
418	Biofuel Stabiliser	0.536	+39%	+11%
419	Organic Sieve	0.101	+21%	+5%
420	Microbe Harvester	0.759	+35%	+25%
421	High-Volume Generator Unit	0.172	+30%	
422	High-Volume Tanks	0.448	+46%	
423	Biofuel Pump	0.0	+20%	+1%
424	High-Volume Filter	0.27	+26%	+9%
425	Microbe Harvester	0.052	+23%	
426	Microbe Tanks	0.369	+39%	+3%
427	Alkaloid Generator Unit	0.471	+34%	+12%
428	High-Volume Purifier	0.103	+26%	+1%
429	Organic Stabiliser	0.207	+32%	+1%
430	High-Volume Purifier	0.325	+28%	+10%
431	Biofuel Stabiliser	0.293	+37%	+1%
432	Microbe Sieve	0.333	+26%	+12%
433	Microbe Drain	0.149	+25%	+4%
434	Biofuel Filter	0.609	+36%	+17%
435	Organic Harvester	0.779	+41%	+21%
436	Organic Tanks	0.155	+29%	+1%
437	Organic Drain	0.64	+39%	+16%
438	High-Volume Harvester	0.632	+47%	+9%
439	Alkaloid Sieve	0.038	+21%	+2%
440	Biofuel Harvester	0.177	+23%	+7%
441	Microbe Purifier	0.111	+24%	+3%
442	Microbe Generator Unit	0.0	+20%	
443	Biofuel Tanks	0.121	+27%	+1%
444	Alkaloid Generator Unit	0.328	+39%	+1%
445	Alkaloid Purifier	0.121	+27%	+1%
446	Microbe Purifier	0.062	+20%	+4%
447	Microbe Recycler	0.086	+25%	+1%
448	High-Volume Purifier	0.397	+43%	+1%
449	Biofuel Harvester	0.135	+23%	+5%
450	Microbe Stabiliser	0.0	+20%	+1%
451	Alkaloid Tanks	0.657	+40%	+16%
452	Biofuel Drain	0.086	+25%	+1%
453	Alkaloid Drain	0.176	+29%	+2%
454	Biofuel Stabiliser	0.397	+43%	
455	High-Volume Recycler	0.65	+42%	+14%
456	Microbe Filter	0.82	+41%	+23%
457	Microbe Harvester	0.276	+36%	
458	Organic Harvester	0.069	+24%	
459	Alkaloid Purifier	0.224	+33%	+1%
460	Biofuel Sieve	0.828	+39%	+25%
461	High-Volume Sieve	0.307	+33%	+5%
462	Biofuel Generator Unit	0.142	+21%	+7%
463	Alkaloid Drain	0.138	+28%	+1%
464	High-Volume Generator Unit	0.172	+30%	+1%
465	Alkaloid Tanks	0.5	+49%	+1%
466	Biofuel Sieve	0.279	+35%	+2%
467	Alkaloid Filter	0.448	+46%	+1%
468	High-Volume Generator Unit	0.345	+40%	
469	Organic Filter	0.259	+35%	
470	Alkaloid Sieve	0.354	+20%	+18%
471	Organic Harvester	0.276	+36%	+1%
472	High-Volume Pump	0.554	+34%	+16%
473	High-Volume Pump	0.0	+20%	
474	Organic Recycler	0.021	+20%	+2%
475	Organic Purifier	0.379	+42%	+1%
476	High-Volume Harvester	0.0	+20%	+1%
477	Alkaloid Drain	0.0	+20%	+1%
478	Alkaloid Sieve	0.034	+22%	+1%
479	Microbe Purifier	0.17	+25%	+5%
480	Biofuel Drain	0.207	+32%	+1%
481	Organic Filter	0.345	+40%	
482	Organic Tanks	0.414	+44%	+1%
483	Microbe Generator Unit	0.224	+33%	
484	High-Volume Generator Unit	0.034	+22%	+1%
485	Organic Harvester	0.438	+43%	+3%
486	Organic Filter	0.397	+43%	+1%
487	Biofuel Filter	0.347	+22%	+16%
488	High-Volume Drain	0.353	+26%	+13%
489	Alkaloid Pump	0.0	+20%	+1%
490	Organic Sieve	0.509	+29%	+18%
491	Alkaloid Recycler	0.0	+20%	+1%
492	Biofuel Recycler	0.343	+23%	+15%
493	High-Volume Harvester	0.362	+41%	
494	Organic Purifier	0.062	+20%	+4%
495	Organic Drain	0.386	+40%	+3%
496	High-Volume Recycler	0.017	+21%	+1%
497	Alkaloid Pump	0.466	+47%	+1%
498	Alkaloid Purifier	0.0	+20%	
499	Alkaloid Sieve	0.034	+22%	+1%
500	High-Volume Stabiliser	0.412	+33%	+10%
501	High-Volume Generator Unit	0.458	+26%	+18%
502	High-Volume Stabiliser	0.455	+44%	+3%
503	Organic Recycler	0.038	+21%	+2%
504	Organic Filter	0.0	+20%	+1%
505	Microbe Tanks	0.362	+41%	+1%
506	Alkaloid Harvester	0.266	+33%	+3%
507	Microbe Purifier	0.267	+27%	+8%
508	Biofuel Tanks	0.08	+21%	+4%
509	High-Volume Filter	0.276	+36%	+1%
510	Alkaloid Filter	0.172	+30%	+1%
511	Alkaloid Harvester	0.138	+28%	
512	Organic Generator Unit	0.125	+20%	+7%
513	High-Volume Stabiliser	0.483	+42%	+6%
514	Biofuel Harvester	0.688	+49%	+10%
515	Alkaloid Pump	0.431	+45%	+1%
516	High-Volume Recycler	0.138	+28%	+1%
517	Microbe Harvester	0.5	+20%	+25%
518	Biofuel Sieve	0.052	+23%	+1%
519	Organic Purifier	0.241	+34%	+1%
520	Organic Generator Unit	0.761	+46%	+16%
521	Microbe Sieve	0.431	+45%	+1%
522	Organic Filter	0.379	+42%	+1%
523	Microbe Sieve	0.0	+20%	+1%
524	Microbe Generator Unit	0.042	+20%	+3%
525	Biofuel Drain	0.471	+34%	+12%
526	Alkaloid Stabiliser	0.224	+33%	+1%
527	Alkaloid Recycler	0.566	+48%	+5%
528	Biofuel Harvester	0.224	+33%	
529	Organic Generator Unit	0.363	+35%	+6%
530	High-Volume Sieve	0.447	+29%	+15%
531	Microbe Purifier	0.184	+21%	+9%
532	Microbe Tanks	0.19	+31%	+1%
533	Alkaloid Sieve	0.103	+26%	+1%
534	Alkaloid Drain	0.104	+20%	+6%
535	High-Volume Recycler	0.235	+30%	+4%
536	Alkaloid Stabiliser	0.473	+45%	+3%
537	Biofuel Drain	0.0	+20%	+1%
538	Organic Pump	0.483	+48%	+1%
539	Microbe Stabiliser	0.187	+26%	+5%
540	Biofuel Tanks	0.0	+20%	+1%
541	Microbe Filter	0.125	+20%	+7%
542	Biofuel Purifier	0.362	+41%	+1%
543	Microbe Sieve	0.135	+23%	+5%
544	Biofuel Drain	0.564	+37%	+14%
545	High-Volume Stabiliser	0.125	+20%	+7%
546	High-Volume Generator Unit	0.0	+20%	+1%
547	Microbe Sieve	0.511	+46%	+4%
548	Biofuel Sieve	0.435	+44%	+2%
549	High-Volume Recycler	0.226	+21%	+11%
550	Biofuel Purifier	0.017	+21%	+1%
551	Microbe Drain	0.397	+43%	
552	Organic Stabiliser	0.519	+32%	+16%
553	High-Volume Stabiliser	0.396	+20%	+20%
554	Organic Harvester	0.086	+25%	+1%
555	Microbe Generator Unit	0.167	+20%	+9%
556	Alkaloid Generator Unit	0.138	+28%	+1%
557	Alkaloid Drain	0.292	+20%	+15%
558	Organic Filter	0.245	+33%	+2%
559	Microbe Filter	0.543	+37%	+13%
560	High-Volume Generator Unit	0.42	+25%	+17%
561	High-Volume Drain	0.052	+23%	+1%
562	High-Volume Recycler	0.017	+21%	+1%
563	Microbe Filter	0.042	+20%	+3%
564	Biofuel Harvester	0.242	+28%	+6%
565	Alkaloid Purifier	0.245	+33%	+2%
566	Alkaloid Pump	0.111	+24%	+3%
567	Biofuel Generator Unit	0.103	+26%	+1%
568	High-Volume Pump	0.207	+32%	+1%
569	Organic Pump	0.145	+26%	+3%
570	Organic Stabiliser	0.429	+34%	+10%
571	High-Volume Stabiliser	0.297	+36%	+2%
572	Microbe Stabiliser	0.36	+30%	+10%
573	Alkaloid Purifier	0.125	+20%	+7%
574	High-Volume Generator Unit	0.329	+27%	+11%
575	Organic Purifier	0.034	+22%	
576	Organic Stabiliser	0.0	+20%	+1%
577	High-Volume Stabiliser	0.0	+20%	+1%
578	Organic Recycler	0.208	+20%	+11%
579	Biofuel Recycler	0.21	+31%	+2%
580	Alkaloid Generator Unit	0.172	+30%	+1%
581	High-Volume Purifier	0.235	+30%	+4%
582	Organic Harvester	0.315	+25%	+12%
583	Alkaloid Harvester	0.64	+39%	+16%
584	Alkaloid Recycler	0.417	+20%	+21%
585	Alkaloid Recycler	0.073	+23%	+2%
586	Biofuel Harvester	0.621	+27%	+25%
587	Alkaloid Harvester	0.259	+35%	+1%
588	Alkaloid Pump	0.669	+31%	+24%
589	Alkaloid Filter	0.097	+22%	+4%
590	High-Volume Pump	0.31	+38%	+1%
591	Biofuel Stabiliser	0.224	+33%	+1%
592	Biofuel Sieve	0.259	+29%	+6%
