sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
134,Indium Splitter,0.233,+5%,+6%,+6%
135,Chrono Refractor,0.4,+5%,+6%,+7%
136,Indium Mirror,0.6,+5%,+9%,+7%
137,Emeril Refractor,0.233,+5%,+6%,+6%
138,Indium Amplifier,0.767,+7%,+9%,+6%
139,Emeril Splitter,0.6,+5%,+9%,+7%
140,Indium Oscillator,0.467,+5%,+7%,+7%
141,Positron Filament,0.4,+5%,+6%,+7%
142,Indium Oscillator,0.4,+6%,+6%,+6%
143,UHF Mirror,0.4,+6%,+6%,+6%
144,Emeril Refractor,0.367,+5%,+8%,+6%
145,UHF Resonator,0.4,+5%,+6%,+7%
146,Chrono Amplifier,0.7,+6%,+8%,+7%
147,Emeril Polariser,0.467,+5%,+7%,+7%
148,UHF Accelerator,0.567,+6%,+6%,+7%
149,Positron Splitter,0.633,+6%,+7%,+7%
150,UHF Amplifier,0.4,+5%,+6%,+7%
151,Positron Splitter,0.233,+5%,+6%,+6%
152,Positron Accelerator,0.3,+5%,+7%,+6%
153,UHF Filament,0.233,+5%,+6%,+6%
154,UHF De-limiter,0.233,+5%,+6%,+6%
155,Chrono De-limiter,0.4,+5%,+6%,+7%
156,Positron Polariser,0.567,+6%,+6%,+7%
157,Emeril Amplifier,0.233,+5%,+6%,+6%
158,Positron Filament,0.6,+6%,+9%,+6%
159,Emeril Accelerator,0.233,+5%,+6%,+6%
160,Positron Accelerator,0.367,+5%,+8%,+6%
161,Positron Polariser,0.233,+5%,+6%,+6%
162,Positron Mirror,0.567,+7%,+6%,+6%
163,Indium Amplifier,0.3,+5%,+7%,+6%
164,UHF Accelerator,0.233,+5%,+6%,+6%
165,Emeril Polariser,0.233,+5%,+6%,+6%
166,Emeril Mirror,0.233,+5%,+6%,+6%
167,Indium Filament,0.233,+5%,+6%,+6%
168,Indium Oscillator,0.4,+5%,+6%,+7%
169,UHF Refractor,0.633,+6%,+7%,+7%
170,Chrono Resonator,0.4,+6%,+6%,+6%
171,Chrono Oscillator,0.533,+5%,+8%,+7%
172,Positron Resonator,0.533,+6%,+8%,+6%
173,Indium Refractor,0.233,+5%,+6%,+6%
174,Positron De-limiter,0.567,+7%,+6%,+6%
175,Emeril Mirror,0.233,+5%,+6%,+6%
176,UHF Oscillator,0.6,+5%,+9%,+7%
177,Indium De-limiter,0.233,+5%,+6%,+6%
178,Chrono Oscillator,0.233,+5%,+6%,+6%
179,Emeril Refractor,0.233,+5%,+6%,+6%
180,UHF Resonator,0.233,+5%,+6%,+6%
181,Chrono Refractor,0.633,+6%,+7%,+7%
182,Chrono Polariser,0.567,+6%,+6%,+7%
183,Emeril Splitter,0.233,+5%,+6%,+6%
184,UHF Polariser,0.4,+5%,+6%,+7%
185,UHF De-limiter,0.433,+5%,+9%,+6%
186,Positron Splitter,0.5,+5%,+10%,+6%
187,UHF Oscillator,0.4,+6%,+6%,+6%
188,Chrono Polariser,0.4,+5%,+6%,+7%
189,Indium Resonator,0.567,+7%,+6%,+6%
190,Chrono Resonator,0.3,+5%,+7%,+6%
191,Chrono Amplifier,0.567,+6%,+6%,+7%
192,Chrono Filament,0.633,+7%,+7%,+6%
193,Positron Polariser,0.667,+6%,+10%,+6%
194,UHF Filament,0.3,+5%,+7%,+6%
195,Indium Oscillator,0.767,+6%,+9%,+7%
196,Emeril Oscillator,0.233,+5%,+6%,+6%
197,Chrono De-limiter,0.3,+5%,+7%,+6%
198,Chrono Accelerator,0.4,+5%,+6%,+7%
199,UHF Resonator,0.4,+5%,+6%,+7%
200,Chrono Amplifier,0.233,+5%,+6%,+6%
201,Chrono De-limiter,0.4,+5%,+6%,+7%
202,Emeril De-limiter,0.233,+5%,+6%,+6%
203,Chrono Resonator,0.667,+6%,+10%,+6%
204,Chrono Polariser,0.4,+6%,+6%,+6%
205,Indium Refractor,0.767,+6%,+9%,+7%
206,Emeril Resonator,0.567,+7%,+6%,+6%
207,Positron Accelerator,0.5,+5%,+10%,+6%
208,Chrono De-limiter,0.433,+5%,+9%,+6%
209,Emeril Refractor,0.433,+5%,+9%,+6%
210,Emeril Amplifier,0.567,+6%,+6%,+7%
211,Emeril Polariser,0.4,+6%,+6%,+6%
212,Indium Accelerator,0.7,+7%,+8%,+6%
213,UHF Resonator,0.333,+5%,+5%,+7%
214,Chrono Amplifier,0.233,+5%,+6%,+6%
215,UHF Refractor,0.3,+5%,+7%,+6%
216,Positron Filament,0.3,+5%,+7%,+6%
217,Chrono Oscillator,0.233,+5%,+6%,+6%
218,Indium Polariser,0.233,+5%,+6%,+6%
219,Chrono Resonator,0.7,+7%,+8%,+6%
220,Emeril Splitter,0.633,+6%,+7%,+7%
221,UHF Splitter,0.733,+7%,+6%,+7%
222,Emeril Oscillator,0.4,+5%,+6%,+7%
223,Positron Oscillator,0.233,+5%,+6%,+6%
224,UHF Mirror,0.7,+7%,+8%,+6%
225,Indium Resonator,0.567,+7%,+6%,+6%
226,Chrono Mirror,0.233,+5%,+6%,+6%
227,Indium Splitter,1.0,+7%,+10%,+7%
228,Indium Filament,0.433,+5%,+9%,+6%
229,Chrono De-limiter,0.233,+5%,+6%,+6%
230,Emeril Splitter,0.733,+7%,+6%,+7%
231,Emeril Amplifier,0.4,+6%,+6%,+6%
232,Indium Accelerator,0.4,+6%,+6%,+6%
233,UHF Splitter,0.233,+5%,+6%,+6%
234,Positron Mirror,0.433,+5%,+9%,+6%
235,Indium Accelerator,0.467,+5%,+7%,+7%
236,Positron Oscillator,0.5,+7%,+5%,+6%
237,Emeril Resonator,0.567,+7%,+6%,+6%
238,Emeril Polariser,0.567,+7%,+6%,+6%
239,Positron Filament,0.3,+5%,+7%,+6%
240,Emeril Filament,0.4,+5%,+6%,+7%
241,Chrono Accelerator,0.233,+5%,+6%,+6%
242,Emeril De-limiter,0.233,+5%,+6%,+6%
243,Positron De-limiter,0.4,+5%,+6%,+7%
244,UHF Filament,0.4,+5%,+6%,+7%
245,Positron De-limiter,0.4,+6%,+6%,+6%
246,UHF Oscillator,0.567,+6%,+6%,+7%
247,Chrono Filament,0.567,+6%,+6%,+7%
248,Indium Accelerator,0.233,+5%,+6%,+6%
249,Emeril Mirror,0.567,+7%,+6%,+6%
250,Indium Mirror,0.233,+5%,+6%,+6%
251,Chrono Accelerator,0.7,+7%,+8%,+6%
252,Positron Splitter,0.4,+6%,+6%,+6%
253,UHF Resonator,0.367,+5%,+8%,+6%
254,Emeril Oscillator,0.3,+5%,+7%,+6%
255,Positron Filament,0.233,+5%,+6%,+6%
256,Indium Resonator,0.233,+5%,+6%,+6%
257,Indium Filament,0.733,+7%,+6%,+7%
258,Chrono Mirror,0.733,+7%,+6%,+7%
259,Emeril Mirror,0.233,+5%,+6%,+6%
260,Emeril Mirror,0.4,+5%,+6%,+7%
261,Indium Amplifier,0.433,+5%,+9%,+6%
262,Indium Accelerator,0.5,+5%,+10%,+6%
263,Emeril Splitter,0.233,+5%,+6%,+6%
264,Indium Accelerator,0.467,+5%,+7%,+7%
265,Positron Refractor,0.233,+5%,+6%,+6%
266,Indium Mirror,0.233,+5%,+6%,+6%
267,UHF Amplifier,0.733,+7%,+6%,+7%
268,Indium Refractor,0.5,+6%,+5%,+7%
269,Positron Splitter,0.567,+6%,+6%,+7%
270,Emeril Oscillator,0.4,+6%,+6%,+6%
271,Indium Polariser,0.4,+6%,+6%,+6%
272,Emeril Refractor,0.567,+6%,+6%,+7%
273,Emeril Amplifier,0.233,+5%,+6%,+6%
274,Emeril De-limiter,0.3,+5%,+7%,+6%
275,Positron De-limiter,0.4,+5%,+6%,+7%
276,Positron Resonator,0.533,+6%,+8%,+6%
277,UHF Refractor,0.367,+5%,+8%,+6%
278,Positron Amplifier,0.233,+5%,+6%,+6%
279,Chrono Oscillator,0.4,+6%,+6%,+6%
280,UHF Accelerator,0.233,+5%,+6%,+6%
281,Positron Polariser,0.567,+6%,+6%,+7%
282,Indium Polariser,0.233,+5%,+6%,+6%
283,Indium Resonator,0.567,+7%,+6%,+6%
284,Indium Polariser,0.4,+5%,+6%,+7%
285,Emeril Oscillator,0.533,+5%,+8%,+7%
286,Indium Mirror,0.233,+5%,+6%,+6%
287,Indium De-limiter,0.867,+7%,+8%,+7%
288,Indium Filament,0.4,+5%,+6%,+7%
289,Emeril Filament,0.633,+6%,+7%,+7%
290,UHF Splitter,0.567,+6%,+6%,+7%
291,Positron Splitter,0.233,+5%,+6%,+6%
292,UHF Filament,0.767,+7%,+9%,+6%
293,Positron Mirror,0.233,+5%,+6%,+6%
294,UHF Splitter,0.233,+5%,+6%,+6%
295,UHF Splitter,0.567,+6%,+6%,+7%
296,Indium Refractor,0.567,+7%,+6%,+6%
297,Positron Accelerator,0.5,+5%,+10%,+6%
298,UHF Filament,0.567,+7%,+6%,+6%
299,Positron Oscillator,0.233,+5%,+6%,+6%
300,Chrono Oscillator,0.3,+5%,+7%,+6%
301,Emeril Mirror,0.7,+7%,+8%,+6%
302,Chrono Resonator,0.567,+7%,+6%,+6%
303,Chrono Amplifier,0.233,+5%,+6%,+6%
304,Emeril Oscillator,0.667,+5%,+10%,+7%
305,Positron Refractor,0.467,+6%,+7%,+6%
306,Positron Resonator,0.4,+6%,+6%,+6%
307,Positron Refractor,0.833,+6%,+10%,+7%
308,Emeril Filament,0.4,+6%,+6%,+6%
309,Chrono Filament,0.4,+5%,+6%,+7%
310,UHF Accelerator,0.567,+7%,+6%,+6%
311,UHF Polariser,0.3,+5%,+7%,+6%
312,Chrono Polariser,0.233,+5%,+6%,+6%
313,Indium Mirror,0.3,+5%,+7%,+6%
314,Chrono Accelerator,0.6,+6%,+9%,+6%
315,Positron Polariser,0.233,+5%,+6%,+6%
316,Chrono Resonator,0.567,+7%,+6%,+6%
317,Indium Resonator,0.4,+5%,+6%,+7%
318,UHF Accelerator,0.633,+6%,+7%,+7%
319,Indium De-limiter,0.4,+5%,+6%,+7%
320,UHF Splitter,0.233,+5%,+6%,+6%
321,Indium Accelerator,0.367,+5%,+8%,+6%
322,UHF Filament,0.233,+5%,+6%,+6%
323,Positron Polariser,0.4,+5%,+6%,+7%
324,UHF Splitter,0.733,+7%,+6%,+7%
325,Chrono Splitter,0.233,+5%,+6%,+6%
326,Chrono Refractor,0.233,+5%,+6%,+6%
327,Positron Amplifier,0.4,+6%,+6%,+6%
328,Emeril Mirror,0.4,+5%,+6%,+7%
329,Emeril Refractor,0.567,+7%,+6%,+6%
330,Chrono Refractor,0.433,+5%,+9%,+6%
331,Positron Oscillator,0.233,+5%,+6%,+6%
332,Emeril Splitter,0.4,+6%,+6%,+6%
333,Emeril Oscillator,0.6,+5%,+9%,+7%
334,Indium Accelerator,0.4,+6%,+6%,+6%
335,Chrono De-limiter,0.4,+5%,+6%,+7%
336,Positron Accelerator,0.4,+6%,+6%,+6%
337,Chrono Filament,0.633,+6%,+7%,+7%
338,UHF Filament,0.4,+6%,+6%,+6%
339,Indium Splitter,0.8,+7%,+7%,+7%
340,Positron Mirror,0.233,+5%,+6%,+6%
341,UHF Filament,0.233,+5%,+6%,+6%
342,Positron Polariser,0.467,+6%,+7%,+6%
343,Emeril Mirror,0.4,+6%,+6%,+6%
344,Emeril Amplifier,0.833,+7%,+10%,+6%
345,Positron Polariser,0.233,+5%,+6%,+6%
346,Positron Refractor,0.4,+6%,+6%,+6%
347,Emeril Mirror,0.4,+5%,+6%,+7%
348,Emeril Filament,0.4,+5%,+6%,+7%
349,Indium De-limiter,0.833,+6%,+10%,+7%
350,Chrono Amplifier,0.233,+5%,+6%,+6%
351,Chrono Splitter,0.233,+5%,+6%,+6%
352,Emeril Refractor,0.233,+5%,+6%,+6%
353,Emeril Mirror,0.4,+5%,+6%,+7%
354,Emeril Polariser,0.633,+7%,+7%,+6%
355,Positron Amplifier,0.4,+6%,+6%,+6%
356,Positron Oscillator,0.567,+6%,+6%,+7%
357,UHF Polariser,0.233,+5%,+6%,+6%
358,Indium Splitter,0.567,+6%,+6%,+7%
359,Indium Oscillator,0.233,+5%,+6%,+6%
360,Emeril Resonator,0.233,+5%,+6%,+6%
361,Indium Splitter,0.233,+5%,+6%,+6%
362,Positron Polariser,0.233,+5%,+6%,+6%
363,Indium Amplifier,0.367,+5%,+8%,+6%
364,Emeril Mirror,0.867,+7%,+8%,+7%
365,Positron Resonator,0.467,+6%,+7%,+6%
366,Indium De-limiter,0.3,+5%,+7%,+6%
367,UHF Oscillator,0.567,+7%,+6%,+6%
368,Emeril Mirror,0.5,+5%,+10%,+6%
369,UHF Splitter,0.4,+5%,+6%,+7%
370,Chrono Accelerator,0.667,+6%,+10%,+6%
371,UHF Amplifier,0.733,+7%,+6%,+7%
372,Chrono Accelerator,0.567,+7%,+6%,+6%
373,Positron Resonator,0.233,+5%,+6%,+6%
374,UHF Accelerator,0.233,+5%,+6%,+6%
375,Chrono De-limiter,0.233,+5%,+6%,+6%
376,Positron Amplifier,0.4,+5%,+6%,+7%
377,UHF Amplifier,0.233,+5%,+6%,+6%
378,Indium Accelerator,0.567,+7%,+6%,+6%
379,Indium Splitter,0.7,+6%,+8%,+7%
380,Positron De-limiter,0.233,+5%,+6%,+6%
381,UHF Accelerator,0.4,+6%,+6%,+6%
382,UHF Refractor,0.233,+5%,+6%,+6%
383,Indium Accelerator,0.233,+5%,+6%,+6%
384,Indium De-limiter,0.233,+5%,+6%,+6%
385,Indium Resonator,0.533,+5%,+8%,+7%
386,Positron De-limiter,0.433,+5%,+9%,+6%
387,Emeril Filament,0.533,+5%,+8%,+7%
388,Emeril Splitter,0.367,+5%,+8%,+6%
389,Chrono Mirror,0.633,+6%,+7%,+7%
390,Indium Mirror,0.4,+5%,+6%,+7%
391,Emeril Accelerator,0.633,+7%,+7%,+6%
392,UHF Accelerator,0.4,+5%,+6%,+7%
393,Emeril Splitter,0.533,+6%,+8%,+6%
394,Indium Accelerator,0.567,+7%,+6%,+6%
395,Emeril Oscillator,0.367,+5%,+8%,+6%
396,Indium Polariser,0.233,+5%,+6%,+6%
397,Emeril Amplifier,0.3,+5%,+7%,+6%
398,Indium Filament,0.4,+6%,+6%,+6%
399,Positron Polariser,0.6,+5%,+9%,+7%
400,Positron Oscillator,0.233,+5%,+6%,+6%
401,Positron Oscillator,0.3,+5%,+7%,+6%
402,Emeril Accelerator,0.233,+5%,+6%,+6%
403,Indium Resonator,0.5,+5%,+10%,+6%
404,Indium Resonator,0.4,+5%,+6%,+7%
405,Positron Resonator,0.167,+5%,+5%,+6%
406,Positron De-limiter,0.233,+5%,+6%,+6%
407,Positron Accelerator,0.567,+6%,+6%,+7%
408,UHF Refractor,0.6,+6%,+9%,+6%
409,Emeril Mirror,0.567,+7%,+6%,+6%
410,Chrono Oscillator,0.633,+7%,+7%,+6%
411,Positron Splitter,0.567,+6%,+6%,+7%
412,UHF Polariser,0.4,+5%,+6%,+7%
413,Emeril Mirror,0.3,+5%,+7%,+6%
414,Chrono Polariser,0.633,+7%,+7%,+6%
415,Indium Resonator,0.3,+5%,+7%,+6%
416,Emeril Polariser,0.667,+6%,+10%,+6%
417,Emeril Refractor,0.233,+5%,+6%,+6%
418,UHF Resonator,0.667,+6%,+10%,+6%
419,Emeril Filament,0.4,+6%,+6%,+6%
420,Positron De-limiter,0.7,+7%,+8%,+6%
421,Indium Splitter,0.567,+7%,+6%,+6%
422,Indium Mirror,0.6,+6%,+9%,+6%
423,UHF Refractor,0.233,+5%,+6%,+6%
424,Indium Amplifier,0.4,+6%,+6%,+6%
425,Positron De-limiter,0.5,+6%,+5%,+7%
426,Positron Mirror,0.6,+5%,+9%,+7%
427,Chrono Splitter,0.533,+6%,+8%,+6%
428,Indium Accelerator,0.3,+5%,+7%,+6%
429,Emeril Resonator,0.233,+5%,+6%,+6%
430,Indium Accelerator,0.667,+6%,+10%,+6%
431,UHF Resonator,0.633,+6%,+7%,+7%
432,Positron Filament,0.233,+5%,+6%,+6%
433,Positron Polariser,0.433,+5%,+9%,+6%
434,UHF Amplifier,0.567,+6%,+6%,+7%
435,Emeril De-limiter,0.567,+7%,+6%,+6%
436,Emeril Mirror,0.4,+5%,+6%,+7%
437,Emeril Polariser,0.4,+6%,+6%,+6%
438,Indium De-limiter,0.4,+6%,+6%,+6%
439,Chrono Filament,0.233,+5%,+6%,+6%
440,UHF De-limiter,0.4,+6%,+6%,+6%
441,Positron Accelerator,0.4,+6%,+6%,+6%
442,Positron Splitter,0.4,+5%,+6%,+7%
443,UHF Mirror,0.367,+5%,+8%,+6%
444,Chrono Splitter,0.367,+5%,+8%,+6%
445,Chrono Accelerator,0.567,+6%,+6%,+7%
446,Positron Accelerator,0.4,+5%,+6%,+7%
447,Positron Oscillator,0.233,+5%,+6%,+6%
448,Indium Accelerator,0.533,+5%,+8%,+7%
449,UHF De-limiter,0.233,+5%,+6%,+6%
450,Positron Resonator,0.233,+5%,+6%,+6%
451,Chrono Mirror,0.633,+6%,+7%,+7%
452,UHF Polariser,0.233,+5%,+6%,+6%
453,Chrono Polariser,0.233,+5%,+6%,+6%
454,UHF Resonator,0.6,+5%,+9%,+7%
455,Indium Oscillator,0.4,+6%,+6%,+6%
456,Positron Amplifier,0.567,+7%,+6%,+6%
457,Positron De-limiter,0.4,+5%,+6%,+7%
458,Emeril De-limiter,0.733,+7%,+6%,+7%
459,Chrono Accelerator,0.233,+5%,+6%,+6%
460,UHF Filament,0.567,+6%,+6%,+7%
461,Indium Filament,0.4,+6%,+6%,+6%
462,UHF Splitter,0.467,+6%,+7%,+6%
463,Chrono Polariser,0.233,+5%,+6%,+6%
464,Indium Splitter,0.233,+5%,+6%,+6%
465,Chrono Mirror,0.4,+5%,+6%,+7%
466,UHF Filament,0.3,+5%,+7%,+6%
467,Chrono Amplifier,0.6,+6%,+9%,+6%
468,Indium Splitter,0.233,+5%,+6%,+6%
469,Emeril Amplifier,0.533,+5%,+8%,+7%
470,Chrono Filament,0.667,+5%,+10%,+7%
471,Emeril De-limiter,0.467,+5%,+7%,+7%
472,Indium Refractor,0.533,+6%,+8%,+6%
473,Indium Refractor,0.4,+5%,+6%,+7%
474,Emeril Oscillator,0.233,+5%,+6%,+6%
475,Emeril Accelerator,0.533,+5%,+8%,+7%
476,Indium De-limiter,0.233,+5%,+6%,+6%
477,Chrono Polariser,0.4,+6%,+6%,+6%
478,Chrono Filament,0.4,+6%,+6%,+6%
479,Positron Accelerator,0.233,+5%,+6%,+6%
480,UHF Polariser,0.3,+5%,+7%,+6%
481,Emeril Amplifier,0.233,+5%,+6%,+6%
482,Emeril Mirror,0.433,+5%,+9%,+6%
483,Positron Splitter,0.233,+5%,+6%,+6%
484,Indium Splitter,0.367,+5%,+8%,+6%
485,Emeril De-limiter,0.467,+6%,+7%,+6%
486,Emeril Amplifier,0.433,+5%,+9%,+6%
487,UHF Amplifier,0.233,+5%,+6%,+6%
488,Indium Polariser,0.533,+6%,+8%,+6%
489,Chrono Refractor,0.4,+5%,+6%,+7%
490,Emeril Filament,0.867,+7%,+8%,+7%
491,Chrono Oscillator,0.567,+7%,+6%,+6%
492,UHF Oscillator,0.367,+5%,+8%,+6%
493,Indium De-limiter,0.533,+6%,+8%,+6%
494,Emeril Accelerator,0.4,+5%,+6%,+7%
495,Emeril Polariser,0.4,+5%,+6%,+7%
496,Indium Oscillator,0.3,+5%,+7%,+6%
497,Chrono Refractor,0.667,+5%,+10%,+7%
498,Chrono Accelerator,0.233,+5%,+6%,+6%
499,Chrono Filament,0.567,+7%,+6%,+6%
500,Indium Resonator,0.567,+6%,+6%,+7%
501,Indium Splitter,0.6,+6%,+9%,+6%
502,Indium Resonator,0.233,+5%,+6%,+6%
503,Emeril Oscillator,0.4,+6%,+6%,+6%
504,Emeril Amplifier,0.233,+5%,+6%,+6%
505,Positron Mirror,0.233,+5%,+6%,+6%
506,Chrono De-limiter,0.233,+5%,+6%,+6%
507,Positron Accelerator,0.4,+6%,+6%,+6%
508,UHF Mirror,0.4,+5%,+6%,+7%
509,Indium Amplifier,0.467,+5%,+7%,+7%
510,Chrono Amplifier,0.367,+5%,+8%,+6%
511,Chrono De-limiter,0.233,+5%,+6%,+6%
512,Emeril Splitter,0.567,+7%,+6%,+6%
513,Indium Resonator,0.4,+6%,+6%,+6%
514,UHF De-limiter,0.4,+5%,+6%,+7%
515,Chrono Refractor,0.4,+5%,+6%,+7%
516,Indium Oscillator,0.3,+5%,+7%,+6%
517,Positron De-limiter,0.233,+5%,+6%,+6%
