sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_ReloadTime,Weapon_Projectile_Rate
82,Released Oscillator,0.059,+1%,-2%,+3%
83,Relinquished Injector,0.083,+1%,-3%,+3%
84,Rescued Refractor,0.076,+1%,-2%,+4%
85,Watery Dynamo,0.024,,-2%,
86,Glassy De-limiter,0.071,,-4%,
87,Nanite-Marked Refractor,0.0,+1%,,
88,Impossible Injector,0.089,+1%,-4%,+2%
89,Cursed Atomiser,0.071,,-4%,
90,Impossible Accelerator,0.322,+1%,-2%,+18%
91,Extinguished Splitter,0.018,,,+2%
92,Rescued Boundary Hunter,0.0,+1%,,
93,Salvaged Capacitor,0.018,,,+2%
94,Aeronic Oscillator,0.083,+1%,-3%,+3%
95,Rescued Obliterator,0.024,+1%,-2%,
96,Doomed Resonator,0.0,+1%,,
97,Nanite-Marked Polariser,0.123,,,+8%
98,Haunted Amplifier,0.14,,,+9%
99,Polymorphous Accelerator,0.07,,,+5%
100,Polymorphous Capacitor,0.0,+1%,,
101,Doomed Accelerator,0.315,+1%,-12%,+4%
102,Forsaken Boundary Hunter,0.024,+1%,-2%,
103,Haunted De-limiter,0.0,+1%,,
104,Aeronic Splitter,0.238,,-11%,
105,Glassy Annihilator,0.262,,-12%,
106,Aeronic De-limiter,0.0,+1%,,
107,Crimson Gravitiser,0.024,+1%,-2%,
108,Rescued Injector,0.041,+1%,-2%,+2%
109,Aeronic Mirror,0.024,,-2%,
110,Non-compliant Furnace,0.143,,-7%,
111,Extinguished Dynamo,0.228,,,+14%
112,Doomed De-limiter,0.31,+1%,-14%,
113,Polymorphous Accelerator,0.0,+1%,,
114,Anomalous Mirror,0.018,,,+2%
115,Anointed Atomiser,0.1,+1%,-3%,+4%
116,Anointed Mirror,0.298,,,+18%
117,Watery Dynamo,0.024,,-2%,
118,Anointed Filament,0.024,,-2%,
119,Crimson Boundary Hunter,0.333,+2%,,
120,Anointed Filament,0.041,+1%,-2%,+2%
121,Salvaged Splitter,0.392,+2%,-2%,+3%
122,Doomed Polariser,0.337,,-10%,+8%
123,Crimson Splitter,0.0,+1%,,
124,Relinquished Refractor,0.112,,-2%,+6%
125,Nanite-Marked Gravitiser,0.298,,,+18%
126,Relinquished Mirror,0.1,+1%,-3%,+4%
127,Anointed Refractor,0.211,,,+13%
128,Crimson Furnace,0.018,+1%,,+2%
129,Impossible Refractor,0.0,+1%,,
130,Polymorphous De-limiter,0.0,+1%,,
131,Crimson Resonator,0.059,+1%,-2%,+3%
132,Aeronic Dynamo,0.024,,-2%,
133,Anomalous Resonator,0.035,,,+3%
134,Rescued Annihilator,0.262,+1%,-12%,
135,Non-compliant Accelerator,0.0,+1%,,
136,Salvaged Splitter,0.333,,,+20%
137,Crimson Oscillator,0.286,,-13%,
138,Doomed Annihilator,0.035,,,+3%
139,Crimson Annihilator,0.322,+1%,-2%,+18%
140,Doomed Filament,0.024,+1%,-2%,
141,Released Obliterator,0.048,+1%,-3%,
142,Rescued Furnace,0.083,+1%,-3%,+3%
143,Impossible Splitter,0.0,+1%,,
144,Glassy Dynamo,0.018,,,+2%
145,Writhing Atomiser,0.0,+1%,,
146,Non-compliant Polariser,0.0,+1%,,
147,Aeronic Splitter,0.1,+1%,-3%,+4%
148,Writhing Filament,0.281,,,+17%
149,Relinquished Oscillator,0.076,+1%,-2%,+4%
150,Impossible Filament,0.0,+1%,,
151,Relinquished Annihilator,0.313,,-9%,+8%
152,Relinquished Splitter,0.024,,-2%,
153,Writhing Polariser,0.018,,,+2%
154,Polymorphous Capacitor,0.088,,,+6%
155,Nanite-Marked Furnace,0.333,+2%,,
156,Anomalous Resonator,0.234,+1%,-2%,+13%
157,Aeronic Boundary Hunter,0.164,+1%,-2%,+9%
158,Released Amplifier,0.269,+1%,-2%,+15%
159,Glassy Oscillator,0.024,,-2%,
160,Relinquished Amplifier,0.041,+1%,-2%,+2%
161,Anomalous Dynamo,0.065,+1%,-3%,+2%
162,Released De-limiter,0.018,,,+2%
163,Anointed Injector,0.071,,-4%,
164,Watery Accelerator,0.095,+1%,-5%,
165,Aeronic Atomiser,0.0,+1%,,
166,Glassy Splitter,0.429,+1%,-5%,+20%
167,Anointed De-limiter,0.071,,-4%,
168,Anointed Polariser,0.07,,,+5%
169,Writhing Atomiser,0.1,+1%,-3%,+4%
170,Non-compliant Oscillator,0.269,+1%,-2%,+15%
171,Cursed Capacitor,0.07,,,+5%
172,Relinquished Neutraliser,0.024,,-2%,
173,Rescued Atomiser,0.083,+1%,-3%,+3%
174,Anomalous Obliterator,0.053,,,+4%
175,Crimson Refractor,0.018,+1%,,+2%
176,Writhing Refractor,0.0,+1%,,
177,Anointed Annihilator,0.238,+1%,-11%,
178,Forsaken Accelerator,0.035,+1%,,+3%
179,Haunted Capacitor,0.119,,-6%,
180,Polymorphous Splitter,0.286,,-13%,
181,Nanite-Marked Oscillator,0.0,+1%,,
182,Cursed Amplifier,0.0,,-1%,
183,Glassy Injector,0.13,+1%,-5%,+3%
184,Watery Accelerator,0.375,+2%,-2%,+2%
185,Impossible Refractor,0.234,+1%,-2%,+13%
186,Anomalous Refractor,0.0,+1%,,
187,Writhing Dynamo,0.0,+1%,,
188,Forsaken Amplifier,0.018,,,+2%
189,Salvaged Splitter,0.018,,,+2%
190,Nanite-Marked Mirror,0.123,,,+8%
191,Cursed Amplifier,0.211,,,+13%
192,Nanite-Marked Accelerator,0.754,+2%,-15%,+6%
193,Extinguished Capacitor,0.252,+1%,-2%,+14%
194,Impossible De-limiter,0.0,+1%,,
195,Anointed Refractor,0.333,+2%,,
196,Crimson Polariser,0.071,,-4%,
197,Non-compliant Accelerator,0.175,,,+11%
198,Forsaken Capacitor,0.041,+1%,-2%,+2%
199,Polymorphous Polariser,0.193,,,+12%
200,Nanite-Marked Gravitiser,0.178,,-7%,+3%
201,Cursed Furnace,0.024,+1%,-2%,
202,Haunted Injector,0.083,+1%,-3%,+3%
203,Non-compliant Mirror,0.62,+2%,-2%,+16%
204,Forsaken Injector,0.0,+1%,,
205,Anointed Obliterator,0.0,+1%,,
206,Aeronic Oscillator,0.0,+1%,,
207,Relinquished Resonator,0.158,,,+10%
208,Nanite-Marked Boundary Hunter,0.238,,-11%,
209,Aeronic Polariser,0.298,,,+18%
210,Aeronic Mirror,0.041,+1%,-2%,+2%
211,Crimson Oscillator,0.024,,-2%,
212,Doomed Furnace,0.024,,-2%,
213,Impossible Annihilator,0.419,,-9%,+14%
214,Non-compliant Oscillator,0.071,,-4%,
215,Impossible Accelerator,0.0,+1%,,
216,Relinquished De-limiter,0.018,,,+2%
217,Forsaken Annihilator,0.397,+1%,-14%,+6%
218,Rescued Neutraliser,0.076,+1%,-2%,+4%
219,Forsaken Neutraliser,0.123,,,+8%
220,Crimson Atomiser,0.0,+1%,,
221,Impossible Amplifier,0.298,,,+18%
222,Aeronic Dynamo,0.252,+1%,-2%,+14%
223,Anomalous Oscillator,0.024,,-2%,
224,Impossible Annihilator,0.0,+1%,,
225,Doomed Oscillator,0.024,,-2%,
226,Forsaken De-limiter,0.286,,-13%,
227,Salvaged Capacitor,0.193,+1%,,+12%
228,Rescued Capacitor,0.263,+1%,,+16%
229,Forsaken Mirror,0.048,,-3%,
230,Glassy Polariser,0.076,+1%,-2%,+4%
231,Aeronic Amplifier,0.0,+1%,,
232,Salvaged Furnace,0.362,+1%,-14%,+4%
233,Impossible Furnace,0.094,+1%,-2%,+5%
234,Relinquished Neutraliser,0.024,,-2%,
235,Salvaged Splitter,0.425,+1%,-10%,+13%
236,Anomalous Furnace,0.076,+1%,-2%,+4%
237,Haunted Gravitiser,0.083,+1%,-3%,+3%
238,Glassy Furnace,0.018,,,+2%
239,Relinquished Amplifier,0.0,+1%,,
240,Crimson Capacitor,0.0,+1%,,
241,Non-compliant Neutraliser,0.089,+1%,-4%,+2%
242,Aeronic Oscillator,0.238,,-11%,
243,Released Gravitiser,0.0,+1%,,
244,Writhing Mirror,0.024,,-2%,
245,Relinquished Amplifier,0.0,+1%,,
246,Writhing Filament,0.193,,,+12%
247,Cursed Obliterator,0.182,+1%,-2%,+10%
248,Anointed Injector,0.0,+1%,,
249,Aeronic Refractor,0.0,+1%,,
250,Salvaged De-limiter,0.048,,-3%,
251,Cursed De-limiter,0.0,,-1%,
252,Released Annihilator,0.0,+1%,,
253,Polymorphous Boundary Hunter,0.024,+1%,-2%,
254,Aeronic Amplifier,0.158,+1%,,+10%
255,Released Boundary Hunter,0.095,+1%,-5%,
256,Doomed De-limiter,0.297,+1%,-12%,+3%
257,Anointed Capacitor,0.024,,-2%,
258,Nanite-Marked Obliterator,0.0,+1%,,
259,Haunted Resonator,0.143,,-7%,
260,Crimson Polariser,0.211,,,+13%
261,Doomed Furnace,0.018,,,+2%
262,Rescued Polariser,0.018,,,+2%
263,Aeronic Polariser,0.0,+1%,,
264,Salvaged Amplifier,0.07,,,+5%
265,Anomalous Atomiser,0.065,+1%,-3%,+2%
266,Anointed Injector,0.076,,-2%,+4%
267,Watery Furnace,0.024,,-2%,
268,Anointed Splitter,0.298,+1%,,+18%
269,Relinquished Obliterator,0.193,,,+12%
270,Crimson Neutraliser,0.112,,-2%,+6%
271,Salvaged Capacitor,0.107,+1%,-4%,+3%
272,Haunted Oscillator,0.0,+1%,,
273,Aeronic Boundary Hunter,0.0,+1%,,
274,Aeronic Mirror,0.07,,,+5%
275,Extinguished Boundary Hunter,0.123,+1%,,+8%
276,Relinquished Splitter,0.234,,-2%,+13%
277,Impossible Furnace,0.024,,-2%,
278,Relinquished Accelerator,0.065,+1%,-3%,+2%
279,Cursed Refractor,0.035,+1%,,+3%
280,Polymorphous Annihilator,0.129,,-2%,+7%
281,Relinquished Atomiser,0.024,+1%,-2%,
282,Doomed Capacitor,0.024,,-2%,
283,Doomed Capacitor,0.048,+1%,-3%,
284,Rescued Capacitor,0.148,+1%,-5%,+4%
285,Haunted Oscillator,0.024,,-2%,
286,Doomed Resonator,0.088,,,+6%
287,Salvaged Accelerator,0.076,+1%,-2%,+4%
288,Salvaged Dynamo,0.211,,,+13%
289,Haunted Neutraliser,0.0,+1%,,
290,Watery Gravitiser,0.199,+1%,-2%,+11%
291,Released Splitter,0.0,+1%,,
292,Writhing De-limiter,0.024,,-2%,
293,Anomalous Gravitiser,0.107,+1%,-4%,+3%
294,Impossible Dynamo,0.0,+1%,,
295,Impossible Annihilator,0.0,+1%,,
296,Rescued Polariser,0.0,,-1%,
297,Extinguished Splitter,0.095,,-5%,
298,Writhing Amplifier,0.333,+2%,,
299,Released Polariser,0.0,+1%,,+1%
300,Non-compliant Obliterator,0.238,,-11%,
301,Crimson Annihilator,0.164,+1%,-2%,+9%
302,Cursed Oscillator,0.041,+1%,-2%,+2%
303,Forsaken Splitter,0.018,+1%,,+2%
304,Glassy Filament,0.298,,,+18%
305,Anomalous De-limiter,0.076,+1%,-2%,+4%
306,Relinquished Resonator,0.167,+1%,-8%,
307,Relinquished Atomiser,0.175,,,+11%
308,Aeronic Resonator,0.088,,,+6%
309,Non-compliant Neutraliser,0.316,,,+19%
310,Watery Neutraliser,0.024,,-2%,
311,Writhing Filament,0.065,+1%,-3%,+2%
312,Cursed Furnace,0.0,+1%,,
313,Salvaged Amplifier,0.024,+1%,-2%,
314,Forsaken Splitter,0.0,+1%,,
315,Anomalous Resonator,0.024,,-2%,
316,Non-compliant Filament,0.0,+1%,,
317,Rescued Annihilator,0.088,,,+6%
318,Watery Polariser,0.333,+2%,,
319,Salvaged Accelerator,0.076,+1%,-2%,+4%
320,Polymorphous Polariser,0.024,,-2%,
321,Anointed Resonator,0.088,,,+6%
322,Polymorphous Annihilator,0.214,,-10%,
323,Extinguished Boundary Hunter,0.048,+1%,-3%,
324,Polymorphous Atomiser,0.0,+1%,,
325,Non-compliant Polariser,0.0,+1%,,
326,Cursed Accelerator,0.065,+1%,-3%,+2%
327,Extinguished Splitter,0.0,+1%,,
328,Aeronic Splitter,0.041,+1%,-2%,+2%
329,Glassy Capacitor,0.018,,,+2%
330,Cursed Furnace,0.14,,,+9%
331,Anomalous Accelerator,0.0,+1%,,
332,Glassy Boundary Hunter,0.059,+1%,-2%,+3%
333,Aeronic Polariser,0.059,,-2%,+3%
334,Anointed Refractor,0.053,,,+4%
335,Cursed Mirror,0.112,,-2%,+6%
336,Released Resonator,0.0,+1%,,
337,Non-compliant Oscillator,0.182,,-2%,+10%
338,Polymorphous Obliterator,0.1,+1%,-3%,+4%
339,Anointed Obliterator,0.316,,,+19%
340,Released Annihilator,0.119,,-6%,
341,Impossible Refractor,0.238,,-11%,
342,Anomalous Neutraliser,0.479,+1%,-13%,+12%
343,Haunted Atomiser,0.182,+1%,-2%,+10%
344,Crimson Dynamo,0.024,,-2%,
345,Released Atomiser,0.071,+1%,-4%,
346,Anomalous Splitter,0.041,,-2%,+2%
347,Aeronic Resonator,0.246,,,+15%
348,Aeronic Injector,0.193,,,+12%
349,Rescued Polariser,0.333,+2%,,
350,Cursed De-limiter,0.048,,-3%,
351,Cursed Annihilator,0.065,+1%,-3%,+2%
352,Crimson Capacitor,0.397,,-14%,+6%
353,Crimson Refractor,0.041,,-2%,+2%
354,Haunted Neutraliser,0.024,,-2%,
355,Released Amplifier,0.158,,,+10%
356,Relinquished Neutraliser,0.0,+1%,,
357,Impossible Annihilator,0.287,+1%,-2%,+16%
358,Salvaged Atomiser,0.024,,-2%,
359,Doomed Polariser,0.094,,-2%,+5%
360,Aeronic Amplifier,0.123,+1%,,+8%
361,Rescued Mirror,0.024,,-2%,
362,Extinguished Amplifier,0.0,+1%,,
363,Anointed Oscillator,0.024,,-2%,
364,Aeronic Atomiser,0.0,+1%,,
365,Anomalous Gravitiser,0.065,+1%,-3%,+2%
366,Salvaged Injector,0.024,,-2%,
367,Writhing Accelerator,0.041,,-2%,+2%
368,Crimson Resonator,0.083,+1%,-3%,+3%
369,Impossible Polariser,0.305,,-2%,+17%
370,Non-compliant Neutraliser,0.024,,-2%,
371,Watery Accelerator,0.414,+1%,-11%,+11%
372,Non-compliant Atomiser,0.0,+1%,,
373,Extinguished Atomiser,0.088,,,+6%
374,Polymorphous Obliterator,0.048,,-3%,
375,Nanite-Marked Gravitiser,0.083,+1%,-3%,+3%
376,Extinguished Neutraliser,0.076,+1%,-2%,+4%
377,Impossible Injector,0.018,,,+2%
378,Salvaged Capacitor,0.143,,-7%,
379,Anointed Dynamo,0.0,+1%,,
380,Relinquished Splitter,0.048,,-3%,
381,Writhing Gravitiser,0.0,+1%,,
382,Polymorphous Filament,0.024,,-2%,
383,Doomed Accelerator,0.195,+1%,-7%,+4%
384,Rescued Resonator,0.076,,-2%,+4%
385,Rescued Mirror,0.041,,-2%,+2%
386,Anomalous Oscillator,0.024,,-2%,
387,Haunted De-limiter,0.0,+1%,,
388,Crimson Splitter,0.024,,-2%,
389,Forsaken Boundary Hunter,0.0,+1%,,
390,Rescued Polariser,0.441,+1%,-7%,+18%
391,Glassy Furnace,0.298,,,+18%
392,Watery Splitter,0.083,+1%,-3%,+3%
393,Haunted Atomiser,0.0,+1%,,
394,Doomed Gravitiser,0.018,+1%,-1%,+2%
395,Crimson Neutraliser,0.018,,,+2%
396,Rescued Mirror,0.071,,-4%,
397,Haunted Capacitor,0.053,,,+4%
398,Anointed Atomiser,0.018,,,+2%
399,Extinguished Annihilator,0.0,+1%,,
400,Released Obliterator,0.243,+1%,-9%,+4%
401,Extinguished Polariser,0.129,,-2%,+7%
402,Glassy Capacitor,0.214,,-10%,
403,Doomed Injector,0.333,+2%,,
404,Anointed Amplifier,0.024,,-2%,
405,Anomalous Accelerator,0.024,,-2%,
406,Relinquished Resonator,0.065,+1%,-3%,+2%
407,Released Filament,0.333,+2%,,
408,Polymorphous Amplifier,0.247,,-4%,+11%
409,Aeronic Boundary Hunter,0.578,+1%,-12%,+19%
410,Non-compliant Oscillator,0.024,,-2%,
411,Released Amplifier,0.175,,,+11%
412,Watery Dynamo,0.0,+1%,,
413,Aeronic Annihilator,0.0,+1%,,
414,Cursed Accelerator,0.355,+1%,-10%,+9%
415,Anointed Polariser,0.041,,-2%,+2%
416,Glassy Oscillator,0.0,+1%,,
417,Haunted Filament,0.024,,-2%,
418,Polymorphous Annihilator,0.0,+1%,,
419,Haunted Oscillator,0.234,+1%,-2%,+13%
420,Anomalous Capacitor,0.024,+1%,-2%,
421,Doomed Gravitiser,0.281,,,+17%
422,Doomed De-limiter,0.018,,,+2%
423,Writhing Capacitor,0.129,,-2%,+7%
424,Doomed Refractor,0.119,,-6%,
425,Anomalous Mirror,0.199,+1%,-2%,+11%
426,Released Capacitor,0.0,+1%,,
427,Nanite-Marked Capacitor,0.279,+1%,-12%,+2%
428,Anointed Capacitor,0.07,,,+5%
429,Aeronic Resonator,0.035,+1%,,+3%
430,Doomed Splitter,0.0,+1%,,
431,Impossible Mirror,0.0,+1%,,
432,Extinguished Neutraliser,0.024,,-2%,
433,Anomalous Oscillator,0.0,+1%,,
434,Watery Annihilator,0.0,+1%,,
435,Haunted Amplifier,0.048,+1%,-3%,
436,Aeronic Furnace,0.456,+2%,,+8%
437,Glassy Atomiser,0.071,+1%,-4%,
438,Rescued Filament,0.286,+1%,-13%,
439,Forsaken De-limiter,0.018,,,+2%
440,Polymorphous Obliterator,0.19,,-9%,
441,Released Obliterator,0.018,+1%,,+2%
442,Relinquished Gravitiser,0.024,,-2%,
443,Writhing Neutraliser,0.088,+1%,,+6%
444,Forsaken Annihilator,0.088,,,+6%
445,Cursed Polariser,0.228,+1%,,+14%
446,Released De-limiter,0.041,,-2%,+2%
447,Extinguished Gravitiser,0.035,+1%,,+3%
448,Doomed Gravitiser,0.018,,,+2%
449,Writhing Splitter,0.065,+1%,-3%,+2%
450,Anomalous Neutraliser,0.018,,,+2%
451,Nanite-Marked Splitter,0.0,+1%,,
452,Watery Furnace,0.105,,,+7%
453,Non-compliant Boundary Hunter,0.0,+1%,,
454,Writhing Amplifier,0.316,,,+19%
455,Rescued Capacitor,0.0,+1%,,
456,Released Annihilator,0.287,+1%,-2%,+16%
457,Extinguished De-limiter,0.018,,,+2%
458,Aeronic Resonator,0.638,+2%,-2%,+17%
459,Non-compliant Injector,0.0,+1%,,
460,Impossible Amplifier,0.083,+1%,-3%,+3%
461,Anointed Capacitor,0.024,+1%,-2%,
462,Polymorphous De-limiter,0.083,+1%,-3%,+3%
463,Non-compliant Obliterator,0.083,+1%,-3%,+3%
464,Anointed Dynamo,0.105,,,+7%
465,Non-compliant Annihilator,0.048,+1%,-3%,
466,Writhing Capacitor,0.048,+1%,-3%,
467,Non-compliant Furnace,0.0,+1%,,
468,Doomed Splitter,0.071,,-4%,
469,Haunted Obliterator,0.024,,-2%,
470,Nanite-Marked De-limiter,0.024,,-2%,
471,Glassy Dynamo,0.333,,,+20%
472,Salvaged Refractor,0.024,+1%,-2%,
473,Rescued Boundary Hunter,0.352,+1%,-4%,+17%
474,Haunted Accelerator,0.041,+1%,-2%,+2%
475,Crimson Annihilator,0.211,,,+13%
476,Salvaged Neutraliser,0.248,+1%,-7%,+7%
477,Non-compliant Polariser,0.228,,,+14%
478,Nanite-Marked Amplifier,0.059,+1%,-2%,+3%
479,Released Polariser,0.0,+1%,,
480,Polymorphous Dynamo,0.018,,,+2%
481,Haunted Neutraliser,0.024,+1%,-2%,
482,Glassy Splitter,0.0,+1%,,
483,Anomalous Resonator,0.041,+1%,-2%,+2%
484,Anointed Obliterator,0.041,+1%,-2%,+2%
485,Haunted Furnace,0.0,+1%,,
486,Crimson Amplifier,0.035,,,+3%
487,Watery Refractor,0.095,,-5%,
488,Rescued Amplifier,0.182,+1%,-2%,+10%
489,Cursed Capacitor,0.311,,-3%,+16%
490,Crimson Obliterator,0.333,+2%,,
491,Cursed Resonator,0.298,,,+18%
492,Impossible Boundary Hunter,0.14,+1%,,+9%
493,Salvaged Polariser,0.035,,,+3%
494,Crimson Furnace,0.041,+1%,-2%,+2%
495,Aeronic Injector,0.024,+1%,-2%,
496,Anointed Refractor,0.024,,-2%,
497,Non-compliant Accelerator,0.041,+1%,-2%,+2%
498,Cursed Splitter,0.095,,-5%,
499,Forsaken Neutraliser,0.048,,-3%,
500,Rescued Injector,0.041,+1%,-2%,+2%
501,Doomed Atomiser,0.018,+1%,,+2%
502,Anointed Annihilator,0.143,+1%,-7%,
503,Crimson Furnace,0.024,,-2%,
504,Glassy Mirror,0.167,,-8%,
505,Extinguished Boundary Hunter,0.262,+1%,-12%,
506,Forsaken Annihilator,0.307,+1%,-8%,+9%
507,Relinquished Obliterator,0.0,+1%,,
508,Impossible Splitter,0.059,,-2%,+3%
509,Doomed Dynamo,0.316,,,+19%
510,Cursed Refractor,0.299,+1%,-4%,+14%
511,Non-compliant Resonator,0.38,+1%,-14%,+5%
512,Aeronic Oscillator,0.262,,-12%,
513,Rescued Injector,0.048,+1%,-3%,
514,Writhing Filament,0.0,+1%,,
515,Non-compliant De-limiter,0.024,+1%,-2%,
516,Salvaged Resonator,0.035,,,+3%
517,Anomalous Capacitor,0.071,,-4%,
518,Writhing Annihilator,0.228,,,+14%
519,Crimson Amplifier,0.094,+1%,-2%,+5%
520,Glassy Oscillator,0.0,+1%,,
521,Released Resonator,0.083,+1%,-3%,+3%
522,Aeronic Filament,0.306,+1%,-5%,+13%
523,Released Annihilator,0.182,+1%,-2%,+10%
524,Extinguished Obliterator,0.053,,,+4%
525,Impossible Neutraliser,0.0,+1%,,
526,Non-compliant Neutraliser,0.076,+1%,-2%,+4%
527,Forsaken Capacitor,0.0,+1%,,
528,Impossible Polariser,0.041,+1%,-2%,+2%
529,Aeronic Obliterator,0.0,+1%,,
530,Doomed Capacitor,0.018,+1%,,+2%
531,Extinguished Boundary Hunter,0.024,,-2%,
532,Released Gravitiser,0.107,+1%,-4%,+3%
533,Non-compliant Gravitiser,0.441,+1%,-7%,+18%
534,Non-compliant Refractor,0.024,,-2%,
535,Anointed Neutraliser,0.0,+1%,,
536,Nanite-Marked Obliterator,0.024,+1%,-2%,
537,Polymorphous Accelerator,0.316,,,+19%
538,Haunted Annihilator,0.024,+1%,-2%,
539,Relinquished Resonator,0.0,+1%,,
540,Writhing Accelerator,0.024,,-2%,
541,Released Dynamo,0.333,+1%,-1%,+20%
542,Polymorphous Amplifier,0.018,,,+2%
543,Relinquished Resonator,0.164,+1%,-2%,+9%
544,Watery De-limiter,0.0,+1%,,
545,Doomed Refractor,0.167,,-8%,
546,Doomed Splitter,0.024,,-2%,
547,Relinquished Amplifier,0.0,+1%,,
548,Writhing Polariser,0.333,+2%,,
549,Salvaged Capacitor,0.076,,-2%,+4%
550,Watery Resonator,0.053,,,+4%
551,Extinguished Amplifier,0.035,,,+3%
552,Glassy Capacitor,0.083,+1%,-3%,+3%
553,Rescued Atomiser,0.076,+1%,-2%,+4%
554,Aeronic Neutraliser,0.263,+1%,,+16%
555,Anomalous Polariser,0.041,+1%,-2%,+2%
556,Forsaken Splitter,0.088,,,+6%
557,Forsaken Amplifier,0.024,,-2%,
558,Aeronic Resonator,0.059,+1%,-2%,+3%
559,Extinguished Obliterator,0.381,+2%,-3%,
560,Doomed Dynamo,0.095,,-5%,
561,Rescued Polariser,0.226,+1%,-9%,+3%
562,Doomed Filament,0.024,,-2%,
563,Anomalous Injector,0.035,,,+3%
564,Watery Accelerator,0.0,+1%,,
565,Nanite-Marked Boundary Hunter,0.0,+1%,,
566,Non-compliant Gravitiser,0.0,+1%,,
567,Writhing Filament,0.024,,-2%,
568,Salvaged Oscillator,0.333,,,+20%
569,Glassy Accelerator,0.228,,,+14%
570,Crimson Neutraliser,0.333,+2%,,
571,Rescued Atomiser,0.0,+1%,,
