sep=,
Seed,Name,Perfection,Weapon_Laser_Damage,Weapon_Laser_ChargeTime
84,Antimatter Generator Unit,0.091,+4%,-11%
85,Quantum Plating,0.192,+4%,-12%
86,Indium Magnets,0.091,+4%,-11%
87,Faultless Accelerator,0.192,+4%,-12%
88,Quantum Magnets,0.192,+4%,-12%
89,Faultless Core,0.697,+4%,-17%
90,Quantum Stabiliser,0.293,+4%,-13%
91,Vectorised Recycler,0.596,+4%,-16%
92,Antimatter Stabiliser,0.091,+4%,-11%
93,Antimatter Injectors,0.697,+4%,-17%
94,Indium Core,0.293,+4%,-13%
95,Antimatter Recycler,0.091,+4%,-11%
96,Antimatter Accelerator,0.091,+4%,-11%
97,Faultless Recycler,0.293,+4%,-13%
98,Indium Stabiliser,0.899,+4%,-19%
99,Quantum Generator Unit,0.394,+4%,-14%
100,Quantum Capacitors,0.091,+4%,-11%
101,Antimatter Mass Chamber,0.495,+4%,-15%
102,Faultless Recycler,0.091,+4%,-11%
103,Indium Plating,0.192,+4%,-12%
104,Indium Capacitors,0.091,+4%,-11%
105,Indium Recycler,0.495,+4%,-15%
106,Indium Recycler,0.495,+4%,-15%
107,Indium Magnets,0.091,+4%,-11%
108,Antimatter Magnets,0.394,+4%,-14%
109,Indium Plating,0.697,+4%,-17%
110,Faultless Capacitors,0.091,+4%,-11%
111,Vectorised Injectors,0.091,+4%,-11%
112,Antimatter Recycler,0.091,+4%,-11%
113,Quantum Core,0.192,+4%,-12%
114,Vectorised Capacitors,0.293,+4%,-13%
115,Antimatter Capacitors,0.596,+4%,-16%
116,Antimatter Stabiliser,0.697,+4%,-17%
117,Quantum Capacitors,0.697,+4%,-17%
118,Antimatter Stabiliser,0.091,+4%,-11%
119,Indium Core,0.192,+4%,-12%
120,Antimatter Accelerator,0.899,+4%,-19%
121,Antimatter Stabiliser,0.293,+4%,-13%
122,Antimatter Core,0.091,+4%,-11%
123,Indium Stabiliser,0.293,+4%,-13%
124,Vectorised Core,0.293,+4%,-13%
125,Faultless Generator Unit,0.293,+4%,-13%
126,Vectorised Injectors,0.091,+4%,-11%
127,Antimatter Plating,0.394,+4%,-14%
128,Indium Generator Unit,0.293,+4%,-13%
129,Quantum Generator Unit,0.293,+4%,-13%
130,Quantum Stabiliser,0.293,+4%,-13%
131,Indium Recycler,0.192,+4%,-12%
132,Indium Stabiliser,1.0,+4%,-20%
133,Vectorised Stabiliser,0.293,+4%,-13%
134,Antimatter Mass Chamber,0.394,+4%,-14%
135,Faultless Generator Unit,0.394,+4%,-14%
136,Antimatter Capacitors,0.596,+4%,-16%
137,Indium Generator Unit,0.697,+4%,-17%
138,Antimatter Accelerator,0.495,+4%,-15%
139,Indium Mass Chamber,0.091,+4%,-11%
140,Antimatter Injectors,0.899,+4%,-19%
141,Vectorised Magnets,0.293,+4%,-13%
142,Antimatter Injectors,0.596,+4%,-16%
143,Quantum Capacitors,0.091,+4%,-11%
144,Indium Generator Unit,0.899,+4%,-19%
145,Quantum Plating,0.192,+4%,-12%
146,Faultless Accelerator,0.495,+4%,-15%
147,Indium Core,0.293,+4%,-13%
148,Quantum Recycler,0.697,+4%,-17%
149,Vectorised Mass Chamber,0.192,+4%,-12%
150,Quantum Accelerator,0.192,+4%,-12%
151,Vectorised Mass Chamber,0.697,+4%,-17%
152,Vectorised Recycler,0.091,+4%,-11%
153,Quantum Magnets,0.798,+4%,-18%
154,Quantum Stabiliser,0.192,+4%,-12%
155,Faultless Stabiliser,0.293,+4%,-13%
156,Vectorised Core,0.192,+4%,-12%
157,Indium Accelerator,0.192,+4%,-12%
158,Vectorised Magnets,0.091,+4%,-11%
159,Indium Recycler,0.899,+4%,-19%
160,Vectorised Recycler,0.697,+4%,-17%
161,Vectorised Core,0.495,+4%,-15%
162,Vectorised Capacitors,0.798,+4%,-18%
163,Antimatter Accelerator,0.091,+4%,-11%
164,Quantum Recycler,0.697,+4%,-17%
165,Indium Core,0.091,+4%,-11%
166,Indium Capacitors,0.495,+4%,-15%
167,Antimatter Magnets,0.091,+4%,-11%
168,Antimatter Injectors,0.091,+4%,-11%
169,Quantum Generator Unit,0.697,+4%,-17%
170,Faultless Plating,0.091,+4%,-11%
171,Faultless Injectors,0.091,+4%,-11%
172,Vectorised Plating,0.495,+4%,-15%
173,Antimatter Generator Unit,0.596,+4%,-16%
174,Vectorised Stabiliser,0.293,+4%,-13%
175,Indium Capacitors,0.899,+4%,-19%
176,Quantum Injectors,0.091,+4%,-11%
177,Antimatter Stabiliser,0.192,+4%,-12%
178,Faultless Injectors,0.596,+4%,-16%
179,Indium Generator Unit,1.0,+4%,-20%
180,Quantum Plating,0.798,+4%,-18%
181,Faultless Generator Unit,0.091,+4%,-11%
182,Faultless Core,0.899,+4%,-19%
183,Indium Mass Chamber,0.596,+4%,-16%
184,Quantum Core,0.394,+4%,-14%
185,Quantum Stabiliser,0.394,+4%,-14%
186,Vectorised Mass Chamber,0.495,+4%,-15%
187,Quantum Injectors,0.495,+4%,-15%
188,Faultless Core,0.091,+4%,-11%
189,Antimatter Plating,0.192,+4%,-12%
190,Faultless Plating,0.394,+4%,-14%
191,Faultless Accelerator,0.495,+4%,-15%
192,Faultless Magnets,0.091,+4%,-11%
193,Vectorised Core,0.091,+4%,-11%
194,Quantum Magnets,0.293,+4%,-13%
195,Antimatter Injectors,0.091,+4%,-11%
196,Indium Injectors,0.798,+4%,-18%
197,Faultless Stabiliser,0.192,+4%,-12%
198,Faultless Recycler,0.394,+4%,-14%
199,Quantum Plating,1.0,+4%,-20%
200,Faultless Accelerator,0.899,+4%,-19%
201,Faultless Stabiliser,0.293,+4%,-13%
202,Indium Stabiliser,0.293,+4%,-13%
203,Faultless Plating,0.192,+4%,-12%
204,Faultless Core,0.091,+4%,-11%
205,Antimatter Generator Unit,0.091,+4%,-11%
206,Indium Plating,0.394,+4%,-14%
207,Vectorised Recycler,0.192,+4%,-12%
208,Faultless Stabiliser,1.0,+4%,-20%
209,Indium Generator Unit,0.192,+4%,-12%
210,Indium Accelerator,0.091,+4%,-11%
211,Indium Core,0.192,+4%,-12%
212,Antimatter Recycler,0.192,+4%,-12%
213,Quantum Plating,1.0,+4%,-20%
214,Faultless Accelerator,1.0,+4%,-20%
215,Quantum Generator Unit,0.192,+4%,-12%
216,Vectorised Magnets,0.697,+4%,-17%
217,Faultless Injectors,0.495,+4%,-15%
218,Antimatter Core,0.899,+4%,-19%
219,Faultless Plating,0.798,+4%,-18%
220,Indium Mass Chamber,0.091,+4%,-11%
221,Quantum Mass Chamber,0.899,+4%,-19%
222,Indium Injectors,0.697,+4%,-17%
223,Vectorised Injectors,0.697,+4%,-17%
224,Quantum Capacitors,0.091,+4%,-11%
225,Antimatter Plating,0.798,+4%,-18%
226,Faultless Capacitors,0.091,+4%,-11%
227,Antimatter Mass Chamber,0.091,+4%,-11%
228,Antimatter Magnets,1.0,+4%,-20%
229,Faultless Stabiliser,0.192,+4%,-12%
230,Indium Mass Chamber,0.596,+4%,-16%
231,Indium Accelerator,0.192,+4%,-12%
232,Antimatter Recycler,0.091,+4%,-11%
233,Quantum Mass Chamber,0.192,+4%,-12%
234,Vectorised Capacitors,0.091,+4%,-11%
235,Antimatter Recycler,0.394,+4%,-14%
236,Vectorised Injectors,0.091,+4%,-11%
237,Indium Plating,0.192,+4%,-12%
238,Indium Core,0.899,+4%,-19%
239,Vectorised Magnets,0.091,+4%,-11%
240,Indium Magnets,0.192,+4%,-12%
241,Faultless Recycler,0.596,+4%,-16%
242,Indium Stabiliser,0.798,+4%,-18%
243,Vectorised Stabiliser,0.091,+4%,-11%
244,Quantum Magnets,0.697,+4%,-17%
245,Vectorised Stabiliser,0.091,+4%,-11%
246,Quantum Injectors,0.091,+4%,-11%
247,Faultless Magnets,0.192,+4%,-12%
248,Antimatter Recycler,0.091,+4%,-11%
249,Indium Capacitors,0.192,+4%,-12%
250,Antimatter Capacitors,1.0,+4%,-20%
251,Faultless Recycler,0.394,+4%,-14%
252,Vectorised Mass Chamber,0.091,+4%,-11%
253,Quantum Plating,0.596,+4%,-16%
254,Indium Injectors,0.596,+4%,-16%
255,Vectorised Magnets,0.495,+4%,-15%
256,Antimatter Plating,1.0,+4%,-20%
257,Antimatter Magnets,1.0,+4%,-20%
258,Faultless Capacitors,0.394,+4%,-14%
259,Indium Capacitors,0.899,+4%,-19%
260,Indium Capacitors,0.293,+4%,-13%
261,Antimatter Accelerator,0.596,+4%,-16%
262,Antimatter Recycler,0.495,+4%,-15%
263,Indium Mass Chamber,0.192,+4%,-12%
264,Antimatter Recycler,0.697,+4%,-17%
265,Vectorised Generator Unit,0.192,+4%,-12%
266,Antimatter Capacitors,0.293,+4%,-13%
267,Quantum Accelerator,0.495,+4%,-15%
268,Antimatter Generator Unit,0.192,+4%,-12%
269,Vectorised Mass Chamber,0.596,+4%,-16%
270,Indium Injectors,0.394,+4%,-14%
271,Antimatter Core,0.697,+4%,-17%
272,Indium Generator Unit,0.192,+4%,-12%
273,Indium Accelerator,0.495,+4%,-15%
274,Indium Stabiliser,0.899,+4%,-19%
275,Vectorised Stabiliser,0.293,+4%,-13%
276,Vectorised Plating,0.091,+4%,-11%
277,Quantum Generator Unit,0.596,+4%,-16%
278,Vectorised Accelerator,0.697,+4%,-17%
279,Faultless Injectors,0.091,+4%,-11%
280,Quantum Recycler,0.596,+4%,-16%
281,Vectorised Core,0.091,+4%,-11%
282,Antimatter Core,0.091,+4%,-11%
283,Antimatter Plating,0.091,+4%,-11%
284,Antimatter Core,0.798,+4%,-18%
285,Indium Injectors,0.091,+4%,-11%
286,Antimatter Capacitors,0.293,+4%,-13%
287,Antimatter Stabiliser,0.596,+4%,-16%
288,Antimatter Magnets,0.596,+4%,-16%
289,Indium Magnets,0.091,+4%,-11%
290,Quantum Mass Chamber,0.596,+4%,-16%
291,Vectorised Mass Chamber,0.293,+4%,-13%
292,Quantum Magnets,0.091,+4%,-11%
293,Vectorised Capacitors,0.192,+4%,-12%
294,Quantum Mass Chamber,0.192,+4%,-12%
295,Quantum Mass Chamber,0.091,+4%,-11%
296,Antimatter Generator Unit,0.697,+4%,-17%
297,Vectorised Recycler,0.495,+4%,-15%
298,Quantum Magnets,0.394,+4%,-14%
299,Vectorised Injectors,0.697,+4%,-17%
300,Faultless Injectors,0.091,+4%,-11%
301,Indium Capacitors,0.091,+4%,-11%
302,Faultless Plating,0.394,+4%,-14%
303,Faultless Accelerator,0.798,+4%,-18%
304,Indium Injectors,0.596,+4%,-16%
305,Vectorised Generator Unit,0.192,+4%,-12%
306,Vectorised Plating,0.091,+4%,-11%
307,Vectorised Generator Unit,0.596,+4%,-16%
308,Indium Magnets,0.596,+4%,-16%
309,Faultless Magnets,0.394,+4%,-14%
310,Quantum Recycler,0.394,+4%,-14%
311,Quantum Core,0.697,+4%,-17%
312,Faultless Core,0.091,+4%,-11%
313,Antimatter Capacitors,0.394,+4%,-14%
314,Faultless Recycler,0.091,+4%,-11%
315,Vectorised Core,0.192,+4%,-12%
316,Faultless Plating,0.091,+4%,-11%
317,Antimatter Plating,0.596,+4%,-16%
318,Quantum Recycler,0.192,+4%,-12%
319,Antimatter Stabiliser,0.192,+4%,-12%
320,Quantum Mass Chamber,0.091,+4%,-11%
321,Antimatter Recycler,0.394,+4%,-14%
322,Quantum Magnets,0.596,+4%,-16%
323,Vectorised Core,0.596,+4%,-16%
324,Quantum Mass Chamber,0.091,+4%,-11%
325,Faultless Mass Chamber,0.091,+4%,-11%
326,Faultless Generator Unit,0.293,+4%,-13%
327,Vectorised Accelerator,0.192,+4%,-12%
328,Indium Capacitors,0.293,+4%,-13%
329,Indium Generator Unit,0.192,+4%,-12%
330,Faultless Generator Unit,0.394,+4%,-14%
331,Vectorised Injectors,0.192,+4%,-12%
332,Indium Mass Chamber,0.192,+4%,-12%
333,Indium Injectors,0.091,+4%,-11%
334,Antimatter Recycler,0.495,+4%,-15%
335,Faultless Stabiliser,0.293,+4%,-13%
336,Vectorised Recycler,0.091,+4%,-11%
337,Faultless Magnets,0.091,+4%,-11%
338,Quantum Magnets,0.697,+4%,-17%
339,Antimatter Mass Chamber,0.091,+4%,-11%
340,Vectorised Capacitors,1.0,+4%,-20%
341,Quantum Magnets,0.091,+4%,-11%
342,Vectorised Core,0.091,+4%,-11%
343,Indium Capacitors,0.394,+4%,-14%
344,Indium Accelerator,0.697,+4%,-17%
345,Vectorised Core,0.697,+4%,-17%
346,Vectorised Generator Unit,0.697,+4%,-17%
347,Indium Capacitors,0.192,+4%,-12%
348,Indium Magnets,0.394,+4%,-14%
349,Antimatter Stabiliser,0.192,+4%,-12%
350,Faultless Accelerator,0.091,+4%,-11%
351,Faultless Mass Chamber,0.293,+4%,-13%
352,Indium Generator Unit,0.899,+4%,-19%
353,Indium Capacitors,0.293,+4%,-13%
354,Indium Core,0.091,+4%,-11%
355,Vectorised Accelerator,0.697,+4%,-17%
356,Vectorised Injectors,0.192,+4%,-12%
357,Quantum Core,0.293,+4%,-13%
358,Antimatter Mass Chamber,0.697,+4%,-17%
359,Antimatter Injectors,0.192,+4%,-12%
360,Indium Plating,0.394,+4%,-14%
361,Antimatter Mass Chamber,0.596,+4%,-16%
362,Vectorised Core,0.394,+4%,-14%
363,Antimatter Accelerator,0.091,+4%,-11%
364,Indium Capacitors,0.091,+4%,-11%
365,Vectorised Plating,0.091,+4%,-11%
366,Antimatter Stabiliser,0.091,+4%,-11%
367,Quantum Injectors,0.798,+4%,-18%
368,Indium Capacitors,0.091,+4%,-11%
369,Quantum Mass Chamber,0.495,+4%,-15%
370,Faultless Recycler,0.495,+4%,-15%
371,Quantum Accelerator,0.091,+4%,-11%
372,Faultless Recycler,0.091,+4%,-11%
373,Vectorised Plating,0.697,+4%,-17%
374,Quantum Recycler,0.697,+4%,-17%
375,Faultless Stabiliser,0.192,+4%,-12%
376,Vectorised Accelerator,0.192,+4%,-12%
377,Quantum Accelerator,0.394,+4%,-14%
378,Antimatter Recycler,0.091,+4%,-11%
379,Antimatter Mass Chamber,0.192,+4%,-12%
380,Vectorised Stabiliser,0.495,+4%,-15%
381,Quantum Recycler,0.192,+4%,-12%
382,Quantum Generator Unit,0.091,+4%,-11%
383,Antimatter Recycler,0.192,+4%,-12%
384,Antimatter Stabiliser,0.293,+4%,-13%
385,Antimatter Plating,0.091,+4%,-11%
386,Vectorised Stabiliser,0.091,+4%,-11%
387,Indium Magnets,0.091,+4%,-11%
388,Indium Mass Chamber,0.091,+4%,-11%
389,Faultless Capacitors,0.192,+4%,-12%
390,Antimatter Capacitors,0.798,+4%,-18%
391,Indium Recycler,0.697,+4%,-17%
392,Quantum Recycler,0.091,+4%,-11%
393,Indium Mass Chamber,0.394,+4%,-14%
394,Antimatter Recycler,0.596,+4%,-16%
395,Indium Injectors,0.596,+4%,-16%
396,Antimatter Core,0.697,+4%,-17%
397,Indium Accelerator,0.596,+4%,-16%
398,Antimatter Magnets,0.798,+4%,-18%
399,Vectorised Core,0.091,+4%,-11%
400,Vectorised Injectors,0.899,+4%,-19%
401,Vectorised Injectors,0.091,+4%,-11%
402,Indium Recycler,0.091,+4%,-11%
403,Antimatter Plating,0.192,+4%,-12%
404,Antimatter Plating,0.495,+4%,-15%
405,Vectorised Plating,0.293,+4%,-13%
406,Vectorised Stabiliser,0.192,+4%,-12%
407,Vectorised Recycler,0.091,+4%,-11%
408,Quantum Generator Unit,0.091,+4%,-11%
409,Indium Capacitors,0.091,+4%,-11%
410,Faultless Injectors,0.091,+4%,-11%
411,Vectorised Mass Chamber,0.798,+4%,-18%
412,Quantum Core,0.192,+4%,-12%
413,Indium Capacitors,0.495,+4%,-15%
414,Faultless Core,0.091,+4%,-11%
415,Antimatter Plating,0.091,+4%,-11%
416,Indium Core,0.091,+4%,-11%
417,Indium Generator Unit,0.091,+4%,-11%
418,Quantum Plating,0.091,+4%,-11%
419,Indium Magnets,0.192,+4%,-12%
420,Vectorised Stabiliser,0.091,+4%,-11%
421,Antimatter Mass Chamber,1.0,+4%,-20%
422,Antimatter Capacitors,1.0,+4%,-20%
423,Quantum Generator Unit,0.899,+4%,-19%
424,Antimatter Accelerator,0.091,+4%,-11%
425,Vectorised Stabiliser,1.0,+4%,-20%
426,Vectorised Capacitors,0.192,+4%,-12%
427,Faultless Mass Chamber,0.091,+4%,-11%
428,Antimatter Recycler,0.798,+4%,-18%
429,Indium Plating,0.798,+4%,-18%
430,Antimatter Recycler,0.091,+4%,-11%
431,Quantum Plating,0.394,+4%,-14%
432,Vectorised Magnets,0.091,+4%,-11%
433,Vectorised Core,0.192,+4%,-12%
434,Quantum Accelerator,0.091,+4%,-11%
435,Indium Stabiliser,0.091,+4%,-11%
436,Indium Capacitors,0.495,+4%,-15%
437,Indium Core,0.091,+4%,-11%
438,Antimatter Stabiliser,0.091,+4%,-11%
439,Faultless Magnets,0.293,+4%,-13%
440,Quantum Stabiliser,0.091,+4%,-11%
441,Vectorised Recycler,0.293,+4%,-13%
442,Vectorised Mass Chamber,1.0,+4%,-20%
443,Quantum Capacitors,0.798,+4%,-18%
444,Faultless Mass Chamber,0.798,+4%,-18%
445,Faultless Recycler,0.798,+4%,-18%
446,Vectorised Recycler,0.192,+4%,-12%
447,Vectorised Injectors,0.899,+4%,-19%
448,Antimatter Recycler,0.798,+4%,-18%
449,Quantum Stabiliser,0.192,+4%,-12%
450,Vectorised Plating,0.394,+4%,-14%
451,Faultless Capacitors,0.091,+4%,-11%
452,Quantum Core,0.798,+4%,-18%
453,Faultless Core,0.293,+4%,-13%
454,Quantum Plating,1.0,+4%,-20%
455,Antimatter Injectors,0.091,+4%,-11%
456,Vectorised Accelerator,0.091,+4%,-11%
457,Vectorised Stabiliser,1.0,+4%,-20%
458,Indium Stabiliser,0.899,+4%,-19%
459,Faultless Recycler,0.394,+4%,-14%
460,Quantum Magnets,0.091,+4%,-11%
461,Antimatter Magnets,0.192,+4%,-12%
462,Quantum Mass Chamber,0.091,+4%,-11%
463,Faultless Core,0.495,+4%,-15%
464,Antimatter Mass Chamber,0.394,+4%,-14%
465,Faultless Capacitors,0.596,+4%,-16%
466,Quantum Magnets,0.293,+4%,-13%
467,Faultless Accelerator,0.495,+4%,-15%
468,Antimatter Mass Chamber,1.0,+4%,-20%
469,Indium Accelerator,0.899,+4%,-19%
470,Faultless Magnets,0.091,+4%,-11%
471,Indium Stabiliser,0.899,+4%,-19%
472,Antimatter Generator Unit,0.091,+4%,-11%
473,Antimatter Generator Unit,0.899,+4%,-19%
474,Indium Injectors,0.293,+4%,-13%
475,Indium Recycler,0.495,+4%,-15%
476,Antimatter Stabiliser,0.899,+4%,-19%
477,Faultless Core,0.495,+4%,-15%
478,Faultless Magnets,0.495,+4%,-15%
479,Vectorised Recycler,0.192,+4%,-12%
480,Quantum Core,0.697,+4%,-17%
481,Indium Accelerator,1.0,+4%,-20%
482,Indium Capacitors,0.394,+4%,-14%
483,Vectorised Mass Chamber,1.0,+4%,-20%
484,Antimatter Mass Chamber,0.697,+4%,-17%
485,Indium Stabiliser,0.293,+4%,-13%
486,Indium Accelerator,0.798,+4%,-18%
487,Quantum Accelerator,0.091,+4%,-11%
488,Antimatter Core,0.091,+4%,-11%
489,Faultless Generator Unit,0.596,+4%,-16%
490,Indium Magnets,0.091,+4%,-11%
491,Faultless Injectors,0.495,+4%,-15%
492,Quantum Injectors,0.091,+4%,-11%
493,Antimatter Stabiliser,1.0,+4%,-20%
494,Indium Recycler,0.192,+4%,-12%
495,Indium Core,0.192,+4%,-12%
496,Antimatter Injectors,0.596,+4%,-16%
497,Faultless Generator Unit,0.596,+4%,-16%
498,Faultless Recycler,1.0,+4%,-20%
499,Faultless Magnets,0.798,+4%,-18%
500,Antimatter Plating,0.091,+4%,-11%
501,Antimatter Mass Chamber,0.091,+4%,-11%
502,Antimatter Plating,0.293,+4%,-13%
503,Indium Injectors,0.293,+4%,-13%
504,Indium Accelerator,0.596,+4%,-16%
505,Vectorised Capacitors,0.596,+4%,-16%
506,Faultless Stabiliser,0.293,+4%,-13%
507,Vectorised Recycler,0.091,+4%,-11%
508,Quantum Capacitors,0.192,+4%,-12%
509,Antimatter Accelerator,0.899,+4%,-19%
510,Faultless Accelerator,0.394,+4%,-14%
511,Faultless Stabiliser,1.0,+4%,-20%
512,Indium Mass Chamber,0.091,+4%,-11%
513,Antimatter Plating,0.091,+4%,-11%
514,Quantum Stabiliser,0.091,+4%,-11%
515,Faultless Generator Unit,0.394,+4%,-14%
516,Antimatter Injectors,0.596,+4%,-16%
517,Vectorised Stabiliser,0.091,+4%,-11%
518,Quantum Magnets,0.495,+4%,-15%
519,Indium Recycler,0.394,+4%,-14%
520,Indium Mass Chamber,0.091,+4%,-11%
521,Vectorised Magnets,0.394,+4%,-14%
522,Indium Accelerator,0.798,+4%,-18%
523,Vectorised Magnets,0.798,+4%,-18%
524,Vectorised Mass Chamber,0.192,+4%,-12%
525,Quantum Core,0.091,+4%,-11%
526,Faultless Plating,0.798,+4%,-18%
527,Faultless Injectors,0.192,+4%,-12%
528,Quantum Stabiliser,0.899,+4%,-19%
529,Indium Mass Chamber,0.091,+4%,-11%
530,Antimatter Magnets,0.091,+4%,-11%
531,Vectorised Recycler,0.091,+4%,-11%
532,Vectorised Capacitors,0.798,+4%,-18%
533,Faultless Magnets,0.697,+4%,-17%
534,Faultless Core,0.091,+4%,-11%
535,Antimatter Injectors,0.192,+4%,-12%
536,Faultless Plating,0.293,+4%,-13%
537,Quantum Core,0.394,+4%,-14%
538,Indium Generator Unit,0.798,+4%,-18%
539,Vectorised Plating,0.192,+4%,-12%
540,Quantum Capacitors,0.596,+4%,-16%
541,Vectorised Accelerator,0.091,+4%,-11%
542,Quantum Recycler,0.596,+4%,-16%
543,Vectorised Magnets,0.192,+4%,-12%
544,Quantum Core,0.091,+4%,-11%
545,Antimatter Plating,0.091,+4%,-11%
546,Antimatter Mass Chamber,0.697,+4%,-17%
547,Vectorised Magnets,0.192,+4%,-12%
548,Quantum Magnets,0.394,+4%,-14%
549,Antimatter Injectors,0.091,+4%,-11%
550,Quantum Recycler,0.394,+4%,-14%
551,Vectorised Core,1.0,+4%,-20%
552,Indium Plating,0.091,+4%,-11%
553,Antimatter Plating,0.091,+4%,-11%
554,Indium Stabiliser,0.394,+4%,-14%
555,Vectorised Mass Chamber,0.091,+4%,-11%
556,Faultless Mass Chamber,0.394,+4%,-14%
557,Faultless Core,0.091,+4%,-11%
558,Indium Accelerator,0.293,+4%,-13%
559,Vectorised Accelerator,0.091,+4%,-11%
560,Antimatter Mass Chamber,0.091,+4%,-11%
561,Antimatter Core,0.596,+4%,-16%
562,Antimatter Injectors,0.394,+4%,-14%
563,Vectorised Accelerator,0.192,+4%,-12%
564,Quantum Stabiliser,0.192,+4%,-12%
565,Faultless Recycler,0.293,+4%,-13%
566,Faultless Generator Unit,0.293,+4%,-13%
567,Quantum Mass Chamber,0.596,+4%,-16%
568,Antimatter Generator Unit,0.596,+4%,-16%
569,Indium Generator Unit,0.192,+4%,-12%
570,Indium Plating,0.091,+4%,-11%
571,Antimatter Plating,0.293,+4%,-13%
572,Vectorised Plating,0.091,+4%,-11%
573,Faultless Recycler,0.091,+4%,-11%
574,Antimatter Mass Chamber,0.091,+4%,-11%
575,Indium Recycler,1.0,+4%,-20%
576,Indium Plating,0.596,+4%,-16%
577,Antimatter Plating,0.798,+4%,-18%
578,Indium Injectors,0.091,+4%,-11%
579,Quantum Injectors,0.293,+4%,-13%
580,Faultless Mass Chamber,0.899,+4%,-19%
581,Antimatter Recycler,0.192,+4%,-12%
582,Indium Stabiliser,0.091,+4%,-11%
583,Faultless Stabiliser,0.091,+4%,-11%
584,Faultless Injectors,0.091,+4%,-11%
