sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ClipSize
103,Plasma Injector,0.5,,,+12.0
104,Plasma Capture Cell,0.5,,,+12.0
105,Plasma Solidifier,0.0,,+2%,
106,Plasma Solidifier,0.188,,+5%,
107,Plasma Battery,0.5,+1%,,
108,Infrared Battery,0.0,,+2%,
109,Plasma Injector,0.0,,+2%,
110,Beam Capture Cell,0.5,+1%,,
111,Ion Accelerator,0.5,,,+12.0
112,Infrared Solidifier,0.5,+1%,,
113,Sunlight Resonator,0.5,,,+12.0
114,Ion Capture Cell,0.5,,,+12.0
115,Infrared Capture Cell,0.5,,+10%,
116,Infrared Projector,0.0,,+2%,
117,Sunlight Capture Cell,0.5,,,+12.0
118,Infrared Projector,0.5,,,+12.0
119,Plasma Resonator,0.5,,,+12.0
120,Infrared Excitor,0.0,,+2%,
121,Infrared Projector,0.0,,+2%,
122,Infrared Resonator,0.062,,+3%,
123,Plasma Projector,0.062,,+3%,
124,Ion Resonator,0.0,,+2%,
125,Beam Energiser,0.5,,,+12.0
126,Ion Accelerator,0.5,+1%,,
127,Infrared Injector,0.5,,,+12.0
128,Plasma Energiser,0.5,+1%,,
129,Sunlight Energiser,0.688,,+5%,+12.0
130,Sunlight Projector,0.5,,+10%,
131,Plasma Solidifier,0.0,,+2%,
132,Plasma Projector,0.5,,,+12.0
133,Ion Projector,0.5,,,+12.0
134,Infrared Amplifier,0.5,+1%,,
135,Beam Energiser,0.5,,,+12.0
136,Infrared Capture Cell,0.812,,+7%,+12.0
137,Plasma Energiser,0.5,+1%,,
138,Infrared Excitor,0.25,,+6%,
139,Plasma Amplifier,0.312,,+7%,
140,Infrared Accelerator,0.5,+1%,,
141,Ion Battery,0.5,+1%,,
142,Infrared Accelerator,0.5,,,+12.0
143,Sunlight Capture Cell,0.5,+1%,,
144,Plasma Energiser,0.125,,+4%,
145,Sunlight Injector,0.5,,,+12.0
146,Beam Excitor,0.188,,+5%,
147,Plasma Resonator,0.5,+1%,,
148,Sunlight Solidifier,0.0,,+2%,
149,Ion Amplifier,0.5,,,+12.0
150,Sunlight Excitor,0.5,+1%,,
151,Ion Amplifier,0.0,,+2%,
152,Ion Solidifier,0.5,,,+12.0
153,Sunlight Battery,0.0,,+2%,
154,Sunlight Projector,0.5,,,+12.0
155,Beam Projector,0.5,+1%,,
156,Ion Resonator,0.0,,+2%,
157,Plasma Excitor,0.5,+1%,+2%,
158,Ion Battery,0.188,,+5%,
159,Plasma Solidifier,0.5,,,+12.0
160,Ion Solidifier,0.5,+1%,,
161,Ion Resonator,0.0,,+2%,
162,Ion Capture Cell,0.0,,+2%,
163,Infrared Excitor,0.5,+1%,,
164,Sunlight Solidifier,0.5,+1%,+2%,
165,Plasma Resonator,0.5,,,+12.0
166,Plasma Capture Cell,0.5,+1%,,
167,Infrared Battery,0.5,,,+12.0
168,Infrared Accelerator,0.5,,,+12.0
169,Sunlight Energiser,0.5,,,+12.0
170,Beam Injector,0.5,+1%,,
171,Beam Accelerator,0.5,,,+12.0
172,Ion Injector,0.5,,,+12.0
173,Infrared Energiser,0.5,+1%,,
174,Ion Projector,0.5,,,+12.0
175,Plasma Capture Cell,0.0,,+2%,
176,Sunlight Accelerator,0.5,,,+12.0
177,Infrared Projector,0.5,+1%,,
178,Beam Accelerator,0.0,,+2%,
179,Plasma Energiser,0.0,,+2%,
180,Sunlight Injector,0.5,+1%,,
181,Beam Energiser,0.5,+1%,,
182,Beam Resonator,0.5,,+2%,+12.0
183,Plasma Amplifier,0.5,+1%,,
184,Sunlight Resonator,0.5,+1%,,
185,Sunlight Projector,0.5,+1%,,
186,Ion Amplifier,0.5,,+10%,
187,Sunlight Accelerator,0.5,,+2%,+12.0
188,Beam Resonator,1.0,+1%,,+12.0
189,Infrared Injector,0.5,,,+12.0
190,Beam Injector,1.0,+1%,,+12.0
191,Beam Excitor,0.0,,+2%,
192,Beam Battery,0.625,+1%,+4%,
193,Ion Resonator,0.938,+1%,+9%,
194,Sunlight Battery,0.062,,+3%,
195,Infrared Accelerator,0.5,,,+12.0
196,Plasma Accelerator,0.0,,+2%,
197,Beam Projector,0.5,,,+12.0
198,Beam Solidifier,0.0,,+2%,
199,Sunlight Injector,0.0,,+2%,
200,Beam Excitor,0.0,,+2%,
201,Beam Projector,0.5,+1%,,
202,Plasma Projector,0.5,,,+12.0
203,Beam Injector,0.5,+1%,,
204,Beam Resonator,0.5,,,+12.0
205,Infrared Energiser,0.5,,,+12.0
206,Plasma Injector,0.5,,,+12.0
207,Ion Solidifier,0.5,+1%,,
208,Beam Projector,1.0,+1%,,+12.0
209,Plasma Energiser,0.5,,,+12.0
210,Plasma Excitor,0.5,,,+12.0
211,Plasma Resonator,0.5,,,+12.0
212,Infrared Solidifier,0.5,,,+12.0
213,Sunlight Injector,0.0,,+2%,
214,Beam Excitor,0.5,,,+12.0
215,Sunlight Energiser,0.5,+1%,,
216,Ion Battery,0.062,,+3%,
217,Beam Accelerator,0.0,,+2%,
218,Infrared Resonator,0.0,,+2%,
219,Beam Injector,0.125,,+4%,
220,Plasma Amplifier,0.5,,,+12.0
221,Sunlight Amplifier,0.5,,,+12.0
222,Plasma Accelerator,0.0,,+2%,
223,Ion Accelerator,0.0,,+2%,
224,Sunlight Capture Cell,0.5,,,+12.0
225,Infrared Injector,0.5,,,+12.0
226,Beam Capture Cell,0.5,,+2%,+12.0
227,Infrared Amplifier,0.438,,+9%,
228,Infrared Battery,0.75,+1%,+6%,
229,Beam Projector,0.5,,,+12.0
230,Plasma Amplifier,0.0,,+2%,
231,Plasma Excitor,0.5,,,+12.0
232,Infrared Solidifier,0.5,+1%,,
233,Sunlight Amplifier,0.0,,+2%,
234,Ion Capture Cell,0.5,,,+12.0
235,Infrared Solidifier,0.5,+1%,,
236,Ion Accelerator,0.5,,,+12.0
237,Plasma Injector,0.5,,,+12.0
238,Plasma Resonator,0.5,,+2%,+12.0
239,Ion Battery,0.5,,,+12.0
240,Plasma Battery,0.5,,,+12.0
241,Beam Solidifier,0.0,,+2%,
242,Plasma Projector,0.0,,+2%,
243,Ion Projector,0.5,,,+12.0
244,Sunlight Battery,0.0,,+2%,
245,Ion Projector,0.5,+1%,,
246,Sunlight Accelerator,0.5,,,+12.0
247,Beam Battery,0.0,,+2%,
248,Infrared Solidifier,0.5,,+2%,+12.0
249,Plasma Capture Cell,0.5,+1%,,
250,Infrared Capture Cell,1.0,+1%,,+12.0
251,Beam Solidifier,0.5,,,+12.0
252,Ion Amplifier,0.5,,,+12.0
253,Sunlight Injector,0.5,+1%,,
254,Plasma Accelerator,0.5,+1%,,
255,Ion Battery,0.5,+1%,,
256,Infrared Injector,0.5,+1%,,
257,Infrared Battery,0.0,,+2%,
258,Beam Capture Cell,0.5,,,+12.0
259,Plasma Capture Cell,0.5,,,+12.0
260,Plasma Capture Cell,0.5,+1%,,
261,Infrared Excitor,0.312,,+7%,
262,Infrared Solidifier,0.5,,,+12.0
263,Plasma Amplifier,1.0,+1%,,+12.0
264,Infrared Solidifier,0.5,,,+12.0
265,Ion Energiser,0.5,+1%,,
266,Infrared Capture Cell,0.5,,,+12.0
267,Sunlight Excitor,0.0,,+2%,
268,Infrared Energiser,0.5,+1%,,
269,Ion Amplifier,1.0,+1%,,+12.0
270,Plasma Accelerator,0.0,,+2%,
271,Infrared Resonator,0.0,,+2%,
272,Plasma Energiser,0.5,,,+12.0
273,Plasma Excitor,1.0,+1%,,+12.0
274,Plasma Projector,0.062,,+3%,
275,Ion Projector,0.5,+1%,,
276,Ion Injector,0.625,+1%,+4%,
277,Sunlight Energiser,0.5,,,+12.0
278,Ion Excitor,0.5,+1%,+2%,
279,Beam Accelerator,0.5,+1%,,
280,Sunlight Solidifier,0.0,,+2%,
281,Ion Resonator,0.5,+1%,,
282,Infrared Resonator,0.5,,,+12.0
283,Infrared Injector,0.5,+1%,,
284,Infrared Resonator,0.5,+1%,,
285,Plasma Accelerator,0.5,+1%,,
286,Infrared Capture Cell,0.5,,,+12.0
287,Infrared Projector,0.125,,+4%,
288,Infrared Battery,0.5,+1%,,
289,Plasma Battery,0.5,+1%,,
290,Sunlight Amplifier,0.0,,+2%,
291,Ion Amplifier,0.5,+1%,,
292,Sunlight Battery,0.5,,,+12.0
293,Ion Capture Cell,0.0,,+2%,
294,Sunlight Amplifier,1.0,+1%,,+12.0
295,Sunlight Amplifier,1.0,+1%,,+12.0
296,Infrared Energiser,1.0,+1%,,+12.0
297,Ion Solidifier,1.0,+1%,,+12.0
298,Sunlight Battery,0.5,,,+12.0
299,Ion Accelerator,0.0,,+2%,
300,Beam Accelerator,0.5,+1%,,
301,Plasma Capture Cell,0.688,+1%,+5%,
302,Beam Injector,0.0,,+2%,
303,Beam Excitor,0.0,,+2%,
304,Plasma Accelerator,0.5,,+10%,
305,Ion Energiser,0.5,,,+12.0
306,Ion Injector,0.5,+1%,,
307,Ion Energiser,1.0,,+10%,+12.0
308,Plasma Battery,0.0,,+2%,
309,Beam Battery,0.0,,+2%,
310,Sunlight Solidifier,0.5,,,+12.0
311,Sunlight Resonator,0.5,+1%,,
312,Beam Resonator,0.5,+1%,,
313,Infrared Capture Cell,0.5,+1%,,
314,Beam Solidifier,0.5,+1%,,
315,Ion Resonator,0.5,+1%,,
316,Beam Injector,1.0,+1%,,+12.0
317,Infrared Injector,1.0,+1%,,+12.0
318,Sunlight Solidifier,0.5,+1%,,
319,Infrared Projector,0.0,,+2%,
320,Sunlight Amplifier,0.5,,,+12.0
321,Infrared Solidifier,1.0,+1%,,+12.0
322,Sunlight Battery,0.5,,,+12.0
323,Ion Resonator,0.5,+1%,,
324,Sunlight Amplifier,0.5,+1%,,
325,Beam Amplifier,1.0,+1%,,+12.0
326,Beam Energiser,0.0,,+2%,
327,Ion Excitor,0.5,+1%,,
328,Plasma Capture Cell,0.0,,+2%,
329,Plasma Energiser,0.5,,,+12.0
330,Beam Energiser,0.5,,,+12.0
331,Ion Accelerator,0.5,,,+12.0
332,Plasma Amplifier,0.0,,+2%,
333,Plasma Accelerator,0.312,,+7%,
334,Infrared Solidifier,0.0,,+2%,
335,Beam Projector,0.5,+1%,+2%,
336,Ion Solidifier,0.5,+1%,,
337,Beam Battery,0.062,,+3%,
338,Sunlight Battery,0.0,,+2%,
339,Infrared Amplifier,0.5,,,+12.0
340,Ion Capture Cell,0.5,,,+12.0
341,Sunlight Battery,0.5,,,+12.0
342,Ion Resonator,0.562,+1%,+3%,
343,Plasma Capture Cell,0.0,,+2%,
344,Plasma Excitor,0.5,,,+12.0
345,Ion Resonator,0.5,+1%,,
346,Ion Energiser,0.0,,+2%,
347,Plasma Capture Cell,0.5,+1%,,
348,Plasma Battery,0.0,,+2%,
349,Infrared Projector,0.5,,,+12.0
350,Beam Excitor,0.5,,,+12.0
351,Beam Amplifier,0.0,,+2%,
352,Plasma Energiser,0.0,,+2%,
353,Plasma Capture Cell,0.0,,+2%,
354,Plasma Resonator,0.5,,,+12.0
355,Ion Excitor,0.5,,+2%,+12.0
356,Ion Accelerator,0.5,,,+12.0
357,Sunlight Resonator,0.5,+1%,,
358,Infrared Amplifier,0.0,,+2%,
359,Infrared Accelerator,0.0,,+2%,
360,Plasma Injector,0.5,,,+12.0
361,Infrared Amplifier,0.5,+1%,,
362,Ion Resonator,0.5,,,+12.0
363,Infrared Excitor,0.688,,+5%,+12.0
364,Plasma Capture Cell,0.5,,,+12.0
365,Ion Injector,0.5,+1%,,
366,Infrared Projector,0.562,,+3%,+12.0
367,Sunlight Accelerator,0.0,,+2%,
368,Plasma Capture Cell,0.375,,+8%,
369,Sunlight Amplifier,0.0,,+2%,
370,Beam Solidifier,0.5,,,+12.0
371,Sunlight Excitor,0.5,+1%,,
372,Beam Solidifier,0.5,+1%,,
373,Ion Injector,1.0,+1%,,+12.0
374,Sunlight Solidifier,0.0,,+2%,
375,Beam Projector,0.5,,,+12.0
376,Ion Excitor,0.0,,+2%,
377,Sunlight Excitor,1.0,+1%,,+12.0
378,Infrared Solidifier,0.5,,,+12.0
379,Infrared Amplifier,0.5,,,+12.0
380,Ion Projector,0.5,,,+12.0
381,Sunlight Solidifier,0.5,,,+12.0
382,Sunlight Energiser,0.5,,,+12.0
383,Infrared Solidifier,0.0,,+2%,
384,Infrared Projector,0.0,,+2%,
385,Infrared Injector,0.125,,+4%,
386,Ion Projector,0.75,,+6%,+12.0
387,Plasma Battery,0.5,,,+12.0
388,Plasma Amplifier,0.5,,,+12.0
389,Beam Capture Cell,0.5,,,+12.0
390,Infrared Capture Cell,0.0,,+2%,
391,Plasma Solidifier,0.5,,,+12.0
392,Sunlight Solidifier,0.5,,,+12.0
393,Plasma Amplifier,0.125,,+4%,
394,Infrared Solidifier,0.5,+1%,+2%,
395,Plasma Accelerator,0.125,,+4%,
396,Infrared Resonator,0.0,,+2%,
397,Plasma Excitor,0.562,,+3%,+12.0
398,Infrared Battery,0.0,,+2%,
399,Ion Resonator,0.812,,+7%,+12.0
400,Ion Accelerator,0.5,+1%,+2%,
401,Ion Accelerator,0.062,,+3%,
402,Plasma Solidifier,0.5,,,+12.0
403,Infrared Injector,0.5,,,+12.0
404,Infrared Injector,0.0,,+2%,
405,Ion Injector,0.5,+1%,,
406,Ion Projector,0.0,,+2%,
407,Ion Solidifier,0.5,+1%,,
408,Sunlight Energiser,0.375,,+8%,
409,Plasma Capture Cell,0.5,+1%,+2%,
410,Beam Accelerator,0.562,,+3%,+12.0
411,Ion Amplifier,0.5,,,+12.0
412,Sunlight Resonator,0.5,,,+12.0
413,Plasma Capture Cell,0.0,,+2%,
414,Beam Resonator,0.5,+1%,,
415,Infrared Injector,0.062,,+3%,
416,Plasma Resonator,1.0,+1%,,+12.0
417,Plasma Energiser,0.5,,,+12.0
418,Sunlight Injector,0.5,+1%,,
419,Plasma Battery,0.0,,+2%,
420,Ion Projector,0.625,+1%,+4%,
421,Infrared Amplifier,0.5,,,+12.0
422,Infrared Capture Cell,0.812,,+7%,+12.0
423,Sunlight Energiser,0.5,+1%,+2%,
424,Infrared Excitor,0.5,,,+12.0
425,Ion Projector,0.0,,+2%,
426,Ion Capture Cell,0.5,,,+12.0
427,Beam Amplifier,0.688,+1%,+5%,
428,Infrared Solidifier,1.0,+1%,,+12.0
429,Plasma Injector,0.5,+1%,,
430,Infrared Solidifier,0.5,+1%,,
431,Sunlight Injector,0.062,,+3%,
432,Ion Battery,0.5,,,+12.0
433,Ion Resonator,0.5,,,+12.0
434,Sunlight Excitor,0.5,,,+12.0
435,Plasma Projector,0.5,+1%,,
436,Plasma Capture Cell,0.5,+1%,,
437,Plasma Resonator,0.5,+1%,,
438,Infrared Projector,0.5,+1%,,
439,Beam Battery,0.0,,+2%,
440,Sunlight Projector,0.5,,,+12.0
441,Ion Solidifier,0.0,,+2%,
442,Ion Amplifier,0.5,,+2%,+12.0
443,Sunlight Capture Cell,0.5,+1%,,
444,Beam Amplifier,0.125,,+4%,
445,Beam Solidifier,0.0,,+2%,
446,Ion Solidifier,0.0,,+2%,
447,Ion Accelerator,0.0,,+2%,
448,Infrared Solidifier,0.5,,,+12.0
449,Sunlight Projector,0.0,,+2%,
450,Ion Injector,0.0,,+2%,
451,Beam Capture Cell,0.5,,,+12.0
452,Sunlight Resonator,1.0,+1%,,+12.0
453,Beam Resonator,0.5,,,+12.0
454,Sunlight Injector,0.25,,+6%,
455,Infrared Accelerator,0.5,+1%,,
456,Ion Excitor,0.5,+1%,,
457,Ion Projector,0.5,,,+12.0
458,Plasma Projector,0.5,+1%,+2%,
459,Beam Solidifier,0.5,,,+12.0
460,Sunlight Battery,0.5,,,+12.0
461,Infrared Battery,0.5,+1%,,
462,Sunlight Amplifier,0.062,,+3%,
463,Beam Resonator,0.5,+1%,,
464,Infrared Amplifier,0.5,+1%,,
465,Beam Capture Cell,0.5,+1%,,
466,Sunlight Battery,0.625,+1%,+4%,
467,Beam Excitor,0.375,,+8%,
468,Infrared Amplifier,0.5,+1%,,
469,Plasma Excitor,0.5,+1%,,
470,Beam Battery,1.0,+1%,,+12.0
471,Plasma Projector,0.562,,+3%,+12.0
472,Infrared Energiser,0.5,+1%,,
473,Infrared Energiser,0.0,,+2%,
474,Plasma Accelerator,0.0,,+2%,
475,Plasma Solidifier,0.188,,+5%,
476,Infrared Projector,0.0,,+2%,
477,Beam Resonator,1.0,+1%,,+12.0
478,Beam Battery,0.0,,+2%,
479,Ion Solidifier,0.5,,,+12.0
480,Sunlight Resonator,0.5,+1%,,
481,Plasma Excitor,0.5,+1%,,
482,Plasma Capture Cell,0.25,,+6%,
483,Ion Amplifier,0.0,,+2%,
484,Infrared Amplifier,0.5,,,+12.0
485,Plasma Projector,0.5,+1%,,
486,Plasma Excitor,0.25,,+6%,
487,Sunlight Excitor,0.5,+1%,,
488,Infrared Resonator,0.188,,+5%,
489,Beam Energiser,0.5,+1%,+2%,
490,Plasma Battery,0.5,+1%,,
491,Beam Accelerator,0.5,,,+12.0
492,Sunlight Accelerator,0.688,+1%,+5%,
493,Infrared Projector,0.188,,+5%,
494,Plasma Solidifier,0.0,,+2%,
495,Plasma Resonator,0.5,+1%,,
496,Infrared Accelerator,0.5,,,+12.0
497,Beam Energiser,0.375,,+8%,
498,Beam Solidifier,0.5,,,+12.0
499,Beam Battery,0.0,,+2%,
500,Infrared Injector,0.5,+1%,,
501,Infrared Amplifier,0.312,,+7%,
502,Infrared Injector,0.5,+1%,,
503,Plasma Accelerator,0.5,,,+12.0
504,Plasma Excitor,0.5,,,+12.0
505,Ion Capture Cell,0.5,+1%,,
506,Beam Projector,0.5,+1%,,
507,Ion Solidifier,0.5,,+2%,+12.0
508,Sunlight Capture Cell,0.0,,+2%,
509,Infrared Excitor,0.062,,+3%,
510,Beam Excitor,0.625,+1%,+4%,
511,Beam Projector,0.5,+1%,,
512,Plasma Amplifier,0.5,,,+12.0
513,Infrared Injector,0.5,+1%,,
514,Sunlight Projector,0.5,,,+12.0
515,Beam Energiser,0.5,+1%,,
516,Infrared Accelerator,0.5,+1%,,
517,Ion Projector,0.5,+1%,,
518,Sunlight Battery,0.5,,,+12.0
519,Plasma Solidifier,0.5,+1%,,
520,Plasma Amplifier,0.5,,,+12.0
521,Ion Battery,0.5,,,+12.0
522,Plasma Excitor,0.5,+1%,,
523,Ion Battery,0.5,+1%,+2%,
524,Ion Amplifier,0.5,,,+12.0
525,Sunlight Resonator,0.5,,,+12.0
526,Beam Injector,0.5,+1%,,
527,Beam Accelerator,0.5,+1%,,
528,Sunlight Projector,0.5,,,+12.0
529,Plasma Amplifier,0.5,,,+12.0
530,Infrared Battery,0.5,+1%,,
531,Ion Solidifier,0.938,,+9%,+12.0
532,Ion Capture Cell,0.0,,+2%,
533,Beam Battery,0.0,,+2%,
534,Beam Resonator,0.5,,,+12.0
535,Infrared Accelerator,0.5,+1%,,
536,Beam Injector,0.5,+1%,,
537,Sunlight Resonator,0.0,,+2%,
538,Plasma Energiser,0.5,+1%,+2%,
539,Ion Injector,0.5,,,+12.0
540,Sunlight Capture Cell,0.5,,,+12.0
541,Ion Excitor,0.062,,+3%,
542,Sunlight Solidifier,0.188,,+5%,
543,Ion Battery,0.5,+1%,+2%,
544,Sunlight Resonator,0.5,,,+12.0
545,Infrared Injector,0.5,,,+12.0
546,Infrared Amplifier,0.0,,+2%,
547,Ion Battery,0.5,,,+12.0
548,Sunlight Battery,0.5,,,+12.0
549,Infrared Accelerator,0.5,,,+12.0
550,Sunlight Solidifier,0.0,,+2%,
551,Ion Resonator,0.188,,+5%,
552,Plasma Injector,0.5,,,+12.0
553,Infrared Injector,0.875,+1%,+8%,
554,Plasma Projector,0.0,,+2%,
555,Ion Amplifier,0.062,,+3%,
556,Beam Amplifier,0.5,+1%,,
557,Beam Resonator,0.5,,,+12.0
558,Plasma Excitor,0.5,+1%,,
559,Ion Excitor,0.938,+1%,+9%,
560,Infrared Amplifier,1.0,+1%,,+12.0
561,Infrared Resonator,0.5,+1%,+2%,
562,Infrared Accelerator,0.5,,,+12.0
563,Ion Excitor,1.0,+1%,,+12.0
564,Sunlight Projector,0.5,+1%,,
565,Beam Solidifier,0.0,,+2%,
566,Beam Energiser,0.5,,,+12.0
567,Sunlight Amplifier,1.0,+1%,,+12.0
568,Infrared Energiser,0.0,,+2%,
569,Plasma Energiser,0.625,,+4%,+12.0
570,Plasma Injector,0.5,,,+12.0
571,Infrared Injector,0.5,,,+12.0
572,Ion Injector,0.5,+1%,,
573,Beam Solidifier,0.5,,,+12.0
574,Infrared Amplifier,0.5,,,+12.0
575,Plasma Solidifier,0.0,,+2%,
576,Plasma Injector,0.5,,+2%,+12.0
577,Infrared Injector,0.5,,,+12.0
578,Plasma Accelerator,0.5,,,+12.0
579,Sunlight Accelerator,0.5,+1%,,
580,Beam Amplifier,0.0,,+2%,
581,Infrared Solidifier,0.5,+1%,,
582,Plasma Projector,0.125,,+4%,
583,Beam Projector,0.5,+1%,,
584,Beam Accelerator,0.5,,,+12.0
585,Beam Accelerator,0.5,,,+12.0
586,Sunlight Projector,0.5,,,+12.0
587,Beam Projector,0.5,+1%,,
588,Beam Energiser,0.5,+1%,,
589,Beam Excitor,0.5,,,+12.0
590,Infrared Energiser,0.5,+1%,,
591,Sunlight Injector,0.5,+1%,,
592,Sunlight Battery,0.5,+1%,,
593,Infrared Resonator,0.0,,+2%,
594,Sunlight Excitor,0.5,+1%,,
595,Beam Battery,0.312,,+7%,
596,Infrared Injector,0.5,+1%,,
597,Sunlight Injector,0.5,+1%,,
598,Infrared Resonator,0.25,,+6%,
599,Infrared Resonator,0.062,,+3%,
600,Beam Injector,0.0,,+2%,
601,Beam Resonator,0.5,,,+12.0
602,Plasma Capture Cell,1.0,+1%,,+12.0
603,Infrared Amplifier,0.062,,+3%,
604,Plasma Excitor,0.5,+1%,,
605,Sunlight Capture Cell,0.5,+1%,,
606,Infrared Capture Cell,0.5,,,+12.0
607,Infrared Resonator,1.0,+1%,,+12.0
608,Plasma Projector,0.5,,,+12.0
609,Beam Energiser,0.5,+1%,,
610,Sunlight Projector,0.062,,+3%,
611,Beam Accelerator,0.5,,,+12.0
612,Infrared Resonator,0.5,+1%,,
613,Beam Resonator,0.5,,,+12.0
614,Plasma Injector,0.5,,,+12.0
615,Beam Injector,0.5,+1%,,
616,Sunlight Injector,1.0,+1%,,+12.0
617,Infrared Accelerator,0.5,+1%,,
618,Beam Energiser,0.5,+1%,,
619,Ion Resonator,1.0,+1%,,+12.0
620,Sunlight Solidifier,0.875,,+8%,+12.0
621,Plasma Battery,0.812,+1%,+7%,
622,Sunlight Solidifier,0.5,+1%,,
623,Plasma Accelerator,0.5,,,+12.0
624,Sunlight Excitor,0.5,,,+12.0
625,Plasma Solidifier,1.0,+1%,,+12.0
626,Beam Battery,0.625,,+4%,+12.0
627,Plasma Solidifier,0.0,,+2%,
628,Ion Solidifier,0.0,,+2%,
629,Infrared Injector,0.5,+1%,,
630,Infrared Projector,0.5,,,+12.0
631,Infrared Resonator,0.5,+1%,,
632,Beam Solidifier,0.5,,,+12.0
633,Ion Resonator,0.5,,,+12.0
634,Beam Resonator,0.0,,+2%,
