sep=,
Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Bounce,Weapon_Grenade_Radius,Weapon_Grenade_Speed
184,Polarised Core,0.091,,+42%,,
185,Polarised Timing Loom,0.293,,+62%,,
186,Linear Launch System,0.0,,,,+100%
187,Polarised Injector Plugs,0.06,,,+7%,+117%
188,Kinetic Core,0.015,,+38%,,+100%
189,Unstable Release Mechanism,0.435,,,+6%,+233%
190,Kinetic Release Mechanism,0.281,+50%,,+6%,
191,Kinetic Compressor,0.0,,,+6%,
192,Kinetic Coils,0.303,+57%,+33%,+6%,
193,Linear Core,0.25,,+46%,+7%,
194,Polarised Coils,0.04,,,,+124%
195,Unstable Injector Plugs,0.255,,,,+252%
196,Pugneum Injector Plugs,0.04,,+37%,,
197,Kinetic Timing Loom,0.0,,,+6%,
198,Kinetic Gas Expander,0.0,,,+6%,
199,Polarised Release Mechanism,0.035,,+35%,+6%,
200,Kinetic Compressor,0.01,,+34%,,
201,Kinetic Timing Loom,0.053,+43%,,,
202,Pugneum Timing Loom,0.003,,,,+102%
203,Kinetic Release Mechanism,0.316,+58%,,,
204,Kinetic Core,0.0,,,,+100%
205,Unstable Shell Loader,0.25,,,,+249%
206,Pugneum Release Mechanism,0.281,+56%,,,
207,Linear Gas Expander,0.0,,,+6%,
208,Kinetic Timing Loom,0.498,+56%,+33%,,+209%
209,Pugneum Shell Loader,0.045,,,+9%,+110%
210,Pugneum Compressor,0.122,,,,+173%
211,Pugneum Core,0.101,,+43%,,
212,Unstable Gas Expander,0.253,,+58%,,
213,Polarised Release Mechanism,0.01,,+34%,,
214,Kinetic Compressor,0.051,,+38%,,
215,Polarised Shell Loader,0.07,+44%,,,
216,Linear Coils,0.0,,,+6%,
217,Kinetic Injector Plugs,0.0,,+33%,,
218,Unstable Core,0.03,,+36%,,
219,Kinetic Release Mechanism,0.507,,,+6%,+255%
220,Pugneum Launch System,0.117,,,,+170%
221,Polarised Launch System,0.25,,,+9%,
222,Pugneum Injector Plugs,0.162,,+41%,+7%,
223,Linear Injector Plugs,0.131,,+46%,,
224,Polarised Heat Pump,0.141,,,,+184%
225,Unstable Release Mechanism,0.293,,+62%,,
226,Kinetic Heat Pump,0.005,,+33%,+7%,+100%
227,Unstable Launch System,0.477,+57%,,+6%,
228,Unstable Coils,0.387,+44%,,,+223%
229,Kinetic Timing Loom,0.008,,,,+105%
230,Pugneum Launch System,0.293,,+62%,,
231,Pugneum Compressor,0.015,,,,+109%
232,Unstable Gas Expander,0.0,+40%,,,
233,Polarised Launch System,0.0,+40%,,,
234,Linear Heat Pump,0.096,,+59%,,+107%
235,Unstable Gas Expander,0.0,,,+6%,
236,Linear Injector Plugs,0.0,,+33%,,
237,Pugneum Release Mechanism,0.053,+43%,,,
238,Pugneum Core,0.564,,+65%,+6%,
239,Linear Coils,0.067,,,,+140%
240,Pugneum Coils,0.012,,,,+107%
241,Kinetic Gas Expander,0.051,,+38%,,
242,Pugneum Timing Loom,0.0,,+33%,,
243,Linear Timing Loom,0.02,,,,+112%
244,Polarised Coils,0.293,,+62%,,
245,Linear Timing Loom,0.0,+40%,,,
246,Polarised Injector Plugs,0.109,,,,+165%
247,Kinetic Coils,0.44,,+58%,+6%,
248,Unstable Gas Expander,0.017,,+34%,+6%,+103%
249,Pugneum Heat Pump,0.088,+45%,,,
250,Unstable Heat Pump,0.102,+41%,+40%,,
251,Kinetic Gas Expander,0.323,,+65%,,
252,Linear Launch System,0.105,+46%,,,
253,Polarised Release Mechanism,0.28,+40%,+55%,,
254,Pugneum Injector Plugs,0.0,,,+6%,
255,Linear Coils,0.077,+43%,+36%,,
256,Unstable Release Mechanism,0.056,+42%,,+6%,
257,Unstable Coils,0.273,,+60%,,
258,Kinetic Heat Pump,0.281,+56%,,,
259,Pugneum Heat Pump,0.003,,+34%,,+100%
260,Pugneum Heat Pump,0.0,,,+6%,
261,Unstable Compressor,0.0,,,+6%,
262,Unstable Gas Expander,0.0,,,+6%,
263,Pugneum Launch System,0.003,+41%,,,+100%
264,Unstable Gas Expander,0.0,,,+6%,
265,Linear Shell Loader,0.196,+47%,,+6%,
266,Unstable Heat Pump,0.05,,+47%,,+103%
267,Polarised Compressor,0.212,,+54%,,
268,Unstable Shell Loader,0.0,+40%,,,
269,Linear Launch System,0.003,,,+6%,+101%
270,Pugneum Injector Plugs,0.263,,+59%,,
271,Unstable Core,0.172,,+50%,,
272,Pugneum Shell Loader,0.035,+42%,,,
273,Pugneum Compressor,0.0,+40%,,+6%,
274,Pugneum Timing Loom,0.0,,,+6%,
275,Linear Timing Loom,0.0,,,+6%,
276,Linear Release Mechanism,0.159,,+42%,+6%,
277,Polarised Shell Loader,0.03,,,,+118%
278,Linear Compressor,0.087,+40%,+38%,+6%,
279,Kinetic Injector Plugs,0.0,+40%,,,
280,Polarised Gas Expander,0.075,,+44%,,+115%
281,Linear Core,0.318,+40%,+58%,,
282,Unstable Core,0.044,,+48%,,+100%
283,Unstable Release Mechanism,0.018,+41%,,,
284,Unstable Core,0.03,,+36%,,
285,Pugneum Injector Plugs,0.266,,,,+259%
286,Unstable Heat Pump,0.0,,,+6%,
287,Unstable Timing Loom,0.333,,,+10%,
288,Unstable Coils,0.131,,,,+178%
289,Pugneum Coils,0.246,+54%,,,
290,Polarised Launch System,0.131,,+46%,,
291,Linear Launch System,0.0,+40%,,,
292,Polarised Coils,0.466,,+62%,,+233%
293,Linear Heat Pump,0.07,,+37%,+6%,
294,Polarised Launch System,0.18,+47%,+37%,,+134%
295,Polarised Launch System,0.045,+54%,,,+100%
296,Unstable Shell Loader,0.618,,,+6%,+289%
297,Linear Gas Expander,0.02,,,+10%,+101%
298,Polarised Coils,0.333,+59%,,,
299,Linear Injector Plugs,0.0,,,,+100%
300,Kinetic Injector Plugs,0.029,+49%,,,+100%
301,Pugneum Heat Pump,0.449,+56%,,+6%,
302,Kinetic Release Mechanism,0.493,,+61%,+6%,
303,Kinetic Compressor,0.0,,,,+100%
304,Pugneum Injector Plugs,0.25,,,+9%,
305,Linear Shell Loader,0.0,,,+6%,
306,Linear Release Mechanism,0.0,+40%,,,
307,Linear Shell Loader,0.103,,+57%,+6%,+100%
308,Pugneum Coils,0.0,,,+6%,
309,Kinetic Coils,0.25,,,+9%,
310,Polarised Gas Expander,0.273,,+60%,,
311,Polarised Core,0.182,,+51%,,
312,Kinetic Core,0.053,+43%,,,
313,Unstable Heat Pump,0.172,,+50%,,
314,Kinetic Gas Expander,0.018,+41%,,,
315,Linear Core,0.054,,,,+132%
316,Kinetic Release Mechanism,0.025,+46%,,,+102%
317,Unstable Release Mechanism,0.003,,,+6%,+101%
318,Polarised Gas Expander,0.333,+59%,,,
319,Unstable Timing Loom,0.405,,+56%,+6%,
320,Polarised Launch System,0.091,,+42%,,
321,Unstable Gas Expander,0.852,+55%,,+6%,+275%
322,Polarised Coils,0.0,,,,+100%
323,Linear Core,0.206,+50%,+39%,,
324,Polarised Launch System,0.175,+50%,,,
325,Kinetic Launch System,0.027,+41%,,+6%,+105%
326,Kinetic Shell Loader,0.0,,,+6%,
327,Linear Compressor,0.084,+43%,,+6%,
328,Pugneum Heat Pump,0.0,,,+6%,
329,Pugneum Shell Loader,0.0,,,+6%,
330,Kinetic Shell Loader,0.0,,,+6%,
331,Linear Injector Plugs,0.002,,,,+101%
332,Pugneum Launch System,0.0,,,+6%,
333,Pugneum Injector Plugs,0.0,,,+6%,
334,Unstable Gas Expander,0.0,,,+6%,
335,Kinetic Timing Loom,0.223,+52%,+63%,,+113%
336,Linear Gas Expander,0.035,+42%,,,
337,Kinetic Coils,0.074,,,,+144%
338,Polarised Coils,0.0,,,+6%,
339,Unstable Launch System,0.278,,,,+266%
340,Linear Heat Pump,0.023,,+35%,,+106%
341,Polarised Coils,0.0,,+33%,,
342,Linear Core,0.0,,+33%,+6%,
343,Pugneum Heat Pump,0.222,,+55%,,
344,Pugneum Compressor,0.45,,,+9%,+234%
345,Linear Core,0.04,,+37%,,
346,Linear Shell Loader,0.352,,+53%,+6%,
347,Pugneum Heat Pump,0.083,,,+7%,
348,Pugneum Coils,0.036,,,+6%,+111%
349,Unstable Timing Loom,0.551,,+46%,,+279%
350,Kinetic Compressor,0.034,+42%,,,+109%
351,Kinetic Launch System,0.0,,,,+100%
352,Pugneum Shell Loader,0.0,,+33%,,
353,Pugneum Heat Pump,0.0,,,,+100%
354,Pugneum Core,0.152,,+48%,,
355,Linear Compressor,0.309,+45%,,+6%,+164%
356,Linear Injector Plugs,0.088,+45%,,,
357,Polarised Core,0.081,,+41%,,
358,Unstable Launch System,0.131,,,,+178%
359,Unstable Injector Plugs,0.0,,,+6%,
360,Pugneum Release Mechanism,0.045,,,,+127%
361,Unstable Launch System,0.204,+41%,+48%,,
362,Linear Core,0.0,+40%,,,
363,Unstable Compressor,0.136,,+58%,,+122%
364,Pugneum Heat Pump,0.34,,+64%,,+187%
365,Linear Release Mechanism,0.211,+52%,,,
366,Unstable Timing Loom,0.314,+40%,,+7%,+169%
367,Polarised Injector Plugs,0.303,,+63%,,
368,Pugneum Heat Pump,0.0,,,+6%,
369,Polarised Launch System,0.081,,+41%,,
370,Kinetic Gas Expander,0.6,,+56%,,+286%
371,Polarised Compressor,0.0,+40%,,,
372,Kinetic Gas Expander,0.0,+40%,,,
373,Linear Release Mechanism,0.043,+43%,,,+111%
374,Polarised Gas Expander,0.051,,+38%,,
375,Kinetic Timing Loom,0.01,,,,+106%
376,Linear Compressor,0.0,,,+6%,
377,Polarised Compressor,0.028,+41%,,+6%,
378,Unstable Gas Expander,0.01,,+34%,,
379,Unstable Launch System,0.168,,,,+200%
380,Linear Timing Loom,0.015,,,,+109%
381,Polarised Gas Expander,0.005,,,,+103%
382,Polarised Shell Loader,0.101,,+43%,,
383,Unstable Gas Expander,0.0,,,+6%,
384,Unstable Timing Loom,0.131,,+46%,,
385,Unstable Release Mechanism,0.0,,,,+100%
386,Linear Timing Loom,0.116,,+59%,+6%,+101%
387,Pugneum Coils,0.166,,,,+199%
388,Pugneum Launch System,0.139,,,,+183%
389,Kinetic Heat Pump,0.158,+49%,,,
390,Unstable Heat Pump,0.01,,+34%,,
391,Pugneum Gas Expander,0.25,,,+9%,
392,Polarised Gas Expander,0.015,,,,+109%
393,Pugneum Launch System,0.013,,,,+108%
394,Unstable Gas Expander,0.702,+48%,+65%,+6%,
395,Pugneum Injector Plugs,0.0,,,+6%,
396,Unstable Core,0.04,,+37%,,
397,Pugneum Compressor,0.585,,+38%,+6%,+234%
398,Unstable Coils,0.0,,,+6%,
399,Linear Core,0.645,,+46%,+6%,+240%
400,Linear Injector Plugs,0.017,+40%,+34%,+6%,
401,Linear Injector Plugs,0.176,,+43%,+6%,
402,Pugneum Gas Expander,0.0,,+33%,,
403,Unstable Release Mechanism,0.316,+58%,,,
404,Unstable Release Mechanism,0.253,,+58%,,
405,Linear Release Mechanism,0.152,,+48%,,
406,Linear Timing Loom,0.0,+40%,,,
407,Linear Gas Expander,0.333,+59%,,,
408,Polarised Shell Loader,0.077,,,,+146%
409,Pugneum Heat Pump,0.026,+42%,+33%,,
410,Kinetic Injector Plugs,0.614,,+49%,,+298%
411,Linear Launch System,0.0,,,+6%,
412,Polarised Core,0.0,,,,+100%
413,Pugneum Heat Pump,0.012,,,,+107%
414,Kinetic Core,0.117,+49%,+33%,,
415,Unstable Release Mechanism,0.0,,,+6%,
416,Pugneum Core,0.542,+40%,,,+278%
417,Pugneum Shell Loader,0.089,+44%,,,+125%
418,Polarised Release Mechanism,0.053,+43%,,,
419,Pugneum Coils,0.083,,,+7%,
420,Linear Timing Loom,0.233,+53%,+41%,,+137%
421,Unstable Launch System,0.167,,,+8%,
422,Unstable Heat Pump,0.133,,+59%,+6%,+105%
423,Polarised Shell Loader,0.425,+56%,+41%,+6%,
424,Unstable Compressor,0.02,,+35%,,
425,Linear Timing Loom,0.335,,+52%,+6%,
426,Linear Heat Pump,0.298,+57%,,,
427,Kinetic Launch System,0.195,+55%,+33%,,
428,Unstable Gas Expander,0.047,+50%,,,+105%
429,Pugneum Release Mechanism,0.0,,,+6%,
430,Unstable Gas Expander,0.105,+46%,,,
431,Polarised Release Mechanism,0.246,+54%,,,
432,Linear Coils,0.121,,+45%,,
433,Linear Core,0.0,+40%,,,
434,Polarised Compressor,0.159,,+52%,,+136%
435,Pugneum Timing Loom,0.07,+44%,,,
436,Pugneum Heat Pump,0.0,,,+6%,
437,Pugneum Core,0.07,+44%,,,
438,Unstable Timing Loom,0.039,+43%,+33%,,
439,Kinetic Coils,0.0,,,+6%,
440,Polarised Timing Loom,0.0,,+33%,,
441,Linear Gas Expander,0.032,+50%,,,+100%
442,Linear Launch System,0.451,,,+6%,+238%
443,Polarised Heat Pump,0.02,,,,+112%
444,Kinetic Launch System,0.0,,,+6%,
445,Kinetic Gas Expander,0.147,,,,+188%
446,Linear Gas Expander,0.0,,,,+100%
447,Linear Injector Plugs,0.0,,,+6%,
448,Unstable Gas Expander,0.0,,,+6%,
449,Polarised Timing Loom,0.0,,,+6%,
450,Linear Release Mechanism,0.0,,,+6%,
451,Kinetic Heat Pump,0.126,,,,+175%
452,Polarised Core,0.169,+41%,+55%,,+119%
453,Kinetic Core,0.015,,,,+109%
454,Polarised Release Mechanism,0.25,,,+9%,
455,Unstable Injector Plugs,0.07,+44%,,,
456,Linear Compressor,0.154,+44%,+41%,,
457,Linear Timing Loom,0.0,,,+6%,
458,Pugneum Timing Loom,0.835,+58%,+60%,+8%,
459,Kinetic Gas Expander,0.018,+41%,,,
460,Polarised Coils,0.018,+41%,,,
461,Unstable Coils,0.07,+44%,,,
462,Polarised Launch System,0.0,,,+6%,
463,Kinetic Core,0.077,,,,+146%
464,Unstable Launch System,0.023,,,,+114%
465,Kinetic Heat Pump,0.071,,+40%,,
466,Polarised Coils,0.232,+52%,+39%,,
467,Kinetic Compressor,0.037,,,,+122%
468,Unstable Launch System,0.04,,+37%,,
469,Pugneum Compressor,0.263,,+59%,,
470,Kinetic Coils,0.406,+59%,,+6%,+171%
471,Pugneum Timing Loom,0.016,,,+10%,+100%
472,Unstable Shell Loader,0.0,+40%,,,
473,Unstable Shell Loader,0.03,,+36%,,
474,Pugneum Injector Plugs,0.0,,,+6%,
475,Pugneum Gas Expander,0.106,,+39%,+6%,
476,Unstable Timing Loom,0.01,,+34%,,
477,Kinetic Core,0.394,+40%,,+7%,+187%
478,Kinetic Coils,0.242,,+57%,,
479,Linear Gas Expander,0.035,+42%,,,
480,Polarised Core,0.0,,,,+100%
481,Pugneum Compressor,0.131,,+46%,,
482,Pugneum Heat Pump,0.035,,,,+121%
483,Linear Launch System,0.0,,,+6%,
484,Unstable Launch System,0.0,,,,+100%
485,Pugneum Timing Loom,0.028,+41%,,+6%,
486,Pugneum Compressor,0.0,,,+6%,
487,Polarised Compressor,0.002,,,,+101%
488,Unstable Core,0.175,+50%,,,
489,Kinetic Shell Loader,0.148,,+39%,+8%,
490,Pugneum Coils,0.316,+58%,,,
491,Kinetic Injector Plugs,0.128,+41%,,+9%,
492,Polarised Injector Plugs,0.088,+40%,,,+129%
493,Unstable Timing Loom,0.44,,+58%,+6%,
494,Pugneum Gas Expander,0.0,,,+6%,
495,Pugneum Core,0.0,+40%,,,
496,Unstable Injector Plugs,0.091,,+42%,,
497,Kinetic Shell Loader,0.083,,,+7%,
498,Kinetic Gas Expander,0.009,,+36%,,+100%
499,Kinetic Coils,0.024,,,+8%,+105%
500,Unstable Release Mechanism,0.035,+42%,,,
501,Unstable Launch System,0.14,+48%,,,
502,Unstable Release Mechanism,0.0,+40%,,,
503,Pugneum Injector Plugs,0.192,,+52%,,
504,Pugneum Compressor,0.01,,+34%,,
505,Linear Heat Pump,0.0,,+33%,,
506,Kinetic Timing Loom,0.0,+40%,,,
507,Linear Gas Expander,0.062,,+54%,,+100%
508,Polarised Heat Pump,0.0,,,,+100%
509,Unstable Compressor,0.25,,,+9%,
510,Kinetic Compressor,0.162,+44%,+37%,+7%,
511,Kinetic Timing Loom,0.0,,,+6%,
512,Pugneum Launch System,0.0,,+33%,,
513,Unstable Release Mechanism,0.18,+47%,+40%,,
514,Polarised Timing Loom,0.0,,,,+100%
515,Kinetic Shell Loader,0.222,,+55%,,
516,Unstable Injector Plugs,0.035,+51%,,,+100%
517,Linear Timing Loom,0.005,,,,+103%
518,Polarised Coils,0.279,+51%,,,+180%
519,Pugneum Gas Expander,0.293,,+62%,,
520,Pugneum Launch System,0.117,,,,+170%
521,Linear Coils,0.053,+43%,,,
522,Pugneum Compressor,0.03,,+36%,,
523,Linear Coils,0.176,,+43%,+6%,
524,Linear Launch System,0.007,,,,+104%
525,Polarised Core,0.002,,,,+101%
526,Kinetic Release Mechanism,0.0,,,+6%,
527,Kinetic Injector Plugs,0.246,+54%,,,
528,Polarised Timing Loom,0.083,,,+7%,
529,Pugneum Launch System,0.044,,,,+126%
530,Unstable Coils,0.14,+48%,,,
531,Linear Gas Expander,0.246,,+65%,,+153%
532,Linear Heat Pump,0.25,,,+9%,
533,Kinetic Coils,0.25,,,+9%,
534,Kinetic Core,0.106,,,,+163%
535,Unstable Injector Plugs,0.035,+42%,,,
536,Kinetic Release Mechanism,0.018,+41%,,,
537,Polarised Core,0.25,,,+9%,
538,Pugneum Shell Loader,0.073,+41%,+45%,,+105%
539,Linear Release Mechanism,0.037,+40%,,,+112%
540,Polarised Heat Pump,0.025,,,,+115%
541,Linear Compressor,0.649,,+65%,+10%,
542,Polarised Gas Expander,0.458,,+59%,+6%,
543,Linear Coils,0.0,+40%,,+6%,
544,Polarised Core,0.053,+43%,,,
545,Unstable Release Mechanism,0.01,,+34%,,
546,Unstable Launch System,0.141,,+41%,+6%,
547,Linear Coils,0.275,,,+6%,+184%
548,Polarised Coils,0.333,+59%,,,
549,Unstable Injector Plugs,0.003,,,,+102%
550,Polarised Gas Expander,0.0,,,+6%,
551,Linear Core,0.0,,,+6%,
552,Pugneum Release Mechanism,0.0,,,,+100%
553,Unstable Release Mechanism,0.387,,+55%,+6%,
554,Pugneum Timing Loom,0.191,,,,+214%
555,Linear Launch System,0.0,,,+6%,
556,Kinetic Launch System,0.018,,,,+111%
557,Kinetic Core,0.313,,+64%,,
558,Pugneum Compressor,0.303,,+63%,,
559,Linear Compressor,0.408,+58%,+38%,+6%,
560,Unstable Launch System,0.013,+43%,,,+101%
561,Unstable Core,0.268,+55%,+33%,+6%,
562,Unstable Injector Plugs,0.253,,+58%,,
563,Linear Compressor,0.225,+48%,,+6%,
564,Polarised Timing Loom,0.0,+40%,,,
565,Kinetic Gas Expander,0.032,,,,+119%
566,Kinetic Shell Loader,0.14,+48%,,,
567,Polarised Launch System,0.052,,,+6%,+116%
568,Unstable Shell Loader,0.055,,,+10%,+112%
569,Pugneum Shell Loader,0.061,,+46%,+7%,+100%
