Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Radius,Weapon_Grenade_Speed
94,Pugneum Core,0.005,,,+102%
95,Unstable Gas Expander,0.237,+29%,,
96,Unstable Compressor,0.03,,,+112%
97,Kinetic Gas Expander,0.0,,,+100%
98,Pugneum Timing Loom,0.296,+24%,,+176%
99,Polarised Shell Loader,0.5,,+21%,
100,Polarised Heat Pump,0.237,+29%,,
101,Unstable Launch System,0.5,,+22%,
102,Kinetic Gas Expander,0.237,+29%,,
103,Pugneum Release Mechanism,0.06,,,+124%
104,Pugneum Heat Pump,0.0,,,+100%
105,Pugneum Gas Expander,0.5,,+22%,
106,Pugneum Gas Expander,0.5,,+28%,
107,Pugneum Coils,0.158,+26%,,
108,Unstable Coils,0.5,,+22%,
109,Pugneum Release Mechanism,0.5,,+21%,
110,Kinetic Heat Pump,0.026,+21%,,
111,Linear Injector Plugs,0.289,,,+215%
112,Unstable Gas Expander,0.132,+25%,,
113,Polarised Core,0.05,,,+120%
114,Linear Heat Pump,0.003,,,+101%
115,Unstable Heat Pump,0.5,,+30%,
116,Unstable Timing Loom,0.5,,+24%,
117,Polarised Heat Pump,0.0,,,+100%
118,Unstable Timing Loom,0.003,,,+101%
119,Pugneum Core,0.372,,,+248%
120,Unstable Compressor,0.5,,+21%,
121,Unstable Timing Loom,0.5,,+23%,
122,Unstable Core,0.5,,+26%,
123,Pugneum Timing Loom,0.5,,+27%,
124,Linear Core,0.5,,+23%,
125,Kinetic Shell Loader,0.028,,,+111%
126,Linear Injector Plugs,0.158,+26%,,
127,Unstable Release Mechanism,0.0,,,+100%
128,Pugneum Shell Loader,0.053,+22%,,
129,Polarised Shell Loader,0.533,,+28%,+113%
130,Polarised Timing Loom,0.5,,+30%,
131,Pugneum Gas Expander,0.5,,+24%,
132,Pugneum Timing Loom,0.003,,,+101%
133,Linear Timing Loom,0.025,,,+110%
134,Unstable Launch System,0.026,+21%,,
135,Kinetic Shell Loader,0.296,,,+218%
136,Unstable Heat Pump,0.955,,+29%,+281%
137,Pugneum Shell Loader,0.0,+20%,,
138,Unstable Compressor,0.5,,+29%,
139,Pugneum Launch System,0.5,,+29%,
140,Unstable Injector Plugs,0.0,+20%,,
141,Linear Coils,0.053,+22%,,
142,Unstable Injector Plugs,0.0,,,+100%
143,Polarised Heat Pump,0.105,+24%,,
144,Pugneum Shell Loader,0.5,,+27%,
145,Polarised Release Mechanism,0.236,,,+194%
146,Kinetic Compressor,0.5,,+28%,
147,Pugneum Core,0.053,+22%,,
148,Polarised Gas Expander,0.5,,+25%,
149,Linear Launch System,0.367,,,+246%
150,Polarised Compressor,0.079,+23%,,
151,Linear Launch System,0.5,,+21%,
152,Linear Gas Expander,0.018,,,+107%
153,Polarised Coils,0.5,,+24%,
154,Polarised Timing Loom,0.0,,,+100%
155,Kinetic Timing Loom,0.053,+22%,,
156,Linear Core,0.5,,+24%,
157,Pugneum Compressor,0.579,+23%,+24%,
158,Linear Coils,0.5,,+28%,
159,Pugneum Gas Expander,0.0,,,+100%
160,Linear Gas Expander,0.0,+20%,,
161,Linear Core,0.5,,+22%,
162,Linear Heat Pump,0.5,,+24%,
163,Unstable Compressor,0.026,+21%,,
164,Polarised Gas Expander,0.5,+20%,+21%,
165,Pugneum Core,0.106,,,+142%
166,Pugneum Heat Pump,0.026,+21%,,
167,Unstable Coils,0.023,,,+109%
168,Unstable Injector Plugs,0.251,,,+200%
169,Polarised Shell Loader,0.151,,,+160%
170,Kinetic Release Mechanism,0.132,+25%,,
171,Kinetic Injector Plugs,0.153,,,+161%
172,Linear Release Mechanism,0.005,,,+102%
173,Unstable Shell Loader,0.0,+20%,,
174,Linear Timing Loom,0.0,,,+100%
175,Pugneum Heat Pump,0.5,,+21%,
176,Polarised Injector Plugs,0.256,,,+202%
177,Unstable Timing Loom,0.079,+23%,,
178,Kinetic Injector Plugs,0.5,,+21%,
179,Pugneum Shell Loader,0.5,,+21%,
180,Polarised Release Mechanism,0.0,+20%,,
181,Kinetic Shell Loader,0.158,+26%,,
182,Kinetic Core,0.975,,+21%,+289%
183,Pugneum Launch System,0.0,+20%,,
184,Polarised Core,0.026,+21%,,
185,Polarised Timing Loom,0.026,+21%,,
186,Linear Launch System,0.5,,+30%,
187,Polarised Injector Plugs,0.543,,+23%,+117%
188,Kinetic Core,0.359,+20%,,+243%
189,Unstable Release Mechanism,0.005,,,+102%
190,Kinetic Release Mechanism,0.081,+23%,,+101%
191,Kinetic Compressor,0.5,,+21%,
192,Kinetic Coils,0.711,+28%,+27%,
193,Linear Core,0.658,+26%,+30%,
194,Polarised Coils,0.5,,+27%,
195,Unstable Injector Plugs,0.183,,,+173%
196,Pugneum Injector Plugs,0.5,,+21%,
197,Kinetic Timing Loom,0.003,,,+101%
198,Kinetic Gas Expander,0.5,,+22%,
199,Polarised Release Mechanism,0.5,,+24%,
200,Kinetic Compressor,0.5,,+21%,
201,Kinetic Timing Loom,0.053,+22%,,
202,Pugneum Timing Loom,0.043,,,+117%
203,Kinetic Release Mechanism,0.105,+24%,,
204,Kinetic Core,0.121,,,+148%
205,Unstable Shell Loader,0.158,,,+163%
206,Pugneum Release Mechanism,0.123,,,+149%
207,Linear Gas Expander,0.0,+20%,,
208,Kinetic Timing Loom,0.0,+20%,,+100%
209,Pugneum Shell Loader,0.0,,,+100%
210,Pugneum Compressor,0.241,,,+196%
211,Pugneum Core,0.0,,,+100%
212,Unstable Gas Expander,0.005,,,+102%
213,Polarised Release Mechanism,0.5,,+21%,
214,Kinetic Compressor,0.0,,,+100%
215,Polarised Shell Loader,0.079,+23%,,
216,Linear Coils,0.5,,+26%,
217,Kinetic Injector Plugs,0.5,,+22%,
218,Unstable Core,0.5,,+22%,
219,Kinetic Release Mechanism,0.5,,+28%,
220,Pugneum Launch System,0.455,,,+281%
221,Polarised Launch System,0.146,,,+158%
222,Pugneum Injector Plugs,0.5,,+21%,
223,Linear Injector Plugs,0.5,,+21%,
224,Polarised Heat Pump,0.068,,,+127%
225,Unstable Release Mechanism,0.0,,,+100%
226,Kinetic Heat Pump,0.528,,+21%,+111%
227,Unstable Launch System,0.5,,+30%,
228,Unstable Coils,0.5,+20%,+28%,
229,Kinetic Timing Loom,0.005,,,+102%
230,Pugneum Launch System,0.5,,+23%,
231,Pugneum Compressor,0.06,,,+124%
232,Unstable Gas Expander,0.184,+27%,,
233,Polarised Launch System,0.5,,+24%,
234,Linear Heat Pump,0.025,,,+110%
235,Unstable Gas Expander,0.026,+21%,,
236,Linear Injector Plugs,0.0,,,+100%
237,Pugneum Release Mechanism,0.116,,,+146%
238,Pugneum Core,0.5,,+23%,+100%
239,Linear Coils,0.063,,,+125%
240,Pugneum Coils,0.352,,,+240%
241,Kinetic Gas Expander,0.5,,+21%,
242,Pugneum Timing Loom,0.5,,+21%,
243,Linear Timing Loom,0.296,,,+218%
244,Polarised Coils,0.5,,+22%,
245,Linear Timing Loom,0.132,+25%,,
246,Polarised Injector Plugs,0.43,,,+271%
247,Kinetic Coils,0.5,,+24%,
248,Unstable Gas Expander,0.578,,+22%,+131%
249,Pugneum Heat Pump,0.237,+29%,,
250,Unstable Heat Pump,0.025,+20%,,+110%
251,Kinetic Gas Expander,0.008,,,+103%
252,Linear Launch System,0.033,,,+113%
253,Polarised Release Mechanism,0.0,+20%,,
254,Pugneum Injector Plugs,0.0,+20%,,
255,Linear Coils,0.026,+21%,,
256,Unstable Release Mechanism,0.0,+20%,,
257,Unstable Coils,0.5,,+22%,
258,Kinetic Heat Pump,0.259,,,+203%
259,Pugneum Heat Pump,0.0,,,+100%
260,Pugneum Heat Pump,0.026,+21%,,
261,Unstable Compressor,0.5,,+29%,
262,Unstable Gas Expander,0.0,,,+100%
263,Pugneum Launch System,0.079,+23%,,+100%
264,Unstable Gas Expander,0.367,,,+246%
265,Linear Shell Loader,0.079,+23%,,
266,Unstable Heat Pump,0.038,,,+115%
267,Polarised Compressor,0.5,,+21%,
268,Unstable Shell Loader,0.105,+24%,,
269,Linear Launch System,0.277,+25%,,+158%
270,Pugneum Injector Plugs,0.5,,+22%,
271,Unstable Core,0.5,,+21%,
272,Pugneum Shell Loader,0.168,,,+167%
273,Pugneum Compressor,0.038,+20%,,+115%
274,Pugneum Timing Loom,0.5,,+26%,
275,Linear Timing Loom,0.053,+22%,,
276,Linear Release Mechanism,0.632,+25%,+27%,
277,Polarised Shell Loader,0.005,,,+102%
278,Linear Compressor,0.526,+21%,+21%,
279,Kinetic Injector Plugs,0.105,+24%,,
280,Polarised Gas Expander,0.5,,+21%,
281,Linear Core,0.105,+24%,,
282,Unstable Core,0.003,,,+101%
283,Unstable Release Mechanism,0.237,+29%,,
284,Unstable Core,0.0,+20%,,
285,Pugneum Injector Plugs,0.026,+21%,,
286,Unstable Heat Pump,0.028,,,+111%
287,Unstable Timing Loom,0.5,,+28%,
288,Unstable Coils,0.0,+20%,,
289,Pugneum Coils,0.105,+24%,,
290,Polarised Launch System,0.5,,+21%,
291,Linear Launch System,0.053,+22%,,
292,Polarised Coils,0.028,,,+111%
293,Linear Heat Pump,0.5,,+25%,
294,Polarised Launch System,0.144,+23%,,+126%
295,Polarised Launch System,0.369,+24%,,+205%
296,Unstable Shell Loader,0.237,+29%,,+100%
297,Linear Gas Expander,0.0,+20%,,+100%
298,Polarised Coils,0.035,,,+114%
299,Linear Injector Plugs,0.5,,+21%,
300,Kinetic Injector Plugs,0.0,+20%,,
301,Pugneum Heat Pump,0.711,+28%,+28%,
302,Kinetic Release Mechanism,0.5,,+22%,
303,Kinetic Compressor,0.5,,+21%,
304,Pugneum Injector Plugs,0.5,,+30%,
305,Linear Shell Loader,0.003,,,+101%
306,Linear Release Mechanism,0.184,+27%,,
307,Linear Shell Loader,0.628,,+30%,+151%
308,Pugneum Coils,0.5,,+24%,
309,Kinetic Coils,0.5,,+21%,
310,Polarised Gas Expander,0.015,,,+106%
311,Polarised Core,0.0,+20%,,
312,Kinetic Core,0.079,+23%,,
313,Unstable Heat Pump,0.026,+21%,,
314,Kinetic Gas Expander,0.158,+26%,,
315,Linear Core,0.0,+20%,,
316,Kinetic Release Mechanism,0.256,+28%,,+118%
317,Unstable Release Mechanism,0.392,+22%,,+235%
318,Polarised Gas Expander,0.105,+24%,,
319,Unstable Timing Loom,0.5,,+24%,
320,Polarised Launch System,0.005,,,+102%
321,Unstable Gas Expander,0.053,+22%,,+100%
322,Polarised Coils,0.023,,,+109%
323,Linear Core,0.0,+20%,,
324,Polarised Launch System,0.211,+28%,,
325,Kinetic Launch System,0.081,+23%,,+101%
326,Kinetic Shell Loader,0.5,,+23%,
327,Linear Compressor,0.184,+27%,,
328,Pugneum Heat Pump,0.5,,+23%,
329,Pugneum Shell Loader,0.0,,,+100%
330,Kinetic Shell Loader,0.0,,,+100%
331,Linear Injector Plugs,0.063,,,+125%
332,Pugneum Launch System,0.5,,+24%,
333,Pugneum Injector Plugs,0.5,,+29%,
334,Unstable Gas Expander,0.5,,+24%,
335,Kinetic Timing Loom,0.553,+22%,+24%,
336,Linear Gas Expander,0.132,+25%,,
337,Kinetic Coils,0.5,,+27%,
338,Polarised Coils,0.5,,+23%,
339,Unstable Launch System,0.307,,,+222%
340,Linear Heat Pump,0.0,,,+100%
341,Polarised Coils,0.008,,,+103%
342,Linear Core,0.632,+25%,+26%,
343,Pugneum Heat Pump,0.5,,+22%,
344,Pugneum Compressor,0.005,,,+102%
345,Linear Core,0.0,+20%,,
346,Linear Shell Loader,0.5,,+21%,
347,Pugneum Heat Pump,0.0,+20%,,
348,Pugneum Coils,0.5,,+23%,
349,Unstable Timing Loom,0.337,,,+234%
350,Kinetic Compressor,0.0,,,+100%
351,Kinetic Launch System,0.5,,+24%,
352,Pugneum Shell Loader,0.5,,+21%,
353,Pugneum Heat Pump,0.5,,+23%,
354,Pugneum Core,0.015,,,+106%
355,Linear Compressor,0.588,,+25%,+135%
356,Linear Injector Plugs,0.143,,,+157%
357,Polarised Core,0.053,+22%,,
358,Unstable Launch System,0.5,,+21%,
359,Unstable Injector Plugs,0.5,,+25%,
360,Pugneum Release Mechanism,0.013,,,+105%
361,Unstable Launch System,0.0,+20%,,
362,Linear Core,0.09,,,+136%
363,Unstable Compressor,0.503,,+28%,+101%
364,Pugneum Heat Pump,0.291,,,+216%
365,Linear Release Mechanism,0.132,+25%,,
366,Unstable Timing Loom,0.5,,+26%,+100%
367,Polarised Injector Plugs,0.5,,+21%,
368,Pugneum Heat Pump,0.5,,+30%,
369,Polarised Launch System,0.5,,+21%,
370,Kinetic Gas Expander,0.005,,,+102%
371,Polarised Compressor,0.237,+29%,,
372,Kinetic Gas Expander,0.211,+28%,,
373,Linear Release Mechanism,0.053,+22%,,+100%
374,Polarised Gas Expander,0.5,,+22%,
375,Kinetic Timing Loom,0.038,,,+115%
376,Linear Compressor,0.5,,+25%,
377,Polarised Compressor,0.0,+20%,,+100%
378,Unstable Gas Expander,0.0,,,+100%
379,Unstable Launch System,0.374,,,+249%
380,Linear Timing Loom,0.0,,,+100%
381,Polarised Gas Expander,0.033,,,+113%
382,Polarised Shell Loader,0.02,,,+108%
383,Unstable Gas Expander,0.5,,+25%,
384,Unstable Timing Loom,0.5,,+23%,
385,Unstable Release Mechanism,0.5,,+27%,
386,Linear Timing Loom,0.5,,+28%,+100%
387,Pugneum Coils,0.374,,,+249%
388,Pugneum Launch System,0.0,,,+100%
389,Kinetic Heat Pump,0.173,,,+169%
390,Unstable Heat Pump,0.5,,+21%,
391,Pugneum Gas Expander,0.048,,,+119%
392,Polarised Gas Expander,0.239,,,+195%
393,Pugneum Launch System,0.5,,+27%,
394,Unstable Gas Expander,0.737,+29%,+21%,
395,Pugneum Injector Plugs,0.5,,+27%,
396,Unstable Core,0.5,,+21%,
397,Pugneum Compressor,0.508,,+26%,+103%
398,Unstable Coils,0.5,,+23%,
399,Linear Core,0.832,,+29%,+232%
400,Linear Injector Plugs,0.526,+21%,+21%,
401,Linear Injector Plugs,0.5,,+26%,
402,Pugneum Gas Expander,0.0,,,+100%
403,Unstable Release Mechanism,0.101,,,+140%
404,Unstable Release Mechanism,0.5,,+21%,
405,Linear Release Mechanism,0.053,+22%,,
406,Linear Timing Loom,0.5,,+24%,
407,Linear Gas Expander,0.184,+27%,,
408,Polarised Shell Loader,0.5,,+29%,
409,Pugneum Heat Pump,0.711,+28%,+22%,
410,Kinetic Injector Plugs,0.5,,+25%,+100%
411,Linear Launch System,0.249,,,+199%
412,Polarised Core,0.219,,,+187%
413,Pugneum Heat Pump,0.5,,+25%,
414,Kinetic Core,0.237,+29%,,
415,Unstable Release Mechanism,0.5,,+26%,
416,Pugneum Core,0.132,+25%,,+100%
417,Pugneum Shell Loader,0.03,,,+112%
418,Polarised Release Mechanism,0.158,+26%,,
419,Pugneum Coils,0.5,,+25%,
420,Linear Timing Loom,0.737,+29%,+27%,
421,Unstable Launch System,0.065,,,+126%
422,Unstable Heat Pump,0.5,,+29%,+100%
423,Polarised Shell Loader,0.553,+22%,+21%,
424,Unstable Compressor,0.023,,,+109%
425,Linear Timing Loom,0.5,,+21%,
426,Linear Heat Pump,0.211,,,+184%
427,Kinetic Launch System,0.658,+26%,+28%,
428,Unstable Gas Expander,0.026,+21%,,+100%
429,Pugneum Release Mechanism,0.0,+20%,,
430,Unstable Gas Expander,0.158,+26%,,
431,Polarised Release Mechanism,0.5,,+26%,
432,Linear Coils,0.02,,,+108%
433,Linear Core,0.07,,,+128%
434,Polarised Compressor,0.158,,,+163%
435,Pugneum Timing Loom,0.237,+29%,,
436,Pugneum Heat Pump,0.026,+21%,,
437,Pugneum Core,0.184,+27%,,
438,Unstable Timing Loom,0.132,+25%,,
439,Kinetic Coils,0.5,,+21%,
440,Polarised Timing Loom,0.008,,,+103%
441,Linear Gas Expander,0.5,,+23%,
442,Linear Launch System,0.847,,+21%,+238%
443,Polarised Heat Pump,0.0,+20%,,
444,Kinetic Launch System,0.5,,+27%,
445,Kinetic Gas Expander,0.5,,+21%,
446,Linear Gas Expander,0.5,,+24%,
447,Linear Injector Plugs,0.5,,+21%,
448,Unstable Gas Expander,0.319,,,+227%
449,Polarised Timing Loom,0.5,,+25%,
450,Linear Release Mechanism,0.5,,+21%,
451,Kinetic Heat Pump,0.239,,,+195%
452,Polarised Core,0.079,+23%,,+100%
453,Kinetic Core,0.045,,,+118%
454,Polarised Release Mechanism,0.5,,+28%,
455,Unstable Injector Plugs,0.184,+27%,,
456,Linear Compressor,0.237,+29%,,
457,Linear Timing Loom,0.148,,,+159%
458,Pugneum Timing Loom,0.711,+28%,+21%,
459,Kinetic Gas Expander,0.101,,,+140%
460,Polarised Coils,0.201,,,+180%
461,Unstable Coils,0.105,+24%,,
462,Polarised Launch System,0.5,,+26%,
463,Kinetic Core,0.0,+20%,,
464,Unstable Launch System,0.026,+21%,,
465,Kinetic Heat Pump,0.0,+20%,,
466,Polarised Coils,0.553,+22%,+27%,
467,Kinetic Compressor,0.5,,+29%,
468,Unstable Launch System,0.0,+20%,,
469,Pugneum Compressor,0.0,+20%,,
470,Kinetic Coils,0.178,+20%,,+171%
471,Pugneum Timing Loom,0.952,,+26%,+280%
472,Unstable Shell Loader,0.184,+27%,,
473,Unstable Shell Loader,0.5,,+21%,
474,Pugneum Injector Plugs,0.5,,+21%,
475,Pugneum Gas Expander,0.5,,+28%,
476,Unstable Timing Loom,0.5,,+21%,
477,Kinetic Core,0.158,+26%,,+100%
478,Kinetic Coils,0.5,,+21%,
479,Linear Gas Expander,0.093,,,+137%
480,Polarised Core,0.0,+20%,,
481,Pugneum Compressor,0.0,+20%,,
482,Pugneum Heat Pump,0.5,,+29%,
483,Linear Launch System,0.5,,+25%,
484,Unstable Launch System,0.003,,,+101%
485,Pugneum Timing Loom,0.184,+27%,,
486,Pugneum Compressor,0.5,,+28%,
487,Polarised Compressor,0.0,+20%,,
488,Unstable Core,0.5,,+28%,
489,Kinetic Shell Loader,0.526,+21%,+21%,
490,Pugneum Coils,0.211,+28%,,
491,Kinetic Injector Plugs,0.0,,,+100%
492,Polarised Injector Plugs,0.5,+20%,+28%,
493,Unstable Timing Loom,0.5,,+28%,
494,Pugneum Gas Expander,0.5,,+24%,
495,Pugneum Core,0.079,+23%,,
496,Unstable Injector Plugs,0.0,,,+100%
497,Kinetic Shell Loader,0.5,,+30%,
498,Kinetic Gas Expander,0.0,,,+100%
499,Kinetic Coils,0.5,,+21%,
500,Unstable Release Mechanism,0.158,+26%,,
501,Unstable Launch System,0.5,,+29%,
502,Unstable Release Mechanism,0.053,+22%,,
503,Pugneum Injector Plugs,0.03,,,+112%
504,Pugneum Compressor,0.0,,,+100%
505,Linear Heat Pump,0.0,+20%,,
506,Kinetic Timing Loom,0.053,+22%,,
507,Linear Gas Expander,0.533,,+21%,+113%
508,Polarised Heat Pump,0.5,,+24%,
509,Unstable Compressor,0.5,,+26%,
510,Kinetic Compressor,0.526,+21%,+27%,
511,Kinetic Timing Loom,0.0,+20%,,
512,Pugneum Launch System,0.0,,,+100%
513,Unstable Release Mechanism,0.105,+24%,,
514,Polarised Timing Loom,0.49,,,+295%
515,Kinetic Shell Loader,0.026,+21%,,
516,Unstable Injector Plugs,0.0,+20%,,
517,Linear Timing Loom,0.0,+20%,,
518,Polarised Coils,0.008,,,+103%
519,Pugneum Gas Expander,0.026,+21%,,
520,Pugneum Launch System,0.399,,,+259%
521,Linear Coils,0.374,,,+249%
522,Pugneum Compressor,0.0,+20%,,
523,Linear Coils,0.579,+23%,+21%,
524,Linear Launch System,0.048,,,+119%
525,Polarised Core,0.116,,,+146%
526,Kinetic Release Mechanism,0.0,+20%,,
527,Kinetic Injector Plugs,0.237,+29%,,
528,Polarised Timing Loom,0.106,,,+142%
529,Pugneum Launch System,0.126,,,+150%
530,Unstable Coils,0.184,+27%,,
531,Linear Gas Expander,0.5,,+30%,+100%
532,Linear Heat Pump,0.5,,+24%,
533,Kinetic Coils,0.5,,+21%,
534,Kinetic Core,0.0,,,+100%
535,Unstable Injector Plugs,0.079,+23%,,
536,Kinetic Release Mechanism,0.079,+23%,,
537,Polarised Core,0.5,,+21%,
538,Pugneum Shell Loader,0.5,+20%,+24%,
539,Linear Release Mechanism,0.095,,,+138%
540,Polarised Heat Pump,0.0,,,+100%
541,Linear Compressor,0.5,,+26%,
542,Polarised Gas Expander,0.5,,+28%,
543,Linear Coils,0.5,+20%,+25%,
544,Polarised Core,0.171,,,+168%
545,Unstable Release Mechanism,0.0,,,+100%
546,Unstable Launch System,0.5,,+21%,
547,Linear Coils,0.405,,,+261%
548,Polarised Coils,0.337,,,+234%
549,Unstable Injector Plugs,0.206,,,+182%
550,Polarised Gas Expander,0.5,,+21%,
551,Linear Core,0.5,,+28%,
552,Pugneum Release Mechanism,0.08,,,+132%
553,Unstable Release Mechanism,0.526,+21%,+29%,
554,Pugneum Timing Loom,0.5,,+22%,
555,Linear Launch System,0.5,,+26%,
556,Kinetic Launch System,0.026,+21%,,
557,Kinetic Core,0.0,,,+100%
558,Pugneum Compressor,0.053,+22%,,
559,Linear Compressor,0.658,+26%,+30%,
560,Unstable Launch System,0.029,+21%,,+101%
561,Unstable Core,0.5,+20%,+21%,
562,Unstable Injector Plugs,0.01,,,+104%
563,Linear Compressor,0.003,+20%,,+101%
564,Polarised Timing Loom,0.053,+22%,,
565,Kinetic Gas Expander,0.5,,+25%,
566,Kinetic Shell Loader,0.043,,,+117%
567,Polarised Launch System,0.075,+22%,,+109%
568,Unstable Shell Loader,0.5,,+25%,
569,Pugneum Shell Loader,0.52,,+27%,+108%
570,Pugneum Release Mechanism,0.118,,,+147%
571,Unstable Release Mechanism,0.153,,,+161%
572,Linear Release Mechanism,0.158,+26%,,
573,Kinetic Gas Expander,0.136,,,+154%
574,Unstable Launch System,0.033,,,+113%
575,Pugneum Gas Expander,0.5,,+21%,
576,Pugneum Release Mechanism,0.57,,+21%,+128%
577,Unstable Release Mechanism,0.0,,,+100%
578,Pugneum Injector Plugs,0.209,,,+183%
579,Polarised Injector Plugs,0.053,+22%,,
580,Kinetic Launch System,0.5,,+24%,
581,Unstable Gas Expander,0.079,+23%,,
582,Pugneum Timing Loom,0.5,,+27%,
583,Kinetic Timing Loom,0.184,+27%,,
584,Kinetic Injector Plugs,0.0,,,+100%
585,Kinetic Injector Plugs,0.025,,,+110%
586,Polarised Timing Loom,0.03,,,+112%
587,Kinetic Timing Loom,0.0,+20%,,
588,Kinetic Shell Loader,0.237,+29%,,
589,Kinetic Compressor,0.063,,,+125%
590,Unstable Shell Loader,0.026,+21%,,
591,Polarised Release Mechanism,0.0,+20%,,
592,Polarised Coils,0.079,+23%,,
593,Unstable Core,0.5,,+21%,
594,Polarised Compressor,0.0,+20%,,
595,Kinetic Coils,0.5,,+29%,
596,Unstable Release Mechanism,0.026,+21%,,
597,Polarised Release Mechanism,0.026,+21%,,
598,Unstable Core,0.5,,+28%,
599,Unstable Core,0.5,,+25%,
600,Kinetic Release Mechanism,0.5,,+21%,
601,Kinetic Core,0.003,,,+101%
602,Pugneum Heat Pump,0.05,+20%,,+120%
603,Unstable Launch System,0.5,,+27%,
604,Pugneum Compressor,0.211,+28%,,
605,Polarised Heat Pump,0.026,+21%,,
606,Unstable Heat Pump,0.033,,,+113%
607,Unstable Core,0.127,+21%,,+140%
608,Pugneum Timing Loom,0.487,,,+294%
609,Kinetic Shell Loader,0.0,+20%,,
610,Polarised Timing Loom,0.5,,+26%,
611,Kinetic Injector Plugs,0.01,,,+104%
