Seed	Name	Perfection	Weapon_Projectile_Damage	Weapon_Projectile_ReloadTime	Weapon_Projectile_BurstCap
63	Enhanced Heat Pump	0.67	+1%		+1.0
64	Enhanced Compression Unit	0.6	+1%	-9%
65	Reinforced Launch System	0.4	+1%	-6%
66	Pressurised Heat Pump	0.4	+1%	-6%
67	Reinforced Dynamo	0.4	+1%	-6%
68	Reinforced Wiring	0.4	+1%	-6%
69	Pressurised Dynamo	0.67	+1%		+1.0
70	Pressurised Compression Unit	0.4	+1%	-6%
71	Gold-Plated Trigger	0.67	+1%		+1.0
72	Pressurised Muzzle	0.67	+1%		+1.0
73	Pressurised Shells	0.67	+1%		+1.0
74	Reinforced Launch System	0.47	+1%	-7%
75	Pressurised Barrel	0.67	+1%		+1.0
76	Reinforced Launch System	0.67	+1%		+1.0
77	Gold-Plated Dynamo	0.73	+1%	-6%	+1.0
78	Pressurised Launch System	0.67	+1%		+1.0
79	Copper Shells	0.6	+1%	-9%
80	Copper Heat Pump	0.67	+1%		+1.0
81	Pressurised Dynamo	0.4	+1%	-6%
82	Reinforced Internals	0.47	+1%	-7%
83	Reinforced Heat Pump	0.4	+1%	-6%
84	Copper Heat Pump	0.67	+1%		+1.0
85	Enhanced Muzzle	0.67	+1%		+1.0
86	Gold-Plated Internals	0.67	+1%		+1.0
87	Pressurised Barrel	0.73	+1%	-6%	+1.0
88	Enhanced Internals	0.4	+1%	-6%
89	Pressurised Dynamo	0.6	+1%	-9%
90	Enhanced Compression Unit	0.47	+1%	-7%
91	Reinforced Wiring	0.67	+1%		+1.0
92	Copper Compression Unit	0.67	+1%		+1.0
93	Copper Trigger	0.67	+1%		+1.0
94	Gold-Plated Dynamo	0.67	+1%		+1.0
95	Copper Wiring	0.4	+1%	-6%
96	Copper Barrel	0.67	+1%		+1.0
97	Pressurised Wiring	0.67	+1%		+1.0
98	Gold-Plated Compression Unit	0.73	+1%	-6%	+1.0
99	Enhanced Heat Pump	0.67	+1%		+1.0
100	Enhanced Launch System	0.67	+1%		+1.0
101	Copper Shells	0.53	+1%	-8%
102	Pressurised Wiring	0.4	+1%	-6%
103	Gold-Plated Muzzle	0.4	+1%	-6%
104	Gold-Plated Launch System	0.67	+1%		+1.0
105	Gold-Plated Wiring	0.67	+1%		+1.0
106	Gold-Plated Wiring	0.67	+1%		+1.0
107	Gold-Plated Internals	0.4	+1%	-6%
108	Copper Internals	0.47	+1%	-7%
109	Gold-Plated Muzzle	0.67	+1%		+1.0
110	Pressurised Launch System	0.67	+1%		+1.0
111	Reinforced Trigger	0.4	+1%	-6%
112	Copper Wiring	0.4	+1%	-6%
113	Enhanced Dynamo	0.4	+1%	-6%
114	Reinforced Launch System	0.67	+1%		+1.0
115	Copper Launch System	0.67	+1%		+1.0
116	Copper Compression Unit	0.67	+1%		+1.0
117	Enhanced Launch System	0.67	+1%		+1.0
118	Copper Compression Unit	0.67	+1%		+1.0
119	Gold-Plated Dynamo	0.67	+1%		+1.0
120	Copper Barrel	0.67	+1%		+1.0
121	Copper Compression Unit	0.47	+1%	-7%
122	Copper Dynamo	0.4	+1%	-6%
123	Gold-Plated Compression Unit	0.67	+1%		+1.0
124	Reinforced Dynamo	0.47	+1%	-7%
125	Pressurised Heat Pump	0.67	+1%		+1.0
126	Reinforced Trigger	0.4	+1%	-6%
127	Copper Muzzle	0.67	+1%		+1.0
128	Gold-Plated Heat Pump	0.47	+1%	-7%
129	Enhanced Heat Pump	0.73	+1%	-6%	+1.0
130	Enhanced Compression Unit	0.67	+1%		+1.0
131	Gold-Plated Wiring	0.4	+1%	-6%
132	Gold-Plated Compression Unit	0.67	+1%		+1.0
133	Reinforced Compression Unit	0.47	+1%	-7%
134	Copper Shells	0.47	+1%	-7%
135	Pressurised Heat Pump	0.67	+1%		+1.0
136	Copper Launch System	0.73	+1%	-6%	+1.0
137	Gold-Plated Heat Pump	0.6	+1%	-9%
138	Copper Barrel	0.67	+1%		+1.0
139	Gold-Plated Shells	0.4	+1%	-6%
140	Copper Trigger	0.67	+1%	-10%
141	Reinforced Internals	0.47	+1%	-7%
142	Copper Trigger	0.67	+1%		+1.0
143	Enhanced Launch System	0.4	+1%	-6%
144	Gold-Plated Heat Pump	0.67	+1%		+1.0
145	Enhanced Muzzle	0.67	+1%		+1.0
146	Pressurised Barrel	0.67	+1%		+1.0
147	Gold-Plated Dynamo	0.47	+1%	-7%
148	Enhanced Wiring	0.67	+1%		+1.0
149	Reinforced Shells	0.67	+1%		+1.0
150	Enhanced Barrel	0.4	+1%	-6%
151	Reinforced Shells	0.6	+1%	-9%
152	Reinforced Wiring	0.67	+1%		+1.0
153	Enhanced Internals	0.67	+1%		+1.0
154	Enhanced Compression Unit	0.67	+1%		+1.0
155	Pressurised Compression Unit	0.47	+1%	-7%
156	Reinforced Dynamo	0.4	+1%	-6%
157	Gold-Plated Barrel	0.73	+1%	-6%	+1.0
158	Reinforced Internals	0.4	+1%	-6%
159	Gold-Plated Wiring	0.67	+1%		+1.0
160	Reinforced Wiring	0.6	+1%	-9%
161	Reinforced Dynamo	0.53	+1%	-8%
162	Reinforced Launch System	0.67	+1%		+1.0
163	Copper Barrel	0.67	+1%		+1.0
164	Enhanced Wiring	0.93	+1%	-9%	+1.0
165	Gold-Plated Dynamo	0.67	+1%		+1.0
166	Gold-Plated Launch System	0.53	+1%	-8%
167	Copper Internals	0.67	+1%		+1.0
168	Copper Trigger	0.4	+1%	-6%
169	Enhanced Heat Pump	0.67	+1%		+1.0
170	Pressurised Muzzle	0.4	+1%	-6%
171	Pressurised Trigger	0.4	+1%	-6%
172	Reinforced Muzzle	0.53	+1%	-8%
173	Copper Heat Pump	0.53	+1%	-8%
174	Reinforced Compression Unit	0.67	+1%		+1.0
175	Gold-Plated Launch System	0.67	+1%	-10%
176	Enhanced Trigger	0.67	+1%		+1.0
177	Copper Compression Unit	0.4	+1%	-6%
178	Pressurised Trigger	0.53	+1%	-8%
179	Gold-Plated Heat Pump	0.67	+1%		+1.0
180	Enhanced Muzzle	0.6	+1%	-9%
181	Pressurised Heat Pump	0.4	+1%	-6%
182	Pressurised Dynamo	0.73	+1%	-6%	+1.0
183	Gold-Plated Shells	0.53	+1%	-8%
184	Enhanced Dynamo	0.47	+1%	-7%
185	Enhanced Compression Unit	0.47	+1%	-7%
186	Reinforced Shells	0.67	+1%		+1.0
187	Enhanced Trigger	0.8	+1%	-7%	+1.0
188	Pressurised Dynamo	0.73	+1%	-6%	+1.0
189	Copper Muzzle	0.67	+1%		+1.0
190	Pressurised Muzzle	0.73	+1%	-6%	+1.0
191	Pressurised Barrel	0.67	+1%		+1.0
192	Pressurised Internals	0.73	+1%	-6%	+1.0
193	Reinforced Dynamo	0.73	+1%	-6%	+1.0
194	Enhanced Internals	0.67	+1%		+1.0
195	Copper Trigger	0.67	+1%		+1.0
196	Gold-Plated Trigger	0.67	+1%		+1.0
197	Pressurised Compression Unit	0.67	+1%		+1.0
198	Pressurised Wiring	0.47	+1%	-7%
199	Enhanced Muzzle	0.67	+1%		+1.0
200	Pressurised Barrel	0.67	+1%	-10%
201	Pressurised Compression Unit	0.47	+1%	-7%
202	Gold-Plated Compression Unit	0.47	+1%	-7%
203	Pressurised Muzzle	0.4	+1%	-6%
204	Pressurised Dynamo	0.67	+1%		+1.0
205	Copper Heat Pump	0.67	+1%		+1.0
206	Gold-Plated Muzzle	0.67	+1%		+1.0
207	Reinforced Wiring	0.67	+1%		+1.0
208	Pressurised Compression Unit	1.0	+1%	-10%	+1.0
209	Gold-Plated Heat Pump	0.67	+1%		+1.0
210	Gold-Plated Barrel	0.4	+1%	-6%
211	Gold-Plated Dynamo	0.67	+1%		+1.0
212	Copper Wiring	0.67	+1%		+1.0
213	Enhanced Muzzle	0.67	+1%	-10%
214	Pressurised Barrel	0.67	+1%	-10%
215	Enhanced Heat Pump	0.4	+1%	-6%
216	Reinforced Internals	0.67	+1%		+1.0
217	Pressurised Trigger	0.53	+1%	-8%
218	Copper Dynamo	0.67	+1%		+1.0
219	Pressurised Muzzle	0.67	+1%		+1.0
220	Gold-Plated Shells	0.67	+1%		+1.0
221	Enhanced Shells	0.67	+1%		+1.0
222	Gold-Plated Trigger	0.6	+1%	-9%
223	Reinforced Trigger	0.67	+1%		+1.0
224	Enhanced Launch System	0.67	+1%		+1.0
225	Copper Muzzle	0.6	+1%	-9%
226	Pressurised Launch System	1.0	+1%	-10%	+1.0
227	Copper Shells	0.4	+1%	-6%
228	Copper Internals	1.0	+1%	-10%	+1.0
229	Pressurised Compression Unit	0.67	+1%		+1.0
230	Gold-Plated Shells	0.67	+1%		+1.0
231	Gold-Plated Barrel	0.67	+1%		+1.0
232	Copper Wiring	0.4	+1%	-6%
233	Enhanced Shells	0.4	+1%	-6%
234	Reinforced Launch System	0.67	+1%		+1.0
235	Copper Wiring	0.47	+1%	-7%
236	Reinforced Trigger	0.67	+1%		+1.0
237	Gold-Plated Muzzle	0.67	+1%		+1.0
238	Gold-Plated Dynamo	1.0	+1%	-10%	+1.0
239	Reinforced Internals	0.67	+1%		+1.0
240	Gold-Plated Internals	0.67	+1%		+1.0
241	Pressurised Wiring	0.53	+1%	-8%
242	Gold-Plated Compression Unit	0.67	+1%		+1.0
243	Reinforced Compression Unit	0.67	+1%		+1.0
244	Enhanced Internals	0.67	+1%		+1.0
245	Reinforced Compression Unit	0.67	+1%		+1.0
246	Enhanced Trigger	0.4	+1%	-6%
247	Pressurised Internals	0.4	+1%	-6%
248	Copper Wiring	0.87	+1%	-8%	+1.0
249	Gold-Plated Launch System	0.67	+1%		+1.0
250	Copper Launch System	1.0	+1%	-10%	+1.0
251	Pressurised Wiring	0.47	+1%	-7%
252	Reinforced Shells	0.67	+1%		+1.0
253	Enhanced Muzzle	0.53	+1%	-8%
254	Gold-Plated Trigger	0.53	+1%	-8%
255	Reinforced Internals	0.53	+1%	-8%
256	Copper Muzzle	0.67	+1%	-10%
257	Copper Internals	0.67	+1%		+1.0
258	Pressurised Launch System	0.67	+1%		+1.0
259	Gold-Plated Launch System	0.67	+1%	-10%
260	Gold-Plated Launch System	0.67	+1%		+1.0
261	Copper Barrel	0.67	+1%		+1.0
262	Copper Wiring	0.67	+1%		+1.0
263	Gold-Plated Shells	0.73	+1%	-6%	+1.0
264	Copper Wiring	0.67	+1%		+1.0
265	Reinforced Heat Pump	0.4	+1%	-6%
266	Copper Launch System	0.47	+1%	-7%
267	Enhanced Barrel	0.67	+1%		+1.0
268	Copper Heat Pump	0.4	+1%	-6%
269	Reinforced Shells	0.73	+1%	-6%	+1.0
270	Gold-Plated Trigger	0.47	+1%	-7%
271	Copper Dynamo	0.6	+1%	-9%
272	Gold-Plated Heat Pump	0.67	+1%		+1.0
273	Gold-Plated Barrel	0.93	+1%	-9%	+1.0
274	Gold-Plated Compression Unit	0.67	+1%		+1.0
275	Reinforced Compression Unit	0.47	+1%	-7%
276	Reinforced Muzzle	0.73	+1%	-6%	+1.0
277	Enhanced Heat Pump	0.67	+1%		+1.0
278	Reinforced Barrel	0.93	+1%	-9%	+1.0
279	Pressurised Trigger	0.4	+1%	-6%
280	Enhanced Wiring	0.53	+1%	-8%
281	Reinforced Dynamo	0.4	+1%	-6%
282	Copper Dynamo	0.67	+1%		+1.0
283	Copper Muzzle	0.4	+1%	-6%
284	Copper Dynamo	0.6	+1%	-9%
285	Gold-Plated Trigger	0.67	+1%		+1.0
286	Copper Launch System	0.67	+1%		+1.0
287	Copper Compression Unit	0.67	+1%		+1.0
288	Copper Internals	0.53	+1%	-8%
289	Gold-Plated Internals	0.67	+1%		+1.0
290	Enhanced Shells	0.53	+1%	-8%
291	Reinforced Shells	0.47	+1%	-7%
292	Enhanced Internals	0.67	+1%		+1.0
293	Reinforced Launch System	0.4	+1%	-6%
294	Enhanced Shells	0.73	+1%	-6%	+1.0
295	Enhanced Shells	0.73	+1%	-6%	+1.0
296	Copper Heat Pump	0.73	+1%	-6%	+1.0
297	Reinforced Wiring	0.87	+1%	-8%	+1.0
298	Enhanced Internals	0.67	+1%		+1.0
299	Reinforced Trigger	0.6	+1%	-9%
300	Pressurised Trigger	0.67	+1%		+1.0
301	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
302	Pressurised Muzzle	0.47	+1%	-7%
303	Pressurised Barrel	0.6	+1%	-9%
304	Gold-Plated Trigger	0.67	+1%		+1.0
305	Reinforced Heat Pump	0.67	+1%		+1.0
306	Reinforced Muzzle	0.4	+1%	-6%
307	Reinforced Heat Pump	0.73	+1%	-6%	+1.0
308	Gold-Plated Internals	0.67	+1%		+1.0
309	Pressurised Internals	0.67	+1%		+1.0
310	Enhanced Wiring	0.47	+1%	-7%
311	Enhanced Dynamo	0.6	+1%	-9%
312	Pressurised Dynamo	0.67	+1%		+1.0
313	Copper Launch System	0.47	+1%	-7%
314	Pressurised Wiring	0.4	+1%	-6%
315	Reinforced Dynamo	0.67	+1%		+1.0
316	Pressurised Muzzle	0.73	+1%	-6%	+1.0
317	Copper Muzzle	0.8	+1%	-7%	+1.0
318	Enhanced Wiring	0.4	+1%	-6%
319	Copper Compression Unit	0.4	+1%	-6%
320	Enhanced Shells	0.67	+1%		+1.0
321	Copper Wiring	0.8	+1%	-7%	+1.0
322	Enhanced Internals	0.67	+1%		+1.0
323	Reinforced Dynamo	0.53	+1%	-8%
324	Enhanced Shells	0.4	+1%	-6%
325	Pressurised Shells	0.87	+1%	-8%	+1.0
326	Pressurised Heat Pump	0.47	+1%	-7%
327	Reinforced Barrel	0.67	+1%		+1.0
328	Gold-Plated Launch System	0.47	+1%	-7%
329	Gold-Plated Heat Pump	0.67	+1%		+1.0
330	Pressurised Heat Pump	0.67	+1%		+1.0
331	Reinforced Trigger	0.67	+1%		+1.0
332	Gold-Plated Shells	0.4	+1%	-6%
333	Gold-Plated Trigger	0.4	+1%	-6%
334	Copper Wiring	0.67	+1%		+1.0
335	Pressurised Compression Unit	0.8	+1%	-7%	+1.0
336	Reinforced Wiring	0.4	+1%	-6%
337	Pressurised Internals	0.4	+1%	-6%
338	Enhanced Internals	0.67	+1%		+1.0
339	Copper Shells	0.4	+1%	-6%
340	Reinforced Launch System	0.67	+1%	-10%
341	Enhanced Internals	0.67	+1%		+1.0
342	Reinforced Dynamo	0.73	+1%	-6%	+1.0
343	Gold-Plated Launch System	0.47	+1%	-7%
344	Gold-Plated Barrel	0.67	+1%		+1.0
345	Reinforced Dynamo	0.6	+1%	-9%
346	Reinforced Heat Pump	0.6	+1%	-9%
347	Gold-Plated Launch System	0.67	+1%		+1.0
348	Gold-Plated Internals	0.67	+1%		+1.0
349	Copper Compression Unit	0.67	+1%		+1.0
350	Pressurised Barrel	0.67	+1%		+1.0
351	Pressurised Shells	0.67	+1%		+1.0
352	Gold-Plated Heat Pump	0.67	+1%	-10%
353	Gold-Plated Launch System	0.47	+1%	-7%
354	Gold-Plated Dynamo	0.67	+1%		+1.0
355	Reinforced Barrel	0.73	+1%	-6%	+1.0
356	Reinforced Trigger	0.67	+1%		+1.0
357	Enhanced Dynamo	0.47	+1%	-7%
358	Copper Shells	0.67	+1%		+1.0
359	Copper Trigger	0.4	+1%	-6%
360	Gold-Plated Muzzle	0.47	+1%	-7%
361	Copper Shells	0.53	+1%	-8%
362	Reinforced Dynamo	0.67	+1%		+1.0
363	Copper Barrel	0.73	+1%	-6%	+1.0
364	Gold-Plated Launch System	0.67	+1%		+1.0
365	Reinforced Muzzle	0.4	+1%	-6%
366	Copper Compression Unit	0.73	+1%	-6%	+1.0
367	Enhanced Trigger	0.6	+1%	-9%
368	Gold-Plated Launch System	0.4	+1%	-6%
369	Enhanced Shells	0.53	+1%	-8%
370	Pressurised Wiring	0.53	+1%	-8%
371	Enhanced Barrel	0.4	+1%	-6%
372	Pressurised Wiring	0.4	+1%	-6%
373	Reinforced Muzzle	0.93	+1%	-9%	+1.0
374	Enhanced Wiring	0.67	+1%		+1.0
375	Pressurised Compression Unit	0.67	+1%		+1.0
376	Reinforced Barrel	0.4	+1%	-6%
377	Enhanced Barrel	1.0	+1%	-10%	+1.0
378	Copper Wiring	0.67	+1%		+1.0
379	Copper Shells	0.67	+1%		+1.0
380	Reinforced Compression Unit	0.67	+1%		+1.0
381	Enhanced Wiring	0.67	+1%		+1.0
382	Enhanced Heat Pump	0.67	+1%		+1.0
383	Copper Wiring	0.4	+1%	-6%
384	Copper Compression Unit	0.47	+1%	-7%
385	Copper Muzzle	0.4	+1%	-6%
386	Reinforced Compression Unit	0.73	+1%	-6%	+1.0
387	Gold-Plated Internals	0.67	+1%		+1.0
388	Gold-Plated Shells	0.67	+1%		+1.0
389	Pressurised Launch System	0.67	+1%		+1.0
390	Copper Launch System	0.6	+1%	-9%
391	Gold-Plated Wiring	0.67	+1%		+1.0
392	Enhanced Wiring	0.67	+1%		+1.0
393	Gold-Plated Shells	0.67	+1%		+1.0
394	Copper Wiring	0.87	+1%	-8%	+1.0
395	Gold-Plated Trigger	0.67	+1%		+1.0
396	Copper Dynamo	0.67	+1%		+1.0
397	Gold-Plated Barrel	0.8	+1%	-7%	+1.0
398	Copper Internals	0.67	+1%		+1.0
399	Reinforced Dynamo	0.73	+1%	-6%	+1.0
400	Reinforced Trigger	1.0	+1%	-10%	+1.0
401	Reinforced Trigger	0.4	+1%	-6%
402	Gold-Plated Wiring	0.67	+1%		+1.0
403	Copper Muzzle	0.67	+1%		+1.0
404	Copper Muzzle	0.67	+1%		+1.0
405	Reinforced Muzzle	0.47	+1%	-7%
406	Reinforced Compression Unit	0.4	+1%	-6%
407	Reinforced Wiring	0.4	+1%	-6%
408	Enhanced Heat Pump	0.4	+1%	-6%
409	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
410	Pressurised Trigger	0.73	+1%	-6%	+1.0
411	Reinforced Shells	0.67	+1%		+1.0
412	Enhanced Dynamo	0.67	+1%		+1.0
413	Gold-Plated Launch System	0.67	+1%		+1.0
414	Pressurised Dynamo	0.4	+1%	-6%
415	Copper Muzzle	0.4	+1%	-6%
416	Gold-Plated Dynamo	0.93	+1%	-9%	+1.0
417	Gold-Plated Heat Pump	0.67	+1%		+1.0
418	Enhanced Muzzle	0.67	+1%		+1.0
419	Gold-Plated Internals	0.4	+1%	-6%
420	Reinforced Compression Unit	0.73	+1%	-6%	+1.0
421	Copper Shells	0.67	+1%		+1.0
422	Copper Launch System	1.0	+1%	-10%	+1.0
423	Enhanced Heat Pump	1.0	+1%	-10%	+1.0
424	Copper Barrel	0.67	+1%		+1.0
425	Reinforced Compression Unit	0.67	+1%	-10%
426	Reinforced Launch System	0.67	+1%		+1.0
427	Pressurised Shells	0.73	+1%	-6%	+1.0
428	Copper Wiring	0.93	+1%	-9%	+1.0
429	Gold-Plated Muzzle	0.6	+1%	-9%
430	Copper Wiring	0.4	+1%	-6%
431	Enhanced Muzzle	0.67	+1%		+1.0
432	Reinforced Internals	0.67	+1%		+1.0
433	Reinforced Dynamo	0.4	+1%	-6%
434	Enhanced Barrel	0.67	+1%		+1.0
435	Gold-Plated Compression Unit	0.4	+1%	-6%
436	Gold-Plated Launch System	0.53	+1%	-8%
437	Gold-Plated Dynamo	0.4	+1%	-6%
438	Copper Compression Unit	0.4	+1%	-6%
439	Pressurised Internals	0.67	+1%		+1.0
440	Enhanced Compression Unit	0.67	+1%		+1.0
441	Reinforced Wiring	0.47	+1%	-7%
442	Reinforced Shells	0.73	+1%	-6%	+1.0
443	Enhanced Launch System	0.6	+1%	-9%
444	Pressurised Shells	0.67	+1%		+1.0
445	Pressurised Wiring	0.6	+1%	-9%
446	Reinforced Wiring	0.4	+1%	-6%
447	Reinforced Trigger	0.67	+1%	-10%
448	Copper Wiring	0.67	+1%		+1.0
449	Enhanced Compression Unit	0.4	+1%	-6%
450	Reinforced Muzzle	0.67	+1%		+1.0
451	Pressurised Launch System	0.67	+1%		+1.0
452	Enhanced Dynamo	0.93	+1%	-9%	+1.0
453	Pressurised Dynamo	0.67	+1%		+1.0
454	Enhanced Muzzle	0.67	+1%		+1.0
455	Copper Trigger	0.67	+1%		+1.0
456	Reinforced Barrel	0.4	+1%	-6%
457	Reinforced Compression Unit	0.67	+1%		+1.0
458	Gold-Plated Compression Unit	1.0	+1%	-10%	+1.0
459	Pressurised Wiring	0.67	+1%		+1.0
460	Enhanced Internals	0.67	+1%		+1.0
461	Copper Internals	0.4	+1%	-6%
462	Enhanced Shells	0.4	+1%	-6%
463	Pressurised Dynamo	0.53	+1%	-8%
464	Copper Shells	0.47	+1%	-7%
465	Pressurised Launch System	0.53	+1%	-8%
466	Enhanced Internals	0.8	+1%	-7%	+1.0
467	Pressurised Barrel	0.67	+1%		+1.0
468	Copper Shells	0.67	+1%	-10%
469	Gold-Plated Barrel	0.67	+1%	-10%
470	Pressurised Internals	0.73	+1%	-6%	+1.0
471	Gold-Plated Compression Unit	0.73	+1%	-6%	+1.0
472	Copper Heat Pump	0.4	+1%	-6%
473	Copper Heat Pump	0.67	+1%	-10%
474	Gold-Plated Trigger	0.67	+1%		+1.0
475	Gold-Plated Wiring	0.67	+1%		+1.0
476	Copper Compression Unit	0.67	+1%	-10%
477	Pressurised Dynamo	0.73	+1%	-6%	+1.0
478	Pressurised Internals	0.53	+1%	-8%
479	Reinforced Wiring	0.4	+1%	-6%
480	Enhanced Dynamo	0.6	+1%	-9%
481	Gold-Plated Barrel	0.67	+1%	-10%
482	Gold-Plated Launch System	0.67	+1%		+1.0
483	Reinforced Shells	0.67	+1%		+1.0
484	Copper Shells	0.67	+1%		+1.0
485	Gold-Plated Compression Unit	0.67	+1%		+1.0
486	Gold-Plated Barrel	0.67	+1%		+1.0
487	Enhanced Barrel	0.67	+1%		+1.0
488	Copper Dynamo	0.4	+1%	-6%
489	Pressurised Heat Pump	0.87	+1%	-8%	+1.0
490	Gold-Plated Internals	0.4	+1%	-6%
491	Pressurised Trigger	0.67	+1%		+1.0
492	Enhanced Trigger	0.73	+1%	-6%	+1.0
493	Copper Compression Unit	0.67	+1%		+1.0
494	Gold-Plated Wiring	0.4	+1%	-6%
495	Gold-Plated Dynamo	0.4	+1%	-6%
496	Copper Trigger	0.53	+1%	-8%
497	Pressurised Heat Pump	0.67	+1%		+1.0
498	Pressurised Wiring	0.67	+1%	-10%
499	Pressurised Internals	0.67	+1%		+1.0
500	Copper Muzzle	0.4	+1%	-6%
501	Copper Shells	0.4	+1%	-6%
502	Copper Muzzle	0.47	+1%	-7%
503	Gold-Plated Trigger	0.47	+1%	-7%
504	Gold-Plated Barrel	0.53	+1%	-8%
505	Reinforced Launch System	0.53	+1%	-8%
506	Pressurised Compression Unit	0.47	+1%	-7%
507	Reinforced Wiring	0.93	+1%	-9%	+1.0
508	Enhanced Launch System	0.4	+1%	-6%
509	Copper Barrel	0.67	+1%		+1.0
510	Pressurised Barrel	0.8	+1%	-7%	+1.0
511	Pressurised Compression Unit	0.67	+1%	-10%
512	Gold-Plated Shells	0.67	+1%		+1.0
513	Copper Muzzle	0.4	+1%	-6%
514	Enhanced Compression Unit	0.67	+1%		+1.0
515	Pressurised Heat Pump	0.47	+1%	-7%
516	Copper Trigger	0.53	+1%	-8%
517	Reinforced Compression Unit	0.67	+1%		+1.0
518	Enhanced Internals	0.53	+1%	-8%
519	Gold-Plated Wiring	0.47	+1%	-7%
520	Gold-Plated Shells	0.67	+1%		+1.0
521	Reinforced Internals	0.67	+1%		+1.0
522	Gold-Plated Barrel	0.6	+1%	-9%
523	Reinforced Internals	0.93	+1%	-9%	+1.0
524	Reinforced Shells	0.4	+1%	-6%
525	Enhanced Dynamo	0.67	+1%		+1.0
526	Pressurised Muzzle	0.6	+1%	-9%
527	Pressurised Trigger	0.67	+1%		+1.0
528	Enhanced Compression Unit	0.67	+1%		+1.0
529	Gold-Plated Shells	0.67	+1%		+1.0
530	Copper Internals	0.4	+1%	-6%
531	Reinforced Wiring	0.73	+1%	-6%	+1.0
532	Reinforced Launch System	0.67	+1%		+1.0
533	Pressurised Internals	0.6	+1%	-9%
534	Pressurised Dynamo	0.67	+1%		+1.0
535	Copper Trigger	0.4	+1%	-6%
536	Pressurised Muzzle	0.47	+1%	-7%
537	Enhanced Dynamo	0.67	+1%		+1.0
538	Gold-Plated Heat Pump	0.93	+1%	-9%	+1.0
539	Reinforced Muzzle	0.4	+1%	-6%
540	Enhanced Launch System	0.67	+1%		+1.0
541	Reinforced Barrel	0.4	+1%	-6%
542	Enhanced Wiring	0.67	+1%		+1.0
543	Reinforced Internals	0.73	+1%	-6%	+1.0
