Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Radius,Weapon_Grenade_Speed
249,Boosted Heat Pump,1.0,+19%,,
250,Secondary Heat Pump,0.0,+10%,,
251,Efficient Gas Expander,0.01,,,+101%
252,Tertiary Launch System,0.03,,,+103%
253,Lubricated Release Mechanism,0.0,+10%,,
254,Boosted Injector Plugs,0.0,+10%,,
255,Tertiary Coils,0.111,+11%,,
256,Secondary Release Mechanism,0.0,+10%,,
257,Secondary Coils,0.111,,+12%,
258,Efficient Heat Pump,0.343,,,+134%
259,Boosted Heat Pump,0.0,,,+100%
260,Boosted Heat Pump,0.111,+11%,,
261,Secondary Compressor,0.889,,+19%,
262,Secondary Gas Expander,0.0,,,+100%
263,Boosted Launch System,0.333,+13%,,
264,Secondary Gas Expander,0.596,,,+159%
265,Tertiary Shell Loader,0.333,+13%,,
266,Secondary Heat Pump,0.03,,,+103%
267,Lubricated Compressor,0.0,,+11%,
268,Secondary Shell Loader,0.444,+14%,,
269,Tertiary Launch System,0.162,,,+116%
270,Boosted Injector Plugs,0.111,,+12%,
271,Secondary Core,0.0,,+11%,
272,Boosted Shell Loader,0.192,,,+119%
273,Boosted Compressor,0.03,,,+103%
274,Boosted Timing Loom,0.556,,+16%,
275,Tertiary Timing Loom,0.222,+12%,,
276,Tertiary Release Mechanism,0.667,,+17%,
277,Lubricated Shell Loader,0.01,,,+101%
278,Tertiary Compressor,0.0,,+11%,
279,Efficient Injector Plugs,0.444,+14%,,
280,Lubricated Gas Expander,0.0,,+11%,
281,Tertiary Core,0.444,+14%,,
282,Secondary Core,0.0,,,+100%
283,Secondary Release Mechanism,1.0,+19%,,
284,Secondary Core,0.0,+10%,,
285,Boosted Injector Plugs,0.111,+11%,,
286,Secondary Heat Pump,0.02,,,+102%
287,Secondary Timing Loom,0.778,,+18%,
288,Secondary Coils,0.0,+10%,,
289,Boosted Coils,0.444,+14%,,
290,Lubricated Launch System,0.0,,+11%,
291,Tertiary Launch System,0.222,+12%,,
292,Lubricated Coils,0.02,,,+102%
293,Tertiary Heat Pump,0.444,,+15%,
294,Lubricated Launch System,0.333,+13%,,
295,Lubricated Launch System,0.444,+14%,,
296,Secondary Shell Loader,0.0,,,+100%
297,Tertiary Gas Expander,0.0,,,+100%
298,Lubricated Coils,0.03,,,+103%
299,Tertiary Injector Plugs,0.0,,+11%,
300,Efficient Injector Plugs,0.0,+10%,,
301,Boosted Heat Pump,0.778,,+18%,
302,Efficient Release Mechanism,0.111,,+12%,
303,Efficient Compressor,0.0,,+11%,
304,Boosted Injector Plugs,1.0,,+20%,
305,Tertiary Shell Loader,0.0,,,+100%
306,Tertiary Release Mechanism,0.778,+17%,,
307,Tertiary Shell Loader,1.0,,+20%,
308,Boosted Coils,0.333,,+14%,
309,Efficient Coils,0.0,,+11%,
310,Lubricated Gas Expander,0.01,,,+101%
311,Lubricated Core,0.0,+10%,,
312,Efficient Core,0.333,+13%,,
313,Secondary Heat Pump,0.111,+11%,,
314,Efficient Gas Expander,0.667,+16%,,
315,Tertiary Core,0.0,+10%,,
316,Efficient Release Mechanism,0.889,+18%,,
317,Secondary Release Mechanism,0.525,,,+152%
318,Lubricated Gas Expander,0.444,+14%,,
319,Secondary Timing Loom,0.333,,+14%,
320,Lubricated Launch System,0.0,,,+100%
321,Secondary Gas Expander,0.0,,,+100%
322,Lubricated Coils,0.02,,,+102%
323,Tertiary Core,0.0,+10%,,
324,Lubricated Launch System,0.889,+18%,,
325,Efficient Launch System,0.333,+13%,,
326,Efficient Shell Loader,0.222,,+13%,
327,Tertiary Compressor,0.778,+17%,,
328,Boosted Heat Pump,0.222,,+13%,
329,Boosted Shell Loader,0.0,,,+100%
330,Efficient Shell Loader,0.0,,,+100%
331,Tertiary Injector Plugs,0.061,,,+106%
332,Boosted Launch System,0.333,,+14%,
333,Boosted Injector Plugs,0.889,,+19%,
334,Secondary Gas Expander,0.333,,+14%,
335,Efficient Timing Loom,0.333,,+14%,
336,Tertiary Gas Expander,0.556,+15%,,
337,Efficient Coils,0.667,,+17%,
338,Lubricated Coils,0.222,,+13%,
339,Secondary Launch System,0.455,,,+145%
340,Tertiary Heat Pump,0.0,,,+100%
341,Lubricated Coils,0.01,,,+101%
342,Tertiary Core,0.556,,+16%,
343,Boosted Heat Pump,0.111,,+12%,
344,Boosted Compressor,0.01,,,+101%
345,Tertiary Core,0.0,+10%,,
346,Tertiary Shell Loader,0.0,,+11%,
347,Boosted Heat Pump,0.0,+10%,,
348,Boosted Coils,0.222,,+13%,
349,Secondary Timing Loom,0.525,,,+152%
350,Efficient Compressor,0.0,,,+100%
351,Efficient Launch System,0.333,,+14%,
352,Boosted Shell Loader,0.0,,+11%,
353,Boosted Heat Pump,0.222,,+13%,
354,Boosted Core,0.01,,,+101%
355,Tertiary Compressor,0.444,,+15%,
356,Tertiary Injector Plugs,0.152,,,+115%
357,Lubricated Core,0.222,+12%,,
358,Secondary Launch System,0.0,,+11%,
359,Secondary Injector Plugs,0.444,,+15%,
360,Boosted Release Mechanism,0.01,,,+101%
361,Secondary Launch System,0.0,+10%,,
362,Tertiary Core,0.091,,,+109%
363,Secondary Compressor,0.0,,,+100%
364,Boosted Heat Pump,0.414,,,+141%
365,Tertiary Release Mechanism,0.556,+15%,,
366,Secondary Timing Loom,0.0,,,+100%
367,Lubricated Injector Plugs,0.0,,+11%,
368,Boosted Heat Pump,1.0,,+20%,
369,Lubricated Launch System,0.0,,+11%,
370,Efficient Gas Expander,0.01,,,+101%
371,Lubricated Compressor,1.0,+19%,,
372,Efficient Gas Expander,0.889,+18%,,
373,Tertiary Release Mechanism,0.0,,,+100%
374,Lubricated Gas Expander,0.111,,+12%,
375,Efficient Timing Loom,0.03,,,+103%
376,Tertiary Compressor,0.444,,+15%,
377,Lubricated Compressor,0.0,,,+100%
378,Secondary Gas Expander,0.0,,,+100%
379,Secondary Launch System,0.616,,,+161%
380,Tertiary Timing Loom,0.0,,,+100%
381,Lubricated Gas Expander,0.03,,,+103%
382,Lubricated Shell Loader,0.02,,,+102%
383,Secondary Gas Expander,0.444,,+15%,
384,Secondary Timing Loom,0.222,,+13%,
385,Secondary Release Mechanism,0.667,,+17%,
386,Tertiary Timing Loom,0.0,,,+100%
387,Boosted Coils,0.616,,,+161%
388,Boosted Launch System,0.0,,,+100%
389,Efficient Heat Pump,0.202,,,+120%
390,Secondary Heat Pump,0.0,,+11%,
391,Boosted Gas Expander,0.04,,,+104%
392,Lubricated Gas Expander,0.303,,,+130%
393,Boosted Launch System,0.667,,+17%,
394,Secondary Gas Expander,0.0,,+11%,
395,Boosted Injector Plugs,0.667,,+17%,
396,Secondary Core,0.0,,+11%,
397,Boosted Compressor,0.556,,+16%,
398,Secondary Coils,0.222,,+13%,
399,Tertiary Core,0.505,,,+150%
400,Tertiary Injector Plugs,0.0,,+11%,
401,Tertiary Injector Plugs,0.556,,+16%,
402,Boosted Gas Expander,0.0,,,+100%
403,Secondary Release Mechanism,0.101,,,+110%
404,Secondary Release Mechanism,0.0,,+11%,
405,Tertiary Release Mechanism,0.222,+12%,,
406,Tertiary Timing Loom,0.333,,+14%,
407,Tertiary Gas Expander,0.778,+17%,,
408,Lubricated Shell Loader,0.889,,+19%,
409,Boosted Heat Pump,0.889,+18%,,
410,Efficient Injector Plugs,0.0,,,+100%
411,Tertiary Launch System,0.323,,,+132%
412,Lubricated Core,0.273,,,+127%
413,Boosted Heat Pump,0.444,,+15%,
414,Efficient Core,1.0,+19%,,
415,Secondary Release Mechanism,0.556,,+16%,
416,Boosted Core,0.556,+15%,,
417,Boosted Shell Loader,0.03,,,+103%
418,Lubricated Release Mechanism,0.667,+16%,,
419,Boosted Coils,0.444,,+15%,
420,Tertiary Timing Loom,1.0,+19%,,
421,Secondary Launch System,0.061,,,+106%
422,Secondary Heat Pump,0.889,,+19%,
423,Lubricated Shell Loader,0.0,,+11%,
424,Secondary Compressor,0.02,,,+102%
425,Tertiary Timing Loom,0.0,,+11%,
426,Tertiary Heat Pump,0.263,,,+126%
427,Efficient Launch System,0.667,+16%,,
428,Secondary Gas Expander,0.0,,,+100%
429,Boosted Release Mechanism,0.0,+10%,,
430,Secondary Gas Expander,0.667,+16%,,
431,Lubricated Release Mechanism,0.556,,+16%,
432,Tertiary Coils,0.02,,,+102%
433,Tertiary Core,0.061,,,+106%
434,Lubricated Compressor,0.172,,,+117%
435,Boosted Timing Loom,1.0,+19%,,
436,Boosted Heat Pump,0.111,+11%,,
437,Boosted Core,0.778,+17%,,
438,Secondary Timing Loom,0.556,+15%,,
439,Efficient Coils,0.0,,+11%,
440,Lubricated Timing Loom,0.01,,,+101%
441,Tertiary Gas Expander,0.222,,+13%,
442,Tertiary Launch System,0.0,,+11%,
443,Lubricated Heat Pump,0.0,+10%,,
444,Efficient Launch System,0.667,,+17%,
445,Efficient Gas Expander,0.0,,+11%,
446,Tertiary Gas Expander,0.333,,+14%,
447,Tertiary Injector Plugs,0.0,,+11%,
448,Secondary Gas Expander,0.475,,,+147%
449,Lubricated Timing Loom,0.444,,+15%,
450,Tertiary Release Mechanism,0.0,,+11%,
451,Efficient Heat Pump,0.303,,,+130%
452,Lubricated Core,0.0,,,+100%
453,Efficient Core,0.04,,,+104%
454,Lubricated Release Mechanism,0.778,,+18%,
455,Secondary Injector Plugs,0.778,+17%,,
456,Tertiary Compressor,1.0,+19%,,
457,Tertiary Timing Loom,0.162,,,+116%
458,Boosted Timing Loom,0.0,,+11%,
459,Efficient Gas Expander,0.101,,,+110%
460,Lubricated Coils,0.242,,,+124%
461,Secondary Coils,0.444,+14%,,
462,Lubricated Launch System,0.556,,+16%,
463,Efficient Core,0.0,+10%,,
464,Secondary Launch System,0.111,+11%,,
465,Efficient Heat Pump,0.0,+10%,,
466,Lubricated Coils,0.222,+12%,,
467,Efficient Compressor,0.889,,+19%,
468,Secondary Launch System,0.0,+10%,,
469,Boosted Compressor,0.0,+10%,,
470,Efficient Coils,0.0,+10%,,
471,Boosted Timing Loom,0.556,,+16%,
472,Secondary Shell Loader,0.778,+17%,,
473,Secondary Shell Loader,0.0,,+11%,
474,Boosted Injector Plugs,0.0,,+11%,
475,Boosted Gas Expander,0.778,,+18%,
476,Secondary Timing Loom,0.0,,+11%,
477,Efficient Core,0.0,,,+100%
478,Efficient Coils,0.0,,+11%,
479,Tertiary Gas Expander,0.091,,,+109%
480,Lubricated Core,0.0,+10%,,
481,Boosted Compressor,0.0,+10%,,
482,Boosted Heat Pump,0.889,,+19%,
483,Tertiary Launch System,0.444,,+15%,
484,Secondary Launch System,0.0,,,+100%
485,Boosted Timing Loom,0.778,+17%,,
486,Boosted Compressor,0.778,,+18%,
487,Lubricated Compressor,0.0,+10%,,
488,Secondary Core,0.778,,+18%,
489,Efficient Shell Loader,0.0,,+11%,
490,Boosted Coils,0.889,+18%,,
491,Efficient Injector Plugs,0.0,,,+100%
492,Lubricated Injector Plugs,0.778,,+18%,
493,Secondary Timing Loom,0.778,,+18%,
494,Boosted Gas Expander,0.333,,+14%,
495,Boosted Core,0.333,+13%,,
496,Secondary Injector Plugs,0.0,,,+100%
497,Efficient Shell Loader,1.0,,+20%,
498,Efficient Gas Expander,0.0,,,+100%
499,Efficient Coils,0.0,,+11%,
500,Secondary Release Mechanism,0.667,+16%,,
501,Secondary Launch System,0.889,,+19%,
502,Secondary Release Mechanism,0.222,+12%,,
503,Boosted Injector Plugs,0.03,,,+103%
504,Boosted Compressor,0.0,,,+100%
505,Tertiary Heat Pump,0.0,+10%,,
506,Efficient Timing Loom,0.222,+12%,,
507,Tertiary Gas Expander,0.03,,,+103%
508,Lubricated Heat Pump,0.333,,+14%,
509,Secondary Compressor,0.556,,+16%,
510,Efficient Compressor,0.111,+11%,,
511,Efficient Timing Loom,0.0,+10%,,
512,Boosted Launch System,0.0,,,+100%
513,Secondary Release Mechanism,0.444,+14%,,
514,Lubricated Timing Loom,0.97,,,+196%
515,Efficient Shell Loader,0.111,+11%,,
516,Secondary Injector Plugs,0.0,+10%,,
517,Tertiary Timing Loom,0.0,+10%,,
518,Lubricated Coils,0.01,,,+101%
519,Boosted Gas Expander,0.111,+11%,,
520,Boosted Launch System,0.687,,,+168%
521,Tertiary Coils,0.616,,,+161%
522,Boosted Compressor,0.0,+10%,,
523,Tertiary Coils,0.0,,+11%,
524,Tertiary Launch System,0.04,,,+104%
525,Lubricated Core,0.121,,,+112%
526,Efficient Release Mechanism,0.0,+10%,,
527,Efficient Injector Plugs,1.0,+19%,,
528,Lubricated Timing Loom,0.101,,,+110%
529,Boosted Launch System,0.131,,,+113%
530,Secondary Coils,0.778,+17%,,
531,Tertiary Gas Expander,0.0,,,+100%
532,Tertiary Heat Pump,0.333,,+14%,
533,Efficient Coils,0.0,,+11%,
534,Efficient Core,0.0,,,+100%
535,Secondary Injector Plugs,0.333,+13%,,
536,Efficient Release Mechanism,0.333,+13%,,
537,Lubricated Core,0.0,,+11%,
538,Boosted Shell Loader,0.0,+10%,,
539,Tertiary Release Mechanism,0.091,,,+109%
540,Lubricated Heat Pump,0.0,,,+100%
541,Tertiary Compressor,0.556,,+16%,
542,Lubricated Gas Expander,0.778,,+18%,
543,Tertiary Coils,0.444,,+15%,
544,Lubricated Core,0.192,,,+119%
545,Secondary Release Mechanism,0.0,,,+100%
546,Secondary Launch System,0.0,,+11%,
547,Tertiary Coils,0.697,,,+169%
548,Lubricated Coils,0.515,,,+151%
549,Secondary Injector Plugs,0.253,,,+125%
550,Lubricated Gas Expander,0.0,,+11%,
551,Tertiary Core,0.778,,+18%,
552,Boosted Release Mechanism,0.071,,,+107%
553,Secondary Release Mechanism,0.889,,+19%,
554,Boosted Timing Loom,0.111,,+12%,
555,Tertiary Launch System,0.556,,+16%,
556,Efficient Launch System,0.111,+11%,,
557,Efficient Core,0.0,,,+100%
558,Boosted Compressor,0.222,+12%,,
559,Tertiary Compressor,0.667,+16%,,
560,Secondary Launch System,0.111,+11%,,
561,Secondary Core,0.0,,+11%,
562,Secondary Injector Plugs,0.01,,,+101%
563,Tertiary Compressor,0.0,+10%,,
564,Lubricated Timing Loom,0.222,+12%,,
565,Efficient Gas Expander,0.444,,+15%,
566,Efficient Shell Loader,0.04,,,+104%
567,Lubricated Launch System,0.02,,,+102%
568,Secondary Shell Loader,0.444,,+15%,
569,Boosted Shell Loader,0.02,,,+102%
570,Boosted Release Mechanism,0.121,,,+112%
571,Secondary Release Mechanism,0.162,,,+116%
572,Tertiary Release Mechanism,0.667,+16%,,
573,Efficient Gas Expander,0.141,,,+114%
574,Secondary Launch System,0.03,,,+103%
575,Boosted Gas Expander,0.0,,+11%,
576,Boosted Release Mechanism,0.0,,+11%,
577,Secondary Release Mechanism,0.0,,,+100%
578,Boosted Injector Plugs,0.253,,,+125%
579,Lubricated Injector Plugs,0.222,+12%,,
580,Efficient Launch System,0.333,,+14%,
581,Secondary Gas Expander,0.333,+13%,,
582,Boosted Timing Loom,0.667,,+17%,
583,Efficient Timing Loom,0.778,+17%,,
584,Efficient Injector Plugs,0.0,,,+100%
585,Efficient Injector Plugs,0.02,,,+102%
586,Lubricated Timing Loom,0.03,,,+103%
587,Efficient Timing Loom,0.0,+10%,,
588,Efficient Shell Loader,1.0,+19%,,
589,Efficient Compressor,0.061,,,+106%
590,Secondary Shell Loader,0.111,+11%,,
591,Lubricated Release Mechanism,0.0,+10%,,
592,Lubricated Coils,0.333,+13%,,
593,Secondary Core,0.0,,+11%,
594,Lubricated Compressor,0.0,+10%,,
595,Efficient Coils,0.889,,+19%,
596,Secondary Release Mechanism,0.111,+11%,,
597,Lubricated Release Mechanism,0.111,+11%,,
598,Secondary Core,0.778,,+18%,
599,Secondary Core,0.444,,+15%,
600,Efficient Release Mechanism,0.0,,+11%,
601,Efficient Core,0.0,,,+100%
602,Boosted Heat Pump,0.051,,,+105%
603,Secondary Launch System,0.667,,+17%,
604,Boosted Compressor,0.889,+18%,,
605,Lubricated Heat Pump,0.111,+11%,,
606,Secondary Heat Pump,0.03,,,+103%
607,Secondary Core,0.101,,,+110%
608,Boosted Timing Loom,0.96,,,+195%
609,Efficient Shell Loader,0.0,+10%,,
610,Lubricated Timing Loom,0.556,,+16%,
611,Efficient Injector Plugs,0.01,,,+101%
612,Secondary Core,0.111,+11%,,
613,Efficient Core,0.04,,,+104%
614,Boosted Release Mechanism,0.051,,,+105%
615,Efficient Release Mechanism,0.444,+14%,,
616,Lubricated Release Mechanism,0.02,,,+102%
617,Secondary Injector Plugs,0.111,+11%,,
618,Efficient Shell Loader,0.444,+14%,,
619,Tertiary Core,0.0,,,+100%
