Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Bounce,Weapon_Grenade_Radius,Weapon_Grenade_Speed
173,Secondary Shell Loader,0.5,,+33%,,
174,Tertiary Timing Loom,0.0,,,+1%,
175,Boosted Heat Pump,0.0,,,,+100%
176,Lubricated Injector Plugs,0.303,,,,+160%
177,Secondary Timing Loom,0.056,+11%,,,
178,Efficient Injector Plugs,0.0,,,,+100%
179,Boosted Shell Loader,0.5,,+33%,,
180,Lubricated Release Mechanism,0.5,,+33%,,
181,Efficient Shell Loader,0.278,+15%,,,
182,Efficient Core,0.875,,+33%,+4%,
183,Boosted Launch System,0.0,,,+1%,
184,Lubricated Core,0.5,,+33%,,
185,Lubricated Timing Loom,0.5,,+33%,,
186,Tertiary Launch System,0.0,,,,+100%
187,Lubricated Injector Plugs,0.27,,,+3%,+104%
188,Efficient Core,0.5,,+33%,,+100%
189,Secondary Release Mechanism,0.0,,,+1%,
190,Efficient Release Mechanism,0.403,+15%,,+2%,
191,Efficient Compressor,0.25,,,+3%,
192,Efficient Coils,0.569,+18%,,+2%,
193,Tertiary Core,0.875,,+33%,+4%,
194,Lubricated Coils,0.025,,,,+105%
195,Secondary Injector Plugs,0.318,,,,+163%
196,Boosted Injector Plugs,0.5,,+33%,,
197,Efficient Timing Loom,0.25,,,+3%,
198,Efficient Gas Expander,0.0,,,+1%,
199,Lubricated Release Mechanism,0.25,,,+3%,
200,Efficient Compressor,0.5,,+33%,,
201,Efficient Timing Loom,0.056,+11%,,,
202,Boosted Timing Loom,0.005,,,,+101%
203,Efficient Release Mechanism,0.5,+19%,,,
204,Efficient Core,0.0,,,,+100%
205,Secondary Shell Loader,0.308,,,,+161%
206,Boosted Release Mechanism,0.444,+18%,,,
207,Tertiary Gas Expander,0.25,,,+3%,
208,Efficient Timing Loom,0.944,+18%,+33%,,
209,Boosted Shell Loader,0.5,,,+5%,
210,Boosted Compressor,0.106,,,,+121%
211,Boosted Core,0.5,,+33%,,
212,Secondary Gas Expander,0.5,,+33%,,
213,Lubricated Release Mechanism,0.5,,+33%,,
214,Efficient Compressor,0.5,,+33%,,
215,Lubricated Shell Loader,0.111,+12%,,,
216,Tertiary Coils,0,,,,
217,Efficient Injector Plugs,0.5,,+33%,,
218,Secondary Core,0.5,,+33%,,
219,Efficient Release Mechanism,0.125,,,+2%,
220,Boosted Launch System,0.101,,,,+120%
221,Lubricated Launch System,0.5,,,+5%,
222,Boosted Injector Plugs,0.5,,+33%,,
223,Tertiary Injector Plugs,0.5,,+33%,,
224,Lubricated Heat Pump,0.131,,,,+126%
225,Secondary Release Mechanism,0.5,,+33%,,
226,Efficient Heat Pump,0.5,,+33%,,+100%
227,Secondary Launch System,0.444,+18%,,,
228,Secondary Coils,0.338,+12%,,,+145%
229,Efficient Timing Loom,0.005,,,,+101%
230,Boosted Launch System,0.5,,+33%,,
231,Boosted Compressor,0.01,,,,+102%
232,Secondary Gas Expander,0.0,+10%,,,
233,Lubricated Launch System,0.0,+10%,,,
234,Tertiary Heat Pump,0.5,,+33%,,
235,Secondary Gas Expander,0.25,,,+3%,
236,Tertiary Injector Plugs,0.5,,+33%,,
237,Boosted Release Mechanism,0.056,+11%,,,
238,Boosted Core,0.5,,+33%,+1%,
239,Tertiary Coils,0.051,,,,+110%
240,Boosted Coils,0.01,,,,+102%
241,Efficient Gas Expander,0.5,,+33%,,
242,Boosted Timing Loom,0.5,,+33%,,
243,Tertiary Timing Loom,0.015,,,,+103%
244,Lubricated Coils,0.5,,+33%,,
245,Tertiary Timing Loom,0.0,+10%,,,
246,Lubricated Injector Plugs,0.091,,,,+118%
247,Efficient Coils,0.25,,,+3%,
248,Secondary Gas Expander,0.505,,+33%,,+101%
249,Boosted Heat Pump,0.111,+12%,,,
250,Secondary Heat Pump,0.5,+10%,+33%,,
251,Efficient Gas Expander,0.5,,+33%,,
252,Tertiary Launch System,0.167,+13%,,,
253,Lubricated Release Mechanism,0.5,,+33%,,
254,Boosted Injector Plugs,0.25,,,+3%,
255,Tertiary Coils,0.5,,+33%,,
256,Secondary Release Mechanism,0.0,,,+1%,
257,Secondary Coils,0.5,,+33%,,
258,Efficient Heat Pump,0.444,+18%,,,
259,Boosted Heat Pump,0.5,,+33%,,
260,Boosted Heat Pump,0.25,,,+3%,
261,Secondary Compressor,0.0,,,+1%,
262,Secondary Gas Expander,0.0,,,+1%,
263,Boosted Launch System,0.0,+10%,,,+100%
264,Secondary Gas Expander,0.0,,,+1%,
265,Tertiary Shell Loader,0.167,+13%,,,
266,Secondary Heat Pump,0.005,,,,+101%
267,Lubricated Compressor,0.5,,+33%,,
268,Secondary Shell Loader,0.0,+10%,,,
269,Tertiary Launch System,0.25,,,+3%,+100%
270,Boosted Injector Plugs,0.5,,+33%,,
271,Secondary Core,0.5,,+33%,,
272,Boosted Shell Loader,0.056,+11%,,,
273,Boosted Compressor,0.125,+10%,,+2%,
274,Boosted Timing Loom,0.125,,,+2%,
275,Tertiary Timing Loom,0.125,,,+2%,
276,Tertiary Release Mechanism,0.75,,+33%,+3%,
277,Lubricated Shell Loader,0.02,,,,+104%
278,Tertiary Compressor,0.5,,+33%,+1%,
279,Efficient Injector Plugs,0.0,+10%,,,
280,Lubricated Gas Expander,0.5,,+33%,,
281,Tertiary Core,0.0,+10%,,,
282,Secondary Core,0.5,,+33%,,
283,Secondary Release Mechanism,0.0,+10%,,,
284,Secondary Core,0.5,,+33%,,
285,Boosted Injector Plugs,0.343,,,,+168%
286,Secondary Heat Pump,0.125,,,+2%,
287,Secondary Timing Loom,0.5,,,+5%,
288,Secondary Coils,0.116,,,,+123%
289,Boosted Coils,0.389,+17%,,,
290,Lubricated Launch System,0.5,,+33%,,
291,Tertiary Launch System,0.0,+10%,,,
292,Lubricated Coils,0.5,,+33%,,
293,Tertiary Heat Pump,0.0,,,+1%,
294,Lubricated Launch System,0.667,+13%,+33%,,
295,Lubricated Launch System,0.389,+17%,,,+100%
296,Secondary Shell Loader,0.46,,,+1%,+191%
297,Tertiary Gas Expander,0.5,,,+5%,+100%
298,Lubricated Coils,0.5,+19%,,,
299,Tertiary Injector Plugs,0.0,,,,+100%
300,Efficient Injector Plugs,0.0,,,,+100%
301,Boosted Heat Pump,0.569,+18%,,+2%,
302,Efficient Release Mechanism,0.5,,+33%,,
303,Efficient Compressor,0.0,,,,+100%
304,Boosted Injector Plugs,0.5,,,+5%,
305,Tertiary Shell Loader,0.25,,,+3%,
306,Tertiary Release Mechanism,0.0,+10%,,,
307,Tertiary Shell Loader,0.75,,+33%,+3%,
308,Boosted Coils,0.125,,,+2%,
309,Efficient Coils,0.5,,,+5%,
310,Lubricated Gas Expander,0.5,,+33%,,
311,Lubricated Core,0.5,,+33%,,
312,Efficient Core,0.056,+11%,,,
313,Secondary Heat Pump,0.5,,+33%,,
314,Efficient Gas Expander,0.0,+10%,,,
315,Tertiary Core,0.035,,,,+107%
316,Efficient Release Mechanism,0.172,+13%,,,+101%
317,Secondary Release Mechanism,0.125,,,+2%,+100%
318,Lubricated Gas Expander,0.5,+19%,,,
319,Secondary Timing Loom,0.0,,,+1%,
320,Lubricated Launch System,0.5,,+33%,,
321,Secondary Gas Expander,0.514,+17%,,+2%,
322,Lubricated Coils,0.0,,,,+100%
323,Tertiary Core,0.5,,+33%,,
324,Lubricated Launch System,0.278,+15%,,,
325,Efficient Launch System,0.005,+10%,,,+101%
326,Efficient Shell Loader,0.0,,,+1%,
327,Tertiary Compressor,0.056,+11%,,,
328,Boosted Heat Pump,0.0,,,+1%,
329,Boosted Shell Loader,0.0,,,+1%,
330,Efficient Shell Loader,0.125,,,+2%,
331,Tertiary Injector Plugs,0.0,,,,+100%
332,Boosted Launch System,0.25,,,+3%,
333,Boosted Injector Plugs,0.0,,,+1%,
334,Secondary Gas Expander,0.0,,,+1%,
335,Efficient Timing Loom,0.515,,+33%,,+103%
336,Tertiary Gas Expander,0.056,+11%,,,
337,Efficient Coils,0.056,,,,+111%
338,Lubricated Coils,0.0,,,+1%,
339,Secondary Launch System,0.369,,,,+173%
340,Tertiary Heat Pump,0.5,,+33%,,
341,Lubricated Coils,0.5,,+33%,,
342,Tertiary Core,0.75,,+33%,+3%,
343,Boosted Heat Pump,0.5,,+33%,,
344,Boosted Compressor,0.263,,,,+152%
345,Tertiary Core,0.5,,+33%,,
346,Tertiary Shell Loader,0.5,,+33%,,
347,Boosted Heat Pump,0.375,,,+4%,
348,Boosted Coils,0.25,,,+3%,
349,Secondary Timing Loom,0.419,,,,+183%
350,Efficient Compressor,0.01,,,,+102%
351,Efficient Launch System,0.0,,,,+100%
352,Boosted Shell Loader,0.5,,+33%,,
353,Boosted Heat Pump,0.0,,,,+100%
354,Boosted Core,0.5,,+33%,,
355,Tertiary Compressor,0.336,,,+3%,+117%
356,Tertiary Injector Plugs,0.111,+12%,,,
357,Lubricated Core,0.5,,+33%,,
358,Secondary Launch System,0.116,,,,+123%
359,Secondary Injector Plugs,0.0,,,+1%,
360,Boosted Release Mechanism,0.03,,,,+106%
361,Secondary Launch System,0.5,,+33%,,
362,Tertiary Core,0.0,+10%,,,
363,Secondary Compressor,0.525,,+33%,,+105%
364,Boosted Heat Pump,0.136,,,,+127%
365,Tertiary Release Mechanism,0.333,+16%,,,
366,Secondary Timing Loom,0.096,+10%,,,+119%
367,Lubricated Injector Plugs,0.5,,+33%,,
368,Boosted Heat Pump,0.0,,,+1%,
369,Lubricated Launch System,0.5,,+33%,,
370,Efficient Gas Expander,0.5,,+33%,,
371,Lubricated Compressor,0.0,+10%,,,
372,Efficient Gas Expander,0.0,+10%,,,
373,Tertiary Release Mechanism,0.066,+11%,,,+102%
374,Lubricated Gas Expander,0.5,,+33%,,
375,Efficient Timing Loom,0.005,,,,+101%
376,Tertiary Compressor,0.0,,,+1%,
377,Lubricated Compressor,0.0,+10%,,,
378,Secondary Gas Expander,0.5,,+33%,,
379,Secondary Launch System,0.167,,,,+133%
380,Tertiary Timing Loom,0.01,,,,+102%
381,Lubricated Gas Expander,0.005,,,,+101%
382,Lubricated Shell Loader,0.5,,+33%,,
383,Secondary Gas Expander,0.0,,,+1%,
384,Secondary Timing Loom,0.5,,+33%,,
385,Secondary Release Mechanism,0.0,,,,+100%
386,Tertiary Timing Loom,0.5,,+33%,,+100%
387,Boosted Coils,0.167,,,,+133%
388,Boosted Launch System,0.126,,,,+125%
389,Efficient Heat Pump,0.222,+14%,,,
390,Secondary Heat Pump,0.5,,+33%,,
391,Boosted Gas Expander,0.5,,,+5%,
392,Lubricated Gas Expander,0.01,,,,+102%
393,Boosted Launch System,0.01,,,,+102%
394,Secondary Gas Expander,0.5,,+33%,+1%,
395,Boosted Injector Plugs,0,,,,
396,Secondary Core,0.5,,+33%,,
397,Boosted Compressor,0.5,,+33%,+1%,
398,Secondary Coils,0.0,,,+1%,
399,Tertiary Core,0.778,,+33%,,+155%
400,Tertiary Injector Plugs,0.0,+10%,,+1%,
401,Tertiary Injector Plugs,0.125,,,+2%,
402,Boosted Gas Expander,0.5,,+33%,,
403,Secondary Release Mechanism,0.5,+19%,,,
404,Secondary Release Mechanism,0.5,,+33%,,
405,Tertiary Release Mechanism,0.5,,+33%,,
406,Tertiary Timing Loom,0.0,+10%,,,
407,Tertiary Gas Expander,0.5,+19%,,,
408,Lubricated Shell Loader,0.061,,,,+112%
409,Boosted Heat Pump,0.556,+11%,+33%,,
410,Efficient Injector Plugs,1.0,,+33%,,+199%
411,Tertiary Launch System,0.25,,,+3%,
412,Lubricated Core,0.0,,,,+100%
413,Boosted Heat Pump,0.01,,,,+102%
414,Efficient Core,0.222,+14%,,,
415,Secondary Release Mechanism,0.0,,,+1%,
416,Boosted Core,0.414,+10%,,,+182%
417,Boosted Shell Loader,0.03,,,,+106%
418,Lubricated Release Mechanism,0.056,+11%,,,
419,Boosted Coils,0.375,,,+4%,
420,Tertiary Timing Loom,0.833,+16%,+33%,,
421,Secondary Launch System,0.5,,,+5%,
422,Secondary Heat Pump,0.5,,+33%,,
423,Lubricated Shell Loader,0.625,,+33%,+2%,
424,Secondary Compressor,0.5,,+33%,,
425,Tertiary Timing Loom,0.5,,+33%,,
426,Tertiary Heat Pump,0.444,+18%,,,
427,Efficient Launch System,0.889,+17%,+33%,,
428,Secondary Gas Expander,0.283,+15%,,,+101%
429,Boosted Release Mechanism,0.0,,,+1%,
430,Secondary Gas Expander,0.167,+13%,,,
431,Lubricated Release Mechanism,0.389,+17%,,,
432,Tertiary Coils,0.5,,+33%,,
433,Tertiary Core,0.0,+10%,,,
434,Lubricated Compressor,0.04,,,,+108%
435,Boosted Timing Loom,0.111,+12%,,,
436,Boosted Heat Pump,0.125,,,+2%,
437,Boosted Core,0.111,+12%,,,
438,Secondary Timing Loom,0.056,+11%,,,
439,Efficient Coils,0.0,,,+1%,
440,Lubricated Timing Loom,0.5,,+33%,,
441,Tertiary Gas Expander,0.278,+15%,,,
442,Tertiary Launch System,0.273,,,+1%,+154%
443,Lubricated Heat Pump,0.015,,,,+103%
444,Efficient Launch System,0.125,,,+2%,
445,Efficient Gas Expander,0.141,,,,+128%
446,Tertiary Gas Expander,0.0,,,,+100%
447,Tertiary Injector Plugs,0.0,,,+1%,
448,Secondary Gas Expander,0.0,,,+1%,
449,Lubricated Timing Loom,0.0,,,+1%,
450,Tertiary Release Mechanism,0.0,,,+1%,
451,Efficient Heat Pump,0.111,,,,+122%
452,Lubricated Core,0.02,+10%,,,+104%
453,Efficient Core,0.01,,,,+102%
454,Lubricated Release Mechanism,0.5,,,+5%,
455,Secondary Injector Plugs,0.111,+12%,,,
456,Tertiary Compressor,0.111,+12%,,,
457,Tertiary Timing Loom,0.0,,,+1%,
458,Boosted Timing Loom,1.0,+19%,,+5%,
459,Efficient Gas Expander,0.0,+10%,,,
460,Lubricated Coils,0.0,+10%,,,
461,Secondary Coils,0.111,+12%,,,
462,Lubricated Launch System,0.25,,,+3%,
463,Efficient Core,0.061,,,,+112%
464,Secondary Launch System,0.015,,,,+103%
465,Efficient Heat Pump,0.5,,+33%,,
466,Lubricated Coils,0.833,+16%,+33%,,
467,Efficient Compressor,0.025,,,,+105%
468,Secondary Launch System,0.5,,+33%,,
469,Boosted Compressor,0.5,,+33%,,
470,Efficient Coils,0.601,+19%,,,+120%
471,Boosted Timing Loom,0.5,,,+5%,+100%
472,Secondary Shell Loader,0.0,+10%,,,
473,Secondary Shell Loader,0.5,,+33%,,
474,Boosted Injector Plugs,0.0,,,+1%,
475,Boosted Gas Expander,0.25,,,+3%,
476,Secondary Timing Loom,0.5,,+33%,,
477,Efficient Core,0.375,+10%,,+4%,
478,Efficient Coils,0.5,,+33%,,
479,Tertiary Gas Expander,0.056,+11%,,,
480,Lubricated Core,0.0,,,,+100%
481,Boosted Compressor,0.5,,+33%,,
482,Boosted Heat Pump,0.025,,,,+105%
483,Tertiary Launch System,0.125,,,+2%,
484,Secondary Launch System,0.0,,,,+100%
485,Boosted Timing Loom,0.0,+10%,,,
486,Boosted Compressor,0.0,,,+1%,
487,Lubricated Compressor,0.0,,,,+100%
488,Secondary Core,0.278,+15%,,,
489,Efficient Shell Loader,0.875,,+33%,+4%,
490,Boosted Coils,0.5,+19%,,,
491,Efficient Injector Plugs,0.5,,,+5%,
492,Lubricated Injector Plugs,0.035,+10%,,,+107%
493,Secondary Timing Loom,0.0,,,+1%,
494,Boosted Gas Expander,0.0,,,+1%,
495,Boosted Core,0.0,+10%,,,
496,Secondary Injector Plugs,0.5,,+33%,,
497,Efficient Shell Loader,0.375,,,+4%,
498,Efficient Gas Expander,0.5,,+33%,,
499,Efficient Coils,0.005,,,,+101%
500,Secondary Release Mechanism,0.056,+11%,,,
501,Secondary Launch System,0.222,+14%,,,
502,Secondary Release Mechanism,0.0,+10%,,,
503,Boosted Injector Plugs,0.5,,+33%,,
504,Boosted Compressor,0.5,,+33%,,
505,Tertiary Heat Pump,0.5,,+33%,,
506,Efficient Timing Loom,0.0,+10%,,,
507,Tertiary Gas Expander,0.5,,+33%,,+100%
508,Lubricated Heat Pump,0.0,,,,+100%
509,Secondary Compressor,0.5,,,+5%,
510,Efficient Compressor,0.486,+12%,,+4%,
511,Efficient Timing Loom,0.0,,,+1%,
512,Boosted Launch System,0.5,,+33%,,
513,Secondary Release Mechanism,0.167,+13%,,,
514,Lubricated Timing Loom,0.0,,,,+100%
515,Efficient Shell Loader,0.5,,+33%,,
516,Secondary Injector Plugs,0.0,,,,+100%
517,Tertiary Timing Loom,0.005,,,,+101%
518,Lubricated Coils,0.121,,,,+124%
519,Boosted Gas Expander,0.5,,+33%,,
520,Boosted Launch System,0.101,,,,+120%
521,Tertiary Coils,0.056,+11%,,,
522,Boosted Compressor,0.5,,+33%,,
523,Tertiary Coils,0.75,,+33%,+3%,
524,Tertiary Launch System,0.005,,,,+101%
525,Lubricated Core,0.0,,,,+100%
526,Efficient Release Mechanism,0.0,,,+1%,
527,Efficient Injector Plugs,0.389,+17%,,,
528,Lubricated Timing Loom,0.375,,,+4%,
529,Boosted Launch System,0.03,,,,+106%
530,Secondary Coils,0.222,+14%,,,
531,Tertiary Gas Expander,0.571,,+33%,,+114%
532,Tertiary Heat Pump,0.5,,,+5%,
533,Efficient Coils,0.5,,,+5%,
534,Efficient Core,0.086,,,,+117%
535,Secondary Injector Plugs,0.056,+11%,,,
536,Efficient Release Mechanism,0.0,+10%,,,
537,Lubricated Core,0.5,,,+5%,
538,Boosted Shell Loader,0.5,+10%,+33%,,
539,Tertiary Release Mechanism,0.0,+10%,,,
540,Lubricated Heat Pump,0.015,,,,+103%
541,Tertiary Compressor,0.5,,,+5%,
542,Lubricated Gas Expander,0.0,,,+1%,
543,Tertiary Coils,0.25,+10%,,+3%,
544,Lubricated Core,0.056,+11%,,,
545,Secondary Release Mechanism,0.5,,+33%,,
546,Secondary Launch System,0.5,,+33%,,
547,Tertiary Coils,0.126,,,,+125%
548,Lubricated Coils,0.5,+19%,,,
549,Secondary Injector Plugs,0.0,,,,+100%
550,Lubricated Gas Expander,0.0,,,+1%,
551,Tertiary Core,0.0,,,+1%,
552,Boosted Release Mechanism,0.0,,,,+100%
553,Secondary Release Mechanism,0.5,,+33%,+1%,
554,Boosted Timing Loom,0.202,,,,+140%
555,Tertiary Launch System,0.0,,,+1%,
556,Efficient Launch System,0.015,,,,+103%
557,Efficient Core,0.5,,+33%,,
558,Boosted Compressor,0.5,,+33%,,
559,Tertiary Compressor,1.0,+19%,+33%,,
560,Secondary Launch System,0.056,+11%,,,+100%
561,Secondary Core,0.389,+17%,,+1%,
562,Secondary Injector Plugs,0.5,,+33%,,
563,Tertiary Compressor,0.222,+14%,,+1%,
564,Lubricated Timing Loom,0.0,+10%,,,
565,Efficient Gas Expander,0.02,,,,+104%
566,Efficient Shell Loader,0.222,+14%,,,
567,Lubricated Launch System,0.02,,,+1%,+104%
568,Secondary Shell Loader,0.5,,,+5%,
569,Boosted Shell Loader,0.375,,,+4%,+100%
570,Boosted Release Mechanism,0.475,,,,+194%
571,Secondary Release Mechanism,0.056,+11%,,,
572,Tertiary Release Mechanism,0.333,+16%,,,
573,Efficient Gas Expander,0.0,,,,+100%
574,Secondary Launch System,0.48,,,,+195%
575,Boosted Gas Expander,0.111,,,,+122%
576,Boosted Release Mechanism,0.285,,,+3%,+107%
577,Secondary Release Mechanism,0.0,,,,+100%
578,Boosted Injector Plugs,0.0,,,,+100%
579,Lubricated Injector Plugs,0.5,+19%,,,
580,Efficient Launch System,0.0,,,+1%,
