sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ReloadTime,Weapon_Projectile_ClipSize
39,Overloaded Solidifier,0.593,,+8%,,+12.0
40,Overloaded Resonator,0.333,+1%,,,+12.0
41,Overloaded Projector,0.0,+1%,,-2%,
42,Waveform Battery,0.037,,+2%,-2%,
43,Overloaded Projector,0.0,+1%,,-2%,
44,Surge Excitor,0.296,+1%,+9%,,
45,Surge Capture Cell,0.37,,+2%,-2%,+12.0
46,Overloaded Battery,0.333,+1%,,,+12.0
47,Atomic Solidifier,0.407,,+3%,,+12.0
48,Waveform Excitor,0.333,,+1%,,+12.0
49,Flow Resonator,0.333,,,-2%,+12.0
50,Flow Amplifier,0.0,+1%,,-2%,
51,Atomic Resonator,0.037,,+2%,-2%,
52,Flow Capture Cell,0.417,,,-4%,+12.0
53,Atomic Solidifier,0.333,,,-2%,+12.0
54,Atomic Battery,0.407,,+3%,-2%,+12.0
55,Atomic Resonator,0.667,+2%,,-2%,+12.0
56,Atomic Accelerator,0.333,,,-2%,+12.0
57,Overloaded Projector,0.333,+1%,,,+12.0
58,Waveform Amplifier,0.333,+1%,,,+12.0
59,Surge Resonator,0.333,,,-2%,+12.0
60,Surge Battery,0.037,,+2%,-2%,
61,Overloaded Projector,0.0,+1%,,-2%,
62,Overloaded Capture Cell,0.37,,+2%,,+12.0
63,Atomic Energiser,0.292,+1%,,-9%,
64,Atomic Projector,0.185,,+6%,-2%,
65,Flow Capture Cell,0.037,+1%,+2%,,
66,Waveform Energiser,0.333,+1%,,,+12.0
67,Flow Resonator,0.37,,+2%,,+12.0
68,Flow Solidifier,0.333,+1%,,,+12.0
69,Waveform Resonator,0.333,+1%,,,+12.0
70,Waveform Projector,0.37,,+2%,,+12.0
71,Surge Accelerator,0.074,,+3%,-2%,
72,Waveform Injector,0.375,,,-3%,+12.0
73,Waveform Amplifier,0.37,,+2%,,+12.0
74,Flow Capture Cell,0.12,,+2%,-4%,
75,Waveform Excitor,0.333,+1%,,,+12.0
76,Flow Capture Cell,0.333,,,-2%,+12.0
77,Surge Resonator,0.37,+1%,+2%,,+12.0
78,Waveform Capture Cell,0.625,,,-9%,+12.0
79,Overloaded Amplifier,0.037,,+2%,-2%,
80,Overloaded Energiser,0.333,+1%,,,+12.0
81,Waveform Resonator,0.519,,+6%,,+12.0
82,Flow Battery,0.148,,+5%,-2%,
83,Flow Energiser,0.333,+1%,,,+12.0
84,Overloaded Energiser,0.37,,+2%,,+12.0
85,Atomic Injector,0.333,+1%,,,+12.0
86,Surge Battery,0.333,+1%,,,+12.0
87,Waveform Excitor,0.519,+1%,+6%,,+12.0
88,Atomic Battery,0.037,+1%,+2%,,
89,Waveform Resonator,0.37,,+2%,,+12.0
90,Atomic Projector,0.0,+1%,,-2%,
91,Flow Solidifier,0.199,,+3%,-5%,
92,Overloaded Projector,0.333,+1%,,,+12.0
93,Overloaded Accelerator,0.583,,,-8%,+12.0
94,Surge Resonator,0.0,+1%,,-2%,
95,Overloaded Solidifier,0.074,+1%,+3%,,
96,Overloaded Excitor,0.333,+1%,,,+12.0
97,Waveform Solidifier,0.0,+1%,,-2%,
98,Surge Projector,0.333,+1%,,-2%,+12.0
99,Atomic Energiser,0.333,,,-2%,+12.0
100,Atomic Capture Cell,0.333,+1%,,,+12.0
101,Overloaded Amplifier,0.037,,+2%,-2%,
102,Waveform Solidifier,0.074,+1%,+3%,,
103,Surge Injector,0.333,+1%,,,+12.0
104,Surge Capture Cell,0.37,,+2%,,+12.0
105,Surge Solidifier,0.417,,,-4%,+12.0
106,Surge Solidifier,0.333,,,-2%,+12.0
107,Surge Battery,0.037,+1%,+2%,,
108,Overloaded Battery,0.037,,+2%,-2%,
109,Surge Injector,0.079,,+2%,-3%,
110,Waveform Capture Cell,0.333,+1%,,,+12.0
111,Flow Accelerator,0.37,,+2%,,+12.0
112,Overloaded Solidifier,0.0,+1%,+1%,,
113,Atomic Resonator,0.333,+1%,,,+12.0
114,Flow Capture Cell,0.125,+1%,,-5%,
115,Overloaded Capture Cell,0.153,,+4%,-3%,
116,Overloaded Projector,0.037,,+2%,-2%,
117,Atomic Capture Cell,0.375,,,-3%,+12.0
118,Overloaded Projector,0.333,+1%,,,+12.0
119,Surge Resonator,0.333,,,-2%,+12.0
120,Overloaded Excitor,0.037,,+2%,-2%,
121,Overloaded Projector,0.375,+2%,,-3%,
122,Overloaded Resonator,0.037,,+2%,-2%,
123,Surge Projector,0.333,,,-2%,+12.0
124,Flow Resonator,0.407,,+3%,,+12.0
125,Waveform Energiser,0.0,+1%,,-2%,
126,Flow Accelerator,0.185,+1%,+6%,,
127,Overloaded Injector,0.0,+1%,,-2%,
128,Surge Energiser,0.25,+1%,,-8%,
129,Atomic Energiser,0.523,,+5%,-3%,+12.0
130,Atomic Projector,0.333,,,-2%,+12.0
131,Surge Solidifier,0.116,,+3%,-3%,
132,Surge Projector,0.333,,,-2%,+12.0
133,Flow Projector,0.333,+1%,,,+12.0
134,Overloaded Amplifier,0.037,+1%,+2%,,
135,Waveform Energiser,0.0,+1%,,-2%,
136,Overloaded Capture Cell,0.37,,+2%,-2%,+12.0
137,Surge Energiser,0.037,+1%,+2%,,
138,Overloaded Excitor,0.375,,+10%,-3%,
139,Surge Amplifier,0.0,+1%,,-2%,
140,Overloaded Accelerator,0.148,+1%,+5%,,
141,Flow Battery,0.037,+1%,+2%,,
142,Overloaded Accelerator,0.417,,,-4%,+12.0
143,Atomic Capture Cell,0.333,+1%,,,+12.0
144,Surge Energiser,0.625,,,-9%,+12.0
145,Atomic Injector,0.042,+1%,,-3%,
146,Waveform Excitor,0.333,,,-2%,+12.0
147,Surge Resonator,0.148,+1%,+5%,,
148,Atomic Solidifier,0.111,,+4%,-2%,
149,Flow Amplifier,0.333,,,-2%,+12.0
150,Atomic Excitor,0.333,+1%,,,+12.0
151,Flow Amplifier,0.037,,+2%,-2%,
152,Flow Solidifier,0.444,,+4%,,+12.0
153,Atomic Battery,0.162,,+2%,-5%,
154,Atomic Projector,0.333,,,-2%,+12.0
155,Waveform Projector,0.333,+1%,,,+12.0
156,Flow Resonator,0.185,,+6%,-2%,
157,Surge Excitor,0.074,+1%,+3%,-2%,
158,Flow Battery,0.037,,+2%,-2%,
159,Surge Solidifier,0.375,,,-3%,+12.0
160,Flow Solidifier,0.148,+1%,+5%,,
161,Flow Resonator,0.083,+1%,,-4%,
162,Flow Capture Cell,0.505,,+9%,-7%,
163,Overloaded Excitor,0.333,+1%,,,+12.0
164,Atomic Solidifier,0.37,+1%,+2%,,+12.0
165,Surge Resonator,0.333,+1%,,,+12.0
166,Surge Capture Cell,0.037,+1%,+2%,,
167,Overloaded Battery,0.333,+1%,,,+12.0
168,Overloaded Accelerator,0.37,,+2%,,+12.0
169,Atomic Energiser,0.333,,,-2%,+12.0
170,Waveform Injector,0.037,+1%,+2%,,
171,Waveform Accelerator,0.519,,+6%,,+12.0
172,Flow Injector,0.444,,+4%,,+12.0
173,Overloaded Energiser,0.037,+1%,+2%,,
174,Flow Projector,0.333,,,-2%,+12.0
175,Surge Capture Cell,0.333,+1%,,,+12.0
176,Atomic Accelerator,0.37,,+2%,,+12.0
177,Overloaded Projector,0.037,+1%,+2%,,
178,Waveform Accelerator,0.333,+1%,,,+12.0
179,Surge Energiser,0.037,,+2%,-2%,
180,Atomic Injector,0.037,+1%,+2%,,
181,Waveform Energiser,0.333,+1%,,,+12.0
182,Waveform Resonator,0.667,,+10%,-2%,+12.0
183,Surge Amplifier,0.042,+1%,,-3%,
184,Atomic Resonator,0.037,+1%,+2%,,
185,Atomic Projector,0.259,+1%,+8%,,
186,Flow Amplifier,0.333,,,-2%,+12.0
187,Atomic Accelerator,0.519,,+6%,-2%,+12.0
188,Waveform Resonator,0.37,+1%,+2%,,+12.0
189,Overloaded Injector,0.417,,,-4%,+12.0
190,Waveform Injector,0.333,+1%,,-2%,+12.0
191,Waveform Excitor,0.333,,,-2%,+12.0
192,Waveform Battery,0.0,+1%,+1%,-2%,
193,Flow Resonator,0.074,+1%,+3%,-2%,
194,Atomic Battery,0.375,,,-3%,+12.0
195,Overloaded Accelerator,0.519,,+6%,,+12.0
196,Surge Accelerator,0.037,,+2%,-2%,
197,Waveform Projector,0.0,+1%,,-2%,
198,Waveform Solidifier,0.208,+1%,,-7%,
199,Atomic Injector,0.037,,+2%,-2%,
200,Waveform Excitor,0.37,,+2%,,+12.0
201,Waveform Projector,0.259,+1%,+8%,,
202,Surge Projector,0.37,,+2%,,+12.0
203,Waveform Injector,0.074,+1%,+3%,,
204,Waveform Resonator,0.444,,+4%,,+12.0
205,Overloaded Energiser,0.556,,+7%,,+12.0
206,Surge Injector,0.0,+1%,,-2%,
207,Flow Solidifier,0.0,+1%,,-2%,
208,Waveform Projector,0.37,+1%,+2%,,+12.0
209,Surge Energiser,0.333,,,-2%,+12.0
210,Surge Excitor,0.37,,+2%,,+12.0
211,Surge Resonator,0.37,,+2%,,+12.0
212,Overloaded Solidifier,0.556,,+7%,,+12.0
213,Atomic Injector,0.037,,+2%,-2%,
214,Waveform Excitor,0.37,,+2%,,+12.0
215,Atomic Energiser,0.333,+1%,,,+12.0
216,Flow Battery,0.37,,+2%,-10%,
217,Waveform Accelerator,0.037,,+2%,-2%,
218,Overloaded Resonator,0.037,,+2%,-2%,
219,Waveform Injector,0.333,,,-2%,+12.0
220,Surge Amplifier,0.444,,+4%,,+12.0
221,Atomic Amplifier,0.333,,,-2%,+12.0
222,Surge Accelerator,0.037,,+2%,-2%,
223,Flow Accelerator,0.116,,+3%,-3%,
224,Atomic Capture Cell,0.667,,+10%,,+12.0
225,Overloaded Injector,0.593,,+8%,,+12.0
226,Waveform Capture Cell,0.37,,+2%,-2%,+12.0
227,Overloaded Amplifier,0.0,+1%,,-2%,
228,Overloaded Battery,0.667,+1%,+10%,,+12.0
229,Waveform Projector,0.333,+1%,,,+12.0
230,Surge Amplifier,0.259,,+8%,-2%,
231,Surge Excitor,0.333,,,-2%,+12.0
232,Overloaded Solidifier,0.0,+1%,,-2%,
233,Atomic Amplifier,0.0,+1%,,-2%,
234,Flow Capture Cell,0.556,,+7%,,+12.0
235,Overloaded Solidifier,0.0,+1%,,-2%,
236,Flow Accelerator,0.37,,+2%,,+12.0
237,Surge Injector,0.333,+1%,,,+12.0
238,Surge Resonator,0.917,,+10%,-8%,+12.0
239,Flow Battery,0.407,,+3%,,+12.0
240,Surge Battery,0.417,,,-4%,+12.0
241,Waveform Solidifier,0.329,,+2%,-9%,
242,Surge Projector,0.12,,+2%,-4%,
243,Flow Projector,0.37,,+2%,,+12.0
244,Atomic Battery,0.259,,+8%,-2%,
245,Flow Projector,0.333,+1%,,,+12.0
246,Atomic Accelerator,0.37,,+2%,,+12.0
247,Waveform Battery,0.222,,+7%,-2%,
248,Overloaded Solidifier,0.62,,+2%,-8%,+12.0
249,Surge Capture Cell,0.083,+1%,,-4%,
250,Overloaded Capture Cell,0.37,+1%,+2%,,+12.0
251,Waveform Solidifier,0.667,,+10%,,+12.0
252,Flow Amplifier,0.333,+1%,,,+12.0
253,Atomic Injector,0.185,+1%,+6%,,
254,Surge Accelerator,0.0,+1%,,-2%,
255,Flow Battery,0.037,+1%,+2%,,
256,Overloaded Injector,0.042,+1%,,-3%,
257,Overloaded Battery,0.259,,+8%,-2%,
258,Waveform Capture Cell,0.042,+1%,,-3%,
259,Surge Capture Cell,0.37,,+2%,,+12.0
260,Surge Capture Cell,0.0,+1%,,-2%,
261,Overloaded Excitor,0.12,,+2%,-4%,
262,Overloaded Solidifier,0.125,+1%,,-5%,
263,Surge Amplifier,0.667,+1%,+10%,,+12.0
264,Overloaded Solidifier,0.333,,,-2%,+12.0
265,Flow Energiser,0.083,+1%,,-4%,
266,Overloaded Capture Cell,0.407,,+3%,,+12.0
267,Atomic Excitor,0.148,,+5%,-2%,
268,Overloaded Energiser,0.333,+1%,,,+12.0
269,Flow Amplifier,0.333,+1%,,-2%,+12.0
270,Surge Accelerator,0.556,,+7%,,+12.0
271,Overloaded Resonator,0.403,,+4%,-9%,
272,Surge Energiser,0.0,+1%,,-2%,
273,Surge Excitor,0.333,+1%,,-2%,+12.0
274,Surge Projector,0.037,,+2%,-2%,
275,Flow Projector,0.0,+1%,,-2%,
276,Flow Injector,0.037,+1%,+2%,-2%,
277,Atomic Energiser,0.333,,,-2%,+12.0
278,Flow Excitor,0.12,+1%,+2%,-4%,
279,Waveform Accelerator,0.333,+1%,,,+12.0
280,Atomic Solidifier,0.37,,+2%,,+12.0
281,Flow Resonator,0.185,+1%,+6%,,
282,Overloaded Resonator,0.407,,+3%,,+12.0
283,Overloaded Injector,0.037,+1%,+2%,,
284,Overloaded Resonator,0.037,+1%,+2%,,
285,Surge Accelerator,0.333,+1%,,,+12.0
286,Overloaded Capture Cell,0.333,,,-2%,+12.0
287,Overloaded Projector,0.333,,+10%,-2%,
288,Overloaded Battery,0.333,+1%,,,+12.0
289,Surge Battery,0.333,+1%,,,+12.0
290,Atomic Amplifier,0.074,,+3%,-2%,
291,Flow Amplifier,0.333,+1%,,,+12.0
292,Atomic Battery,0.593,,+8%,,+12.0
293,Flow Capture Cell,0.079,,+2%,-3%,
294,Atomic Amplifier,0.37,+1%,+2%,,+12.0
295,Atomic Amplifier,0.667,+1%,,-10%,+12.0
296,Overloaded Energiser,0.417,+1%,,-4%,+12.0
297,Flow Solidifier,0.333,+1%,,-2%,+12.0
298,Atomic Battery,0.333,+2%,,-2%,
299,Flow Accelerator,0.333,+1%,,,+12.0
300,Waveform Accelerator,0.333,+1%,,,+12.0
301,Surge Capture Cell,0.222,+1%,+7%,-2%,
302,Waveform Injector,0.343,,+8%,-4%,
303,Waveform Excitor,0.333,+1%,,,+12.0
304,Surge Accelerator,0.037,,+2%,-2%,
305,Flow Energiser,0.333,,,-2%,+12.0
306,Flow Injector,0.037,+1%,+2%,,
307,Flow Energiser,0.519,,+6%,-2%,+12.0
308,Surge Battery,0.148,,+5%,-2%,
309,Waveform Battery,0.0,+1%,,-2%,
310,Atomic Solidifier,0.556,,+7%,,+12.0
311,Atomic Resonator,0.111,+1%,+4%,,
312,Waveform Resonator,0.333,+1%,,,+12.0
313,Overloaded Capture Cell,0.111,+1%,+4%,,
314,Waveform Solidifier,0.333,+1%,,,+12.0
315,Flow Resonator,0.333,+1%,,,+12.0
316,Waveform Injector,0.458,+1%,,-5%,+12.0
317,Overloaded Injector,0.333,+1%,,-2%,+12.0
318,Atomic Solidifier,0.481,+2%,+5%,,
319,Overloaded Projector,0.185,,+6%,-2%,
320,Atomic Amplifier,0.37,,+2%,,+12.0
321,Overloaded Solidifier,0.333,+1%,,-2%,+12.0
322,Atomic Battery,0.333,,,-2%,+12.0
323,Flow Resonator,0.037,+1%,+2%,,
324,Atomic Amplifier,0.037,+1%,+2%,,
325,Waveform Amplifier,0.333,+1%,,-2%,+12.0
326,Waveform Energiser,0.329,,+2%,-9%,
327,Flow Excitor,0.083,+1%,,-4%,
328,Surge Capture Cell,0.472,,+7%,-8%,
329,Surge Energiser,0.417,+2%,,-4%,
330,Waveform Energiser,0.0,+1%,,-2%,
331,Flow Accelerator,0.667,,,-10%,+12.0
332,Surge Amplifier,0.037,,+2%,-2%,
333,Surge Accelerator,0.338,,+9%,-3%,
334,Overloaded Solidifier,0.111,,+4%,-2%,
335,Waveform Projector,0.63,+1%,+9%,,+12.0
336,Flow Solidifier,0.037,+1%,+2%,,
337,Waveform Battery,0.481,,+5%,,+12.0
338,Atomic Battery,0.148,,+5%,-2%,
339,Overloaded Amplifier,0.444,,+4%,,+12.0
340,Flow Capture Cell,0.37,,+2%,,+12.0
341,Atomic Battery,0.37,,+2%,,+12.0
342,Flow Resonator,0.037,+1%,+2%,-2%,
343,Surge Capture Cell,0.148,,+5%,-2%,
344,Surge Excitor,0.333,,,-2%,+12.0
345,Flow Resonator,0.037,+1%,+2%,,
346,Flow Energiser,0.231,,+5%,-4%,
347,Surge Capture Cell,0.0,+1%,,-2%,
348,Surge Battery,0.333,,,-2%,+12.0
349,Overloaded Projector,0.407,,+3%,,+12.0
350,Waveform Excitor,0.333,+1%,,,+12.0
351,Waveform Amplifier,0.375,,,-3%,+12.0
352,Surge Energiser,0.37,,+2%,,+12.0
353,Surge Capture Cell,0.63,,+9%,,+12.0
354,Surge Resonator,0.407,,+3%,,+12.0
355,Flow Excitor,0.333,+1%,,-2%,+12.0
356,Flow Accelerator,0.0,+1%,,-2%,
357,Atomic Resonator,0.037,+1%,+2%,,
358,Overloaded Amplifier,0.333,,,-2%,+12.0
359,Overloaded Accelerator,0.074,,+3%,-2%,
360,Surge Injector,0.333,+1%,,,+12.0
361,Overloaded Amplifier,0.074,+1%,+3%,,
362,Flow Resonator,0.0,+1%,,-2%,
363,Overloaded Excitor,0.519,,+6%,-2%,+12.0
364,Surge Capture Cell,0.63,,+9%,,+12.0
365,Flow Injector,0.333,+1%,,,+12.0
366,Overloaded Projector,0.333,+1%,,-2%,+12.0
367,Atomic Accelerator,0.421,,+9%,-5%,
368,Surge Capture Cell,0.079,,+2%,-3%,
369,Atomic Amplifier,0.37,,+2%,,+12.0
370,Waveform Solidifier,0.519,,+6%,,+12.0
371,Atomic Excitor,0.0,+1%,,-2%,
372,Waveform Solidifier,0.333,+1%,,,+12.0
373,Flow Injector,0.407,+1%,+3%,,+12.0
374,Atomic Solidifier,0.12,,+2%,-4%,
375,Waveform Projector,0.333,,+1%,,+12.0
376,Flow Excitor,0.222,,+7%,-2%,
377,Atomic Excitor,0.667,+1%,,-10%,+12.0
378,Overloaded Solidifier,0.37,,+2%,,+12.0
379,Overloaded Amplifier,0.333,,,-2%,+12.0
380,Flow Projector,0.333,,,-2%,+12.0
381,Atomic Solidifier,0.333,,,-2%,+12.0
382,Atomic Energiser,0.37,,+2%,,+12.0
383,Overloaded Solidifier,0.037,,+2%,-2%,
384,Overloaded Projector,0.074,,+3%,-2%,
385,Overloaded Injector,0.556,,+7%,,+12.0
386,Flow Projector,0.556,,+7%,-2%,+12.0
387,Surge Battery,0.407,,+3%,,+12.0
388,Surge Amplifier,0.333,+1%,,,+12.0
389,Waveform Capture Cell,0.0,+1%,,-2%,
390,Overloaded Capture Cell,0.037,,+2%,-2%,
391,Surge Solidifier,0.333,,,-2%,+12.0
392,Atomic Solidifier,0.37,,+2%,,+12.0
393,Surge Amplifier,0.333,,,-2%,+12.0
394,Overloaded Solidifier,0.417,+1%,+10%,-4%,
395,Surge Accelerator,0.37,,+2%,-10%,
396,Overloaded Resonator,0.245,,+2%,-7%,
397,Surge Excitor,0.37,,+2%,-2%,+12.0
398,Overloaded Battery,0.625,,,-9%,+12.0
399,Flow Resonator,0.616,,+3%,-7%,+12.0
400,Flow Accelerator,0.037,+1%,+2%,-2%,
401,Flow Accelerator,0.037,,+2%,-2%,
402,Surge Solidifier,0.37,,+2%,,+12.0
403,Overloaded Injector,0.25,+1%,,-8%,
404,Overloaded Injector,0.347,,+7%,-5%,
405,Flow Injector,0.074,+1%,+3%,,
406,Flow Projector,0.167,+1%,,-6%,
407,Flow Solidifier,0.37,+2%,+2%,,
408,Atomic Energiser,0.37,,+2%,,+12.0
409,Surge Capture Cell,0.037,+1%,+2%,-2%,
410,Waveform Accelerator,0.444,,+4%,-2%,+12.0
411,Flow Amplifier,0.333,,,-2%,+12.0
412,Atomic Resonator,0.333,,,-2%,+12.0
413,Surge Capture Cell,0.417,,,-4%,+12.0
414,Waveform Resonator,0.037,+1%,+2%,,
415,Overloaded Injector,0.162,,+2%,-5%,
416,Surge Resonator,0.333,+1%,,-2%,+12.0
417,Surge Energiser,0.333,+1%,,,+12.0
418,Atomic Injector,0.333,+1%,,,+12.0
419,Surge Battery,0.074,,+3%,-2%,
420,Flow Projector,0.37,+1%,+2%,,+12.0
421,Overloaded Amplifier,0.333,,,-2%,+12.0
422,Overloaded Capture Cell,0.889,,+7%,-10%,+12.0
423,Atomic Energiser,0.037,+1%,+2%,-2%,
424,Overloaded Excitor,0.37,,+2%,,+12.0
425,Flow Projector,0.111,,+4%,-2%,
426,Flow Capture Cell,0.292,+1%,,-9%,
427,Waveform Amplifier,0.162,+1%,+2%,-5%,
428,Overloaded Solidifier,0.37,+1%,+2%,,+12.0
429,Surge Injector,0.042,+1%,,-3%,
430,Overloaded Solidifier,0.333,+1%,,,+12.0
431,Atomic Injector,0.0,+1%,,-2%,
432,Flow Battery,0.407,,+3%,,+12.0
433,Flow Resonator,0.333,+1%,,,+12.0
434,Atomic Excitor,0.481,,+5%,,+12.0
435,Surge Projector,0.037,+1%,+2%,,
436,Surge Capture Cell,0.0,+1%,,-2%,
437,Surge Resonator,0.037,+1%,+2%,,
438,Overloaded Projector,0.037,+1%,+2%,,
439,Waveform Battery,0.083,+1%,,-4%,
440,Atomic Projector,0.37,,+2%,,+12.0
441,Flow Solidifier,0.333,+1%,,,+12.0
442,Flow Amplifier,0.542,+1%,,-7%,+12.0
443,Atomic Capture Cell,0.333,+1%,,,+12.0
444,Waveform Amplifier,0.037,,+2%,-2%,
445,Waveform Solidifier,0.333,+1%,,,+12.0
446,Flow Solidifier,0.444,,+4%,,+12.0
447,Flow Accelerator,0.042,+1%,,-3%,
448,Overloaded Solidifier,0.5,,,-6%,+12.0
449,Atomic Projector,0.12,,+2%,-4%,
450,Flow Injector,0.583,,,-8%,+12.0
451,Waveform Capture Cell,0.407,,+3%,,+12.0
452,Atomic Resonator,0.519,+1%,+6%,,+12.0
453,Waveform Resonator,0.458,,,-5%,+12.0
454,Atomic Injector,0.333,,,-2%,+12.0
455,Overloaded Accelerator,0.333,+1%,,,+12.0
456,Flow Excitor,0.037,+1%,+2%,,
457,Flow Projector,0.375,,,-3%,+12.0
458,Surge Projector,0.259,+1%,+8%,-2%,
459,Waveform Solidifier,0.0,+1%,,-2%,
460,Atomic Battery,0.333,+1%,,,+12.0
461,Overloaded Battery,0.074,+1%,+3%,,
462,Atomic Amplifier,0.037,,+2%,-2%,
463,Waveform Resonator,0.333,+1%,,,+12.0
464,Overloaded Amplifier,0.333,+1%,,,+12.0
465,Waveform Capture Cell,0.037,+1%,+2%,,
466,Atomic Battery,0.37,+1%,+2%,,+12.0
467,Waveform Excitor,0.333,,,-2%,+12.0
468,Overloaded Amplifier,0.037,+1%,+2%,,
469,Surge Excitor,0.222,+1%,+7%,,
470,Waveform Battery,0.792,+2%,,-5%,+12.0
471,Surge Projector,0.333,+1%,,-2%,+12.0
472,Overloaded Energiser,0.148,+1%,+5%,,
473,Overloaded Energiser,0.037,,+2%,-2%,
474,Surge Accelerator,0.333,,,-2%,+12.0
475,Surge Solidifier,0.037,,+2%,-2%,
476,Overloaded Projector,0.037,,+2%,-2%,
477,Waveform Resonator,0.333,+1%,,-2%,+12.0
478,Waveform Battery,0.185,,+6%,-2%,
479,Flow Solidifier,0.333,+1%,,,+12.0
480,Atomic Resonator,0.333,+1%,,,+12.0
481,Surge Excitor,0.074,+1%,+3%,,
482,Surge Capture Cell,0.375,,,-3%,+12.0
483,Flow Amplifier,0.333,,,-2%,+12.0
484,Overloaded Amplifier,0.333,,,-2%,+12.0
485,Surge Projector,0.0,+1%,,-2%,
486,Surge Excitor,0.375,,,-3%,+12.0
487,Atomic Excitor,0.333,+1%,,,+12.0
488,Overloaded Resonator,0.0,+1%,,-2%,
489,Waveform Energiser,0.037,+1%,+2%,-2%,
490,Surge Battery,0.333,+1%,,,+12.0
491,Waveform Accelerator,0.0,+1%,,-2%,
492,Atomic Accelerator,0.37,+1%,+2%,,+12.0
493,Overloaded Projector,0.264,,+7%,-3%,
494,Surge Solidifier,0.38,,+9%,-4%,
495,Surge Resonator,0.148,+1%,+5%,,
496,Overloaded Accelerator,0.37,,+2%,,+12.0
497,Waveform Energiser,0.333,,,-2%,+12.0
498,Waveform Solidifier,0.37,,+2%,,+12.0
499,Waveform Battery,0.333,,,-2%,+12.0
500,Overloaded Injector,0.148,+1%,+5%,,
501,Overloaded Amplifier,0.333,+1%,,,+12.0
502,Overloaded Injector,0.037,+1%,+2%,,
503,Surge Accelerator,0.444,,+4%,,+12.0
504,Surge Excitor,0.37,,+2%,,+12.0
505,Flow Capture Cell,0.037,+1%,+2%,,
506,Waveform Projector,0.037,+1%,+2%,,
507,Flow Solidifier,0.481,,+5%,-2%,+12.0
508,Atomic Capture Cell,0.593,,+8%,,+12.0
509,Overloaded Excitor,0.037,,+2%,-2%,
510,Waveform Excitor,0.037,+1%,+2%,-2%,
511,Waveform Projector,0.0,+1%,,-2%,
512,Surge Amplifier,0.37,,+2%,,+12.0
513,Overloaded Injector,0.037,+1%,+2%,,
514,Atomic Projector,0.37,,+2%,,+12.0
515,Waveform Energiser,0.148,+1%,+5%,,
516,Overloaded Accelerator,0.333,+1%,,,+12.0
517,Flow Projector,0.333,+1%,,,+12.0
518,Atomic Battery,0.333,+1%,,,+12.0
519,Surge Solidifier,0.296,+1%,+9%,,
520,Surge Amplifier,0.37,,+2%,,+12.0
521,Flow Battery,0.0,+1%,,-2%,
522,Surge Excitor,0.037,+1%,+2%,,
523,Flow Battery,0.037,+1%,+2%,-2%,
524,Flow Amplifier,0.37,,+2%,,+12.0
525,Atomic Resonator,0.37,,+2%,,+12.0
526,Waveform Injector,0.0,+1%,,-2%,
527,Waveform Accelerator,0.333,+1%,,,+12.0
528,Atomic Projector,0.333,,,-2%,+12.0
529,Surge Amplifier,0.37,,+2%,,+12.0
530,Overloaded Battery,0.125,+1%,,-5%,
531,Flow Solidifier,0.708,,+10%,-3%,+12.0
