Seed	Name	Perfection	Weapon_Scan_Radius	Weapon_Scan_Discovery_Creature	Weapon_Scan_Discovery_Flora
124	Analog Scope	0.103		+1,205%	
125	Overclocked Prediction Unit	0.118			+1,235%
126	Analog Computer	0.4	+9%		
127	Waveform Processor	0.017			+1,033%
128	Low-Heat Prediction Unit	0.2	+7%		
129	Precision Prediction Unit	0.128			+1,256%
130	Precision Sweep Ray	0.489		+1,977%	
131	Low-Heat Detector	0.163		+1,326%	
132	Low-Heat Sweep Ray	0.038			+1,075%
133	Analog Sweep Ray	0.115			+1,229%
134	Waveform Analysis Unit	0.1	+6%		
135	Overclocked Prediction Unit	0.385			+1,769%
136	Waveform Probe	0.914		+1,874%	+1,953%
137	Low-Heat Prediction Unit	0.1	+6%		
138	Waveform Siphon	0.405		+1,809%	
139	Low-Heat Analysis Unit	0.441		+1,881%	
140	Waveform Computer	0.1	+6%		
141	Analog Visualiser	0.2	+7%		
142	Waveform Computer	0.028			+1,056%
143	Precision Probe	0.3	+8%		
144	Low-Heat Prediction Unit	0.322		+1,643%	
145	Precision Processor	0.344			+1,687%
146	Overclocked Siphon	0.372		+1,743%	
147	Low-Heat Scope	0.2	+7%		
148	Precision Detector	0.221		+1,441%	
149	Analog Analysis Unit	0.429			+1,857%
150	Precision Siphon	0.2	+7%		
151	Analog Analysis Unit	0.019		+1,037%	
152	Analog Detector	0.1			+1,199%
153	Precision Visualiser	0.193		+1,386%	
154	Precision Sweep Ray	0.001			+1,001%
155	Overclocked Sweep Ray	0.2	+7%		
156	Analog Scope	0.189		+1,378%	
157	Low-Heat Siphon	0.392	+7%	+1,384%	
158	Analog Visualiser	0.39		+1,779%	
159	Low-Heat Detector	0.025			+1,049%
160	Analog Detector	0.1	+6%		
161	Analog Scope	0.052		+1,104%	
162	Analog Probe	0.177		+1,353%	
163	Waveform Siphon	0.1	+6%		
164	Precision Detector	0.148	+6%	+1,095%	
165	Low-Heat Scope	0.231			+1,461%
166	Low-Heat Probe	0.1	+6%		
167	Waveform Visualiser	0.112			+1,223%
168	Waveform Computer	0.354			+1,707%
169	Precision Prediction Unit	0.275			+1,550%
170	Overclocked Processor	0.3	+8%		
171	Overclocked Computer	0.277			+1,553%
172	Analog Processor	0.056			+1,112%
173	Waveform Prediction Unit	0.1	+6%		
174	Analog Sweep Ray	0.003			+1,006%
175	Low-Heat Probe	0.003		+1,005%	
176	Precision Computer	0.358			+1,716%
177	Waveform Sweep Ray	0.2	+7%		
178	Overclocked Computer	0.031		+1,061%	
179	Low-Heat Prediction Unit	0.002		+1,003%	
180	Precision Processor	0.1	+6%		
181	Overclocked Prediction Unit	0.4	+9%		
182	Overclocked Scope	0.517		+1,060%	+1,972%
183	Low-Heat Analysis Unit	0.1	+6%		
184	Precision Scope	0.1	+6%		
185	Precision Sweep Ray	0.1	+6%		
186	Analog Analysis Unit	0.492		+1,983%	
187	Precision Computer	0.128		+1,256%	
188	Overclocked Scope	0.424			+1,847%
189	Waveform Processor	0.05			+1,100%
190	Overclocked Processor	0.248	+7%		+1,095%
191	Overclocked Siphon	0.025		+1,050%	
192	Overclocked Visualiser	0.809	+10%	+1,617%	
193	Analog Scope	0.478		+1,955%	
194	Precision Visualiser	0.304		+1,608%	
195	Waveform Computer	0.303			+1,605%
196	Low-Heat Computer	0.043		+1,086%	
197	Overclocked Sweep Ray	0.049			+1,097%
198	Overclocked Detector	0.088		+1,175%	
199	Precision Processor	0.16		+1,319%	
200	Overclocked Siphon	0.003		+1,005%	
201	Overclocked Sweep Ray	0.2	+7%		
202	Low-Heat Sweep Ray	0.146			+1,292%
203	Overclocked Processor	0.3	+8%		
204	Overclocked Scope	0.247			+1,493%
205	Waveform Prediction Unit	0.281			+1,562%
206	Low-Heat Processor	0.249			+1,498%
207	Analog Detector	0.1	+6%		
208	Overclocked Sweep Ray	0.105	+6%		+1,009%
209	Low-Heat Prediction Unit	0.011			+1,022%
210	Low-Heat Siphon	0.348			+1,695%
211	Low-Heat Scope	0.0			+1,000%
212	Waveform Detector	0.054			+1,107%
213	Precision Processor	0.0		+1,000%	
214	Overclocked Siphon	0.0			+1,000%
215	Precision Prediction Unit	0.2	+7%		
216	Analog Visualiser	0.277		+1,553%	
217	Overclocked Computer	0.053		+1,105%	
218	Waveform Scope	0.078		+1,155%	
219	Overclocked Processor	0.352		+1,704%	
220	Low-Heat Analysis Unit	0.476			+1,951%
221	Precision Analysis Unit	0.27			+1,540%
222	Low-Heat Computer	0.02		+1,040%	
223	Analog Computer	0.048		+1,095%	
224	Precision Probe	0.185			+1,369%
225	Waveform Processor	0.007			+1,014%
226	Overclocked Probe	0.119		+1,002%	+1,235%
227	Waveform Analysis Unit	0.476		+1,952%	
228	Waveform Visualiser	0.1	+6%		
229	Overclocked Sweep Ray	0.053			+1,105%
230	Low-Heat Analysis Unit	0.123		+1,245%	
231	Low-Heat Siphon	0.175			+1,349%
232	Waveform Detector	0.4	+9%		
233	Precision Analysis Unit	0.18		+1,359%	
234	Analog Probe	0.113			+1,225%
235	Waveform Detector	0.1	+6%		
236	Analog Computer	0.03			+1,059%
237	Low-Heat Processor	0.241			+1,482%
238	Low-Heat Scope	0.144		+1,287%	
239	Analog Visualiser	0.18			+1,359%
240	Low-Heat Visualiser	0.419			+1,838%
241	Overclocked Detector	0.027		+1,053%	
242	Low-Heat Sweep Ray	0.019		+1,038%	
243	Analog Sweep Ray	0.385			+1,770%
244	Precision Visualiser	0.075		+1,149%	
245	Analog Sweep Ray	0.3	+8%		
246	Precision Computer	0.463			+1,925%
247	Overclocked Visualiser	0.187		+1,373%	
248	Waveform Detector	0.262		+1,126%	+1,397%
249	Low-Heat Probe	0.5	+10%		
250	Waveform Probe	0.1	+6%		
251	Overclocked Detector	0.07			+1,140%
252	Analog Analysis Unit	0.13			+1,259%
253	Precision Processor	0.1	+6%		
254	Low-Heat Computer	0.1	+6%		
255	Analog Visualiser	0.1	+6%		
256	Waveform Processor	0.1	+6%		
257	Waveform Visualiser	0.084		+1,167%	
258	Overclocked Probe	0.359			+1,718%
259	Low-Heat Probe	0.001			+1,002%
260	Low-Heat Probe	0.1	+6%		
261	Waveform Siphon	0.42		+1,840%	
262	Waveform Detector	0.009			+1,017%
263	Low-Heat Analysis Unit	0.2	+7%		
264	Waveform Detector	0.428			+1,856%
265	Analog Prediction Unit	0.2	+7%		
266	Waveform Probe	0.141			+1,282%
267	Precision Siphon	0.02		+1,040%	
268	Waveform Prediction Unit	0.3	+8%		
269	Analog Analysis Unit	0.571	+8%		+1,541%
270	Low-Heat Computer	0.07		+1,140%	
271	Waveform Scope	0.024		+1,048%	
272	Low-Heat Prediction Unit	0.29			+1,579%
273	Low-Heat Siphon	0.141			+1,281%
274	Low-Heat Sweep Ray	0.286		+1,572%	
275	Analog Sweep Ray	0.2	+7%		
276	Analog Processor	0.646	+8%	+1,691%	
277	Precision Prediction Unit	0.061			+1,121%
278	Analog Siphon	0.122	+6%	+1,043%	
279	Overclocked Computer	0.3	+8%		
280	Precision Detector	0.028		+1,056%	
281	Analog Scope	0.3	+8%		
282	Waveform Scope	0.048			+1,096%
283	Waveform Processor	0.5	+10%		
284	Waveform Scope	0.1	+6%		
285	Low-Heat Computer	0.1	+6%		
286	Waveform Probe	0.122			+1,243%
287	Waveform Sweep Ray	0.352		+1,703%	
288	Waveform Visualiser	0.1	+6%		
289	Low-Heat Visualiser	0.3	+8%		
290	Precision Analysis Unit	0.035		+1,069%	
291	Analog Analysis Unit	0.2	+7%		
292	Precision Visualiser	0.12			+1,239%
293	Analog Probe	0.203		+1,405%	
294	Precision Analysis Unit	0.381	+7%		+1,361%
295	Precision Analysis Unit	0.664	+8%		+1,727%
296	Waveform Prediction Unit	0.001			+1,001%
297	Analog Detector	0.103	+6%		+1,005%
298	Precision Visualiser	0.137			+1,273%
299	Analog Computer	0.024		+1,048%	
300	Overclocked Computer	0.1	+6%		
301	Low-Heat Probe	0.38		+1,759%	
302	Overclocked Processor	0.083		+1,165%	
303	Overclocked Siphon	0.007		+1,013%	
304	Low-Heat Computer	0.488		+1,975%	
305	Analog Prediction Unit	0.04			+1,079%
306	Analog Processor	0.4	+9%		
307	Analog Prediction Unit	0.746		+1,983%	+1,507%
308	Low-Heat Visualiser	0.153		+1,306%	
309	Overclocked Visualiser	0.004		+1,007%	
310	Precision Detector	0.092			+1,184%
311	Precision Scope	0.1	+6%		
312	Overclocked Scope	0.2	+7%		
313	Waveform Probe	0.1	+6%		
314	Overclocked Detector	0.4	+9%		
315	Analog Scope	0.1	+6%		
316	Overclocked Processor	0.5	+10%		
317	Waveform Processor	0.412			+1,824%
318	Precision Detector	0.3	+8%		
319	Waveform Sweep Ray	0.175		+1,350%	
320	Precision Analysis Unit	0.054			+1,108%
321	Waveform Detector	0.234	+7%		+1,068%
322	Precision Visualiser	0.111			+1,221%
323	Analog Scope	0.1	+6%		
324	Precision Analysis Unit	0.5	+10%		
325	Overclocked Analysis Unit	0.238	+7%		+1,075%
326	Overclocked Prediction Unit	0.129		+1,257%	
327	Analog Siphon	0.4	+9%		
328	Low-Heat Probe	0.143		+1,285%	
329	Low-Heat Prediction Unit	0.022			+1,043%
330	Overclocked Prediction Unit	0.012			+1,024%
331	Analog Computer	0.18			+1,359%
332	Low-Heat Analysis Unit	0.172		+1,343%	
333	Low-Heat Computer	0.428		+1,855%	
334	Waveform Detector	0.174		+1,348%	
335	Overclocked Sweep Ray	0.351	+7%	+1,301%	
336	Analog Detector	0.3	+8%		
337	Overclocked Visualiser	0.306		+1,612%	
338	Precision Visualiser	0.128		+1,255%	
339	Waveform Analysis Unit	0.391			+1,782%
340	Analog Probe	0.0			+1,000%
341	Precision Visualiser	0.068			+1,135%
342	Analog Scope	0.292		+1,584%	
343	Low-Heat Probe	0.068		+1,136%	
344	Low-Heat Siphon	0.059			+1,118%
345	Analog Scope	0.1	+6%		
346	Analog Prediction Unit	0.021		+1,042%	
347	Low-Heat Probe	0.1	+6%		
348	Low-Heat Visualiser	0.105		+1,209%	
349	Waveform Sweep Ray	0.41			+1,820%
350	Overclocked Siphon	0.021			+1,042%
351	Overclocked Analysis Unit	0.156		+1,311%	
352	Low-Heat Prediction Unit	0.004		+1,007%	
353	Low-Heat Probe	0.137		+1,273%	
354	Low-Heat Scope	0.09			+1,179%
355	Analog Siphon	0.411		+1,400%	+1,422%
356	Analog Computer	0.268			+1,535%
357	Precision Scope	0.2	+7%		
358	Waveform Analysis Unit	0.006		+1,012%	
359	Waveform Computer	0.21		+1,419%	
360	Low-Heat Processor	0.083			+1,166%
361	Waveform Analysis Unit	0.1	+6%		
362	Analog Scope	0.213			+1,426%
363	Waveform Siphon	0.418		+1,743%	+1,092%
364	Low-Heat Probe	0.382			+1,764%
365	Analog Processor	0.3	+8%		
366	Waveform Sweep Ray	0.324		+1,587%	+1,060%
367	Precision Computer	0.013		+1,026%	
368	Low-Heat Probe	0.464		+1,927%	
369	Precision Analysis Unit	0.05		+1,099%	
370	Overclocked Detector	0.057			+1,113%
371	Precision Siphon	0.5	+10%		
372	Overclocked Detector	0.5	+10%		
373	Analog Processor	0.023			+1,045%
374	Precision Detector	0.058		+1,115%	
375	Overclocked Sweep Ray	0.14			+1,279%
376	Analog Siphon	0.21		+1,419%	
377	Precision Siphon	0.015			+1,029%
378	Waveform Detector	0.017			+1,034%
379	Waveform Analysis Unit	0.432			+1,864%
380	Analog Sweep Ray	0.011			+1,022%
381	Precision Detector	0.132			+1,264%
382	Precision Prediction Unit	0.105			+1,210%
383	Waveform Detector	0.216		+1,431%	
384	Waveform Sweep Ray	0.112		+1,223%	
385	Waveform Processor	0.337		+1,674%	
386	Analog Sweep Ray	0.396		+1,781%	+1,010%
387	Low-Heat Visualiser	0.433			+1,865%
388	Low-Heat Analysis Unit	0.017			+1,034%
389	Overclocked Probe	0.296			+1,591%
390	Waveform Probe	0.007		+1,013%	
391	Low-Heat Detector	0.158			+1,315%
392	Precision Detector	0.345			+1,690%
393	Low-Heat Analysis Unit	0.32		+1,639%	
394	Waveform Detector	0.533	+10%	+1,065%	
395	Low-Heat Computer	0.338		+1,676%	
396	Waveform Scope	0.01		+1,020%	
397	Low-Heat Siphon	0.362		+1,584%	+1,140%
398	Waveform Visualiser	0.13		+1,259%	
399	Analog Scope	0.826		+1,838%	+1,813%
400	Analog Computer	0.104	+6%	+1,008%	
401	Analog Computer	0.296		+1,592%	
402	Low-Heat Detector	0.0			+1,000%
403	Waveform Processor	0.225			+1,449%
404	Waveform Processor	0.005		+1,010%	
405	Analog Processor	0.2	+7%		
406	Analog Sweep Ray	0.156		+1,311%	
407	Analog Detector	0.4	+9%		
408	Precision Prediction Unit	0.447		+1,893%	
409	Low-Heat Probe	0.569	+10%	+1,137%	
410	Overclocked Computer	0.243		+1,485%	+1,001%
411	Analog Analysis Unit	0.352			+1,703%
412	Precision Scope	0.33			+1,660%
413	Low-Heat Probe	0.232		+1,463%	
414	Overclocked Scope	0.5	+10%		
415	Waveform Processor	0.29		+1,580%	
416	Low-Heat Scope	0.311	+8%		+1,022%
417	Low-Heat Prediction Unit	0.123			+1,245%
418	Precision Processor	0.4	+9%		
419	Low-Heat Visualiser	0.22		+1,440%	
420	Analog Sweep Ray	0.843	+10%	+1,686%	
421	Waveform Analysis Unit	0.181			+1,362%
422	Waveform Probe	0.435		+1,870%	+1,000%
423	Precision Prediction Unit	0.205	+7%	+1,010%	
424	Waveform Siphon	0.111			+1,222%
425	Analog Sweep Ray	0.0		+1,000%	
426	Analog Probe	0.326			+1,651%
427	Overclocked Analysis Unit	0.4	+9%		
428	Waveform Detector	0.008			+1,015%
429	Low-Heat Processor	0.1	+6%		
430	Waveform Detector	0.4	+9%		
431	Precision Processor	0.298		+1,596%	
432	Analog Visualiser	0.102			+1,203%
433	Analog Scope	0.188			+1,376%
434	Precision Siphon	0.283			+1,565%
435	Low-Heat Sweep Ray	0.5	+10%		
436	Low-Heat Probe	0.1	+6%		
437	Low-Heat Scope	0.4	+9%		
438	Waveform Sweep Ray	0.3	+8%		
439	Overclocked Visualiser	0.03		+1,059%	
440	Precision Sweep Ray	0.062			+1,124%
441	Analog Detector	0.143		+1,286%	
442	Analog Analysis Unit	0.423		+1,014%	+1,831%
443	Precision Probe	0.1	+6%		
444	Overclocked Analysis Unit	0.331		+1,661%	
445	Overclocked Detector	0.008		+1,015%	
446	Analog Detector	0.178		+1,355%	
447	Analog Computer	0.005		+1,009%	
448	Waveform Detector	0.399			+1,798%
449	Precision Sweep Ray	0.206		+1,412%	
450	Analog Processor	0.004		+1,008%	
451	Overclocked Probe	0.345			+1,689%
452	Precision Scope	0.213	+7%		+1,025%
453	Overclocked Scope	0.151			+1,302%
454	Precision Processor	0.4		+1,799%	
455	Waveform Computer	0.4	+9%		
456	Analog Siphon	0.5	+10%		
457	Analog Sweep Ray	0.273			+1,546%
458	Low-Heat Sweep Ray	0.502	+10%	+1,004%	
459	Overclocked Detector	0.225			+1,449%
460	Precision Visualiser	0.317			+1,634%
461	Waveform Visualiser	0.3	+8%		
462	Precision Analysis Unit	0.254		+1,508%	
463	Overclocked Scope	0.1	+6%		
464	Waveform Analysis Unit	0.1	+6%		
465	Overclocked Probe	0.1	+6%		
466	Precision Visualiser	0.2	+7%		
467	Overclocked Siphon	0.444		+1,888%	
468	Waveform Analysis Unit	0.1	+6%		
469	Low-Heat Siphon	0.1	+6%		
470	Overclocked Visualiser	0.399	+6%		+1,598%
471	Low-Heat Sweep Ray	0.748		+1,545%	+1,950%
472	Waveform Prediction Unit	0.4	+9%		
473	Waveform Prediction Unit	0.002		+1,004%	
474	Low-Heat Computer	0.002		+1,004%	
475	Low-Heat Detector	0.367		+1,733%	
476	Waveform Sweep Ray	0.005		+1,009%	
477	Overclocked Scope	0.406	+9%		+1,011%
478	Overclocked Visualiser	0.044		+1,087%	
479	Analog Detector	0.217			+1,433%
480	Precision Scope	0.1	+6%		
481	Low-Heat Siphon	0.1	+6%		
482	Low-Heat Probe	0.406		+1,812%	
483	Analog Analysis Unit	0.223		+1,446%	
484	Waveform Analysis Unit	0.043			+1,085%
485	Low-Heat Sweep Ray	0.4	+9%		
486	Low-Heat Siphon	0.393		+1,785%	
487	Precision Siphon	0.1	+6%		
488	Waveform Scope	0.358		+1,715%	
489	Overclocked Prediction Unit	0.135	+6%	+1,070%	
490	Low-Heat Visualiser	0.5	+10%		
491	Overclocked Computer	0.0			+1,000%
492	Precision Computer	0.377		+1,754%	
493	Waveform Sweep Ray	0.366		+1,731%	
494	Low-Heat Detector	0.198		+1,396%	
495	Low-Heat Scope	0.2	+7%		
496	Waveform Computer	0.028			+1,055%
497	Overclocked Prediction Unit	0.451		+1,901%	
498	Overclocked Detector	0.0			+1,000%
499	Overclocked Visualiser	0.043		+1,086%	
500	Waveform Processor	0.4	+9%		
501	Waveform Analysis Unit	0.422		+1,843%	
502	Waveform Processor	0.2	+7%		
503	Low-Heat Computer	0.125			+1,249%
504	Low-Heat Siphon	0.034			+1,067%
505	Analog Probe	0.1	+6%		
506	Overclocked Sweep Ray	0.2	+7%		
507	Analog Detector	0.141		+1,018%	+1,263%
508	Precision Probe	0.181		+1,362%	
509	Waveform Siphon	0.277		+1,553%	
510	Overclocked Siphon	0.433	+6%	+1,665%	
511	Overclocked Sweep Ray	0.1	+6%		
512	Low-Heat Analysis Unit	0.0			+1,000%
513	Waveform Processor	0.3	+8%		
514	Precision Sweep Ray	0.495			+1,989%
515	Overclocked Prediction Unit	0.1	+6%		
516	Waveform Computer	0.1	+6%		
517	Analog Sweep Ray	0.1	+6%		
518	Precision Visualiser	0.067			+1,133%
519	Low-Heat Detector	0.1	+6%		
520	Low-Heat Analysis Unit	0.446			+1,892%
521	Analog Visualiser	0.433			+1,865%
522	Low-Heat Siphon	0.1	+6%		
523	Analog Visualiser	0.011		+1,021%	
524	Analog Analysis Unit	0.155			+1,310%
525	Precision Scope	0.241			+1,481%
526	Overclocked Processor	0.1	+6%		
527	Overclocked Computer	0.5	+10%		
528	Precision Sweep Ray	0.231			+1,461%
529	Low-Heat Analysis Unit	0.252			+1,503%
530	Waveform Visualiser	0.4	+9%		
531	Analog Detector	0.02			+1,039%
532	Analog Probe	0.197		+1,394%	
533	Overclocked Visualiser	0.018		+1,036%	
534	Overclocked Scope	0.004			+1,008%
535	Waveform Computer	0.2	+7%		
536	Overclocked Processor	0.2	+7%		
537	Precision Scope	0.006		+1,011%	
538	Low-Heat Prediction Unit	0.279	+6%	+1,358%	
539	Analog Processor	0.22			+1,440%
540	Precision Probe	0.007			+1,014%
541	Analog Siphon	0.255		+1,509%	
542	Precision Detector	0.365		+1,730%	
543	Analog Visualiser	0.301	+6%	+1,401%	
544	Precision Scope	0.293			+1,586%
545	Waveform Processor	0.012			+1,023%
546	Waveform Analysis Unit	0.0		+1,000%	
547	Analog Visualiser	0.45			+1,899%
548	Precision Visualiser	0.409			+1,818%
549	Waveform Computer	0.32			+1,640%
550	Precision Detector	0.021		+1,042%	
551	Analog Scope	0.388		+1,775%	
552	Low-Heat Processor	0.2			+1,400%
553	Waveform Processor	0.546	+6%	+1,891%	
554	Low-Heat Sweep Ray	0.099		+1,198%	
555	Analog Analysis Unit	0.292		+1,584%	
556	Overclocked Analysis Unit	0.1	+6%		
557	Overclocked Scope	0.0			+1,000%
558	Low-Heat Siphon	0.2	+7%		
559	Analog Siphon	0.867	+9%	+1,933%	
560	Waveform Analysis Unit	0.1	+6%		
561	Waveform Scope	0.14	+6%	+1,080%	
562	Waveform Computer	0.073			+1,145%
563	Analog Siphon	0.1	+6%		
564	Precision Sweep Ray	0.2	+7%		
565	Overclocked Detector	0.226		+1,451%	
566	Overclocked Prediction Unit	0.148			+1,295%
567	Precision Analysis Unit	0.311	+7%		+1,221%
568	Waveform Prediction Unit	0.209		+1,418%	
569	Low-Heat Prediction Unit	0.434		+1,658%	+1,209%
570	Low-Heat Processor	0.243			+1,486%
571	Waveform Processor	0.277			+1,553%
572	Analog Processor	0.4	+9%		
573	Overclocked Detector	0.26			+1,519%
574	Waveform Analysis Unit	0.131			+1,262%
575	Low-Heat Detector	0.048		+1,096%	
576	Low-Heat Processor	0.198		+1,016%	+1,380%
577	Waveform Processor	0.002			+1,004%
578	Low-Heat Computer	0.324			+1,647%
579	Precision Computer	0.2	+7%		
580	Overclocked Analysis Unit	0.173		+1,346%	
581	Waveform Detector	0.2	+7%		
582	Low-Heat Sweep Ray	0.34		+1,679%	
583	Overclocked Sweep Ray	0.4	+9%		
584	Overclocked Computer	0.005			+1,009%
585	Overclocked Computer	0.115			+1,229%
586	Precision Sweep Ray	0.124			+1,247%
587	Overclocked Sweep Ray	0.1	+6%		
588	Overclocked Prediction Unit	0.5	+10%		
589	Overclocked Siphon	0.179			+1,357%
590	Waveform Prediction Unit	0.1	+6%		
591	Precision Processor	0.1	+6%		
592	Precision Visualiser	0.2	+7%		
593	Waveform Scope	0.027		+1,054%	
594	Precision Siphon	0.1	+6%		
595	Overclocked Visualiser	0.434		+1,868%	
596	Waveform Processor	0.1	+6%		
597	Precision Processor	0.1	+6%		
598	Waveform Scope	0.394		+1,787%	
599	Waveform Scope	0.234		+1,468%	
600	Overclocked Processor	0.026		+1,051%	
601	Overclocked Scope	0.037			+1,073%
602	Low-Heat Probe	0.262	+6%		+1,323%
603	Waveform Analysis Unit	0.303		+1,605%	
604	Low-Heat Siphon	0.5	+10%		
605	Precision Probe	0.1	+6%		
606	Waveform Probe	0.13			+1,259%
607	Waveform Scope	0.325	+6%		+1,449%
608	Low-Heat Sweep Ray	0.494			+1,987%
609	Overclocked Prediction Unit	0.1	+6%		
610	Precision Sweep Ray	0.268		+1,535%	
611	Overclocked Computer	0.076			+1,151%
612	Waveform Scope	0.1	+6%		
613	Overclocked Scope	0.147			+1,294%
614	Low-Heat Processor	0.163			+1,325%
615	Overclocked Processor	0.3	+8%		
616	Precision Processor	0.121			+1,242%
617	Waveform Computer	0.1	+6%		
618	Overclocked Prediction Unit	0.3	+8%		
619	Analog Scope	0.203	+7%		+1,005%
620	Precision Detector	0.619		+1,899%	+1,337%
621	Low-Heat Visualiser	0.433		+1,865%	
622	Precision Detector	0.3	+8%		
623	Low-Heat Computer	0.22			+1,440%
