Seed	Name	Perfection	Vehicle_EngineFuelUse	Vehicle_BoostTanks
218	Heated Hydrogen Dynamo	0.0		+10%
219	Rewired Shockwave Shield	0.0		+10%
220	Polished Thrust Controller	1.0		+14%
221	Stabilised Thrust Controller	0.0		+10%
222	Polished Impulse Nozzle	0.5	-8%	
223	Upgraded Impulse Nozzle	0.0		+10%
224	Stabilised Neutrino Injector	0.5		+12%
225	Heated Shockwave Shield	0.75	-9%	
226	Rewired Neutrino Injector	0.5		+12%
227	Heated Thrust Controller	0.25	-7%	
228	Heated Plasma Exhaust	0.0	-6%	
229	Rewired Electron Loom	0.5		+12%
230	Polished Thrust Controller	0.0		+10%
231	Polished Propulsion Unit	0.25		+11%
232	Heated Magnetic Fan	0.0	-6%	
233	Stabilised Thrust Controller	0.25	-7%	
234	Upgraded Neutrino Injector	1.0		+14%
235	Heated Magnetic Fan	0.25	-7%	
236	Upgraded Impulse Nozzle	1.0		+14%
237	Polished Shockwave Shield	0.5		+12%
238	Polished Hydrogen Dynamo	0.0		+10%
239	Upgraded Plasma Exhaust	0.75		+13%
240	Polished Plasma Exhaust	0.25		+11%
241	Rewired Magnetic Fan	0.75	-9%	
242	Polished Electron Loom	0.0		+10%
243	Upgraded Electron Loom	0.75		+13%
244	Stabilised Plasma Exhaust	0.0		+10%
245	Upgraded Electron Loom	0.75		+13%
246	Stabilised Impulse Nozzle	0.75	-9%	
247	Rewired Plasma Exhaust	1.0	-10%	
248	Heated Magnetic Fan	1.0		+14%
249	Polished Neutrino Injector	0.5		+12%
250	Heated Neutrino Injector	0.0	-6%	
251	Rewired Magnetic Fan	0.5	-8%	
252	Upgraded Thrust Controller	0.75		+13%
253	Stabilised Shockwave Shield	0.0	-6%	
254	Polished Impulse Nozzle	0.0	-6%	
255	Upgraded Plasma Exhaust	0.0	-6%	
256	Heated Shockwave Shield	0.25	-7%	
257	Heated Plasma Exhaust	0.0		+10%
258	Rewired Neutrino Injector	0.0		+10%
259	Polished Neutrino Injector	1.0	-10%	
260	Polished Neutrino Injector	0.25		+11%
261	Heated Propulsion Unit	0.0		+10%
262	Heated Magnetic Fan	0.0		+10%
263	Polished Thrust Controller	0.0	-6%	
264	Heated Magnetic Fan	0.0		+10%
265	Upgraded Fuel Pipes	0.25	-7%	
266	Heated Neutrino Injector	1.0	-10%	
267	Stabilised Propulsion Unit	0.0		+10%
268	Heated Fuel Pipes	0.0	-6%	
269	Upgraded Thrust Controller	0.0		+10%
270	Polished Impulse Nozzle	0.75	-9%	
271	Heated Hydrogen Dynamo	0.5	-8%	
272	Polished Fuel Pipes	0.25		+11%
273	Polished Propulsion Unit	0.0		+10%
274	Polished Electron Loom	0.0		+10%
275	Upgraded Electron Loom	0.0	-6%	
276	Upgraded Shockwave Shield	0.75	-9%	
277	Stabilised Fuel Pipes	0.0		+10%
278	Upgraded Propulsion Unit	0.5	-8%	
279	Rewired Impulse Nozzle	0.0	-6%	
280	Stabilised Magnetic Fan	0.5	-8%	
281	Upgraded Hydrogen Dynamo	0.0	-6%	
282	Heated Hydrogen Dynamo	1.0		+14%
283	Heated Shockwave Shield	0.0	-6%	
284	Heated Hydrogen Dynamo	0.0	-6%	
285	Polished Impulse Nozzle	0.5		+12%
286	Heated Neutrino Injector	0.25		+11%
287	Heated Electron Loom	0.0		+10%
288	Heated Plasma Exhaust	0.0	-6%	
289	Polished Plasma Exhaust	1.0		+14%
290	Stabilised Thrust Controller	0.75	-9%	
291	Upgraded Thrust Controller	0.0	-6%	
292	Stabilised Plasma Exhaust	0.75		+13%
293	Upgraded Neutrino Injector	0.5	-8%	
294	Stabilised Thrust Controller	0.0	-6%	
295	Stabilised Thrust Controller	1.0		+14%
296	Heated Fuel Pipes	0.0		+10%
297	Upgraded Magnetic Fan	0.0		+10%
298	Stabilised Plasma Exhaust	0.0		+10%
299	Upgraded Impulse Nozzle	0.25	-7%	
300	Rewired Impulse Nozzle	1.0		+14%
301	Polished Neutrino Injector	0.25	-7%	
302	Rewired Shockwave Shield	1.0	-10%	
303	Rewired Propulsion Unit	0.25	-7%	
304	Polished Impulse Nozzle	0.0		+10%
305	Upgraded Fuel Pipes	0.5		+12%
306	Upgraded Shockwave Shield	0.0	-6%	
307	Upgraded Fuel Pipes	0.0		+10%
308	Polished Plasma Exhaust	0.0		+10%
309	Rewired Plasma Exhaust	0.0		+10%
310	Stabilised Magnetic Fan	0.5	-8%	
311	Stabilised Hydrogen Dynamo	0.0	-6%	
312	Rewired Hydrogen Dynamo	0.5		+12%
313	Heated Neutrino Injector	0.0	-6%	
314	Rewired Magnetic Fan	0.0	-6%	
315	Upgraded Hydrogen Dynamo	0.5		+12%
316	Rewired Shockwave Shield	0.75		+13%
317	Heated Shockwave Shield	0.0		+10%
318	Stabilised Magnetic Fan	0.0	-6%	
319	Heated Electron Loom	0.5	-8%	
320	Stabilised Thrust Controller	0.5		+12%
321	Heated Magnetic Fan	0.0		+10%
322	Stabilised Plasma Exhaust	0.0		+10%
323	Upgraded Hydrogen Dynamo	0.0	-6%	
324	Stabilised Thrust Controller	0.0	-6%	
325	Rewired Thrust Controller	0.75		+13%
326	Rewired Fuel Pipes	0.5	-8%	
327	Upgraded Propulsion Unit	0.25		+11%
328	Polished Neutrino Injector	0.75	-9%	
329	Polished Fuel Pipes	0.25		+11%
330	Rewired Fuel Pipes	0.0		+10%
331	Upgraded Impulse Nozzle	0.25		+11%
332	Polished Thrust Controller	1.0	-10%	
333	Polished Impulse Nozzle	0.75	-9%	
334	Heated Magnetic Fan	0.0		+10%
335	Rewired Electron Loom	1.0	-10%	
336	Upgraded Magnetic Fan	0.0	-6%	
337	Rewired Plasma Exhaust	0.5	-8%	
338	Stabilised Plasma Exhaust	0.0		+10%
339	Heated Thrust Controller	1.0	-10%	
340	Upgraded Neutrino Injector	0.5	-8%	
341	Stabilised Plasma Exhaust	0.75		+13%
342	Upgraded Hydrogen Dynamo	0.5	-8%	
343	Polished Neutrino Injector	0.5	-8%	
344	Polished Propulsion Unit	0.0		+10%
345	Upgraded Hydrogen Dynamo	0.0	-6%	
346	Upgraded Fuel Pipes	0.75	-9%	
347	Polished Neutrino Injector	0.25		+11%
348	Polished Plasma Exhaust	0.0		+10%
349	Heated Electron Loom	0.5		+12%
350	Rewired Propulsion Unit	1.0		+14%
351	Rewired Thrust Controller	0.25		+11%
352	Polished Fuel Pipes	0.75	-9%	
353	Polished Neutrino Injector	0.5	-8%	
354	Polished Hydrogen Dynamo	1.0		+14%
355	Upgraded Propulsion Unit	0.0		+10%
356	Upgraded Impulse Nozzle	0.25		+11%
357	Stabilised Hydrogen Dynamo	0.0	-6%	
358	Heated Thrust Controller	0.0		+10%
359	Heated Impulse Nozzle	1.0	-10%	
360	Polished Shockwave Shield	0.5	-8%	
361	Heated Thrust Controller	0.0	-6%	
362	Upgraded Hydrogen Dynamo	0.0		+10%
363	Heated Propulsion Unit	1.0		+14%
364	Polished Neutrino Injector	1.0		+14%
365	Upgraded Shockwave Shield	0.0	-6%	
366	Heated Electron Loom	1.0		+14%
367	Stabilised Impulse Nozzle	0.75	-9%	
368	Polished Neutrino Injector	0.5	-8%	
369	Stabilised Thrust Controller	1.0	-10%	
370	Rewired Magnetic Fan	0.75	-9%	
371	Stabilised Propulsion Unit	0.0	-6%	
372	Rewired Magnetic Fan	0.0	-6%	
373	Upgraded Shockwave Shield	0.25	-7%	
374	Stabilised Magnetic Fan	0.0		+10%
375	Rewired Electron Loom	0.5		+12%
376	Upgraded Propulsion Unit	0.5	-8%	
377	Stabilised Propulsion Unit	0.0		+10%
378	Heated Magnetic Fan	0.75		+13%
379	Heated Thrust Controller	0.25		+11%
380	Upgraded Electron Loom	0.0		+10%
381	Stabilised Magnetic Fan	0.25		+11%
382	Stabilised Fuel Pipes	0.5		+12%
383	Heated Magnetic Fan	0.5	-8%	
384	Heated Electron Loom	1.0	-10%	
385	Heated Shockwave Shield	0.75	-9%	
386	Upgraded Electron Loom	0.75		+13%
387	Polished Plasma Exhaust	0.75		+13%
388	Polished Thrust Controller	0.75		+13%
389	Rewired Neutrino Injector	0.25		+11%
390	Heated Neutrino Injector	0.75	-9%	
391	Polished Magnetic Fan	0.0		+10%
392	Stabilised Magnetic Fan	0.75		+13%
393	Polished Thrust Controller	0.0		+10%
394	Heated Magnetic Fan	0.75	-9%	
395	Polished Impulse Nozzle	0.0		+10%
396	Heated Hydrogen Dynamo	0.0		+10%
397	Polished Propulsion Unit	0.0		+10%
398	Heated Plasma Exhaust	0.0		+10%
399	Upgraded Hydrogen Dynamo	1.0		+14%
400	Upgraded Impulse Nozzle	0.25	-7%	
401	Upgraded Impulse Nozzle	1.0	-10%	
402	Polished Magnetic Fan	0.5		+12%
403	Heated Shockwave Shield	0.5		+12%
404	Heated Shockwave Shield	0.0		+10%
405	Upgraded Shockwave Shield	0.0	-6%	
406	Upgraded Electron Loom	0.5	-8%	
407	Upgraded Magnetic Fan	0.0	-6%	
408	Stabilised Fuel Pipes	0.75	-9%	
409	Polished Neutrino Injector	0.0	-6%	
410	Rewired Impulse Nozzle	0.75		+13%
411	Upgraded Thrust Controller	0.0		+10%
412	Stabilised Hydrogen Dynamo	0.25		+11%
413	Polished Neutrino Injector	0.0		+10%
414	Rewired Hydrogen Dynamo	0.0	-6%	
415	Heated Shockwave Shield	1.0	-10%	
416	Polished Hydrogen Dynamo	0.5		+12%
417	Polished Fuel Pipes	0.75		+13%
418	Stabilised Shockwave Shield	0.75		+13%
419	Polished Plasma Exhaust	0.75	-9%	
420	Upgraded Electron Loom	0.0	-6%	
421	Heated Thrust Controller	0.0		+10%
422	Heated Neutrino Injector	0.0		+10%
423	Stabilised Fuel Pipes	1.0	-10%	
424	Heated Propulsion Unit	0.5		+12%
425	Upgraded Electron Loom	0.5	-8%	
426	Upgraded Neutrino Injector	0.25		+11%
427	Rewired Thrust Controller	0.0	-6%	
428	Heated Magnetic Fan	0.25	-7%	
429	Polished Shockwave Shield	0.0	-6%	
430	Heated Magnetic Fan	0.25	-7%	
431	Stabilised Shockwave Shield	0.0		+10%
432	Upgraded Plasma Exhaust	0.75		+13%
433	Upgraded Hydrogen Dynamo	0.25	-7%	
434	Stabilised Propulsion Unit	1.0		+14%
435	Polished Electron Loom	0.0	-6%	
436	Polished Neutrino Injector	0.0	-6%	
437	Polished Hydrogen Dynamo	0.0	-6%	
438	Heated Electron Loom	0.0	-6%	
439	Rewired Plasma Exhaust	0.25		+11%
440	Stabilised Electron Loom	0.5		+12%
441	Upgraded Magnetic Fan	0.25	-7%	
442	Upgraded Thrust Controller	0.0		+10%
443	Stabilised Neutrino Injector	0.25	-7%	
444	Rewired Thrust Controller	0.0		+10%
445	Rewired Magnetic Fan	0.25	-7%	
446	Upgraded Magnetic Fan	1.0	-10%	
447	Upgraded Impulse Nozzle	0.25	-7%	
448	Heated Magnetic Fan	0.0		+10%
449	Stabilised Electron Loom	0.5	-8%	
450	Upgraded Shockwave Shield	0.0		+10%
451	Rewired Neutrino Injector	0.75		+13%
452	Stabilised Hydrogen Dynamo	0.25	-7%	
453	Rewired Hydrogen Dynamo	0.25		+11%
454	Stabilised Shockwave Shield	0.0		+10%
455	Heated Impulse Nozzle	0.75		+13%
456	Upgraded Propulsion Unit	0.0	-6%	
457	Upgraded Electron Loom	0.0		+10%
458	Polished Electron Loom	0.25	-7%	
459	Rewired Magnetic Fan	0.0		+10%
460	Stabilised Plasma Exhaust	1.0		+14%
461	Heated Plasma Exhaust	0.0	-6%	
462	Stabilised Thrust Controller	0.75	-9%	
463	Rewired Hydrogen Dynamo	0.25	-7%	
464	Heated Thrust Controller	0.0	-6%	
465	Rewired Neutrino Injector	0.0	-6%	
466	Stabilised Plasma Exhaust	0.0	-6%	
467	Rewired Propulsion Unit	0.0		+10%
468	Heated Thrust Controller	0.0	-6%	
469	Polished Propulsion Unit	0.0	-6%	
470	Rewired Plasma Exhaust	1.0		+14%
471	Polished Electron Loom	0.0		+10%
472	Heated Fuel Pipes	0.0	-6%	
473	Heated Fuel Pipes	0.75	-9%	
474	Polished Impulse Nozzle	0.25		+11%
475	Polished Magnetic Fan	0.0		+10%
476	Heated Electron Loom	1.0	-10%	
477	Rewired Hydrogen Dynamo	0.0		+10%
478	Rewired Plasma Exhaust	0.5	-8%	
479	Upgraded Magnetic Fan	0.25	-7%	
480	Stabilised Hydrogen Dynamo	0.0	-6%	
481	Polished Propulsion Unit	0.0	-6%	
482	Polished Neutrino Injector	0.0		+10%
483	Upgraded Thrust Controller	0.0		+10%
484	Heated Thrust Controller	0.0		+10%
485	Polished Electron Loom	0.25		+11%
486	Polished Propulsion Unit	0.0		+10%
487	Stabilised Propulsion Unit	0.75		+13%
488	Heated Hydrogen Dynamo	0.25	-7%	
489	Rewired Fuel Pipes	0.75	-9%	
490	Polished Plasma Exhaust	0.0	-6%	
491	Rewired Impulse Nozzle	0.0		+10%
492	Stabilised Impulse Nozzle	0.5	-8%	
493	Heated Electron Loom	0.0		+10%
494	Polished Magnetic Fan	1.0	-10%	
495	Polished Hydrogen Dynamo	0.0	-6%	
496	Heated Impulse Nozzle	0.5	-8%	
497	Rewired Fuel Pipes	0.0		+10%
498	Rewired Magnetic Fan	1.0	-10%	
499	Rewired Plasma Exhaust	0.0		+10%
500	Heated Shockwave Shield	0.0	-6%	
501	Heated Thrust Controller	0.25	-7%	
502	Heated Shockwave Shield	0.0	-6%	
503	Polished Impulse Nozzle	0.75	-9%	
504	Polished Propulsion Unit	0.75	-9%	
505	Upgraded Neutrino Injector	0.0	-6%	
506	Rewired Electron Loom	0.0	-6%	
507	Upgraded Magnetic Fan	0.5		+12%
508	Stabilised Neutrino Injector	0.75	-9%	
509	Heated Propulsion Unit	0.0		+10%
510	Rewired Propulsion Unit	0.0	-6%	
511	Rewired Electron Loom	0.25	-7%	
512	Polished Thrust Controller	0.5		+12%
513	Heated Shockwave Shield	0.0	-6%	
514	Stabilised Electron Loom	0.75		+13%
515	Rewired Fuel Pipes	0.0	-6%	
516	Heated Impulse Nozzle	0.25	-7%	
517	Upgraded Electron Loom	1.0		+14%
518	Stabilised Plasma Exhaust	0.5	-8%	
519	Polished Magnetic Fan	0.0	-6%	
520	Polished Thrust Controller	0.75		+13%
521	Upgraded Plasma Exhaust	0.0		+10%
522	Polished Propulsion Unit	0.0	-6%	
523	Upgraded Plasma Exhaust	1.0	-10%	
524	Upgraded Thrust Controller	1.0	-10%	
525	Stabilised Hydrogen Dynamo	0.75		+13%
526	Rewired Shockwave Shield	0.0	-6%	
527	Rewired Impulse Nozzle	0.5		+12%
528	Stabilised Electron Loom	0.0		+10%
529	Polished Thrust Controller	0.5		+12%
530	Heated Plasma Exhaust	0.0	-6%	
531	Upgraded Magnetic Fan	0.5		+12%
532	Upgraded Neutrino Injector	0.0		+10%
533	Rewired Plasma Exhaust	0.25	-7%	
534	Rewired Hydrogen Dynamo	0.5		+12%
535	Heated Impulse Nozzle	0.0	-6%	
536	Rewired Shockwave Shield	0.0	-6%	
537	Stabilised Hydrogen Dynamo	0.0		+10%
538	Polished Fuel Pipes	0.0	-6%	
539	Upgraded Shockwave Shield	0.25	-7%	
540	Stabilised Neutrino Injector	0.0		+10%
541	Upgraded Propulsion Unit	0.75	-9%	
542	Stabilised Magnetic Fan	0.0		+10%
543	Upgraded Plasma Exhaust	0.5	-8%	
544	Stabilised Hydrogen Dynamo	0.75		+13%
545	Heated Shockwave Shield	0.5		+12%
546	Heated Thrust Controller	0.0		+10%
547	Upgraded Plasma Exhaust	0.25		+11%
548	Stabilised Plasma Exhaust	0.25		+11%
549	Heated Impulse Nozzle	0.75	-9%	
550	Stabilised Magnetic Fan	0.0		+10%
551	Upgraded Hydrogen Dynamo	0.0		+10%
552	Polished Shockwave Shield	0.75		+13%
553	Heated Shockwave Shield	0.75	-9%	
554	Polished Electron Loom	0.25	-7%	
555	Upgraded Thrust Controller	1.0	-10%	
556	Rewired Thrust Controller	0.25	-7%	
557	Rewired Hydrogen Dynamo	0.75		+13%
558	Polished Propulsion Unit	0.0	-6%	
559	Upgraded Propulsion Unit	0.0	-6%	
560	Heated Thrust Controller	1.0		+14%
561	Heated Hydrogen Dynamo	0.5	-8%	
562	Heated Impulse Nozzle	0.5	-8%	
563	Upgraded Propulsion Unit	0.25		+11%
564	Stabilised Electron Loom	0.5		+12%
565	Rewired Magnetic Fan	0.25		+11%
566	Rewired Fuel Pipes	0.25	-7%	
567	Stabilised Thrust Controller	0.0		+10%
568	Heated Fuel Pipes	0.0		+10%
569	Polished Fuel Pipes	0.25		+11%
570	Polished Shockwave Shield	0.75		+13%
571	Heated Shockwave Shield	0.25		+11%
572	Upgraded Shockwave Shield	0.0	-6%	
573	Rewired Magnetic Fan	1.0	-10%	
574	Heated Thrust Controller	0.75		+13%
575	Polished Magnetic Fan	0.0		+10%
576	Polished Shockwave Shield	0.0		+10%
577	Heated Shockwave Shield	0.0		+10%
578	Polished Impulse Nozzle	0.75	-9%	
579	Stabilised Impulse Nozzle	0.0	-6%	
580	Rewired Thrust Controller	0.0		+10%
581	Heated Magnetic Fan	0.0	-6%	
582	Polished Electron Loom	0.25	-7%	
583	Rewired Electron Loom	0.0	-6%	
584	Rewired Impulse Nozzle	1.0		+14%
585	Rewired Impulse Nozzle	0.5	-8%	
586	Stabilised Electron Loom	1.0		+14%
587	Rewired Electron Loom	0.0	-6%	
588	Rewired Fuel Pipes	0.0	-6%	
