sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunRate
160,Re-sealed Liquid Ignitors,0.5,+2%,
161,Re-sealed Purifier Unit,0.0,+1%,
162,Re-sealed Power Array,1.0,,+3%
163,Reinforced Sonar Array,0.5,,+2%
164,Well-Made Liquid Ignitors,0.5,+2%,
165,Uncorroded Purifier Unit,0.5,,+2%
166,Uncorroded Power Array,0.5,+2%,
167,Reinforced Pressure Nozzle,0.5,,+2%
168,Reinforced Ion Coils,0.0,+1%,
169,Well-Made Hyperthermal Pump,0.5,,+2%
170,Efficient Saline Beam,0.5,+2%,
171,Efficient Ion Coils,0.0,+1%,
172,Re-sealed Saline Beam,0.0,+1%,
173,Reinforced Hyperthermal Pump,0.5,+2%,
174,Re-sealed Lux Stabiliser,0.5,,+2%
175,Uncorroded Power Array,0.0,+1%,
176,Well-Made Ion Coils,0.0,,+1%
177,Reinforced Lux Stabiliser,0.5,+2%,
178,Efficient Ion Coils,0.0,+1%,
179,Uncorroded Hyperthermal Pump,1.0,,+3%
180,Well-Made Saline Beam,0.5,+2%,
181,Efficient Hyperthermal Pump,0.5,+2%,
182,Efficient Purifier Unit,1.0,,+3%
183,Uncorroded Sonic Batteries,0.5,+2%,
184,Well-Made Purifier Unit,0.5,+2%,
185,Well-Made Lux Stabiliser,0.5,+2%,
186,Re-sealed Sonic Batteries,0.5,,+2%
187,Well-Made Ion Coils,0.5,,+2%
188,Efficient Purifier Unit,0.0,+1%,
189,Reinforced Saline Beam,0.5,,+2%
190,Efficient Saline Beam,0.5,,+2%
191,Efficient Sonar Array,0.5,,+2%
192,Efficient Pressure Nozzle,0.0,+1%,
193,Re-sealed Purifier Unit,0.0,+1%,
194,Well-Made Pressure Nozzle,0.5,,+2%
195,Reinforced Ion Coils,0.5,,+2%
196,Uncorroded Ion Coils,1.0,,+3%
197,Efficient Lux Stabiliser,0.5,,+2%
198,Efficient Liquid Ignitors,0.0,+1%,
199,Well-Made Saline Beam,1.0,,+3%
200,Efficient Sonar Array,0.0,+1%,
201,Efficient Lux Stabiliser,0.5,+2%,
202,Uncorroded Lux Stabiliser,0.0,+1%,
203,Efficient Saline Beam,0.5,+2%,
204,Efficient Purifier Unit,0.5,,+2%
205,Reinforced Hyperthermal Pump,0.5,,+2%
206,Uncorroded Saline Beam,0.5,,+2%
207,Re-sealed Liquid Ignitors,0.5,,+2%
208,Efficient Lux Stabiliser,0.5,+2%,
209,Uncorroded Hyperthermal Pump,0.5,,+2%
210,Uncorroded Sonar Array,0.0,+1%,
211,Uncorroded Purifier Unit,0.5,,+2%
212,Reinforced Liquid Ignitors,0.5,,+2%
213,Well-Made Saline Beam,0.0,+1%,
214,Efficient Sonar Array,0.0,+1%,
215,Well-Made Hyperthermal Pump,0.5,+2%,
216,Re-sealed Pressure Nozzle,0.5,,+2%
217,Efficient Ion Coils,0.0,+1%,
218,Reinforced Purifier Unit,1.0,,+3%
219,Efficient Saline Beam,1.0,,+3%
220,Uncorroded Sonic Batteries,0.5,,+2%
221,Well-Made Sonic Batteries,1.0,,+3%
222,Uncorroded Ion Coils,0.0,+1%,
223,Re-sealed Ion Coils,0.5,,+2%
224,Well-Made Power Array,0.5,,+2%
225,Reinforced Saline Beam,0.0,+1%,
226,Efficient Power Array,0.5,,+2%
227,Reinforced Sonic Batteries,0.0,+1%,
228,Reinforced Pressure Nozzle,0.5,+2%,
229,Efficient Lux Stabiliser,0.5,,+2%
230,Uncorroded Sonic Batteries,0.5,,+2%
231,Uncorroded Sonar Array,0.5,,+2%
232,Reinforced Liquid Ignitors,0.5,+2%,
233,Well-Made Sonic Batteries,0.0,+1%,
234,Re-sealed Power Array,0.0,,+1%
235,Reinforced Liquid Ignitors,0.0,+1%,
236,Re-sealed Ion Coils,0.0,,+1%
237,Uncorroded Saline Beam,0.5,,+2%
238,Uncorroded Purifier Unit,1.0,,+3%
239,Re-sealed Pressure Nozzle,0.5,,+2%
240,Uncorroded Pressure Nozzle,0.5,,+2%
241,Efficient Liquid Ignitors,0.0,+1%,
242,Uncorroded Lux Stabiliser,1.0,,+3%
243,Re-sealed Lux Stabiliser,0.5,,+2%
244,Well-Made Pressure Nozzle,0.5,,+2%
245,Re-sealed Lux Stabiliser,0.5,,+2%
246,Well-Made Ion Coils,0.0,+1%,
247,Efficient Pressure Nozzle,0.0,+1%,
248,Reinforced Liquid Ignitors,0.5,,+2%
249,Uncorroded Power Array,0.5,,+2%
250,Reinforced Power Array,0.5,+2%,
251,Efficient Liquid Ignitors,0.0,+1%,
252,Re-sealed Sonic Batteries,0.5,,+2%
253,Well-Made Saline Beam,0.5,+2%,
254,Uncorroded Ion Coils,0.5,+2%,
255,Re-sealed Pressure Nozzle,0.5,+2%,
256,Reinforced Saline Beam,0.5,+2%,
257,Reinforced Pressure Nozzle,1.0,,+3%
258,Efficient Power Array,0.5,,+2%
259,Uncorroded Power Array,0.0,+1%,
260,Uncorroded Power Array,0.5,,+2%
261,Reinforced Sonar Array,0.5,,+2%
262,Reinforced Liquid Ignitors,0.5,,+2%
263,Uncorroded Sonic Batteries,0.5,+2%,
264,Reinforced Liquid Ignitors,0.5,,+2%
265,Re-sealed Hyperthermal Pump,0.0,+1%,
266,Reinforced Power Array,0.0,+1%,
267,Well-Made Sonar Array,0.5,,+2%
268,Reinforced Hyperthermal Pump,0.5,+2%,
269,Re-sealed Sonic Batteries,0.5,,+2%
270,Uncorroded Ion Coils,0.0,+1%,
271,Reinforced Purifier Unit,0.0,+1%,
272,Uncorroded Hyperthermal Pump,0.5,,+2%
273,Uncorroded Sonar Array,0.5,,+2%
274,Uncorroded Lux Stabiliser,1.0,,+3%
275,Re-sealed Lux Stabiliser,0.5,+2%,
276,Re-sealed Saline Beam,0.0,+1%,
277,Well-Made Hyperthermal Pump,0.5,,+2%
278,Re-sealed Sonar Array,0.0,+1%,
279,Efficient Ion Coils,0.5,+2%,
280,Well-Made Liquid Ignitors,0.0,+1%,
281,Re-sealed Purifier Unit,0.5,+2%,
282,Reinforced Purifier Unit,0.5,,+2%
283,Reinforced Saline Beam,0.5,+2%,
284,Reinforced Purifier Unit,0.5,+2%,
285,Uncorroded Ion Coils,0.5,,+2%
286,Reinforced Power Array,0.5,,+2%
287,Reinforced Lux Stabiliser,0.5,,+2%
288,Reinforced Pressure Nozzle,0.5,+2%,
289,Uncorroded Pressure Nozzle,0.5,,+2%
290,Well-Made Sonic Batteries,0.0,+1%,
291,Re-sealed Sonic Batteries,0.5,+2%,
292,Well-Made Pressure Nozzle,0.5,,+2%
293,Re-sealed Power Array,0.0,+1%,
294,Well-Made Sonic Batteries,0.5,+2%,
295,Well-Made Sonic Batteries,0.0,,+1%
296,Reinforced Hyperthermal Pump,0.5,,+2%
297,Re-sealed Liquid Ignitors,0.5,,+2%
298,Well-Made Pressure Nozzle,0.5,,+2%
299,Re-sealed Ion Coils,0.0,+1%,
300,Efficient Ion Coils,0.0,,+1%
301,Uncorroded Power Array,0.0,+1%,
302,Efficient Saline Beam,0.0,+1%,
303,Efficient Sonar Array,0.0,+1%,
304,Uncorroded Ion Coils,0.5,,+2%
305,Re-sealed Hyperthermal Pump,0.5,,+2%
306,Re-sealed Saline Beam,0.5,+2%,
307,Re-sealed Hyperthermal Pump,0.5,,+2%
308,Uncorroded Pressure Nozzle,0.5,,+2%
309,Efficient Pressure Nozzle,0.5,,+2%
310,Well-Made Liquid Ignitors,0.0,+1%,
311,Well-Made Purifier Unit,0.5,+2%,
312,Efficient Purifier Unit,0.5,,+2%
313,Reinforced Power Array,0.5,+2%,
314,Efficient Liquid Ignitors,0.5,+2%,
315,Re-sealed Purifier Unit,0.5,,+2%
316,Efficient Saline Beam,0.5,,+2%
317,Reinforced Saline Beam,0.5,,+2%
318,Well-Made Liquid Ignitors,0.5,+2%,
319,Reinforced Lux Stabiliser,0.0,+1%,
320,Well-Made Sonic Batteries,0.5,,+2%
321,Reinforced Liquid Ignitors,0.5,,+2%
322,Well-Made Pressure Nozzle,0.5,,+2%
323,Re-sealed Purifier Unit,1.0,+3%,
324,Well-Made Sonic Batteries,1.0,+3%,
325,Efficient Sonic Batteries,0.5,,+2%
326,Efficient Hyperthermal Pump,0.0,+1%,
327,Re-sealed Sonar Array,0.5,,+2%
328,Uncorroded Power Array,0.0,+1%,
329,Uncorroded Hyperthermal Pump,0.5,,+2%
330,Efficient Hyperthermal Pump,0.5,,+2%
331,Re-sealed Ion Coils,0.5,,+2%
332,Uncorroded Sonic Batteries,0.0,+1%,
333,Uncorroded Ion Coils,0.0,+1%,
334,Reinforced Liquid Ignitors,0.5,,+2%
335,Efficient Lux Stabiliser,0.0,+1%,
336,Re-sealed Liquid Ignitors,0.5,+2%,
337,Efficient Pressure Nozzle,0.0,+1%,
338,Well-Made Pressure Nozzle,0.5,,+2%
339,Reinforced Sonic Batteries,0.0,+1%,
340,Re-sealed Power Array,0.0,+1%,
341,Well-Made Pressure Nozzle,0.5,,+2%
342,Re-sealed Purifier Unit,0.0,+1%,
343,Uncorroded Power Array,0.0,+1%,
344,Uncorroded Sonar Array,0.5,,+2%
345,Re-sealed Purifier Unit,1.0,+3%,
346,Re-sealed Hyperthermal Pump,0.0,+1%,
347,Uncorroded Power Array,0.5,,+2%
348,Uncorroded Pressure Nozzle,0.5,,+2%
349,Reinforced Lux Stabiliser,0.5,,+2%
350,Efficient Sonar Array,0.0,,+1%
351,Efficient Sonic Batteries,0.5,,+2%
352,Uncorroded Hyperthermal Pump,0.0,+1%,
353,Uncorroded Power Array,0.0,+1%,
354,Uncorroded Purifier Unit,0.5,,+2%
355,Re-sealed Sonar Array,0.5,,+2%
356,Re-sealed Ion Coils,0.5,,+2%
357,Well-Made Purifier Unit,0.5,+2%,
358,Reinforced Sonic Batteries,0.5,,+2%
359,Reinforced Ion Coils,0.0,+1%,
360,Uncorroded Saline Beam,0.0,+1%,
361,Reinforced Sonic Batteries,0.5,+2%,
362,Re-sealed Purifier Unit,0.5,,+2%
363,Reinforced Sonar Array,0.5,,+2%
364,Uncorroded Power Array,0.5,,+2%
365,Re-sealed Saline Beam,0.5,+2%,
366,Reinforced Lux Stabiliser,0.0,,+1%
367,Well-Made Ion Coils,0.0,+1%,
368,Uncorroded Power Array,0.0,+1%,
369,Well-Made Sonic Batteries,0.0,+1%,
370,Efficient Liquid Ignitors,0.0,+1%,
371,Well-Made Sonar Array,0.5,+2%,
372,Efficient Liquid Ignitors,0.5,+2%,
373,Re-sealed Saline Beam,0.0,+1%,
374,Well-Made Liquid Ignitors,0.5,,+2%
375,Efficient Lux Stabiliser,0.5,,+2%
376,Re-sealed Sonar Array,0.0,+1%,
377,Well-Made Sonar Array,0.5,,+2%
378,Reinforced Liquid Ignitors,0.5,,+2%
379,Reinforced Sonic Batteries,0.5,,+2%
380,Re-sealed Lux Stabiliser,0.5,,+2%
381,Well-Made Liquid Ignitors,0.5,,+2%
382,Well-Made Hyperthermal Pump,0.5,,+2%
383,Reinforced Liquid Ignitors,0.0,+1%,
384,Reinforced Lux Stabiliser,0.0,+1%,
385,Reinforced Saline Beam,0.0,+1%,
386,Re-sealed Lux Stabiliser,0.5,,+2%
387,Uncorroded Pressure Nozzle,0.5,,+2%
388,Uncorroded Sonic Batteries,0.5,,+2%
389,Efficient Power Array,0.5,,+2%
390,Reinforced Power Array,0.0,+1%,
391,Uncorroded Liquid Ignitors,0.5,,+2%
392,Well-Made Liquid Ignitors,0.5,,+2%
393,Uncorroded Sonic Batteries,0.5,,+2%
394,Reinforced Liquid Ignitors,0.0,+1%,
395,Uncorroded Ion Coils,0.5,,+2%
396,Reinforced Purifier Unit,0.5,,+2%
397,Uncorroded Sonar Array,0.5,,+2%
398,Reinforced Pressure Nozzle,1.0,,+3%
399,Re-sealed Purifier Unit,0.5,,+2%
400,Re-sealed Ion Coils,0.0,+1%,
401,Re-sealed Ion Coils,0.0,+1%,
402,Uncorroded Liquid Ignitors,0.5,,+2%
403,Reinforced Saline Beam,0.5,,+2%
404,Reinforced Saline Beam,0.5,,+2%
405,Re-sealed Saline Beam,0.5,+2%,
406,Re-sealed Lux Stabiliser,0.0,+1%,
407,Re-sealed Liquid Ignitors,0.5,+2%,
408,Well-Made Hyperthermal Pump,0.0,+1%,
409,Uncorroded Power Array,1.0,+3%,
410,Efficient Ion Coils,0.5,,+2%
411,Re-sealed Sonic Batteries,1.0,,+3%
412,Well-Made Purifier Unit,0.5,,+2%
413,Uncorroded Power Array,0.5,,+2%
414,Efficient Purifier Unit,1.0,+3%,
415,Reinforced Saline Beam,0.0,+1%,
416,Uncorroded Purifier Unit,0.5,,+2%
417,Uncorroded Hyperthermal Pump,0.5,,+2%
418,Well-Made Saline Beam,0.5,,+2%
419,Uncorroded Pressure Nozzle,0.0,+1%,
420,Re-sealed Lux Stabiliser,0.5,+2%,
421,Reinforced Sonic Batteries,1.0,,+3%
422,Reinforced Power Array,1.0,,+3%
423,Well-Made Hyperthermal Pump,0.0,+1%,
424,Reinforced Sonar Array,0.5,,+2%
425,Re-sealed Lux Stabiliser,0.0,+1%,
426,Re-sealed Power Array,0.5,,+2%
427,Efficient Sonic Batteries,0.5,+2%,
428,Reinforced Liquid Ignitors,0.0,+1%,
429,Uncorroded Saline Beam,0.5,+2%,
430,Reinforced Liquid Ignitors,0.0,+1%,
431,Well-Made Saline Beam,0.5,,+2%
432,Re-sealed Pressure Nozzle,0.5,,+2%
433,Re-sealed Purifier Unit,0.0,+1%,
434,Well-Made Sonar Array,0.5,,+2%
435,Uncorroded Lux Stabiliser,0.5,+2%,
436,Uncorroded Power Array,0.5,+2%,
437,Uncorroded Purifier Unit,0.5,+2%,
438,Reinforced Lux Stabiliser,0.5,+2%,
439,Efficient Pressure Nozzle,0.5,,+2%
440,Well-Made Lux Stabiliser,0.5,,+2%
441,Re-sealed Liquid Ignitors,0.0,+1%,
442,Re-sealed Sonic Batteries,1.0,,+3%
443,Well-Made Power Array,0.0,+1%,
444,Efficient Sonic Batteries,1.0,,+3%
445,Efficient Liquid Ignitors,0.0,+1%,
446,Re-sealed Liquid Ignitors,0.0,+1%,
447,Re-sealed Ion Coils,0.0,+1%,
448,Reinforced Liquid Ignitors,1.0,,+3%
449,Well-Made Lux Stabiliser,0.0,+1%,
450,Re-sealed Saline Beam,0.5,,+2%
451,Efficient Power Array,0.5,,+2%
452,Well-Made Purifier Unit,0.0,+1%,
453,Efficient Purifier Unit,0.5,,+2%
454,Well-Made Saline Beam,1.0,,+3%
455,Reinforced Ion Coils,0.5,,+2%
456,Re-sealed Sonar Array,0.5,+2%,
457,Re-sealed Lux Stabiliser,1.0,,+3%
458,Uncorroded Lux Stabiliser,0.0,+1%,
459,Efficient Liquid Ignitors,0.5,,+2%
460,Well-Made Pressure Nozzle,0.0,,+1%
461,Reinforced Pressure Nozzle,0.5,+2%,
462,Well-Made Sonic Batteries,0.0,+1%,
463,Efficient Purifier Unit,0.5,+2%,
464,Reinforced Sonic Batteries,0.5,+2%,
465,Efficient Power Array,1.0,+3%,
466,Well-Made Pressure Nozzle,0.5,+2%,
467,Efficient Sonar Array,0.5,,+2%
468,Reinforced Sonic Batteries,0.5,+2%,
469,Uncorroded Sonar Array,0.5,+2%,
470,Efficient Pressure Nozzle,0.5,,+2%
471,Uncorroded Lux Stabiliser,1.0,,+3%
472,Reinforced Hyperthermal Pump,0.5,+2%,
473,Reinforced Hyperthermal Pump,0.0,+1%,
474,Uncorroded Ion Coils,0.5,,+2%
475,Uncorroded Liquid Ignitors,0.5,,+2%
476,Reinforced Lux Stabiliser,0.0,+1%,
477,Efficient Purifier Unit,0.5,,+2%
478,Efficient Pressure Nozzle,0.0,+1%,
479,Re-sealed Liquid Ignitors,0.0,+1%,
480,Well-Made Purifier Unit,0.5,+2%,
481,Uncorroded Sonar Array,0.5,+2%,
482,Uncorroded Power Array,0.5,,+2%
483,Re-sealed Sonic Batteries,1.0,,+3%
484,Reinforced Sonic Batteries,0.5,,+2%
485,Uncorroded Lux Stabiliser,0.5,,+2%
486,Uncorroded Sonar Array,1.0,,+3%
487,Well-Made Sonar Array,0.5,,+2%
488,Reinforced Purifier Unit,0.0,+1%,
489,Efficient Hyperthermal Pump,0.0,+1%,
490,Uncorroded Pressure Nozzle,0.5,+2%,
491,Efficient Ion Coils,0.5,,+2%
492,Well-Made Ion Coils,0.0,+1%,
493,Reinforced Lux Stabiliser,1.0,,+3%
494,Uncorroded Liquid Ignitors,0.0,+1%,
495,Uncorroded Purifier Unit,0.5,+2%,
496,Reinforced Ion Coils,0.0,+1%,
497,Efficient Hyperthermal Pump,0.5,,+2%
498,Efficient Liquid Ignitors,0.0,+1%,
499,Efficient Pressure Nozzle,1.0,,+3%
500,Reinforced Saline Beam,0.5,+2%,
501,Reinforced Sonic Batteries,0.0,+1%,
502,Reinforced Saline Beam,0.5,+2%,
503,Uncorroded Ion Coils,0.0,+1%,
504,Uncorroded Sonar Array,0.0,+1%,
505,Re-sealed Power Array,0.5,+2%,
506,Efficient Lux Stabiliser,0.5,+2%,
507,Re-sealed Liquid Ignitors,0.5,,+2%
508,Well-Made Power Array,0.0,+1%,
509,Reinforced Sonar Array,1.0,,+3%
510,Efficient Sonar Array,0.5,+2%,
511,Efficient Lux Stabiliser,0.0,+1%,
512,Uncorroded Sonic Batteries,0.5,,+2%
513,Reinforced Saline Beam,0.5,+2%,
514,Well-Made Lux Stabiliser,0.5,,+2%
515,Efficient Hyperthermal Pump,0.5,+2%,
516,Reinforced Ion Coils,0.0,+1%,
517,Re-sealed Lux Stabiliser,0.0,,+1%
518,Well-Made Pressure Nozzle,0.0,+1%,
519,Uncorroded Liquid Ignitors,0.5,+2%,
520,Uncorroded Sonic Batteries,0.5,,+2%
521,Re-sealed Pressure Nozzle,0.5,,+2%
522,Uncorroded Sonar Array,0.5,+2%,
523,Re-sealed Pressure Nozzle,0.0,+1%,
524,Re-sealed Sonic Batteries,0.0,+1%,
525,Well-Made Purifier Unit,0.5,,+2%
526,Efficient Saline Beam,0.5,+2%,
527,Efficient Ion Coils,0.5,,+2%
528,Well-Made Lux Stabiliser,1.0,,+3%
529,Uncorroded Sonic Batteries,0.5,,+2%
530,Reinforced Pressure Nozzle,0.5,+2%,
531,Re-sealed Liquid Ignitors,0.5,,+2%
532,Re-sealed Power Array,1.0,,+3%
533,Efficient Pressure Nozzle,0.0,+1%,
534,Efficient Purifier Unit,0.5,,+2%
535,Reinforced Ion Coils,0.5,+2%,
536,Efficient Saline Beam,0.5,+2%,
537,Well-Made Purifier Unit,0.5,,+2%
538,Uncorroded Hyperthermal Pump,1.0,+3%,
539,Re-sealed Saline Beam,0.0,+1%,
540,Well-Made Power Array,0.5,,+2%
541,Re-sealed Sonar Array,0.0,+1%,
542,Well-Made Liquid Ignitors,0.5,,+2%
543,Re-sealed Pressure Nozzle,0.0,+1%,
544,Well-Made Purifier Unit,0.5,,+2%
545,Reinforced Saline Beam,0.5,,+2%
546,Reinforced Sonic Batteries,0.5,,+2%
547,Re-sealed Pressure Nozzle,0.5,,+2%
548,Well-Made Pressure Nozzle,0.5,,+2%
549,Reinforced Ion Coils,0.0,+1%,
550,Well-Made Liquid Ignitors,0.5,,+2%
551,Re-sealed Purifier Unit,1.0,,+3%
552,Uncorroded Saline Beam,0.5,,+2%
553,Reinforced Saline Beam,0.0,+1%,
554,Uncorroded Lux Stabiliser,0.0,+1%,
555,Re-sealed Sonic Batteries,0.0,+1%,
556,Efficient Sonic Batteries,0.0,+1%,
557,Efficient Purifier Unit,0.5,,+2%
558,Uncorroded Sonar Array,0.5,+2%,
559,Re-sealed Sonar Array,0.5,+2%,
560,Reinforced Sonic Batteries,0.5,,+2%
561,Reinforced Purifier Unit,0.0,+1%,
562,Reinforced Ion Coils,0.0,+1%,
563,Re-sealed Sonar Array,0.5,,+2%
564,Well-Made Lux Stabiliser,0.5,,+2%
