sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunHeatTime,Vehicle_GunRate
387,Copper Magnets,0.25,,,+2%
388,Copper Mass Chamber,0.5,,,+3%
389,Backup Capacitors,0.25,,,+2%
390,Reinforced Capacitors,0.5,,+5%,
391,Copper Recycler,0.25,,,+2%
392,Well-Made Recycler,0.25,,,+2%
393,Copper Mass Chamber,0.125,,+2%,
394,Reinforced Recycler,0.844,+3%,+4%,
395,Copper Injectors,0.125,,+2%,
396,Reinforced Core,0.375,,+4%,
397,Copper Accelerator,0.344,,+2%,+2%
398,Reinforced Magnets,0.125,,+2%,
399,Additional Core,0.344,,+2%,+2%
400,Additional Injectors,0.625,+1%,+5%,
401,Additional Injectors,0.156,+1%,+2%,
402,Copper Recycler,0.5,,,+3%
403,Reinforced Plating,0.25,,,+2%
404,Reinforced Plating,0.5,,+5%,
405,Additional Plating,0.0,+1%,,
406,Additional Stabiliser,0.125,,+2%,
407,Additional Recycler,0.25,+2%,,
408,Well-Made Generator Unit,0.125,,+2%,
409,Copper Capacitors,0.5,+2%,+3%,
410,Backup Injectors,0.531,,+2%,+3%
411,Additional Mass Chamber,0.25,,,+2%
412,Well-Made Core,0.25,,,+2%
413,Copper Capacitors,0.125,,+2%,
414,Backup Core,0.531,+3%,+2%,
415,Reinforced Plating,0.125,,+2%,
416,Copper Core,0.75,+2%,,+3%
417,Copper Generator Unit,0.344,,+2%,+2%
418,Well-Made Plating,0.25,+2%,,
419,Copper Magnets,0.125,,+2%,
420,Additional Stabiliser,0.531,+3%,+2%,
421,Reinforced Mass Chamber,0.25,,,+2%
422,Reinforced Capacitors,0.531,,+2%,+3%
423,Well-Made Generator Unit,0.625,+1%,+5%,
424,Reinforced Accelerator,0.25,,,+2%
425,Additional Stabiliser,0.812,+2%,+5%,
426,Additional Capacitors,0.25,,,+2%
427,Backup Mass Chamber,0.344,+2%,+2%,
428,Reinforced Recycler,0.5,+1%,,+3%
429,Copper Plating,0.0,+1%,,
430,Reinforced Recycler,0.25,+2%,,
431,Well-Made Plating,0.125,,+2%,
432,Additional Magnets,0.25,,,+2%
433,Additional Core,0.25,,,+2%
434,Well-Made Accelerator,0.344,,+2%,+2%
435,Copper Stabiliser,0.25,+2%,,
436,Copper Capacitors,0.0,+1%,,
437,Copper Core,0.25,+2%,,
438,Reinforced Stabiliser,0.5,+2%,,+2%
439,Backup Magnets,0.375,,+4%,
440,Well-Made Stabiliser,0.25,,,+2%
441,Additional Recycler,0.344,+2%,+2%,
442,Additional Mass Chamber,0.812,,+5%,+2%
443,Well-Made Capacitors,0.0,+1%,,
444,Backup Mass Chamber,0.125,,+2%,
445,Backup Recycler,0.5,,+5%,
446,Additional Recycler,0.125,,+2%,
447,Additional Injectors,0.5,,+5%,
448,Reinforced Recycler,0.25,,,+2%
449,Well-Made Stabiliser,0.125,,+2%,
450,Additional Plating,0.5,,+5%,
451,Backup Capacitors,0.25,,,+2%
452,Well-Made Core,0.75,+2%,,+3%
453,Backup Core,0.25,,,+2%
454,Well-Made Plating,0.125,,+2%,
455,Reinforced Injectors,0.25,+2%,,
456,Additional Accelerator,0.688,+3%,+3%,
457,Additional Stabiliser,0.25,,,+2%
458,Copper Stabiliser,0.812,+2%,+5%,
459,Backup Recycler,0.25,,,+2%
460,Well-Made Magnets,0.25,,,+2%
461,Reinforced Magnets,0.25,+2%,,
462,Well-Made Mass Chamber,0.125,,+2%,
463,Backup Core,0.0,+1%,,
464,Reinforced Mass Chamber,0.0,+1%,,
465,Backup Capacitors,0.0,+1%,,
466,Well-Made Magnets,0.156,+1%,+2%,
467,Backup Accelerator,0.125,,+2%,
468,Reinforced Mass Chamber,0.0,+1%,,
469,Copper Accelerator,0.0,+1%,,
470,Backup Magnets,0.25,+1%,,+2%
471,Copper Stabiliser,0.344,,+2%,+2%
472,Reinforced Generator Unit,0.25,+2%,,
473,Reinforced Generator Unit,0.5,,+5%,
474,Copper Injectors,0.5,,+5%,
475,Copper Recycler,0.344,,+2%,+2%
476,Reinforced Stabiliser,0.5,,+5%,
477,Backup Core,0.75,+2%,,+3%
478,Backup Magnets,0.25,,+3%,
479,Additional Recycler,0.25,,,+2%
480,Well-Made Core,0.0,+1%,,
481,Copper Accelerator,0.0,+1%,,
482,Copper Capacitors,0.125,,+2%,
483,Additional Mass Chamber,0.125,,+2%,
484,Reinforced Mass Chamber,0.5,,,+3%
485,Copper Stabiliser,0.75,+2%,,+3%
486,Copper Accelerator,0.125,,+2%,
487,Well-Made Accelerator,0.0,+1%,,
488,Reinforced Core,0.125,,+2%,
489,Backup Generator Unit,0.469,+1%,+4%,
490,Copper Magnets,0.25,+2%,,
491,Backup Injectors,0.75,+2%,,+3%
492,Well-Made Injectors,0.156,+1%,+2%,
493,Reinforced Stabiliser,0.531,,+2%,+3%
494,Copper Recycler,0.125,,+2%,
495,Copper Core,0.25,+2%,,
496,Reinforced Injectors,0.5,,,+3%
497,Backup Generator Unit,0.125,,+2%,
498,Backup Recycler,0.5,+1%,,+3%
499,Backup Magnets,0.5,,+3%,+2%
500,Reinforced Plating,0.25,+2%,,
501,Reinforced Mass Chamber,0.125,,+2%,
502,Reinforced Plating,0.25,+2%,,
503,Copper Injectors,0.25,,,+2%
504,Copper Accelerator,0.5,,,+3%
505,Additional Capacitors,0.0,+1%,,
506,Backup Stabiliser,0.25,+2%,,
507,Additional Recycler,0.656,,+4%,+2%
508,Well-Made Capacitors,0.125,,+2%,
509,Reinforced Accelerator,0.125,,+2%,
510,Backup Accelerator,0.156,+1%,+2%,
511,Backup Stabiliser,0.0,+1%,,
512,Copper Mass Chamber,0.5,,,+3%
513,Reinforced Plating,0.344,+2%,+2%,
514,Well-Made Stabiliser,0.25,,,+2%
515,Backup Generator Unit,0.0,+1%,,
516,Reinforced Injectors,0.5,+1%,,+3%
517,Additional Stabiliser,0.0,+1%,,
518,Well-Made Magnets,0.5,+2%,,+2%
519,Copper Recycler,0.0,+1%,,
520,Copper Mass Chamber,0.25,,,+2%
521,Additional Magnets,0.25,,,+2%
522,Copper Accelerator,0.0,+1%,,
523,Additional Magnets,0.656,+2%,+4%,
524,Additional Mass Chamber,0.25,,,+2%
525,Well-Made Core,0.25,,,+2%
526,Backup Plating,0.0,+1%,,
527,Backup Injectors,0.5,+3%,,
528,Well-Made Stabiliser,0.25,,,+2%
529,Copper Mass Chamber,0.25,,,+2%
530,Reinforced Magnets,0.25,+2%,,
531,Additional Recycler,0.531,,+2%,+3%
532,Additional Capacitors,0.125,,+2%,
533,Backup Magnets,0.375,,+4%,
534,Backup Core,0.5,,,+3%
535,Reinforced Injectors,0.25,+2%,,
536,Backup Plating,0.25,+2%,,
537,Well-Made Core,0.5,,+5%,
538,Copper Generator Unit,0.156,+1%,+2%,
539,Additional Plating,0.25,+1%,,+2%
540,Well-Made Capacitors,0.5,,,+3%
541,Additional Accelerator,0.531,+3%,+2%,
542,Well-Made Recycler,0.531,,+2%,+3%
543,Additional Magnets,0.156,+1%,+2%,
544,Well-Made Core,0.25,,,+2%
545,Reinforced Plating,0.5,,,+3%
546,Reinforced Mass Chamber,0.812,,+5%,+2%
547,Additional Magnets,0.344,,+2%,+2%
548,Well-Made Magnets,0.25,,,+2%
549,Reinforced Injectors,0.25,,,+2%
550,Well-Made Recycler,0.375,,+4%,
551,Additional Core,0.125,,+2%,
552,Copper Plating,0.25,,,+2%
553,Reinforced Plating,0.156,+1%,+2%,
554,Copper Stabiliser,0.25,,+3%,
555,Additional Mass Chamber,0.125,,+2%,
556,Backup Mass Chamber,0.0,+1%,,
557,Backup Core,0.5,,,+3%
558,Copper Accelerator,0.0,+1%,,
559,Additional Accelerator,0.344,+2%,+2%,
560,Reinforced Mass Chamber,0.5,+1%,,+3%
561,Reinforced Core,0.469,+1%,+4%,
562,Reinforced Injectors,0.25,,,+2%
563,Additional Accelerator,0.25,+1%,,+2%
564,Well-Made Stabiliser,0.0,+1%,,
565,Backup Recycler,0.125,,+2%,
566,Backup Generator Unit,0.25,,,+2%
567,Well-Made Mass Chamber,0.5,+2%,,+2%
568,Reinforced Generator Unit,0.344,,+2%,+2%
569,Copper Generator Unit,0.344,,+2%,+2%
570,Copper Plating,0.25,,,+2%
571,Reinforced Plating,0.25,,,+2%
572,Additional Plating,0.25,+2%,,
573,Backup Recycler,0.25,,,+2%
574,Reinforced Mass Chamber,0.344,,+2%,+2%
575,Copper Recycler,0.25,,+3%,
576,Copper Plating,0.812,,+5%,+2%
577,Reinforced Plating,0.5,,,+3%
578,Copper Injectors,0.25,,,+2%
579,Well-Made Injectors,0.156,+1%,+2%,
580,Backup Mass Chamber,0.125,,+2%,
581,Reinforced Recycler,0.75,+2%,,+3%
582,Copper Stabiliser,0.125,,+2%,
583,Backup Stabiliser,0.344,+2%,+2%,
584,Backup Injectors,0.5,,,+3%
585,Backup Injectors,0.25,,,+2%
586,Well-Made Stabiliser,0.344,,+2%,+2%
587,Backup Stabiliser,0.469,+1%,+4%,
588,Backup Generator Unit,0.5,+3%,,
589,Backup Accelerator,0.25,,,+2%
590,Reinforced Generator Unit,0.0,+1%,,
591,Well-Made Plating,0.0,+1%,,
592,Well-Made Magnets,0.25,+2%,,
593,Reinforced Core,0.375,,+4%,
594,Well-Made Accelerator,0.0,+1%,,
595,Backup Magnets,0.156,+1%,+2%,
596,Reinforced Plating,0.25,+1%,,+2%
597,Well-Made Plating,0.25,+1%,,+2%
598,Reinforced Core,0.344,+2%,+2%,
599,Reinforced Core,0.125,,+2%,
600,Backup Plating,0.656,,+4%,+2%
601,Backup Core,0.5,,,+3%
602,Copper Capacitors,0.25,+1%,,+2%
603,Reinforced Mass Chamber,0.125,,+2%,
604,Copper Accelerator,0.25,+2%,,
605,Well-Made Capacitors,0.25,+1%,,+2%
606,Reinforced Capacitors,0.25,,,+2%
607,Reinforced Core,0.25,+1%,,+2%
608,Copper Stabiliser,0.25,+1%,,+2%
609,Backup Generator Unit,0.0,+1%,,
610,Well-Made Stabiliser,0.125,,+2%,
611,Backup Injectors,0.25,,,+2%
612,Reinforced Core,0.0,+1%,,
613,Backup Core,0.25,,,+2%
614,Copper Plating,0.25,,,+2%
615,Backup Plating,0.25,+2%,,
616,Well-Made Plating,0.25,+1%,,+2%
617,Reinforced Injectors,0.5,+1%,,+3%
618,Backup Generator Unit,0.25,+2%,,
619,Additional Core,0.75,+2%,,+3%
620,Well-Made Recycler,0.344,,+2%,+2%
621,Copper Magnets,0.156,+1%,+2%,
622,Well-Made Recycler,0.25,+2%,,
623,Copper Injectors,0.25,+1%,,+2%
