Seed,Name,Perfection,Vehicle_LaserDamage,Vehicle_LaserHeatTime
221,Additional Beam Capacitor,1.0,,+5%
222,Retuned Lens Optics,0.0,+6%,
223,Boosted Lens Optics,0.75,,+4%
224,Additional Reflector Glass,0.25,,+2%
225,Enhanced Emission Chamber,0.0,+6%,
226,Efficient Reflector Glass,0.25,,+2%
227,Enhanced Beam Capacitor,0.167,+7%,
228,Enhanced Diode Battery,0.333,+8%,
229,Efficient Output Coupler,0.25,,+2%
230,Retuned Beam Capacitor,0.75,,+4%
231,Retuned Beam Amplifier,0.25,,+2%
232,Enhanced Photon Mirror,0.333,+8%,
233,Additional Beam Capacitor,0.167,+7%,
234,Boosted Reflector Glass,0.25,,+2%
235,Enhanced Photon Mirror,0.167,+7%,
236,Boosted Lens Optics,0.25,,+2%
237,Retuned Emission Chamber,0.25,,+2%
238,Retuned Cooling System,1.0,,+5%
239,Boosted Diode Battery,0.25,,+2%
240,Retuned Diode Battery,0.25,,+2%
241,Efficient Photon Mirror,0.0,+6%,
242,Retuned Output Coupler,1.0,,+5%
243,Boosted Output Coupler,0.25,,+2%
244,Additional Diode Battery,0.75,,+4%
245,Boosted Output Coupler,0.25,,+2%
246,Additional Lens Optics,0.0,+6%,
247,Efficient Diode Battery,0.0,+6%,
248,Enhanced Photon Mirror,0.25,,+2%
249,Retuned Reflector Glass,0.25,,+2%
250,Enhanced Reflector Glass,0.667,+10%,
251,Efficient Photon Mirror,0.0,+6%,
252,Boosted Beam Capacitor,0.25,,+2%
253,Additional Emission Chamber,0.5,+9%,
254,Retuned Lens Optics,0.333,+8%,
255,Boosted Diode Battery,0.667,+10%,
256,Enhanced Emission Chamber,0.333,+8%,
257,Enhanced Diode Battery,1.0,,+5%
258,Efficient Reflector Glass,0.5,,+3%
259,Retuned Reflector Glass,0.0,+6%,
260,Retuned Reflector Glass,0.25,,+2%
261,Enhanced Beam Amplifier,0.75,,+4%
262,Enhanced Photon Mirror,0.5,,+3%
263,Retuned Beam Capacitor,0.333,+8%,
264,Enhanced Photon Mirror,0.75,,+4%
265,Boosted Light Filter,0.167,+7%,
266,Enhanced Reflector Glass,0.0,+6%,
267,Additional Beam Amplifier,0.5,,+3%
268,Enhanced Light Filter,0.333,+8%,
269,Boosted Beam Capacitor,0.75,,+4%
270,Retuned Lens Optics,0.0,+6%,
271,Enhanced Cooling System,0.0,+6%,
272,Retuned Light Filter,0.25,,+2%
273,Retuned Beam Amplifier,0.5,,+3%
274,Retuned Output Coupler,1.0,,+5%
275,Boosted Output Coupler,0.333,+8%,
276,Boosted Emission Chamber,0.0,+6%,
277,Additional Light Filter,0.75,,+4%
278,Boosted Beam Amplifier,0.0,+6%,
279,Efficient Lens Optics,0.333,+8%,
280,Additional Photon Mirror,0.0,+6%,
281,Boosted Cooling System,0.833,+11%,
282,Enhanced Cooling System,0.25,,+2%
283,Enhanced Emission Chamber,0.5,+9%,
284,Enhanced Cooling System,0.667,+10%,
285,Retuned Lens Optics,0.25,,+2%
286,Enhanced Reflector Glass,0.25,,+2%
287,Enhanced Output Coupler,0.75,,+4%
288,Enhanced Diode Battery,0.333,+8%,
289,Retuned Diode Battery,0.25,,+2%
290,Additional Beam Capacitor,0.0,+6%,
291,Boosted Beam Capacitor,0.333,+8%,
292,Additional Diode Battery,0.25,,+2%
293,Boosted Reflector Glass,0.0,+6%,
294,Additional Beam Capacitor,0.667,+10%,
295,Additional Beam Capacitor,0.25,,+2%
296,Enhanced Light Filter,0.75,,+4%
297,Boosted Photon Mirror,0.5,,+3%
298,Additional Diode Battery,0.5,,+3%
299,Boosted Lens Optics,0.167,+7%,
300,Efficient Lens Optics,0.25,,+2%
301,Retuned Reflector Glass,0.167,+7%,
302,Efficient Emission Chamber,0.0,+6%,
303,Efficient Beam Amplifier,0.167,+7%,
304,Retuned Lens Optics,0.75,,+4%
305,Boosted Light Filter,0.25,,+2%
306,Boosted Emission Chamber,0.667,+10%,
307,Boosted Light Filter,0.75,,+4%
308,Retuned Diode Battery,0.75,,+4%
309,Efficient Diode Battery,0.5,,+3%
310,Additional Photon Mirror,0.0,+6%,
311,Additional Cooling System,0.667,+10%,
312,Efficient Cooling System,0.25,,+2%
313,Enhanced Reflector Glass,0.667,+10%,
314,Efficient Photon Mirror,0.333,+8%,
315,Boosted Cooling System,0.25,,+2%
316,Efficient Emission Chamber,0.25,,+2%
317,Enhanced Emission Chamber,0.75,,+4%
318,Additional Photon Mirror,0.5,+9%,
319,Enhanced Output Coupler,0.0,+6%,
320,Additional Beam Capacitor,0.25,,+2%
321,Enhanced Photon Mirror,0.5,,+3%
322,Additional Diode Battery,0.75,,+4%
323,Boosted Cooling System,1.0,+12%,
324,Additional Beam Capacitor,1.0,+12%,
325,Efficient Beam Capacitor,0.25,,+2%
326,Efficient Light Filter,0.0,+6%,
327,Boosted Beam Amplifier,0.25,,+2%
328,Retuned Reflector Glass,0.0,+6%,
329,Retuned Light Filter,0.25,,+2%
330,Efficient Light Filter,0.5,,+3%
331,Boosted Lens Optics,0.25,,+2%
332,Retuned Beam Capacitor,0.0,+6%,
333,Retuned Lens Optics,0.0,+6%,
334,Enhanced Photon Mirror,0.5,,+3%
335,Efficient Output Coupler,0.0,+6%,
336,Boosted Photon Mirror,0.667,+10%,
337,Efficient Diode Battery,0.0,+6%,
338,Additional Diode Battery,0.75,,+4%
339,Enhanced Beam Capacitor,0.0,+6%,
340,Boosted Reflector Glass,0.0,+6%,
341,Additional Diode Battery,0.25,,+2%
342,Boosted Cooling System,0.0,+6%,
343,Retuned Reflector Glass,0.0,+6%,
344,Retuned Beam Amplifier,0.75,,+4%
345,Boosted Cooling System,1.0,+12%,
346,Boosted Light Filter,0.0,+6%,
347,Retuned Reflector Glass,0.25,,+2%
348,Retuned Diode Battery,0.5,,+3%
349,Enhanced Output Coupler,0.25,,+2%
350,Efficient Beam Amplifier,0.25,,+2%
351,Efficient Beam Capacitor,0.5,,+3%
352,Retuned Light Filter,0.0,+6%,
353,Retuned Reflector Glass,0.0,+6%,
354,Retuned Cooling System,0.25,,+2%
355,Boosted Beam Amplifier,0.75,,+4%
356,Boosted Lens Optics,0.25,,+2%
357,Additional Cooling System,0.5,+9%,
358,Enhanced Beam Capacitor,0.75,,+4%
359,Enhanced Lens Optics,0.0,+6%,
360,Retuned Emission Chamber,0.167,+7%,
361,Enhanced Beam Capacitor,0.667,+10%,
362,Boosted Cooling System,0.5,,+3%
363,Enhanced Beam Amplifier,0.25,,+2%
364,Retuned Reflector Glass,0.25,,+2%
365,Boosted Emission Chamber,0.333,+8%,
366,Enhanced Output Coupler,0.25,,+2%
367,Additional Lens Optics,0.0,+6%,
368,Retuned Reflector Glass,0.0,+6%,
369,Additional Beam Capacitor,0.0,+6%,
370,Efficient Photon Mirror,0.0,+6%,
371,Additional Beam Amplifier,0.333,+8%,
372,Efficient Photon Mirror,0.333,+8%,
373,Boosted Emission Chamber,0.167,+7%,
374,Additional Photon Mirror,0.75,,+4%
375,Efficient Output Coupler,0.25,,+2%
376,Boosted Beam Amplifier,0.0,+6%,
377,Additional Beam Amplifier,0.5,,+3%
378,Enhanced Photon Mirror,0.25,,+2%
379,Enhanced Beam Capacitor,0.25,,+2%
380,Boosted Output Coupler,0.5,,+3%
381,Additional Photon Mirror,0.25,,+2%
382,Additional Light Filter,0.25,,+2%
383,Enhanced Photon Mirror,0.0,+6%,
384,Enhanced Output Coupler,0.0,+6%,
385,Enhanced Emission Chamber,0.0,+6%,
386,Boosted Output Coupler,0.25,,+2%
387,Retuned Diode Battery,0.25,,+2%
388,Retuned Beam Capacitor,0.25,,+2%
389,Efficient Reflector Glass,0.25,,+2%
390,Enhanced Reflector Glass,0.0,+6%,
391,Retuned Photon Mirror,0.75,,+4%
392,Additional Photon Mirror,0.25,,+2%
393,Retuned Beam Capacitor,0.5,,+3%
394,Enhanced Photon Mirror,0.0,+6%,
395,Retuned Lens Optics,0.75,,+4%
396,Enhanced Cooling System,0.75,,+4%
397,Retuned Beam Amplifier,0.75,,+4%
398,Enhanced Diode Battery,1.0,,+5%
399,Boosted Cooling System,0.25,,+2%
400,Boosted Lens Optics,0.167,+7%,
401,Boosted Lens Optics,0.0,+6%,
402,Retuned Photon Mirror,0.25,,+2%
403,Enhanced Emission Chamber,0.25,,+2%
404,Enhanced Emission Chamber,0.5,,+3%
405,Boosted Emission Chamber,0.833,+11%,
406,Boosted Output Coupler,0.0,+6%,
407,Boosted Photon Mirror,0.667,+10%,
408,Additional Light Filter,0.0,+6%,
409,Retuned Reflector Glass,1.0,+12%,
410,Efficient Lens Optics,0.25,,+2%
411,Boosted Beam Capacitor,0.75,,+4%
412,Additional Cooling System,0.25,,+2%
413,Retuned Reflector Glass,0.5,,+3%
414,Efficient Cooling System,1.0,+12%,
415,Enhanced Emission Chamber,0.0,+6%,
416,Retuned Cooling System,0.25,,+2%
417,Retuned Light Filter,0.25,,+2%
418,Additional Emission Chamber,0.25,,+2%
419,Retuned Diode Battery,0.0,+6%,
420,Boosted Output Coupler,0.5,+9%,
421,Enhanced Beam Capacitor,1.0,,+5%
422,Enhanced Reflector Glass,1.0,,+5%
423,Additional Light Filter,0.0,+6%,
424,Enhanced Beam Amplifier,0.25,,+2%
425,Boosted Output Coupler,0.0,+6%,
426,Boosted Reflector Glass,0.25,,+2%
427,Efficient Beam Capacitor,0.5,+9%,
428,Enhanced Photon Mirror,0.167,+7%,
429,Retuned Emission Chamber,0.333,+8%,
430,Enhanced Photon Mirror,0.167,+7%,
431,Additional Emission Chamber,0.5,,+3%
432,Boosted Diode Battery,0.25,,+2%
433,Boosted Cooling System,0.167,+7%,
434,Additional Beam Amplifier,0.25,,+2%
435,Retuned Output Coupler,0.667,+10%,
436,Retuned Reflector Glass,0.333,+8%,
437,Retuned Cooling System,0.667,+10%,
438,Enhanced Output Coupler,0.833,+11%,
439,Efficient Diode Battery,0.5,,+3%
440,Additional Output Coupler,0.25,,+2%
441,Boosted Photon Mirror,0.167,+7%,
442,Boosted Beam Capacitor,1.0,,+5%
443,Additional Reflector Glass,0.167,+7%,
444,Efficient Beam Capacitor,0.75,,+4%
445,Efficient Photon Mirror,0.167,+7%,
446,Boosted Photon Mirror,0.0,+6%,
447,Boosted Lens Optics,0.167,+7%,
448,Enhanced Photon Mirror,1.0,,+5%
449,Additional Output Coupler,0.0,+6%,
450,Boosted Emission Chamber,0.5,,+3%
451,Efficient Reflector Glass,0.25,,+2%
452,Additional Cooling System,0.167,+7%,
453,Efficient Cooling System,0.25,,+2%
454,Additional Emission Chamber,1.0,,+5%
455,Enhanced Lens Optics,0.25,,+2%
456,Boosted Beam Amplifier,0.667,+10%,
457,Boosted Output Coupler,1.0,,+5%
458,Retuned Output Coupler,0.167,+7%,
459,Efficient Photon Mirror,0.5,,+3%
460,Additional Diode Battery,0.25,,+2%
461,Enhanced Diode Battery,0.5,+9%,
462,Additional Beam Capacitor,0.0,+6%,
463,Efficient Cooling System,0.333,+8%,
464,Enhanced Beam Capacitor,0.333,+8%,
465,Efficient Reflector Glass,1.0,+12%,
466,Additional Diode Battery,0.5,+9%,
467,Efficient Beam Amplifier,0.5,,+3%
468,Enhanced Beam Capacitor,0.667,+10%,
469,Retuned Beam Amplifier,0.5,+9%,
470,Efficient Diode Battery,0.25,,+2%
471,Retuned Output Coupler,1.0,,+5%
472,Enhanced Light Filter,0.5,+9%,
473,Enhanced Light Filter,0.0,+6%,
474,Retuned Lens Optics,0.5,,+3%
475,Retuned Photon Mirror,0.5,,+3%
476,Enhanced Output Coupler,0.0,+6%,
477,Efficient Cooling System,0.5,,+3%
478,Efficient Diode Battery,0.0,+6%,
479,Boosted Photon Mirror,0.167,+7%,
480,Additional Cooling System,0.333,+8%,
481,Retuned Beam Amplifier,0.667,+10%,
482,Retuned Reflector Glass,0.5,,+3%
483,Boosted Beam Capacitor,1.0,,+5%
484,Enhanced Beam Capacitor,0.75,,+4%
485,Retuned Output Coupler,0.25,,+2%
486,Retuned Beam Amplifier,1.0,,+5%
487,Additional Beam Amplifier,0.25,,+2%
488,Enhanced Cooling System,0.167,+7%,
489,Efficient Light Filter,0.0,+6%,
490,Retuned Diode Battery,0.333,+8%,
491,Efficient Lens Optics,0.5,,+3%
492,Additional Lens Optics,0.0,+6%,
493,Enhanced Output Coupler,1.0,,+5%
494,Retuned Photon Mirror,0.0,+6%,
495,Retuned Cooling System,0.667,+10%,
496,Enhanced Lens Optics,0.0,+6%,
497,Efficient Light Filter,0.75,,+4%
498,Efficient Photon Mirror,0.0,+6%,
499,Efficient Diode Battery,0.75,,+4%
500,Enhanced Emission Chamber,0.5,+9%,
501,Enhanced Beam Capacitor,0.167,+7%,
502,Enhanced Emission Chamber,0.833,+11%,
503,Retuned Lens Optics,0.0,+6%,
504,Retuned Beam Amplifier,0.0,+6%,
505,Boosted Reflector Glass,0.667,+10%,
506,Efficient Output Coupler,0.5,+9%,
507,Boosted Photon Mirror,0.25,,+2%
508,Additional Reflector Glass,0.0,+6%,
509,Enhanced Beam Amplifier,1.0,,+5%
510,Efficient Beam Amplifier,0.333,+8%,
511,Efficient Output Coupler,0.167,+7%,
512,Retuned Beam Capacitor,0.25,,+2%
513,Enhanced Emission Chamber,0.833,+11%,
514,Additional Output Coupler,0.25,,+2%
515,Efficient Light Filter,0.833,+11%,
516,Enhanced Lens Optics,0.167,+7%,
517,Boosted Output Coupler,0.25,,+2%
518,Additional Diode Battery,0.0,+6%,
519,Retuned Photon Mirror,0.5,+9%,
520,Retuned Beam Capacitor,0.25,,+2%
521,Boosted Diode Battery,0.5,,+3%
522,Retuned Beam Amplifier,0.667,+10%,
523,Boosted Diode Battery,0.0,+6%,
524,Boosted Beam Capacitor,0.0,+6%,
525,Additional Cooling System,0.25,,+2%
526,Efficient Emission Chamber,0.333,+8%,
527,Efficient Lens Optics,0.25,,+2%
528,Additional Output Coupler,1.0,,+5%
529,Retuned Beam Capacitor,0.25,,+2%
530,Enhanced Diode Battery,0.333,+8%,
531,Boosted Photon Mirror,0.25,,+2%
532,Boosted Reflector Glass,1.0,,+5%
533,Efficient Diode Battery,0.167,+7%,
534,Efficient Cooling System,0.25,,+2%
535,Enhanced Lens Optics,0.333,+8%,
536,Efficient Emission Chamber,0.833,+11%,
537,Additional Cooling System,0.5,,+3%
538,Retuned Light Filter,1.0,+12%,
539,Boosted Emission Chamber,0.167,+7%,
540,Additional Reflector Glass,0.75,,+4%
541,Boosted Beam Amplifier,0.0,+6%,
542,Additional Photon Mirror,0.75,,+4%
543,Boosted Diode Battery,0.167,+7%,
544,Additional Cooling System,0.25,,+2%
545,Enhanced Emission Chamber,0.25,,+2%
546,Enhanced Beam Capacitor,0.75,,+4%
547,Boosted Diode Battery,0.25,,+2%
548,Additional Diode Battery,0.5,,+3%
549,Enhanced Lens Optics,0.0,+6%,
550,Additional Photon Mirror,0.5,,+3%
551,Boosted Cooling System,1.0,,+5%
552,Retuned Emission Chamber,0.25,,+2%
553,Enhanced Emission Chamber,0.0,+6%,
554,Retuned Output Coupler,0.167,+7%,
555,Boosted Beam Capacitor,0.0,+6%,
556,Efficient Beam Capacitor,0.167,+7%,
557,Efficient Cooling System,0.25,,+2%
558,Retuned Beam Amplifier,0.5,+9%,
559,Boosted Beam Amplifier,0.5,+9%,
560,Enhanced Beam Capacitor,0.25,,+2%
561,Enhanced Cooling System,0.0,+6%,
562,Enhanced Lens Optics,0.0,+6%,
563,Boosted Beam Amplifier,0.25,,+2%
564,Additional Output Coupler,0.25,,+2%
565,Efficient Photon Mirror,0.5,,+3%
566,Efficient Light Filter,0.167,+7%,
567,Additional Beam Capacitor,0.75,,+4%
568,Enhanced Light Filter,0.75,,+4%
569,Retuned Light Filter,0.25,,+2%
570,Retuned Emission Chamber,0.25,,+2%
571,Enhanced Emission Chamber,0.5,,+3%
572,Boosted Emission Chamber,0.333,+8%,
573,Efficient Photon Mirror,0.0,+6%,
574,Enhanced Beam Capacitor,0.25,,+2%
575,Retuned Photon Mirror,1.0,,+5%
576,Retuned Emission Chamber,0.75,,+4%
577,Enhanced Emission Chamber,0.75,,+4%
578,Retuned Lens Optics,0.0,+6%,
579,Additional Lens Optics,0.333,+8%,
580,Efficient Beam Capacitor,1.0,,+5%
581,Enhanced Photon Mirror,0.333,+8%,
582,Retuned Output Coupler,0.167,+7%,
583,Efficient Output Coupler,0.667,+10%,
584,Efficient Lens Optics,0.25,,+2%
585,Efficient Lens Optics,0.0,+6%,
586,Additional Output Coupler,0.25,,+2%
587,Efficient Output Coupler,0.5,+9%,
588,Efficient Light Filter,0.333,+8%,
589,Efficient Beam Amplifier,0.0,+6%,
590,Enhanced Light Filter,0.667,+10%,
591,Additional Emission Chamber,0.5,+9%,
592,Additional Diode Battery,0.25,,+2%
593,Enhanced Cooling System,0.5,,+3%
594,Additional Beam Amplifier,0.333,+8%,
595,Efficient Diode Battery,0.0,+6%,
596,Enhanced Emission Chamber,1.0,+12%,
597,Additional Emission Chamber,1.0,+12%,
598,Enhanced Cooling System,0.0,+6%,
599,Enhanced Cooling System,0.167,+7%,
600,Efficient Emission Chamber,1.0,,+5%
601,Efficient Cooling System,0.0,+6%,
602,Retuned Reflector Glass,0.0,+6%,
603,Enhanced Beam Capacitor,1.0,,+5%
604,Retuned Beam Amplifier,0.25,,+2%
605,Additional Reflector Glass,0.25,,+2%
606,Enhanced Reflector Glass,0.5,,+3%
607,Enhanced Cooling System,0.0,+6%,
608,Retuned Output Coupler,1.0,,+5%
609,Efficient Light Filter,1.0,+12%,
610,Additional Output Coupler,0.5,,+3%
611,Efficient Lens Optics,0.25,,+2%
612,Enhanced Cooling System,0.333,+8%,
613,Efficient Cooling System,0.5,,+3%
614,Retuned Emission Chamber,0.75,,+4%
615,Efficient Emission Chamber,0.333,+8%,
616,Additional Emission Chamber,1.0,,+5%
