Seed,Name,Perfection,Vehicle_EngineFuelUse,Vehicle_EngineTopSpeed
117,Tuned Neutrino Injector,0.5,,+2%
118,Alternate Electron Loom,1.0,,+3%
119,Efficient Hydrogen Dynamo,0.5,,+2%
120,Alternate Propulsion Unit,0.5,,+2%
121,Alternate Electron Loom,0.5,-3%,
122,Alternate Hydrogen Dynamo,1.0,-5%,
123,Efficient Electron Loom,0.5,,+2%
124,Backup Hydrogen Dynamo,0.75,-4%,
125,Secondary Fuel Pipes,0.5,,+2%
126,Backup Impulse Nozzle,0.25,-2%,
127,Alternate Shockwave Shield,0.5,,+2%
128,Efficient Fuel Pipes,0.25,-2%,
129,Tuned Fuel Pipes,0.5,,+2%
130,Tuned Electron Loom,0.5,,+2%
131,Efficient Magnetic Fan,0.75,-4%,
132,Efficient Electron Loom,0.5,,+2%
133,Backup Electron Loom,0.5,-3%,
134,Alternate Thrust Controller,0.25,-2%,
135,Secondary Fuel Pipes,0.5,,+2%
136,Alternate Neutrino Injector,0.5,,+2%
137,Efficient Fuel Pipes,0.25,-2%,
138,Alternate Propulsion Unit,0.5,,+2%
139,Efficient Thrust Controller,0.5,-3%,
140,Alternate Impulse Nozzle,0.25,-2%,
141,Backup Plasma Exhaust,0.25,-2%,
142,Alternate Impulse Nozzle,0.5,,+2%
143,Tuned Neutrino Injector,0.25,-2%,
144,Efficient Fuel Pipes,0.5,,+2%
145,Tuned Shockwave Shield,0.5,,+2%
146,Secondary Propulsion Unit,0.5,,+2%
147,Efficient Hydrogen Dynamo,0.25,-2%,
148,Tuned Magnetic Fan,0.5,,+2%
149,Backup Thrust Controller,0.5,,+2%
150,Tuned Propulsion Unit,0.25,-2%,
151,Backup Thrust Controller,0.75,-4%,
152,Backup Magnetic Fan,1.0,,+3%
153,Tuned Plasma Exhaust,0.5,,+2%
154,Tuned Electron Loom,0.5,,+2%
155,Secondary Electron Loom,0.25,-2%,
156,Backup Hydrogen Dynamo,0.75,-4%,
157,Efficient Propulsion Unit,0.75,-4%,
158,Backup Plasma Exhaust,0.75,-4%,
159,Efficient Magnetic Fan,0.5,,+2%
160,Backup Magnetic Fan,0.25,-2%,
161,Backup Hydrogen Dynamo,0.5,-3%,
162,Backup Neutrino Injector,0.5,,+2%
163,Alternate Propulsion Unit,1.0,,+3%
164,Tuned Magnetic Fan,0.25,-2%,
165,Efficient Hydrogen Dynamo,1.0,,+3%
166,Efficient Neutrino Injector,0.25,-2%,
167,Alternate Plasma Exhaust,1.0,,+3%
168,Alternate Impulse Nozzle,0.75,-4%,
169,Tuned Fuel Pipes,0.5,,+2%
170,Secondary Shockwave Shield,0.25,-2%,
171,Secondary Impulse Nozzle,0.75,-4%,
172,Backup Shockwave Shield,1.0,-5%,
173,Alternate Fuel Pipes,0.25,-2%,
174,Backup Electron Loom,0.5,,+2%
175,Efficient Neutrino Injector,0.5,-3%,
176,Tuned Impulse Nozzle,1.0,,+3%
177,Alternate Electron Loom,0.25,-2%,
178,Secondary Impulse Nozzle,0.5,-3%,
179,Efficient Fuel Pipes,0.5,,+2%
180,Tuned Shockwave Shield,0.25,-2%,
181,Secondary Fuel Pipes,0.25,-2%,
182,Secondary Hydrogen Dynamo,0.5,,+2%
183,Efficient Thrust Controller,0.25,-2%,
184,Tuned Hydrogen Dynamo,0.25,-2%,
185,Tuned Electron Loom,0.25,-2%,
186,Backup Thrust Controller,0.5,,+2%
187,Tuned Impulse Nozzle,0.5,,+2%
188,Secondary Hydrogen Dynamo,0.75,-4%,
189,Alternate Shockwave Shield,0.5,,+2%
190,Secondary Shockwave Shield,0.5,,+2%
191,Secondary Propulsion Unit,0.5,,+2%
192,Secondary Plasma Exhaust,0.5,-3%,
193,Backup Hydrogen Dynamo,1.0,-5%,
194,Tuned Plasma Exhaust,0.5,,+2%
195,Alternate Impulse Nozzle,1.0,,+3%
196,Efficient Impulse Nozzle,0.5,,+2%
197,Secondary Electron Loom,0.5,,+2%
198,Secondary Magnetic Fan,0.5,-3%,
199,Tuned Shockwave Shield,0.5,,+2%
200,Secondary Propulsion Unit,1.0,-5%,
201,Secondary Electron Loom,0.25,-2%,
202,Efficient Electron Loom,0.75,-4%,
203,Secondary Shockwave Shield,0.25,-2%,
204,Secondary Hydrogen Dynamo,1.0,,+3%
205,Alternate Fuel Pipes,1.0,,+3%
206,Efficient Shockwave Shield,0.5,,+2%
207,Backup Magnetic Fan,0.5,,+2%
208,Secondary Electron Loom,0.25,-2%,
209,Efficient Fuel Pipes,0.5,,+2%
210,Efficient Propulsion Unit,1.0,-5%,
211,Efficient Hydrogen Dynamo,0.5,,+2%
212,Alternate Magnetic Fan,0.5,,+2%
213,Tuned Shockwave Shield,0.75,-4%,
214,Secondary Propulsion Unit,1.0,-5%,
215,Tuned Fuel Pipes,0.25,-2%,
216,Backup Plasma Exhaust,0.5,,+2%
217,Secondary Impulse Nozzle,0.75,-4%,
218,Alternate Hydrogen Dynamo,0.5,,+2%
219,Secondary Shockwave Shield,0.5,,+2%
220,Efficient Thrust Controller,1.0,,+3%
221,Tuned Thrust Controller,0.5,,+2%
222,Efficient Impulse Nozzle,0.5,-3%,
223,Backup Impulse Nozzle,0.5,,+2%
224,Tuned Neutrino Injector,1.0,,+3%
225,Alternate Shockwave Shield,0.75,-4%,
226,Secondary Neutrino Injector,1.0,,+3%
227,Alternate Thrust Controller,0.5,-3%,
228,Alternate Plasma Exhaust,0.25,-2%,
229,Secondary Electron Loom,0.5,,+2%
230,Efficient Thrust Controller,0.5,,+2%
231,Efficient Propulsion Unit,0.5,,+2%
232,Alternate Magnetic Fan,0.25,-2%,
233,Tuned Thrust Controller,0.5,-3%,
234,Backup Neutrino Injector,1.0,,+3%
235,Alternate Magnetic Fan,0.25,-2%,
236,Backup Impulse Nozzle,1.0,,+3%
237,Efficient Shockwave Shield,0.5,,+2%
238,Efficient Hydrogen Dynamo,0.5,,+2%
239,Backup Plasma Exhaust,1.0,,+3%
240,Efficient Plasma Exhaust,0.5,,+2%
241,Secondary Magnetic Fan,0.75,-4%,
242,Efficient Electron Loom,0.5,,+2%
243,Backup Electron Loom,1.0,,+3%
244,Tuned Plasma Exhaust,0.5,,+2%
245,Backup Electron Loom,1.0,,+3%
246,Tuned Impulse Nozzle,1.0,-5%,
247,Secondary Plasma Exhaust,1.0,-5%,
248,Alternate Magnetic Fan,1.0,,+3%
249,Efficient Neutrino Injector,0.5,,+2%
250,Alternate Neutrino Injector,0.25,-2%,
251,Secondary Magnetic Fan,0.5,-3%,
252,Backup Thrust Controller,1.0,,+3%
253,Tuned Shockwave Shield,0.25,-2%,
254,Efficient Impulse Nozzle,0.25,-2%,
255,Backup Plasma Exhaust,0.25,-2%,
256,Alternate Shockwave Shield,0.25,-2%,
257,Alternate Plasma Exhaust,0.5,,+2%
258,Secondary Neutrino Injector,0.5,,+2%
259,Efficient Neutrino Injector,1.0,-5%,
260,Efficient Neutrino Injector,0.5,,+2%
261,Alternate Propulsion Unit,0.5,,+2%
262,Alternate Magnetic Fan,0.5,,+2%
263,Efficient Thrust Controller,0.25,-2%,
264,Alternate Magnetic Fan,0.5,,+2%
265,Backup Fuel Pipes,0.25,-2%,
266,Alternate Neutrino Injector,1.0,-5%,
267,Tuned Propulsion Unit,0.5,,+2%
268,Alternate Fuel Pipes,0.25,-2%,
269,Backup Thrust Controller,0.5,,+2%
270,Efficient Impulse Nozzle,1.0,-5%,
271,Alternate Hydrogen Dynamo,0.75,-4%,
272,Efficient Fuel Pipes,0.5,,+2%
273,Efficient Propulsion Unit,0.5,,+2%
274,Efficient Electron Loom,0.5,,+2%
275,Backup Electron Loom,0.25,-2%,
276,Backup Shockwave Shield,0.75,-4%,
277,Tuned Fuel Pipes,0.5,,+2%
278,Backup Propulsion Unit,0.5,-3%,
279,Secondary Impulse Nozzle,0.25,-2%,
280,Tuned Magnetic Fan,0.75,-4%,
281,Backup Hydrogen Dynamo,0.25,-2%,
282,Alternate Hydrogen Dynamo,1.0,,+3%
283,Alternate Shockwave Shield,0.25,-2%,
284,Alternate Hydrogen Dynamo,0.25,-2%,
285,Efficient Impulse Nozzle,0.5,,+2%
286,Alternate Neutrino Injector,0.5,,+2%
287,Alternate Electron Loom,0.5,,+2%
288,Alternate Plasma Exhaust,0.25,-2%,
289,Efficient Plasma Exhaust,1.0,,+3%
290,Tuned Thrust Controller,0.75,-4%,
291,Backup Thrust Controller,0.25,-2%,
292,Tuned Plasma Exhaust,1.0,,+3%
293,Backup Neutrino Injector,0.75,-4%,
294,Tuned Thrust Controller,0.25,-2%,
295,Tuned Thrust Controller,1.0,,+3%
296,Alternate Fuel Pipes,0.5,,+2%
297,Backup Magnetic Fan,0.5,,+2%
298,Tuned Plasma Exhaust,0.5,,+2%
299,Backup Impulse Nozzle,0.5,-3%,
300,Secondary Impulse Nozzle,1.0,,+3%
301,Efficient Neutrino Injector,0.5,-3%,
302,Secondary Shockwave Shield,1.0,-5%,
303,Secondary Propulsion Unit,0.5,-3%,
304,Efficient Impulse Nozzle,0.5,,+2%
305,Backup Fuel Pipes,0.5,,+2%
306,Backup Shockwave Shield,0.25,-2%,
307,Backup Fuel Pipes,0.5,,+2%
308,Efficient Plasma Exhaust,0.5,,+2%
309,Secondary Plasma Exhaust,0.5,,+2%
310,Tuned Magnetic Fan,0.5,-3%,
311,Tuned Hydrogen Dynamo,0.25,-2%,
312,Secondary Hydrogen Dynamo,1.0,,+3%
313,Alternate Neutrino Injector,0.25,-2%,
314,Secondary Magnetic Fan,0.25,-2%,
315,Backup Hydrogen Dynamo,0.5,,+2%
316,Secondary Shockwave Shield,1.0,,+3%
317,Alternate Shockwave Shield,0.5,,+2%
318,Tuned Magnetic Fan,0.25,-2%,
319,Alternate Electron Loom,0.5,-3%,
320,Tuned Thrust Controller,1.0,,+3%
321,Alternate Magnetic Fan,0.5,,+2%
322,Tuned Plasma Exhaust,0.5,,+2%
323,Backup Hydrogen Dynamo,0.25,-2%,
324,Tuned Thrust Controller,0.25,-2%,
325,Secondary Thrust Controller,1.0,,+3%
326,Secondary Fuel Pipes,0.75,-4%,
327,Backup Propulsion Unit,0.5,,+2%
328,Efficient Neutrino Injector,0.75,-4%,
329,Efficient Fuel Pipes,0.5,,+2%
330,Secondary Fuel Pipes,0.5,,+2%
331,Backup Impulse Nozzle,0.5,,+2%
332,Efficient Thrust Controller,1.0,-5%,
333,Efficient Impulse Nozzle,0.75,-4%,
334,Alternate Magnetic Fan,0.5,,+2%
335,Secondary Electron Loom,1.0,-5%,
336,Backup Magnetic Fan,0.25,-2%,
337,Secondary Plasma Exhaust,0.5,-3%,
338,Tuned Plasma Exhaust,0.5,,+2%
339,Alternate Thrust Controller,1.0,-5%,
340,Backup Neutrino Injector,0.5,-3%,
341,Tuned Plasma Exhaust,1.0,,+3%
342,Backup Hydrogen Dynamo,0.75,-4%,
343,Efficient Neutrino Injector,0.75,-4%,
344,Efficient Propulsion Unit,0.5,,+2%
345,Backup Hydrogen Dynamo,0.25,-2%,
346,Backup Fuel Pipes,1.0,-5%,
347,Efficient Neutrino Injector,0.5,,+2%
348,Efficient Plasma Exhaust,0.5,,+2%
349,Alternate Electron Loom,0.5,,+2%
350,Secondary Propulsion Unit,1.0,,+3%
351,Secondary Thrust Controller,0.5,,+2%
352,Efficient Fuel Pipes,0.75,-4%,
353,Efficient Neutrino Injector,0.75,-4%,
354,Efficient Hydrogen Dynamo,1.0,,+3%
355,Backup Propulsion Unit,0.5,,+2%
356,Backup Impulse Nozzle,0.5,,+2%
357,Tuned Hydrogen Dynamo,0.25,-2%,
358,Alternate Thrust Controller,0.5,,+2%
359,Alternate Impulse Nozzle,1.0,-5%,
360,Efficient Shockwave Shield,0.5,-3%,
361,Alternate Thrust Controller,0.25,-2%,
362,Backup Hydrogen Dynamo,0.5,,+2%
363,Alternate Propulsion Unit,1.0,,+3%
364,Efficient Neutrino Injector,1.0,,+3%
365,Backup Shockwave Shield,0.25,-2%,
366,Alternate Electron Loom,1.0,,+3%
367,Tuned Impulse Nozzle,0.75,-4%,
368,Efficient Neutrino Injector,0.5,-3%,
369,Tuned Thrust Controller,1.0,-5%,
370,Secondary Magnetic Fan,0.75,-4%,
371,Tuned Propulsion Unit,0.25,-2%,
372,Secondary Magnetic Fan,0.25,-2%,
373,Backup Shockwave Shield,0.5,-3%,
374,Tuned Magnetic Fan,0.5,,+2%
375,Secondary Electron Loom,0.5,,+2%
376,Backup Propulsion Unit,0.75,-4%,
377,Tuned Propulsion Unit,0.5,,+2%
378,Alternate Magnetic Fan,1.0,,+3%
379,Alternate Thrust Controller,0.5,,+2%
380,Backup Electron Loom,0.5,,+2%
381,Tuned Magnetic Fan,0.5,,+2%
382,Tuned Fuel Pipes,1.0,,+3%
383,Alternate Magnetic Fan,0.5,-3%,
384,Alternate Electron Loom,1.0,-5%,
385,Alternate Shockwave Shield,1.0,-5%,
386,Backup Electron Loom,1.0,,+3%
387,Efficient Plasma Exhaust,1.0,,+3%
388,Efficient Thrust Controller,1.0,,+3%
389,Secondary Neutrino Injector,0.5,,+2%
390,Alternate Neutrino Injector,0.75,-4%,
391,Efficient Magnetic Fan,0.5,,+2%
392,Tuned Magnetic Fan,1.0,,+3%
393,Efficient Thrust Controller,0.5,,+2%
394,Alternate Magnetic Fan,0.75,-4%,
395,Efficient Impulse Nozzle,0.5,,+2%
396,Alternate Hydrogen Dynamo,0.5,,+2%
397,Efficient Propulsion Unit,0.5,,+2%
398,Alternate Plasma Exhaust,0.5,,+2%
399,Backup Hydrogen Dynamo,1.0,,+3%
400,Backup Impulse Nozzle,0.5,-3%,
401,Backup Impulse Nozzle,1.0,-5%,
402,Efficient Magnetic Fan,0.5,,+2%
403,Alternate Shockwave Shield,0.5,,+2%
404,Alternate Shockwave Shield,0.5,,+2%
405,Backup Shockwave Shield,0.25,-2%,
406,Backup Electron Loom,0.5,-3%,
407,Backup Magnetic Fan,0.25,-2%,
408,Tuned Fuel Pipes,0.75,-4%,
409,Efficient Neutrino Injector,0.25,-2%,
410,Secondary Impulse Nozzle,1.0,,+3%
411,Backup Thrust Controller,0.5,,+2%
412,Tuned Hydrogen Dynamo,0.5,,+2%
413,Efficient Neutrino Injector,0.5,,+2%
414,Secondary Hydrogen Dynamo,0.25,-2%,
415,Alternate Shockwave Shield,1.0,-5%,
416,Efficient Hydrogen Dynamo,0.5,,+2%
417,Efficient Fuel Pipes,1.0,,+3%
418,Tuned Shockwave Shield,1.0,,+3%
419,Efficient Plasma Exhaust,0.75,-4%,
420,Backup Electron Loom,0.25,-2%,
421,Alternate Thrust Controller,0.5,,+2%
422,Alternate Neutrino Injector,0.5,,+2%
423,Tuned Fuel Pipes,1.0,-5%,
424,Alternate Propulsion Unit,1.0,,+3%
425,Backup Electron Loom,0.5,-3%,
426,Backup Neutrino Injector,0.5,,+2%
427,Secondary Thrust Controller,0.25,-2%,
428,Alternate Magnetic Fan,0.5,-3%,
429,Efficient Shockwave Shield,0.25,-2%,
430,Alternate Magnetic Fan,0.25,-2%,
431,Tuned Shockwave Shield,0.5,,+2%
432,Backup Plasma Exhaust,1.0,,+3%
433,Backup Hydrogen Dynamo,0.5,-3%,
434,Tuned Propulsion Unit,1.0,,+3%
435,Efficient Electron Loom,0.25,-2%,
436,Efficient Neutrino Injector,0.25,-2%,
437,Efficient Hydrogen Dynamo,0.25,-2%,
438,Alternate Electron Loom,0.25,-2%,
439,Secondary Plasma Exhaust,0.5,,+2%
440,Tuned Electron Loom,1.0,,+3%
441,Backup Magnetic Fan,0.5,-3%,
442,Backup Thrust Controller,0.5,,+2%
443,Tuned Neutrino Injector,0.25,-2%,
444,Secondary Thrust Controller,0.5,,+2%
445,Secondary Magnetic Fan,0.5,-3%,
446,Backup Magnetic Fan,1.0,-5%,
447,Backup Impulse Nozzle,0.5,-3%,
448,Alternate Magnetic Fan,0.5,,+2%
449,Tuned Electron Loom,0.5,-3%,
450,Backup Shockwave Shield,0.5,,+2%
451,Secondary Neutrino Injector,1.0,,+3%
452,Tuned Hydrogen Dynamo,0.5,-3%,
453,Secondary Hydrogen Dynamo,0.5,,+2%
454,Tuned Shockwave Shield,0.5,,+2%
455,Alternate Impulse Nozzle,1.0,,+3%
456,Backup Propulsion Unit,0.25,-2%,
457,Backup Electron Loom,0.5,,+2%
458,Efficient Electron Loom,0.5,-3%,
459,Secondary Magnetic Fan,0.5,,+2%
460,Tuned Plasma Exhaust,1.0,,+3%
461,Alternate Plasma Exhaust,0.25,-2%,
462,Tuned Thrust Controller,0.75,-4%,
463,Secondary Hydrogen Dynamo,0.25,-2%,
464,Alternate Thrust Controller,0.25,-2%,
465,Secondary Neutrino Injector,0.25,-2%,
466,Tuned Plasma Exhaust,0.25,-2%,
467,Secondary Propulsion Unit,0.5,,+2%
468,Alternate Thrust Controller,0.25,-2%,
469,Efficient Propulsion Unit,0.25,-2%,
470,Secondary Plasma Exhaust,1.0,,+3%
471,Efficient Electron Loom,0.5,,+2%
472,Alternate Fuel Pipes,0.25,-2%,
473,Alternate Fuel Pipes,0.75,-4%,
474,Efficient Impulse Nozzle,0.5,,+2%
475,Efficient Magnetic Fan,0.5,,+2%
476,Alternate Electron Loom,1.0,-5%,
477,Secondary Hydrogen Dynamo,0.5,,+2%
478,Secondary Plasma Exhaust,0.5,-3%,
479,Backup Magnetic Fan,0.5,-3%,
480,Tuned Hydrogen Dynamo,0.25,-2%,
481,Efficient Propulsion Unit,0.25,-2%,
482,Efficient Neutrino Injector,0.5,,+2%
483,Backup Thrust Controller,0.5,,+2%
484,Alternate Thrust Controller,0.5,,+2%
485,Efficient Electron Loom,0.5,,+2%
486,Efficient Propulsion Unit,0.5,,+2%
487,Tuned Propulsion Unit,1.0,,+3%
488,Alternate Hydrogen Dynamo,0.5,-3%,
489,Secondary Fuel Pipes,1.0,-5%,
490,Efficient Plasma Exhaust,0.25,-2%,
491,Secondary Impulse Nozzle,0.5,,+2%
492,Tuned Impulse Nozzle,0.5,-3%,
493,Alternate Electron Loom,0.5,,+2%
494,Efficient Magnetic Fan,1.0,-5%,
495,Efficient Hydrogen Dynamo,0.25,-2%,
496,Alternate Impulse Nozzle,0.75,-4%,
497,Secondary Fuel Pipes,0.5,,+2%
498,Secondary Magnetic Fan,1.0,-5%,
499,Secondary Plasma Exhaust,0.5,,+2%
500,Alternate Shockwave Shield,0.25,-2%,
501,Alternate Thrust Controller,0.5,-3%,
502,Alternate Shockwave Shield,0.25,-2%,
503,Efficient Impulse Nozzle,0.75,-4%,
504,Efficient Propulsion Unit,0.75,-4%,
505,Backup Neutrino Injector,0.25,-2%,
506,Secondary Electron Loom,0.25,-2%,
507,Backup Magnetic Fan,1.0,,+3%
508,Tuned Neutrino Injector,0.75,-4%,
509,Alternate Propulsion Unit,0.5,,+2%
510,Secondary Propulsion Unit,0.25,-2%,
511,Secondary Electron Loom,0.25,-2%,
512,Efficient Thrust Controller,1.0,,+3%
513,Alternate Shockwave Shield,0.25,-2%,
514,Tuned Electron Loom,1.0,,+3%
515,Secondary Fuel Pipes,0.25,-2%,
516,Alternate Impulse Nozzle,0.25,-2%,
517,Backup Electron Loom,1.0,,+3%
518,Tuned Plasma Exhaust,0.5,-3%,
519,Efficient Magnetic Fan,0.25,-2%,
520,Efficient Thrust Controller,1.0,,+3%
521,Backup Plasma Exhaust,0.5,,+2%
522,Efficient Propulsion Unit,0.25,-2%,
523,Backup Plasma Exhaust,1.0,-5%,
524,Backup Thrust Controller,1.0,-5%,
525,Tuned Hydrogen Dynamo,1.0,,+3%
526,Secondary Shockwave Shield,0.25,-2%,
527,Secondary Impulse Nozzle,0.5,,+2%
528,Tuned Electron Loom,0.5,,+2%
529,Efficient Thrust Controller,0.5,,+2%
530,Alternate Plasma Exhaust,0.25,-2%,
531,Backup Magnetic Fan,1.0,,+3%
532,Backup Neutrino Injector,0.5,,+2%
533,Secondary Plasma Exhaust,0.5,-3%,
534,Secondary Hydrogen Dynamo,0.5,,+2%
535,Alternate Impulse Nozzle,0.25,-2%,
536,Secondary Shockwave Shield,0.25,-2%,
537,Tuned Hydrogen Dynamo,0.5,,+2%
538,Efficient Fuel Pipes,0.25,-2%,
539,Backup Shockwave Shield,0.5,-3%,
540,Tuned Neutrino Injector,0.5,,+2%
541,Backup Propulsion Unit,1.0,-5%,
542,Tuned Magnetic Fan,0.5,,+2%
543,Backup Plasma Exhaust,0.5,-3%,
544,Tuned Hydrogen Dynamo,1.0,,+3%
545,Alternate Shockwave Shield,0.5,,+2%
546,Alternate Thrust Controller,0.5,,+2%
547,Backup Plasma Exhaust,0.5,,+2%
548,Tuned Plasma Exhaust,0.5,,+2%
549,Alternate Impulse Nozzle,0.75,-4%,
550,Tuned Magnetic Fan,0.5,,+2%
551,Backup Hydrogen Dynamo,0.5,,+2%
552,Efficient Shockwave Shield,1.0,,+3%
553,Alternate Shockwave Shield,1.0,-5%,
554,Efficient Electron Loom,0.5,-3%,
555,Backup Thrust Controller,1.0,-5%,
556,Secondary Thrust Controller,0.25,-2%,
557,Secondary Hydrogen Dynamo,1.0,,+3%
558,Efficient Propulsion Unit,0.25,-2%,
559,Backup Propulsion Unit,0.25,-2%,
560,Alternate Thrust Controller,1.0,,+3%
561,Alternate Hydrogen Dynamo,0.5,-3%,
562,Alternate Impulse Nozzle,0.75,-4%,
563,Backup Propulsion Unit,0.5,,+2%
564,Tuned Electron Loom,0.5,,+2%
565,Secondary Magnetic Fan,0.5,,+2%
566,Secondary Fuel Pipes,0.5,-3%,
567,Tuned Thrust Controller,0.5,,+2%
568,Alternate Fuel Pipes,0.5,,+2%
569,Efficient Fuel Pipes,0.5,,+2%
570,Efficient Shockwave Shield,1.0,,+3%
571,Alternate Shockwave Shield,0.5,,+2%
572,Backup Shockwave Shield,0.25,-2%,
573,Secondary Magnetic Fan,1.0,-5%,
574,Alternate Thrust Controller,1.0,,+3%
575,Efficient Magnetic Fan,0.5,,+2%
576,Efficient Shockwave Shield,0.5,,+2%
577,Alternate Shockwave Shield,0.5,,+2%
