Seed	Name	Perfection	Vehicle_BoostSpeed	Vehicle_BoostTanks
209	Unstable Combustion Unit	0.333		+13%
210	Unstable Tanks	0.0	+10%	
211	Unstable Dynamo	0.444		+14%
212	Augmented Jets	0.444		+14%
213	Synchronised Igniter	0.0	+10%	
214	Specialist Tanks	0.0	+10%	
215	Synchronised Combustion Unit	0.333	+13%	
216	Upgraded Turbine	0.0		+10%
217	Specialist Exhaust	0.0	+10%	
218	Augmented Dynamo	0.0		+10%
219	Specialist Igniter	0.0		+10%
220	Unstable Pump	0.889		+18%
221	Synchronised Pump	0.0		+10%
222	Unstable Exhaust	0.0	+10%	
223	Upgraded Exhaust	0.0		+10%
224	Synchronised Diffuser	0.556		+15%
225	Augmented Igniter	0.0	+10%	
226	Specialist Diffuser	0.556		+15%
227	Augmented Pump	0.111	+11%	
228	Augmented Turbine	0.333	+13%	
229	Specialist Nozzles	0.444		+14%
230	Unstable Pump	0.0		+10%
231	Unstable Tanks	0.333		+13%
232	Augmented Jets	0.333	+13%	
233	Synchronised Pump	0.222	+12%	
234	Upgraded Diffuser	1.0		+19%
235	Augmented Jets	0.222	+12%	
236	Upgraded Exhaust	1.0		+19%
237	Unstable Igniter	0.444		+14%
238	Unstable Dynamo	0.0		+10%
239	Upgraded Turbine	0.778		+17%
240	Unstable Turbine	0.333		+13%
241	Specialist Jets	0.0	+10%	
242	Unstable Nozzles	0.0		+10%
243	Upgraded Nozzles	0.667		+16%
244	Synchronised Turbine	0.0		+10%
245	Upgraded Nozzles	0.778		+17%
246	Synchronised Exhaust	0.0	+10%	
247	Specialist Turbine	0.0	+10%	
248	Augmented Jets	0.889		+18%
249	Unstable Diffuser	0.444		+14%
250	Augmented Diffuser	0.667	+16%	
251	Specialist Jets	0.0	+10%	
252	Upgraded Pump	0.667		+16%
253	Synchronised Igniter	0.556	+15%	
254	Unstable Exhaust	0.333	+13%	
255	Upgraded Turbine	0.667	+16%	
256	Augmented Igniter	0.222	+12%	
257	Augmented Turbine	0.0		+10%
258	Specialist Diffuser	0.111		+11%
259	Unstable Diffuser	0.0	+10%	
260	Unstable Diffuser	0.222		+12%
261	Augmented Tanks	0.0		+10%
262	Augmented Jets	0.111		+11%
263	Unstable Pump	0.444	+14%	
264	Augmented Jets	0.0		+10%
265	Upgraded Combustion Unit	0.222	+12%	
266	Augmented Diffuser	0.0	+10%	
267	Synchronised Tanks	0.111		+11%
268	Augmented Combustion Unit	0.444	+14%	
269	Upgraded Pump	0.0		+10%
270	Unstable Exhaust	0.0	+10%	
271	Augmented Dynamo	0.0	+10%	
272	Unstable Combustion Unit	0.333		+13%
273	Unstable Tanks	0.111		+11%
274	Unstable Nozzles	0.0		+10%
275	Upgraded Nozzles	0.333	+13%	
276	Upgraded Igniter	0.0	+10%	
277	Synchronised Combustion Unit	0.0		+10%
278	Upgraded Tanks	0.0	+10%	
279	Specialist Exhaust	0.444	+14%	
280	Synchronised Jets	0.0	+10%	
281	Upgraded Dynamo	0.889	+18%	
282	Augmented Dynamo	1.0		+19%
283	Augmented Igniter	0.556	+15%	
284	Augmented Dynamo	0.778	+17%	
285	Unstable Exhaust	0.444		+14%
286	Augmented Diffuser	0.222		+12%
287	Augmented Nozzles	0.0		+10%
288	Augmented Turbine	0.333	+13%	
289	Unstable Turbine	0.889		+18%
290	Synchronised Pump	0.0	+10%	
291	Upgraded Pump	0.333	+13%	
292	Synchronised Turbine	0.667		+16%
293	Upgraded Diffuser	0.0	+10%	
294	Synchronised Pump	0.667	+16%	
295	Synchronised Pump	1.0		+19%
296	Augmented Combustion Unit	0.0		+10%
297	Upgraded Jets	0.0		+10%
298	Synchronised Turbine	0.111		+11%
299	Upgraded Exhaust	0.111	+11%	
300	Specialist Exhaust	1.0		+19%
301	Unstable Diffuser	0.222	+12%	
302	Specialist Igniter	0.0	+10%	
303	Specialist Tanks	0.111	+11%	
304	Unstable Exhaust	0.0		+10%
305	Upgraded Combustion Unit	0.444		+14%
306	Upgraded Igniter	0.778	+17%	
307	Upgraded Combustion Unit	0.0		+10%
308	Unstable Turbine	0.0		+10%
309	Specialist Turbine	0.111		+11%
310	Synchronised Jets	0.111	+11%	
311	Synchronised Dynamo	0.667	+16%	
312	Specialist Dynamo	0.556		+15%
313	Augmented Diffuser	0.778	+17%	
314	Specialist Jets	0.333	+13%	
315	Upgraded Dynamo	0.444		+14%
316	Specialist Igniter	0.778		+17%
317	Augmented Igniter	0.0		+10%
318	Synchronised Jets	0.556	+15%	
319	Augmented Nozzles	0.0	+10%	
320	Synchronised Pump	0.556		+15%
321	Augmented Jets	0.111		+11%
322	Synchronised Turbine	0.0		+10%
323	Upgraded Dynamo	1.0	+19%	
324	Synchronised Pump	1.0	+19%	
325	Specialist Pump	0.667		+16%
326	Specialist Combustion Unit	0.0	+10%	
327	Upgraded Tanks	0.333		+13%
328	Unstable Diffuser	0.0	+10%	
329	Unstable Combustion Unit	0.333		+13%
330	Specialist Combustion Unit	0.111		+11%
331	Upgraded Exhaust	0.333		+13%
332	Unstable Pump	0.0	+10%	
333	Unstable Exhaust	0.0	+10%	
334	Augmented Jets	0.0		+10%
335	Specialist Nozzles	0.0	+10%	
336	Upgraded Jets	0.667	+16%	
337	Specialist Turbine	0.0	+10%	
338	Synchronised Turbine	0.0		+10%
339	Augmented Pump	0.0	+10%	
340	Upgraded Diffuser	0.0	+10%	
341	Synchronised Turbine	0.778		+17%
342	Upgraded Dynamo	0.0	+10%	
343	Unstable Diffuser	0.0	+10%	
344	Unstable Tanks	0.0		+10%
345	Upgraded Dynamo	1.0	+19%	
346	Upgraded Combustion Unit	0.0	+10%	
347	Unstable Diffuser	0.333		+13%
348	Unstable Turbine	0.111		+11%
349	Augmented Nozzles	0.444		+14%
350	Specialist Tanks	1.0		+19%
351	Specialist Pump	0.222		+12%
352	Unstable Combustion Unit	0.0	+10%	
353	Unstable Diffuser	0.0	+10%	
354	Unstable Dynamo	0.889		+18%
355	Upgraded Tanks	0.0		+10%
356	Upgraded Exhaust	0.333		+13%
357	Synchronised Dynamo	0.556	+15%	
358	Augmented Pump	0.0		+10%
359	Augmented Exhaust	0.0	+10%	
360	Unstable Igniter	0.111	+11%	
361	Augmented Pump	0.667	+16%	
362	Upgraded Dynamo	0.111		+11%
363	Augmented Tanks	0.889		+18%
364	Unstable Diffuser	0.889		+18%
365	Upgraded Igniter	0.333	+13%	
366	Augmented Nozzles	1.0		+19%
367	Synchronised Exhaust	0.0	+10%	
368	Unstable Diffuser	0.0	+10%	
369	Synchronised Pump	0.0	+10%	
370	Specialist Jets	0.0	+10%	
371	Synchronised Tanks	0.333	+13%	
372	Specialist Jets	0.333	+13%	
373	Upgraded Igniter	0.111	+11%	
374	Synchronised Jets	0.0		+10%
375	Specialist Nozzles	0.444		+14%
376	Upgraded Tanks	0.0	+10%	
377	Synchronised Tanks	0.111		+11%
378	Augmented Jets	0.667		+16%
379	Augmented Pump	0.333		+13%
380	Upgraded Nozzles	0.111		+11%
381	Synchronised Jets	0.333		+13%
382	Synchronised Combustion Unit	0.556		+15%
383	Augmented Jets	0.0	+10%	
384	Augmented Nozzles	0.0	+10%	
385	Augmented Igniter	0.0	+10%	
386	Upgraded Nozzles	0.667		+16%
387	Unstable Turbine	0.778		+17%
388	Unstable Pump	0.667		+16%
389	Specialist Diffuser	0.333		+13%
390	Augmented Diffuser	0.0	+10%	
391	Unstable Jets	0.0		+10%
392	Synchronised Jets	0.667		+16%
393	Unstable Pump	0.111		+11%
394	Augmented Jets	0.0	+10%	
395	Unstable Exhaust	0.0		+10%
396	Augmented Dynamo	0.0		+10%
397	Unstable Tanks	0.0		+10%
398	Augmented Turbine	0.0		+10%
399	Upgraded Dynamo	0.889		+18%
400	Upgraded Exhaust	0.111	+11%	
401	Upgraded Exhaust	0.0	+10%	
402	Unstable Jets	0.444		+14%
403	Augmented Igniter	0.444		+14%
404	Augmented Igniter	0.0		+10%
405	Upgraded Igniter	0.778	+17%	
406	Upgraded Nozzles	0.111	+11%	
407	Upgraded Jets	0.667	+16%	
408	Synchronised Combustion Unit	0.0	+10%	
409	Unstable Diffuser	1.0	+19%	
410	Specialist Exhaust	0.667		+16%
411	Upgraded Pump	0.0		+10%
412	Synchronised Dynamo	0.333		+13%
413	Unstable Diffuser	0.111		+11%
414	Specialist Dynamo	1.0	+19%	
415	Augmented Igniter	0.0	+10%	
416	Unstable Dynamo	0.444		+14%
417	Unstable Combustion Unit	0.667		+16%
418	Synchronised Igniter	0.667		+16%
419	Unstable Turbine	0.0	+10%	
420	Upgraded Nozzles	0.556	+15%	
421	Augmented Pump	0.0		+10%
422	Augmented Diffuser	0.0		+10%
423	Synchronised Combustion Unit	0.0	+10%	
424	Augmented Tanks	0.556		+15%
425	Upgraded Nozzles	0.111	+11%	
426	Upgraded Diffuser	0.333		+13%
427	Specialist Pump	0.444	+14%	
428	Augmented Jets	0.222	+12%	
429	Unstable Igniter	0.444	+14%	
430	Augmented Jets	0.222	+12%	
431	Synchronised Igniter	0.111		+11%
432	Upgraded Turbine	0.667		+16%
433	Upgraded Dynamo	0.111	+11%	
434	Synchronised Tanks	0.889		+18%
435	Unstable Nozzles	0.778	+17%	
436	Unstable Diffuser	0.333	+13%	
437	Unstable Dynamo	0.667	+16%	
438	Augmented Nozzles	1.0	+19%	
439	Specialist Turbine	0.222		+12%
440	Synchronised Nozzles	0.556		+15%
441	Upgraded Jets	0.111	+11%	
442	Upgraded Pump	0.0		+10%
443	Synchronised Diffuser	0.222	+12%	
444	Specialist Pump	0.0		+10%
445	Specialist Jets	0.222	+12%	
446	Upgraded Jets	0.0	+10%	
447	Upgraded Exhaust	0.111	+11%	
448	Augmented Jets	0.0		+10%
449	Synchronised Nozzles	0.111	+11%	
450	Upgraded Igniter	0.111		+11%
451	Specialist Diffuser	0.778		+17%
452	Synchronised Dynamo	0.111	+11%	
453	Specialist Dynamo	0.222		+12%
454	Synchronised Igniter	0.0		+10%
455	Augmented Exhaust	0.778		+17%
456	Upgraded Tanks	0.778	+17%	
457	Upgraded Nozzles	0.0		+10%
458	Unstable Nozzles	0.111	+11%	
459	Specialist Jets	0.111		+11%
460	Synchronised Turbine	1.0		+19%
461	Augmented Turbine	0.444	+14%	
462	Synchronised Pump	0.0	+10%	
463	Specialist Dynamo	0.222	+12%	
464	Augmented Pump	0.333	+13%	
465	Specialist Diffuser	1.0	+19%	
466	Synchronised Turbine	0.556	+15%	
467	Specialist Tanks	0.111		+11%
468	Augmented Pump	0.667	+16%	
469	Unstable Tanks	0.556	+15%	
470	Specialist Turbine	0.889		+18%
471	Unstable Nozzles	0.0		+10%
472	Augmented Combustion Unit	0.444	+14%	
473	Augmented Combustion Unit	0.0	+10%	
474	Unstable Exhaust	0.222		+12%
475	Unstable Jets	0.111		+11%
476	Augmented Nozzles	0.0	+10%	
477	Specialist Dynamo	0.111		+11%
478	Specialist Turbine	0.0	+10%	
479	Upgraded Jets	0.111	+11%	
480	Synchronised Dynamo	0.444	+14%	
481	Unstable Tanks	0.667	+16%	
482	Unstable Diffuser	0.111		+11%
483	Upgraded Pump	0.0		+10%
484	Augmented Pump	0.0		+10%
485	Unstable Nozzles	0.222		+12%
486	Unstable Tanks	0.0		+10%
487	Synchronised Tanks	0.778		+17%
488	Augmented Dynamo	0.222	+12%	
489	Specialist Combustion Unit	0.0	+10%	
490	Unstable Turbine	0.333	+13%	
491	Specialist Exhaust	0.111		+11%
492	Synchronised Exhaust	0.111	+11%	
493	Augmented Nozzles	0.0		+10%
494	Unstable Jets	0.0	+10%	
495	Unstable Dynamo	0.667	+16%	
496	Augmented Exhaust	0.0	+10%	
497	Specialist Combustion Unit	0.0		+10%
498	Specialist Jets	0.0	+10%	
499	Specialist Turbine	0.0		+10%
500	Augmented Igniter	0.444	+14%	
501	Augmented Pump	0.222	+12%	
502	Augmented Igniter	0.889	+18%	
503	Unstable Exhaust	0.0	+10%	
504	Unstable Tanks	0.0	+10%	
505	Upgraded Diffuser	0.778	+17%	
506	Specialist Nozzles	0.444	+14%	
507	Upgraded Jets	0.556		+15%
508	Synchronised Diffuser	0.0	+10%	
509	Augmented Tanks	0.0		+10%
510	Specialist Tanks	0.333	+13%	
511	Specialist Nozzles	0.222	+12%	
512	Unstable Pump	0.556		+15%
513	Augmented Igniter	0.778	+17%	
514	Synchronised Nozzles	0.667		+16%
515	Specialist Combustion Unit	0.889	+18%	
516	Augmented Exhaust	0.222	+12%	
517	Upgraded Nozzles	1.0		+19%
518	Synchronised Turbine	0.111	+11%	
519	Unstable Jets	0.444	+14%	
520	Unstable Pump	0.778		+17%
521	Upgraded Turbine	0.111		+11%
522	Unstable Tanks	0.778	+17%	
523	Upgraded Turbine	0.0	+10%	
524	Upgraded Pump	0.0	+10%	
525	Synchronised Dynamo	0.667		+16%
526	Specialist Igniter	0.444	+14%	
527	Specialist Exhaust	0.444		+14%
528	Synchronised Nozzles	0.0		+10%
529	Unstable Pump	0.444		+14%
530	Augmented Turbine	0.333	+13%	
531	Upgraded Jets	0.556		+15%
532	Upgraded Diffuser	0.0		+10%
533	Specialist Turbine	0.222	+12%	
534	Specialist Dynamo	0.444		+14%
535	Augmented Exhaust	0.333	+13%	
536	Specialist Igniter	0.889	+18%	
537	Synchronised Dynamo	0.111		+11%
538	Unstable Combustion Unit	1.0	+19%	
539	Upgraded Igniter	0.222	+12%	
540	Synchronised Diffuser	0.0		+10%
541	Upgraded Tanks	0.0	+10%	
542	Synchronised Jets	0.0		+10%
543	Upgraded Turbine	0.111	+11%	
544	Synchronised Dynamo	0.778		+17%
545	Augmented Igniter	0.444		+14%
546	Augmented Pump	0.0		+10%
547	Upgraded Turbine	0.333		+13%
548	Synchronised Turbine	0.222		+12%
549	Augmented Exhaust	0.0	+10%	
550	Synchronised Jets	0.111		+11%
551	Upgraded Dynamo	0.0		+10%
552	Unstable Igniter	0.778		+17%
553	Augmented Igniter	0.0	+10%	
554	Unstable Nozzles	0.111	+11%	
555	Upgraded Pump	0.0	+10%	
556	Specialist Pump	0.222	+12%	
557	Specialist Dynamo	0.778		+17%
558	Unstable Tanks	0.444	+14%	
559	Upgraded Tanks	0.556	+15%	
560	Augmented Pump	0.889		+18%
561	Augmented Dynamo	0.111	+11%	
562	Augmented Exhaust	0.0	+10%	
563	Upgraded Tanks	0.333		+13%
564	Synchronised Nozzles	0.444		+14%
565	Specialist Jets	0.222		+12%
566	Specialist Combustion Unit	0.111	+11%	
567	Synchronised Pump	0.0		+10%
568	Augmented Combustion Unit	0.0		+10%
569	Unstable Combustion Unit	0.333		+13%
570	Unstable Igniter	0.667		+16%
571	Augmented Igniter	0.222		+12%
572	Upgraded Igniter	0.333	+13%	
573	Specialist Jets	0.0	+10%	
574	Augmented Pump	0.667		+16%
575	Unstable Jets	0.0		+10%
576	Unstable Igniter	0.0		+10%
577	Augmented Igniter	0.0		+10%
578	Unstable Exhaust	0.0	+10%	
579	Synchronised Exhaust	0.333	+13%	
580	Specialist Pump	0.0		+10%
581	Augmented Jets	0.333	+13%	
582	Unstable Nozzles	0.111	+11%	
583	Specialist Nozzles	0.667	+16%	
584	Specialist Exhaust	1.0		+19%
585	Specialist Exhaust	0.111	+11%	
586	Synchronised Nozzles	1.0		+19%
587	Specialist Nozzles	0.556	+15%	
588	Specialist Combustion Unit	0.333	+13%	
589	Specialist Tanks	0.0	+10%	
590	Augmented Combustion Unit	0.667	+16%	
591	Synchronised Igniter	0.444	+14%	
592	Synchronised Turbine	0.444		+14%
593	Augmented Dynamo	0.111		+11%
594	Synchronised Tanks	0.333	+13%	
595	Specialist Turbine	0.0	+10%	
596	Augmented Igniter	1.0	+19%	
597	Synchronised Igniter	1.0	+19%	
598	Augmented Dynamo	0.0	+10%	
599	Augmented Dynamo	0.222	+12%	
600	Specialist Igniter	0.0		+10%
601	Specialist Dynamo	0.0	+10%	
602	Unstable Diffuser	0.0	+10%	
603	Augmented Pump	0.0		+10%
604	Unstable Tanks	0.556		+15%
605	Synchronised Diffuser	0.889		+18%
606	Augmented Diffuser	0.222		+12%
607	Augmented Dynamo	0.0	+10%	
608	Unstable Nozzles	0.0		+10%
609	Specialist Combustion Unit	1.0	+19%	
610	Synchronised Nozzles	0.111		+11%
611	Specialist Exhaust	0.667		+16%
612	Augmented Dynamo	0.444	+14%	
613	Specialist Dynamo	0.111		+11%
614	Unstable Igniter	0.0		+10%
615	Specialist Igniter	0.333	+13%	
616	Synchronised Igniter	0.0		+10%
617	Augmented Exhaust	0.556		+15%
618	Specialist Combustion Unit	0.778		+17%
619	Upgraded Dynamo	0.0		+10%
620	Synchronised Jets	0.0		+10%
621	Unstable Turbine	0.111	+11%	
622	Synchronised Jets	0.333		+13%
623	Unstable Exhaust	0.111	+11%	
624	Synchronised Tanks	0.444		+14%
625	Unstable Jets	0.222	+12%	
626	Specialist Turbine	1.0		+19%
627	Unstable Jets	0.222	+12%	
628	Upgraded Jets	0.0		+10%
629	Augmented Igniter	0.667		+16%
630	Augmented Nozzles	0.778		+17%
631	Augmented Dynamo	0.556	+15%	
632	Specialist Jets	0.556		+15%
633	Upgraded Dynamo	0.111		+11%
634	Specialist Dynamo	0.111		+11%
635	Upgraded Jets	0.111	+11%	
636	Specialist Combustion Unit	0.444		+14%
637	Upgraded Diffuser	0.778		+17%
638	Upgraded Dynamo	0.556		+15%
639	Augmented Diffuser	0.0		+10%
640	Unstable Exhaust	0.778		+17%
641	Augmented Dynamo	0.333		+13%
642	Synchronised Dynamo	0.222		+12%
643	Synchronised Turbine	0.111	+11%	
644	Specialist Nozzles	0.0		+10%
645	Synchronised Nozzles	0.667	+16%	
646	Synchronised Pump	0.222	+12%	
647	Augmented Turbine	0.0		+10%
648	Unstable Jets	0.0		+10%
649	Specialist Jets	0.222		+12%
650	Unstable Diffuser	0.778		+17%
651	Augmented Dynamo	0.111	+11%	
652	Augmented Diffuser	0.222		+12%
653	Unstable Nozzles	0.778	+17%	
654	Augmented Tanks	0.556	+15%	
655	Augmented Igniter	0.556		+15%
656	Synchronised Turbine	0.444		+14%
657	Synchronised Pump	0.111	+11%	
658	Specialist Diffuser	0.0		+10%
659	Upgraded Dynamo	0.0		+10%
660	Upgraded Combustion Unit	0.0	+10%	
661	Augmented Jets	0.333	+13%	
662	Specialist Jets	0.0		+10%
663	Unstable Pump	0.111		+11%
664	Augmented Nozzles	0.556		+15%
665	Synchronised Turbine	0.111		+11%
666	Upgraded Dynamo	0.0		+10%
667	Augmented Pump	0.111		+11%
668	Synchronised Turbine	0.778	+17%	
669	Augmented Tanks	0.111	+11%	
670	Synchronised Tanks	0.0		+10%
671	Upgraded Pump	0.222		+12%
672	Unstable Turbine	0.444		+14%
673	Unstable Diffuser	0.0	+10%	
674	Augmented Pump	0.0		+10%
675	Upgraded Jets	0.111		+11%
676	Synchronised Dynamo	0.333	+13%	
677	Specialist Igniter	0.889		+18%
678	Augmented Turbine	0.0		+10%
679	Upgraded Turbine	0.222		+12%
680	Specialist Nozzles	0.0	+10%	
681	Upgraded Tanks	0.111	+11%	
682	Augmented Dynamo	0.444		+14%
683	Synchronised Diffuser	0.111		+11%
684	Specialist Exhaust	0.0		+10%
685	Upgraded Tanks	1.0	+19%	
686	Unstable Jets	0.333	+13%	
