Seed	Name	Perfection	Product_Age	Product_Basevalue
72	Whispering Worms	0.04069	20	166476
73	Grim Heart	0.11264	30	257494
74	Inverted Core	0.00043	20	115547
75	Forlorn Gelsack	0.0116	40	129668
76	Hopeless Heart	0.2449	60	424797
77	Ghastly Gelsack	0.18329	60	346860
78	Eldritch Organs	0.07847	30	214262
79	Hopeless Remains	0.39675	90	616887
80	Imagined Worms	0.05697	30	187060
81	Frozen Sample	0.09222	40	231652
82	Prismatic Spores	0.10133	40	243183
83	Frozen Tendril	0.00349	30	119412
84	Frozen Jelly	0.03067	40	153794
85	Hypnotic Sample	0.12078	40	267785
86	Abandoned Heart	0.07687	20	212233
87	Prismatic Grubs	0.32207	90	522407
88	Nightmarish Sample	0.22388	90	398205
89	Eldritch Orb	0.07611	50	211280
90	Frozen Spores	0.08769	50	225932
91	Eerie Heart	0.01148	50	129517
92	Crying Spores	0.00049	50	115615
93	Imagined Coils	0.07291	30	207230
94	Gloaming Core	0.09617	40	236659
95	Forlorn Core	0.04212	20	168286
96	Screaming Core	0.07341	50	207861
97	Deathly Tentacle	0.13621	20	287298
98	Screaming Tentacle	0.27067	70	457389
99	Prismatic Jelly	0.00138	20	116751
100	Ominous Globe	0.38625	110	603603
101	Prismatic Grubs	0.1094	40	253391
102	Gloaming Bio-Anomaly	0.24903	110	430014
103	Dreadful Globe	0.09585	20	236252
104	Forlorn Grubs	0.11814	20	264441
105	Unnerving Globe	0.12241	40	269842
106	Twitching Lavae	0.0079	50	124996
107	Woebegotten Jelly	0.08598	20	223764
108	Nightmarish Jelly	0.00296	30	118749
109	Ominous Heart	0.35654	110	566020
110	Hypnotic Gelsack	0.2957	80	489055
111	Crying Spores	0.32281	110	523348
112	Ominous Heart	0.39421	70	613666
113	Dreadful Gelsack	0.05775	20	188054
114	Timeless Spores	0.12397	50	271823
115	Whispering Orb	0.01519	40	134217
116	Whispering Worms	0.06321	40	194957
117	Eerie Remains	0.42614	80	654057
118	Hopeless Sphere	0.00296	30	118750
119	Eerie Tentacle	0.25114	60	432688
120	Haunted Globe	0.10737	50	250827
121	Frozen Remains	0.34837	60	555683
122	Abandoned Bio-Anomaly	0.02644	20	148443
123	Screaming Jelly	0.27446	80	462185
124	Chilling Lavae	0.0551	40	184696
125	Abyssal Remains	0.10964	50	253698
126	Twisted Gem	0.04277	20	169097
127	Timeless Organs	0.06687	50	199588
128	Dripping Coils	0.05171	40	180407
129	Ghastly Remains	0.35707	70	566684
130	Woebegotten Organs	0.19812	80	365620
131	Forlorn Eye	0.35951	80	569779
132	Hopeless Gelsack	0.11687	50	262840
133	Timeless Sphere	0.11216	50	256875
134	Dripping Remains	0.01518	40	134198
135	Eerie Grubs	0.05075	30	179198
136	Abyssal Organs	0.40117	70	622467
137	Screaming Tentacle	0.09673	50	237360
138	Crying Spores	0.18895	100	354020
139	Forlorn Worms	0.0751	50	209999
140	Deathly Eye	0.24373	100	423308
141	Whispering Globe	0.01391	20	132595
142	Woebegotten Gelsack	0.05975	20	190578
143	Ghastly Core	0.06019	20	191135
144	Nightmarish Grubs	0.12154	20	268749
145	Lost Tentacle	0.25301	100	435056
146	Dripping Orb	0.04979	40	177978
147	Lost Sphere	0.13027	20	279792
148	Screaming Core	0.2978	110	491717
149	Whispering Globe	0.01239	40	130671
150	Lost Spores	0.18716	110	351757
151	Ghastly Core	0.03954	50	165019
152	Abyssal Globe	0.02528	40	146981
153	Timeless Jelly	0.04492	40	171824
154	Hopeless Tentacle	0.28572	60	476428
155	Haunted Lavae	0.12908	30	278278
156	Timeless Remains	0.21753	80	390173
157	Dripping Grubs	0.80399	180	1132040
158	Abyssal Tendril	0.10045	30	242072
159	Grim Sphere	0.0958	20	236191
160	Eerie Tentacle	0.03037	30	153414
161	Whispering Eye	0.34478	110	551138
162	Whispering Grubs	0.12427	30	272200
163	Whispering Jelly	0.0234	40	144599
164	Impossible Orb	0.31685	110	515809
165	Abandoned Tendril	0.06709	30	199872
166	Forlorn Lavae	0.38746	90	605127
167	Floppy Spores	0.07602	30	211166
168	Whispering Eye	0.2854	90	476025
169	Eldritch Coils	0.04743	30	174994
170	Eldritch Grubs	0.20771	80	377749
171	Abyssal Core	0.062	30	193428
172	Floppy Sphere	0.09896	50	240184
173	Forlorn Remains	0.05302	50	182065
174	Imagined Organs	0.33263	110	535771
175	Twitching Globe	0.11852	50	264931
176	Frozen Sample	0.11191	50	256569
177	Hypnotic Remains	0.08475	40	222206
178	Nightmarish Spores	0.18714	60	351727
179	Crying Core	0.06168	30	193018
180	Imagined Bio-Anomaly	0.11777	30	263977
181	Lost Tendril	0.33856	110	543277
182	Whispering Eye	0.73379	290	1043237
183	Floppy Tentacle	0.3436	70	549649
184	Eerie Gelsack	0.12222	30	269604
185	Inverted Gelsack	0.12585	40	274197
186	Dripping Gem	0.06012	20	191052
187	Writhing Coils	0.38035	90	596133
188	Impossible Sample	0.34383	70	549939
189	Unnerving Orb	0.36343	80	574737
190	Eerie Remains	0.21562	110	387755
191	Dreadful Tendril	0.06928	30	202639
192	Hypnotic Tendril	0.73035	210	1038881
193	Eldritch Grubs	0.22108	60	394665
194	Lost Tentacle	0.28684	80	477853
195	Hypnotic Lavae	0.08935	40	228032
196	Woebegotten Sphere	0.07966	20	215772
197	Gloaming Spores	0.00208	30	117635
198	Woebegotten Core	0.36294	70	574108
199	Deathly Sample	0.36626	80	578308
200	Screaming Sphere	0.00863	50	125919
201	Ominous Jelly	0.04071	40	166493
202	Inverted Jelly	0.13163	20	281516
203	Gloaming Gem	0.00335	30	119236
204	Floppy Globe	0.00815	20	125315
205	Crying Lavae	0.44146	100	673438
206	Abandoned Gem	0.11397	50	259173
207	Deathly Spores	0.0934	30	233147
208	Forlorn Sphere	0.77418	230	1094320
209	Nightmarish Tentacle	0.21245	70	383740
210	Writhing Gem	0.07883	20	214723
211	Ominous Gelsack	0.04407	30	170745
212	Imagined Tendril	0.12001	40	266812
213	Abyssal Remains	0.08892	50	227487
214	Grim Sample	0.07919	20	215178
215	Imagined Tentacle	0.01085	20	128722
216	Ghastly Organs	0.25224	100	434074
217	Abyssal Spores	0.07857	20	214386
218	Impossible Tentacle	0.12742	20	276190
219	Deathly Bio-Anomaly	0.4464	80	679690
220	Frozen Orb	0.10156	30	243471
221	Prismatic Worms	0.12995	20	279383
222	Screaming Orb	0.4195	100	645658
223	Frozen Core	0.40788	70	630961
224	Forlorn Remains	0.30383	80	499340
225	Eerie Globe	0.1015	50	243396
226	Woebegotten Gelsack	0.80026	150	1127315
227	Deathly Eye	0.29864	110	492778
228	Gloaming Spores	0.41188	70	636023
229	Twitching Remains	0.00892	20	126289
230	Prismatic Gelsack	0.0385	30	163702
231	Nightmarish Gelsack	0.21756	100	390216
232	Woebegotten Worms	0.08039	50	216687
233	Hopeless Coils	0.02405	40	145418
234	Crying Tentacle	0.26996	90	456490
235	Frozen Sphere	0.01737	20	136967
236	Lost Jelly	0.08209	40	218848
237	Abandoned Gem	0.12342	50	271122
238	Lost Gelsack	0.28771	90	478945
239	Gloaming Tentacle	0.06134	20	192588
240	Hypnotic Gem	0.04513	50	172084
241	Abyssal Jelly	0.07114	30	204992
242	Twitching Lavae	0.01296	20	131399
243	Dripping Bio-Anomaly	0.09081	20	229879
244	Grim Tendril	0.10135	20	243206
245	Woebegotten Grubs	0.02374	30	145034
246	Whispering Grubs	0.13141	50	281227
247	Nightmarish Lavae	0.45382	80	689077
248	Prismatic Worms	0.29773	110	491620
249	Woebegotten Core	0.08425	30	221572
250	Twisted Spores	0.44447	80	677247
251	Hypnotic Coils	0.07332	20	207747
252	Imagined Lavae	0.04122	20	167139
253	Inverted Sample	0.21651	80	388877
254	Abandoned Remains	0.12609	30	274506
255	Dreadful Tentacle	0.23934	70	417762
256	Eldritch Eye	0.38453	60	601427
257	Chilling Gem	0.12862	40	277696
258	Hypnotic Jelly	0.07016	20	203745
259	Nightmarish Tendril	0.2456	80	425675
260	Deathly Globe	0.07682	40	212180
261	Lost Organs	0.00021	50	115261
262	Impossible Tentacle	0.13083	30	280496
263	Hypnotic Heart	0.30329	60	498658
264	Nightmarish Sample	0.0134	20	131957
265	Screaming Grubs	0.28172	100	471371
266	Screaming Heart	0.29685	80	490515
267	Deathly Organs	0.10958	20	253615
268	Eerie Heart	0.01838	50	138256
269	Twitching Jelly	0.25126	60	432835
270	Haunted Remains	0.0328	50	156492
271	Ominous Worms	0.05474	40	184248
272	Nightmarish Globe	0.05996	50	190845
273	Frozen Coils	0.41405	90	638760
274	Crying Gelsack	0.24564	90	425726
275	Whispering Tendril	0.10342	30	245826
276	Screaming Jelly	0.33295	60	536174
277	Ghastly Grubs	0.01457	30	133426
278	Floppy Sample	0.88181	240	1230471
279	Haunted Bio-Anomaly	0.12607	30	274472
280	Unnerving Sample	0.41196	90	636120
281	Eldritch Core	0.19107	80	356694
282	Ominous Coils	0.24624	70	426495
283	Writhing Grubs	0.06306	20	194774
284	Ominous Organs	0.07796	40	213622
285	Floppy Coils	0.02575	40	147570
286	Forlorn Tendril	0.12129	50	268433
287	Forlorn Jelly	0.0193	20	139416
288	Impossible Tentacle	0.36599	60	577967
289	Ghastly Sphere	0.07618	30	211361
290	Frozen Worms	0.11213	20	256838
291	Inverted Gelsack	0.1338	20	284250
292	Eldritch Worms	0.4023	110	623902
293	Twitching Orb	0.24831	60	429112
294	Whispering Sample	0.87675	200	1224077
295	Abyssal Organs	0.35674	110	566274
296	Hypnotic Bio-Anomaly	0.4258	60	653633
297	Abandoned Jelly	0.33454	100	538187
298	Floppy Sample	0.30887	80	505717
299	Unnerving Lavae	0.135	20	285770
300	Writhing Heart	0.41832	110	644171
301	Twitching Tentacle	0.23584	60	413328
302	Twitching Sample	0.42967	80	658526
303	Grim Worms	0.01889	30	138892
304	Whispering Organs	0.03016	50	153155
305	Hypnotic Orb	0.06216	30	193633
306	Abandoned Jelly	0.00593	50	122504
307	Ghastly Globe	0.75672	280	1072241
308	Woebegotten Remains	0.01911	30	139170
309	Woebegotten Tentacle	0.12321	50	270862
310	Chilling Heart	0.0207	40	141188
311	Unnerving Gelsack	0.12972	40	279099
312	Screaming Globe	0.04803	40	175761
313	Ghastly Tentacle	0.13067	20	280296
314	Lost Spores	0.11533	30	260891
315	Abandoned Organs	0.05673	40	186758
316	Lost Spores	0.2668	70	452500
317	Imagined Gelsack	0.28808	70	479412
318	Hypnotic Tendril	0.02142	40	142100
319	Imagined Core	0.2316	70	407968
320	Forlorn Heart	0.07172	20	205721
321	Prismatic Lavae	0.75451	180	1069440
322	Whispering Grubs	0.25731	100	440496
323	Impossible Organs	0.29504	80	488216
324	Timeless Gelsack	0.12097	30	268030
325	Eldritch Tentacle	0.99223	280	1370149
326	Hopeless Worms	0.11311	50	258083
327	Eerie Tendril	0.2123	60	383551
328	Woebegotten Spores	0.09694	30	237629
329	Twisted Tentacle	0.03106	20	154294
330	Whispering Gelsack	0.0894	50	228095
331	Lost Worms	0.3389	110	543703
332	Dreadful Spores	0.10531	40	248211
333	Prismatic Coils	0.02032	20	140699
334	Eldritch Worms	0.11091	50	255303
335	Abandoned Globe	0.92204	250	1281361
336	Twisted Sphere	0.08021	50	216458
337	Dripping Orb	0.06202	50	193457
338	Eerie Remains	0.03096	40	154159
339	Unnerving Eye	0.22306	60	397164
340	Imagined Lavae	0.39237	70	611340
341	Ghastly Lavae	0.05709	40	187220
342	Ghastly Organs	0.28042	60	469724
343	Frozen Orb	0.00327	30	119134
344	Dreadful Sphere	0.2692	100	455534
345	Grim Bio-Anomaly	0.24621	100	426452
346	Woebegotten Gelsack	0.43978	60	671314
347	Chilling Tentacle	0.12872	50	277831
348	Hypnotic Bio-Anomaly	0.24197	90	421090
349	Writhing Coils	0.33383	100	537293
350	Frozen Organs	0.34138	60	546846
351	Timeless Coils	0.04899	20	176966
352	Crying Tentacle	0.09317	50	232855
353	Dreadful Orb	0.30136	70	496218
354	Dripping Orb	0.09933	20	240653
355	Abandoned Sample	0.76584	190	1083771
356	Deathly Bio-Anomaly	0.10297	40	245250
357	Haunted Sample	0.37863	100	593961
358	Lost Gem	0.39987	100	620826
359	Twitching Tendril	0.37948	70	595037
360	Inverted Gem	0.1008	40	242507
361	Unnerving Gem	0.41486	100	639795
362	Hopeless Eye	0.10434	40	246985
363	Gloaming Coils	0.44946	110	683558
364	Deathly Organs	0.4366	80	667290
365	Timeless Tendril	0.03481	50	159028
366	Ominous Gelsack	0.8245	230	1157982
367	Frozen Spores	0.0278	30	150171
368	Hypnotic Tendril	0.10536	50	248281
369	Screaming Eye	0.02573	20	147542
370	Crying Lavae	0.45382	60	689071
371	Forlorn Grubs	0.00444	40	120613
372	Abyssal Heart	0.09127	30	230461
373	Frozen Tendril	0.34572	90	552335
374	Deathly Remains	0.10415	40	246745
375	Timeless Tendril	0.03632	20	160949
376	Abandoned Grubs	0.0232	50	144349
377	Forlorn Lavae	0.27655	80	464830
378	Nightmarish Tentacle	0.00136	40	116718
379	Floppy Gem	0.02332	40	144494
380	Woebegotten Gem	0.26394	110	448876
381	Gloaming Organs	0.08459	50	222009
382	Twitching Tendril	0.38348	60	600101
383	Crying Tendril	0.12737	20	276121
384	Frozen Coils	0.08714	20	225234
385	Dripping Globe	0.07869	50	214539
386	Eerie Spores	0.94849	290	1314823
387	Hopeless Bio-Anomaly	0.08087	50	217294
388	Forlorn Grubs	0.04855	30	176421
389	Imagined Orb	0.02099	50	141546
390	Prismatic Heart	0.06119	40	192406
391	Ghastly Tendril	0.12989	40	279314
392	Writhing Gelsack	0.05604	50	185886
393	Grim Tentacle	0.12504	20	273179
394	Eldritch Coils	0.96952	230	1341425
395	Frozen Eye	0.12519	30	273361
396	Lost Worms	0.12596	40	274339
397	Twisted Coils	0.85078	280	1191224
398	Grim Tentacle	0.36052	100	571046
399	Nightmarish Lavae	0.73832	190	1048956
400	Writhing Eye	0.94597	270	1311639
401	Abyssal Bio-Anomaly	0.25128	70	432871
402	Woebegotten Globe	0.19386	60	360235
403	Ominous Heart	0.05568	20	185439
404	Crying Remains	0.01749	20	137126
405	Impossible Gem	0.04809	30	175837
406	Woebegotten Spores	0.21527	60	387313
407	Floppy Spores	0.04355	30	170096
408	Crying Spores	0.02395	20	145296
409	Abandoned Core	0.4114	70	635416
410	Ominous Gem	0.24207	70	421216
411	Writhing Tentacle	0.03702	20	161833
412	Gloaming Worms	0.06945	20	202847
413	Dreadful Sample	0.21065	80	381464
414	Crying Gelsack	0.30258	80	497757
415	Lost Sample	0.01249	50	130796
416	Imagined Heart	0.4266	60	654643
417	Forlorn Sample	0.40228	100	623883
418	Impossible Tentacle	0.07948	30	215547
419	Woebegotten Jelly	0.02593	30	147799
420	Eerie Worms	0.87215	180	1218261
421	Haunted Tentacle	0.31152	70	509068
422	Gloaming Worms	0.89455	230	1246593
423	Eldritch Gem	0.90779	300	1263340
424	Crying Sphere	0.03092	40	154111
425	Grim Spores	0.33605	100	540098
426	Ghastly Organs	0.03382	20	157778
427	Whispering Spores	0.25837	110	441828
428	Eerie Tendril	0.25168	100	433367
429	Twisted Gem	0.03114	30	154393
430	Eerie Lavae	0.44525	70	678229
431	Floppy Grubs	0.06633	20	198912
432	Eldritch Orb	0.20865	110	378936
433	Frozen Sphere	0.31452	110	512868
434	Impossible Sample	0.24142	90	420394
435	Frozen Gem	0.38859	110	606560
436	Hypnotic Gelsack	0.0736	40	208099
437	Abandoned Coils	0.34246	100	548210
438	Hopeless Bio-Anomaly	0.40592	60	628476
439	Haunted Grubs	0.09976	20	241189
440	Forlorn Sphere	0.05054	50	178931
441	Impossible Grubs	0.40902	70	632403
442	Crying Tentacle	0.22681	100	401907
443	Abandoned Jelly	0.1073	40	250735
444	Chilling Core	0.00946	40	126968
445	Ominous Sphere	0.07499	40	209864
446	Hopeless Globe	0.04698	30	174429
447	Inverted Tentacle	0.1177	40	263888
448	Hopeless Worms	0.06971	50	203188
449	Nightmarish Jelly	0.10573	50	248747
450	Hopeless Sphere	0.06382	50	195731
451	Nightmarish Tendril	0.10502	20	247853
452	Prismatic Grubs	0.98315	170	1358665
453	Nightmarish Heart	0.09188	40	231221
454	Haunted Tendril	0.09309	50	232757
455	Frozen Sphere	0.04337	30	169868
456	Hopeless Worms	0.40282	70	624559
457	Screaming Jelly	0.23289	60	409597
458	Dreadful Gem	0.9741	140	1347216
459	Ominous Worms	0.36769	70	580126
460	Lost Lavae	0.1125	40	257311
461	Forlorn Coils	0.10818	20	251852
462	Dripping Jelly	0.09413	40	234075
463	Unnerving Core	0.01508	30	134076
464	Eldritch Tendril	0.10393	40	246473
465	Hypnotic Jelly	0.047	20	174451
466	Screaming Spores	0.2667	100	452370
467	Screaming Tendril	0.0551	40	184703
468	Crying Tentacle	0.08282	30	219762
469	Dreadful Spores	0.08141	30	217987
470	Prismatic Sphere	0.42007	70	646377
471	Haunted Tendril	0.31146	60	508996
472	Grim Organs	0.011	50	128909
473	Haunted Gelsack	0.28268	100	472587
474	Forlorn Coils	0.11007	20	254236
475	Prismatic Sphere	0.26391	90	448843
476	Floppy Remains	0.20867	110	378960
477	Eerie Jelly	0.78169	260	1103829
478	Imagined Eye	0.0569	40	186983
479	Dreadful Tentacle	0.4343	100	664376
480	Dripping Bio-Anomaly	0.1268	40	275400
481	Dripping Bio-Anomaly	0.09411	40	234042
482	Floppy Eye	0.12811	30	277063
483	Imagined Organs	0.0213	20	141946
484	Imagined Jelly	0.03942	30	164860
485	Grim Worms	0.1899	70	355222
486	Frozen Remains	0.4383	100	669440
487	Floppy Heart	0.05477	40	184288
488	Hypnotic Orb	0.08139	50	217954
489	Writhing Eye	0.44623	70	679479
490	Woebegotten Remains	0.00606	20	122660
491	Floppy Lavae	0.21008	110	380748
492	Deathly Globe	0.20444	60	373610
493	Eldritch Heart	0.23998	70	418566
494	Woebegotten Tendril	0.04426	40	170985
495	Unnerving Core	0.21279	80	384170
496	Timeless Jelly	0.20159	80	370009
497	Deathly Coils	0.12822	20	277190
498	Chilling Worms	0.43294	90	662664
499	Unnerving Gelsack	0.39605	70	615998
500	Hypnotic Tendril	0.10262	50	244813
501	Screaming Remains	0.02077	30	141272
502	Crying Orb	0.00639	50	123078
503	Grim Tentacle	0.01737	30	136975
504	Whispering Gelsack	0.11497	30	260434
505	Eldritch Gelsack	0.08181	30	218488
506	Eerie Remains	0.12023	50	267095
507	Gloaming Core	0.21704	70	389555
508	Dripping Orb	0.11806	40	264341
509	Dreadful Core	0.13141	40	281233
510	Forlorn Jelly	0.83799	180	1175049
511	Abyssal Heart	0.01422	30	132984
512	Lost Tentacle	0.13143	40	281260
513	Twitching Eye	0.35322	70	561812
514	Eldritch Jelly	0.1093	20	253262
515	Timeless Organs	0.12819	50	277154
516	Twitching Tendril	0.44852	80	682368
517	Eerie Lavae	0.247	110	427452
518	Unnerving Sphere	0.24658	90	426920
519	Twisted Jelly	0.09599	30	236427
520	Eerie Gem	0.01142	40	129445
521	Crying Coils	0.01056	30	128354
522	Grim Worms	0.36324	60	574495
523	Whispering Organs	0.30441	100	500075
524	Abyssal Gelsack	0.02237	40	143301
525	Inverted Spores	0.01483	30	133761
526	Ghastly Orb	0.06352	20	195356
527	Twisted Heart	0.08411	40	221402
528	Woebegotten Tendril	0.05128	50	179865
529	Gloaming Organs	0.13363	30	284040
530	Crying Jelly	0.01067	50	128501
531	Screaming Tentacle	0.25867	70	442214
532	Dripping Heart	0.12109	50	268181
533	Eldritch Organs	0.00846	30	125708
534	Imagined Orb	0.40281	60	624542
535	Prismatic Orb	0.00109	50	116378
536	Ghastly Jelly	0.11884	50	265331
537	Nightmarish Organs	0.33797	80	542525
538	Eerie Sphere	0.33944	60	544383
539	Deathly Eye	0.19543	80	362217
540	Screaming Globe	0.09687	20	237541
541	Hypnotic Heart	0.27407	110	461690
542	Forlorn Worms	0.30277	80	498004
543	Hopeless Eye	0.32807	110	529997
544	Prismatic Lavae	0.33438	60	537987
545	Impossible Sample	0.31135	60	508848
546	Whispering Orb	0.42767	110	655994
547	Timeless Lavae	0.20555	60	375020
548	Dreadful Globe	0.05109	30	179628
549	Grim Tendril	0.08853	50	226988
550	Frozen Sphere	0.01942	30	139569
551	Ghastly Tendril	0.10852	50	252274
552	Twisted Tentacle	0.06489	40	197089
553	Grim Gelsack	0.30935	110	506318
554	Abyssal Eye	0.36653	70	578651
555	Forlorn Tendril	0.0896	20	228340
556	Frozen Gelsack	0.0116	20	129679
557	Floppy Grubs	0.09572	50	236086
558	Dreadful Grubs	0.06333	20	195114
559	Whispering Sphere	0.78795	300	1111748
560	Hypnotic Tendril	0.31432	80	512613
561	Abyssal Lavae	0.40873	80	632035
562	Timeless Tendril	0.18904	70	354136
563	Twitching Coils	0.3797	90	595314
564	Frozen Orb	0.09236	30	231829
565	Eerie Grubs	0.0368	20	161546
566	Whispering Eye	0.00793	30	125034
567	Writhing Heart	0.27778	60	466391
568	Ghastly Lavae	0.30153	90	496427
569	Ghastly Gelsack	0.8426	150	1180871
570	Abyssal Core	0.27035	90	456992
571	Screaming Sample	0.02613	30	148060
572	Nightmarish Remains	0.03701	50	161814
573	Dripping Jelly	0.21798	80	390743
574	Imagined Core	0.4344	80	664511
575	Chilling Heart	0.02672	50	148798
576	Unnerving Globe	0.90239	140	1256506
577	Dripping Grubs	0.10897	40	252847
578	Unnerving Heart	0.08204	30	218773
579	Imagined Lavae	0.28608	60	476890
580	Whispering Organs	0.19627	70	363274
581	Nightmarish Gelsack	0.38238	60	598709
582	Frozen Tendril	0.00035	50	115449
583	Ghastly Heart	0.41089	110	634763
584	Lost Bio-Anomaly	0.06028	50	191259
585	Hopeless Jelly	0.10549	50	248441
586	Dreadful Tentacle	0.42472	70	652269
587	Floppy Worms	0.4324	100	661984
588	Imagined Heart	0.0467	50	174080
589	Whispering Heart	0.08599	20	223780
590	Writhing Bio-Anomaly	0.05687	20	186938
591	Haunted Organs	0.29698	80	490673
592	Woebegotten Lavae	0.00537	20	121798
593	Timeless Core	0.13098	50	280685
594	Hypnotic Tendril	0.11753	20	263674
595	Ominous Eye	0.42726	60	655475
596	Twitching Gem	0.18652	70	350942
597	Twisted Remains	0.38162	110	597742
598	Writhing Spores	0.34364	70	549703
599	Frozen Sphere	0.36508	110	576820
600	Woebegotten Grubs	0.38931	110	607466
601	Abandoned Tentacle	0.02131	20	141951
602	Chilling Sample	0.26102	60	445184
603	Timeless Worms	0.11524	50	260780
604	Twitching Coils	0.07587	30	210980
605	Grim Grubs	0.41707	60	642592
606	Nightmarish Orb	0.09978	20	241225
607	Timeless Organs	0.19908	90	366828
608	Timeless Sphere	0.37828	60	593517
609	Ominous Worms	0.00976	20	127352
610	Abyssal Heart	0.07374	50	208274
611	Ghastly Heart	0.10411	40	246703
612	Frozen Orb	0.13533	50	286195
613	Twitching Heart	0.07434	50	209042
614	Eerie Organs	0.11397	50	259172
615	Prismatic Sample	0.03962	30	165119
616	Twisted Spores	0.19029	70	355714
617	Dripping Grubs	0.21995	60	393235
618	Frozen Gem	0.01519	20	134215
619	Whispering Organs	0.74783	160	1060994
620	Abandoned Tentacle	0.74271	140	1054520
621	Frozen Tentacle	0.41709	100	642608
622	Hypnotic Grubs	0.08334	30	220418
623	Frozen Sphere	0.21135	70	382349
624	Abyssal Tentacle	0.05483	50	184361
625	Prismatic Eye	0.43408	70	664098
626	Abyssal Organs	0.36013	90	570555
627	Hypnotic Organs	0.01425	30	133020
628	Prismatic Tendril	0.02559	40	147374
629	Nightmarish Remains	0.20031	110	368389
630	Twitching Spores	0.33202	100	535000
631	Whispering Gelsack	0.09871	20	239865
632	Gloaming Globe	0.39502	110	614691
633	Grim Jelly	0.24325	60	422713
634	Frozen Spores	0.02336	30	144549
635	Abandoned Lavae	0.8161	140	1147351
636	Chilling Sample	0.97746	210	1351476
637	Dripping Core	0.09969	20	241102
638	Eldritch Heart	0.04135	20	167312
639	Abyssal Spores	0.11254	50	257360
640	Hopeless Globe	0.22727	70	402496
641	Abandoned Heart	0.00411	20	120194
642	Abandoned Gelsack	0.10818	20	251846
643	Hopeless Tendril	0.11049	20	254768
644	Grim Jelly	0.31583	60	514518
645	Ominous Spores	0.26213	70	446596
646	Eerie Remains	0.0386	50	163830
647	Gloaming Gem	0.09816	30	239165
648	Whispering Bio-Anomaly	0.13153	40	281385
649	Eldritch Gem	0.21697	70	389468
650	Dripping Grubs	0.01369	30	132323
651	Abandoned Gem	0.08168	40	218326
652	Gloaming Organs	0.06363	30	195486
653	Dripping Eye	0.23226	90	408808
654	Timeless Gem	0.05009	20	178369
655	Eldritch Gelsack	0.10986	50	253976
656	Impossible Tentacle	0.44645	80	679753
657	Frozen Tendril	0.05098	20	179486
