sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage
174,Leaking Projector,0.167,,+13%
175,Nervous Reflector,0.104,+16%,
176,Stretched Aperture,0.5,,+15%
177,Fidgety Projector,0.375,+29%,
178,Fissured Aperture,0.062,+14%,
179,Nervous Mirror,0.0,,+12%
180,Stretched Retina,0.333,+27%,
181,Fissured Mirror,0.188,+20%,
182,Fissured Fluids,0.021,+12%,+12%
183,Nervous Iris,0.188,+20%,
184,Stretched Fluids,0.229,+22%,
185,Stretched Projector,0.25,+23%,
186,Leaking Iris,0.0,,+12%
187,Stretched Aperture,0.125,+17%,+12%
188,Fissured Fluids,0.521,+12%,+15%
189,Fidgety Retina,0.167,,+13%
190,Fissured Retina,0.042,+13%,+12%
191,Fissured Lens,0.0,,+12%
192,Fissured Pupil,0.417,+15%,+14%
193,Leaking Fluids,0.5,+11%,+15%
194,Stretched Pupil,0.0,,+12%
195,Fidgety Aperture,0.5,,+15%
196,Nervous Aperture,0.0,,+12%
197,Fissured Projector,0.167,,+13%
198,Fissured Cornea,0.042,+13%,
199,Stretched Retina,0.0,,+12%
200,Fissured Lens,0.0,+11%,
201,Fissured Projector,0.375,+29%,
202,Nervous Projector,0.0,+11%,
203,Fissured Retina,0.229,+22%,
204,Fissured Fluids,0.5,,+15%
205,Fidgety Mirror,0.333,,+14%
206,Nervous Retina,0.0,,+12%
207,Leaking Cornea,0.167,,+13%
208,Fissured Projector,0.458,+33%,+12%
209,Nervous Mirror,0.167,,+13%
210,Nervous Lens,0.0,+11%,
211,Nervous Fluids,0.167,,+13%
212,Fidgety Cornea,0.167,,+13%
213,Stretched Retina,0.021,+12%,
214,Fissured Lens,0.0,+11%,
215,Stretched Mirror,0.188,+20%,
216,Leaking Pupil,0.0,,+12%
217,Fissured Aperture,0.021,+12%,
218,Fidgety Fluids,0.0,,+12%
219,Fissured Retina,0.0,,+12%
220,Nervous Iris,0.5,,+15%
221,Stretched Iris,0.0,,+12%
222,Nervous Aperture,0.042,+13%,
223,Leaking Aperture,0.0,,+12%
224,Stretched Reflector,0.333,,+14%
225,Fidgety Retina,0.021,+12%,
226,Fissured Reflector,0.438,+16%,+14%
227,Fidgety Iris,0.062,+14%,
228,Fidgety Pupil,0.167,+19%,+12%
229,Fissured Projector,0.167,,+13%
230,Nervous Iris,0.0,,+12%
231,Nervous Lens,0.167,,+13%
232,Fidgety Cornea,0.188,+20%,
233,Stretched Iris,0.104,+16%,
234,Leaking Reflector,0.5,,+15%
235,Fidgety Cornea,0.125,+17%,
236,Leaking Aperture,0.5,,+15%
237,Nervous Retina,0.167,,+13%
238,Nervous Fluids,0.146,+18%,+12%
239,Leaking Pupil,0.5,,+15%
240,Nervous Pupil,0.167,,+13%
241,Fissured Cornea,0.0,+11%,
242,Nervous Projector,0.0,,+12%
243,Leaking Projector,0.333,,+14%
244,Stretched Pupil,0.0,,+12%
245,Leaking Projector,0.333,,+14%
246,Stretched Aperture,0.0,+11%,
247,Fissured Pupil,0.0,+11%,
248,Fidgety Cornea,0.688,+20%,+15%
249,Nervous Reflector,0.167,,+13%
250,Fidgety Reflector,0.312,+26%,+12%
251,Fissured Cornea,0.042,+13%,
252,Leaking Iris,0.333,,+14%
253,Stretched Retina,0.292,+25%,
254,Nervous Aperture,0.188,+20%,
255,Leaking Pupil,0.312,+26%,
256,Fidgety Retina,0.146,+18%,
257,Fidgety Pupil,0.0,,+12%
258,Fissured Reflector,0.0,,+12%
259,Nervous Reflector,0.0,+11%,
260,Nervous Reflector,0.167,,+13%
261,Fidgety Lens,0.0,,+12%
262,Fidgety Cornea,0.0,,+12%
263,Nervous Iris,0.375,+21%,+13%
264,Fidgety Cornea,0.0,,+12%
265,Leaking Mirror,0.125,+17%,
266,Fidgety Reflector,0.0,+11%,
267,Stretched Lens,0.0,,+12%
268,Fidgety Mirror,0.208,+21%,
269,Leaking Iris,0.271,+24%,+12%
270,Nervous Aperture,0.0,+11%,
271,Fidgety Fluids,0.021,+12%,
272,Nervous Mirror,0.167,,+13%
273,Nervous Lens,0.146,+18%,+12%
274,Nervous Projector,0.0,,+12%
275,Leaking Projector,0.167,+19%,
276,Leaking Retina,0.354,+12%,+14%
277,Stretched Mirror,0.0,,+12%
278,Leaking Lens,0.042,+13%,+12%
279,Fissured Aperture,0.208,+21%,
280,Stretched Cornea,0.021,+12%,
281,Leaking Fluids,0.417,+31%,
282,Fidgety Fluids,0.5,,+15%
283,Fidgety Retina,0.271,+24%,
284,Fidgety Fluids,0.354,+28%,
285,Nervous Aperture,0.167,,+13%
286,Fidgety Reflector,0.167,,+13%
287,Fidgety Projector,0.0,,+12%
288,Fidgety Pupil,0.188,+20%,
289,Nervous Pupil,0.5,,+15%
290,Stretched Iris,0.0,+11%,
291,Leaking Iris,0.167,+19%,
292,Stretched Pupil,0.333,,+14%
293,Leaking Reflector,0.021,+12%,
294,Stretched Iris,0.5,+27%,+13%
295,Stretched Iris,0.75,+23%,+15%
296,Fidgety Mirror,0.0,+11%,+12%
297,Leaking Cornea,0.0,+11%,+12%
298,Stretched Pupil,0.0,,+12%
299,Leaking Aperture,0.062,+14%,
300,Fissured Aperture,0.5,,+15%
301,Nervous Reflector,0.625,+17%,+15%
302,Fissured Retina,0.0,+11%,
303,Fissured Lens,0.083,+15%,
304,Nervous Aperture,0.0,,+12%
305,Leaking Mirror,0.167,,+13%
306,Leaking Retina,0.354,+28%,
307,Leaking Mirror,0.5,+35%,+12%
308,Nervous Pupil,0.0,,+12%
309,Fissured Pupil,0.0,,+12%
310,Stretched Cornea,0.042,+13%,
311,Stretched Fluids,0.312,+26%,
312,Fissured Fluids,0.333,,+14%
313,Fidgety Reflector,0.375,+29%,
314,Fissured Cornea,0.188,+20%,
315,Leaking Fluids,0.167,,+13%
316,Fissured Retina,0.75,+31%,+14%
317,Fidgety Retina,0.417,+31%,+12%
318,Stretched Cornea,0.271,+24%,
319,Fidgety Projector,0.042,+13%,
320,Stretched Iris,0.333,,+14%
321,Fidgety Cornea,0.021,+12%,+12%
322,Stretched Pupil,0.0,,+12%
323,Leaking Fluids,0.479,+34%,
324,Stretched Iris,0.479,+34%,
325,Fissured Iris,0.479,+18%,+14%
326,Fissured Mirror,0.021,+12%,
327,Leaking Lens,0.167,,+13%
328,Nervous Reflector,0.021,+12%,
329,Nervous Mirror,0.167,,+13%
330,Fissured Mirror,0.0,,+12%
331,Leaking Aperture,0.167,,+13%
332,Nervous Iris,0.0,+11%,
333,Nervous Aperture,0.0,+11%,
334,Fidgety Cornea,0.0,,+12%
335,Fissured Projector,0.167,+11%,+13%
336,Leaking Cornea,0.333,+27%,
337,Fissured Pupil,0.042,+13%,
338,Stretched Pupil,0.0,,+12%
339,Fidgety Iris,0.0,+11%,
340,Leaking Reflector,0.042,+13%,
341,Stretched Pupil,0.5,,+15%
342,Leaking Fluids,0.354,+12%,+14%
343,Nervous Reflector,0.042,+13%,
344,Nervous Lens,0.0,,+12%
345,Leaking Fluids,0.479,+34%,
346,Leaking Mirror,0.0,+11%,
347,Nervous Reflector,0.167,,+13%
348,Nervous Pupil,0.0,,+12%
349,Fidgety Projector,0.167,,+13%
350,Fissured Lens,0.5,,+15%
351,Fissured Iris,0.0,,+12%
352,Nervous Mirror,0.0,+11%,
353,Nervous Reflector,0.021,+12%,
354,Nervous Fluids,0.5,,+15%
355,Leaking Lens,0.208,+21%,+12%
356,Leaking Aperture,0.167,,+13%
357,Stretched Fluids,0.25,+23%,
358,Fidgety Iris,0.0,,+12%
359,Fidgety Aperture,0.0,+11%,
360,Nervous Retina,0.062,+14%,
361,Fidgety Iris,0.312,+26%,
362,Leaking Fluids,0.0,,+12%
363,Fidgety Lens,0.542,+13%,+15%
364,Nervous Reflector,0.5,,+15%
365,Leaking Retina,0.167,+19%,
366,Fidgety Projector,0.521,+12%,+15%
367,Stretched Aperture,0.0,+11%,
368,Nervous Reflector,0.042,+13%,
369,Stretched Iris,0.0,+11%,
370,Fissured Cornea,0.0,+11%,
371,Stretched Lens,0.188,+20%,
372,Fissured Cornea,0.188,+20%,
373,Leaking Retina,0.062,+14%,+12%
374,Stretched Cornea,0.0,,+12%
375,Fissured Projector,0.167,,+13%
376,Leaking Lens,0.021,+12%,
377,Stretched Lens,0.0,+11%,+12%
378,Fidgety Cornea,0.333,,+14%
379,Fidgety Iris,0.167,,+13%
380,Leaking Projector,0.0,,+12%
381,Stretched Cornea,0.167,,+13%
382,Stretched Mirror,0.333,,+14%
383,Fidgety Cornea,0.042,+13%,
384,Fidgety Projector,0.0,+11%,
385,Fidgety Retina,0.0,+11%,
386,Leaking Projector,0.333,+11%,+14%
387,Nervous Pupil,0.333,,+14%
388,Nervous Iris,0.333,,+14%
389,Fissured Reflector,0.167,,+13%
390,Fidgety Reflector,0.021,+12%,
391,Nervous Cornea,0.0,,+12%
392,Stretched Cornea,0.333,,+14%
393,Nervous Iris,0.0,,+12%
394,Fidgety Cornea,0.0,+11%,+12%
395,Nervous Aperture,0.0,,+12%
396,Fidgety Fluids,0.0,,+12%
397,Nervous Lens,0.292,+25%,+12%
398,Fidgety Pupil,0.0,,+12%
399,Leaking Fluids,0.917,+31%,+15%
400,Leaking Aperture,0.083,+15%,+12%
401,Leaking Aperture,0.0,+11%,
402,Nervous Cornea,0.167,,+13%
403,Fidgety Retina,0.167,,+13%
404,Fidgety Retina,0.0,,+12%
405,Leaking Retina,0.396,+30%,
406,Leaking Projector,0.042,+13%,
407,Leaking Cornea,0.333,+27%,
408,Stretched Mirror,0.0,+11%,
409,Nervous Reflector,1.0,+35%,+15%
410,Fissured Aperture,0.333,+11%,+14%
411,Leaking Iris,0.0,,+12%
412,Stretched Fluids,0.167,,+13%
413,Nervous Reflector,0.0,,+12%
414,Fissured Fluids,0.479,+34%,
415,Fidgety Retina,0.0,+11%,
416,Nervous Fluids,0.417,+23%,+13%
417,Nervous Mirror,0.333,,+14%
418,Stretched Retina,0.333,,+14%
419,Nervous Pupil,0.0,+11%,
420,Leaking Projector,0.75,+23%,+15%
421,Fidgety Iris,0.0,,+12%
422,Fidgety Reflector,0.438,+32%,+12%
423,Stretched Mirror,0.0,+11%,+12%
424,Fidgety Lens,0.333,,+14%
425,Leaking Projector,0.042,+13%,
426,Leaking Reflector,0.167,,+13%
427,Fissured Iris,0.583,+23%,+14%
428,Fidgety Cornea,0.104,+16%,+12%
429,Nervous Retina,0.208,+21%,
430,Fidgety Cornea,0.125,+17%,
431,Stretched Retina,0.0,,+12%
432,Leaking Pupil,0.333,,+14%
433,Leaking Fluids,0.083,+15%,
434,Stretched Lens,0.5,,+15%
435,Nervous Projector,0.375,+29%,
436,Nervous Reflector,0.146,+18%,
437,Nervous Fluids,0.333,+27%,
438,Fidgety Projector,0.458,+33%,
439,Fissured Pupil,0.0,,+12%
440,Stretched Projector,0.333,,+14%
441,Leaking Cornea,0.062,+14%,
442,Leaking Iris,0.0,+11%,+12%
443,Stretched Reflector,0.125,+17%,
444,Fissured Iris,0.0,,+12%
445,Fissured Cornea,0.125,+17%,
446,Leaking Cornea,0.0,+11%,
447,Leaking Aperture,0.083,+15%,
448,Fidgety Cornea,0.0,,+12%
449,Stretched Projector,0.042,+13%,
450,Leaking Retina,0.0,,+12%
451,Fissured Reflector,0.5,,+15%
452,Stretched Fluids,0.083,+15%,+12%
453,Fissured Fluids,0.167,,+13%
454,Stretched Retina,0.0,,+12%
455,Fidgety Aperture,0.333,,+14%
456,Leaking Lens,0.354,+28%,
457,Leaking Projector,0.0,,+12%
458,Nervous Projector,0.062,+14%,+12%
459,Fissured Cornea,0.0,,+12%
460,Stretched Pupil,0.5,,+15%
461,Fidgety Pupil,0.229,+22%,
462,Stretched Iris,0.0,+11%,
463,Fissured Fluids,0.146,+18%,
464,Fidgety Iris,0.167,+19%,
465,Fissured Reflector,0.5,+35%,
466,Stretched Pupil,0.417,+23%,+13%
467,Fissured Lens,0.0,,+12%
468,Fidgety Iris,0.354,+28%,
469,Nervous Lens,0.25,+23%,
470,Fissured Pupil,0.5,+11%,+15%
471,Nervous Projector,0.271,+24%,+12%
472,Fidgety Mirror,0.229,+22%,
473,Fidgety Mirror,0.0,+11%,
474,Nervous Aperture,0.0,,+12%
475,Nervous Cornea,0.0,,+12%
476,Fidgety Projector,0.0,+11%,
477,Fissured Fluids,0.0,+11%,+12%
478,Fissured Pupil,0.042,+13%,
479,Leaking Cornea,0.083,+15%,
480,Stretched Fluids,0.208,+21%,
481,Nervous Lens,0.333,+27%,
482,Nervous Reflector,0.0,,+12%
483,Leaking Iris,0.0,,+12%
484,Fidgety Iris,0.0,,+12%
485,Nervous Projector,0.167,,+13%
486,Nervous Lens,0.0,,+12%
487,Stretched Lens,0.5,,+15%
488,Fidgety Fluids,0.104,+16%,
489,Fissured Mirror,0.0,+11%,+12%
490,Nervous Pupil,0.167,+19%,
491,Fissured Aperture,0.0,,+12%
492,Stretched Aperture,0.542,+13%,+15%
493,Fidgety Projector,0.0,,+12%
494,Nervous Cornea,0.0,+11%,
495,Nervous Fluids,0.354,+28%,
496,Fidgety Aperture,0.021,+12%,
497,Fissured Mirror,0.0,,+12%
498,Fissured Cornea,0.0,+11%,
499,Fissured Pupil,0.0,,+12%
500,Fidgety Retina,0.229,+22%,
501,Fidgety Iris,0.104,+16%,
502,Fidgety Retina,0.417,+31%,
503,Nervous Aperture,0.021,+12%,
504,Nervous Lens,0.0,+11%,
505,Leaking Reflector,0.375,+29%,
506,Fissured Projector,0.229,+22%,
507,Leaking Cornea,0.458,+17%,+14%
508,Stretched Reflector,0.0,+11%,
509,Fidgety Lens,0.0,,+12%
510,Fissured Lens,0.167,+19%,+12%
511,Fissured Projector,0.125,+17%,
512,Nervous Iris,0.333,,+14%
513,Fidgety Retina,0.396,+30%,
514,Stretched Projector,0.333,,+14%
515,Fissured Mirror,0.438,+32%,
516,Fidgety Aperture,0.125,+17%,
517,Leaking Projector,0.5,,+15%
518,Stretched Pupil,0.042,+13%,
519,Nervous Cornea,0.229,+22%,
520,Nervous Iris,0.5,,+15%
521,Leaking Pupil,0.0,,+12%
522,Nervous Lens,0.375,+29%,
523,Leaking Pupil,0.0,+11%,+12%
524,Leaking Iris,0.0,+11%,
525,Stretched Fluids,0.333,,+14%
526,Fissured Retina,0.208,+21%,
527,Fissured Aperture,0.167,,+13%
528,Stretched Projector,0.0,,+12%
529,Nervous Iris,0.167,,+13%
530,Fidgety Pupil,0.167,+19%,
531,Leaking Cornea,0.333,+11%,+14%
532,Leaking Reflector,0.0,,+12%
533,Fissured Pupil,0.104,+16%,
534,Fissured Fluids,0.167,,+13%
535,Fidgety Aperture,0.167,+19%,
536,Fissured Retina,0.417,+31%,
537,Stretched Fluids,0.0,,+12%
538,Nervous Mirror,0.479,+34%,+12%
539,Leaking Retina,0.104,+16%,
540,Stretched Reflector,0.0,,+12%
541,Leaking Lens,0.0,+11%,
542,Stretched Cornea,0.0,,+12%
543,Leaking Pupil,0.229,+14%,+13%
544,Stretched Fluids,0.333,,+14%
545,Fidgety Retina,0.167,,+13%
546,Fidgety Iris,0.0,,+12%
547,Leaking Pupil,0.167,,+13%
548,Stretched Pupil,0.0,,+12%
549,Fidgety Aperture,0.021,+12%,
550,Stretched Cornea,0.0,,+12%
551,Leaking Fluids,0.0,,+12%
552,Nervous Retina,0.5,,+15%
553,Fidgety Retina,0.5,+11%,+15%
554,Nervous Projector,0.083,+15%,
555,Leaking Iris,0.0,+11%,
556,Fissured Iris,0.125,+17%,
557,Fissured Fluids,0.5,,+15%
558,Nervous Lens,0.229,+22%,
559,Leaking Lens,0.625,+25%,+14%
560,Fidgety Iris,0.583,+15%,+15%
561,Fidgety Fluids,0.042,+13%,+12%
562,Fidgety Aperture,0.021,+12%,
563,Leaking Lens,0.167,+11%,+13%
564,Stretched Projector,0.167,,+13%
565,Fissured Cornea,0.0,,+12%
566,Fissured Mirror,0.062,+14%,
567,Stretched Iris,0.104,+16%,+12%
568,Fidgety Mirror,0.0,,+12%
569,Nervous Mirror,0.271,+16%,+13%
570,Nervous Retina,0.333,,+14%
571,Fidgety Retina,0.0,,+12%
572,Leaking Retina,0.188,+20%,
573,Fissured Cornea,0.0,+11%,
574,Fidgety Iris,0.333,,+14%
575,Nervous Cornea,0.0,,+12%
576,Nervous Retina,0.0,+11%,+12%
577,Fidgety Retina,0.0,,+12%
578,Nervous Aperture,0.0,+11%,
579,Stretched Aperture,0.188,+20%,
580,Fissured Iris,0.0,,+12%
581,Fidgety Cornea,0.188,+20%,
582,Nervous Projector,0.083,+15%,
583,Fissured Projector,0.333,+27%,
584,Fissured Aperture,0.5,,+15%
585,Fissured Aperture,0.042,+13%,
586,Stretched Projector,0.5,,+15%
587,Fissured Projector,0.271,+24%,
588,Fissured Mirror,0.188,+20%,
589,Fissured Lens,0.021,+12%,
590,Fidgety Mirror,0.312,+26%,
591,Stretched Retina,0.229,+22%,
592,Stretched Pupil,0.167,,+13%
593,Fidgety Fluids,0.0,,+12%
594,Stretched Lens,0.188,+20%,
595,Fissured Pupil,0.0,+11%,
596,Fidgety Retina,0.5,+35%,
597,Stretched Retina,0.479,+34%,
598,Fidgety Fluids,0.0,+11%,
599,Fidgety Fluids,0.104,+16%,
600,Fissured Retina,0.0,,+12%
601,Fissured Fluids,0.021,+12%,
602,Nervous Reflector,0.188,+12%,+13%
603,Fidgety Iris,0.0,,+12%
604,Nervous Lens,0.333,,+14%
605,Stretched Reflector,0.5,,+15%
606,Fidgety Reflector,0.0,,+12%
607,Fidgety Fluids,0.167,+11%,+13%
608,Nervous Projector,0.0,,+12%
609,Fissured Mirror,0.5,+35%,
610,Stretched Projector,0.0,,+12%
611,Fissured Aperture,0.333,,+14%
612,Fidgety Fluids,0.208,+21%,
613,Fissured Fluids,0.0,,+12%
614,Nervous Retina,0.0,,+12%
615,Fissured Retina,0.167,+19%,
616,Stretched Retina,0.125,+17%,+12%
617,Fidgety Aperture,0.333,,+14%
618,Fissured Mirror,0.333,,+14%
619,Leaking Fluids,0.0,+11%,+12%
620,Stretched Cornea,0.458,+33%,+12%
621,Nervous Pupil,0.583,+15%,+15%
622,Stretched Cornea,0.167,,+13%
623,Nervous Aperture,0.083,+15%,
624,Stretched Lens,0.167,,+13%
625,Nervous Cornea,0.625,+17%,+15%
626,Fissured Pupil,0.583,+15%,+15%
627,Nervous Cornea,0.104,+16%,
628,Leaking Cornea,0.0,,+12%
629,Fidgety Retina,0.333,,+14%
630,Fidgety Projector,0.5,,+15%
631,Fidgety Fluids,0.25,+23%,
632,Fissured Cornea,0.333,,+14%
633,Leaking Fluids,0.0,,+12%
634,Fissured Fluids,0.0,,+12%
635,Leaking Cornea,0.083,+15%,+12%
636,Fissured Mirror,0.167,+11%,+13%
637,Leaking Reflector,0.333,,+14%
638,Leaking Fluids,0.333,,+14%
639,Fidgety Reflector,0.0,,+12%
640,Nervous Aperture,0.5,,+15%
641,Fidgety Fluids,0.167,,+13%
642,Stretched Fluids,0.0,,+12%
643,Stretched Pupil,0.062,+14%,
644,Fissured Projector,0.0,,+12%
645,Stretched Projector,0.354,+28%,
646,Stretched Iris,0.125,+17%,
647,Fidgety Pupil,0.0,,+12%
648,Nervous Cornea,0.0,,+12%
649,Fissured Cornea,0.0,,+12%
650,Nervous Reflector,0.333,,+14%
651,Fidgety Fluids,0.062,+14%,
652,Fidgety Reflector,0.167,,+13%
653,Nervous Projector,0.375,+29%,
654,Fidgety Lens,0.292,+25%,
655,Fidgety Retina,0.333,,+14%
656,Stretched Pupil,0.167,,+13%
657,Stretched Iris,0.042,+13%,
658,Fissured Reflector,0.0,,+12%
659,Leaking Fluids,0.083,+15%,+12%
660,Leaking Mirror,0.0,+11%,
661,Fidgety Cornea,0.188,+20%,
662,Fissured Cornea,0.0,+11%,+12%
663,Nervous Iris,0.0,,+12%
664,Fidgety Projector,0.333,,+14%
665,Stretched Pupil,0.062,+14%,+12%
666,Leaking Fluids,0.0,,+12%
667,Fidgety Iris,0.0,,+12%
668,Stretched Pupil,0.354,+28%,+12%
669,Fidgety Lens,0.042,+13%,
670,Stretched Lens,0.0,,+12%
671,Leaking Iris,0.0,,+12%
672,Nervous Pupil,0.167,,+13%
673,Nervous Reflector,0.0,+11%,
674,Fidgety Iris,0.0,,+12%
675,Leaking Cornea,0.0,,+12%
676,Stretched Fluids,0.188,+20%,
677,Fissured Retina,0.5,,+15%
678,Fidgety Pupil,0.0,,+12%
679,Leaking Pupil,0.167,,+13%
680,Fissured Projector,0.021,+12%,
681,Leaking Lens,0.042,+13%,
682,Fidgety Fluids,0.167,,+13%
683,Stretched Reflector,0.0,,+12%
