Seed	Name	Perfection	Ship_Hyperdrive_JumpDistance
61	Fragile Lobe Actuator	0.14	57 ly
62	Fragile Sensory Veil	0.5	75 ly
63	Moistened Neural Matrix	0.24	62 ly
64	Moistened Lobe Actuator	0.94	97 ly
65	Threaded Sensory Veil	0.32	66 ly
66	Gooey Neural Matrix	0.56	78 ly
67	Threaded Bio-Reality Generator	0.46	73 ly
68	Threaded Stellar Processor	0.28	64 ly
69	Gooey Bio-Reality Generator	0.16	58 ly
70	Gooey Lobe Actuator	0.36	68 ly
71	Clammy Memory Calculus	0.02	51 ly
72	Gooey Emotal Core	0.08	54 ly
73	Gooey Lobes	0.0	50 ly
74	Threaded Sensory Veil	0.66	83 ly
75	Gooey Cluster Stem	0.08	54 ly
76	Threaded Sensory Veil	0.04	52 ly
77	Clammy Bio-Reality Generator	0.42	71 ly
78	Gooey Sensory Veil	0.02	51 ly
79	Fragile Lobes	0.98	99 ly
80	Fragile Neural Matrix	0.14	57 ly
81	Gooey Bio-Reality Generator	0.52	76 ly
82	Threaded Hive Stem	0.66	83 ly
83	Threaded Neural Matrix	0.42	71 ly
84	Fragile Neural Matrix	0.0	50 ly
85	Moistened Emotal Core	0.12	56 ly
86	Clammy Hive Stem	0.2	60 ly
87	Gooey Cluster Stem	0.3	65 ly
88	Moistened Hive Stem	0.76	88 ly
89	Gooey Bio-Reality Generator	0.32	66 ly
90	Moistened Lobe Actuator	0.98	99 ly
91	Threaded Stellar Processor	0.0	50 ly
92	Fragile Lobe Actuator	0.08	54 ly
93	Fragile Memory Calculus	0.24	62 ly
94	Clammy Bio-Reality Generator	0.08	54 ly
95	Fragile Stellar Processor	0.54	77 ly
96	Fragile Cluster Stem	0.06	53 ly
97	Gooey Stellar Processor	0.1	55 ly
98	Clammy Lobe Actuator	0.24	62 ly
99	Moistened Neural Matrix	0.04	52 ly
100	Moistened Sensory Veil	0.24	62 ly
101	Fragile Lobes	0.84	92 ly
102	Gooey Stellar Processor	0.42	71 ly
103	Clammy Emotal Core	0.28	64 ly
104	Clammy Sensory Veil	0.06	53 ly
105	Clammy Stellar Processor	0.1	55 ly
106	Clammy Stellar Processor	0.0	50 ly
107	Clammy Hive Stem	0.6	80 ly
108	Fragile Hive Stem	0.98	99 ly
109	Clammy Emotal Core	0.0	50 ly
110	Gooey Sensory Veil	0.24	62 ly
111	Threaded Memory Calculus	0.4	70 ly
112	Fragile Stellar Processor	0.42	71 ly
113	Moistened Bio-Reality Generator	0.36	68 ly
114	Threaded Sensory Veil	0.1	55 ly
115	Fragile Sensory Veil	0.02	51 ly
116	Fragile Lobe Actuator	0.06	53 ly
117	Moistened Sensory Veil	0.12	56 ly
118	Fragile Lobe Actuator	0.08	54 ly
119	Clammy Bio-Reality Generator	0.02	51 ly
120	Fragile Cluster Stem	0.0	50 ly
121	Fragile Lobe Actuator	0.78	89 ly
122	Fragile Bio-Reality Generator	0.6	80 ly
123	Clammy Lobe Actuator	0.06	53 ly
124	Threaded Bio-Reality Generator	0.46	73 ly
125	Gooey Neural Matrix	0.16	58 ly
126	Threaded Memory Calculus	0.88	94 ly
127	Fragile Emotal Core	0.16	58 ly
128	Clammy Neural Matrix	0.68	84 ly
129	Moistened Neural Matrix	0.06	53 ly
130	Moistened Lobe Actuator	0.0	50 ly
131	Clammy Stellar Processor	0.96	98 ly
132	Clammy Lobe Actuator	0.12	56 ly
133	Threaded Lobe Actuator	0.26	63 ly
134	Fragile Lobes	0.52	76 ly
135	Gooey Neural Matrix	0.18	59 ly
136	Fragile Sensory Veil	0.06	53 ly
137	Clammy Neural Matrix	0.32	66 ly
138	Fragile Cluster Stem	0.0	50 ly
139	Clammy Lobes	0.96	98 ly
140	Fragile Memory Calculus	0.56	78 ly
141	Threaded Hive Stem	0.42	71 ly
142	Fragile Memory Calculus	0.18	59 ly
143	Moistened Sensory Veil	0.3	65 ly
144	Clammy Neural Matrix	0.12	56 ly
145	Moistened Emotal Core	0.08	54 ly
146	Gooey Cluster Stem	0.0	50 ly
147	Clammy Bio-Reality Generator	0.3	65 ly
148	Moistened Stellar Processor	0.0	50 ly
149	Threaded Lobes	0.04	52 ly
150	Moistened Cluster Stem	0.28	64 ly
151	Threaded Lobes	0.62	81 ly
152	Threaded Stellar Processor	0.0	50 ly
153	Moistened Hive Stem	0.04	52 ly
154	Moistened Lobe Actuator	0.0	50 ly
155	Gooey Lobe Actuator	0.32	66 ly
156	Threaded Bio-Reality Generator	0.78	89 ly
157	Clammy Cluster Stem	0.78	89 ly
158	Threaded Hive Stem	0.84	92 ly
159	Clammy Stellar Processor	0.2	60 ly
160	Threaded Stellar Processor	0.88	94 ly
161	Threaded Bio-Reality Generator	0.78	89 ly
162	Threaded Sensory Veil	0.02	51 ly
163	Fragile Cluster Stem	0.12	56 ly
164	Moistened Stellar Processor	0.56	78 ly
165	Clammy Bio-Reality Generator	0.08	54 ly
166	Clammy Sensory Veil	0.84	92 ly
167	Fragile Hive Stem	0.08	54 ly
168	Fragile Memory Calculus	0.32	66 ly
169	Moistened Neural Matrix	0.22	61 ly
170	Gooey Emotal Core	0.78	89 ly
171	Gooey Memory Calculus	0.36	68 ly
172	Threaded Emotal Core	0.4	70 ly
173	Fragile Neural Matrix	0.96	98 ly
174	Threaded Lobe Actuator	0.0	50 ly
175	Clammy Sensory Veil	0.48	74 ly
176	Moistened Memory Calculus	0.04	52 ly
177	Fragile Lobe Actuator	0.42	71 ly
178	Gooey Memory Calculus	0.48	74 ly
179	Clammy Neural Matrix	0.0	50 ly
180	Moistened Emotal Core	0.38	69 ly
181	Gooey Neural Matrix	0.26	63 ly
182	Gooey Bio-Reality Generator	0.0	50 ly
183	Clammy Lobes	0.78	89 ly
184	Moistened Bio-Reality Generator	0.74	87 ly
185	Moistened Lobe Actuator	0.98	99 ly
186	Threaded Lobes	0.0	50 ly
187	Moistened Memory Calculus	0.06	53 ly
188	Gooey Bio-Reality Generator	0.38	69 ly
189	Fragile Emotal Core	0.0	50 ly
190	Gooey Emotal Core	0.12	56 ly
191	Gooey Cluster Stem	0.06	53 ly
192	Gooey Hive Stem	0.8	90 ly
193	Threaded Bio-Reality Generator	0.76	88 ly
194	Moistened Hive Stem	0.04	52 ly
195	Fragile Memory Calculus	0.06	53 ly
196	Clammy Memory Calculus	0.0	50 ly
197	Gooey Lobe Actuator	0.1	55 ly
198	Gooey Stellar Processor	0.72	86 ly
199	Moistened Emotal Core	0.06	53 ly
200	Gooey Cluster Stem	0.46	73 ly
201	Gooey Lobe Actuator	0.64	82 ly
202	Clammy Lobe Actuator	0.28	64 ly
203	Gooey Emotal Core	0.84	92 ly
204	Gooey Bio-Reality Generator	0.0	50 ly
205	Fragile Neural Matrix	0.0	50 ly
206	Clammy Emotal Core	0.22	61 ly
207	Threaded Stellar Processor	0.22	61 ly
208	Gooey Lobe Actuator	0.26	63 ly
209	Clammy Neural Matrix	0.02	51 ly
210	Clammy Cluster Stem	0.44	72 ly
211	Clammy Bio-Reality Generator	0.0	50 ly
212	Fragile Stellar Processor	0.0	50 ly
213	Moistened Emotal Core	0.62	81 ly
214	Gooey Cluster Stem	0.38	69 ly
215	Moistened Neural Matrix	0.32	66 ly
216	Threaded Hive Stem	0.06	53 ly
217	Gooey Memory Calculus	0.96	98 ly
218	Fragile Bio-Reality Generator	0.04	52 ly
219	Gooey Emotal Core	0.08	54 ly
220	Clammy Lobes	0.04	52 ly
221	Moistened Lobes	0.22	61 ly
222	Clammy Memory Calculus	0.98	99 ly
223	Threaded Memory Calculus	0.0	50 ly
224	Moistened Sensory Veil	0.02	51 ly
225	Fragile Emotal Core	0.38	69 ly
226	Gooey Sensory Veil	0.02	51 ly
227	Fragile Lobes	0.64	82 ly
228	Fragile Hive Stem	0.54	77 ly
229	Gooey Lobe Actuator	0.08	54 ly
230	Clammy Lobes	0.04	52 ly
231	Clammy Cluster Stem	0.0	50 ly
232	Fragile Stellar Processor	0.78	89 ly
233	Moistened Lobes	0.86	93 ly
234	Threaded Sensory Veil	0.04	52 ly
235	Fragile Stellar Processor	0.8	90 ly
236	Threaded Memory Calculus	0.06	53 ly
237	Clammy Emotal Core	0.08	54 ly
238	Clammy Bio-Reality Generator	0.0	50 ly
239	Threaded Hive Stem	0.04	52 ly
240	Clammy Hive Stem	0.0	50 ly
241	Gooey Stellar Processor	0.78	89 ly
242	Clammy Lobe Actuator	0.0	50 ly
243	Threaded Lobe Actuator	0.02	51 ly
244	Moistened Hive Stem	0.02	51 ly
245	Threaded Lobe Actuator	0.18	59 ly
246	Moistened Memory Calculus	0.38	69 ly
247	Gooey Hive Stem	0.98	99 ly
248	Fragile Stellar Processor	0.02	51 ly
249	Clammy Sensory Veil	0.24	62 ly
250	Fragile Sensory Veil	0.32	66 ly
251	Gooey Stellar Processor	0.32	66 ly
252	Threaded Lobes	0.1	55 ly
253	Moistened Emotal Core	0.48	74 ly
254	Clammy Memory Calculus	0.56	78 ly
255	Threaded Hive Stem	0.42	71 ly
256	Fragile Emotal Core	0.96	98 ly
257	Fragile Hive Stem	0.02	51 ly
258	Gooey Sensory Veil	0.24	62 ly
259	Clammy Sensory Veil	0.4	70 ly
260	Clammy Sensory Veil	0.16	58 ly
261	Fragile Cluster Stem	0.0	50 ly
262	Fragile Stellar Processor	0.18	59 ly
263	Clammy Lobes	0.36	68 ly
264	Fragile Stellar Processor	0.12	56 ly
265	Threaded Neural Matrix	0.82	91 ly
266	Fragile Sensory Veil	0.42	71 ly
267	Moistened Cluster Stem	0.02	51 ly
268	Fragile Neural Matrix	0.46	73 ly
269	Threaded Lobes	0.16	58 ly
270	Clammy Memory Calculus	0.54	77 ly
271	Fragile Bio-Reality Generator	0.82	91 ly
272	Clammy Neural Matrix	0.08	54 ly
273	Clammy Cluster Stem	0.14	57 ly
274	Clammy Lobe Actuator	0.04	52 ly
275	Threaded Lobe Actuator	0.58	79 ly
276	Threaded Emotal Core	0.64	82 ly
277	Moistened Neural Matrix	0.12	56 ly
278	Threaded Cluster Stem	0.88	94 ly
279	Gooey Memory Calculus	0.44	72 ly
280	Moistened Stellar Processor	0.44	72 ly
281	Threaded Bio-Reality Generator	0.46	73 ly
282	Fragile Bio-Reality Generator	0.0	50 ly
283	Fragile Emotal Core	0.64	82 ly
284	Fragile Bio-Reality Generator	0.78	89 ly
285	Clammy Memory Calculus	0.14	57 ly
286	Fragile Sensory Veil	0.02	51 ly
287	Fragile Lobe Actuator	0.02	51 ly
288	Fragile Hive Stem	0.4	70 ly
289	Clammy Hive Stem	0.16	58 ly
290	Moistened Lobes	0.76	88 ly
291	Threaded Lobes	0.32	66 ly
292	Moistened Hive Stem	0.04	52 ly
293	Threaded Sensory Veil	0.98	99 ly
294	Moistened Lobes	0.34	67 ly
295	Moistened Lobes	0.16	58 ly
296	Fragile Neural Matrix	0.22	61 ly
297	Threaded Stellar Processor	0.12	56 ly
298	Moistened Hive Stem	0.2	60 ly
299	Threaded Memory Calculus	0.52	76 ly
300	Gooey Memory Calculus	0.16	58 ly
301	Clammy Sensory Veil	0.76	88 ly
302	Gooey Emotal Core	0.94	97 ly
303	Gooey Cluster Stem	0.44	72 ly
304	Clammy Memory Calculus	0.04	52 ly
305	Threaded Neural Matrix	0.04	52 ly
306	Threaded Emotal Core	0.42	71 ly
307	Threaded Neural Matrix	0.0	50 ly
308	Clammy Hive Stem	0.02	51 ly
309	Gooey Hive Stem	0.08	54 ly
310	Moistened Stellar Processor	0.32	66 ly
311	Moistened Bio-Reality Generator	0.8	90 ly
312	Gooey Bio-Reality Generator	0.18	59 ly
313	Fragile Sensory Veil	0.46	73 ly
314	Gooey Stellar Processor	0.3	65 ly
315	Threaded Bio-Reality Generator	0.2	60 ly
316	Gooey Emotal Core	0.12	56 ly
317	Fragile Emotal Core	0.22	61 ly
318	Moistened Stellar Processor	0.36	68 ly
319	Fragile Lobe Actuator	0.84	92 ly
320	Moistened Lobes	0.04	52 ly
321	Fragile Stellar Processor	0.14	57 ly
322	Moistened Hive Stem	0.24	62 ly
323	Threaded Bio-Reality Generator	0.54	77 ly
324	Moistened Lobes	0.28	64 ly
325	Gooey Lobes	0.22	61 ly
326	Gooey Neural Matrix	0.74	87 ly
327	Threaded Cluster Stem	0.12	56 ly
328	Clammy Sensory Veil	0.74	87 ly
329	Clammy Neural Matrix	0.1	55 ly
330	Gooey Neural Matrix	0.2	60 ly
331	Threaded Memory Calculus	0.04	52 ly
332	Clammy Lobes	0.96	98 ly
333	Clammy Memory Calculus	0.64	82 ly
334	Fragile Stellar Processor	0.02	51 ly
335	Gooey Lobe Actuator	0.48	74 ly
336	Threaded Stellar Processor	0.26	63 ly
337	Gooey Hive Stem	0.46	73 ly
338	Moistened Hive Stem	0.04	52 ly
339	Fragile Lobes	0.28	64 ly
340	Threaded Sensory Veil	0.4	70 ly
341	Moistened Hive Stem	0.02	51 ly
342	Threaded Bio-Reality Generator	0.7	85 ly
343	Clammy Sensory Veil	0.74	87 ly
344	Clammy Cluster Stem	0.14	57 ly
345	Threaded Bio-Reality Generator	0.7	85 ly
346	Threaded Neural Matrix	0.68	84 ly
347	Clammy Sensory Veil	0.14	57 ly
348	Clammy Hive Stem	0.06	53 ly
349	Fragile Lobe Actuator	0.0	50 ly
350	Gooey Cluster Stem	0.1	55 ly
351	Gooey Lobes	0.0	50 ly
352	Clammy Neural Matrix	0.48	74 ly
353	Clammy Sensory Veil	0.54	77 ly
354	Clammy Bio-Reality Generator	0.02	51 ly
355	Threaded Cluster Stem	0.1	55 ly
356	Threaded Memory Calculus	0.06	53 ly
357	Moistened Bio-Reality Generator	0.96	98 ly
358	Fragile Lobes	0.06	53 ly
359	Fragile Memory Calculus	0.7	85 ly
360	Clammy Emotal Core	0.44	72 ly
361	Fragile Lobes	0.28	64 ly
362	Threaded Bio-Reality Generator	0.18	59 ly
363	Fragile Cluster Stem	0.06	53 ly
364	Clammy Sensory Veil	0.04	52 ly
365	Threaded Emotal Core	0.54	77 ly
366	Fragile Lobe Actuator	0.1	55 ly
367	Moistened Memory Calculus	0.56	78 ly
368	Clammy Sensory Veil	0.58	79 ly
369	Moistened Lobes	0.5	75 ly
370	Gooey Stellar Processor	0.4	70 ly
371	Moistened Cluster Stem	0.92	96 ly
372	Gooey Stellar Processor	0.26	63 ly
373	Threaded Emotal Core	0.32	66 ly
374	Moistened Stellar Processor	0.04	52 ly
375	Gooey Lobe Actuator	0.0	50 ly
376	Threaded Cluster Stem	0.84	92 ly
377	Moistened Cluster Stem	0.2	60 ly
378	Fragile Stellar Processor	0.0	50 ly
379	Fragile Lobes	0.02	51 ly
380	Threaded Lobe Actuator	0.24	62 ly
381	Moistened Stellar Processor	0.0	50 ly
382	Moistened Neural Matrix	0.0	50 ly
383	Fragile Stellar Processor	0.74	87 ly
384	Fragile Lobe Actuator	0.64	82 ly
385	Fragile Emotal Core	0.48	74 ly
386	Threaded Lobe Actuator	0.02	51 ly
387	Clammy Hive Stem	0.0	50 ly
388	Clammy Lobes	0.1	55 ly
389	Gooey Sensory Veil	0.08	54 ly
390	Fragile Sensory Veil	0.84	92 ly
391	Clammy Stellar Processor	0.24	62 ly
392	Moistened Stellar Processor	0.06	53 ly
393	Clammy Lobes	0.02	51 ly
394	Fragile Stellar Processor	0.8	90 ly
395	Clammy Memory Calculus	0.0	50 ly
396	Fragile Bio-Reality Generator	0.02	51 ly
397	Clammy Cluster Stem	0.02	51 ly
398	Fragile Hive Stem	0.1	55 ly
399	Threaded Bio-Reality Generator	0.04	52 ly
400	Threaded Memory Calculus	1.0	100 ly
401	Threaded Memory Calculus	0.62	81 ly
402	Clammy Stellar Processor	0.02	51 ly
403	Fragile Emotal Core	0.06	53 ly
404	Fragile Emotal Core	0.0	50 ly
405	Threaded Emotal Core	0.34	67 ly
406	Threaded Lobe Actuator	0.96	98 ly
407	Threaded Stellar Processor	0.4	70 ly
408	Moistened Neural Matrix	0.52	76 ly
409	Clammy Sensory Veil	0.92	96 ly
410	Gooey Memory Calculus	0.04	52 ly
411	Threaded Lobes	0.22	61 ly
412	Moistened Bio-Reality Generator	0.06	53 ly
413	Clammy Sensory Veil	0.02	51 ly
414	Gooey Bio-Reality Generator	0.9	95 ly
415	Fragile Emotal Core	0.6	80 ly
416	Clammy Bio-Reality Generator	0.12	56 ly
417	Clammy Neural Matrix	0.08	54 ly
418	Moistened Emotal Core	0.18	59 ly
419	Clammy Hive Stem	0.76	88 ly
420	Threaded Lobe Actuator	0.56	78 ly
421	Fragile Lobes	0.14	57 ly
422	Fragile Sensory Veil	0.0	50 ly
423	Moistened Neural Matrix	0.7	85 ly
424	Fragile Cluster Stem	0.0	50 ly
425	Threaded Lobe Actuator	0.78	89 ly
426	Threaded Sensory Veil	0.1	55 ly
427	Gooey Lobes	0.9	95 ly
428	Fragile Stellar Processor	0.3	65 ly
429	Clammy Emotal Core	0.62	81 ly
430	Fragile Stellar Processor	0.4	70 ly
431	Moistened Emotal Core	0.08	54 ly
432	Threaded Hive Stem	0.0	50 ly
433	Threaded Bio-Reality Generator	0.3	65 ly
434	Moistened Cluster Stem	0.0	50 ly
435	Clammy Lobe Actuator	0.6	80 ly
436	Clammy Sensory Veil	0.62	81 ly
437	Clammy Bio-Reality Generator	0.46	73 ly
438	Fragile Lobe Actuator	0.42	71 ly
439	Gooey Hive Stem	0.06	53 ly
440	Moistened Lobe Actuator	0.04	52 ly
441	Threaded Stellar Processor	0.54	77 ly
442	Threaded Lobes	0.08	54 ly
443	Moistened Sensory Veil	0.42	71 ly
444	Gooey Lobes	0.02	51 ly
445	Gooey Stellar Processor	0.5	75 ly
446	Threaded Stellar Processor	0.46	73 ly
447	Threaded Memory Calculus	0.58	79 ly
448	Fragile Stellar Processor	0.24	62 ly
449	Moistened Lobe Actuator	1.0	100 ly
450	Threaded Emotal Core	0.02	51 ly
451	Gooey Sensory Veil	0.02	51 ly
452	Moistened Bio-Reality Generator	0.3	65 ly
453	Gooey Bio-Reality Generator	0.06	53 ly
454	Moistened Emotal Core	0.06	53 ly
455	Fragile Memory Calculus	0.14	57 ly
456	Threaded Cluster Stem	0.84	92 ly
457	Threaded Lobe Actuator	0.2	60 ly
458	Clammy Lobe Actuator	0.86	93 ly
459	Gooey Stellar Processor	0.2	60 ly
460	Moistened Hive Stem	0.08	54 ly
461	Fragile Hive Stem	0.68	84 ly
462	Moistened Lobes	0.74	87 ly
463	Gooey Bio-Reality Generator	0.42	71 ly
464	Fragile Lobes	0.4	70 ly
465	Gooey Sensory Veil	0.56	78 ly
466	Moistened Hive Stem	0.48	74 ly
467	Gooey Cluster Stem	0.0	50 ly
468	Fragile Lobes	0.32	66 ly
469	Clammy Cluster Stem	0.34	67 ly
470	Gooey Hive Stem	0.2	60 ly
471	Clammy Lobe Actuator	0.08	54 ly
472	Fragile Neural Matrix	0.4	70 ly
473	Fragile Neural Matrix	0.86	93 ly
474	Clammy Memory Calculus	0.04	52 ly
475	Clammy Stellar Processor	0.0	50 ly
476	Fragile Lobe Actuator	0.84	92 ly
477	Gooey Bio-Reality Generator	0.14	57 ly
478	Gooey Hive Stem	0.94	97 ly
479	Threaded Stellar Processor	0.36	68 ly
480	Moistened Bio-Reality Generator	0.28	64 ly
481	Clammy Cluster Stem	0.58	79 ly
482	Clammy Sensory Veil	0.0	50 ly
483	Threaded Lobes	0.1	55 ly
484	Fragile Lobes	0.16	58 ly
485	Clammy Lobe Actuator	0.14	57 ly
486	Clammy Cluster Stem	0.06	53 ly
487	Moistened Cluster Stem	0.12	56 ly
488	Fragile Bio-Reality Generator	0.9	95 ly
489	Gooey Neural Matrix	0.68	84 ly
490	Clammy Hive Stem	0.34	67 ly
491	Gooey Memory Calculus	0.2	60 ly
492	Moistened Memory Calculus	0.54	77 ly
493	Fragile Lobe Actuator	0.02	51 ly
494	Clammy Stellar Processor	0.8	90 ly
495	Clammy Bio-Reality Generator	0.6	80 ly
496	Fragile Memory Calculus	0.34	67 ly
497	Gooey Neural Matrix	0.1	55 ly
498	Gooey Stellar Processor	0.36	68 ly
499	Gooey Hive Stem	0.08	54 ly
500	Fragile Emotal Core	0.88	94 ly
501	Fragile Lobes	0.48	74 ly
502	Fragile Emotal Core	0.5	75 ly
503	Clammy Memory Calculus	0.38	69 ly
504	Clammy Cluster Stem	0.28	64 ly
505	Threaded Sensory Veil	0.52	76 ly
506	Gooey Lobe Actuator	0.88	94 ly
507	Threaded Stellar Processor	0.0	50 ly
508	Moistened Sensory Veil	0.48	74 ly
509	Fragile Cluster Stem	0.06	53 ly
510	Gooey Cluster Stem	0.9	95 ly
511	Gooey Lobe Actuator	0.96	98 ly
512	Clammy Lobes	0.0	50 ly
513	Fragile Emotal Core	0.68	84 ly
514	Moistened Lobe Actuator	0.0	50 ly
515	Gooey Neural Matrix	0.44	72 ly
516	Fragile Memory Calculus	0.36	68 ly
517	Threaded Lobe Actuator	0.16	58 ly
518	Moistened Hive Stem	0.28	64 ly
519	Clammy Stellar Processor	0.96	98 ly
520	Clammy Lobes	0.0	50 ly
521	Threaded Hive Stem	0.18	59 ly
522	Clammy Cluster Stem	0.86	93 ly
523	Threaded Hive Stem	0.8	90 ly
524	Threaded Lobes	0.4	70 ly
525	Moistened Bio-Reality Generator	0.0	50 ly
526	Gooey Emotal Core	0.72	86 ly
527	Gooey Memory Calculus	0.14	57 ly
528	Moistened Lobe Actuator	0.24	62 ly
529	Clammy Lobes	0.02	51 ly
530	Fragile Hive Stem	0.64	82 ly
531	Threaded Stellar Processor	0.02	51 ly
532	Threaded Sensory Veil	0.06	53 ly
533	Gooey Hive Stem	0.72	86 ly
534	Gooey Bio-Reality Generator	0.08	54 ly
535	Fragile Memory Calculus	0.28	64 ly
536	Gooey Emotal Core	0.46	73 ly
537	Moistened Bio-Reality Generator	0.06	53 ly
538	Clammy Neural Matrix	0.48	74 ly
539	Threaded Emotal Core	0.34	67 ly
540	Moistened Sensory Veil	0.16	58 ly
541	Threaded Cluster Stem	0.86	93 ly
542	Moistened Stellar Processor	0.04	52 ly
543	Threaded Hive Stem	0.76	88 ly
544	Moistened Bio-Reality Generator	0.06	53 ly
545	Fragile Emotal Core	0.0	50 ly
546	Fragile Lobes	0.0	50 ly
547	Threaded Hive Stem	0.0	50 ly
548	Moistened Hive Stem	0.2	60 ly
549	Fragile Memory Calculus	0.42	71 ly
550	Moistened Stellar Processor	0.0	50 ly
551	Threaded Bio-Reality Generator	0.0	50 ly
552	Clammy Emotal Core	0.04	52 ly
553	Fragile Emotal Core	0.78	89 ly
554	Clammy Lobe Actuator	0.46	73 ly
555	Threaded Lobes	0.72	86 ly
556	Gooey Lobes	0.3	65 ly
557	Gooey Bio-Reality Generator	0.0	50 ly
558	Clammy Cluster Stem	0.96	98 ly
559	Threaded Cluster Stem	0.62	81 ly
560	Fragile Lobes	0.16	58 ly
561	Fragile Bio-Reality Generator	0.78	89 ly
562	Fragile Memory Calculus	0.4	70 ly
563	Threaded Cluster Stem	0.18	59 ly
564	Moistened Lobe Actuator	0.18	59 ly
565	Gooey Stellar Processor	0.0	50 ly
566	Gooey Neural Matrix	0.34	67 ly
567	Moistened Lobes	0.18	59 ly
568	Fragile Neural Matrix	0.12	56 ly
569	Clammy Neural Matrix	0.02	51 ly
570	Clammy Emotal Core	0.0	50 ly
571	Fragile Emotal Core	0.24	62 ly
572	Threaded Emotal Core	0.26	63 ly
573	Gooey Stellar Processor	0.44	72 ly
574	Fragile Lobes	0.02	51 ly
575	Clammy Stellar Processor	0.08	54 ly
576	Clammy Emotal Core	0.1	55 ly
577	Fragile Emotal Core	0.12	56 ly
578	Clammy Memory Calculus	0.4	70 ly
579	Moistened Memory Calculus	0.54	77 ly
580	Gooey Lobes	0.04	52 ly
581	Fragile Stellar Processor	0.36	68 ly
582	Clammy Lobe Actuator	0.54	77 ly
583	Gooey Lobe Actuator	0.5	75 ly
584	Gooey Memory Calculus	0.08	54 ly
585	Gooey Memory Calculus	0.32	66 ly
586	Moistened Lobe Actuator	0.02	51 ly
587	Gooey Lobe Actuator	0.7	85 ly
588	Gooey Neural Matrix	0.28	64 ly
589	Gooey Cluster Stem	0.34	67 ly
590	Fragile Neural Matrix	0.7	85 ly
591	Moistened Emotal Core	0.94	97 ly
592	Moistened Hive Stem	0.24	62 ly
593	Fragile Bio-Reality Generator	0.0	50 ly
594	Moistened Cluster Stem	0.68	84 ly
595	Gooey Hive Stem	0.94	97 ly
596	Fragile Emotal Core	0.42	71 ly
597	Moistened Emotal Core	0.3	65 ly
598	Fragile Bio-Reality Generator	0.54	77 ly
599	Fragile Bio-Reality Generator	0.48	74 ly
600	Gooey Emotal Core	0.06	53 ly
601	Gooey Bio-Reality Generator	0.3	65 ly
602	Clammy Sensory Veil	0.38	69 ly
603	Fragile Lobes	0.06	53 ly
604	Clammy Cluster Stem	0.12	56 ly
605	Moistened Sensory Veil	0.24	62 ly
606	Fragile Sensory Veil	0.16	58 ly
