sep=,
Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
273,Gooey Heart Lump,0.125,+6%,,+2%
274,Gooey Blood Pump,0.125,,+2%,
275,Pungent Blood Pump,0.0,+6%,,
276,Pungent Blood Sac,0.5,+7%,+4%,
277,Slimy Ventricle,0.125,,,+2%
278,Pungent Heart Lump,0.5,+9%,+2%,
279,Congealed Chamber,0.375,+9%,,
280,Slimy Thorax,0.25,,+3%,
281,Pungent Aorta,0.375,+9%,,
282,Sticky Aorta,0.125,,,+2%
283,Sticky Blood Sac,0.25,+8%,,
284,Sticky Aorta,0.25,+8%,,
285,Gooey Chamber,0.0,+6%,,
286,Sticky Muscle,0.125,,,+2%
287,Sticky Blood Pump,0.5,,+5%,
288,Sticky Trunk Tissue,0.0,+6%,,
289,Gooey Trunk Tissue,0.0,+6%,,
290,Slimy Vessel,0.25,,+3%,
291,Pungent Vessel,0.5,+10%,,
292,Slimy Trunk Tissue,0.5,,,+5%
293,Pungent Muscle,0.125,,+2%,
294,Slimy Vessel,0.125,+6%,,+2%
295,Slimy Vessel,0.125,+6%,,+2%
296,Sticky Ventricle,0.875,+9%,,+5%
297,Pungent Thorax,0.125,+6%,,+2%
298,Slimy Trunk Tissue,0.5,,,+5%
299,Pungent Chamber,0.0,,+1%,
300,Congealed Chamber,0.5,+10%,,
301,Gooey Muscle,0.5,+6%,+5%,
302,Congealed Blood Sac,0.5,,+5%,
303,Congealed Heart Lump,0.125,,+2%,
304,Gooey Chamber,0.5,,+5%,
305,Pungent Ventricle,0.125,,,+2%
306,Pungent Blood Sac,0.5,+10%,,
307,Pungent Ventricle,0.75,,+4%,+4%
308,Gooey Trunk Tissue,0.125,,+2%,
309,Congealed Trunk Tissue,0.5,,+5%,
310,Slimy Thorax,0.375,,,+4%
311,Slimy Aorta,0.0,+6%,,
312,Congealed Aorta,0.125,+7%,,
313,Sticky Muscle,0.0,+6%,,
314,Congealed Thorax,0.25,+8%,,
315,Pungent Aorta,0.0,+6%,,
316,Congealed Blood Sac,0.125,+6%,,+2%
317,Sticky Blood Sac,0.375,+8%,,+2%
318,Slimy Thorax,0.0,+6%,,
319,Sticky Blood Pump,0.125,,+2%,
320,Slimy Vessel,0.125,,,+2%
321,Sticky Thorax,0.125,+6%,,+2%
322,Slimy Trunk Tissue,0.125,,,+2%
323,Pungent Aorta,0.125,+7%,,
324,Slimy Vessel,0.0,+6%,,
325,Congealed Vessel,0.375,+8%,,+2%
326,Congealed Ventricle,0.125,,+2%,
327,Pungent Heart Lump,0.125,+7%,,
328,Gooey Muscle,0.125,,+2%,
329,Gooey Ventricle,0.125,,,+2%
330,Congealed Ventricle,0.125,,,+2%
331,Pungent Chamber,0.125,,,+2%
332,Gooey Vessel,0.25,,+3%,
333,Gooey Chamber,0.125,,+2%,
334,Sticky Thorax,0.125,,+2%,
335,Congealed Blood Pump,0.25,+6%,+3%,
336,Pungent Thorax,0.25,+8%,,
337,Congealed Trunk Tissue,0.25,,+3%,
338,Slimy Trunk Tissue,0.125,,+2%,
339,Sticky Vessel,0.5,,,+5%
340,Pungent Muscle,0.125,,,+2%
341,Slimy Trunk Tissue,0.125,,,+2%
342,Pungent Aorta,0.875,+10%,+4%,
343,Gooey Muscle,0.375,,+4%,
344,Gooey Heart Lump,0.375,,,+4%
345,Pungent Aorta,0.125,+7%,,
346,Pungent Ventricle,0.375,,+4%,
347,Gooey Muscle,0.0,+6%,,
348,Gooey Trunk Tissue,0.375,,+4%,
349,Sticky Blood Pump,0.5,,,+5%
350,Congealed Heart Lump,0.125,,,+2%
351,Congealed Vessel,0.125,,+2%,
352,Gooey Ventricle,0.125,,+2%,
353,Gooey Muscle,0.125,,+2%,
354,Gooey Aorta,0.125,,,+2%
355,Pungent Heart Lump,0.5,,+3%,+3%
356,Pungent Chamber,0.125,,,+2%
357,Slimy Aorta,0.125,+7%,,
358,Sticky Vessel,0.375,,+4%,
359,Sticky Chamber,0.125,,+2%,
360,Gooey Blood Sac,0.125,,,+2%
361,Sticky Vessel,0.0,+6%,,
362,Pungent Aorta,0.125,,,+2%
363,Sticky Heart Lump,0.625,,+3%,+4%
364,Gooey Muscle,0.25,,,+3%
365,Pungent Blood Sac,0.0,+6%,,
366,Sticky Blood Pump,0.375,,+2%,+3%
367,Slimy Chamber,0.5,,+5%,
368,Gooey Muscle,0.125,,+2%,
369,Slimy Vessel,0.125,,+2%,
370,Congealed Thorax,0.25,,,+3%
371,Slimy Heart Lump,0.375,+9%,,
372,Congealed Thorax,0.375,+9%,,
373,Pungent Blood Sac,0.25,+7%,,+2%
374,Slimy Thorax,0.125,,+2%,
375,Congealed Blood Pump,0.125,,,+2%
376,Pungent Heart Lump,0.125,,+2%,
377,Slimy Heart Lump,0.25,+8%,,+1%
378,Sticky Thorax,0.125,,,+2%
379,Sticky Vessel,0.375,,,+4%
380,Pungent Blood Pump,0.125,,,+2%
381,Slimy Thorax,0.125,,,+2%
382,Slimy Ventricle,0.125,,,+2%
383,Sticky Thorax,0.125,,+2%,
384,Sticky Blood Pump,0.25,,+3%,
385,Sticky Blood Sac,0.125,,+2%,
386,Pungent Blood Pump,0.5,,+2%,+4%
387,Gooey Trunk Tissue,0.25,,,+3%
388,Gooey Vessel,0.25,,,+3%
389,Congealed Muscle,0.125,,,+2%
390,Sticky Muscle,0.125,,+2%,
391,Gooey Thorax,0.5,,,+5%
392,Slimy Thorax,0.125,,,+2%
393,Gooey Vessel,0.125,,+2%,
394,Sticky Thorax,0.875,+9%,+5%,
395,Gooey Chamber,0.125,,+2%,
396,Sticky Aorta,0.125,,+2%,
397,Gooey Heart Lump,0.25,,+2%,+2%
398,Sticky Trunk Tissue,0.125,,+2%,
399,Pungent Aorta,0.625,,+3%,+4%
400,Pungent Chamber,0.5,+9%,+2%,
401,Pungent Chamber,0.25,,+3%,
402,Gooey Thorax,0.125,,,+2%
403,Sticky Blood Sac,0.5,,,+5%
404,Sticky Blood Sac,0.5,,+5%,
405,Pungent Blood Sac,0.0,+6%,,
406,Pungent Blood Pump,0.125,,+2%,
407,Pungent Thorax,0.0,+6%,,
408,Slimy Ventricle,0.25,,+3%,
409,Gooey Muscle,0.25,+7%,+2%,
410,Congealed Chamber,0.625,,+5%,+2%
411,Pungent Vessel,0.125,,,+2%
412,Slimy Aorta,0.125,,,+2%
413,Gooey Muscle,0.125,,+2%,
414,Congealed Aorta,0.0,+6%,,
415,Sticky Blood Sac,0.125,,+2%,
416,Gooey Aorta,0.875,+9%,,+5%
417,Gooey Ventricle,0.125,,,+2%
418,Slimy Blood Sac,0.125,+7%,,
419,Gooey Trunk Tissue,0.375,,+4%,
420,Pungent Blood Pump,0.125,+6%,+2%,
421,Sticky Vessel,0.375,,,+4%
422,Sticky Muscle,0.5,,+2%,+4%
423,Slimy Ventricle,0.25,+7%,+2%,
424,Sticky Heart Lump,0.125,,,+2%
425,Pungent Blood Pump,0.375,,+4%,
426,Pungent Muscle,0.375,,,+4%
427,Congealed Vessel,0.125,+6%,+2%,
428,Sticky Thorax,0.125,+6%,,+2%
429,Gooey Blood Sac,0.25,+8%,,
430,Sticky Thorax,0.0,+6%,,
431,Slimy Blood Sac,0.375,,+4%,
432,Pungent Trunk Tissue,0.125,,,+2%
433,Pungent Aorta,0.125,,,+2%
434,Slimy Heart Lump,0.125,,,+2%
435,Gooey Blood Pump,0.125,+7%,,
436,Gooey Muscle,0.0,+6%,,
437,Gooey Aorta,0.125,+7%,,
438,Sticky Blood Pump,0.125,+7%,,
439,Congealed Trunk Tissue,0.125,,+2%,
440,Slimy Blood Pump,0.125,,,+2%
441,Pungent Thorax,0.375,,+4%,
442,Pungent Vessel,0.625,,+5%,+2%
443,Slimy Muscle,0.125,+7%,,
444,Congealed Vessel,0.25,,+3%,
445,Congealed Thorax,0.375,,+4%,
446,Pungent Thorax,0.125,,+2%,
447,Pungent Chamber,0.125,,+2%,
448,Sticky Thorax,0.125,,,+2%
449,Slimy Blood Pump,0.125,,+2%,
450,Pungent Blood Sac,0.125,,+2%,
451,Congealed Muscle,0.25,,,+3%
452,Slimy Aorta,0.375,+8%,,+2%
453,Congealed Aorta,0.125,,,+2%
454,Slimy Blood Sac,0.5,,+5%,
455,Sticky Chamber,0.125,+7%,,
456,Pungent Heart Lump,0.125,+7%,,
457,Pungent Blood Pump,0.125,,,+2%
458,Gooey Blood Pump,0.5,+6%,+5%,
459,Congealed Thorax,0.125,,,+2%
460,Slimy Trunk Tissue,0.125,,,+2%
461,Sticky Trunk Tissue,0.125,+7%,,
462,Slimy Vessel,0.375,,+4%,
463,Congealed Aorta,0.0,+6%,,
464,Sticky Vessel,0.125,+7%,,
465,Congealed Muscle,0.125,+7%,,
466,Slimy Trunk Tissue,0.125,+6%,+2%,
467,Congealed Heart Lump,0.25,,+3%,
468,Sticky Vessel,0.25,+8%,,
469,Gooey Heart Lump,0.0,+6%,,
470,Congealed Trunk Tissue,0.5,+6%,,+5%
471,Gooey Blood Pump,0.625,,+5%,+2%
472,Sticky Ventricle,0.5,+10%,,
473,Sticky Ventricle,0.125,,+2%,
474,Gooey Chamber,0.125,,+2%,
475,Gooey Thorax,0.375,,+4%,
476,Sticky Blood Pump,0.125,,+2%,
477,Congealed Aorta,0.625,+9%,,+3%
478,Congealed Trunk Tissue,0.375,,+4%,
479,Pungent Thorax,0.125,,,+2%
480,Slimy Aorta,0.5,+10%,,
481,Gooey Heart Lump,0.0,+6%,,
482,Gooey Muscle,0.25,,+3%,
483,Pungent Vessel,0.25,,+3%,
484,Sticky Vessel,0.125,,,+2%
485,Gooey Blood Pump,0.25,+8%,,
486,Gooey Heart Lump,0.125,,+2%,
487,Slimy Heart Lump,0.25,+8%,,
488,Sticky Aorta,0.375,,+4%,
489,Congealed Ventricle,0.125,+6%,+2%,
490,Gooey Trunk Tissue,0.0,+6%,,
491,Congealed Chamber,0.5,,,+5%
492,Slimy Chamber,0.125,+6%,+2%,
493,Sticky Blood Pump,0.125,,+2%,
494,Gooey Thorax,0.125,,+2%,
495,Gooey Aorta,0.5,+10%,,
496,Sticky Chamber,0.125,,,+2%
497,Congealed Ventricle,0.375,,+4%,
498,Congealed Thorax,0.125,,,+2%
499,Congealed Trunk Tissue,0.125,,+2%,
500,Sticky Blood Sac,0.25,+8%,,
501,Sticky Vessel,0.25,,+3%,
502,Sticky Blood Sac,0.375,+9%,,
503,Gooey Chamber,0.25,,,+3%
504,Gooey Heart Lump,0.125,,,+2%
505,Pungent Muscle,0.5,+10%,,
506,Congealed Blood Pump,0.5,+10%,,
507,Pungent Thorax,0.5,,+4%,+2%
508,Slimy Muscle,0.125,,+2%,
509,Sticky Heart Lump,0.5,,+5%,
510,Congealed Heart Lump,0.125,+6%,+2%,
511,Congealed Blood Pump,0.125,+7%,,
512,Gooey Vessel,0.125,,,+2%
513,Sticky Blood Sac,0.0,+6%,,
514,Slimy Blood Pump,0.125,,,+2%
515,Congealed Ventricle,0.0,+6%,,
516,Sticky Chamber,0.25,+8%,,
517,Pungent Blood Pump,0.25,+8%,,
518,Slimy Trunk Tissue,0.25,,,+3%
519,Gooey Thorax,0.0,+6%,,
520,Gooey Vessel,0.25,,,+3%
521,Pungent Trunk Tissue,0.125,,,+2%
522,Gooey Heart Lump,0.25,+8%,,
523,Pungent Trunk Tissue,0.25,+6%,+3%,
524,Pungent Vessel,0.125,,,+2%
525,Slimy Aorta,0.125,,,+2%
526,Congealed Blood Sac,0.25,+8%,,
527,Congealed Chamber,0.0,+6%,,
528,Slimy Blood Pump,0.25,,,+3%
529,Gooey Vessel,0.125,,,+2%
530,Sticky Trunk Tissue,0.0,+6%,,
531,Pungent Thorax,0.875,,+4%,+5%
532,Pungent Muscle,0.5,,+5%,
533,Congealed Trunk Tissue,0.5,,+5%,
534,Congealed Aorta,0.25,,,+3%
535,Sticky Chamber,0.25,+8%,,
536,Congealed Blood Sac,0.25,+8%,,
537,Slimy Aorta,0.5,,+5%,
538,Gooey Ventricle,0.125,+6%,+2%,
539,Pungent Blood Sac,0.125,,,+2%
540,Slimy Muscle,0.125,,,+2%
541,Pungent Heart Lump,0.5,,+5%,
542,Slimy Thorax,0.125,,+2%,
543,Pungent Trunk Tissue,0.125,+6%,+2%,
544,Slimy Aorta,0.125,,,+2%
545,Sticky Blood Sac,0.125,,,+2%
546,Sticky Vessel,0.25,,+3%,
547,Pungent Trunk Tissue,0.25,,,+3%
548,Slimy Trunk Tissue,0.5,,,+5%
549,Sticky Chamber,0.125,,,+2%
550,Slimy Thorax,0.125,,+2%,
551,Pungent Aorta,0.125,,+2%,
552,Gooey Blood Sac,0.125,,,+2%
553,Sticky Blood Sac,0.125,+6%,+2%,
554,Gooey Blood Pump,0.5,,+5%,
555,Pungent Vessel,0.125,,+2%,
556,Congealed Vessel,0.125,+7%,,
557,Congealed Aorta,0.5,,,+5%
558,Gooey Heart Lump,0.0,+6%,,
559,Pungent Heart Lump,0.125,+6%,+2%,
560,Sticky Vessel,0.375,+8%,,+2%
561,Sticky Aorta,0.125,+6%,+2%,
562,Sticky Chamber,0.375,,,+4%
563,Pungent Heart Lump,0.375,+8%,,+2%
564,Slimy Blood Pump,0.375,+9%,,
565,Congealed Thorax,0.25,,+3%,
566,Congealed Ventricle,0.125,,,+2%
567,Slimy Vessel,0.25,+7%,,+2%
568,Sticky Ventricle,0.5,,+5%,
569,Gooey Ventricle,0.375,,+2%,+3%
570,Gooey Blood Sac,0.5,,,+5%
571,Sticky Blood Sac,0.125,,,+2%
572,Pungent Blood Sac,0.0,+6%,,
573,Congealed Thorax,0.125,,,+2%
574,Sticky Vessel,0.5,,,+5%
575,Gooey Thorax,0.375,,+4%,
576,Gooey Blood Sac,0.5,,+3%,+3%
577,Sticky Blood Sac,0.125,,,+2%
578,Gooey Chamber,0.0,,,+1%
579,Slimy Chamber,0.0,+6%,,
580,Congealed Vessel,0.125,,+2%,
581,Sticky Thorax,0.5,+10%,,
582,Gooey Blood Pump,0.125,,+2%,
583,Congealed Blood Pump,0.0,+6%,,
584,Congealed Chamber,0.125,,,+2%
585,Congealed Chamber,0.125,,,+2%
586,Slimy Blood Pump,0.25,,,+3%
587,Congealed Blood Pump,0.25,+8%,,
588,Congealed Ventricle,0.5,+10%,,
589,Congealed Heart Lump,0.375,,,+4%
590,Sticky Ventricle,0.0,+6%,,
591,Slimy Blood Sac,0.125,+7%,,
592,Slimy Trunk Tissue,0.125,+7%,,
593,Sticky Aorta,0.375,,+4%,
594,Slimy Heart Lump,0.0,+6%,,
595,Congealed Trunk Tissue,0.125,,+2%,
596,Sticky Blood Sac,0.125,+7%,,
597,Slimy Blood Sac,0.0,+6%,,
598,Sticky Aorta,0.375,,+4%,
599,Sticky Aorta,0.25,,+3%,
600,Congealed Blood Sac,0.25,,+3%,
601,Congealed Aorta,0.125,,,+2%
602,Gooey Muscle,0.625,+10%,,+2%
603,Sticky Vessel,0.125,,+2%,
604,Gooey Heart Lump,0.375,+9%,,
605,Slimy Muscle,0.0,+6%,,
606,Sticky Muscle,0.125,,,+2%
607,Sticky Aorta,0.125,+6%,,+2%
608,Gooey Blood Pump,0.125,,,+2%
609,Congealed Ventricle,0.125,+7%,,
610,Slimy Blood Pump,0.125,,+2%,
611,Congealed Chamber,0.125,,,+2%
612,Sticky Aorta,0.375,+9%,,
613,Congealed Aorta,0.25,,,+3%
614,Gooey Blood Sac,0.125,,,+2%
615,Congealed Blood Sac,0.375,+9%,,
