Seed	Name	Perfection	Ship_Weapons_Lasers_HeatTime	Ship_Weapons_Lasers_Damage
59	Chromatic Fluids	0.05	+77%	+24%
60	Chromatic Pupil	0.383	+77%	+26%
61	Sleepless Projector	0.217	+77%	+25%
62	Sleepless Reflector	0.55	+77%	+27%
63	Heavenly Mirror	0.25	+85%	+24%
64	Heavenly Projector	0.025	+76%	+24%
65	Translucent Reflector	0.95	+93%	+27%
66	Vibrant Mirror	0.675	+82%	+27%
67	Translucent Fluids	0.55	+77%	+27%
68	Translucent Cornea	0.242	+78%	+25%
69	Vibrant Fluids	0.358	+76%	+26%
70	Vibrant Projector	0.525	+76%	+27%
71	Chromatic Aperture	0.3	+87%	+24%
72	Vibrant Retina	0.1	+79%	+24%
73	Vibrant Iris	0.567	+91%	+25%
74	Translucent Reflector	0.025	+76%	+24%
75	Vibrant Lens	0.442	+86%	+25%
76	Translucent Reflector	0.45	+93%	+24%
77	Chromatic Fluids	0.358	+76%	+26%
78	Vibrant Reflector	0.275	+86%	+24%
79	Sleepless Iris	0.025	+76%	+24%
80	Sleepless Mirror	0.483	+81%	+26%
81	Vibrant Fluids	0.217	+77%	+25%
82	Translucent Pupil	0.05	+77%	+24%
83	Translucent Mirror	0.433	+79%	+26%
84	Sleepless Mirror	0.825	+88%	+27%
85	Heavenly Retina	0.242	+78%	+25%
86	Chromatic Pupil	0.358	+76%	+26%
87	Vibrant Lens	0.542	+90%	+25%
88	Heavenly Pupil	0.442	+86%	+25%
89	Vibrant Fluids	0.025	+76%	+24%
90	Heavenly Projector	0.1	+79%	+24%
91	Translucent Cornea	0.25	+85%	+24%
92	Sleepless Projector	0.558	+84%	+26%
93	Sleepless Aperture	0.225	+84%	+24%
94	Chromatic Fluids	0.242	+78%	+25%
95	Sleepless Cornea	0.85	+89%	+27%
96	Sleepless Lens	0.65	+81%	+27%
97	Vibrant Cornea	0.192	+76%	+25%
98	Chromatic Projector	0.325	+88%	+24%
99	Heavenly Mirror	0.025	+76%	+24%
100	Heavenly Reflector	0.667	+95%	+25%
101	Sleepless Iris	0.025	+76%	+24%
102	Vibrant Cornea	0.75	+85%	+27%
103	Chromatic Retina	0.242	+78%	+25%
104	Chromatic Reflector	0.525	+76%	+27%
105	Chromatic Cornea	0.075	+78%	+24%
106	Chromatic Cornea	0.375	+90%	+24%
107	Chromatic Pupil	0.683	+89%	+26%
108	Sleepless Pupil	0.05	+77%	+24%
109	Chromatic Retina	0.025	+76%	+24%
110	Vibrant Reflector	0.433	+79%	+26%
111	Translucent Aperture	0.55	+77%	+27%
112	Sleepless Cornea	0.733	+91%	+26%
113	Heavenly Fluids	0.242	+78%	+25%
114	Translucent Reflector	0.217	+77%	+25%
115	Sleepless Reflector	0.5	+95%	+24%
116	Sleepless Projector	0.175	+82%	+24%
117	Heavenly Reflector	0.025	+76%	+24%
118	Sleepless Projector	0.55	+77%	+27%
119	Chromatic Fluids	0.617	+93%	+25%
120	Sleepless Lens	0.05	+77%	+24%
121	Sleepless Projector	0.1	+79%	+24%
122	Sleepless Fluids	0.358	+76%	+26%
123	Chromatic Projector	0.325	+88%	+24%
124	Translucent Fluids	0.025	+76%	+24%
125	Vibrant Mirror	0.125	+80%	+24%
126	Translucent Aperture	0.733	+91%	+26%
127	Sleepless Retina	0.025	+76%	+24%
128	Chromatic Mirror	0.175	+82%	+24%
129	Heavenly Mirror	0.317	+81%	+25%
130	Heavenly Projector	0.5	+95%	+24%
131	Chromatic Cornea	0.192	+76%	+25%
132	Chromatic Projector	0.05	+77%	+24%
133	Translucent Projector	0.075	+78%	+24%
134	Sleepless Iris	0.425	+92%	+24%
135	Vibrant Mirror	0.4	+91%	+24%
136	Sleepless Reflector	0.45	+93%	+24%
137	Chromatic Mirror	0.45	+93%	+24%
138	Sleepless Lens	0.425	+92%	+24%
139	Chromatic Iris	0.6	+79%	+27%
140	Sleepless Aperture	0.375	+90%	+24%
141	Translucent Pupil	0.642	+94%	+25%
142	Sleepless Aperture	0.05	+77%	+24%
143	Heavenly Reflector	0.367	+83%	+25%
144	Chromatic Mirror	0.325	+88%	+24%
145	Heavenly Retina	0.517	+89%	+25%
146	Vibrant Lens	0.375	+90%	+24%
147	Chromatic Fluids	0.417	+85%	+25%
148	Heavenly Cornea	0.225	+84%	+24%
149	Translucent Iris	0.617	+93%	+25%
150	Heavenly Lens	0.317	+81%	+25%
151	Translucent Iris	0.05	+77%	+24%
152	Translucent Cornea	0.433	+79%	+26%
153	Heavenly Pupil	0.2	+83%	+24%
154	Heavenly Projector	0.192	+76%	+25%
155	Vibrant Projector	0.317	+81%	+25%
156	Translucent Fluids	0.217	+77%	+25%
157	Chromatic Lens	0.217	+77%	+25%
158	Translucent Pupil	0.525	+76%	+27%
159	Chromatic Cornea	0.025	+76%	+24%
160	Translucent Cornea	0.375	+90%	+24%
161	Translucent Fluids	0.075	+78%	+24%
162	Translucent Reflector	0.2	+83%	+24%
163	Sleepless Lens	0.433	+79%	+26%
164	Heavenly Cornea	0.275	+86%	+24%
165	Chromatic Fluids	0.75	+85%	+27%
166	Chromatic Reflector	0.25	+85%	+24%
167	Sleepless Pupil	0.458	+80%	+26%
168	Sleepless Aperture	0.358	+76%	+26%
169	Heavenly Mirror	0.3	+87%	+24%
170	Vibrant Retina	0.708	+90%	+26%
171	Vibrant Aperture	0.383	+77%	+26%
172	Translucent Retina	0.025	+76%	+24%
173	Sleepless Mirror	0.45	+93%	+24%
174	Translucent Projector	0.192	+76%	+25%
175	Chromatic Reflector	0.125	+80%	+24%
176	Heavenly Aperture	0.875	+90%	+27%
177	Sleepless Projector	0.567	+91%	+25%
178	Vibrant Aperture	0.075	+78%	+24%
179	Chromatic Mirror	0.025	+76%	+24%
180	Heavenly Retina	0.325	+88%	+24%
181	Vibrant Mirror	0.533	+83%	+26%
182	Vibrant Fluids	0.05	+77%	+24%
183	Chromatic Iris	0.2	+83%	+24%
184	Heavenly Fluids	0.25	+85%	+24%
185	Heavenly Projector	0.275	+86%	+24%
186	Translucent Iris	0.5	+95%	+24%
187	Heavenly Aperture	0.15	+81%	+24%
188	Vibrant Fluids	0.55	+77%	+27%
189	Sleepless Retina	0.242	+78%	+25%
190	Vibrant Retina	0.05	+77%	+24%
191	Vibrant Lens	0.05	+77%	+24%
192	Vibrant Pupil	0.433	+79%	+26%
193	Translucent Fluids	0.525	+76%	+27%
194	Heavenly Pupil	0.325	+88%	+24%
195	Sleepless Aperture	0.825	+88%	+27%
196	Chromatic Aperture	0.05	+77%	+24%
197	Vibrant Projector	0.217	+77%	+25%
198	Vibrant Cornea	0.075	+78%	+24%
199	Heavenly Retina	0.175	+82%	+24%
200	Vibrant Lens	0.025	+76%	+24%
201	Vibrant Projector	0.542	+90%	+25%
202	Chromatic Projector	0.192	+76%	+25%
203	Vibrant Retina	0.417	+85%	+25%
204	Vibrant Fluids	0.75	+85%	+27%
205	Sleepless Mirror	0.633	+87%	+26%
206	Chromatic Retina	0.25	+85%	+24%
207	Translucent Cornea	0.192	+76%	+25%
208	Vibrant Projector	0.45	+93%	+24%
209	Chromatic Mirror	0.192	+76%	+25%
210	Chromatic Lens	0.358	+76%	+26%
211	Chromatic Fluids	0.192	+76%	+25%
212	Sleepless Cornea	0.242	+78%	+25%
213	Heavenly Retina	0.05	+77%	+24%
214	Vibrant Lens	0.025	+76%	+24%
215	Heavenly Mirror	0.367	+83%	+25%
216	Translucent Pupil	0.3	+87%	+24%
217	Vibrant Aperture	0.05	+77%	+24%
218	Sleepless Fluids	0.1	+79%	+24%
219	Vibrant Retina	0.375	+90%	+24%
220	Chromatic Iris	1.0	+95%	+27%
221	Heavenly Iris	0.275	+86%	+24%
222	Chromatic Aperture	0.05	+77%	+24%
223	Translucent Aperture	0.05	+77%	+24%
224	Heavenly Reflector	0.533	+83%	+26%
225	Sleepless Retina	0.025	+76%	+24%
226	Vibrant Reflector	0.458	+80%	+26%
227	Sleepless Iris	0.6	+79%	+27%
228	Sleepless Pupil	0.175	+82%	+24%
229	Vibrant Projector	0.242	+78%	+25%
230	Chromatic Iris	0.125	+80%	+24%
231	Chromatic Lens	0.342	+82%	+25%
232	Sleepless Cornea	0.533	+83%	+26%
233	Heavenly Iris	0.292	+80%	+25%
234	Translucent Reflector	0.625	+80%	+27%
235	Sleepless Cornea	0.15	+81%	+24%
236	Translucent Aperture	0.55	+77%	+27%
237	Chromatic Retina	0.417	+85%	+25%
238	Chromatic Fluids	0.15	+81%	+24%
239	Translucent Pupil	0.7	+83%	+27%
240	Chromatic Pupil	0.592	+92%	+25%
241	Vibrant Cornea	0.025	+76%	+24%
242	Chromatic Projector	0.025	+76%	+24%
243	Translucent Projector	0.733	+91%	+26%
244	Heavenly Pupil	0.075	+78%	+24%
245	Translucent Projector	0.608	+86%	+26%
246	Heavenly Aperture	0.525	+76%	+27%
247	Vibrant Pupil	0.192	+76%	+25%
248	Sleepless Cornea	0.7	+83%	+27%
249	Chromatic Reflector	0.667	+95%	+25%
250	Sleepless Reflector	0.325	+88%	+24%
251	Vibrant Cornea	0.05	+77%	+24%
252	Translucent Iris	0.483	+81%	+26%
253	Heavenly Retina	0.3	+87%	+24%
254	Chromatic Aperture	0.2	+83%	+24%
255	Translucent Pupil	0.325	+88%	+24%
256	Sleepless Retina	0.15	+81%	+24%
257	Sleepless Pupil	0.1	+79%	+24%
258	Vibrant Reflector	0.375	+90%	+24%
259	Chromatic Reflector	0.025	+76%	+24%
260	Chromatic Reflector	0.242	+78%	+25%
261	Sleepless Lens	0.425	+92%	+24%
262	Sleepless Cornea	0.025	+76%	+24%
263	Chromatic Iris	0.392	+84%	+25%
264	Sleepless Cornea	0.45	+93%	+24%
265	Translucent Mirror	0.317	+81%	+25%
266	Sleepless Reflector	0.192	+76%	+25%
267	Heavenly Lens	0.025	+76%	+24%
268	Sleepless Mirror	0.392	+84%	+25%
269	Translucent Iris	0.275	+86%	+24%
270	Chromatic Aperture	0.025	+76%	+24%
271	Sleepless Fluids	0.05	+77%	+24%
272	Chromatic Mirror	0.467	+87%	+25%
273	Chromatic Lens	0.15	+81%	+24%
274	Chromatic Projector	0.3	+87%	+24%
275	Translucent Projector	0.175	+82%	+24%
276	Translucent Retina	0.358	+76%	+26%
277	Heavenly Mirror	0.075	+78%	+24%
278	Translucent Lens	0.05	+77%	+24%
279	Vibrant Aperture	0.392	+84%	+25%
280	Heavenly Cornea	0.05	+77%	+24%
281	Translucent Fluids	0.592	+92%	+25%
282	Sleepless Fluids	0.55	+77%	+27%
283	Sleepless Retina	0.8	+87%	+27%
284	Sleepless Fluids	0.375	+90%	+24%
285	Chromatic Aperture	0.242	+78%	+25%
286	Sleepless Reflector	0.292	+80%	+25%
287	Sleepless Projector	0.375	+90%	+24%
288	Sleepless Pupil	0.2	+83%	+24%
289	Chromatic Pupil	0.725	+84%	+27%
290	Heavenly Iris	0.025	+76%	+24%
291	Translucent Iris	0.342	+82%	+25%
292	Heavenly Pupil	0.458	+80%	+26%
293	Translucent Reflector	0.217	+77%	+25%
294	Heavenly Iris	0.517	+89%	+25%
295	Heavenly Iris	0.75	+85%	+27%
296	Sleepless Mirror	0.025	+76%	+24%
297	Translucent Cornea	0.025	+76%	+24%
298	Heavenly Pupil	0.15	+81%	+24%
299	Translucent Aperture	0.075	+78%	+24%
300	Vibrant Aperture	0.525	+76%	+27%
301	Chromatic Reflector	0.625	+80%	+27%
302	Vibrant Retina	0.025	+76%	+24%
303	Vibrant Lens	0.1	+79%	+24%
304	Chromatic Aperture	0.5	+95%	+24%
305	Translucent Mirror	0.217	+77%	+25%
306	Translucent Retina	0.708	+90%	+26%
307	Translucent Mirror	0.5	+95%	+24%
308	Chromatic Pupil	0.175	+82%	+24%
309	Vibrant Pupil	0.025	+76%	+24%
310	Heavenly Cornea	0.075	+78%	+24%
311	Heavenly Fluids	0.325	+88%	+24%
312	Vibrant Fluids	0.508	+82%	+26%
313	Sleepless Reflector	0.375	+90%	+24%
314	Vibrant Cornea	0.533	+83%	+26%
315	Translucent Fluids	0.192	+76%	+25%
316	Vibrant Retina	0.758	+92%	+26%
317	Sleepless Retina	0.425	+92%	+24%
318	Heavenly Cornea	0.467	+87%	+25%
319	Sleepless Projector	0.217	+77%	+25%
320	Heavenly Iris	0.408	+78%	+26%
321	Sleepless Cornea	0.05	+77%	+24%
322	Heavenly Pupil	0.125	+80%	+24%
323	Translucent Fluids	0.475	+94%	+24%
324	Heavenly Iris	0.975	+94%	+27%
325	Vibrant Iris	0.508	+82%	+26%
326	Vibrant Mirror	0.217	+77%	+25%
327	Translucent Lens	0.542	+90%	+25%
328	Chromatic Reflector	0.192	+76%	+25%
329	Chromatic Mirror	0.192	+76%	+25%
330	Vibrant Mirror	0.025	+76%	+24%
331	Translucent Aperture	0.367	+83%	+25%
332	Chromatic Iris	0.192	+76%	+25%
333	Chromatic Aperture	0.525	+76%	+27%
334	Sleepless Cornea	0.175	+82%	+24%
335	Vibrant Projector	0.192	+76%	+25%
336	Translucent Cornea	0.683	+89%	+26%
337	Vibrant Pupil	0.383	+77%	+26%
338	Heavenly Pupil	0.15	+81%	+24%
339	Sleepless Iris	0.525	+76%	+27%
340	Translucent Reflector	0.05	+77%	+24%
341	Heavenly Pupil	0.575	+78%	+27%
342	Translucent Fluids	0.383	+77%	+26%
343	Chromatic Reflector	0.05	+77%	+24%
344	Chromatic Lens	0.075	+78%	+24%
345	Translucent Fluids	0.475	+94%	+24%
346	Translucent Mirror	0.025	+76%	+24%
347	Chromatic Reflector	0.192	+76%	+25%
348	Chromatic Pupil	0.125	+80%	+24%
349	Sleepless Projector	0.592	+92%	+25%
350	Vibrant Lens	0.525	+76%	+27%
351	Vibrant Iris	0.175	+82%	+24%
352	Chromatic Mirror	0.025	+76%	+24%
353	Chromatic Reflector	0.217	+77%	+25%
354	Chromatic Fluids	0.6	+79%	+27%
355	Translucent Lens	0.225	+84%	+24%
356	Translucent Aperture	0.442	+86%	+25%
357	Heavenly Fluids	0.275	+86%	+24%
358	Sleepless Iris	0.025	+76%	+24%
359	Sleepless Aperture	0.192	+76%	+25%
360	Chromatic Retina	0.075	+78%	+24%
361	Sleepless Iris	0.325	+88%	+24%
362	Translucent Fluids	0.225	+84%	+24%
363	Sleepless Lens	0.55	+77%	+27%
364	Chromatic Reflector	0.9	+91%	+27%
365	Translucent Retina	0.508	+82%	+26%
366	Sleepless Projector	0.55	+77%	+27%
367	Heavenly Aperture	0.025	+76%	+24%
368	Chromatic Reflector	0.55	+77%	+27%
369	Heavenly Iris	0.025	+76%	+24%
370	Vibrant Cornea	0.025	+76%	+24%
371	Heavenly Lens	0.7	+83%	+27%
372	Vibrant Cornea	0.7	+83%	+27%
373	Translucent Retina	0.075	+78%	+24%
374	Heavenly Cornea	0.075	+78%	+24%
375	Vibrant Projector	0.317	+81%	+25%
376	Translucent Lens	0.217	+77%	+25%
377	Heavenly Lens	0.025	+76%	+24%
378	Sleepless Cornea	0.358	+76%	+26%
379	Sleepless Iris	0.617	+93%	+25%
380	Translucent Projector	0.025	+76%	+24%
381	Heavenly Cornea	0.317	+81%	+25%
382	Heavenly Mirror	0.458	+80%	+26%
383	Sleepless Cornea	0.217	+77%	+25%
384	Sleepless Projector	0.025	+76%	+24%
385	Sleepless Retina	0.358	+76%	+26%
386	Translucent Projector	0.358	+76%	+26%
387	Chromatic Pupil	0.783	+93%	+26%
388	Chromatic Iris	0.358	+76%	+26%
389	Vibrant Reflector	0.467	+87%	+25%
390	Sleepless Reflector	0.025	+76%	+24%
391	Chromatic Cornea	0.175	+82%	+24%
392	Heavenly Cornea	0.683	+89%	+26%
393	Chromatic Iris	0.325	+88%	+24%
394	Sleepless Cornea	0.025	+76%	+24%
395	Chromatic Aperture	0.35	+89%	+24%
396	Sleepless Fluids	0.025	+76%	+24%
397	Chromatic Lens	0.3	+87%	+24%
398	Sleepless Pupil	0.15	+81%	+24%
399	Translucent Fluids	0.925	+92%	+27%
400	Translucent Aperture	0.1	+79%	+24%
401	Translucent Aperture	0.358	+76%	+26%
402	Chromatic Cornea	0.192	+76%	+25%
403	Sleepless Retina	0.392	+84%	+25%
404	Sleepless Retina	0.025	+76%	+24%
405	Translucent Retina	0.4	+91%	+24%
406	Translucent Projector	0.242	+78%	+25%
407	Translucent Cornea	0.85	+89%	+27%
408	Heavenly Mirror	0.525	+76%	+27%
409	Chromatic Reflector	1.0	+95%	+27%
410	Vibrant Aperture	0.358	+76%	+26%
411	Translucent Iris	0.375	+90%	+24%
412	Heavenly Fluids	0.517	+89%	+25%
413	Chromatic Reflector	0.25	+85%	+24%
414	Vibrant Fluids	0.975	+94%	+27%
415	Sleepless Retina	0.358	+76%	+26%
416	Chromatic Fluids	0.442	+86%	+25%
417	Chromatic Mirror	0.458	+80%	+26%
418	Heavenly Retina	0.683	+89%	+26%
419	Chromatic Pupil	0.192	+76%	+25%
420	Translucent Projector	0.775	+86%	+27%
421	Sleepless Iris	0.2	+83%	+24%
422	Sleepless Reflector	0.45	+93%	+24%
423	Heavenly Mirror	0.025	+76%	+24%
424	Sleepless Lens	0.458	+80%	+26%
425	Translucent Projector	0.075	+78%	+24%
426	Translucent Reflector	0.517	+89%	+25%
427	Vibrant Iris	0.583	+85%	+26%
428	Sleepless Cornea	0.125	+80%	+24%
429	Chromatic Retina	0.225	+84%	+24%
430	Sleepless Cornea	0.483	+81%	+26%
431	Heavenly Retina	0.3	+87%	+24%
432	Translucent Pupil	0.458	+80%	+26%
433	Translucent Fluids	0.267	+79%	+25%
434	Heavenly Lens	0.8	+87%	+27%
435	Chromatic Projector	0.875	+90%	+27%
436	Chromatic Reflector	0.175	+82%	+24%
437	Chromatic Fluids	0.825	+88%	+27%
438	Sleepless Projector	0.808	+94%	+26%
439	Vibrant Pupil	0.05	+77%	+24%
440	Heavenly Projector	0.408	+78%	+26%
441	Translucent Cornea	0.267	+79%	+25%
442	Translucent Iris	0.025	+76%	+24%
443	Heavenly Reflector	0.15	+81%	+24%
444	Vibrant Iris	0.35	+89%	+24%
445	Vibrant Cornea	0.125	+80%	+24%
446	Translucent Cornea	0.192	+76%	+25%
447	Translucent Aperture	0.1	+79%	+24%
448	Sleepless Cornea	0.4	+91%	+24%
449	Heavenly Projector	0.242	+78%	+25%
450	Translucent Retina	0.025	+76%	+24%
451	Vibrant Reflector	0.85	+89%	+27%
452	Heavenly Fluids	0.1	+79%	+24%
453	Vibrant Fluids	0.342	+82%	+25%
454	Heavenly Retina	0.4	+91%	+24%
455	Sleepless Aperture	0.708	+90%	+26%
456	Translucent Lens	0.875	+90%	+27%
457	Translucent Projector	0.275	+86%	+24%
458	Chromatic Projector	0.075	+78%	+24%
459	Vibrant Cornea	0.225	+84%	+24%
460	Heavenly Pupil	0.825	+88%	+27%
461	Sleepless Pupil	0.392	+84%	+25%
462	Heavenly Iris	0.358	+76%	+26%
463	Vibrant Fluids	0.15	+81%	+24%
464	Sleepless Iris	0.175	+82%	+24%
465	Vibrant Reflector	0.5	+95%	+24%
466	Heavenly Pupil	0.442	+86%	+25%
467	Vibrant Lens	0.45	+93%	+24%
468	Sleepless Iris	0.35	+89%	+24%
469	Chromatic Lens	0.275	+86%	+24%
470	Vibrant Pupil	0.525	+76%	+27%
471	Chromatic Projector	0.275	+86%	+24%
472	Sleepless Mirror	0.75	+85%	+27%
473	Sleepless Mirror	0.025	+76%	+24%
474	Chromatic Aperture	0.025	+76%	+24%
475	Chromatic Cornea	0.375	+90%	+24%
476	Sleepless Projector	0.025	+76%	+24%
477	Vibrant Fluids	0.025	+76%	+24%
478	Vibrant Pupil	0.05	+77%	+24%
479	Translucent Cornea	0.267	+79%	+25%
480	Heavenly Fluids	0.225	+84%	+24%
481	Chromatic Lens	0.35	+89%	+24%
482	Chromatic Reflector	0.425	+92%	+24%
483	Translucent Iris	0.225	+84%	+24%
484	Sleepless Iris	0.05	+77%	+24%
485	Chromatic Projector	0.567	+91%	+25%
486	Chromatic Lens	0.4	+91%	+24%
487	Heavenly Lens	0.55	+77%	+27%
488	Sleepless Fluids	0.458	+80%	+26%
489	Vibrant Mirror	0.025	+76%	+24%
490	Chromatic Pupil	0.675	+82%	+27%
491	Vibrant Aperture	0.025	+76%	+24%
492	Heavenly Aperture	0.575	+78%	+27%
493	Sleepless Projector	0.375	+90%	+24%
494	Chromatic Cornea	0.192	+76%	+25%
495	Chromatic Fluids	0.517	+89%	+25%
496	Sleepless Aperture	0.05	+77%	+24%
497	Vibrant Mirror	0.475	+94%	+24%
498	Vibrant Cornea	0.025	+76%	+24%
499	Vibrant Pupil	0.05	+77%	+24%
500	Sleepless Retina	0.583	+85%	+26%
501	Sleepless Iris	0.625	+80%	+27%
502	Sleepless Retina	0.592	+92%	+25%
503	Chromatic Aperture	0.192	+76%	+25%
504	Chromatic Lens	0.025	+76%	+24%
505	Translucent Reflector	0.375	+90%	+24%
506	Vibrant Projector	0.417	+85%	+25%
507	Translucent Cornea	0.483	+81%	+26%
508	Heavenly Reflector	0.192	+76%	+25%
509	Sleepless Lens	0.3	+87%	+24%
510	Vibrant Lens	0.175	+82%	+24%
511	Vibrant Projector	0.15	+81%	+24%
512	Chromatic Iris	0.358	+76%	+26%
513	Sleepless Retina	0.567	+91%	+25%
514	Heavenly Projector	0.833	+95%	+26%
515	Vibrant Mirror	0.45	+93%	+24%
516	Sleepless Aperture	0.15	+81%	+24%
517	Translucent Projector	0.525	+76%	+27%
518	Heavenly Pupil	0.075	+78%	+24%
519	Chromatic Cornea	0.25	+85%	+24%
520	Chromatic Iris	0.95	+93%	+27%
521	Translucent Pupil	0.45	+93%	+24%
522	Chromatic Lens	0.375	+90%	+24%
523	Translucent Pupil	0.025	+76%	+24%
524	Translucent Iris	0.192	+76%	+25%
525	Heavenly Fluids	0.583	+85%	+26%
526	Vibrant Retina	0.225	+84%	+24%
527	Vibrant Aperture	0.667	+95%	+25%
528	Heavenly Projector	0.25	+85%	+24%
529	Chromatic Iris	0.442	+86%	+25%
530	Sleepless Pupil	0.675	+82%	+27%
531	Translucent Cornea	0.358	+76%	+26%
532	Translucent Reflector	0.2	+83%	+24%
533	Vibrant Pupil	0.125	+80%	+24%
534	Vibrant Fluids	0.192	+76%	+25%
535	Sleepless Aperture	0.342	+82%	+25%
536	Vibrant Retina	0.592	+92%	+25%
537	Heavenly Fluids	0.025	+76%	+24%
538	Chromatic Mirror	0.5	+95%	+24%
539	Translucent Retina	0.292	+80%	+25%
540	Heavenly Reflector	0.025	+76%	+24%
541	Translucent Lens	0.358	+76%	+26%
542	Heavenly Cornea	0.375	+90%	+24%
543	Translucent Pupil	0.242	+78%	+25%
544	Heavenly Fluids	0.633	+87%	+26%
545	Sleepless Retina	0.192	+76%	+25%
546	Sleepless Iris	0.025	+76%	+24%
547	Translucent Pupil	0.617	+93%	+25%
548	Heavenly Pupil	0.425	+92%	+24%
549	Sleepless Aperture	0.358	+76%	+26%
550	Heavenly Cornea	0.025	+76%	+24%
551	Translucent Fluids	0.4	+91%	+24%
552	Chromatic Retina	0.725	+84%	+27%
553	Sleepless Retina	0.525	+76%	+27%
554	Chromatic Projector	0.1	+79%	+24%
555	Translucent Iris	0.358	+76%	+26%
556	Vibrant Iris	0.15	+81%	+24%
557	Vibrant Fluids	0.525	+76%	+27%
558	Chromatic Lens	0.25	+85%	+24%
559	Translucent Lens	0.633	+87%	+26%
560	Sleepless Iris	0.6	+79%	+27%
561	Sleepless Fluids	0.075	+78%	+24%
562	Sleepless Aperture	0.05	+77%	+24%
563	Translucent Lens	0.192	+76%	+25%
564	Heavenly Projector	0.317	+81%	+25%
565	Vibrant Cornea	0.25	+85%	+24%
566	Vibrant Mirror	0.267	+79%	+25%
567	Heavenly Iris	0.125	+80%	+24%
568	Sleepless Mirror	0.225	+84%	+24%
569	Chromatic Mirror	0.292	+80%	+25%
570	Chromatic Retina	0.583	+85%	+26%
571	Sleepless Retina	0.3	+87%	+24%
572	Translucent Retina	0.533	+83%	+26%
573	Vibrant Cornea	0.358	+76%	+26%
574	Sleepless Iris	0.483	+81%	+26%
575	Chromatic Cornea	0.05	+77%	+24%
576	Chromatic Retina	0.025	+76%	+24%
577	Sleepless Retina	0.025	+76%	+24%
578	Chromatic Aperture	0.358	+76%	+26%
579	Heavenly Aperture	0.367	+83%	+25%
580	Vibrant Iris	0.175	+82%	+24%
581	Sleepless Cornea	0.367	+83%	+25%
582	Chromatic Projector	0.433	+79%	+26%
583	Vibrant Projector	0.825	+88%	+27%
584	Vibrant Aperture	0.525	+76%	+27%
585	Vibrant Aperture	0.075	+78%	+24%
586	Heavenly Projector	0.625	+80%	+27%
587	Vibrant Projector	0.275	+86%	+24%
588	Vibrant Mirror	0.7	+83%	+27%
589	Vibrant Lens	0.217	+77%	+25%
590	Sleepless Mirror	0.325	+88%	+24%
591	Heavenly Retina	0.25	+85%	+24%
592	Heavenly Pupil	0.342	+82%	+25%
