Seed,Name,Perfection,Ship_Hyperdrive_JumpDistance,Ship_Hyperdrive_JumpsPerCell
52,Glassy Sensory Veil,1.0,,+100%
53,Beloved Stellar Processor,1.0,,+100%
54,Beloved Hive Stem,1.0,,+100%
55,Beloved Bio-Reality Generator,1.0,,+100%
56,Beloved Memory Calculus,1.0,,+100%
57,Tremendous Lobe Actuator,0.18,159 ly,
58,Glorious Lobes,0.42,171 ly,
59,Engorged Bio-Reality Generator,1.0,,+100%
60,Engorged Hive Stem,0.1,155 ly,
61,Tremendous Lobe Actuator,1.0,,+100%
62,Tremendous Sensory Veil,0.06,153 ly,
63,Beloved Neural Matrix,1.0,,+100%
64,Beloved Lobe Actuator,0.0,150 ly,
65,Glassy Sensory Veil,0.86,193 ly,
66,Glorious Neural Matrix,0.34,167 ly,
67,Glassy Bio-Reality Generator,0.06,153 ly,
68,Glassy Stellar Processor,0.14,157 ly,
69,Glorious Bio-Reality Generator,1.0,,+100%
70,Glorious Lobe Actuator,0.02,151 ly,
71,Engorged Memory Calculus,1.0,,+100%
72,Glorious Emotal Core,1.0,,+100%
73,Glorious Lobes,1.0,,+100%
74,Glassy Sensory Veil,0.02,151 ly,
75,Glorious Cluster Stem,1.0,,+100%
76,Glassy Sensory Veil,1.0,,+100%
77,Engorged Bio-Reality Generator,0.0,150 ly,
78,Glorious Sensory Veil,1.0,,+100%
79,Tremendous Lobes,0.02,151 ly,
80,Tremendous Neural Matrix,1.0,,+100%
81,Glorious Bio-Reality Generator,0.1,155 ly,
82,Glassy Hive Stem,0.06,153 ly,
83,Glassy Neural Matrix,0.18,159 ly,
84,Tremendous Neural Matrix,1.0,,+100%
85,Beloved Emotal Core,1.0,,+100%
86,Engorged Hive Stem,1.0,,+100%
87,Glorious Cluster Stem,0.72,186 ly,
88,Beloved Hive Stem,0.54,177 ly,
89,Glorious Bio-Reality Generator,0.0,150 ly,
90,Beloved Lobe Actuator,0.18,159 ly,
91,Glassy Stellar Processor,1.0,,+100%
92,Tremendous Lobe Actuator,1.0,,+100%
93,Tremendous Memory Calculus,1.0,,+100%
94,Engorged Bio-Reality Generator,1.0,,+100%
95,Tremendous Stellar Processor,0.7,185 ly,
96,Tremendous Cluster Stem,1.0,,+100%
97,Glorious Stellar Processor,1.0,,+100%
98,Engorged Lobe Actuator,1.0,,+100%
99,Beloved Neural Matrix,1.0,,+100%
100,Beloved Sensory Veil,1.0,,+100%
101,Tremendous Lobes,0.0,150 ly,
102,Glorious Stellar Processor,0.46,173 ly,
103,Engorged Emotal Core,0.14,157 ly,
104,Engorged Sensory Veil,1.0,,+100%
105,Engorged Stellar Processor,1.0,,+100%
106,Engorged Stellar Processor,1.0,,+100%
107,Engorged Hive Stem,0.7,185 ly,
108,Tremendous Hive Stem,0.06,153 ly,
109,Engorged Emotal Core,1.0,,+100%
110,Glorious Sensory Veil,1.0,,+100%
111,Glassy Memory Calculus,0.06,153 ly,
112,Tremendous Stellar Processor,0.76,188 ly,
113,Beloved Bio-Reality Generator,0.12,156 ly,
114,Glassy Sensory Veil,1.0,,+100%
115,Tremendous Sensory Veil,1.0,,+100%
116,Tremendous Lobe Actuator,1.0,,+100%
117,Beloved Sensory Veil,1.0,,+100%
118,Tremendous Lobe Actuator,1.0,,+100%
119,Engorged Bio-Reality Generator,1.0,,+100%
120,Tremendous Cluster Stem,1.0,,+100%
121,Tremendous Lobe Actuator,0.2,160 ly,
122,Tremendous Bio-Reality Generator,0.02,151 ly,
123,Engorged Lobe Actuator,1.0,,+100%
124,Glassy Bio-Reality Generator,0.02,151 ly,
125,Glorious Neural Matrix,1.0,,+100%
126,Glassy Memory Calculus,0.78,189 ly,
127,Tremendous Emotal Core,1.0,,+100%
128,Engorged Neural Matrix,0.3,165 ly,
129,Beloved Neural Matrix,1.0,,+100%
130,Beloved Lobe Actuator,1.0,,+100%
131,Engorged Stellar Processor,0.04,152 ly,
132,Engorged Lobe Actuator,1.0,,+100%
133,Glassy Lobe Actuator,0.14,157 ly,
134,Tremendous Lobes,0.84,192 ly,
135,Glorious Neural Matrix,1.0,,+100%
136,Tremendous Sensory Veil,1.0,,+100%
137,Engorged Neural Matrix,0.88,194 ly,
138,Tremendous Cluster Stem,1.0,,+100%
139,Engorged Lobes,0.18,159 ly,
140,Tremendous Memory Calculus,0.74,187 ly,
141,Glassy Hive Stem,0.94,197 ly,
142,Tremendous Memory Calculus,1.0,,+100%
143,Beloved Sensory Veil,0.38,169 ly,
144,Engorged Neural Matrix,1.0,,+100%
145,Beloved Emotal Core,1.0,,+100%
146,Glorious Cluster Stem,1.0,,+100%
147,Engorged Bio-Reality Generator,0.5,175 ly,
148,Beloved Stellar Processor,1.0,,+100%
149,Glassy Lobes,1.0,,+100%
150,Beloved Cluster Stem,0.28,164 ly,
151,Glassy Lobes,0.06,153 ly,
152,Glassy Stellar Processor,1.0,,+100%
153,Beloved Hive Stem,1.0,,+100%
154,Beloved Lobe Actuator,1.0,,+100%
155,Glorious Lobe Actuator,0.28,164 ly,
156,Glassy Bio-Reality Generator,0.08,154 ly,
157,Engorged Cluster Stem,0.08,154 ly,
158,Glassy Hive Stem,0.04,152 ly,
159,Engorged Stellar Processor,1.0,,+100%
160,Glassy Stellar Processor,0.74,187 ly,
161,Glassy Bio-Reality Generator,0.12,156 ly,
162,Glassy Sensory Veil,1.0,,+100%
163,Tremendous Cluster Stem,1.0,,+100%
164,Beloved Stellar Processor,0.52,176 ly,
165,Engorged Bio-Reality Generator,1.0,,+100%
166,Engorged Sensory Veil,0.46,173 ly,
167,Tremendous Hive Stem,1.0,,+100%
168,Tremendous Memory Calculus,0.04,152 ly,
169,Beloved Neural Matrix,1.0,,+100%
170,Glorious Emotal Core,0.74,187 ly,
171,Glorious Memory Calculus,0.06,153 ly,
172,Glassy Emotal Core,0.02,151 ly,
173,Tremendous Neural Matrix,0.88,194 ly,
174,Glassy Lobe Actuator,1.0,,+100%
175,Engorged Sensory Veil,0.22,161 ly,
176,Beloved Memory Calculus,1.0,,+100%
177,Tremendous Lobe Actuator,0.76,188 ly,
178,Glorious Memory Calculus,0.12,156 ly,
179,Engorged Neural Matrix,1.0,,+100%
180,Beloved Emotal Core,0.64,182 ly,
181,Glorious Neural Matrix,0.38,169 ly,
182,Glorious Bio-Reality Generator,1.0,,+100%
183,Engorged Lobes,0.38,169 ly,
184,Beloved Bio-Reality Generator,0.46,173 ly,
185,Beloved Lobe Actuator,0.5,175 ly,
186,Glassy Lobes,1.0,,+100%
187,Beloved Memory Calculus,1.0,,+100%
188,Glorious Bio-Reality Generator,0.08,154 ly,
189,Tremendous Emotal Core,1.0,,+100%
190,Glorious Emotal Core,1.0,,+100%
191,Glorious Cluster Stem,1.0,,+100%
192,Glorious Hive Stem,0.18,159 ly,
193,Glassy Bio-Reality Generator,0.0,150 ly,
194,Beloved Hive Stem,1.0,,+100%
195,Tremendous Memory Calculus,1.0,,+100%
196,Engorged Memory Calculus,1.0,,+100%
197,Glorious Lobe Actuator,1.0,,+100%
198,Glorious Stellar Processor,0.12,156 ly,
199,Beloved Emotal Core,1.0,,+100%
200,Glorious Cluster Stem,0.0,150 ly,
201,Glorious Lobe Actuator,0.72,186 ly,
202,Engorged Lobe Actuator,0.02,151 ly,
203,Glorious Emotal Core,0.48,174 ly,
204,Glorious Bio-Reality Generator,1.0,,+100%
205,Tremendous Neural Matrix,1.0,,+100%
206,Engorged Emotal Core,1.0,,+100%
207,Glassy Stellar Processor,1.0,,+100%
208,Glorious Lobe Actuator,0.9,195 ly,
209,Engorged Neural Matrix,1.0,,+100%
210,Engorged Cluster Stem,0.0,150 ly,
211,Engorged Bio-Reality Generator,1.0,,+100%
212,Tremendous Stellar Processor,1.0,,+100%
213,Beloved Emotal Core,0.08,154 ly,
214,Glorious Cluster Stem,0.0,150 ly,
215,Beloved Neural Matrix,0.4,170 ly,
216,Glassy Hive Stem,1.0,,+100%
217,Glorious Memory Calculus,0.06,153 ly,
218,Tremendous Bio-Reality Generator,1.0,,+100%
219,Glorious Emotal Core,1.0,,+100%
220,Engorged Lobes,1.0,,+100%
221,Beloved Lobes,1.0,,+100%
222,Engorged Memory Calculus,0.1,155 ly,
223,Glassy Memory Calculus,1.0,,+100%
224,Beloved Sensory Veil,1.0,,+100%
225,Tremendous Emotal Core,0.04,152 ly,
226,Glorious Sensory Veil,1.0,,+100%
227,Tremendous Lobes,0.16,158 ly,
228,Tremendous Hive Stem,0.34,167 ly,
229,Glorious Lobe Actuator,1.0,,+100%
230,Engorged Lobes,1.0,,+100%
231,Engorged Cluster Stem,1.0,,+100%
232,Tremendous Stellar Processor,0.38,169 ly,
233,Beloved Lobes,0.22,161 ly,
234,Glassy Sensory Veil,1.0,,+100%
235,Tremendous Stellar Processor,0.26,163 ly,
236,Glassy Memory Calculus,1.0,,+100%
237,Engorged Emotal Core,1.0,,+100%
238,Engorged Bio-Reality Generator,1.0,,+100%
239,Glassy Hive Stem,1.0,,+100%
240,Engorged Hive Stem,1.0,,+100%
241,Glorious Stellar Processor,0.04,152 ly,
242,Engorged Lobe Actuator,1.0,,+100%
243,Glassy Lobe Actuator,1.0,,+100%
244,Beloved Hive Stem,1.0,,+100%
245,Glassy Lobe Actuator,1.0,,+100%
246,Beloved Memory Calculus,0.02,151 ly,
247,Glorious Hive Stem,0.0,150 ly,
248,Tremendous Stellar Processor,1.0,,+100%
249,Engorged Sensory Veil,1.0,,+100%
250,Tremendous Sensory Veil,0.64,182 ly,
251,Glorious Stellar Processor,0.1,155 ly,
252,Glassy Lobes,1.0,,+100%
253,Beloved Emotal Core,0.58,179 ly,
254,Engorged Memory Calculus,0.36,168 ly,
255,Glassy Hive Stem,0.64,182 ly,
256,Tremendous Emotal Core,0.28,164 ly,
257,Tremendous Hive Stem,1.0,,+100%
258,Glorious Sensory Veil,1.0,,+100%
259,Engorged Sensory Veil,0.0,150 ly,
260,Engorged Sensory Veil,1.0,,+100%
261,Tremendous Cluster Stem,1.0,,+100%
262,Tremendous Stellar Processor,1.0,,+100%
263,Engorged Lobes,0.42,171 ly,
264,Tremendous Stellar Processor,1.0,,+100%
265,Glassy Neural Matrix,0.26,163 ly,
266,Tremendous Sensory Veil,0.0,150 ly,
267,Beloved Cluster Stem,1.0,,+100%
268,Tremendous Neural Matrix,0.42,171 ly,
269,Glassy Lobes,1.0,,+100%
270,Engorged Memory Calculus,0.02,151 ly,
271,Tremendous Bio-Reality Generator,0.06,153 ly,
272,Engorged Neural Matrix,1.0,,+100%
273,Engorged Cluster Stem,1.0,,+100%
274,Engorged Lobe Actuator,1.0,,+100%
275,Glassy Lobe Actuator,0.32,166 ly,
276,Glassy Emotal Core,0.04,152 ly,
277,Beloved Neural Matrix,1.0,,+100%
278,Glassy Cluster Stem,0.1,155 ly,
279,Glorious Memory Calculus,0.4,170 ly,
280,Beloved Stellar Processor,0.06,153 ly,
281,Glassy Bio-Reality Generator,0.82,191 ly,
282,Tremendous Bio-Reality Generator,1.0,,+100%
283,Tremendous Emotal Core,0.56,178 ly,
284,Tremendous Bio-Reality Generator,0.7,185 ly,
285,Engorged Memory Calculus,1.0,,+100%
286,Tremendous Sensory Veil,1.0,,+100%
287,Tremendous Lobe Actuator,1.0,,+100%
288,Tremendous Hive Stem,0.38,169 ly,
289,Engorged Hive Stem,1.0,,+100%
290,Beloved Lobes,0.02,151 ly,
291,Glassy Lobes,0.34,167 ly,
292,Beloved Hive Stem,1.0,,+100%
293,Glassy Sensory Veil,0.08,154 ly,
294,Beloved Lobes,0.66,183 ly,
295,Beloved Lobes,1.0,,+100%
296,Tremendous Neural Matrix,1.0,,+100%
297,Glassy Stellar Processor,1.0,,+100%
298,Beloved Hive Stem,1.0,,+100%
299,Glassy Memory Calculus,0.14,157 ly,
300,Glorious Memory Calculus,1.0,,+100%
301,Engorged Sensory Veil,0.24,162 ly,
302,Glorious Emotal Core,0.0,150 ly,
303,Glorious Cluster Stem,0.18,159 ly,
304,Engorged Memory Calculus,1.0,,+100%
305,Glassy Neural Matrix,1.0,,+100%
306,Glassy Emotal Core,0.72,186 ly,
307,Glassy Neural Matrix,1.0,,+100%
308,Engorged Hive Stem,1.0,,+100%
309,Glorious Hive Stem,1.0,,+100%
310,Beloved Stellar Processor,0.1,155 ly,
311,Beloved Bio-Reality Generator,0.64,182 ly,
312,Glorious Bio-Reality Generator,1.0,,+100%
313,Tremendous Sensory Veil,0.74,187 ly,
314,Glorious Stellar Processor,0.36,168 ly,
315,Glassy Bio-Reality Generator,1.0,,+100%
316,Glorious Emotal Core,1.0,,+100%
317,Tremendous Emotal Core,1.0,,+100%
318,Beloved Stellar Processor,0.56,178 ly,
319,Tremendous Lobe Actuator,0.08,154 ly,
320,Beloved Lobes,1.0,,+100%
321,Tremendous Stellar Processor,1.0,,+100%
322,Beloved Hive Stem,1.0,,+100%
323,Glassy Bio-Reality Generator,0.92,196 ly,
324,Beloved Lobes,0.94,197 ly,
325,Glorious Lobes,1.0,,+100%
326,Glorious Neural Matrix,0.06,153 ly,
327,Glassy Cluster Stem,1.0,,+100%
328,Engorged Sensory Veil,0.04,152 ly,
329,Engorged Neural Matrix,1.0,,+100%
330,Glorious Neural Matrix,1.0,,+100%
331,Glassy Memory Calculus,1.0,,+100%
332,Engorged Lobes,0.0,150 ly,
333,Engorged Memory Calculus,0.02,151 ly,
334,Tremendous Stellar Processor,1.0,,+100%
335,Glorious Lobe Actuator,0.0,150 ly,
336,Glassy Stellar Processor,0.66,183 ly,
337,Glorious Hive Stem,0.1,155 ly,
338,Beloved Hive Stem,1.0,,+100%
339,Tremendous Lobes,0.0,150 ly,
340,Glassy Sensory Veil,0.1,155 ly,
341,Beloved Hive Stem,1.0,,+100%
342,Glassy Bio-Reality Generator,0.08,154 ly,
343,Engorged Sensory Veil,0.08,154 ly,
344,Engorged Cluster Stem,1.0,,+100%
345,Glassy Bio-Reality Generator,0.94,197 ly,
346,Glassy Neural Matrix,0.02,151 ly,
347,Engorged Sensory Veil,1.0,,+100%
348,Engorged Hive Stem,1.0,,+100%
349,Tremendous Lobe Actuator,1.0,,+100%
350,Glorious Cluster Stem,1.0,,+100%
351,Glorious Lobes,1.0,,+100%
352,Engorged Neural Matrix,0.04,152 ly,
353,Engorged Sensory Veil,0.08,154 ly,
354,Engorged Bio-Reality Generator,1.0,,+100%
355,Glassy Cluster Stem,1.0,,+100%
356,Glassy Memory Calculus,1.0,,+100%
357,Beloved Bio-Reality Generator,0.52,176 ly,
358,Tremendous Lobes,1.0,,+100%
359,Tremendous Memory Calculus,0.0,150 ly,
360,Engorged Emotal Core,0.14,157 ly,
361,Tremendous Lobes,0.6,180 ly,
362,Glassy Bio-Reality Generator,1.0,,+100%
363,Tremendous Cluster Stem,1.0,,+100%
364,Engorged Sensory Veil,1.0,,+100%
365,Glassy Emotal Core,0.34,167 ly,
366,Tremendous Lobe Actuator,1.0,,+100%
367,Beloved Memory Calculus,0.02,151 ly,
368,Engorged Sensory Veil,0.1,155 ly,
369,Beloved Lobes,0.0,150 ly,
370,Glorious Stellar Processor,0.04,152 ly,
371,Beloved Cluster Stem,0.4,170 ly,
372,Glorious Stellar Processor,0.38,169 ly,
373,Glassy Emotal Core,0.14,157 ly,
374,Beloved Stellar Processor,1.0,,+100%
375,Glorious Lobe Actuator,1.0,,+100%
376,Glassy Cluster Stem,0.06,153 ly,
377,Beloved Cluster Stem,1.0,,+100%
378,Tremendous Stellar Processor,1.0,,+100%
379,Tremendous Lobes,1.0,,+100%
380,Glassy Lobe Actuator,1.0,,+100%
381,Beloved Stellar Processor,1.0,,+100%
382,Beloved Neural Matrix,1.0,,+100%
383,Tremendous Stellar Processor,0.08,154 ly,
384,Tremendous Lobe Actuator,0.0,150 ly,
385,Tremendous Emotal Core,0.02,151 ly,
386,Glassy Lobe Actuator,1.0,,+100%
387,Engorged Hive Stem,1.0,,+100%
388,Engorged Lobes,1.0,,+100%
389,Glorious Sensory Veil,1.0,,+100%
390,Tremendous Sensory Veil,0.04,152 ly,
391,Engorged Stellar Processor,1.0,,+100%
392,Beloved Stellar Processor,1.0,,+100%
393,Engorged Lobes,1.0,,+100%
394,Tremendous Stellar Processor,0.02,151 ly,
395,Engorged Memory Calculus,1.0,,+100%
396,Tremendous Bio-Reality Generator,1.0,,+100%
397,Engorged Cluster Stem,1.0,,+100%
398,Tremendous Hive Stem,1.0,,+100%
399,Glassy Bio-Reality Generator,1.0,,+100%
400,Glassy Memory Calculus,0.18,159 ly,
401,Glassy Memory Calculus,0.0,150 ly,
402,Engorged Stellar Processor,1.0,,+100%
403,Tremendous Emotal Core,1.0,,+100%
404,Tremendous Emotal Core,1.0,,+100%
405,Glassy Emotal Core,0.8,190 ly,
406,Glassy Lobe Actuator,0.12,156 ly,
407,Glassy Stellar Processor,0.66,183 ly,
408,Beloved Neural Matrix,0.04,152 ly,
409,Engorged Sensory Veil,1.0,200 ly,
410,Glorious Memory Calculus,1.0,,+100%
411,Glassy Lobes,1.0,,+100%
412,Beloved Bio-Reality Generator,1.0,,+100%
413,Engorged Sensory Veil,1.0,,+100%
414,Glorious Bio-Reality Generator,0.92,196 ly,
415,Tremendous Emotal Core,0.0,150 ly,
416,Engorged Bio-Reality Generator,1.0,,+100%
417,Engorged Neural Matrix,1.0,,+100%
418,Beloved Emotal Core,1.0,,+100%
419,Engorged Hive Stem,0.04,152 ly,
420,Glassy Lobe Actuator,0.52,176 ly,
421,Tremendous Lobes,1.0,,+100%
422,Tremendous Sensory Veil,1.0,,+100%
423,Beloved Neural Matrix,0.0,150 ly,
424,Tremendous Cluster Stem,1.0,,+100%
425,Glassy Lobe Actuator,0.1,155 ly,
426,Glassy Sensory Veil,1.0,,+100%
427,Glorious Lobes,0.5,175 ly,
428,Tremendous Stellar Processor,0.22,161 ly,
429,Engorged Emotal Core,0.44,172 ly,
430,Tremendous Stellar Processor,0.28,164 ly,
431,Beloved Emotal Core,1.0,,+100%
432,Glassy Hive Stem,1.0,,+100%
433,Glassy Bio-Reality Generator,0.18,159 ly,
434,Beloved Cluster Stem,1.0,,+100%
435,Engorged Lobe Actuator,0.72,186 ly,
436,Engorged Sensory Veil,0.3,165 ly,
437,Engorged Bio-Reality Generator,0.64,182 ly,
438,Tremendous Lobe Actuator,0.92,196 ly,
439,Glorious Hive Stem,1.0,,+100%
440,Beloved Lobe Actuator,1.0,,+100%
441,Glassy Stellar Processor,0.16,158 ly,
442,Glassy Lobes,1.0,,+100%
443,Beloved Sensory Veil,0.26,163 ly,
444,Glorious Lobes,1.0,,+100%
445,Glorious Stellar Processor,0.24,162 ly,
446,Glassy Stellar Processor,0.0,150 ly,
447,Glassy Memory Calculus,0.18,159 ly,
448,Tremendous Stellar Processor,1.0,,+100%
449,Beloved Lobe Actuator,0.1,155 ly,
450,Glassy Emotal Core,1.0,,+100%
451,Glorious Sensory Veil,1.0,,+100%
452,Beloved Bio-Reality Generator,0.2,160 ly,
453,Glorious Bio-Reality Generator,1.0,,+100%
454,Beloved Emotal Core,1.0,,+100%
455,Tremendous Memory Calculus,1.0,,+100%
456,Glassy Cluster Stem,0.72,186 ly,
457,Glassy Lobe Actuator,1.0,,+100%
458,Engorged Lobe Actuator,0.14,157 ly,
459,Glorious Stellar Processor,1.0,,+100%
460,Beloved Hive Stem,1.0,,+100%
461,Tremendous Hive Stem,0.44,172 ly,
462,Beloved Lobes,0.04,152 ly,
463,Glorious Bio-Reality Generator,0.28,164 ly,
464,Tremendous Lobes,0.34,167 ly,
465,Glorious Sensory Veil,0.98,199 ly,
466,Beloved Hive Stem,0.52,176 ly,
467,Glorious Cluster Stem,1.0,,+100%
468,Tremendous Lobes,0.68,184 ly,
469,Engorged Cluster Stem,0.5,175 ly,
470,Glorious Hive Stem,1.0,,+100%
471,Engorged Lobe Actuator,1.0,,+100%
472,Tremendous Neural Matrix,0.48,174 ly,
473,Tremendous Neural Matrix,0.02,151 ly,
474,Engorged Memory Calculus,1.0,,+100%
475,Engorged Stellar Processor,1.0,,+100%
476,Tremendous Lobe Actuator,0.0,150 ly,
477,Glorious Bio-Reality Generator,1.0,,+100%
478,Glorious Hive Stem,0.1,155 ly,
479,Glassy Stellar Processor,0.18,159 ly,
480,Beloved Bio-Reality Generator,0.42,171 ly,
481,Engorged Cluster Stem,0.68,184 ly,
482,Engorged Sensory Veil,1.0,,+100%
483,Glassy Lobes,1.0,,+100%
484,Tremendous Lobes,1.0,,+100%
485,Engorged Lobe Actuator,1.0,,+100%
486,Engorged Cluster Stem,1.0,,+100%
487,Beloved Cluster Stem,1.0,,+100%
488,Tremendous Bio-Reality Generator,0.2,160 ly,
489,Glorious Neural Matrix,0.02,151 ly,
490,Engorged Hive Stem,0.32,166 ly,
491,Glorious Memory Calculus,1.0,,+100%
492,Beloved Memory Calculus,0.12,156 ly,
493,Tremendous Lobe Actuator,1.0,,+100%
494,Engorged Stellar Processor,0.0,150 ly,
495,Engorged Bio-Reality Generator,0.68,184 ly,
496,Tremendous Memory Calculus,0.06,153 ly,
497,Glorious Neural Matrix,1.0,,+100%
498,Glorious Stellar Processor,0.0,150 ly,
499,Glorious Hive Stem,1.0,,+100%
500,Tremendous Emotal Core,0.46,173 ly,
501,Tremendous Lobes,0.2,160 ly,
502,Tremendous Emotal Core,0.82,191 ly,
503,Engorged Memory Calculus,0.04,152 ly,
504,Engorged Cluster Stem,0.02,151 ly,
505,Glassy Sensory Veil,0.72,186 ly,
506,Glorious Lobe Actuator,0.46,173 ly,
507,Glassy Stellar Processor,1.0,,+100%
508,Beloved Sensory Veil,0.04,152 ly,
509,Tremendous Cluster Stem,1.0,,+100%
510,Glorious Cluster Stem,0.34,167 ly,
511,Glorious Lobe Actuator,0.28,164 ly,
512,Engorged Lobes,1.0,,+100%
513,Tremendous Emotal Core,0.76,188 ly,
514,Beloved Lobe Actuator,1.0,,+100%
515,Glorious Neural Matrix,0.86,193 ly,
516,Tremendous Memory Calculus,0.28,164 ly,
517,Glassy Lobe Actuator,1.0,,+100%
518,Beloved Hive Stem,0.12,156 ly,
519,Engorged Stellar Processor,0.48,174 ly,
520,Engorged Lobes,1.0,,+100%
521,Glassy Hive Stem,1.0,,+100%
522,Engorged Cluster Stem,0.74,187 ly,
523,Glassy Hive Stem,0.0,150 ly,
524,Glassy Lobes,0.0,150 ly,
525,Beloved Bio-Reality Generator,1.0,,+100%
526,Glorious Emotal Core,0.44,172 ly,
527,Glorious Memory Calculus,1.0,,+100%
528,Beloved Lobe Actuator,1.0,,+100%
529,Engorged Lobes,1.0,,+100%
530,Tremendous Hive Stem,0.34,167 ly,
531,Glassy Stellar Processor,1.0,,+100%
532,Glassy Sensory Veil,1.0,,+100%
533,Glorious Hive Stem,0.22,161 ly,
534,Glorious Bio-Reality Generator,1.0,,+100%
535,Tremendous Memory Calculus,0.34,167 ly,
536,Glorious Emotal Core,0.84,192 ly,
537,Beloved Bio-Reality Generator,1.0,,+100%
538,Engorged Neural Matrix,0.96,198 ly,
539,Glassy Emotal Core,0.22,161 ly,
540,Beloved Sensory Veil,1.0,,+100%
541,Glassy Cluster Stem,0.02,151 ly,
542,Beloved Stellar Processor,1.0,,+100%
543,Glassy Hive Stem,0.12,156 ly,
544,Beloved Bio-Reality Generator,1.0,,+100%
545,Tremendous Emotal Core,1.0,,+100%
546,Tremendous Lobes,1.0,,+100%
547,Glassy Hive Stem,1.0,,+100%
548,Beloved Hive Stem,1.0,,+100%
549,Tremendous Memory Calculus,0.04,152 ly,
550,Beloved Stellar Processor,1.0,,+100%
551,Glassy Bio-Reality Generator,1.0,,+100%
552,Engorged Emotal Core,1.0,,+100%
553,Tremendous Emotal Core,0.02,151 ly,
554,Engorged Lobe Actuator,0.18,159 ly,
555,Glassy Lobes,0.02,151 ly,
556,Glorious Lobes,0.28,164 ly,
557,Glorious Bio-Reality Generator,1.0,,+100%
558,Engorged Cluster Stem,0.46,173 ly,
559,Glassy Cluster Stem,0.58,179 ly,
560,Tremendous Lobes,1.0,,+100%
561,Tremendous Bio-Reality Generator,0.12,156 ly,
562,Tremendous Memory Calculus,0.06,153 ly,
563,Glassy Cluster Stem,1.0,,+100%
564,Beloved Lobe Actuator,1.0,,+100%
565,Glorious Stellar Processor,1.0,,+100%
566,Glorious Neural Matrix,0.16,158 ly,
567,Beloved Lobes,1.0,,+100%
568,Tremendous Neural Matrix,1.0,,+100%
569,Engorged Neural Matrix,1.0,,+100%
570,Engorged Emotal Core,1.0,,+100%
571,Tremendous Emotal Core,1.0,,+100%
572,Glassy Emotal Core,0.36,168 ly,
573,Glorious Stellar Processor,0.0,150 ly,
574,Tremendous Lobes,1.0,,+100%
575,Engorged Stellar Processor,1.0,,+100%
576,Engorged Emotal Core,1.0,,+100%
577,Tremendous Emotal Core,1.0,,+100%
578,Engorged Memory Calculus,0.02,151 ly,
579,Beloved Memory Calculus,0.38,169 ly,
580,Glorious Lobes,1.0,,+100%
581,Tremendous Stellar Processor,0.36,168 ly,
582,Engorged Lobe Actuator,0.18,159 ly,
583,Glorious Lobe Actuator,0.64,182 ly,
584,Glorious Memory Calculus,1.0,,+100%
585,Glorious Memory Calculus,0.1,155 ly,
586,Beloved Lobe Actuator,1.0,,+100%
