sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage,Ship_Weapons_ShieldLeech
225,Shining Retina,0.411,+73%,,+75%
226,Delicate Reflector,0.18,,+20%,+80%
227,Shining Iris,0.916,+73%,+23%,
228,Shining Pupil,0.202,+56%,+23%,
229,Delicate Projector,0.072,,+20%,+77%
230,Variegated Iris,0.754,,+20%,+96%
231,Variegated Lens,0.287,,+20%,+83%
232,Shining Cornea,0.63,+70%,+20%,
233,Uniform Iris,0.095,+56%,+21%,
234,Searching Reflector,0.318,,+23%,+80%
235,Shining Cornea,0.233,+58%,+22%,
236,Searching Aperture,0.036,,+20%,+76%
237,Variegated Retina,0.431,,+20%,+87%
238,Variegated Fluids,0.046,,+21%,+75%
239,Searching Pupil,0.333,,+21%,+83%
240,Variegated Pupil,0.718,,+20%,+95%
241,Delicate Cornea,0.126,+58%,+20%,
242,Variegated Projector,0.0,,+20%,+75%
243,Searching Projector,0.728,,+21%,+94%
244,Uniform Pupil,0.754,,+20%,+96%
245,Searching Projector,0.251,+66%,,+75%
246,Uniform Aperture,0.795,+67%,,+98%
247,Delicate Pupil,0.431,+64%,+21%,
248,Shining Cornea,0.323,,+20%,+84%
249,Variegated Reflector,0.615,+75%,,+82%
250,Shining Reflector,0.136,+56%,,+80%
251,Delicate Cornea,0.524,+75%,,+78%
252,Searching Iris,0.261,,+21%,+81%
253,Uniform Retina,0.191,+57%,+22%,
254,Variegated Aperture,0.137,+57%,+21%,
255,Searching Pupil,0.114,+58%,,+77%
256,Shining Retina,0.042,+56%,+20%,
257,Shining Pupil,0.718,,+20%,+95%
258,Delicate Reflector,0.773,+72%,,+92%
259,Variegated Reflector,0.023,+56%,,+75%
260,Variegated Reflector,0.386,+58%,,+89%
261,Shining Lens,0.138,,+23%,+75%
262,Shining Cornea,0.023,+56%,,+75%
263,Variegated Iris,0.205,+63%,,+76%
264,Shining Cornea,0.567,+59%,,+96%
265,Searching Mirror,0.347,+62%,+21%,
266,Shining Reflector,0.227,+58%,,+82%
267,Uniform Lens,0.575,,+20%,+91%
268,Shining Mirror,0.42,+65%,+20%,
269,Searching Iris,0.568,+67%,,+88%
270,Variegated Aperture,0.672,+71%,+20%,
271,Shining Fluids,0.462,+66%,+20%,
272,Variegated Mirror,0.503,,+20%,+89%
273,Variegated Lens,0.181,+56%,,+82%
274,Variegated Projector,0.272,,+22%,+80%
275,Searching Projector,0.263,+60%,+21%,
276,Searching Retina,0.611,+67%,+22%,
277,Uniform Mirror,0.228,+62%,,+78%
278,Searching Lens,0.168,+59%,+20%,
279,Delicate Aperture,0.228,+65%,,+75%
280,Uniform Cornea,0.294,+62%,+20%,
281,Searching Fluids,0.42,+65%,+20%,
282,Shining Fluids,0.118,,+21%,+77%
283,Shining Retina,0.798,+74%,+20%,
284,Shining Fluids,0.042,+56%,+20%,
285,Variegated Aperture,0.567,+58%,,+97%
286,Shining Reflector,0.261,,+21%,+81%
287,Shining Projector,0.918,,+22%,+98%
288,Shining Pupil,0.385,+57%,,+90%
289,Variegated Pupil,0.613,+64%,,+93%
290,Uniform Iris,0.378,+64%,+20%,
291,Searching Iris,0.137,+61%,,+75%
292,Uniform Pupil,0.318,,+23%,+80%
293,Searching Reflector,0.137,+57%,+21%,
294,Uniform Iris,0.386,+63%,,+84%
295,Uniform Iris,0.636,+65%,,+93%
296,Shining Mirror,0.457,+75%,,+75%
297,Searching Cornea,0.046,+57%,,+75%
298,Uniform Pupil,0.592,+75%,,+81%
299,Searching Aperture,0.0,+55%,+20%,
300,Delicate Aperture,0.023,+56%,,+75%
301,Variegated Reflector,0.874,+72%,+23%,
302,Delicate Retina,0.714,+72%,+20%,
303,Delicate Lens,0.042,+56%,+20%,
304,Variegated Aperture,0.928,,+23%,+97%
305,Searching Mirror,0.082,,+21%,+76%
306,Searching Retina,0.342,+70%,,+75%
307,Searching Mirror,0.569,,+23%,+87%
308,Variegated Pupil,0.226,,+21%,+80%
309,Delicate Pupil,0.826,,+20%,+98%
310,Uniform Cornea,0.479,+72%,,+79%
311,Uniform Fluids,0.149,+56%,+22%,
312,Delicate Fluids,0.25,+62%,,+79%
313,Shining Reflector,0.275,+59%,+22%,
314,Delicate Cornea,0.319,+68%,,+76%
315,Searching Fluids,0.249,+56%,,+85%
316,Delicate Retina,0.547,+72%,,+82%
317,Shining Retina,0.567,+60%,,+95%
318,Uniform Cornea,0.749,+64%,,+99%
319,Shining Projector,0.179,+58%,+21%,
320,Uniform Iris,0.118,,+21%,+77%
321,Shining Cornea,0.137,+60%,,+76%
322,Uniform Pupil,0.136,+56%,,+80%
323,Searching Fluids,0.084,+57%,+20%,
324,Uniform Iris,0.682,+72%,,+88%
325,Delicate Iris,0.182,+62%,,+76%
326,Delicate Mirror,0.095,+56%,+21%,
327,Searching Lens,0.433,+70%,,+79%
328,Variegated Reflector,0.095,+56%,+21%,
329,Variegated Mirror,0.036,,+20%,+76%
330,Delicate Mirror,0.183,+63%,,+75%
331,Searching Aperture,0.287,,+20%,+83%
332,Variegated Iris,0.473,+65%,+21%,
333,Variegated Aperture,0.244,+57%,+23%,
334,Shining Cornea,0.154,,+21%,+78%
335,Delicate Projector,0.305,+61%,+21%,
336,Searching Cornea,0.296,+66%,,+77%
337,Delicate Pupil,0.527,+65%,+22%,
338,Uniform Pupil,0.154,,+21%,+78%
339,Shining Iris,0.864,+74%,,+94%
340,Searching Reflector,0.046,+57%,,+75%
341,Uniform Pupil,0.108,,+20%,+78%
342,Searching Fluids,0.611,+67%,+22%,
343,Variegated Reflector,0.588,+69%,+20%,
344,Variegated Lens,0.433,+72%,,+77%
345,Searching Fluids,0.042,+56%,+20%,
346,Searching Mirror,0.546,+68%,+20%,
347,Variegated Reflector,0.43,+56%,,+93%
348,Variegated Pupil,0.467,,+20%,+88%
349,Shining Projector,0.856,,+23%,+95%
350,Delicate Lens,0.036,,+20%,+76%
351,Delicate Iris,0.046,,+21%,+75%
352,Variegated Mirror,0.042,+56%,+20%,
353,Variegated Reflector,0.095,+56%,+21%,
354,Variegated Fluids,0.19,,+21%,+79%
355,Searching Lens,0.405,,+21%,+85%
356,Searching Aperture,0.513,,+21%,+88%
357,Uniform Fluids,0.21,+60%,+20%,
358,Shining Iris,0.539,,+20%,+90%
359,Shining Aperture,0.221,+59%,+21%,
360,Variegated Retina,0.273,+63%,,+79%
361,Shining Iris,0.295,+57%,,+86%
362,Searching Fluids,0.249,+56%,,+85%
363,Shining Lens,0.164,,+22%,+77%
364,Variegated Reflector,0.774,,+22%,+94%
365,Searching Retina,0.611,+67%,+22%,
366,Shining Projector,0.128,,+22%,+76%
367,Uniform Aperture,0.798,+74%,+20%,
368,Variegated Reflector,0.244,+57%,+23%,
369,Uniform Iris,0.21,+60%,+20%,
370,Delicate Cornea,0.365,+69%,,+77%
371,Uniform Lens,0.84,+75%,+20%,
372,Delicate Cornea,0.388,+72%,,+75%
373,Searching Retina,0.137,+60%,,+76%
374,Uniform Cornea,0.108,,+20%,+78%
375,Delicate Projector,0.216,,+20%,+81%
376,Searching Lens,0.179,+58%,+21%,
377,Uniform Lens,0.023,+56%,,+75%
378,Shining Cornea,0.0,,+20%,+75%
379,Shining Iris,0.846,,+22%,+96%
380,Searching Projector,0.114,+60%,,+75%
381,Uniform Cornea,0.216,,+20%,+81%
382,Uniform Mirror,0.226,,+21%,+80%
383,Shining Cornea,0.179,+58%,+21%,
384,Shining Projector,0.336,+63%,+20%,
385,Shining Retina,0.149,+56%,+22%,
386,Searching Projector,0.138,,+23%,+75%
387,Variegated Pupil,0.846,,+22%,+96%
388,Variegated Iris,0.092,,+22%,+75%
389,Delicate Reflector,0.549,,+21%,+89%
390,Shining Reflector,0.042,+56%,+20%,
391,Variegated Cornea,0.569,+73%,,+82%
392,Uniform Cornea,0.611,,+20%,+92%
393,Variegated Iris,0.272,,+22%,+80%
394,Shining Cornea,0.84,+75%,+20%,
395,Variegated Aperture,0.092,,+22%,+75%
396,Shining Fluids,0.108,,+20%,+78%
397,Variegated Lens,0.2,,+22%,+78%
398,Shining Pupil,0.046,,+21%,+75%
399,Searching Fluids,0.856,,+23%,+95%
400,Searching Aperture,0.126,+58%,+20%,
401,Searching Aperture,0.359,+61%,+22%,
402,Variegated Cornea,0.0,,+20%,+75%
403,Shining Retina,0.533,,+23%,+86%
404,Shining Retina,0.682,,+20%,+94%
405,Searching Retina,0.363,+60%,,+86%
406,Searching Projector,0.095,+56%,+21%,
407,Searching Cornea,0.909,+71%,,+99%
408,Uniform Mirror,0.58,+65%,+23%,
409,Variegated Reflector,0.756,+73%,+20%,
410,Delicate Aperture,0.046,,+21%,+75%
411,Searching Iris,0.613,+65%,,+92%
412,Uniform Fluids,0.575,,+20%,+91%
413,Variegated Reflector,0.19,,+21%,+79%
414,Delicate Fluids,0.893,+75%,+21%,
415,Shining Retina,0.149,+56%,+22%,
416,Variegated Fluids,0.251,+66%,,+75%
417,Variegated Mirror,0.261,,+21%,+81%
418,Uniform Retina,0.41,+69%,,+79%
419,Variegated Pupil,0.599,+68%,+21%,
420,Searching Projector,0.947,+75%,+22%,
421,Shining Iris,0.592,+72%,,+84%
422,Shining Reflector,0.138,,+23%,+75%
423,Uniform Mirror,0.21,+60%,+20%,
424,Shining Lens,0.18,,+20%,+80%
425,Searching Projector,0.504,+67%,+20%,
426,Searching Reflector,0.713,,+23%,+91%
427,Delicate Iris,0.748,+69%,+23%,
428,Shining Cornea,0.091,+59%,,+75%
429,Variegated Retina,0.042,+56%,+20%,
430,Shining Cornea,0.478,+68%,,+83%
431,Uniform Retina,0.739,,+22%,+93%
432,Searching Pupil,0.226,,+21%,+80%
433,Searching Fluids,0.227,+56%,,+84%
434,Uniform Lens,0.549,,+21%,+89%
435,Variegated Projector,0.798,+74%,+20%,
436,Variegated Reflector,0.179,+58%,+21%,
437,Variegated Fluids,0.672,+71%,+20%,
438,Shining Projector,0.364,+67%,,+79%
439,Delicate Pupil,0.0,,+20%,+75%
440,Uniform Projector,0.108,,+20%,+78%
441,Searching Cornea,0.515,+66%,+21%,
442,Searching Iris,0.718,,+20%,+95%
443,Uniform Reflector,0.159,+56%,,+81%
444,Delicate Iris,0.307,,+22%,+81%
445,Delicate Cornea,0.588,+69%,+20%,
446,Searching Cornea,0.095,+56%,+21%,
447,Searching Aperture,0.084,+57%,+20%,
448,Shining Cornea,0.453,+56%,,+94%
449,Uniform Projector,0.095,+56%,+21%,
450,Searching Retina,0.0,,+20%,+75%
451,Delicate Reflector,0.703,,+22%,+92%
452,Uniform Fluids,0.16,+62%,,+75%
453,Delicate Fluids,0.251,,+20%,+82%
454,Uniform Retina,0.928,,+23%,+97%
455,Shining Aperture,0.456,+70%,,+80%
456,Searching Lens,0.84,+75%,+20%,
457,Searching Projector,0.34,+57%,,+88%
458,Variegated Projector,0.714,+72%,+20%,
459,Delicate Cornea,0.295,+57%,,+86%
460,Uniform Pupil,0.539,,+20%,+90%
461,Shining Pupil,0.378,+64%,+20%,
462,Uniform Iris,0.569,+66%,+22%,
463,Delicate Fluids,0.317,+57%,,+87%
464,Shining Iris,0.227,+59%,,+81%
465,Delicate Reflector,0.084,+57%,+20%,
466,Uniform Pupil,0.359,+61%,+22%,
467,Delicate Lens,0.425,,+23%,+83%
468,Shining Iris,0.091,+56%,,+78%
469,Variegated Lens,0.453,+56%,,+94%
470,Delicate Pupil,0.34,+56%,,+89%
471,Variegated Projector,0.918,,+22%,+98%
472,Shining Mirror,0.365,+71%,,+75%
473,Shining Mirror,0.126,+58%,+20%,
474,Variegated Aperture,0.108,,+20%,+78%
475,Variegated Cornea,0.595,,+22%,+89%
476,Shining Projector,0.042,+56%,+20%,
477,Delicate Fluids,0.297,+68%,,+75%
478,Delicate Pupil,0.63,+70%,+20%,
479,Searching Cornea,0.295,+58%,,+85%
480,Uniform Fluids,0.023,+56%,,+75%
481,Variegated Lens,0.095,+56%,+21%,
482,Variegated Reflector,0.425,,+23%,+83%
483,Searching Iris,0.297,,+21%,+82%
484,Shining Iris,0.068,+56%,,+77%
485,Variegated Projector,0.388,+71%,,+76%
486,Variegated Lens,0.21,,+23%,+77%
487,Uniform Lens,0.091,+57%,,+77%
488,Shining Fluids,0.569,+66%,+22%,
489,Delicate Mirror,0.168,+59%,+20%,
490,Variegated Pupil,0.909,+72%,,+98%
491,Delicate Aperture,0.411,+73%,,+75%
492,Uniform Aperture,0.202,+56%,+23%,
493,Shining Projector,0.164,,+22%,+77%
494,Variegated Cornea,0.095,+56%,+21%,
495,Variegated Fluids,0.294,+62%,+20%,
496,Shining Aperture,0.16,+61%,,+76%
497,Delicate Mirror,0.677,,+23%,+90%
498,Delicate Cornea,0.046,+57%,,+75%
499,Delicate Pupil,0.144,,+20%,+79%
500,Shining Retina,0.546,+68%,+20%,
501,Shining Iris,0.538,+64%,+23%,
502,Shining Retina,0.252,+61%,+20%,
503,Variegated Aperture,0.41,+67%,,+81%
504,Variegated Lens,0.045,+56%,,+76%
505,Searching Reflector,0.084,+57%,+20%,
506,Delicate Projector,0.252,+61%,+20%,
507,Searching Cornea,0.216,,+20%,+81%
508,Uniform Reflector,0.137,+57%,+21%,
509,Shining Lens,0.882,,+22%,+97%
510,Delicate Lens,0.275,+59%,+22%,
511,Delicate Projector,0.042,+56%,+20%,
512,Variegated Iris,0.0,,+20%,+75%
513,Shining Retina,0.473,+65%,+21%,
514,Uniform Projector,0.862,,+20%,+99%
515,Delicate Mirror,0.454,+59%,,+91%
516,Shining Aperture,0.068,+57%,,+76%
517,Searching Projector,0.091,+56%,,+78%
518,Uniform Pupil,0.365,+68%,,+78%
519,Variegated Cornea,0.328,+59%,+23%,
520,Variegated Iris,0.882,,+22%,+97%
521,Searching Pupil,0.567,+59%,,+96%
522,Variegated Lens,0.042,+56%,+20%,
523,Searching Pupil,0.294,+62%,+20%,
524,Searching Iris,0.25,+59%,,+82%
525,Uniform Fluids,0.431,,+20%,+87%
526,Delicate Retina,0.042,+56%,+20%,
527,Delicate Aperture,0.864,+75%,,+93%
528,Uniform Projector,0.546,+68%,,+86%
529,Variegated Iris,0.477,,+21%,+87%
530,Shining Pupil,0.725,+71%,+21%,
531,Searching Cornea,0.138,,+23%,+75%
532,Searching Reflector,0.836,,+21%,+97%
533,Delicate Pupil,0.756,+73%,+20%,
534,Delicate Fluids,0.092,,+22%,+75%
535,Shining Aperture,0.251,+63%,,+78%
536,Delicate Retina,0.294,+62%,+20%,
537,Uniform Fluids,0.79,,+20%,+97%
538,Variegated Mirror,0.095,+56%,+21%,
539,Searching Retina,0.272,+56%,,+86%
540,Uniform Reflector,0.137,+61%,,+75%
541,Searching Lens,0.947,+75%,+22%,
542,Uniform Cornea,0.092,,+22%,+75%
543,Searching Pupil,0.095,+56%,+21%,
544,Uniform Fluids,0.503,,+20%,+89%
545,Shining Retina,0.0,,+20%,+75%
546,Shining Iris,0.216,,+20%,+81%
547,Searching Pupil,0.882,,+22%,+97%
548,Uniform Pupil,0.909,+75%,,+95%
549,Shining Aperture,0.431,+58%,,+91%
550,Uniform Cornea,0.108,,+20%,+78%
551,Searching Fluids,0.174,,+23%,+76%
552,Variegated Retina,0.359,,+20%,+85%
553,Shining Retina,0.286,+58%,+23%,
554,Variegated Projector,0.672,+71%,+20%,
555,Searching Iris,0.149,+56%,+22%,
556,Delicate Iris,0.227,+59%,,+81%
557,Delicate Fluids,0.138,,+23%,+75%
558,Variegated Lens,0.37,+60%,+23%,
559,Searching Lens,0.748,+69%,+23%,
560,Shining Iris,0.137,+59%,,+77%
561,Shining Fluids,0.084,+57%,+20%,
562,Shining Aperture,0.433,+71%,,+78%
563,Searching Lens,0.068,+56%,,+77%
564,Uniform Projector,0.137,+61%,,+75%
565,Delicate Cornea,0.297,,+21%,+82%
566,Delicate Mirror,0.364,+64%,,+82%
567,Uniform Iris,0.25,+61%,,+80%
568,Shining Mirror,0.872,,+21%,+98%
569,Variegated Mirror,0.272,,+22%,+80%
570,Variegated Retina,0.569,,+23%,+87%
571,Shining Retina,0.386,+59%,,+88%
572,Searching Retina,0.659,+68%,,+91%
573,Delicate Cornea,0.317,+57%,,+87%
574,Shining Iris,0.353,,+23%,+81%
575,Variegated Cornea,0.539,,+20%,+90%
576,Variegated Retina,0.323,,+20%,+84%
577,Shining Retina,0.046,+57%,,+75%
578,Variegated Aperture,0.385,+56%,,+91%
579,Uniform Aperture,0.412,+61%,+23%,
580,Delicate Iris,0.046,,+21%,+75%
581,Shining Cornea,0.183,+63%,,+75%
582,Variegated Projector,0.149,+56%,+22%,
583,Delicate Projector,0.725,+71%,+21%,
584,Delicate Aperture,0.0,,+20%,+75%
585,Delicate Aperture,0.205,+59%,,+80%
586,Uniform Projector,0.307,,+22%,+81%
587,Delicate Projector,0.084,+57%,+20%,
588,Delicate Mirror,0.457,+75%,,+75%
589,Delicate Lens,0.546,+71%,,+83%
590,Shining Mirror,0.233,+58%,+22%,
591,Uniform Retina,0.084,+57%,+20%,
592,Uniform Pupil,0.273,+62%,,+80%
593,Shining Fluids,0.467,,+20%,+88%
594,Uniform Lens,0.202,+56%,+23%,
595,Delicate Pupil,0.328,+59%,+23%,
596,Shining Retina,0.204,+58%,,+81%
