Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
66,Germinated Ventricle,0.225,+12%,+6%,
67,Writhing Aorta,0.35,+13%,+6%,
68,Writhing Thorax,0.306,+13%,,+2%
69,Germinated Aorta,0.181,+12%,,+2%
70,Germinated Blood Pump,0.306,+13%,,+2%
71,Growing Chamber,0.211,,+6%,+3%
72,Germinated Blood Sac,0.156,,+6%,+2%
73,Germinated Vessel,0.156,,+6%,+2%
74,Writhing Muscle,0.475,+14%,+6%,
75,Germinated Heart Lump,0.544,,+6%,+9%
76,Writhing Muscle,0.833,,+10%,+7%
77,Growing Aorta,0.306,+13%,,+2%
78,Germinated Muscle,0.456,,+9%,+2%
79,Twitching Vessel,0.2,+11%,+7%,
80,Twitching Ventricle,0.111,+11%,,+3%
81,Germinated Aorta,0.1,+11%,+6%,
82,Writhing Trunk Tissue,0.3,+11%,+8%,
83,Writhing Ventricle,0.944,+15%,,+9%
84,Twitching Ventricle,0.378,,+6%,+6%
85,Wriggling Blood Sac,0.056,+11%,,+2%
86,Growing Trunk Tissue,0.181,+12%,,+2%
87,Germinated Heart Lump,0.653,+14%,,+6%
88,Wriggling Trunk Tissue,0.1,+11%,+6%,
89,Germinated Aorta,0.306,+13%,,+2%
90,Wriggling Blood Pump,0.5,+11%,+10%,
91,Writhing Thorax,0.211,,+6%,+3%
92,Twitching Blood Pump,0.311,,+7%,+3%
93,Twitching Chamber,0.056,+11%,,+2%
94,Growing Aorta,0.322,,+6%,+5%
95,Twitching Thorax,0.45,+13%,+7%,
96,Twitching Heart Lump,0.556,,+10%,+2%
97,Germinated Thorax,0.156,,+6%,+2%
98,Growing Blood Pump,0.361,+13%,,+3%
99,Wriggling Ventricle,0.6,,+6%,+10%
100,Wriggling Muscle,0.181,+12%,,+2%
101,Twitching Vessel,0.225,+12%,+6%,
102,Germinated Thorax,0.486,+14%,,+3%
103,Growing Blood Sac,0.431,+14%,,+2%
104,Growing Muscle,0.156,,+6%,+2%
105,Growing Thorax,0.156,,+6%,+2%
106,Growing Thorax,0.511,,+9%,+3%
107,Growing Trunk Tissue,0.45,+13%,+7%,
108,Twitching Trunk Tissue,0.1,+11%,+6%,
109,Growing Blood Sac,0.256,,+7%,+2%
110,Germinated Muscle,0.708,+14%,,+7%
111,Writhing Chamber,0.472,+13%,,+5%
112,Twitching Thorax,0.375,+14%,,+1%
113,Wriggling Aorta,0.167,+11%,,+4%
114,Writhing Muscle,0.156,,+6%,+2%
115,Twitching Muscle,0.267,,+6%,+4%
116,Twitching Blood Pump,0.556,,+10%,+2%
117,Wriggling Muscle,0.306,+13%,,+2%
118,Twitching Blood Pump,0.6,,+6%,+10%
119,Growing Aorta,0.644,,+7%,+9%
120,Twitching Heart Lump,0.156,,+6%,+2%
121,Twitching Blood Pump,0.1,+11%,+6%,
122,Twitching Aorta,0.575,+14%,+7%,
123,Growing Blood Pump,0.256,,+7%,+2%
124,Writhing Aorta,0.325,+12%,+7%,
125,Germinated Ventricle,0.389,+11%,,+8%
126,Writhing Chamber,0.4,+11%,+9%,
127,Twitching Blood Sac,0.722,+15%,,+5%
128,Growing Ventricle,0.7,+15%,+7%,
129,Wriggling Ventricle,0.378,,+6%,+6%
130,Wriggling Blood Pump,0.667,,+10%,+4%
131,Growing Thorax,0.1,+11%,+6%,
132,Growing Blood Pump,0.292,+12%,,+4%
133,Writhing Blood Pump,0.056,+11%,,+2%
134,Twitching Vessel,0.8,+15%,+8%,
135,Germinated Ventricle,0.056,+11%,,+2%
136,Twitching Muscle,0.556,,+10%,+2%
137,Growing Ventricle,0.611,+15%,,+3%
138,Twitching Heart Lump,0.6,,+6%,+10%
139,Growing Vessel,0.1,+11%,+6%,
140,Twitching Chamber,0.4,+11%,+9%,
141,Writhing Trunk Tissue,0.056,+11%,,+2%
142,Twitching Chamber,0.486,+14%,,+3%
143,Wriggling Muscle,0.431,+14%,,+2%
144,Growing Ventricle,0.156,,+6%,+2%
145,Wriggling Blood Sac,0.156,,+6%,+2%
146,Germinated Heart Lump,0.622,,+9%,+5%
147,Growing Aorta,0.222,+11%,,+5%
148,Wriggling Thorax,0.667,,+10%,+4%
149,Writhing Vessel,0.467,,+8%,+4%
150,Wriggling Heart Lump,0.056,+11%,,+2%
151,Writhing Vessel,0.1,+11%,+6%,
152,Writhing Thorax,0.267,,+6%,+4%
153,Wriggling Trunk Tissue,0.156,,+6%,+2%
154,Wriggling Blood Pump,0.156,,+6%,+2%
155,Germinated Blood Pump,0.056,+11%,,+2%
156,Writhing Aorta,0.4,+11%,+9%,
157,Growing Heart Lump,0.2,+11%,+7%,
158,Writhing Trunk Tissue,0.4,+11%,+9%,
159,Growing Thorax,0.306,+13%,,+2%
160,Writhing Thorax,0.1,+11%,+6%,
161,Writhing Aorta,0.225,+12%,+6%,
162,Writhing Muscle,0.544,,+6%,+9%
163,Twitching Heart Lump,0.292,+12%,,+4%
164,Wriggling Thorax,0.35,+13%,+6%,
165,Growing Aorta,0.256,,+7%,+2%
166,Growing Muscle,0.55,+13%,+8%,
167,Twitching Trunk Tissue,0.156,,+6%,+2%
168,Twitching Chamber,0.431,+14%,,+2%
169,Wriggling Ventricle,0.167,+11%,,+4%
170,Germinated Blood Sac,0.45,+13%,+7%,
171,Germinated Chamber,0.056,+11%,,+2%
172,Writhing Blood Sac,0.167,+11%,,+4%
173,Twitching Ventricle,0.225,+12%,+6%,
174,Writhing Blood Pump,0.556,,+10%,+2%
175,Growing Muscle,0.475,+14%,+6%,
176,Wriggling Chamber,0.489,,+6%,+8%
177,Twitching Blood Pump,0.306,+13%,,+2%
178,Germinated Chamber,0.35,+13%,+6%,
179,Growing Ventricle,0.156,,+6%,+2%
180,Wriggling Blood Sac,0.611,+15%,,+3%
181,Germinated Ventricle,0.111,+11%,,+3%
182,Germinated Aorta,0.833,,+10%,+7%
183,Growing Vessel,0.35,+13%,+6%,
184,Wriggling Aorta,0.625,+12%,+10%,
185,Wriggling Blood Pump,0.1,+11%,+6%,
186,Writhing Vessel,0.156,,+6%,+2%
187,Wriggling Chamber,0.422,,+7%,+5%
188,Germinated Aorta,0.125,+12%,,+1%
189,Twitching Blood Sac,0.556,,+10%,+2%
190,Germinated Blood Sac,0.111,+11%,,+3%
191,Germinated Heart Lump,0.411,,+8%,+3%
192,Germinated Trunk Tissue,0.625,+12%,+10%,
193,Writhing Aorta,0.4,+11%,+9%,
194,Wriggling Trunk Tissue,0.256,,+7%,+2%
195,Twitching Chamber,0.789,,+9%,+8%
196,Growing Chamber,0.156,,+6%,+2%
197,Germinated Blood Pump,0.367,,+7%,+4%
198,Germinated Thorax,0.1,+11%,+6%,
199,Wriggling Blood Sac,0.356,,+8%,+2%
200,Germinated Heart Lump,0.35,+13%,+6%,
201,Germinated Blood Pump,0.625,+12%,+10%,
202,Growing Blood Pump,0.181,+12%,,+2%
203,Germinated Blood Sac,0.2,+11%,+7%,
204,Germinated Aorta,0.356,,+8%,+2%
205,Twitching Ventricle,0.789,,+9%,+8%
206,Growing Blood Sac,0.639,+13%,,+8%
207,Writhing Thorax,0.444,+11%,,+9%
208,Germinated Blood Pump,0.833,+15%,,+7%
209,Growing Ventricle,0.644,,+7%,+9%
210,Growing Heart Lump,0.722,+15%,,+5%
211,Growing Aorta,0.356,,+8%,+2%
212,Twitching Thorax,0.833,,+10%,+7%
213,Wriggling Blood Sac,0.1,+11%,+6%,
214,Germinated Heart Lump,0.306,+13%,,+2%
215,Wriggling Ventricle,0.236,+12%,,+3%
216,Writhing Trunk Tissue,0.156,,+6%,+2%
217,Germinated Chamber,0.225,+12%,+6%,
218,Twitching Aorta,0.211,,+6%,+3%
219,Germinated Blood Sac,0.589,,+7%,+8%
220,Growing Vessel,0.522,,+8%,+5%
221,Wriggling Vessel,0.514,+12%,,+8%
222,Growing Chamber,0.2,+11%,+7%,
223,Writhing Chamber,0.256,,+7%,+2%
224,Wriggling Muscle,0.722,,+10%,+5%
225,Twitching Blood Sac,0.514,+12%,,+8%
226,Germinated Muscle,0.156,,+6%,+2%
227,Twitching Vessel,0.5,+11%,+10%,
228,Twitching Trunk Tissue,0.2,+11%,+7%,
229,Germinated Blood Pump,0.156,,+6%,+2%
230,Growing Vessel,0.889,,+10%,+8%
231,Growing Heart Lump,0.456,,+9%,+2%
232,Twitching Thorax,0.6,+15%,+6%,
233,Wriggling Vessel,0.225,+12%,+6%,
234,Writhing Muscle,0.433,,+6%,+7%
235,Twitching Thorax,0.3,+11%,+8%,
236,Writhing Chamber,0.556,,+10%,+2%
237,Growing Blood Sac,0.556,,+10%,+2%
238,Growing Aorta,0.6,,+6%,+10%
239,Writhing Trunk Tissue,0.311,,+7%,+3%
240,Growing Trunk Tissue,0.156,,+6%,+2%
241,Germinated Thorax,0.6,+15%,+6%,
242,Growing Blood Pump,0.156,,+6%,+2%
243,Writhing Blood Pump,0.156,,+6%,+2%
244,Wriggling Trunk Tissue,0.556,,+10%,+2%
245,Writhing Blood Pump,0.556,+15%,,+2%
246,Wriggling Chamber,0.667,+15%,,+4%
247,Germinated Trunk Tissue,0.3,+11%,+8%,
248,Twitching Thorax,0.156,,+6%,+2%
249,Growing Muscle,0.181,+12%,,+2%
250,Twitching Muscle,0.181,+12%,,+2%
251,Germinated Thorax,0.5,+11%,,+10%
252,Writhing Vessel,0.356,,+8%,+2%
253,Wriggling Blood Sac,0.1,+11%,+6%,
254,Growing Chamber,0.1,+11%,+6%,
255,Writhing Trunk Tissue,0.306,+13%,,+2%
256,Twitching Blood Sac,0.35,+13%,+6%,
257,Twitching Trunk Tissue,0.889,,+10%,+8%
258,Germinated Muscle,0.639,+13%,,+8%
259,Growing Muscle,0.306,+13%,,+2%
260,Growing Muscle,0.111,+11%,,+3%
261,Twitching Heart Lump,0.156,,+6%,+2%
262,Twitching Thorax,0.056,+11%,,+2%
263,Growing Vessel,0.306,+13%,,+2%
264,Twitching Thorax,0.056,+11%,,+2%
265,Writhing Ventricle,0.1,+11%,+6%,
266,Twitching Muscle,0.056,+11%,,+2%
267,Wriggling Heart Lump,0.733,,+9%,+7%
268,Twitching Ventricle,1.0,+15%,+10%,
269,Writhing Vessel,0.417,+13%,,+4%
270,Growing Chamber,0.525,+12%,+9%,
271,Twitching Aorta,0.8,+15%,+8%,
272,Growing Ventricle,0.456,,+9%,+2%
273,Growing Heart Lump,0.056,+11%,,+2%
274,Growing Blood Pump,0.256,,+7%,+2%
275,Writhing Blood Pump,0.4,+11%,+9%,
276,Writhing Blood Sac,0.425,+12%,+8%,
277,Wriggling Ventricle,0.056,+11%,,+2%
278,Writhing Heart Lump,0.475,+14%,+6%,
279,Germinated Chamber,0.431,+14%,,+2%
280,Wriggling Thorax,0.325,+12%,+7%,
281,Writhing Aorta,0.775,+14%,+9%,
282,Twitching Aorta,0.211,,+6%,+3%
283,Twitching Blood Sac,0.45,+13%,+7%,
284,Twitching Aorta,0.55,+13%,+8%,
285,Growing Chamber,0.278,+11%,,+6%
286,Twitching Muscle,0.156,,+6%,+2%
287,Twitching Blood Pump,1.0,,+10%,+10%
288,Twitching Trunk Tissue,0.111,+11%,,+3%
289,Growing Trunk Tissue,0.222,+11%,,+5%
290,Wriggling Vessel,0.3,+11%,+8%,
291,Writhing Vessel,0.556,+15%,,+2%
292,Wriggling Trunk Tissue,0.889,,+10%,+8%
293,Writhing Muscle,0.35,+13%,+6%,
294,Wriggling Vessel,0.056,+11%,,+2%
295,Wriggling Vessel,0.056,+11%,,+2%
296,Twitching Ventricle,0.875,+14%,,+10%
297,Writhing Thorax,0.056,+11%,,+2%
298,Wriggling Trunk Tissue,0.5,+11%,,+10%
299,Writhing Chamber,0.0,+11%,+5%,
300,Germinated Chamber,0.667,+15%,,+4%
301,Growing Muscle,0.5,+11%,+10%,
302,Germinated Blood Sac,0.875,+14%,+10%,
303,Germinated Heart Lump,0.225,+12%,+6%,
304,Growing Chamber,0.556,,+10%,+2%
305,Writhing Ventricle,0.411,,+8%,+3%
306,Writhing Blood Sac,0.556,+15%,,+2%
307,Writhing Ventricle,0.578,,+8%,+6%
308,Growing Trunk Tissue,0.422,,+7%,+5%
309,Germinated Trunk Tissue,0.556,,+10%,+2%
310,Wriggling Thorax,0.583,+13%,,+7%
311,Wriggling Aorta,0.1,+11%,+6%,
312,Germinated Aorta,0.181,+12%,,+2%
313,Twitching Muscle,0.1,+11%,+6%,
314,Germinated Thorax,0.583,+13%,,+7%
315,Writhing Aorta,0.056,+11%,,+2%
316,Germinated Blood Sac,0.056,+11%,,+2%
317,Twitching Blood Sac,0.306,+13%,,+2%
318,Wriggling Thorax,0.222,+11%,,+5%
319,Twitching Blood Pump,0.1,+11%,+6%,
320,Wriggling Vessel,0.156,,+6%,+2%
321,Twitching Thorax,0.056,+11%,,+2%
322,Wriggling Trunk Tissue,0.056,+11%,,+2%
323,Writhing Aorta,0.425,+12%,+8%,
324,Wriggling Vessel,0.056,+11%,,+2%
325,Germinated Vessel,0.306,+13%,,+2%
326,Germinated Ventricle,0.225,+12%,+6%,
327,Writhing Heart Lump,0.181,+12%,,+2%
328,Growing Muscle,0.1,+11%,+6%,
329,Growing Ventricle,0.556,,+10%,+2%
330,Germinated Ventricle,0.111,+11%,,+3%
331,Writhing Chamber,0.156,,+6%,+2%
332,Growing Vessel,0.425,+12%,+8%,
333,Growing Chamber,0.1,+11%,+6%,
334,Twitching Thorax,0.267,,+6%,+4%
335,Germinated Blood Pump,0.2,+11%,+7%,
336,Writhing Thorax,0.306,+13%,,+2%
337,Germinated Trunk Tissue,0.3,+11%,+8%,
338,Wriggling Trunk Tissue,0.322,,+6%,+5%
339,Twitching Vessel,0.444,+11%,,+9%
340,Writhing Muscle,0.181,+12%,,+2%
341,Wriggling Trunk Tissue,0.156,,+6%,+2%
342,Writhing Aorta,0.8,+15%,+8%,
343,Growing Muscle,0.4,+11%,+9%,
344,Growing Heart Lump,0.389,+11%,,+8%
345,Writhing Aorta,0.225,+12%,+6%,
346,Writhing Ventricle,0.775,+14%,+9%,
347,Growing Muscle,0.056,+11%,,+2%
348,Growing Trunk Tissue,0.356,,+8%,+2%
349,Twitching Blood Pump,0.8,,+8%,+10%
350,Germinated Heart Lump,0.156,,+6%,+2%
351,Germinated Vessel,0.156,,+6%,+2%
352,Growing Ventricle,0.225,+12%,+6%,
353,Growing Muscle,0.1,+11%,+6%,
354,Growing Aorta,0.611,,+10%,+3%
355,Writhing Heart Lump,0.467,,+8%,+4%
356,Writhing Chamber,0.456,,+9%,+2%
357,Wriggling Aorta,0.325,+12%,+7%,
358,Twitching Vessel,0.567,,+9%,+4%
359,Twitching Chamber,0.1,+11%,+6%,
360,Growing Blood Sac,0.361,+13%,,+3%
361,Twitching Vessel,0.056,+11%,,+2%
362,Writhing Aorta,0.056,+11%,,+2%
363,Twitching Heart Lump,0.478,,+7%,+6%
364,Growing Muscle,0.722,,+10%,+5%
365,Writhing Blood Sac,0.2,+11%,+7%,
366,Twitching Blood Pump,0.322,,+6%,+5%
367,Wriggling Chamber,0.875,+14%,+10%,
368,Growing Muscle,0.225,+12%,+6%,
369,Wriggling Vessel,0.2,+11%,+7%,
370,Germinated Thorax,0.278,+11%,,+6%
371,Wriggling Heart Lump,0.675,+14%,+8%,
372,Germinated Thorax,0.486,+14%,,+3%
373,Writhing Blood Sac,0.181,+12%,,+2%
374,Wriggling Thorax,0.156,,+6%,+2%
375,Germinated Blood Pump,0.156,,+6%,+2%
376,Writhing Heart Lump,0.1,+11%,+6%,
377,Wriggling Heart Lump,0.25,+13%,,+1%
378,Twitching Thorax,0.556,,+10%,+2%
379,Twitching Vessel,0.578,,+8%,+6%
380,Writhing Blood Pump,0.056,+11%,,+2%
381,Wriggling Thorax,0.456,,+9%,+2%
382,Wriggling Ventricle,0.256,,+7%,+2%
383,Twitching Thorax,0.475,+14%,+6%,
384,Twitching Blood Pump,0.325,+12%,+7%,
385,Twitching Blood Sac,0.1,+11%,+6%,
386,Writhing Blood Pump,0.433,,+6%,+7%
387,Growing Trunk Tissue,0.478,,+7%,+6%
388,Growing Vessel,0.322,,+6%,+5%
389,Germinated Muscle,0.511,,+9%,+3%
390,Twitching Muscle,0.1,+11%,+6%,
391,Growing Thorax,0.389,+11%,,+8%
392,Wriggling Thorax,0.156,,+6%,+2%
393,Growing Vessel,0.311,,+7%,+3%
394,Twitching Thorax,0.875,+14%,+10%,
395,Growing Chamber,0.156,,+6%,+2%
396,Twitching Aorta,0.156,,+6%,+2%
397,Growing Heart Lump,0.156,,+6%,+2%
398,Twitching Trunk Tissue,0.433,,+6%,+7%
399,Writhing Aorta,0.589,,+7%,+8%
400,Writhing Chamber,0.475,+14%,+6%,
401,Writhing Chamber,0.325,+12%,+7%,
402,Growing Thorax,0.256,,+7%,+2%
403,Twitching Blood Sac,0.544,,+6%,+9%
404,Twitching Blood Sac,0.456,,+9%,+2%
405,Writhing Blood Sac,0.0,+11%,,+1%
406,Writhing Blood Pump,0.6,+15%,+6%,
407,Writhing Thorax,0.056,+11%,,+2%
408,Wriggling Ventricle,0.55,+13%,+8%,
409,Growing Muscle,0.225,+12%,+6%,
410,Germinated Chamber,0.667,,+10%,+4%
411,Writhing Vessel,0.417,+13%,,+4%
412,Wriggling Aorta,0.256,,+7%,+2%
413,Growing Muscle,0.156,,+6%,+2%
414,Germinated Aorta,0.1,+11%,+6%,
415,Twitching Blood Sac,0.225,+12%,+6%,
416,Growing Aorta,0.875,+14%,,+10%
417,Growing Ventricle,0.311,,+7%,+3%
418,Wriggling Blood Sac,0.569,+12%,,+9%
419,Growing Trunk Tissue,0.4,+11%,+9%,
420,Writhing Blood Pump,0.2,+11%,+7%,
421,Twitching Vessel,0.708,+14%,,+7%
422,Twitching Muscle,0.433,,+6%,+7%
423,Wriggling Ventricle,0.325,+12%,+7%,
424,Twitching Heart Lump,0.356,,+8%,+2%
425,Writhing Blood Pump,0.3,+11%,+8%,
426,Writhing Muscle,0.489,,+6%,+8%
427,Germinated Vessel,0.1,+11%,+6%,
428,Twitching Thorax,0.056,+11%,,+2%
429,Growing Blood Sac,0.35,+13%,+6%,
430,Twitching Thorax,0.5,+11%,,+10%
431,Wriggling Blood Sac,0.622,,+9%,+5%
432,Writhing Trunk Tissue,0.211,,+6%,+3%
433,Writhing Aorta,0.056,+11%,,+2%
434,Wriggling Heart Lump,0.411,,+8%,+3%
435,Growing Blood Pump,0.225,+12%,+6%,
436,Growing Muscle,0.5,+11%,+10%,
437,Growing Aorta,0.225,+12%,+6%,
438,Twitching Blood Pump,0.181,+12%,,+2%
439,Germinated Trunk Tissue,0.156,,+6%,+2%
440,Wriggling Blood Pump,0.356,,+8%,+2%
441,Writhing Thorax,0.675,+14%,+8%,
442,Writhing Vessel,0.556,,+10%,+2%
443,Wriggling Muscle,0.458,+12%,,+7%
444,Germinated Vessel,0.256,,+7%,+2%
445,Germinated Thorax,0.4,+11%,+9%,
446,Writhing Thorax,0.1,+11%,+6%,
447,Writhing Chamber,0.475,+14%,+6%,
448,Twitching Thorax,0.056,+11%,,+2%
449,Wriggling Blood Pump,0.225,+12%,+6%,
450,Writhing Blood Sac,0.156,,+6%,+2%
451,Germinated Muscle,0.522,,+8%,+5%
452,Wriggling Aorta,0.306,+13%,,+2%
453,Germinated Aorta,0.156,,+6%,+2%
454,Wriggling Blood Sac,0.611,,+10%,+3%
455,Twitching Chamber,0.181,+12%,,+2%
456,Writhing Heart Lump,0.325,+12%,+7%,
457,Writhing Blood Pump,0.431,+14%,,+2%
458,Growing Blood Pump,0.5,+11%,+10%,
459,Germinated Thorax,0.306,+13%,,+2%
460,Wriggling Trunk Tissue,0.356,,+8%,+2%
461,Twitching Trunk Tissue,0.325,+12%,+7%,
462,Wriggling Vessel,0.425,+12%,+8%,
463,Germinated Aorta,0.111,+11%,,+3%
464,Twitching Vessel,0.181,+12%,,+2%
465,Germinated Muscle,0.525,+12%,+9%,
466,Wriggling Trunk Tissue,0.1,+11%,+6%,
467,Germinated Heart Lump,0.478,,+7%,+6%
468,Twitching Vessel,0.361,+13%,,+3%
469,Growing Heart Lump,0.333,+11%,,+7%
470,Germinated Trunk Tissue,0.5,+11%,,+10%
471,Growing Blood Pump,0.556,,+10%,+2%
472,Twitching Ventricle,0.722,+15%,,+5%
473,Twitching Ventricle,0.1,+11%,+6%,
474,Growing Chamber,0.156,,+6%,+2%
475,Growing Thorax,0.356,,+8%,+2%
476,Twitching Blood Pump,0.225,+12%,+6%,
477,Germinated Aorta,0.597,+14%,,+5%
478,Germinated Trunk Tissue,0.525,+12%,+9%,
479,Writhing Thorax,0.056,+11%,,+2%
480,Wriggling Aorta,0.667,+15%,,+4%
481,Growing Heart Lump,0.2,+11%,+7%,
482,Growing Muscle,0.256,,+7%,+2%
483,Writhing Vessel,0.256,,+7%,+2%
484,Twitching Vessel,0.056,+11%,,+2%
485,Growing Blood Pump,0.417,+13%,,+4%
486,Growing Heart Lump,0.156,,+6%,+2%
487,Wriggling Heart Lump,0.306,+13%,,+2%
488,Twitching Aorta,0.3,+11%,+8%,
489,Germinated Ventricle,0.1,+11%,+6%,
490,Growing Trunk Tissue,0.222,+11%,,+5%
491,Germinated Chamber,0.694,+13%,,+9%
492,Wriggling Chamber,0.1,+11%,+6%,
493,Twitching Blood Pump,0.433,,+6%,+7%
494,Growing Thorax,0.1,+11%,+6%,
495,Growing Aorta,0.9,+15%,+9%,
496,Twitching Chamber,0.056,+11%,,+2%
497,Germinated Ventricle,0.456,,+9%,+2%
498,Germinated Thorax,0.431,+14%,,+2%
499,Germinated Trunk Tissue,0.433,,+6%,+7%
500,Twitching Blood Sac,0.55,+13%,+8%,
501,Twitching Vessel,0.675,+14%,+8%,
502,Twitching Blood Sac,0.475,+14%,+6%,
503,Growing Chamber,0.167,+11%,,+4%
504,Growing Heart Lump,0.431,+14%,,+2%
505,Writhing Muscle,0.6,+15%,+6%,
506,Germinated Blood Pump,0.6,+15%,+6%,
507,Writhing Thorax,0.456,,+9%,+2%
508,Wriggling Muscle,0.1,+11%,+6%,
509,Twitching Heart Lump,0.556,,+10%,+2%
510,Germinated Heart Lump,0.2,+11%,+7%,
511,Germinated Blood Pump,0.225,+12%,+6%,
512,Growing Vessel,0.556,,+10%,+2%
513,Twitching Blood Sac,0.2,+11%,+7%,
514,Wriggling Blood Pump,0.156,,+6%,+2%
515,Germinated Ventricle,0.056,+11%,,+2%
516,Twitching Chamber,0.417,+13%,,+4%
517,Writhing Blood Pump,0.306,+13%,,+2%
518,Wriggling Trunk Tissue,0.222,+11%,,+5%
519,Growing Thorax,0.1,+11%,+6%,
520,Growing Vessel,0.322,,+6%,+5%
521,Writhing Trunk Tissue,0.056,+11%,,+2%
522,Growing Heart Lump,0.55,+13%,+8%,
523,Writhing Trunk Tissue,0.2,+11%,+7%,
524,Writhing Vessel,0.181,+12%,,+2%
525,Wriggling Aorta,0.156,,+6%,+2%
526,Germinated Blood Sac,0.35,+13%,+6%,
527,Germinated Chamber,0.222,+11%,,+5%
528,Wriggling Blood Pump,0.722,+15%,,+5%
529,Growing Vessel,0.211,,+6%,+3%
530,Twitching Trunk Tissue,0.1,+11%,+6%,
531,Writhing Thorax,0.8,,+8%,+10%
532,Writhing Muscle,0.556,,+10%,+2%
533,Germinated Trunk Tissue,0.5,+11%,+10%,
534,Germinated Aorta,0.667,,+10%,+4%
535,Twitching Chamber,0.694,+13%,,+9%
536,Germinated Blood Sac,0.55,+13%,+8%,
537,Wriggling Aorta,0.611,,+10%,+3%
538,Growing Ventricle,0.1,+11%,+6%,
539,Writhing Blood Sac,0.181,+12%,,+2%
540,Wriggling Muscle,0.056,+11%,,+2%
541,Writhing Heart Lump,0.5,+11%,+10%,
542,Wriggling Thorax,0.433,,+6%,+7%
543,Writhing Trunk Tissue,0.1,+11%,+6%,
544,Wriggling Aorta,0.256,,+7%,+2%
545,Twitching Blood Sac,0.156,,+6%,+2%
546,Twitching Vessel,0.256,,+7%,+2%
547,Writhing Trunk Tissue,0.422,,+7%,+5%
548,Wriggling Trunk Tissue,1.0,+15%,,+10%
549,Twitching Chamber,0.181,+12%,,+2%
550,Wriggling Thorax,0.544,,+6%,+9%
551,Writhing Aorta,0.322,,+6%,+5%
552,Growing Blood Sac,0.256,,+7%,+2%
553,Twitching Blood Sac,0.1,+11%,+6%,
