Seed	Name	Perfection	Ship_Launcher_TakeOffCost
76	Soft Clusters	0.0	-6%
77	Viscous Coils	0.0	-6%
78	Glutinous Clusters	0.0	-6%
79	Mucilaginous Membrane	1.0	-10%
80	Mucilaginous Tendril	0.0	-6%
81	Glutinous Coils	0.0	-6%
82	Soft Bio-Anomaly	0.25	-7%
83	Soft Tendril	0.0	-6%
84	Mucilaginous Tendril	0.0	-6%
85	Fibrous Nodules	0.0	-6%
86	Viscous Bio-Anomaly	0.0	-6%
87	Glutinous Brain Node	0.0	-6%
88	Fibrous Bio-Anomaly	0.5	-8%
89	Glutinous Coils	0.0	-6%
90	Fibrous Brain Node	1.0	-10%
91	Soft Jelly	0.0	-6%
92	Mucilaginous Brain Node	0.0	-6%
93	Mucilaginous Lobes	0.0	-6%
94	Viscous Coils	0.0	-6%
95	Mucilaginous Jelly	0.0	-6%
96	Mucilaginous Brain Node	0.0	-6%
97	Glutinous Jelly	0.0	-6%
98	Viscous Brain Node	0.0	-6%
99	Fibrous Tendril	0.0	-6%
100	Fibrous Clusters	0.0	-6%
101	Mucilaginous Membrane	0.5	-8%
102	Glutinous Jelly	0.0	-6%
103	Viscous Nodules	0.0	-6%
104	Viscous Clusters	0.0	-6%
105	Viscous Jelly	0.0	-6%
106	Viscous Jelly	0.0	-6%
107	Viscous Bio-Anomaly	0.25	-7%
108	Mucilaginous Bio-Anomaly	1.0	-10%
109	Viscous Nodules	0.0	-6%
110	Glutinous Clusters	0.0	-6%
111	Soft Lobes	0.0	-6%
112	Mucilaginous Jelly	0.0	-6%
113	Fibrous Coils	0.0	-6%
114	Soft Clusters	0.0	-6%
115	Mucilaginous Clusters	0.0	-6%
116	Mucilaginous Brain Node	0.0	-6%
117	Fibrous Clusters	0.0	-6%
118	Mucilaginous Brain Node	0.0	-6%
119	Viscous Coils	0.0	-6%
120	Mucilaginous Brain Node	0.0	-6%
121	Mucilaginous Brain Node	0.5	-8%
122	Mucilaginous Coils	0.25	-7%
123	Viscous Brain Node	0.0	-6%
124	Soft Coils	0.0	-6%
125	Glutinous Tendril	0.0	-6%
126	Soft Lobes	0.75	-9%
127	Mucilaginous Nodules	0.0	-6%
128	Viscous Tendril	0.25	-7%
129	Fibrous Tendril	0.0	-6%
130	Fibrous Brain Node	0.0	-6%
131	Viscous Jelly	1.0	-10%
132	Viscous Brain Node	0.0	-6%
133	Soft Brain Node	0.0	-6%
134	Mucilaginous Membrane	0.0	-6%
135	Glutinous Tendril	0.0	-6%
136	Mucilaginous Clusters	0.0	-6%
137	Viscous Tendril	0.0	-6%
138	Mucilaginous Brain Node	0.0	-6%
139	Viscous Membrane	1.0	-10%
140	Mucilaginous Lobes	0.0	-6%
141	Soft Bio-Anomaly	0.0	-6%
142	Mucilaginous Lobes	0.0	-6%
143	Fibrous Clusters	0.0	-6%
144	Viscous Tendril	0.0	-6%
145	Fibrous Nodules	0.0	-6%
146	Glutinous Brain Node	0.0	-6%
147	Viscous Coils	0.0	-6%
148	Fibrous Jelly	0.0	-6%
149	Soft Membrane	0.0	-6%
150	Fibrous Brain Node	0.0	-6%
151	Soft Membrane	0.25	-7%
152	Soft Jelly	0.0	-6%
153	Fibrous Bio-Anomaly	0.0	-6%
154	Fibrous Brain Node	0.0	-6%
155	Glutinous Brain Node	0.0	-6%
156	Soft Coils	0.5	-8%
157	Viscous Brain Node	0.5	-8%
158	Soft Bio-Anomaly	0.5	-8%
159	Viscous Jelly	0.0	-6%
160	Soft Jelly	0.75	-9%
161	Soft Coils	0.5	-8%
162	Soft Clusters	0.0	-6%
163	Mucilaginous Brain Node	0.0	-6%
164	Fibrous Jelly	0.0	-6%
165	Viscous Coils	0.0	-6%
166	Viscous Clusters	0.5	-8%
167	Mucilaginous Bio-Anomaly	0.0	-6%
168	Mucilaginous Lobes	0.0	-6%
169	Fibrous Tendril	0.0	-6%
170	Glutinous Nodules	0.5	-8%
171	Glutinous Lobes	0.0	-6%
172	Soft Nodules	0.0	-6%
173	Mucilaginous Tendril	1.0	-10%
174	Soft Brain Node	0.0	-6%
175	Viscous Clusters	0.0	-6%
176	Fibrous Lobes	0.0	-6%
177	Mucilaginous Brain Node	0.0	-6%
178	Glutinous Lobes	0.0	-6%
179	Viscous Tendril	0.0	-6%
180	Fibrous Nodules	0.0	-6%
181	Glutinous Tendril	0.0	-6%
182	Glutinous Coils	0.0	-6%
183	Viscous Membrane	0.5	-8%
184	Fibrous Coils	0.25	-7%
185	Fibrous Brain Node	1.0	-10%
186	Soft Membrane	0.0	-6%
187	Fibrous Lobes	0.0	-6%
188	Glutinous Coils	0.0	-6%
189	Mucilaginous Nodules	0.0	-6%
190	Glutinous Nodules	0.0	-6%
191	Glutinous Brain Node	0.0	-6%
192	Glutinous Bio-Anomaly	0.5	-8%
193	Soft Coils	0.5	-8%
194	Fibrous Bio-Anomaly	0.0	-6%
195	Mucilaginous Lobes	0.0	-6%
196	Viscous Lobes	0.0	-6%
197	Glutinous Brain Node	0.0	-6%
198	Glutinous Jelly	0.25	-7%
199	Fibrous Nodules	0.0	-6%
200	Glutinous Brain Node	0.0	-6%
201	Glutinous Brain Node	0.25	-7%
202	Viscous Brain Node	0.0	-6%
203	Glutinous Nodules	0.5	-8%
204	Glutinous Coils	0.0	-6%
205	Mucilaginous Tendril	0.0	-6%
206	Viscous Nodules	0.0	-6%
207	Soft Jelly	0.0	-6%
208	Glutinous Brain Node	0.0	-6%
209	Viscous Tendril	0.0	-6%
210	Viscous Brain Node	0.0	-6%
211	Viscous Coils	0.0	-6%
212	Mucilaginous Jelly	0.0	-6%
213	Fibrous Nodules	0.25	-7%
214	Glutinous Brain Node	0.0	-6%
215	Fibrous Tendril	0.0	-6%
216	Soft Bio-Anomaly	0.0	-6%
217	Glutinous Lobes	1.0	-10%
218	Mucilaginous Coils	0.0	-6%
219	Glutinous Nodules	0.0	-6%
220	Viscous Membrane	0.0	-6%
221	Fibrous Membrane	0.0	-6%
222	Viscous Lobes	1.0	-10%
223	Soft Lobes	0.0	-6%
224	Fibrous Clusters	0.0	-6%
225	Mucilaginous Nodules	0.0	-6%
226	Glutinous Clusters	0.0	-6%
227	Mucilaginous Membrane	0.25	-7%
228	Mucilaginous Bio-Anomaly	0.0	-6%
229	Glutinous Brain Node	0.0	-6%
230	Viscous Membrane	0.0	-6%
231	Viscous Brain Node	0.0	-6%
232	Mucilaginous Jelly	0.5	-8%
233	Fibrous Membrane	0.75	-9%
234	Soft Clusters	0.0	-6%
235	Mucilaginous Jelly	0.5	-8%
236	Soft Lobes	0.0	-6%
237	Viscous Nodules	0.0	-6%
238	Viscous Coils	0.0	-6%
239	Soft Bio-Anomaly	0.0	-6%
240	Viscous Bio-Anomaly	0.0	-6%
241	Glutinous Jelly	0.5	-8%
242	Viscous Brain Node	0.0	-6%
243	Soft Brain Node	0.0	-6%
244	Fibrous Bio-Anomaly	0.0	-6%
245	Soft Brain Node	0.0	-6%
246	Fibrous Lobes	0.0	-6%
247	Glutinous Bio-Anomaly	1.0	-10%
248	Mucilaginous Jelly	0.0	-6%
249	Viscous Clusters	0.0	-6%
250	Mucilaginous Clusters	0.0	-6%
251	Glutinous Jelly	0.0	-6%
252	Soft Membrane	0.0	-6%
253	Fibrous Nodules	0.0	-6%
254	Viscous Lobes	0.0	-6%
255	Soft Bio-Anomaly	0.0	-6%
256	Mucilaginous Nodules	1.0	-10%
257	Mucilaginous Bio-Anomaly	0.0	-6%
258	Glutinous Clusters	0.0	-6%
259	Viscous Clusters	0.0	-6%
260	Viscous Clusters	0.0	-6%
261	Mucilaginous Brain Node	0.0	-6%
262	Mucilaginous Jelly	0.0	-6%
263	Viscous Membrane	0.0	-6%
264	Mucilaginous Jelly	0.0	-6%
265	Soft Tendril	0.5	-8%
266	Mucilaginous Clusters	0.0	-6%
267	Fibrous Brain Node	0.0	-6%
268	Mucilaginous Tendril	0.0	-6%
269	Soft Membrane	0.0	-6%
270	Viscous Lobes	0.0	-6%
271	Mucilaginous Coils	0.5	-8%
272	Viscous Tendril	0.0	-6%
273	Viscous Brain Node	0.0	-6%
274	Viscous Brain Node	0.0	-6%
275	Soft Brain Node	0.0	-6%
276	Soft Nodules	0.25	-7%
277	Fibrous Tendril	0.0	-6%
278	Soft Brain Node	0.75	-9%
279	Glutinous Lobes	0.0	-6%
280	Fibrous Jelly	0.0	-6%
281	Soft Coils	0.0	-6%
282	Mucilaginous Coils	0.0	-6%
283	Mucilaginous Nodules	0.25	-7%
284	Mucilaginous Coils	0.5	-8%
285	Viscous Lobes	0.0	-6%
286	Mucilaginous Clusters	0.0	-6%
287	Mucilaginous Brain Node	0.0	-6%
288	Mucilaginous Bio-Anomaly	0.0	-6%
289	Viscous Bio-Anomaly	0.0	-6%
290	Fibrous Membrane	0.5	-8%
291	Soft Membrane	0.0	-6%
292	Fibrous Bio-Anomaly	0.0	-6%
293	Soft Clusters	1.0	-10%
294	Fibrous Membrane	0.0	-6%
295	Fibrous Membrane	0.0	-6%
296	Mucilaginous Tendril	0.0	-6%
297	Soft Jelly	0.0	-6%
298	Fibrous Bio-Anomaly	0.0	-6%
299	Soft Lobes	0.0	-6%
300	Glutinous Lobes	0.0	-6%
301	Viscous Clusters	0.25	-7%
302	Glutinous Nodules	1.0	-10%
303	Glutinous Brain Node	0.0	-6%
304	Viscous Lobes	0.0	-6%
305	Soft Tendril	0.0	-6%
306	Soft Nodules	0.0	-6%
307	Soft Tendril	0.0	-6%
308	Viscous Bio-Anomaly	0.0	-6%
309	Glutinous Bio-Anomaly	0.0	-6%
310	Fibrous Jelly	0.0	-6%
311	Fibrous Coils	0.5	-8%
312	Glutinous Coils	0.0	-6%
313	Mucilaginous Clusters	0.0	-6%
314	Glutinous Jelly	0.0	-6%
315	Soft Coils	0.0	-6%
316	Glutinous Nodules	0.0	-6%
317	Mucilaginous Nodules	0.0	-6%
318	Fibrous Jelly	0.0	-6%
319	Mucilaginous Brain Node	0.5	-8%
320	Fibrous Membrane	0.0	-6%
321	Mucilaginous Jelly	0.0	-6%
322	Fibrous Bio-Anomaly	0.0	-6%
323	Soft Coils	0.0	-6%
324	Fibrous Membrane	0.0	-6%
325	Glutinous Membrane	0.0	-6%
326	Glutinous Tendril	0.25	-7%
327	Soft Brain Node	0.0	-6%
328	Viscous Clusters	0.25	-7%
329	Viscous Tendril	0.0	-6%
330	Glutinous Tendril	0.0	-6%
331	Soft Lobes	0.0	-6%
332	Viscous Membrane	1.0	-10%
333	Viscous Lobes	0.25	-7%
334	Mucilaginous Jelly	0.0	-6%
335	Glutinous Brain Node	0.0	-6%
336	Soft Jelly	0.0	-6%
337	Glutinous Bio-Anomaly	0.0	-6%
338	Fibrous Bio-Anomaly	0.0	-6%
339	Mucilaginous Membrane	0.0	-6%
340	Soft Clusters	0.0	-6%
341	Fibrous Bio-Anomaly	0.0	-6%
342	Soft Coils	0.25	-7%
343	Viscous Clusters	0.25	-7%
344	Viscous Brain Node	0.0	-6%
345	Soft Coils	0.25	-7%
346	Soft Tendril	0.25	-7%
347	Viscous Clusters	0.0	-6%
348	Viscous Bio-Anomaly	0.0	-6%
349	Mucilaginous Brain Node	0.0	-6%
350	Glutinous Brain Node	0.0	-6%
351	Glutinous Membrane	0.0	-6%
352	Viscous Tendril	0.0	-6%
353	Viscous Clusters	0.0	-6%
354	Viscous Coils	0.0	-6%
355	Soft Brain Node	0.0	-6%
356	Soft Lobes	0.0	-6%
357	Fibrous Coils	1.0	-10%
358	Mucilaginous Membrane	0.0	-6%
359	Mucilaginous Lobes	0.25	-7%
360	Viscous Nodules	0.0	-6%
361	Mucilaginous Membrane	0.0	-6%
362	Soft Coils	0.0	-6%
363	Mucilaginous Brain Node	0.0	-6%
364	Viscous Clusters	0.0	-6%
365	Soft Nodules	0.0	-6%
366	Mucilaginous Brain Node	0.0	-6%
367	Fibrous Lobes	0.0	-6%
368	Viscous Clusters	0.0	-6%
369	Fibrous Membrane	0.0	-6%
370	Glutinous Jelly	0.0	-6%
371	Fibrous Brain Node	0.75	-9%
372	Glutinous Jelly	0.0	-6%
373	Soft Nodules	0.0	-6%
374	Fibrous Jelly	0.0	-6%
375	Glutinous Brain Node	0.0	-6%
376	Soft Brain Node	0.5	-8%
377	Fibrous Brain Node	0.0	-6%
378	Mucilaginous Jelly	0.0	-6%
379	Mucilaginous Membrane	0.0	-6%
380	Soft Brain Node	0.0	-6%
381	Fibrous Jelly	0.0	-6%
382	Fibrous Tendril	0.0	-6%
383	Mucilaginous Jelly	0.25	-7%
384	Mucilaginous Brain Node	0.25	-7%
385	Mucilaginous Nodules	0.0	-6%
386	Soft Brain Node	0.0	-6%
387	Viscous Bio-Anomaly	0.0	-6%
388	Viscous Membrane	0.0	-6%
389	Glutinous Clusters	0.0	-6%
390	Mucilaginous Clusters	0.5	-8%
391	Viscous Jelly	0.0	-6%
392	Fibrous Jelly	0.0	-6%
393	Viscous Membrane	0.0	-6%
394	Mucilaginous Jelly	0.5	-8%
395	Viscous Lobes	0.0	-6%
396	Mucilaginous Coils	0.0	-6%
397	Viscous Brain Node	0.0	-6%
398	Mucilaginous Bio-Anomaly	0.0	-6%
399	Soft Coils	0.0	-6%
400	Soft Lobes	1.0	-10%
401	Soft Lobes	0.25	-7%
402	Viscous Jelly	0.0	-6%
403	Mucilaginous Nodules	0.0	-6%
404	Mucilaginous Nodules	0.0	-6%
405	Soft Nodules	0.0	-6%
406	Soft Brain Node	1.0	-10%
407	Soft Jelly	0.0	-6%
408	Fibrous Tendril	0.0	-6%
409	Viscous Clusters	0.75	-9%
410	Glutinous Lobes	0.0	-6%
411	Soft Membrane	0.0	-6%
412	Fibrous Coils	0.0	-6%
413	Viscous Clusters	0.0	-6%
414	Glutinous Coils	0.75	-9%
415	Mucilaginous Nodules	0.25	-7%
416	Viscous Coils	0.0	-6%
417	Viscous Tendril	0.0	-6%
418	Fibrous Nodules	0.0	-6%
419	Viscous Bio-Anomaly	0.5	-8%
420	Soft Brain Node	0.0	-6%
421	Mucilaginous Membrane	0.0	-6%
422	Mucilaginous Clusters	0.0	-6%
423	Fibrous Tendril	0.25	-7%
424	Mucilaginous Brain Node	0.0	-6%
425	Soft Brain Node	0.5	-8%
426	Soft Clusters	0.0	-6%
427	Glutinous Membrane	0.75	-9%
428	Mucilaginous Jelly	0.0	-6%
429	Viscous Nodules	0.25	-7%
430	Mucilaginous Jelly	0.0	-6%
431	Fibrous Nodules	0.0	-6%
432	Soft Bio-Anomaly	0.0	-6%
433	Soft Coils	0.0	-6%
434	Fibrous Brain Node	0.0	-6%
435	Viscous Brain Node	0.25	-7%
436	Viscous Clusters	0.25	-7%
437	Viscous Coils	0.0	-6%
438	Mucilaginous Brain Node	0.0	-6%
439	Glutinous Bio-Anomaly	0.0	-6%
440	Fibrous Brain Node	0.0	-6%
441	Soft Jelly	0.0	-6%
442	Soft Membrane	0.0	-6%
443	Fibrous Clusters	0.0	-6%
444	Glutinous Membrane	0.0	-6%
445	Glutinous Jelly	0.0	-6%
446	Soft Jelly	0.0	-6%
447	Soft Lobes	0.0	-6%
448	Mucilaginous Jelly	0.0	-6%
449	Fibrous Brain Node	1.0	-10%
450	Soft Nodules	0.0	-6%
451	Glutinous Clusters	0.0	-6%
452	Fibrous Coils	0.0	-6%
453	Glutinous Coils	0.0	-6%
454	Fibrous Nodules	0.0	-6%
455	Mucilaginous Lobes	0.0	-6%
456	Soft Brain Node	0.5	-8%
457	Soft Brain Node	0.0	-6%
458	Viscous Brain Node	0.5	-8%
459	Glutinous Jelly	0.0	-6%
460	Fibrous Bio-Anomaly	0.0	-6%
461	Mucilaginous Bio-Anomaly	0.25	-7%
462	Fibrous Membrane	0.25	-7%
463	Glutinous Coils	0.0	-6%
464	Mucilaginous Membrane	0.0	-6%
465	Glutinous Clusters	0.0	-6%
466	Fibrous Bio-Anomaly	0.0	-6%
467	Glutinous Brain Node	0.0	-6%
468	Mucilaginous Membrane	0.0	-6%
469	Viscous Brain Node	0.0	-6%
470	Glutinous Bio-Anomaly	0.0	-6%
471	Viscous Brain Node	0.0	-6%
472	Mucilaginous Tendril	0.0	-6%
473	Mucilaginous Tendril	0.5	-8%
474	Viscous Lobes	0.0	-6%
475	Viscous Jelly	0.0	-6%
476	Mucilaginous Brain Node	0.5	-8%
477	Glutinous Coils	0.0	-6%
478	Glutinous Bio-Anomaly	1.0	-10%
479	Soft Jelly	0.0	-6%
480	Fibrous Coils	0.0	-6%
481	Viscous Brain Node	0.0	-6%
482	Viscous Clusters	0.0	-6%
483	Soft Membrane	0.0	-6%
484	Mucilaginous Membrane	0.0	-6%
485	Viscous Brain Node	0.0	-6%
486	Viscous Brain Node	0.0	-6%
487	Fibrous Brain Node	0.0	-6%
488	Mucilaginous Coils	0.75	-9%
489	Glutinous Tendril	0.25	-7%
490	Viscous Bio-Anomaly	0.0	-6%
491	Glutinous Lobes	0.0	-6%
492	Fibrous Lobes	0.0	-6%
493	Mucilaginous Brain Node	0.0	-6%
494	Viscous Jelly	0.5	-8%
495	Viscous Coils	0.25	-7%
496	Mucilaginous Lobes	0.0	-6%
497	Glutinous Tendril	0.0	-6%
498	Glutinous Jelly	0.0	-6%
499	Glutinous Bio-Anomaly	0.0	-6%
500	Mucilaginous Nodules	0.75	-9%
501	Mucilaginous Membrane	0.0	-6%
502	Mucilaginous Nodules	0.0	-6%
503	Viscous Lobes	0.0	-6%
504	Viscous Brain Node	0.0	-6%
505	Soft Clusters	0.0	-6%
506	Glutinous Brain Node	0.75	-9%
507	Soft Jelly	0.0	-6%
508	Fibrous Clusters	0.0	-6%
509	Mucilaginous Brain Node	0.0	-6%
510	Glutinous Brain Node	0.75	-9%
511	Glutinous Brain Node	1.0	-10%
512	Viscous Membrane	0.0	-6%
513	Mucilaginous Nodules	0.25	-7%
514	Fibrous Brain Node	0.0	-6%
515	Glutinous Tendril	0.0	-6%
516	Mucilaginous Lobes	0.0	-6%
517	Soft Brain Node	0.0	-6%
518	Fibrous Bio-Anomaly	0.0	-6%
519	Viscous Jelly	1.0	-10%
520	Viscous Membrane	0.0	-6%
521	Soft Bio-Anomaly	0.0	-6%
522	Viscous Brain Node	0.75	-9%
523	Soft Bio-Anomaly	0.5	-8%
524	Soft Membrane	0.0	-6%
525	Fibrous Coils	0.0	-6%
526	Glutinous Nodules	0.25	-7%
527	Glutinous Lobes	0.0	-6%
528	Fibrous Brain Node	0.0	-6%
529	Viscous Membrane	0.0	-6%
530	Mucilaginous Bio-Anomaly	0.25	-7%
531	Soft Jelly	0.0	-6%
532	Soft Clusters	0.0	-6%
533	Glutinous Bio-Anomaly	0.25	-7%
534	Glutinous Coils	0.0	-6%
535	Mucilaginous Lobes	0.0	-6%
536	Glutinous Nodules	0.0	-6%
537	Fibrous Coils	0.0	-6%
538	Viscous Tendril	0.0	-6%
539	Soft Nodules	0.0	-6%
540	Fibrous Clusters	0.0	-6%
541	Soft Brain Node	0.75	-9%
542	Fibrous Jelly	0.0	-6%
543	Soft Bio-Anomaly	0.5	-8%
544	Fibrous Coils	0.0	-6%
545	Mucilaginous Nodules	0.0	-6%
546	Mucilaginous Membrane	0.0	-6%
547	Soft Bio-Anomaly	0.0	-6%
548	Fibrous Bio-Anomaly	0.0	-6%
549	Mucilaginous Lobes	0.0	-6%
550	Fibrous Jelly	0.0	-6%
551	Soft Coils	0.0	-6%
552	Viscous Nodules	0.0	-6%
553	Mucilaginous Nodules	0.5	-8%
554	Viscous Brain Node	0.0	-6%
555	Soft Membrane	0.25	-7%
556	Glutinous Membrane	0.0	-6%
557	Glutinous Coils	0.0	-6%
558	Viscous Brain Node	1.0	-10%
559	Soft Brain Node	0.25	-7%
560	Mucilaginous Membrane	0.0	-6%
561	Mucilaginous Coils	0.5	-8%
562	Mucilaginous Lobes	0.0	-6%
563	Soft Brain Node	0.0	-6%
564	Fibrous Brain Node	0.0	-6%
565	Glutinous Jelly	0.0	-6%
566	Glutinous Tendril	0.0	-6%
567	Fibrous Membrane	0.0	-6%
568	Mucilaginous Tendril	0.0	-6%
569	Viscous Tendril	0.0	-6%
570	Viscous Nodules	0.0	-6%
571	Mucilaginous Nodules	0.0	-6%
572	Soft Nodules	0.0	-6%
573	Glutinous Jelly	0.0	-6%
574	Mucilaginous Membrane	0.0	-6%
575	Viscous Jelly	0.0	-6%
576	Viscous Nodules	0.0	-6%
577	Mucilaginous Nodules	0.0	-6%
578	Viscous Lobes	0.0	-6%
579	Fibrous Lobes	0.0	-6%
580	Glutinous Membrane	0.0	-6%
581	Mucilaginous Jelly	0.0	-6%
582	Viscous Brain Node	0.0	-6%
583	Glutinous Brain Node	0.0	-6%
584	Glutinous Lobes	0.0	-6%
585	Glutinous Lobes	0.0	-6%
586	Fibrous Brain Node	0.0	-6%
587	Glutinous Brain Node	0.25	-7%
588	Glutinous Tendril	0.0	-6%
589	Glutinous Brain Node	0.0	-6%
590	Mucilaginous Tendril	0.25	-7%
591	Fibrous Nodules	0.75	-9%
592	Fibrous Bio-Anomaly	0.0	-6%
593	Mucilaginous Coils	0.0	-6%
594	Fibrous Brain Node	0.25	-7%
595	Glutinous Bio-Anomaly	0.75	-9%
596	Mucilaginous Nodules	0.0	-6%
597	Fibrous Nodules	0.0	-6%
598	Mucilaginous Coils	0.0	-6%
599	Mucilaginous Coils	0.0	-6%
600	Glutinous Nodules	0.0	-6%
601	Glutinous Coils	0.0	-6%
602	Viscous Clusters	0.0	-6%
603	Mucilaginous Membrane	0.0	-6%
604	Viscous Brain Node	0.0	-6%
605	Fibrous Clusters	0.0	-6%
606	Mucilaginous Clusters	0.0	-6%
607	Mucilaginous Coils	0.0	-6%
608	Viscous Brain Node	0.0	-6%
609	Glutinous Tendril	0.0	-6%
610	Fibrous Brain Node	0.0	-6%
611	Glutinous Lobes	0.0	-6%
612	Mucilaginous Coils	0.0	-6%
613	Glutinous Coils	0.0	-6%
614	Viscous Nodules	0.0	-6%
615	Glutinous Nodules	0.0	-6%
616	Fibrous Nodules	0.0	-6%
617	Mucilaginous Lobes	0.0	-6%
618	Glutinous Tendril	0.0	-6%
619	Soft Coils	0.0	-6%
620	Fibrous Jelly	0.0	-6%
621	Viscous Bio-Anomaly	0.25	-7%
622	Fibrous Jelly	0.0	-6%
623	Viscous Lobes	0.0	-6%
624	Fibrous Brain Node	0.0	-6%
625	Viscous Jelly	0.0	-6%
626	Glutinous Bio-Anomaly	0.0	-6%
627	Viscous Jelly	1.0	-10%
628	Soft Jelly	0.0	-6%
629	Mucilaginous Nodules	0.0	-6%
630	Mucilaginous Brain Node	0.0	-6%
631	Mucilaginous Coils	0.0	-6%
632	Glutinous Jelly	0.0	-6%
633	Soft Coils	0.0	-6%
634	Glutinous Coils	0.0	-6%
635	Soft Jelly	0.75	-9%
636	Glutinous Tendril	0.0	-6%
637	Soft Clusters	0.0	-6%
638	Soft Coils	0.0	-6%
639	Mucilaginous Clusters	0.0	-6%
640	Viscous Lobes	0.0	-6%
641	Mucilaginous Coils	0.0	-6%
642	Fibrous Coils	0.0	-6%
643	Fibrous Bio-Anomaly	1.0	-10%
644	Glutinous Brain Node	0.0	-6%
645	Fibrous Brain Node	0.0	-6%
646	Fibrous Membrane	0.5	-8%
647	Mucilaginous Bio-Anomaly	0.0	-6%
648	Viscous Jelly	0.0	-6%
649	Glutinous Jelly	0.0	-6%
650	Viscous Clusters	0.0	-6%
651	Mucilaginous Coils	0.0	-6%
652	Mucilaginous Clusters	0.0	-6%
653	Viscous Brain Node	0.5	-8%
654	Mucilaginous Brain Node	0.0	-6%
655	Mucilaginous Nodules	0.0	-6%
656	Fibrous Bio-Anomaly	0.0	-6%
657	Fibrous Membrane	0.0	-6%
658	Glutinous Clusters	0.0	-6%
659	Soft Coils	0.0	-6%
660	Soft Tendril	0.25	-7%
661	Mucilaginous Jelly	0.0	-6%
662	Glutinous Jelly	0.0	-6%
663	Viscous Membrane	0.0	-6%
664	Mucilaginous Brain Node	0.0	-6%
665	Fibrous Bio-Anomaly	0.0	-6%
666	Soft Coils	0.0	-6%
667	Mucilaginous Membrane	0.0	-6%
668	Fibrous Bio-Anomaly	0.0	-6%
669	Mucilaginous Brain Node	0.0	-6%
670	Fibrous Brain Node	0.0	-6%
671	Soft Membrane	0.0	-6%
672	Viscous Bio-Anomaly	0.0	-6%
673	Viscous Clusters	0.25	-7%
674	Mucilaginous Membrane	0.0	-6%
675	Soft Jelly	0.0	-6%
676	Fibrous Coils	0.0	-6%
677	Glutinous Nodules	0.0	-6%
678	Mucilaginous Bio-Anomaly	0.0	-6%
679	Soft Bio-Anomaly	0.0	-6%
