sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage,Ship_Weapons_ShieldLeech
88,Wandering Pupil,0.319,+42%,+17%,
89,Focused Fluids,0.0,,,+50%
90,Wandering Projector,0.0,,+16%,
91,Restless Cornea,0.167,,+17%,
92,Glassy Projector,0.208,,,+60%
93,Glassy Aperture,0.208,,,+60%
94,Fixated Fluids,0.042,,,+52%
95,Glassy Cornea,0.5,+55%,,
96,Glassy Lens,0.125,,,+56%
97,Focused Cornea,0.0,,,+50%
98,Fixated Projector,0.534,+44%,,+65%
99,Wandering Mirror,0.0,,+16%,
100,Wandering Reflector,0.606,+55%,,+57%
101,Glassy Iris,0.0,,+16%,
102,Focused Cornea,0.474,+54%,,
103,Fixated Retina,0.167,,,+58%
104,Fixated Reflector,0.0,,,+50%
105,Fixated Cornea,0.0,,+16%,
106,Fixated Cornea,0.333,,+18%,
107,Fixated Pupil,0.316,+48%,,
108,Glassy Pupil,0.0,,+16%,
109,Fixated Retina,0.216,,+16%,+56%
110,Focused Reflector,0.093,+39%,,+51%
111,Restless Aperture,0.744,+49%,,+69%
112,Glassy Cornea,0.263,+46%,,
113,Wandering Fluids,0.167,,,+58%
114,Restless Reflector,0.042,,,+52%
115,Glassy Reflector,0.5,,+19%,
116,Glassy Projector,0.167,,+17%,
117,Wandering Reflector,0.0,,,+50%
118,Glassy Projector,0.021,,,+51%
119,Fixated Fluids,0.438,,,+71%
120,Glassy Lens,0.0,,+16%,
121,Glassy Projector,0.044,+37%,+16%,
122,Glassy Fluids,0.333,,+18%,
123,Fixated Projector,0.272,,+18%,+55%
124,Restless Fluids,0.0,,+16%,
125,Focused Mirror,0.104,,,+55%
126,Restless Aperture,0.342,+49%,,
127,Glassy Retina,0.0,,,+50%
128,Fixated Mirror,0.105,+40%,,
129,Wandering Mirror,0.307,,+18%,+56%
130,Wandering Projector,0.5,,+19%,
131,Fixated Cornea,0.099,+37%,+17%,
132,Fixated Projector,0.021,,,+51%
133,Restless Projector,0.104,,,+55%
134,Glassy Iris,0.053,+38%,,
135,Focused Mirror,0.396,,,+69%
136,Glassy Reflector,0.964,,+19%,+73%
137,Fixated Mirror,0.0,+36%,,
138,Glassy Lens,0.5,,+19%,
139,Fixated Iris,0.5,,+19%,
140,Glassy Aperture,0.0,+36%,,
141,Restless Pupil,0.132,+41%,,
142,Glassy Aperture,0.021,,,+51%
143,Wandering Reflector,0.237,+45%,,
144,Fixated Mirror,0.333,,+18%,
145,Wandering Retina,0.354,,,+67%
146,Focused Lens,0.333,,+18%,
147,Fixated Fluids,0.132,+41%,,
148,Wandering Cornea,0.167,,+17%,
149,Restless Iris,0.438,,,+71%
150,Wandering Lens,0.184,+43%,,
151,Restless Iris,0.0,,+16%,
152,Restless Cornea,0.083,,,+54%
153,Wandering Pupil,0.167,,+17%,
154,Wandering Projector,0.0,,,+50%
155,Focused Projector,0.132,+41%,,
156,Restless Fluids,0.167,,+17%,
157,Fixated Lens,0.363,+43%,+17%,
158,Restless Pupil,0.5,,+19%,
159,Fixated Cornea,0.021,,,+51%
160,Restless Cornea,0.0,+36%,,
161,Restless Fluids,0.0,+36%,+16%,
162,Restless Reflector,0.167,,+17%,
163,Glassy Lens,0.079,+39%,,
164,Wandering Cornea,0.0,+36%,+16%,
165,Fixated Fluids,0.229,,,+61%
166,Fixated Reflector,0.088,+38%,+16%,
167,Glassy Pupil,0.104,,,+55%
168,Glassy Aperture,0.354,,,+67%
169,Wandering Mirror,0.271,,,+63%
170,Focused Retina,0.439,+46%,+16%,
171,Focused Aperture,0.271,,,+63%
172,Restless Retina,0.042,,,+52%
173,Glassy Mirror,0.026,+37%,,
174,Restless Projector,0.0,,+16%,+50%
175,Fixated Reflector,0.0,,+16%,
176,Wandering Aperture,0.354,,,+67%
177,Glassy Projector,0.184,+43%,,
178,Focused Aperture,0.044,+37%,+16%,
179,Fixated Mirror,0.0,,+16%,
180,Wandering Retina,0.0,+36%,,
181,Focused Mirror,0.582,+49%,,+62%
182,Focused Fluids,0.862,,+16%,+74%
183,Fixated Iris,0.044,+37%,+16%,
184,Wandering Fluids,0.079,+39%,,
185,Wandering Projector,0.079,+39%,,
186,Restless Iris,0.5,,+19%,
187,Wandering Aperture,0.297,,+17%,+57%
188,Focused Fluids,0.486,+36%,,+71%
189,Glassy Retina,0.072,,+16%,+52%
190,Focused Retina,0.21,+43%,,+52%
191,Focused Lens,0.0,,+16%,
192,Focused Pupil,0.857,+53%,+18%,
193,Restless Fluids,0.693,+48%,+19%,
194,Wandering Pupil,0.333,,+18%,
195,Glassy Aperture,0.312,,,+65%
196,Fixated Aperture,0.0,,+16%,
197,Focused Projector,0.042,,,+52%
198,Focused Cornea,0.0,,+16%,
199,Wandering Retina,0.549,,+17%,+64%
200,Focused Lens,0.0,,+16%,
201,Focused Projector,0.132,+41%,,
202,Fixated Projector,0.146,,,+57%
203,Focused Retina,0.237,+45%,,
204,Focused Fluids,0.25,,,+62%
205,Glassy Mirror,0.292,,,+64%
206,Fixated Retina,0.25,,,+62%
207,Restless Cornea,0.0,+36%,,
208,Focused Projector,0.0,+36%,,+50%
209,Fixated Mirror,0.138,,+19%,+50%
210,Fixated Lens,0.354,,,+67%
211,Fixated Fluids,0.0,,,+50%
212,Glassy Cornea,0.042,,,+52%
213,Wandering Retina,0.0,,+16%,
214,Focused Lens,0.0,,,+50%
215,Wandering Mirror,0.184,+43%,,
216,Restless Pupil,0.333,,+18%,
217,Focused Aperture,0.0,,+16%,
218,Glassy Fluids,0.0,,+16%,
219,Focused Retina,0.379,,+18%,+58%
220,Fixated Iris,0.479,,,+73%
221,Wandering Iris,0.271,,,+63%
222,Fixated Aperture,0.175,+40%,+16%,
223,Restless Aperture,0.0,,+16%,
224,Wandering Reflector,0.188,,,+59%
225,Glassy Retina,0.0,,,+50%
226,Focused Reflector,0.18,,+16%,+55%
227,Glassy Iris,0.912,+53%,+19%,
228,Glassy Pupil,0.167,+36%,+19%,
229,Focused Projector,0.042,,,+52%
230,Fixated Iris,0.0,,+16%,
231,Fixated Lens,0.167,,,+58%
232,Glassy Cornea,0.368,+50%,,
233,Wandering Iris,0.167,,+17%,
234,Restless Reflector,0.318,,+19%,+55%
235,Glassy Cornea,0.053,+38%,,
236,Restless Aperture,0.021,,,+51%
237,Fixated Retina,0.25,,,+62%
238,Fixated Fluids,0.046,,+17%,+50%
239,Restless Pupil,0.167,,,+58%
240,Fixated Pupil,0.417,,,+70%
241,Focused Cornea,0.0,,+16%,
242,Fixated Projector,0.0,,+16%,
243,Restless Projector,0.396,,,+69%
244,Wandering Pupil,0.0,,+16%,
245,Restless Projector,0.263,+46%,,
246,Wandering Aperture,0.479,,,+73%
247,Focused Pupil,0.406,+44%,+17%,
248,Glassy Cornea,0.323,,+16%,+59%
249,Fixated Reflector,0.5,+55%,,
250,Glassy Reflector,0.116,+36%,,+55%
251,Focused Cornea,0.062,,,+53%
252,Restless Iris,0.125,,,+56%
253,Wandering Retina,0.155,+37%,+18%,
254,Fixated Aperture,0.026,+37%,,
255,Restless Pupil,0.093,+38%,,+52%
256,Glassy Retina,0.0,+36%,+16%,
257,Glassy Pupil,0.0,,+16%,
258,Focused Reflector,0.354,,,+67%
259,Fixated Reflector,0.0,+36%,,+50%
260,Fixated Reflector,0.053,+38%,,
261,Glassy Lens,0.5,,+19%,
262,Glassy Cornea,0.0,,,+50%
263,Fixated Iris,0.187,+43%,,+51%
264,Glassy Cornea,0.438,,,+71%
265,Restless Mirror,0.319,+42%,+17%,
266,Glassy Reflector,0.209,+38%,,+57%
267,Wandering Lens,0.0,,+16%,
268,Glassy Mirror,0.237,+45%,,
269,Restless Iris,0.558,+47%,,+63%
270,Fixated Aperture,0.0,,+16%,
271,Glassy Fluids,0.0,,+16%,
272,Fixated Mirror,0.292,,,+64%
273,Fixated Lens,0.162,+36%,,+57%
274,Fixated Projector,0.333,,+18%,
275,Restless Projector,0.105,+40%,,
276,Restless Retina,0.594,+47%,+18%,
277,Wandering Mirror,0.062,,,+53%
278,Restless Lens,0.132,+39%,+16%,
279,Focused Aperture,0.237,+45%,,
280,Wandering Cornea,0.263,+42%,+16%,
281,Restless Fluids,0.395,+45%,+16%,
282,Glassy Fluids,0.118,,+17%,+52%
283,Glassy Retina,0.474,+54%,,
284,Glassy Fluids,0.0,+36%,,
285,Fixated Aperture,0.053,+38%,,
286,Glassy Reflector,0.125,,,+56%
287,Glassy Projector,0.333,,+18%,
288,Glassy Pupil,0.026,+37%,,
289,Fixated Pupil,0.211,+44%,,
290,Wandering Iris,0.0,,+16%,
291,Restless Iris,0.132,+41%,,
292,Wandering Pupil,0.318,,+19%,+55%
293,Restless Reflector,0.099,+37%,+17%,
294,Wandering Iris,0.372,+43%,,+59%
295,Wandering Iris,0.627,+45%,,+68%
296,Glassy Mirror,0.444,+55%,,+50%
297,Restless Cornea,0.023,+37%,,+50%
298,Wandering Pupil,0.125,,,+56%
299,Restless Aperture,0.0,,+16%,
300,Focused Aperture,0.0,+36%,,+50%
301,Fixated Reflector,0.868,+52%,+19%,
302,Focused Retina,0.702,+52%,+16%,
303,Focused Lens,0.0,,+16%,
304,Fixated Aperture,0.5,,+19%,
305,Restless Mirror,0.021,,,+51%
306,Restless Retina,0.368,+50%,,
307,Restless Mirror,0.569,,+19%,+62%
308,Fixated Pupil,0.167,,+17%,
309,Focused Pupil,0.0,,+16%,
310,Wandering Cornea,0.083,,,+54%
311,Wandering Fluids,0.0,+36%,,
312,Focused Fluids,0.158,+42%,,
313,Glassy Reflector,0.079,+39%,,
314,Focused Cornea,0.316,+48%,,
315,Restless Fluids,0.0,+36%,,
316,Focused Retina,0.536,+52%,,+57%
317,Glassy Retina,0.557,+40%,,+70%
318,Wandering Cornea,0.211,+44%,,
319,Glassy Projector,0.143,+38%,+17%,
320,Wandering Iris,0.042,,,+52%
321,Glassy Cornea,0.117,+40%,,+51%
322,Wandering Pupil,0.104,,,+55%
323,Restless Fluids,0.044,+37%,+16%,
324,Wandering Iris,0.421,+52%,,
325,Focused Iris,0.163,+42%,,+51%
326,Focused Mirror,0.167,,+17%,
327,Restless Lens,0.42,+50%,,+54%
328,Fixated Reflector,0.167,,+17%,
329,Fixated Mirror,0.021,,,+51%
330,Focused Mirror,0.0,,,+50%
331,Restless Aperture,0.167,,,+58%
332,Fixated Iris,0.167,,+17%,
333,Fixated Aperture,0.5,,+19%,
334,Glassy Cornea,0.167,,+17%,
335,Focused Projector,0.275,+41%,+17%,
336,Restless Cornea,0.263,+46%,,
337,Focused Pupil,0.333,,+18%,
338,Wandering Pupil,0.167,,+17%,
339,Glassy Iris,0.396,,,+69%
340,Restless Reflector,0.023,+37%,,+50%
341,Wandering Pupil,0.062,,,+53%
342,Restless Fluids,0.594,+47%,+18%,
343,Fixated Reflector,0.0,,+16%,
344,Fixated Lens,0.421,+52%,,+52%
345,Restless Fluids,0.0,+36%,,
346,Restless Mirror,0.526,+48%,+16%,
347,Fixated Reflector,0.0,+36%,,
348,Fixated Pupil,0.467,,+16%,+63%
349,Glassy Projector,0.856,,+19%,+70%
350,Focused Lens,0.036,,+16%,+51%
351,Focused Iris,0.167,,+17%,
352,Fixated Mirror,0.0,,+16%,
353,Fixated Reflector,0.167,,+17%,
354,Fixated Fluids,0.083,,,+54%
355,Restless Lens,0.405,,+17%,+60%
356,Restless Aperture,0.271,,,+63%
357,Wandering Fluids,0.105,+40%,,
358,Glassy Iris,0.0,,+16%,
359,Glassy Aperture,0.167,,+17%,
360,Fixated Retina,0.083,,,+54%
361,Glassy Iris,0.278,+37%,,+61%
362,Restless Fluids,0.208,,,+60%
363,Glassy Lens,0.164,,+18%,+52%
364,Fixated Reflector,0.774,,+18%,+69%
365,Restless Retina,0.289,+47%,,
366,Glassy Projector,0.128,,+18%,+51%
367,Wandering Aperture,0.0,,+16%,
368,Fixated Reflector,0.5,,+19%,
369,Wandering Iris,0.0,,+16%,
370,Focused Cornea,0.35,+49%,,+52%
371,Wandering Lens,0.5,+55%,,
372,Focused Cornea,0.421,+52%,,
373,Restless Retina,0.117,+40%,,+51%
374,Wandering Cornea,0.0,,+16%,
375,Focused Projector,0.125,,,+56%
376,Restless Lens,0.167,,+17%,
377,Wandering Lens,0.0,+36%,,+50%
378,Glassy Cornea,0.0,,,+50%
379,Glassy Iris,0.438,,,+71%
380,Restless Projector,0.0,,,+50%
381,Wandering Cornea,0.125,,,+56%
382,Wandering Mirror,0.104,,,+55%
383,Glassy Cornea,0.167,,+17%,
384,Glassy Projector,0.0,,+16%,
385,Glassy Retina,0.333,,+18%,
386,Restless Projector,0.138,,+19%,+50%
387,Fixated Pupil,0.438,,,+71%
388,Fixated Iris,0.0,,,+50%
389,Focused Reflector,0.292,,,+64%
390,Glassy Reflector,0.0,,+16%,
391,Fixated Cornea,0.146,,,+57%
392,Wandering Cornea,0.354,,,+67%
393,Fixated Iris,0.333,,+18%,
394,Glassy Cornea,0.833,+55%,+16%,
395,Fixated Aperture,0.333,,+18%,
396,Glassy Fluids,0.0,,+16%,
397,Fixated Lens,0.2,,+18%,+53%
398,Glassy Pupil,0.167,,+17%,
399,Restless Fluids,0.856,,+19%,+70%
400,Restless Aperture,0.088,+38%,+16%,
401,Restless Aperture,0.33,+41%,+18%,
402,Fixated Cornea,0.0,,,+50%
403,Glassy Retina,0.229,,,+61%
404,Glassy Retina,0.0,,+16%,
405,Restless Retina,0.105,+40%,,
406,Restless Projector,0.167,,+17%,
407,Restless Cornea,0.395,+51%,,
408,Wandering Mirror,0.5,,+19%,
409,Fixated Reflector,0.746,+53%,+16%,
410,Focused Aperture,0.046,,+17%,+50%
411,Restless Iris,0.354,,,+67%
412,Wandering Fluids,0.333,,,+66%
413,Fixated Reflector,0.167,,+17%,
414,Focused Fluids,0.889,+55%,+17%,
415,Glassy Retina,0.333,,+18%,
416,Fixated Fluids,0.234,+46%,,+50%
417,Fixated Mirror,0.261,,+17%,+56%
418,Wandering Retina,0.342,+49%,,
419,Fixated Pupil,0.167,,+17%,
420,Restless Projector,0.944,+55%,+18%,
421,Glassy Iris,0.188,,,+59%
422,Glassy Reflector,0.138,,+19%,+50%
423,Wandering Mirror,0.175,+40%,+16%,
424,Glassy Lens,0.104,,,+55%
425,Restless Projector,0.482,+47%,+16%,
426,Restless Reflector,0.333,,,+66%
427,Focused Iris,0.737,+49%,+19%,
428,Glassy Cornea,0.07,+39%,,+50%
429,Fixated Retina,0.0,+36%,,
430,Glassy Cornea,0.316,+48%,,
431,Wandering Retina,0.333,,+18%,
432,Restless Pupil,0.104,,,+55%
433,Restless Fluids,0.188,,,+59%
434,Wandering Lens,0.549,,+17%,+64%
435,Fixated Projector,0.474,+54%,,
436,Fixated Reflector,0.053,+38%,,
437,Fixated Fluids,0.395,+51%,,
438,Glassy Projector,0.35,+47%,,+54%
439,Focused Pupil,0.0,,+16%,
440,Wandering Projector,0.062,,,+53%
441,Restless Cornea,0.494,+46%,+17%,
442,Restless Iris,0.718,,+16%,+70%
443,Wandering Reflector,0.0,+36%,,
444,Focused Iris,0.333,,+18%,
445,Focused Cornea,0.0,,+16%,
446,Restless Cornea,0.167,,+17%,
447,Restless Aperture,0.0,,+16%,
448,Glassy Cornea,0.396,,,+69%
449,Wandering Projector,0.167,,+17%,
450,Restless Retina,0.0,,+16%,
451,Focused Reflector,0.354,,,+67%
452,Wandering Fluids,0.14,+42%,,+50%
453,Focused Fluids,0.146,,,+57%
454,Wandering Retina,0.5,,+19%,
455,Glassy Aperture,0.368,+50%,,
456,Restless Lens,0.833,+55%,+16%,
457,Restless Projector,0.271,,,+63%
458,Fixated Projector,0.702,+52%,+16%,
459,Focused Cornea,0.229,,,+61%
460,Wandering Pupil,0.312,,,+65%
461,Glassy Pupil,0.211,+44%,,
462,Wandering Iris,0.333,,+18%,
463,Focused Fluids,0.026,+37%,,
464,Glassy Iris,0.079,+39%,,
465,Focused Reflector,0.026,+37%,,
466,Wandering Pupil,0.33,+41%,+18%,
467,Focused Lens,0.5,,+19%,
468,Glassy Iris,0.0,+36%,,
469,Fixated Lens,0.0,+36%,,
470,Focused Pupil,0.324,+36%,,+64%
471,Fixated Projector,0.918,,+18%,+73%
472,Glassy Mirror,0.395,+51%,,
473,Glassy Mirror,0.0,,+16%,
474,Fixated Aperture,0.0,,+16%,
475,Fixated Cornea,0.595,,+18%,+64%
476,Glassy Projector,0.0,,+16%,
477,Focused Fluids,0.281,+48%,,+50%
478,Focused Pupil,0.0,,+16%,
479,Restless Cornea,0.208,,,+60%
480,Wandering Fluids,0.0,+36%,,
481,Fixated Lens,0.0,+36%,,
482,Fixated Reflector,0.5,,+19%,
483,Restless Iris,0.167,,+17%,
484,Glassy Iris,0.042,,,+52%
485,Fixated Projector,0.374,+51%,,+51%
486,Fixated Lens,0.5,,+19%,
487,Wandering Lens,0.026,+37%,,
488,Glassy Fluids,0.333,,+18%,
489,Focused Mirror,0.132,+39%,+16%,
490,Fixated Pupil,0.421,+52%,,
491,Focused Aperture,0.398,+53%,,+50%
492,Wandering Aperture,0.167,+36%,+19%,
493,Glassy Projector,0.164,,+18%,+52%
494,Fixated Cornea,0.167,,+17%,
495,Fixated Fluids,0.158,+42%,,
496,Glassy Aperture,0.021,,,+51%
497,Focused Mirror,0.5,,+19%,
498,Focused Cornea,0.023,+37%,,+50%
499,Focused Pupil,0.144,,+16%,+54%
500,Glassy Retina,0.316,+48%,,
501,Glassy Iris,0.5,,+19%,
502,Glassy Retina,0.132,+41%,,
503,Fixated Aperture,0.125,,,+56%
504,Fixated Lens,0.021,,,+51%
505,Restless Reflector,0.026,+37%,,
506,Focused Projector,0.132,+41%,,
507,Restless Cornea,0.216,,+16%,+56%
508,Wandering Reflector,0.167,,+17%,
509,Glassy Lens,0.333,,+18%,
510,Focused Lens,0.243,+39%,+18%,
511,Focused Projector,0.0,+36%,,
512,Fixated Iris,0.0,,,+50%
513,Glassy Retina,0.45,+45%,+17%,
514,Wandering Projector,0.5,,,+74%
515,Focused Mirror,0.079,+39%,,
516,Glassy Aperture,0.047,+37%,,+51%
517,Restless Projector,0.0,+36%,,
518,Wandering Pupil,0.35,+48%,,+53%
519,Fixated Cornea,0.079,+39%,,
520,Fixated Iris,0.458,,,+72%
521,Restless Pupil,0.438,,,+71%
522,Fixated Lens,0.0,+36%,,
523,Restless Pupil,0.263,+42%,+16%,
524,Restless Iris,0.146,,,+57%
525,Wandering Fluids,0.25,,,+62%
526,Focused Retina,0.0,+36%,,
527,Focused Aperture,0.5,+55%,,
528,Wandering Projector,0.229,,,+61%
529,Fixated Iris,0.25,,,+62%
530,Glassy Pupil,0.395,+51%,,
531,Restless Cornea,0.138,,+19%,+50%
532,Restless Reflector,0.167,,+17%,
533,Focused Pupil,0.0,,+16%,
534,Focused Fluids,0.0,,,+50%
535,Glassy Aperture,0.184,+43%,,
536,Focused Retina,0.158,+42%,,
537,Wandering Fluids,0.0,,+16%,
538,Fixated Mirror,0.056,+36%,+17%,
539,Restless Retina,0.255,+36%,,+61%
540,Wandering Reflector,0.0,,,+50%
541,Restless Lens,0.944,+55%,+18%,
542,Wandering Cornea,0.092,,+18%,+50%
543,Restless Pupil,0.056,+36%,+17%,
544,Wandering Fluids,0.292,,,+64%
545,Glassy Retina,0.0,,,+50%
546,Glassy Iris,0.216,,+16%,+56%
547,Restless Pupil,0.882,,+18%,+72%
548,Wandering Pupil,0.417,,,+70%
549,Glassy Aperture,0.333,,,+66%
550,Wandering Cornea,0.0,,+16%,
551,Restless Fluids,0.5,,+19%,
552,Fixated Retina,0.208,,,+60%
553,Glassy Retina,0.254,+38%,+19%,
554,Fixated Projector,0.0,,+16%,
555,Restless Iris,0.333,,+18%,
556,Focused Iris,0.079,+39%,,
557,Focused Fluids,0.0,,,+50%
558,Fixated Lens,0.105,+40%,,
559,Restless Lens,0.737,+49%,+19%,
560,Glassy Iris,0.116,+39%,,+52%
561,Glassy Fluids,0.044,+37%,+16%,
562,Glassy Aperture,0.062,,,+53%
563,Restless Lens,0.046,+36%,,+52%
564,Wandering Projector,0.132,+41%,,
565,Focused Cornea,0.167,,+17%,
566,Focused Mirror,0.146,,,+57%
567,Wandering Iris,0.233,+41%,,+55%
568,Glassy Mirror,0.872,,+17%,+73%
569,Fixated Mirror,0.272,,+18%,+55%
570,Fixated Retina,0.25,,,+62%
571,Glassy Retina,0.271,,,+63%
572,Restless Retina,0.316,+48%,,
573,Focused Cornea,0.25,,,+62%
574,Glassy Iris,0.353,,+19%,+56%
575,Fixated Cornea,0.0,,+16%,
576,Fixated Retina,0.323,,+16%,+59%
577,Glassy Retina,0.0,,,+50%
578,Fixated Aperture,0.333,,,+66%
579,Wandering Aperture,0.386,+41%,+19%,
580,Focused Iris,0.167,,+17%,
581,Glassy Cornea,0.164,+43%,,+50%
582,Fixated Projector,0.333,,+18%,
583,Focused Projector,0.713,+51%,+17%,
584,Focused Aperture,0.0,,,+50%
585,Focused Aperture,0.104,,,+55%
586,Wandering Projector,0.307,,+18%,+56%
587,Focused Projector,0.044,+37%,+16%,
588,Focused Mirror,0.5,+55%,,
589,Focused Lens,0.167,,,+58%
590,Glassy Mirror,0.053,+38%,,
591,Wandering Retina,0.026,+37%,,
592,Wandering Pupil,0.158,+42%,,
593,Glassy Fluids,0.0,,+16%,
594,Wandering Lens,0.0,+36%,,
595,Focused Pupil,0.298,+39%,+19%,
596,Glassy Retina,0.186,+38%,,+56%
597,Wandering Retina,0.487,+39%,,+68%
598,Glassy Fluids,0.737,+49%,+19%,
599,Glassy Fluids,0.167,,+17%,
600,Focused Retina,0.251,,+16%,+57%
601,Focused Fluids,0.021,,,+51%
602,Fixated Reflector,0.209,+37%,,+58%
603,Glassy Iris,0.333,,+18%,
604,Fixated Lens,0.421,+52%,,
605,Wandering Reflector,0.44,+38%,,+67%
606,Glassy Reflector,0.125,,,+56%
607,Glassy Fluids,0.325,+39%,,+61%
608,Fixated Projector,0.673,+41%,,+74%
609,Focused Mirror,0.0,+36%,,
610,Wandering Projector,0.333,,+18%,
611,Focused Aperture,0.062,,,+53%
612,Glassy Fluids,0.053,+38%,,
613,Focused Fluids,0.146,,,+57%
614,Fixated Retina,0.167,,,+58%
615,Focused Retina,0.237,+45%,,
616,Wandering Retina,0.139,+36%,,+56%
617,Glassy Aperture,0.07,+38%,,+51%
618,Focused Mirror,0.211,+44%,,
619,Restless Fluids,0.164,+43%,,+50%
620,Wandering Cornea,0.425,,+19%,+58%
621,Fixated Pupil,0.167,+36%,+19%,
622,Wandering Cornea,0.237,+45%,,
623,Fixated Aperture,0.372,+41%,,+61%
624,Wandering Lens,0.354,,,+67%
625,Fixated Cornea,0.557,+40%,,+70%
626,Focused Pupil,0.236,,+18%,+54%
627,Fixated Cornea,0.0,,+16%,
628,Restless Cornea,0.0,,+16%,
629,Glassy Retina,0.079,+39%,,
630,Glassy Projector,0.146,,,+57%
631,Glassy Fluids,0.395,+51%,,
632,Focused Cornea,0.0,,+16%,+50%
633,Restless Fluids,0.25,,,+62%
634,Focused Fluids,0.0,,+16%,
635,Restless Cornea,0.658,+51%,+16%,
636,Focused Mirror,0.509,+36%,,+72%
637,Restless Reflector,0.158,+42%,,
638,Restless Fluids,0.237,+45%,,
639,Glassy Reflector,0.5,,+19%,
640,Fixated Aperture,0.25,,,+62%
641,Glassy Fluids,0.104,,,+55%
642,Wandering Fluids,0.333,,+18%,
643,Wandering Pupil,0.333,,+18%,
644,Focused Projector,0.083,,,+54%
645,Wandering Projector,0.487,+39%,,+68%
646,Wandering Iris,0.368,+50%,,
647,Glassy Pupil,0.0,,+16%,
648,Fixated Cornea,0.417,,,+70%
649,Focused Cornea,0.108,,+16%,+53%
650,Fixated Reflector,0.396,,,+69%
651,Glassy Fluids,0.021,,,+51%
652,Glassy Reflector,0.25,,,+62%
653,Fixated Projector,0.702,+52%,+16%,
654,Glassy Lens,0.079,+39%,,
