Seed,Name,Perfection,Ship_Launcher_TakeOffCost
109,Invisible Nodules,0.25,-17%
110,Thinking Clusters,1.0,-20%
111,Prismatic Lobes,1.0,-20%
112,Dripping Jelly,1.0,-20%
113,Inverted Coils,1.0,-20%
114,Prismatic Clusters,0.75,-19%
115,Dripping Clusters,0.5,-18%
116,Dripping Brain Node,0.75,-19%
117,Inverted Clusters,1.0,-20%
118,Dripping Brain Node,0.75,-19%
119,Invisible Coils,0.25,-17%
120,Dripping Brain Node,0.0,-16%
121,Dripping Brain Node,1.0,-20%
122,Dripping Coils,1.0,-20%
123,Invisible Brain Node,0.75,-19%
124,Prismatic Coils,1.0,-20%
125,Thinking Tendril,1.0,-20%
126,Prismatic Lobes,1.0,-20%
127,Dripping Nodules,1.0,-20%
128,Invisible Tendril,1.0,-20%
129,Inverted Tendril,0.75,-19%
130,Inverted Brain Node,0.25,-17%
131,Invisible Jelly,1.0,-20%
132,Invisible Brain Node,1.0,-20%
133,Prismatic Brain Node,1.0,-20%
134,Dripping Membrane,1.0,-20%
135,Thinking Tendril,1.0,-20%
136,Dripping Clusters,0.75,-19%
137,Invisible Tendril,1.0,-20%
138,Dripping Brain Node,0.25,-17%
139,Invisible Membrane,1.0,-20%
140,Dripping Lobes,1.0,-20%
141,Prismatic Bio-Anomaly,1.0,-20%
142,Dripping Lobes,1.0,-20%
143,Inverted Clusters,1.0,-20%
144,Invisible Tendril,1.0,-20%
145,Inverted Nodules,0.75,-19%
146,Thinking Brain Node,0.0,-16%
147,Invisible Coils,1.0,-20%
148,Inverted Jelly,0.0,-16%
149,Prismatic Membrane,0.5,-18%
150,Inverted Brain Node,1.0,-20%
151,Prismatic Membrane,1.0,-20%
152,Prismatic Jelly,0.0,-16%
153,Inverted Bio-Anomaly,0.5,-18%
154,Inverted Brain Node,0.0,-16%
155,Thinking Brain Node,1.0,-20%
156,Prismatic Coils,1.0,-20%
157,Invisible Brain Node,1.0,-20%
158,Prismatic Bio-Anomaly,1.0,-20%
159,Invisible Jelly,1.0,-20%
160,Prismatic Jelly,1.0,-20%
161,Prismatic Coils,1.0,-20%
162,Prismatic Clusters,0.25,-17%
163,Dripping Brain Node,1.0,-20%
164,Inverted Jelly,1.0,-20%
165,Invisible Coils,0.75,-19%
166,Invisible Clusters,1.0,-20%
167,Dripping Bio-Anomaly,0.75,-19%
168,Dripping Lobes,1.0,-20%
169,Inverted Tendril,1.0,-20%
170,Thinking Nodules,1.0,-20%
171,Thinking Lobes,1.0,-20%
172,Prismatic Nodules,1.0,-20%
173,Dripping Tendril,1.0,-20%
174,Prismatic Brain Node,0.0,-16%
175,Invisible Clusters,1.0,-20%
176,Inverted Lobes,0.5,-18%
177,Dripping Brain Node,1.0,-20%
178,Thinking Lobes,1.0,-20%
179,Invisible Tendril,0.0,-16%
180,Inverted Nodules,1.0,-20%
181,Thinking Tendril,1.0,-20%
182,Thinking Coils,0.25,-17%
183,Invisible Membrane,1.0,-20%
184,Inverted Coils,1.0,-20%
185,Inverted Brain Node,1.0,-20%
186,Prismatic Membrane,0.0,-16%
187,Inverted Lobes,0.75,-19%
188,Thinking Coils,1.0,-20%
189,Dripping Nodules,0.25,-17%
190,Thinking Nodules,1.0,-20%
191,Thinking Brain Node,0.75,-19%
192,Thinking Bio-Anomaly,1.0,-20%
193,Prismatic Coils,1.0,-20%
194,Inverted Bio-Anomaly,0.75,-19%
195,Dripping Lobes,0.75,-19%
196,Invisible Lobes,0.0,-16%
197,Thinking Brain Node,0.75,-19%
198,Thinking Jelly,1.0,-20%
199,Inverted Nodules,0.75,-19%
200,Thinking Brain Node,1.0,-20%
201,Thinking Brain Node,1.0,-20%
202,Invisible Brain Node,1.0,-20%
203,Thinking Nodules,1.0,-20%
204,Thinking Coils,0.0,-16%
205,Dripping Tendril,0.25,-17%
206,Invisible Nodules,1.0,-20%
207,Prismatic Jelly,1.0,-20%
208,Thinking Brain Node,1.0,-20%
209,Invisible Tendril,0.5,-18%
210,Invisible Brain Node,1.0,-20%
211,Invisible Coils,0.0,-16%
212,Dripping Jelly,0.0,-16%
213,Inverted Nodules,1.0,-20%
214,Thinking Brain Node,1.0,-20%
215,Inverted Tendril,1.0,-20%
216,Prismatic Bio-Anomaly,0.75,-19%
217,Thinking Lobes,1.0,-20%
218,Dripping Coils,0.5,-18%
219,Thinking Nodules,0.75,-19%
220,Invisible Membrane,0.5,-18%
221,Inverted Membrane,1.0,-20%
222,Invisible Lobes,1.0,-20%
223,Prismatic Lobes,0.25,-17%
224,Inverted Clusters,0.25,-17%
225,Dripping Nodules,1.0,-20%
226,Thinking Clusters,0.5,-18%
227,Dripping Membrane,1.0,-20%
228,Dripping Bio-Anomaly,1.0,-20%
229,Thinking Brain Node,0.75,-19%
230,Invisible Membrane,0.5,-18%
231,Invisible Brain Node,0.25,-17%
232,Dripping Jelly,1.0,-20%
233,Inverted Membrane,1.0,-20%
234,Prismatic Clusters,0.5,-18%
235,Dripping Jelly,1.0,-20%
236,Prismatic Lobes,0.75,-19%
237,Invisible Nodules,0.75,-19%
238,Invisible Coils,0.0,-16%
239,Prismatic Bio-Anomaly,0.5,-18%
240,Invisible Bio-Anomaly,0.0,-16%
241,Thinking Jelly,1.0,-20%
242,Invisible Brain Node,0.25,-17%
243,Prismatic Brain Node,0.25,-17%
244,Inverted Bio-Anomaly,0.5,-18%
245,Prismatic Brain Node,1.0,-20%
246,Inverted Lobes,1.0,-20%
247,Thinking Bio-Anomaly,1.0,-20%
248,Dripping Jelly,0.25,-17%
249,Invisible Clusters,1.0,-20%
250,Dripping Clusters,1.0,-20%
251,Thinking Jelly,1.0,-20%
252,Prismatic Membrane,0.75,-19%
253,Inverted Nodules,1.0,-20%
254,Invisible Lobes,1.0,-20%
255,Prismatic Bio-Anomaly,1.0,-20%
256,Dripping Nodules,1.0,-20%
257,Dripping Bio-Anomaly,0.5,-18%
258,Thinking Clusters,1.0,-20%
259,Invisible Clusters,1.0,-20%
260,Invisible Clusters,1.0,-20%
261,Dripping Brain Node,0.0,-16%
262,Dripping Jelly,1.0,-20%
263,Invisible Membrane,1.0,-20%
264,Dripping Jelly,1.0,-20%
265,Prismatic Tendril,1.0,-20%
266,Dripping Clusters,1.0,-20%
267,Inverted Brain Node,0.5,-18%
268,Dripping Tendril,1.0,-20%
269,Prismatic Membrane,1.0,-20%
270,Invisible Lobes,1.0,-20%
271,Dripping Coils,1.0,-20%
272,Invisible Tendril,0.75,-19%
273,Invisible Brain Node,1.0,-20%
274,Invisible Brain Node,0.5,-18%
275,Prismatic Brain Node,1.0,-20%
276,Prismatic Nodules,1.0,-20%
277,Inverted Tendril,1.0,-20%
278,Prismatic Brain Node,1.0,-20%
279,Thinking Lobes,1.0,-20%
280,Inverted Jelly,1.0,-20%
281,Prismatic Coils,1.0,-20%
282,Dripping Coils,0.0,-16%
283,Dripping Nodules,1.0,-20%
284,Dripping Coils,1.0,-20%
285,Invisible Lobes,1.0,-20%
286,Dripping Clusters,0.5,-18%
287,Dripping Brain Node,0.25,-17%
288,Dripping Bio-Anomaly,1.0,-20%
289,Invisible Bio-Anomaly,1.0,-20%
290,Inverted Membrane,1.0,-20%
291,Prismatic Membrane,1.0,-20%
292,Inverted Bio-Anomaly,0.5,-18%
293,Prismatic Clusters,1.0,-20%
294,Inverted Membrane,1.0,-20%
295,Inverted Membrane,1.0,-20%
296,Dripping Tendril,1.0,-20%
297,Prismatic Jelly,1.0,-20%
298,Inverted Bio-Anomaly,1.0,-20%
299,Prismatic Lobes,1.0,-20%
300,Thinking Lobes,1.0,-20%
301,Invisible Clusters,1.0,-20%
302,Thinking Nodules,1.0,-20%
303,Thinking Brain Node,1.0,-20%
304,Invisible Lobes,0.5,-18%
305,Prismatic Tendril,0.75,-19%
306,Prismatic Nodules,1.0,-20%
307,Prismatic Tendril,0.0,-16%
308,Invisible Bio-Anomaly,0.25,-17%
309,Thinking Bio-Anomaly,0.75,-19%
310,Inverted Jelly,1.0,-20%
311,Inverted Coils,1.0,-20%
312,Thinking Coils,1.0,-20%
313,Dripping Clusters,1.0,-20%
314,Thinking Jelly,1.0,-20%
315,Prismatic Coils,1.0,-20%
316,Thinking Nodules,1.0,-20%
317,Dripping Nodules,1.0,-20%
318,Inverted Jelly,1.0,-20%
319,Dripping Brain Node,1.0,-20%
320,Inverted Membrane,0.5,-18%
321,Dripping Jelly,1.0,-20%
322,Inverted Bio-Anomaly,1.0,-20%
323,Prismatic Coils,1.0,-20%
324,Inverted Membrane,1.0,-20%
325,Thinking Membrane,1.0,-20%
326,Thinking Tendril,1.0,-20%
327,Prismatic Brain Node,1.0,-20%
328,Invisible Clusters,1.0,-20%
329,Invisible Tendril,0.75,-19%
330,Thinking Tendril,1.0,-20%
331,Prismatic Lobes,0.5,-18%
332,Invisible Membrane,1.0,-20%
333,Invisible Lobes,1.0,-20%
334,Dripping Jelly,0.25,-17%
335,Thinking Brain Node,1.0,-20%
336,Prismatic Jelly,1.0,-20%
337,Thinking Bio-Anomaly,1.0,-20%
338,Inverted Bio-Anomaly,0.5,-18%
339,Dripping Membrane,1.0,-20%
340,Prismatic Clusters,1.0,-20%
341,Inverted Bio-Anomaly,0.25,-17%
342,Prismatic Coils,1.0,-20%
343,Invisible Clusters,1.0,-20%
344,Invisible Brain Node,1.0,-20%
345,Prismatic Coils,1.0,-20%
346,Prismatic Tendril,1.0,-20%
347,Invisible Clusters,1.0,-20%
348,Invisible Bio-Anomaly,0.75,-19%
349,Dripping Brain Node,0.0,-16%
350,Thinking Brain Node,0.75,-19%
351,Thinking Membrane,0.25,-17%
352,Invisible Tendril,1.0,-20%
353,Invisible Clusters,1.0,-20%
354,Invisible Coils,0.5,-18%
355,Prismatic Brain Node,0.75,-19%
356,Prismatic Lobes,0.75,-19%
357,Inverted Coils,1.0,-20%
358,Dripping Membrane,0.75,-19%
359,Dripping Lobes,1.0,-20%
360,Invisible Nodules,1.0,-20%
361,Dripping Membrane,1.0,-20%
362,Prismatic Coils,1.0,-20%
363,Dripping Brain Node,0.75,-19%
364,Invisible Clusters,0.75,-19%
365,Prismatic Nodules,1.0,-20%
366,Dripping Brain Node,0.75,-19%
367,Inverted Lobes,1.0,-20%
368,Invisible Clusters,1.0,-20%
369,Inverted Membrane,1.0,-20%
370,Thinking Jelly,1.0,-20%
371,Inverted Brain Node,1.0,-20%
372,Thinking Jelly,1.0,-20%
373,Prismatic Nodules,1.0,-20%
374,Inverted Jelly,0.5,-18%
375,Thinking Brain Node,0.25,-17%
376,Prismatic Brain Node,1.0,-20%
377,Inverted Brain Node,1.0,-20%
378,Dripping Jelly,0.0,-16%
379,Dripping Membrane,0.25,-17%
380,Prismatic Brain Node,1.0,-20%
381,Inverted Jelly,0.25,-17%
382,Inverted Tendril,0.0,-16%
383,Dripping Jelly,1.0,-20%
384,Dripping Brain Node,1.0,-20%
385,Dripping Nodules,1.0,-20%
386,Prismatic Brain Node,0.5,-18%
387,Invisible Bio-Anomaly,0.0,-16%
388,Invisible Membrane,0.75,-19%
389,Thinking Clusters,0.75,-19%
390,Dripping Clusters,1.0,-20%
391,Invisible Jelly,1.0,-20%
392,Inverted Jelly,0.75,-19%
393,Invisible Membrane,0.25,-17%
394,Dripping Jelly,1.0,-20%
395,Invisible Lobes,0.25,-17%
396,Dripping Coils,0.5,-18%
397,Invisible Brain Node,0.5,-18%
398,Dripping Bio-Anomaly,0.75,-19%
399,Prismatic Coils,0.5,-18%
400,Prismatic Lobes,1.0,-20%
401,Prismatic Lobes,1.0,-20%
402,Invisible Jelly,0.5,-18%
403,Dripping Nodules,0.75,-19%
404,Dripping Nodules,0.0,-16%
405,Prismatic Nodules,1.0,-20%
406,Prismatic Brain Node,1.0,-20%
407,Prismatic Jelly,1.0,-20%
408,Inverted Tendril,1.0,-20%
409,Invisible Clusters,1.0,-20%
410,Thinking Lobes,0.75,-19%
411,Prismatic Membrane,1.0,-20%
412,Inverted Coils,0.75,-19%
413,Invisible Clusters,0.5,-18%
414,Thinking Coils,1.0,-20%
415,Dripping Nodules,1.0,-20%
416,Invisible Coils,1.0,-20%
417,Invisible Tendril,0.75,-19%
418,Inverted Nodules,1.0,-20%
419,Invisible Bio-Anomaly,1.0,-20%
420,Prismatic Brain Node,1.0,-20%
421,Dripping Membrane,1.0,-20%
422,Dripping Clusters,0.25,-17%
423,Inverted Tendril,1.0,-20%
424,Dripping Brain Node,0.0,-16%
425,Prismatic Brain Node,1.0,-20%
426,Prismatic Clusters,0.75,-19%
427,Thinking Membrane,1.0,-20%
428,Dripping Jelly,1.0,-20%
429,Invisible Nodules,1.0,-20%
430,Dripping Jelly,1.0,-20%
431,Inverted Nodules,0.75,-19%
432,Prismatic Bio-Anomaly,0.25,-17%
433,Prismatic Coils,1.0,-20%
434,Inverted Brain Node,0.0,-16%
435,Invisible Brain Node,1.0,-20%
436,Invisible Clusters,1.0,-20%
437,Invisible Coils,1.0,-20%
438,Dripping Brain Node,1.0,-20%
439,Thinking Bio-Anomaly,0.75,-19%
440,Inverted Brain Node,0.5,-18%
441,Prismatic Jelly,1.0,-20%
442,Prismatic Membrane,0.75,-19%
443,Inverted Clusters,1.0,-20%
444,Thinking Membrane,0.5,-18%
445,Thinking Jelly,1.0,-20%
446,Prismatic Jelly,1.0,-20%
447,Prismatic Lobes,1.0,-20%
448,Dripping Jelly,1.0,-20%
449,Inverted Brain Node,1.0,-20%
450,Prismatic Nodules,0.25,-17%
451,Thinking Clusters,0.5,-18%
452,Inverted Coils,1.0,-20%
453,Thinking Coils,0.75,-19%
454,Inverted Nodules,0.75,-19%
455,Dripping Lobes,1.0,-20%
456,Prismatic Brain Node,1.0,-20%
457,Prismatic Brain Node,1.0,-20%
458,Invisible Brain Node,1.0,-20%
459,Thinking Jelly,1.0,-20%
460,Inverted Bio-Anomaly,0.75,-19%
461,Dripping Bio-Anomaly,1.0,-20%
462,Inverted Membrane,1.0,-20%
463,Thinking Coils,1.0,-20%
464,Dripping Membrane,1.0,-20%
465,Thinking Clusters,1.0,-20%
466,Inverted Bio-Anomaly,1.0,-20%
467,Thinking Brain Node,0.25,-17%
468,Dripping Membrane,1.0,-20%
469,Invisible Brain Node,1.0,-20%
470,Thinking Bio-Anomaly,1.0,-20%
471,Invisible Brain Node,0.75,-19%
472,Dripping Tendril,1.0,-20%
473,Dripping Tendril,1.0,-20%
474,Invisible Lobes,0.75,-19%
475,Invisible Jelly,0.25,-17%
476,Dripping Brain Node,1.0,-20%
477,Thinking Coils,1.0,-20%
478,Thinking Bio-Anomaly,1.0,-20%
479,Prismatic Jelly,1.0,-20%
480,Inverted Coils,1.0,-20%
481,Invisible Brain Node,1.0,-20%
482,Invisible Clusters,0.25,-17%
483,Prismatic Membrane,0.75,-19%
484,Dripping Membrane,1.0,-20%
485,Invisible Brain Node,1.0,-20%
486,Invisible Brain Node,0.75,-19%
487,Inverted Brain Node,1.0,-20%
488,Dripping Coils,1.0,-20%
489,Thinking Tendril,1.0,-20%
490,Invisible Bio-Anomaly,1.0,-20%
491,Thinking Lobes,1.0,-20%
492,Inverted Lobes,1.0,-20%
493,Dripping Brain Node,0.25,-17%
494,Invisible Jelly,1.0,-20%
495,Invisible Coils,1.0,-20%
496,Dripping Lobes,1.0,-20%
497,Thinking Tendril,0.75,-19%
498,Thinking Jelly,1.0,-20%
499,Thinking Bio-Anomaly,0.75,-19%
500,Dripping Nodules,1.0,-20%
501,Dripping Membrane,1.0,-20%
502,Dripping Nodules,1.0,-20%
503,Invisible Lobes,1.0,-20%
504,Invisible Brain Node,1.0,-20%
505,Prismatic Clusters,1.0,-20%
506,Thinking Brain Node,1.0,-20%
507,Prismatic Jelly,0.0,-16%
508,Inverted Clusters,1.0,-20%
509,Dripping Brain Node,0.75,-19%
510,Thinking Brain Node,1.0,-20%
511,Thinking Brain Node,1.0,-20%
512,Invisible Membrane,0.25,-17%
513,Dripping Nodules,1.0,-20%
514,Inverted Brain Node,0.0,-16%
515,Thinking Tendril,1.0,-20%
516,Dripping Lobes,1.0,-20%
517,Prismatic Brain Node,1.0,-20%
518,Inverted Bio-Anomaly,1.0,-20%
519,Invisible Jelly,1.0,-20%
520,Invisible Membrane,0.0,-16%
521,Prismatic Bio-Anomaly,1.0,-20%
522,Invisible Brain Node,1.0,-20%
523,Prismatic Bio-Anomaly,1.0,-20%
524,Prismatic Membrane,1.0,-20%
525,Inverted Coils,0.25,-17%
526,Thinking Nodules,1.0,-20%
527,Thinking Lobes,1.0,-20%
528,Inverted Brain Node,1.0,-20%
529,Invisible Membrane,0.5,-18%
530,Dripping Bio-Anomaly,1.0,-20%
531,Prismatic Jelly,0.5,-18%
532,Prismatic Clusters,0.75,-19%
533,Thinking Bio-Anomaly,1.0,-20%
534,Thinking Coils,0.75,-19%
535,Dripping Lobes,1.0,-20%
536,Thinking Nodules,1.0,-20%
537,Inverted Coils,0.75,-19%
538,Invisible Tendril,1.0,-20%
539,Prismatic Nodules,1.0,-20%
540,Inverted Clusters,1.0,-20%
541,Prismatic Brain Node,1.0,-20%
542,Inverted Jelly,0.75,-19%
543,Prismatic Bio-Anomaly,1.0,-20%
544,Inverted Coils,0.75,-19%
545,Dripping Nodules,0.0,-16%
546,Dripping Membrane,0.0,-16%
547,Prismatic Bio-Anomaly,0.0,-16%
548,Inverted Bio-Anomaly,1.0,-20%
549,Dripping Lobes,1.0,-20%
550,Inverted Jelly,0.25,-17%
551,Prismatic Coils,0.25,-17%
552,Invisible Nodules,0.5,-18%
553,Dripping Nodules,1.0,-20%
554,Invisible Brain Node,1.0,-20%
555,Prismatic Membrane,1.0,-20%
556,Thinking Membrane,1.0,-20%
557,Thinking Coils,0.0,-16%
558,Invisible Brain Node,1.0,-20%
559,Prismatic Brain Node,1.0,-20%
560,Dripping Membrane,1.0,-20%
561,Dripping Coils,1.0,-20%
562,Dripping Lobes,1.0,-20%
563,Prismatic Brain Node,1.0,-20%
564,Inverted Brain Node,1.0,-20%
565,Thinking Jelly,0.25,-17%
566,Thinking Tendril,1.0,-20%
567,Inverted Membrane,1.0,-20%
568,Dripping Tendril,1.0,-20%
569,Invisible Tendril,0.5,-18%
570,Invisible Nodules,0.25,-17%
571,Dripping Nodules,1.0,-20%
572,Prismatic Nodules,1.0,-20%
573,Thinking Jelly,1.0,-20%
574,Dripping Membrane,0.5,-18%
575,Invisible Jelly,0.75,-19%
576,Invisible Nodules,0.75,-19%
577,Dripping Nodules,1.0,-20%
578,Invisible Lobes,1.0,-20%
579,Inverted Lobes,1.0,-20%
580,Thinking Membrane,0.5,-18%
581,Dripping Jelly,1.0,-20%
582,Invisible Brain Node,1.0,-20%
583,Thinking Brain Node,1.0,-20%
584,Thinking Lobes,0.75,-19%
585,Thinking Lobes,1.0,-20%
586,Inverted Brain Node,0.25,-17%
587,Thinking Brain Node,1.0,-20%
588,Thinking Tendril,1.0,-20%
589,Thinking Brain Node,1.0,-20%
590,Dripping Tendril,1.0,-20%
591,Inverted Nodules,1.0,-20%
592,Inverted Bio-Anomaly,1.0,-20%
593,Dripping Coils,0.0,-16%
594,Inverted Brain Node,1.0,-20%
595,Thinking Bio-Anomaly,1.0,-20%
596,Dripping Nodules,1.0,-20%
597,Inverted Nodules,1.0,-20%
598,Dripping Coils,1.0,-20%
599,Dripping Coils,1.0,-20%
600,Thinking Nodules,0.75,-19%
601,Thinking Coils,1.0,-20%
602,Invisible Clusters,1.0,-20%
603,Dripping Membrane,0.75,-19%
604,Invisible Brain Node,1.0,-20%
605,Inverted Clusters,1.0,-20%
606,Dripping Clusters,1.0,-20%
607,Dripping Coils,1.0,-20%
608,Invisible Brain Node,1.0,-20%
609,Thinking Tendril,1.0,-20%
610,Inverted Brain Node,0.75,-19%
611,Thinking Lobes,0.75,-19%
612,Dripping Coils,1.0,-20%
613,Thinking Coils,1.0,-20%
614,Invisible Nodules,1.0,-20%
615,Thinking Nodules,1.0,-20%
616,Inverted Nodules,1.0,-20%
617,Dripping Lobes,1.0,-20%
618,Thinking Tendril,1.0,-20%
619,Prismatic Coils,1.0,-20%
620,Inverted Jelly,0.0,-16%
621,Invisible Bio-Anomaly,1.0,-20%
622,Inverted Jelly,1.0,-20%
623,Invisible Lobes,1.0,-20%
624,Inverted Brain Node,0.25,-17%
625,Invisible Jelly,1.0,-20%
626,Thinking Bio-Anomaly,0.25,-17%
627,Invisible Jelly,1.0,-20%
628,Prismatic Jelly,0.0,-16%
629,Dripping Nodules,1.0,-20%
630,Dripping Brain Node,0.0,-16%
631,Dripping Coils,1.0,-20%
632,Thinking Jelly,0.5,-18%
633,Prismatic Coils,1.0,-20%
634,Thinking Coils,0.5,-18%
635,Prismatic Jelly,1.0,-20%
636,Thinking Tendril,1.0,-20%
637,Prismatic Clusters,1.0,-20%
638,Prismatic Coils,1.0,-20%
639,Dripping Clusters,0.75,-19%
640,Invisible Lobes,0.75,-19%
641,Dripping Coils,0.75,-19%
642,Inverted Coils,0.5,-18%
643,Inverted Bio-Anomaly,1.0,-20%
644,Thinking Brain Node,1.0,-20%
645,Inverted Brain Node,1.0,-20%
646,Inverted Membrane,1.0,-20%
647,Dripping Bio-Anomaly,0.5,-18%
648,Invisible Jelly,1.0,-20%
649,Thinking Jelly,0.0,-16%
650,Invisible Clusters,0.5,-18%
651,Dripping Coils,1.0,-20%
652,Dripping Clusters,0.5,-18%
653,Invisible Brain Node,1.0,-20%
654,Dripping Brain Node,1.0,-20%
655,Dripping Nodules,1.0,-20%
656,Inverted Bio-Anomaly,0.5,-18%
657,Inverted Membrane,1.0,-20%
658,Thinking Clusters,0.75,-19%
659,Prismatic Coils,0.75,-19%
660,Prismatic Tendril,1.0,-20%
661,Dripping Jelly,1.0,-20%
662,Thinking Jelly,1.0,-20%
663,Invisible Membrane,0.5,-18%
664,Dripping Brain Node,0.25,-17%
665,Inverted Bio-Anomaly,0.5,-18%
666,Prismatic Coils,0.5,-18%
667,Dripping Membrane,0.25,-17%
668,Inverted Bio-Anomaly,1.0,-20%
669,Dripping Brain Node,1.0,-20%
670,Inverted Brain Node,1.0,-20%
671,Prismatic Membrane,0.75,-19%
672,Invisible Bio-Anomaly,0.75,-19%
673,Invisible Clusters,1.0,-20%
674,Dripping Membrane,1.0,-20%
675,Prismatic Jelly,0.75,-19%
676,Inverted Coils,1.0,-20%
677,Thinking Nodules,0.25,-17%
678,Dripping Bio-Anomaly,0.75,-19%
679,Prismatic Bio-Anomaly,0.75,-19%
680,Thinking Brain Node,1.0,-20%
681,Prismatic Brain Node,1.0,-20%
682,Dripping Coils,1.0,-20%
683,Inverted Clusters,1.0,-20%
684,Thinking Lobes,1.0,-20%
685,Prismatic Brain Node,1.0,-20%
686,Invisible Jelly,1.0,-20%
687,Invisible Brain Node,1.0,-20%
688,Invisible Brain Node,1.0,-20%
689,Thinking Brain Node,1.0,-20%
690,Inverted Membrane,1.0,-20%
691,Inverted Brain Node,0.5,-18%
692,Prismatic Clusters,1.0,-20%
693,Thinking Coils,1.0,-20%
694,Prismatic Nodules,1.0,-20%
695,Prismatic Clusters,0.75,-19%
696,Thinking Bio-Anomaly,1.0,-20%
697,Invisible Brain Node,0.0,-16%
698,Invisible Jelly,1.0,-20%
699,Thinking Brain Node,1.0,-20%
700,Prismatic Tendril,1.0,-20%
701,Inverted Clusters,1.0,-20%
702,Inverted Bio-Anomaly,0.5,-18%
703,Thinking Brain Node,1.0,-20%
